city,street,state,zip,country,latitude,longitude
Garland,1430 W. Buckingham Rd,TX,75042,US,32.930344,-96.649007
Van Nuys,14522 Burbank Blvd,CA,91411,US,34.171870873642064,-118.44948090451874
Santa Paula,150 E Harvard Blvd,CA,93060,US,34.34646203410479,-119.0703514974378
Cornelia,1467 Highway 441 Bypass,GA,30531,US,34.50992055622879,-83.54558666460929
Lexington,1494 Boardwalk,KY,40511,US,38.07169541857164,-84.48248950425824
Elkin,1485 N. Bridge Street,NC,28621,US,36.2708854665948,-80.85392935990438
Lathrop,150 E. Louise Ave,CA,95330,US,37.81137672877722,-121.29274095689834
Sacramento,1501 Meadowview Road,CA,95832,US,38.48155001096097,-121.50086275887816
Granite City,1510 Johnson Road,IL,62040,US,38.72278485741444,-90.12170038467508
Marysville,1501 Gratiot,MI,48040,US,42.91927008638253,-82.47742647382347
Laurinburg,1513 S. Main,NC,28352,US,34.758570695152024,-79.47194470876588
Burien,15209 1st Ave. South,WA,98148,US,47.46658025628776,-122.3344388337469
Stockton,1537 N. Wilson Way,CA,95205,US,37.97106701639952,-121.27611397362807
Phoenix,1525 N 43rd Ave,AZ,85009,US,33.465233775981815,-112.15147166796413
Denver,15495 E. Andrews Drive,CO,80239,US,39.77370037363268,-104.80750119682438
Sacramento,1601 Del Paso Boulevard,CA,95815,US,38.607329758293965,-121.4573542286015
Long Beach,1601 East Seventh Street,CA,90813,US,33.77554129446917,-118.17189414554389
Long Beach,1601 West Willow Street,CA,90810,US,33.804622199362576,-118.21451851347445
Watsonville,1610 Freedom Boulevard,CA,95076,US,36.93254231669093,-121.77007450422246
Los Gatos,16150 Los Gatos Boulevard,CA,95032,US,37.23421437751624,-121.96336472432245
Whittier,16161 Leffingwell Road,CA,90603,US,33.93243554916176,-117.98571556869985
Dublin,1630 Veterans Boulevard,GA,31021,US,32.535764864978766,-82.93069097668649
Pueblo,1644 S. Prairie Avenue,CO,81005,US,38.239908685782225,-104.64332968383633
Loveland,1650 Foxtrail Dr,CO,80538,US,40.40842450819588,-105.00175892088413
Birmingham,1653 Center Point Road,AL,35215,US,33.630755847418065,-86.68433180733405
Rock Hill,1667 Ebenezer Road,SC,29732,US,34.956130991572145,-81.04625743435861
Gastonia,1690 Neal Hawkins Road,NC,28056,US,35.21708282722125,-81.16858192554582
Hesperia,16800 Main Street,CA,92345,US,34.42123536230505,-117.2965062478504
Aurora,16901 East Quincy,CO,80015,US,39.6388052,-104.7909676
Fontana,16931 Foothill Blvd,CA,92335,US,34.10637103363952,-117.43482371937205
Visalia,1699 East Noble Avenue,CA,93292,US,36.32531968317942,-119.27460055398467
Collinsville,1700 N. Vandalia,IL,62234,US,38.689833643168825,-89.97254800000002
Aberdeen,1704 N. Sandhills Blvd,NC,28315,US,35.15351793846239,-79.41547084540366
Morgan Hill,17050 Laurel Road,CA,95037,US,37.130887874596176,-121.6365209560879
Winnemucca,1734 W. Winnemucca Boulevard,NV,89445,US,40.96215201097465,-117.74596697069978
Fountain Valley,17239 Brookhurst Street,CA,92708,US,33.7127881512587,-117.95498099136074
Puyallup,17514 Meridian East,WA,98374,US,47.0981055251229,-122.29510643619369
Winnsboro,182 U.S. Highway 321 By-Pass South,SC,29180,US,34.36831214414207,-81.10096002331352
Elko,1760 Mountain City Highway,NV,89801,US,40.83520775829528,-115.78644923318143
Campbell,1805 Winchester Road,CA,95008,US,37.29090406694211,-121.95010400000001
Bessemer,1818 Ninth Avenue North,AL,35020,US,33.40636565299193,-86.96164663558199
Augusta,1816 Walton Way,GA,30904,US,33.47525571169737,-81.99810299958477
Carson,18401 S. Avalon Blvd,CA,90746,US,33.862888081199735,-118.26662383497029
Apple Valley,18447 Highway 18,CA,92307,US,34.5390183637493,-117.26159781345086
Phoenix,1843 West Union Hills Dr,AZ,85027,US,33.65440242052192,-112.09931320676327
Woodcrest,18585 Van Buren Blvd,CA,92504,US,33.88682722661035,-117.33984204662704
Clovis,1860 Ashlan Avenue,CA,93611,US,36.793571676421415,-119.68080373189451
Clarksville,1879 Madison Street,TN,37043,US,36.51478122554055,-87.3039052478095
Hickory,1900 12th Avenue NE,NC,28601,US,35.74260847617188,-81.30051073431707
Northport,1901 32nd Street,AL,35476,US,33.2381606558091,-87.57713096193038
Huntington Beach,19091 Brookhurst Street,CA,92646,US,33.68538971743622,-117.9545607361676
Hollister,191 McCray Street,CA,95023,US,36.85453610589679,-121.39867096193035
Sunnyside,1928 Yakima Valley Hwy,WA,98944,US,46.3250531110849,-119.99438755150317
Lincolnton,1916 East Main Street,NC,28092,US,35.4778917098646,-81.2249237497602
Muscle Shoals,1910 Woodward Avenue,AL,35661,US,34.74348913734142,-87.66805633220292
South El Monte,1927 North Durfee,CA,91733,US,34.04522814220772,-118.03092654305937
Mesa,1950 W Baseline Rd,AZ,85202,US,33.37894563123406,-111.87636613074744
Montgomery,1955 Coliseum Boulevard,AL,36110,US,32.41841479081923,-86.26912467902923
Lawrenceburg,1950 N Locust Ave,TN,38464,US,35.265449715021305,-87.32229590381922
Madisonville,197 Madison Square Drive,KY,42431,US,37.32182027364952,-87.47893432944772
Franklin,441 Holly Springs Plaza,NC,28734,US,35.18294507542423,-83.35608845461365
Glendale,200 N Verdugo Rd,CA,91206,US,34.14819449482515,-118.23530262392524
Morehead,200 Stone Street,KY,40351,US,38.175971044415775,-83.43486317359924
Lakewood,200 Wadsworth Boulevard,CO,80226,US,39.719841196427346,-105.08095241038563
Lumberton,2000 Roberts Avenue,NC,28358,US,34.6385885022006,-78.99931594834482
Tacoma,2006 Sixth Avenue,WA,98403,US,47.25554827927063,-122.46333832112305
Monroe,2021 W. Roosevelt Boulevard,NC,28110,US,35.003319502853415,-80.55533959113649
Augusta,2029 Windsor Springs Road,GA,30906,US,33.409198,-82.026093
San Francisco,2040 Ocean Avenue,CA,94127,US,37.72654454240332,-122.46504588897227
Clanton,2035 Seventh Street South,AL,35045,US,32.802763745494794,-86.58769542270184
Salinas,2040 North Main Street,CA,93906,US,36.72316782003126,-121.65597995885457
Fresno,2031 North Blackstone Avenue,CA,93703,US,36.76926584694606,-119.79095685094353
Fayetteville,205 Highway 314,GA,30214,US,33.467946530829586,-84.4491167110624
Pasadena,2050 Fair Oaks Boulevard,CA,91103,US,34.18100082882817,-118.15052682822437
Blythewood,206 Blythewood Road,SC,29016,US,34.214568947732076,-80.97862676380635
Long Beach,209 E. Pacific Coast Highway,CA,90806,US,33.79013745529535,-118.19074646189301
Columbus,208 Alabama Street,MS,39702,US,33.495416382908346,-88.38358224479197
Roseville,2087 North Snelling,MN,55113,US,45.003956512052454,-93.1674125086434
Bonney Lake,20601 highway 410,WA,98390,US,47.1678957942235,-122.1545561835815
Shrewsbury,21 S Quinsigamond Ave,MA,01545,US,42.273653381470446,-71.75094430980437
Columbia,2104 Broad River Road,SC,29210,US,34.037683700800535,-81.09085496148458
Wadesboro,212 N. Washington St,NC,28170,US,34.96763835613728,-80.07487341104508
Rocky Mount,2108 Stone Rose Dr,NC,27804,US,35.960130966670675,-77.82071825090884
Capitola,2120 41st Avenue,CA,95010,US,36.9793275014032,-121.9645475797796
Vallejo,2150 Redwood Street,CA,94590,US,38.12246494496243,-122.23687677852155
Brawley,215 West Main,CA,92227,US,32.97888774107469,-115.54436067804863
Harrisonburg,2160 John Wayland Highway,VA,22801,US,38.43104782003824,-78.90889053496767
Dublin,2182 Highway 441 South,GA,31021,US,32.48960000000001,-82.93298276992323
Concord,2160 Monument Boulevard,CA,94520,US,37.95725385752714,-122.03702881437721
Greenwood,219 By Pass 72 NW,SC,29649,US,34.212563,-82.175002
Talladega,219 Haynes Street,AL,35160,US,33.437142225435736,-86.08272236820301
Albuquerque,2201 Eubank Boulevard N.E,NM,87112,US,35.1076963647481,-106.53349895031454
Seattle,2201 4th Avenue South,WA,98134,US,47.58381956962071,-122.32952609321319
Murfreesboro,2205 Old Fort Parkway,TN,37129,US,35.84672654761792,-86.43124109919523
Decatur,2208 Beltline Road,AL,35601,US,34.584744049569494,-87.02358524497629
Lewistown,221 Electric Avenue,PA,17044,US,40.61596185584854,-77.56749591840264
Mesa,2210 E Baseline Rd,AZ,85204,US,33.37938557586332,-111.78503369512157
Pasco,2210 W. Court Street,WA,99301,US,46.241125739811494,-119.1208527699232
Columbus,2224 Highway 45 North,MS,39705,US,33.52831773452044,-88.43630626213292
Hammond,223 North Morrison Boulevard,LA,70401,US,30.50256408691199,-90.48316842584705
Henderson,2236 Highway 41 North,KY,42420,US,37.869950002507665,-87.57024567666912
Santa Rosa,2249 Santa Rosa Ave,CA,95407,US,38.41693705076855,-122.71393208771417
Gillette,2250 South Douglas Highway,WY,82716,US,44.273927663983365,-105.49503366810552
Fairfield,2263 N. Texas Street,CA,94533,US,38.26979462755836,-122.03452708461487
Grinnell,229 West Street,IA,50112,US,41.73409409130118,-92.72770933740645
Federal Way,2300 SW 336th St,WA,98023,US,47.3009202,-122.363216
Sacramento,2312 Arden Way,CA,95825,US,38.59569901176389,-121.4097523036528
Yakima,2325 S. First Street,WA,98903,US,46.56791198921244,-120.48432136341245
Elk Grove,2330 Longport Court,CA,95758,US,38.4250158395721,-121.48127124322718
Columbia,2340 Decker Blvd,SC,29206,US,34.05527268279443,-80.94766889198979
Columbia,2349 Taylor Street,SC,29204,US,34.01274243700595,-81.01703709318684
Canton,24 New Clyde Highway,NC,28716,US,35.53306583731655,-82.85572169080734
Antioch,2410 Mahogany Way,CA,94509,US,38.00364036966365,-121.8340837977031
La Follette,2415 Jacksboro Pike,TN,37766,US,36.342842060909426,-84.16553906088257
Greeley,2413 8th Avenue,CO,80631,US,40.39839463511587,-104.6915617202377
Cheyenne,2414 E. Lincolnway,WY,82001,US,41.13878686926872,-104.78799915748107
Duncanville,243 South Cedar Ridge Drive,TX,75116,US,32.64945312558988,-96.92604907302899
Selma,2438 McCall Avenue,CA,93662,US,36.5698506145865,-119.61030302637198
Gilbert,2453 South Gilbert Road,AZ,85295,US,33.30552808166381,-111.78911
Southfield,24432 West Ten Mile Road,MI,48033,US,42.47228732390471,-83.28377307066182
Westminster,250 W. 136th Avenue,CO,80234,US,39.942599,-104.991873
Gallup,2504 East Highway 66,NM,87301,US,35.528968731361296,-108.70293758895491
Wilmington,2526 Carolina Beach Road,NC,28401,US,34.19189071593391,-77.9352208315878
Thornton,2581 E. 120th Ave,CO,80233,US,39.914423394470525,-104.95652932944773
Elberton,253 Elbert Street,GA,30635,US,34.109057785638605,-82.86031055398462
Santa Ana,2600 S. Bristol St,CA,92704,US,33.712381,-117.885793
Longmont,2604 Main Street,CO,80504,US,40.20529124475165,-105.10184016908744
Bowling Green,2626 Scottsville Road,KY,42104,US,36.95001691428362,-86.4240363388684
Kennewick,2631 West Kennewick Avenue,WA,99336,US,46.20915520448076,-119.15760487001359
Nashville,2634 Murfreesboro Road,TN,37217,US,36.07274264767843,-86.63633526117576
Albuquerque,2636 San Mateo Blvd,NM,87110,US,35.11080693785574,-106.58594574297427
Bakersfield,2674 Mount Vernon Avenue,CA,93305,US,35.39511476326791,-118.96814579682501
Anderson,2701 N. Main Street,SC,29621,US,34.52941232981724,-82.66137625794238
Gonzales,2703 S. Cabela's Parkway,LA,70737,US,30.208647682479377,-90.95098775375283
Sun City,26660 Encanto Dr,CA,92585,US,33.73381137817222,-117.18833239853313
Rock Springs,2705 Dewar Drive,WY,82901,US,41.579700000000024,-109.25888583126545
Lodi,2712 W. Kettleman Lane,CA,95242,US,38.114947415700804,-121.30928793979064
West Columbia,2711 Emanuel Church Rd,SC,29170,US,33.93846,-81.149897
Paducah,2725 Jackson Street,KY,42003,US,37.06864282781432,-88.62738171966078
