State,,,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Source,,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Nebraska,https://sos.nebraska.gov/sites/sos.nebraska.gov/files/doc/elections/2020/2020-General-Canvass-Book.pdf,OFFICIAL,"966,920","951,712",69.9%,68.8%,"1,383,551","1,469,878",4.8%,"5,263","14,894",958,"15,455",,NE
Nevada,https://silverstateelection.nv.gov/,OFFICIAL,"1,407,754","1,405,376",65.4%,65.2%,"2,153,915","2,450,946",11.6%,"12,399",0,0,"12,399",,NV
New Hampshire,https://sos.nh.gov/elections/elections/election-results/2020/general-election/,OFFICIAL,"814,499","806,182",75.5%,74.7%,"1,079,434","1,115,916",3.0%,"2,635",0,0,"2,635",,NH
New Jersey,https://www.state.nj.us/state/elections/election-information-2020.shtml,OFFICIAL,"4,635,585","4,549,353",75.3%,73.9%,"6,158,999","6,952,008",11.1%,"18,099",0,0,"18,099",,NJ
New Mexico,https://nmresults.azurewebsites.net/Default.aspx,OFFICIAL,"928,230","923,965",61.3%,61.0%,"1,515,355","1,634,037",6.2%,"6,887","12,090","2,805","17,188",,NM
New York,https://www.elections.ny.gov/2020ElectionResults.html,OFFICIAL,"8,661,735","8,594,826",63.4%,62.9%,"13,670,596","15,372,655",10.5%,"42,408",0,"45,192","87,600",,NY
North Carolina,https://www.ncsbe.gov/results-data/election-results,OFFICIAL,"5,545,847","5,524,802",71.5%,71.2%,"7,759,051","8,328,642",5.7%,"33,640","80,068","14,215","97,497",,NC
North Dakota,https://results.sos.nd.gov/Default.aspx?map=Cty,OFFICIAL,"364,251","361,819",64.5%,64.0%,"565,143","584,610",3.0%,"1,679",0,0,"1,679",,ND
Ohio,https://www.ohiosos.gov/elections/election-results-and-data/2020/,OFFICIAL,"5,974,121","5,922,202",67.4%,66.8%,"8,859,167","9,144,626",2.6%,"49,892",0,0,"49,892",,OH
Oklahoma,https://www.ok.gov/elections/Election_Info/2020_November_General_Election.html,OFFICIAL,"1,565,000","1,560,699",55.0%,54.8%,"2,845,835","3,031,792",4.3%,"27,558","41,562","1,780","55,106",,OK
Oregon,https://sos.oregon.gov/voting/Pages/current-election.aspx,OFFICIAL,"2,413,890","2,374,321",75.5%,74.3%,"3,196,425","3,405,863",5.7%,"13,795",0,0,"13,795",,OR
Pennsylvania*,https://www.electionreturns.pa.gov/,OFFICIAL,"6,950,000","6,915,283",71.0%,70.7%,"9,781,976","10,186,170",3.5%,"44,148",0,0,"44,148",,PA
Rhode Island,https://www.ri.gov/election/results/2020/general_election/,OFFICIAL,"525,000","517,757",65.7%,64.7%,"799,642","857,507",6.4%,"2,766",0,0,"2,766",,RI
South Carolina,https://www.enr-scvotes.org/SC/106502/Web02-state.264691/#/?undefined,OFFICIAL,"2,533,010","2,513,329",64.5%,64.0%,"3,926,305","4,116,633",3.6%,"18,587","31,975","4,980","43,392",,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2020GeneralStateCanvassFinal&Certificate.pdf,OFFICIAL,"427,529","422,609",66.0%,65.2%,"648,104","675,016",2.4%,"3,867","5,989","3,201","10,781",,SD
Tennessee,https://elections.tn.gov/results.php,OFFICIAL,"3,065,000","3,053,851",59.8%,59.6%,"5,124,867","5,391,220",3.6%,"26,107","61,253","10,842","74,926",,TN
Texas,https://results.texas-election.com/races,OFFICIAL,"11,350,000","11,315,056",60.4%,60.2%,"18,784,280","22,058,260",12.6%,"154,913","368,167","109,213","492,390",,TX
Utah,https://voteinfo.utah.gov/wp-content/uploads/sites/42/2020/11/2020-General-Election-Canvass.pdf,OFFICIAL,"1,515,845","1,488,289",69.2%,67.9%,"2,191,487","2,343,384",6.2%,"6,287",0,0,"6,287",,UT
Vermont,https://electionresults.vermont.gov/Index.html#/federal,OFFICIAL,"370,968","367,428",74.2%,73.5%,"499,884","511,637",2.3%,0,0,0,0,,VT
Virginia,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Presidential.html,OFFICIAL,"4,523,142","4,460,524",73.0%,72.0%,"6,196,071","6,727,440",6.8%,"35,743","63,111","1,860","76,732",,VA
Washington,https://results.vote.wa.gov/results/20201103/turnout.html,OFFICIAL,"4,116,894","4,087,631",75.7%,75.2%,"5,437,844","6,070,046",9.1%,"18,777","76,672","12,222","78,536",,WA
West Virginia,https://sos.wv.gov/elections/Pages/HistElecResults.aspx,OFFICIAL,"802,726","794,652",57.6%,57.0%,"1,394,028","1,422,098",0.9%,"6,757","6,593","4,287","15,132",,WV
Wisconsin,https://elections.wi.gov/,OFFICIAL,"3,310,000","3,298,041",75.8%,75.5%,"4,368,530","4,586,746",3.2%,"23,574","42,909","21,015","71,193",,WI
Wyoming,https://sos.wyo.gov/Elections/Docs/2020/2020GeneralResults.aspx,OFFICIAL,"278,503","276,765",64.6%,64.2%,"431,364","447,915",2.2%,"2,488","5,383",934,"6,759",,WY
"* Notes: For Louisiana, and Montana, I am using the US Senate election as the highest office since these races had the highest turnout. Pennsylvania does not yet include write-in votes",,,,,,,,,,,,,,,
