NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,urban area
"Federalsburg, MD Urban Cluster (2010)",3135.0,,165.0,,29521
"Jefferson, GA Urban Cluster (2010)",12715.0,,542.0,,42849
"Arcadia, WI Urban Cluster (2010)",3050.0,,47.0,,02901
"Lake Rancho Viejo, CA Urban Cluster (2010)",2943.0,,701.0,,47109
"Phelan, CA Urban Cluster (2010)",7845.0,,1343.0,,69034
"Richmond, KY Urban Cluster (2010)",39443.0,,730.0,,74665
"Franklin, VA Urban Cluster (2010)",8636.0,,349.0,,31438
"Alice, TX Urban Cluster (2010)",20774.0,,827.0,,01414
"Clarksdale, MS Urban Cluster (2010)",16056.0,,202.0,,17263
"Lafayette--Louisville--Erie, CO Urbanized Area (2010)",92304.0,,616.0,,46126
"Gallup, NM Urban Cluster (2010)",23374.0,,537.0,,32437
"Vicksburg, MS--LA Urban Cluster (2010)",28042.0,,919.0,,90487
"Kerman, CA Urban Cluster (2010)",14406.0,,269.0,,44587
"Gloucester Courthouse, VA Urban Cluster (2010)",3614.0,,575.0,,33695
"Blackshear, GA Urban Cluster (2010)",3959.0,,394.0,,08029
"Glencoe, MN Urban Cluster (2010)",5426.0,,61.0,,33490
"Bowie, TX Urban Cluster (2010)",4966.0,,137.0,,09352
"Cleveland, MS Urban Cluster (2010)",15851.0,,522.0,,17641
"Lakeland, GA Urban Cluster (2010)",2635.0,,242.0,,46836
"Casper, WY Urbanized Area (2010)",67758.0,,655.0,,14482
"Raymond, MS Urban Cluster (2010)",3563.0,,542.0,,73554
"Walden, NY Urban Cluster (2010)",11904.0,,327.0,,91252
"Liberty, TX Urban Cluster (2010)",7472.0,,644.0,,49690
"Elmwood, IL Urban Cluster (2010)",2913.0,,193.0,,27172
"Four Corners, MT Urban Cluster (2010)",3119.0,,426.0,,31158
"Bangor, ME Urbanized Area (2010)",59243.0,,1051.0,,04951
"Rochester, NY Urbanized Area (2010)",722138.0,,1542.0,,75664
"Wickenburg, AZ Urban Cluster (2010)",4258.0,,426.0,,95158
"Portland, TN--KY Urban Cluster (2010)",11584.0,,427.0,,71344
"Taylorsville, NC Urban Cluster (2010)",5512.0,,794.0,,86761
"Woodburn, OR Urban Cluster (2010)",35349.0,,696.0,,96913
"Oakhurst, CA Urban Cluster (2010)",3265.0,,804.0,,64432
"Chester, NY Urban Cluster (2010)",5699.0,,407.0,,16171
"Detroit Lakes, MN Urban Cluster (2010)",8559.0,,248.0,,23851
"Vienna, GA Urban Cluster (2010)",3257.0,,278.0,,90595
"Lubbock, TX Urbanized Area (2010)",254921.0,,1210.0,,51877
"Meadville, PA Urban Cluster (2010)",23154.0,,712.0,,55900
"Milbank, SD Urban Cluster (2010)",3170.0,,67.0,,57142
"Effingham, IL Urban Cluster (2010)",14162.0,,281.0,,26308
"Lee, MA Urban Cluster (2010)",7436.0,,528.0,,48745
"Boulder, CO Urbanized Area (2010)",125057.0,,753.0,,09298
"St. James, NC Urban Cluster (2010)",3495.0,,317.0,,77618
"Demopolis, AL Urban Cluster (2010)",6082.0,,297.0,,23365
"Sierra View--Indian Mountain Lake, PA Urban Cluster (2010)",25458.0,,1275.0,,81889
"Gustine, CA Urban Cluster (2010)",5774.0,,29.0,,36055
"Odessa, MO Urban Cluster (2010)",5128.0,,97.0,,64837
"Sioux City, IA--NE--SD Urbanized Area (2010)",107231.0,,739.0,,82225
"Durant, MS Urban Cluster (2010)",2898.0,,398.0,,25174
"Rhinebeck, NY Urban Cluster (2010)",2903.0,,86.0,,74314
"Plymouth, NC Urban Cluster (2010)",4208.0,,329.0,,70345
"Kerrville, TX Urban Cluster (2010)",29973.0,,926.0,,44641
"Albion, PA Urban Cluster (2010)",4664.0,,265.0,,01144
"Dayton, WA Urban Cluster (2010)",2717.0,,230.0,,22609
"Greensboro, NC Urbanized Area (2010)",333670.0,,1865.0,,35164
"Boiling Spring Lakes, NC Urban Cluster (2010)",4871.0,,337.0,,08749
"Hobbs, NM Urban Cluster (2010)",40116.0,,565.0,,39214
"Keyser, WV--MD Urban Cluster (2010)",6674.0,,439.0,,44803
"Glennville, GA Urban Cluster (2010)",3323.0,,374.0,,33544
"Coffeyville, KS--OK Urban Cluster (2010)",10187.0,,326.0,,18478
"Kekaha, HI Urban Cluster (2010)",5234.0,,576.0,,44236
"Lawrence, KS Urbanized Area (2010)",94793.0,,366.0,,48232
"San Manuel, AZ Urban Cluster (2010)",3576.0,,724.0,,79174
"Steeleville, IL Urban Cluster (2010)",3475.0,,328.0,,84736
"Lexington, TN Urban Cluster (2010)",6165.0,,549.0,,49528
"Navasota, TX Urban Cluster (2010)",7412.0,,358.0,,61381
"Storm Lake, IA Urban Cluster (2010)",11433.0,,172.0,,85114
"Groesbeck, TX Urban Cluster (2010)",3543.0,,284.0,,35731
"Jerseyville, IL Urban Cluster (2010)",8555.0,,401.0,,43075
"Sunnyside, WA Urban Cluster (2010)",18736.0,,1171.0,,85789
"South Lake Tahoe, CA--NV Urban Cluster (2010)",28848.0,,676.0,,83305
