NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,school district (elementary)
"Chualar Union Elementary School District, California",2555.0,,494.0,,06,08580
"La Habra City Elementary School District, California",52206.0,,958.0,,06,20190
"Raisin City Elementary School District, California",1669.0,,357.0,,06,31680
"Gazelle Union Elementary School District, California",232.0,,70.0,,06,14970
"Camptonville Elementary School District, California",504.0,,112.0,,06,07260
"Sundale Union Elementary School District, California",2659.0,,352.0,,06,38340
"Palo Verde Union Elementary School District, California",2667.0,,374.0,,06,29670
"Colfax Elementary School District, California",5411.0,,643.0,,06,09300
"Happy Camp Union Elementary School District, California",1000.0,,148.0,,06,16530
"Salinas City Elementary School District, California",80388.0,,1552.0,,06,33930
"Valle Lindo Elementary School District, California",7208.0,,531.0,,06,40650
"Yreka Union Elementary School District, California",9643.0,,279.0,,06,43380
"Southside Elementary School District, California",1669.0,,263.0,,06,37650
"Janesville Union Elementary School District, California",3603.0,,362.0,,06,18780
"Kentfield Elementary School District, California",12380.0,,544.0,,06,19380
"Union Elementary School District, California",46442.0,,1379.0,,06,40320
"Rio Elementary School District, California",42028.0,,1651.0,,06,32760
"Romoland Elementary School District, California",32771.0,,1585.0,,06,33390
"Arvin Union School District, California",21173.0,,115.0,,06,03270
"Traver Joint Elementary School District, California",1209.0,,208.0,,06,39600
"Alpine Union Elementary School District, California",19474.0,,1099.0,,06,02100
"Walnut Creek Elementary School District, California",51840.0,,1509.0,,06,41250
"Solvang Elementary School District, California",6020.0,,217.0,,06,37110
"Golden Feather Union Elementary School District, California",2744.0,,364.0,,06,15480
"Columbine Elementary School District, California",307.0,,82.0,,06,09510
"Menifee Union School District, California",92036.0,,1679.0,,06,24540
"Lakeside Joint Elementary School District, California",2674.0,,383.0,,06,20700
"Pacific Elementary School District, California",603.0,,149.0,,06,29340
"Howell Mountain Elementary School District, California",4298.0,,340.0,,06,17760
"South Whittier Elementary School District, California",29794.0,,1133.0,,06,37560
"Clay Joint Elementary School District, California",536.0,,151.0,,06,08850
"Ontario-Montclair School District, California",176298.0,,1285.0,,06,28470
"Del Mar Union Elementary School District, California",46664.0,,1695.0,,06,10740
"Lemon Grove Elementary School District, California",35993.0,,897.0,,06,21330
"McCloud Union Elementary School District, California",1299.0,,178.0,,06,24210
"Kashia Elementary School District, California",91.0,,48.0,,06,32340
"Soquel Elementary School District, California",27628.0,,1073.0,,06,37290
"Cuddeback Union Elementary School District, California",1197.0,,240.0,,06,10230
"Escondido Union Elementary School District, California",168827.0,,1412.0,,06,12880
"Roberts Ferry Union Elementary School District, California",635.0,,115.0,,06,33210
"Cajon Valley Union Elementary School District, California",170559.0,,2540.0,,06,06810
"Cardiff Elementary School District, California",11869.0,,585.0,,06,07470
"McKittrick Elementary School District, California",162.0,,52.0,,06,24330
"Mother Lode Union Elementary School District, California",15785.0,,1038.0,,06,25980
"Lakeside Union Elementary School District (Kings County), California",2655.0,,418.0,,06,20760
"San Miguel Joint Union Elementary School District, California",6811.0,,1088.0,,06,35010
"Nevada City Elementary School District, California",15790.0,,882.0,,06,26820
"Montgomery Elementary School District, California",875.0,,217.0,,06,25650
"Pacheco Union Elementary School District, California",9050.0,,740.0,,06,29280
"Ravenswood City Elementary School District, California",36052.0,,517.0,,06,31860
"Hart-Ransom Union Elementary School District, California",4293.0,,472.0,,06,16650
"Cienega Union Elementary School District, California",168.0,,57.0,,06,08640
"Palermo Union Elementary School District, California",7664.0,,743.0,,06,29540
"Canyon Elementary School District, California",171.0,,61.0,,06,07350
"Somis Union Elementary School District, California",3210.0,,373.0,,06,37140
"Mupu Elementary School District, California",1251.0,,198.0,,06,26460
"Mountain Union Elementary School District, California",1023.0,,226.0,,06,27040
"Portola Valley Elementary School District, California",6946.0,,309.0,,06,31470
"Encinitas Union Elementary School District, California",74456.0,,925.0,,06,12750
"Arena Union Elementary School District, California",3351.0,,383.0,,06,03090
"Chicago Park Elementary School District, California",1341.0,,189.0,,06,08340
"Raymond-Knowles Union Elementary School District, California",1173.0,,184.0,,06,31920
"Westside Union Elementary School District, California",73995.0,,2115.0,,06,42120
"Cambrian Elementary School District, California",30954.0,,1240.0,,06,07140
"Cayucos Elementary School District, California",2844.0,,361.0,,06,07840
"Susanville Elementary School District, California",9010.0,,582.0,,06,38550
"Ackerman Elementary School District, California",2783.0,,387.0,,06,01680
"Gravenstein Union Elementary School District, California",5620.0,,441.0,,06,15840
"San Ardo Union Elementary School District, California",812.0,,233.0,,06,34080
"Pleasant Ridge Union Elementary School District, California",20758.0,,813.0,,06,30930
"Coffee Creek Elementary School District, California",198.0,,76.0,,06,09240
"Knightsen Elementary School District, California",4258.0,,685.0,,06,20040
"Saucelito Elementary School District, California",250.0,,115.0,,06,35940
"Wilsona Elementary School District, California",9135.0,,689.0,,06,42810
"Gratton Elementary School District, California",647.0,,136.0,,06,15810
"Burlingame Elementary School District, California",31291.0,,258.0,,06,06480
"Hollister School District, California",46816.0,,602.0,,06,17340
"Eastside Union Elementary School District, California",24882.0,,1184.0,,06,11910
"Whitmore Union Elementary School District, California",760.0,,153.0,,06,42420
"Oak Grove Union Elementary School District, California",5611.0,,820.0,,06,27840
"San Antonio Union Elementary School District, California",2677.0,,1219.0,,06,34050
"Valley Home Joint Elementary School District, California",1617.0,,220.0,,06,40800
"Banta Elementary School District, California",4725.0,,532.0,,06,03870
"Woodside Elementary School District, California",3356.0,,289.0,,06,43140
"Forestville Union Elementary School District, California",7618.0,,483.0,,06,14010
"Vineland Elementary School District, California",4064.0,,485.0,,06,41130
"Pine Ridge Elementary School District, California",788.0,,128.0,,06,30390
"Plaza Elementary School District, California",376.0,,107.0,,06,30870
"King City Union Elementary School District, California",16931.0,,504.0,,06,19680
"Santa Maria-Bonita Elementary School District, California",106266.0,,1266.0,,06,05580
"Magnolia Union Elementary School District, California",120.0,,70.0,,06,23460
"San Bruno Park Elementary School District, California",38862.0,,592.0,,06,34230
"West Side Union Elementary School District, California",946.0,,213.0,,06,42270
"Monte Rio Union Elementary School District, California",2017.0,,285.0,,06,25410
"Buena Park Elementary School District, California",48927.0,,1673.0,,06,06360
"Kenwood Elementary School District, California",3856.0,,433.0,,06,19410
"Kirkwood Elementary School District, California",383.0,,113.0,,06,19860
"Allensworth Elementary School District, California",527.0,,125.0,,06,01980
"La Mesa-Spring Valley School District, California",138728.0,,2298.0,,06,20250
"Black Butte Union Elementary School District, California",4245.0,,364.0,,06,05220
"Two Rock Union Elementary School District, California",1728.0,,331.0,,06,40260
"Jacoby Creek Elementary School District, California",2990.0,,349.0,,06,18660
"Junction Elementary School District (Siskiyou County), California",273.0,,130.0,,06,19230
"Hope Elementary School District (Tulare County), California",985.0,,261.0,,06,17520
"Edison Elementary School District, California",6115.0,,1036.0,,06,11940
"Gold Trail Union Elementary School District, California",5826.0,,611.0,,06,15450
"Butteville Union Elementary School District, California",1755.0,,238.0,,06,06690
"Cottonwood Union Elementary School District, California",9043.0,,898.0,,06,09990
"Green Point Elementary School District, California",167.0,,62.0,,06,15990
"Robla Elementary School District, California",19684.0,,1136.0,,06,33240
"Strathmore Union Elementary School District, California",5163.0,,971.0,,06,38130
"Trinidad Union Elementary School District, California",1972.0,,241.0,,06,39720
"Hughes-Elizabeth Lakes Union Elementary School District, California",3819.0,,424.0,,06,17880
"Santa Rosa Elementary School District, California",75362.0,,1899.0,,06,35810
"Magnolia Elementary School District, California",66719.0,,1941.0,,06,23430
"Igo, Ono, Platina Union Elementary School District; California",889.0,,196.0,,06,18160
"Live Oak Elementary School District, California",24166.0,,1280.0,,06,21990
"Bella Vista Elementary School District, California",4282.0,,535.0,,06,04350
"Kneeland Elementary School District, California",407.0,,91.0,,06,19980
"Enterprise Elementary School District, California",33000.0,,955.0,,06,12810
"Montecito Union Elementary School District, California",5623.0,,492.0,,06,25500
"Lafayette Elementary School District, California",29754.0,,518.0,,06,20310
"Newhall Elementary School District, California",72741.0,,1271.0,,06,27180
"Old Adobe Union Elementary School District, California",26770.0,,919.0,,06,28320
"Rockford Elementary School District, California",1315.0,,256.0,,06,33270
"Buellton Union Elementary School District, California",6341.0,,509.0,,06,06330
"Auburn Union Elementary School District, California",35076.0,,1072.0,,06,03480
"Lawndale Elementary School District, California",48336.0,,973.0,,06,21210
"Oro Grande Elementary School District, California",1035.0,,216.0,,06,28950
"Richgrove Elementary School District, California",2942.0,,284.0,,06,32430
"Hawthorne Elementary School District, California",74939.0,,973.0,,06,16680
"Menlo Park City Elementary School District, California",27831.0,,759.0,,06,24570
"Thermalito Union School District, California",12701.0,,706.0,,06,39180
"Shasta Union Elementary School District, California",2267.0,,315.0,,06,36570
"Alta Loma Elementary School District, California",55244.0,,1272.0,,06,02160
"Tres Pinos Union Elementary School District, California",960.0,,166.0,,06,39690
"Pond Union Elementary School District, California",550.0,,163.0,,06,31350
"Heber Elementary School District, California",7891.0,,941.0,,06,16830
"Arcata Elementary School District, California",15219.0,,590.0,,06,03000
"Browns Elementary School District, California",934.0,,165.0,,06,06100
"Hueneme Elementary School District, California",58569.0,,1629.0,,06,17850
"Lassen View Union Elementary School District, California",2949.0,,340.0,,06,21090
"Los Altos Elementary School District, California",44280.0,,855.0,,06,22650
"Maple Elementary School District, California",548.0,,133.0,,06,23760
"Cascade Union Elementary School District, California",15690.0,,770.0,,06,07680
"Sausalito Elementary School District, California",11237.0,,441.0,,06,36000
"Pleasant Valley Elementary School District, California",77957.0,,738.0,,06,30990
"Alview-Dairyland Union Elementary School District, California",1651.0,,314.0,,06,02360
"Lancaster Elementary School District, California",113212.0,,1653.0,,06,20880
"West Park Elementary School District, California",1643.0,,326.0,,06,42060
"Belleview Elementary School District, California",1695.0,,265.0,,06,04500
"Curtis Creek Elementary School District, California",9583.0,,792.0,,06,10320
"Columbia Elementary School District, California",9292.0,,549.0,,06,09450
"Junction City Elementary School District, California",713.0,,134.0,,06,19170
"Pioneer Union Elementary School District (El Dorado County), California",5233.0,,512.0,,06,30480
"Luther Burbank Elementary School District, California",3955.0,,427.0,,06,23130
"Mulberry Elementary School District, California",123.0,,70.0,,06,26430
"Bennett Valley Union Elementary School District, California",8926.0,,657.0,,06,04650
"Blue Lake Union Elementary School District, California",2253.0,,255.0,,06,05400
"El Centro Elementary School District, California",40136.0,,954.0,,06,12030
"Stone Corral Elementary School District, California",877.0,,287.0,,06,38040
"Feather Falls Union Elementary School District, California",323.0,,66.0,,06,13710
"Arcohe Union Elementary School District, California",4135.0,,462.0,,06,03060
"Mountain View Elementary School District (Los Angeles County), California",58196.0,,1680.0,,06,26190
"Richfield Elementary School District, California",1316.0,,373.0,,06,32400
"South Bay Union School District, California",81529.0,,1698.0,,06,37380
"Whittier City Elementary School District, California",68169.0,,1505.0,,06,42450
"Palmdale Elementary School District, California",133630.0,,1439.0,,06,29580
"McKinleyville Union Elementary School District, California",16787.0,,925.0,,06,24300
"Alta Vista Elementary School District, California",3286.0,,560.0,,06,02220
"Ballico-Cressey Elementary School District, California",1975.0,,270.0,,06,03750
"Midway Elementary School District, California",453.0,,97.0,,06,24780
"Monroe Elementary School District, California",1158.0,,326.0,,06,25290
"Scotia Union Elementary School District, California",994.0,,247.0,,06,36100
"Marcum-Illinois Union Elementary School District, California",986.0,,149.0,,06,23800
"Oak Valley Union Elementary School District, California",1602.0,,232.0,,06,27900
"Kit Carson Union Elementary School District, California",2258.0,,348.0,,06,19890
"Plumas Lake Elementary School District, California",7730.0,,907.0,,06,31180
"Paradise Elementary School District, California",783.0,,164.0,,06,29790
"Mountain House Elementary School District, California",295.0,,139.0,,06,26130
"Rio Dell Elementary School District, California",3422.0,,42.0,,06,32730
"Antelope Elementary School District, California",5675.0,,673.0,,06,02760
"Rosemead Elementary School District, California",26532.0,,1127.0,,06,33570
"Greenfield Union Elementary School District, California",18516.0,,520.0,,06,16080
"Brisbane Elementary School District, California",8747.0,,506.0,,06,06060
"Little Lake City Elementary School District, California",36659.0,,1291.0,,06,21930
"Pope Valley Union Elementary School District, California",787.0,,163.0,,06,31380
"Linns Valley-Poso Flat Union School District, California",682.0,,205.0,,06,21900
"Brawley Elementary School District, California",26794.0,,190.0,,06,05790
"Standard Elementary School District, California",24569.0,,1509.0,,06,37890
"Oak Grove Elementary School District, California",114057.0,,2116.0,,06,27810
"Orcutt Union Elementary School District, California",36979.0,,1447.0,,06,28710
"Chatom Union Elementary School District, California",3537.0,,694.0,,06,08250
"Hot Springs Elementary School District, California",253.0,,83.0,,06,17640
"Lagunitas Elementary School District, California",3301.0,,381.0,,06,20520
"Remainder of California, California",28326982.0,,11329.0,,06,99999
"Sebastopol Union Elementary School District, California",12890.0,,698.0,,06,36180
"McSwain Union Elementary School District, California",5731.0,,735.0,,06,24360
"Garvey Elementary School District, California",53106.0,,1601.0,,06,14940
"College Elementary School District, California",5714.0,,688.0,,06,09330
"Los Gatos Union Elementary School District, California",28326.0,,813.0,,06,22830
"Gorman Elementary School District, California",51.0,,20.0,,06,15600
"Di Giorgio Elementary School District, California",1123.0,,250.0,,06,11130
"Jamul-Dulzura Union Elementary School District, California",8242.0,,820.0,,06,18730
"Waukena Joint Union Elementary School District, California",968.0,,172.0,,06,41820
"National Elementary School District, California",59181.0,,949.0,,06,26670
"Santa Clara Elementary School District, California",118.0,,64.0,,06,35490
"Livingston Union School District, California",17103.0,,459.0,,06,22170
"Ravendale-Termo Elementary School District, California",93.0,,44.0,,06,31830
"Keyes Union Elementary School District, California",6433.0,,881.0,,06,19620
"Lagunita Elementary School District, California",292.0,,117.0,,06,20490
"Bakersfield City School District, California",196616.0,,3107.0,,06,03630
"Monson-Sultana Joint Union Elementary School District, California",2708.0,,544.0,,06,25350
"Pleasant Grove Joint Union Elementary School District, California",741.0,,117.0,,06,30900
"Red Bluff Union Elementary School District, California",20687.0,,820.0,,06,31980
"Lakeside Union School District, California",11736.0,,2012.0,,06,20730
"San Rafael City Elementary School District, California",54676.0,,1049.0,,06,35090
"Guerneville Elementary School District, California",5515.0,,605.0,,06,16320
"Orinda Union Elementary School District, California",19385.0,,110.0,,06,28860
"Indian Diggings Elementary School District, California",145.0,,57.0,,06,18240
"Castle Rock Union Elementary School District, California",277.0,,63.0,,06,07770
"Three Rivers Union Elementary School District, California",2432.0,,332.0,,06,39210
"Wasco Union Elementary School District, California",27165.0,,233.0,,06,41400
"Franklin-McKinley Elementary School District, California",93387.0,,1762.0,,06,14370
"Grant Elementary School District, California",2646.0,,284.0,,06,15690
"Hermosa Beach City Elementary School District, California",19650.0,,36.0,,06,17040
"Dunham Elementary School District, California",904.0,,207.0,,06,11610
"Dunsmuir Elementary School District, California",1837.0,,166.0,,06,11670
"Nicasio Elementary School District, California",704.0,,111.0,,06,27300
"Richmond Elementary School District, California",1131.0,,180.0,,06,32520
"Briggs Elementary School District, California",3640.0,,573.0,,06,06030
"Douglas City Elementary School District, California",651.0,,162.0,,06,11430
"Reed Union Elementary School District, California",14642.0,,662.0,,06,32160
"Fairfax Elementary School District, California",14734.0,,1280.0,,06,13290
"Cupertino Union Elementary School District, California",143566.0,,1623.0,,06,10290
"Foresthill Union Elementary School District, California",6800.0,,895.0,,06,13980
"San Ysidro Elementary School District, California",42730.0,,2033.0,,06,35220
"Kings River-Hardwick Union Elementary School District, California",2054.0,,374.0,,06,19770
"General Shafter Elementary School District, California",1061.0,,293.0,,06,15000
"Cucamonga Elementary School District, California",30105.0,,1336.0,,06,16300
"Orick Elementary School District, California",324.0,,115.0,,06,28830
"Seiad Elementary School District, California",292.0,,66.0,,06,36240
"Cutten Elementary School District, California",5295.0,,721.0,,06,10380
"Lennox Elementary School District, California",26456.0,,1118.0,,06,21420
"Capay Joint Union Elementary School District, California",899.0,,130.0,,06,07410
"Little Shasta Elementary School District, California",289.0,,56.0,,06,21960
"Placer Hills Union Elementary School District, California",14150.0,,757.0,,06,30720
"Round Valley Joint Elementary School District, California",1285.0,,177.0,,06,33690
"Taft City School District, California",19147.0,,871.0,,06,38700
"Ross Valley Elementary School District, California",23670.0,,407.0,,06,00006
"Gold Oak Union Elementary School District, California",9231.0,,833.0,,06,15390
"Ocean View Elementary School District (Ventura County), California",18505.0,,1020.0,,06,28170
"Cinnabar Elementary School District, California",3088.0,,380.0,,06,08700
"Huntington Beach City Elementary School District, California",84609.0,,1265.0,,06,18030
"Freshwater Elementary School District, California",2544.0,,311.0,,06,14520
"Bayshore Elementary School District, California",5573.0,,490.0,,06,04200
"Cypress Elementary School District, California",44886.0,,934.0,,06,10440
"Alum Rock Union Elementary School District, California",117825.0,,2343.0,,06,02310
"Millbrae Elementary School District, California",25041.0,,565.0,,06,24900
"Mountain View Elementary School District (San Bernardino County), California",22029.0,,822.0,,06,26220
"Rancho Santa Fe Elementary School District, California",5622.0,,685.0,,06,31740
"Redding Elementary School District, California",36034.0,,1105.0,,06,32040
"Fountain Valley Elementary School District, California",54675.0,,1230.0,,06,14220
"Dehesa Elementary School District, California",1941.0,,303.0,,06,10710
"New Hope Elementary School District, California",1422.0,,238.0,,06,26970
"Pacific Union Elementary School District (Humboldt County), California",4970.0,,730.0,,06,29430
"Big Lagoon Union Elementary School District, California",397.0,,78.0,,06,04890
"San Pasqual Union Elementary School District, California",3422.0,,491.0,,06,35040
"Shaffer Union Elementary School District, California",10159.0,,521.0,,06,36420
"El Nido Elementary School District, California",1578.0,,240.0,,06,12150
"Cold Spring Elementary School District, California",3467.0,,422.0,,06,09270
"Penn Valley Union Elementary School District, California",12108.0,,821.0,,06,01427
"Oak View Union Elementary School District, California",2808.0,,445.0,,06,27930
"Camino Union Elementary School District, California",4376.0,,570.0,,06,07170
"Vista del Mar Union Elementary School District, California",351.0,,89.0,,06,41220
"Elverta Joint Elementary School District, California",3248.0,,504.0,,06,12600
"Elk Hills Elementary School District, California",230.0,,77.0,,06,12360
"Lamont Elementary School District, California",16472.0,,893.0,,06,20850
"Orange Center Elementary School District, California",1654.0,,375.0,,06,28530
"Sylvan Union Elementary School District, California",76712.0,,1849.0,,06,38670
"Bradley Union Elementary School District, California",596.0,,102.0,,06,05730
"Soulsbyville Elementary School District, California",5406.0,,711.0,,06,37320
"Ducor Union Elementary School District, California",1039.0,,211.0,,06,11550
"Oxnard Elementary School District, California",126026.0,,2241.0,,06,29220
"Adelanto Elementary School District, California",55471.0,,2496.0,,06,01710
"San Lucas Union Elementary School District, California",546.0,,223.0,,06,34770
"Loma Prieta Joint Union Elementary School District, California",3854.0,,348.0,,06,22350
"Los Olivos Elementary School District, California",1322.0,,222.0,,06,22920
