NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,american indian area/alaska native area/hawaiian home land
"Grayling ANVSA, AK",176.0,,37.0,,6550
"Minnesota Chippewa Trust Land, MN",0.0,,9.0,,2285
"Pascua Pueblo Yaqui Reservation and Off-Reservation Trust Land, AZ",4111.0,,272.0,,2680
"Pleasant Point Reservation, ME",723.0,,87.0,,2850
"Table Mountain Rancheria, CA",9.0,,14.0,,4110
"Pawnee OTSA, OK",16197.0,,83.0,,5780
"Council ANVSA, AK",0.0,,9.0,,6380
"Santa Rosa Rancheria, CA",940.0,,189.0,,3520
"Kamoku-Kapulena Hawaiian Home Land, HI",36.0,,17.0,,5066
"Panaewa (Residential) Hawaiian Home Land, HI",1327.0,,188.0,,5177
"Grindstone Indian Rancheria, CA",256.0,,93.0,,1395
"Deering ANVSA, AK",154.0,,31.0,,6400
"Colusa Rancheria, CA",27.0,,21.0,,0750
"Kamaoa-Puueo Hawaiian Home Land, HI",11.0,,9.0,,5056
"Kewalo Hawaiian Home Land, HI",394.0,,121.0,,5120
"Ponca (NE) Trust Land, NE--IA",0.0,,11.0,,2900
"Sulphur Bank Rancheria, CA",46.0,,62.0,,4030
"Otoe-Missouria OTSA, OK",969.0,,161.0,,5760
"Capitan Grande Reservation, CA",0.0,,12.0,,0495
"Isabella Reservation, MI",27617.0,,531.0,,1610
"Belkofski ANVSA, AK",0.0,,9.0,,6195
"Honokowai Hawaiian Home Land, HI",0.0,,11.0,,5029
"Princess Kahanu Estates Hawaiian Home Land, HI",1542.0,,326.0,,5198
"Upolu Hawaiian Home Land, HI",0.0,,11.0,,5222
"Kotlik ANVSA, AK",811.0,,76.0,,6815
"Platinum ANVSA, AK",13.0,,7.0,,7245
"Keanae-Wailua Hawaiian Home Land, HI",13.0,,21.0,,5104
"Chevak ANVSA, AK",1144.0,,161.0,,6285
"Barona Reservation and Off-Reservation Trust Land, CA",876.0,,112.0,,0155
"Stewart Community, NV",122.0,,56.0,,3980
"Eklutna ANVSA, AK",43.0,,38.0,,6450
"Napakiak ANVSA, AK",369.0,,47.0,,7010
"Likely Rancheria, CA",0.0,,12.0,,1955
"Kamiloloa-Makakupaia Hawaiian Home Land, HI",77.0,,35.0,,5061
"Wind River Reservation and Off-Reservation Trust Land, WY",26855.0,,427.0,,4610
"Kongiganak ANVSA, AK",441.0,,68.0,,6810
"Hannahville Indian Community and Off-Reservation Trust Land, MI",656.0,,89.0,,1410
"Lake Traverse Reservation and Off-Reservation Trust Land, SD--ND",11052.0,,260.0,,1860
"Lower Elwha Reservation and Off-Reservation Trust Land, WA",603.0,,138.0,,2040
"Ekuk ANVSA, AK",0.0,,9.0,,6455
"Paimiut ANVSA, AK",0.0,,9.0,,7185
"Pamunkey Reservation (state), VA",87.0,,33.0,,9260
"Lanai City Hawaiian Home Land, HI",90.0,,56.0,,5134
"Sycuan Reservation and Off-Reservation Trust Land, CA",172.0,,52.0,,4090
"Yerington Colony, NV",216.0,,115.0,,4725
"Grand Portage Reservation and Off-Reservation Trust Land, MN",722.0,,96.0,,1355
"Golden Hill Paugussett (state) Reservation, CT",1.0,,3.0,,9100
"Pauahi Hawaiian Home Land, HI",0.0,,11.0,,5181
"New Stuyahok ANVSA, AK",557.0,,96.0,,7050
"Nooksack Reservation and Off-Reservation Trust Land, WA",1139.0,,190.0,,2475
"Rumsey Indian Rancheria, CA",2.0,,3.0,,3265
"Bill Moore's ANVSA, AK",0.0,,9.0,,6225
"Ivanof Bay ANVSA, AK",0.0,,9.0,,6650
"Rohnerville Rancheria, CA",23.0,,12.0,,3220
"Saint Croix Reservation and Off-Reservation Trust Land, WI",636.0,,87.0,,3305
"Skagway ANVSA, AK",1061.0,,123.0,,7485
"Fort Yuma Indian Reservation, CA--AZ",1265.0,,278.0,,1280
"Apache Choctaw (state) SDTSA, LA",6903.0,,401.0,,9515
"MaChis Lower Creek (state) SDTSA, AL",22625.0,,562.0,,9820
"Kodiak ANVSA, AK",0.0,,9.0,,6795
"Cheyenne River Reservation and Off-Reservation Trust Land, SD",8556.0,,21.0,,0605
"Greenville Rancheria, CA",28.0,,19.0,,1380
"Tama Reservation (state), GA",11.0,,12.0,,9400
"Kapolei Hawaiian Home Land, HI",0.0,,11.0,,5083
"Leialii Hawaiian Home Land, HI",568.0,,162.0,,5135
"Peoria OTSA, OK",5053.0,,196.0,,5795
"Kipnuk ANVSA, AK",613.0,,65.0,,6750
"Beaver Creek SDTSA, SC",1005.0,,209.0,,9525
"Pine Ridge Reservation, SD--NE",19895.0,,163.0,,2810
"Nondalton ANVSA, AK",114.0,,44.0,,7100
"San Felipe Pueblo, NM",3544.0,,417.0,,3400
"Yakama Nation Reservation and Off-Reservation Trust Land, WA",30810.0,,847.0,,4690
"Waiakea Hawaiian Home Land, HI",0.0,,11.0,,5236
"Canyon Village ANVSA, AK",0.0,,9.0,,6257
"Hooper Bay ANVSA, AK",1101.0,,122.0,,6595
"Saxman ANVSA, AK",360.0,,58.0,,7420
"Shaktoolik ANVSA, AK",294.0,,40.0,,7450
"La Posta Indian Reservation, CA",31.0,,19.0,,1895
"Sappony SDTSA, NC",2611.0,,394.0,,9865
"Pechanga Reservation, CA",343.0,,128.0,,2745
"Quapaw OTSA, OK",5092.0,,180.0,,5810
"Brevig Mission ANVSA, AK",407.0,,41.0,,6240
"Gambell ANVSA, AK",601.0,,55.0,,6530
"Huslia ANVSA, AK",404.0,,50.0,,6610
"Kokhanok ANVSA, AK",150.0,,56.0,,6800
"Coyote Valley Reservation, CA",300.0,,103.0,,0825
"Gila River Indian Reservation, AZ",11150.0,,881.0,,1310
"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",1544.0,,360.0,,4470
"Waiohuli (Residential) Hawaiian Home Land, HI",1277.0,,246.0,,5286
"Match-e-be-nash-she-wish Band of Pottawatomi Reservation and Off-Reservation Trust Land, MI",39.0,,59.0,,2150
"Teller ANVSA, AK",182.0,,30.0,,7570
"Santa Ysabel Reservation, CA",198.0,,53.0,,3550
"Haiku Hawaiian Home Land, HI",0.0,,11.0,,5009
"Atqasuk ANVSA, AK",164.0,,56.0,,6165
"Bad River Reservation, WI",1595.0,,153.0,,0140
"East Kapolei Hawaiian Home Land, HI",0.0,,11.0,,5008
"Chitina ANVSA, AK",73.0,,49.0,,6330
"Birch Creek ANVSA, AK",2.0,,3.0,,6235
"Kalawahine Hawaiian Home Land, HI",384.0,,71.0,,5053
"Paukukalo Hawaiian Home Land, HI",845.0,,208.0,,5186
"Rampart ANVSA, AK",60.0,,26.0,,7300
"Tatitlek ANVSA, AK",78.0,,46.0,,7555
"Red Lake Reservation, MN",5859.0,,62.0,,3100
"Snoqualmie Reservation, WA",0.0,,12.0,,3860
"Ponca OTSA, OK",2119.0,,140.0,,5800
"Makah Indian Reservation, WA",1632.0,,170.0,,2085
"Perryville ANVSA, AK",86.0,,31.0,,7215
"White Mountain ANVSA, AK",186.0,,28.0,,7745
"Auburn Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,0120
"Fort Pierce Reservation, FL",87.0,,67.0,,1260
"Iowa (KS-NE) Reservation and Off-Reservation Trust Land, KS--NE",173.0,,36.0,,1590
"Crooked Creek ANVSA, AK",90.0,,29.0,,6390
"Telida ANVSA, AK",0.0,,9.0,,7565
"Prairie Band of Potawatomi Nation Reservation, KS",1645.0,,169.0,,2980
"Trinidad Rancheria and Off-Reservation Trust Land, CA",170.0,,76.0,,4275
"Creek OTSA, OK",792241.0,,1465.0,,5620
"Kahikinui Hawaiian Home Land, HI",0.0,,11.0,,5041
"Cocopah Reservation, AZ",1203.0,,197.0,,0695
"Menominee Reservation, WI",3390.0,,241.0,,2175
"Waianae Kai Hawaiian Home Land, HI",782.0,,100.0,,5239
"Klawock ANVSA, AK",675.0,,75.0,,6765
"Standing Rock Reservation, SD--ND",8618.0,,21.0,,3970
"Andreafsky ANVSA, AK",113.0,,28.0,,6095
"Algaaciq ANVSA, AK",527.0,,72.0,,6065
"Eek ANVSA, AK",518.0,,54.0,,6440
"Pokagon Reservation and Off-Reservation Trust Land, MI",86.0,,45.0,,2890
"Iowa OTSA, OK",6590.0,,461.0,,5670
"Klamath Reservation, OR",38.0,,19.0,,1785
"Tuluksak ANVSA, AK",415.0,,58.0,,7630
"Wainwright ANVSA, AK",508.0,,139.0,,7735
"Mashpee Wampanoag Trust Land, MA",0.0,,12.0,,2147
"Round Valley Reservation and Off-Reservation Trust Land, CA",416.0,,109.0,,3250
"Kalaupapa Hawaiian Home Land, HI",75.0,,16.0,,5051
"Minto ANVSA, AK",229.0,,38.0,,6965
"Chehalis Reservation and Off-Reservation Trust Land, WA",922.0,,284.0,,0575
"Holy Cross ANVSA, AK",183.0,,32.0,,6585
"Colorado River Indian Reservation, AZ--CA",9929.0,,367.0,,0735
"Dresslerville Colony, NV",452.0,,127.0,,0940
"Saint Regis Mohawk Reservation, NY",3302.0,,18.0,,3320
"Kaumana Hawaiian Home Land, HI",134.0,,47.0,,5086
"Atka ANVSA, AK",35.0,,19.0,,6150
"South Maui Hawaiian Home Land, HI",0.0,,11.0,,5213
"Mekoryuk ANVSA, AK",226.0,,35.0,,6935
"Big Lagoon Rancheria, CA",4.0,,4.0,,0240
"Occaneechi-Saponi SDTSA, NC",9522.0,,532.0,,9838
"Lesnoi ANVSA, AK",0.0,,9.0,,6860
"Newtok ANVSA, AK",360.0,,53.0,,7055
"Paucatuck Eastern Pequot Reservation (state), CT",36.0,,21.0,,9280
"Wampanoag-Aquinnah Trust Land, MA",66.0,,44.0,,4530
"Knik ANVSA, AK",76056.0,,633.0,,6785
"Tesuque Pueblo and Off-Reservation Trust Land, NM",921.0,,130.0,,4170
"Tuolumne Rancheria, CA",196.0,,71.0,,4330
"Kapaakea Hawaiian Home Land, HI",184.0,,59.0,,5076
"Choctaw OTSA, OK",231451.0,,574.0,,5590
"Stony River ANVSA, AK",41.0,,20.0,,7525
"Laytonville Rancheria, CA",251.0,,76.0,,1925
"Picayune Rancheria and Off-Reservation Trust Land, CA",111.0,,76.0,,2775
"Passamaquoddy Trust Land, ME",0.0,,10.0,,2695
"Walker River Reservation, NV",1209.0,,165.0,,4515
"Miami/Peoria joint-use OTSA, OK",4279.0,,178.0,,5970
"Hughes ANVSA, AK",90.0,,24.0,,6605
"Napaimute ANVSA, AK",0.0,,9.0,,7005
"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",606.0,,117.0,,0050
"San Carlos Reservation, AZ",10443.0,,502.0,,3355
"Point Hope ANVSA, AK",592.0,,154.0,,7250
"Burns Paiute Indian Colony and Off-Reservation Trust Land, OR",96.0,,50.0,,0400
"Quartz Valley Reservation and Off-Reservation Trust Land, CA",198.0,,76.0,,3020
"Viejas Reservation and Off-Reservation Trust Land, CA",459.0,,230.0,,4500
"Puukapu Hawaiian Home Land, HI",961.0,,259.0,,5201
"Bridgeport Reservation and Off-Reservation Trust Land, CA",62.0,,48.0,,0350
"Campo Indian Reservation, CA",393.0,,120.0,,0450
"Goshute Reservation, NV--UT",140.0,,56.0,,1340
"Flathead Reservation, MT",29717.0,,332.0,,1110
"L'Anse Reservation and Off-Reservation Trust Land, MI",3564.0,,291.0,,1880
"Homuula-Upper Piihonua Hawaiian Home Land, HI",2.0,,4.0,,5018
"Lac Courte Oreilles Reservation and Off-Reservation Trust Land, WI",2721.0,,211.0,,1815
"Soboba Reservation and Off-Reservation Trust Land, CA",417.0,,106.0,,3870
"Waianae Hawaiian Home Land, HI",2542.0,,263.0,,5238
"Kwethluk ANVSA, AK",653.0,,68.0,,6835
"Fort Independence Reservation, CA",74.0,,22.0,,1195
"Lumbee (state) SDTSA, NC",503825.0,,1605.0,,9815
"Ketchikan ANVSA, AK",13208.0,,116.0,,6725
"Big Pine Reservation and Off-Reservation Trust Land, CA",422.0,,61.0,,0250
"Maricopa (Ak Chin) Indian Reservation and Off-Reservation Trust Land, AZ",1348.0,,320.0,,2130
"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",1881.0,,149.0,,3415
"Shingle Springs Rancheria and Off-Reservation Trust Land, CA",140.0,,86.0,,3750
"Hamilton ANVSA, AK",0.0,,9.0,,6570
"Cahuilla Reservation, CA",82.0,,40.0,,0435
"Fort Sill Apache Indian Reservation, NM",0.0,,12.0,,1270
"Kotzebue ANVSA, AK",3288.0,,25.0,,6820
"Yurok Reservation, CA",811.0,,127.0,,4760
"Dillingham ANVSA, AK",2315.0,,169.0,,6405
"Kekaha Hawaiian Home Land, HI",555.0,,145.0,,5111
"Grand Traverse Reservation and Off-Reservation Trust Land, MI",725.0,,117.0,,1370
"Chignik ANVSA, AK",61.0,,28.0,,6295
"Cattaraugus Reservation, NY",2208.0,,186.0,,0540
"Ely Reservation, NV",230.0,,72.0,,1040
"Kickapoo (KS) Reservation, KS",3983.0,,279.0,,1770
"Nulato ANVSA, AK",257.0,,36.0,,7130
"Honomu Hawaiian Home Land, HI",0.0,,11.0,,5031
"Seneca-Cayuga OTSA, OK",4532.0,,201.0,,5835
"Elk Valley Rancheria and Off-Reservation Trust Land, CA",78.0,,34.0,,1010
"Oneida (WI) Reservation and Off-Reservation Trust Land, WI",24800.0,,412.0,,2560
"Tule River Reservation and Off-Reservation Trust Land, CA",1227.0,,218.0,,4300
"Yankton Reservation, SD",6829.0,,166.0,,4700
"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS",0.0,,10.0,,4910
"Havasupai Reservation, AZ",15.0,,22.0,,1440
"Redwood Valley Rancheria, CA",323.0,,82.0,,3115
"Enterprise Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,1055
"Waiku-Hana Hawaiian Home Land, HI",0.0,,11.0,,5248
"Cayuga Nation TDSA, NY",3081.0,,270.0,,8100
"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",26028.0,,729.0,,0020
"Fort Yukon ANVSA, AK",533.0,,64.0,,6515
"Emmonak ANVSA, AK",761.0,,86.0,,6480
"Lookout Rancheria, CA",17.0,,10.0,,1980
"Bethel ANVSA, AK",6424.0,,19.0,,6205
"Atmautluak ANVSA, AK",209.0,,45.0,,6160
"Iliamna ANVSA, AK",63.0,,31.0,,6625
"Kasaan ANVSA, AK",75.0,,29.0,,6705
"Napaskiak ANVSA, AK",356.0,,57.0,,7020
"Pilot Point ANVSA, AK",83.0,,44.0,,7225
"Crow Reservation and Off-Reservation Trust Land, MT",7184.0,,327.0,,0845
"Mesa Grande Reservation, CA",78.0,,27.0,,2190
"Noorvik ANVSA, AK",597.0,,82.0,,7110
"MOWA Choctaw Reservation (state), AL",81.0,,40.0,,9240
"Kalskag ANVSA, AK",222.0,,34.0,,6685
"Mechoopda TDSA, CA",3344.0,,341.0,,8450
"Douglas ANVSA, AK",6134.0,,321.0,,6420
"Naknek ANVSA, AK",464.0,,81.0,,6990
"Nanakuli Hawaiian Home Land, HI",5141.0,,477.0,,5161
"Washoe Ranches Trust Land, NV--CA",3096.0,,175.0,,4560
"Hoopa Valley Reservation, CA",3573.0,,388.0,,1490
"Houlton Maliseet Reservation and Off-Reservation Trust Land, ME",325.0,,102.0,,1530
"Ponohawaii Hawaiian Home Land, HI",16.0,,17.0,,5196
"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",9.0,,10.0,,1655
"Los Coyotes Reservation, CA",105.0,,39.0,,1995
"Sauk-Suiattle Reservation, WA",63.0,,31.0,,3625
"Kickapoo OTSA, OK",20991.0,,668.0,,5700
"Elim ANVSA, AK",303.0,,45.0,,6470
"False Pass ANVSA, AK",78.0,,25.0,,6500
"Levelock ANVSA, AK",76.0,,32.0,,6865
"Lime Village ANVSA, AK",8.0,,7.0,,6875
"Piihonua Hawaiian Home Land, HI",92.0,,53.0,,5193
"Clarks Point ANVSA, AK",48.0,,26.0,,6360
"Kobuk ANVSA, AK",143.0,,43.0,,6790
"Santee Reservation, NE",1019.0,,72.0,,3565
"Waimea Hawaiian Home Land, HI",0.0,,11.0,,5281
"Nome ANVSA, AK",4014.0,,71.0,,7095
"Venetie ANVSA, AK",134.0,,27.0,,7725
"Chicken Ranch Rancheria and Off-Reservation Trust Land, CA",0.0,,12.0,,0620
"Makaha Valley Hawaiian Home Land, HI",0.0,,11.0,,5139
"Bois Forte Reservation and Off-Reservation Trust Land, MN",1383.0,,221.0,,0335
"Cedarville Rancheria and Off-Reservation Trust Land, CA",28.0,,27.0,,0555
