FIPS,Abbreviation,Location,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900
01109,AL,Pike County,27595,28050,25038,25987,30608,32493,32240,31631,30815,29172
01111,AL,Randolph County,19881,20075,18331,19477,22513,25516,26861,27064,24659,21647
01113,AL,Russell County,46860,47356,45394,46351,40364,35775,27377,27448,25937,27083
01115,AL,St. Clair County,50009,41205,27956,25388,26687,27336,24510,23383,20715,19425
01117,AL,Shelby County,99358,66298,38037,32132,30362,28962,27576,27097,26949,23684
01119,AL,Sumter County,16174,16908,16974,20041,23610,27321,26929,25569,28699,32710
01121,AL,Talladega County,74107,73826,65280,65495,63639,51832,45241,41005,37921,35773
01123,AL,Tallapoosa County,38826,38676,33840,35007,35074,35270,31188,29744,31034,29675
01125,AL,Tuscaloosa County,150522,137541,116029,109047,94092,76036,64153,53680,47559,36147
01127,AL,Walker County,67670,68660,56246,54211,63769,64201,59445,50593,37013,25162
01129,AL,Washington County,16694,16821,16241,15372,15612,16188,16365,14279,14454,11134
01131,AL,Wilcox County,13568,14755,16303,18739,23476,26279,24880,31080,33810,35631
01133,AL,Winston County,22053,21953,16654,14858,18250,18746,15596,14378,12855,9554
02000,AK,Alaska,550043,401851,300382,226167,128643,72524,59278,55036,64356,63592
02013,AK,Aleutians East Borough,2464,---,---,---,---,---,---,---,---,---
02016,AK,Aleutians West C.A.,9478,7768,8057,6011,---,---,---,---,---,---
02020,AK,Anchorage Borough,226338,174431,124542,82833,---,---,---,---,---,---
02030,AK,Angoon,---,---,503,---,---,---,---,---,---,---
02050,AK,Bethel Census Area,13656,10999,7579,5537,---,---,---,---,---,---
02060,AK,Bristol Bay Borough,1410,1094,1147,---,---,---,---,---,---,---
02060.1,AK,Cordova-McCarthy,---,---,1857,1759,---,---,---,---,---,---
02070,AK,Dillingham Census Area,4012,4616,3485,4024,---,---,---,---,---,---
02090,AK,Fairbanks North Star Bor.,77720,53983,45864,43412,---,---,---,---,---,---
02100,AK,Haines Borough,2117,1680,1504,---,---,---,---,---,---,---
02110,AK,Juneau Borough,26751,19528,13556,9745,---,---,---,---,---,---
02122,AK,Kenai Peninsula Borough,40802,25282,14250,6097,---,---,---,---,---,---
02130,AK,Ketchikan Gateway Borough,13828,11316,10041,10070,---,---,---,---,---,---
02150,AK,Kodiak Island Borough,13309,9939,9409,7174,---,---,---,---,---,---
02160,AK,Kuskokwim,---,---,2306,2301,---,---,---,---,---,---
02164,AK,Lake and Peninsula Bor.,1668,---,---,---,---,---,---,---,---,---
02165.1,AK,Lynn Canal-Icy Straits,---,---,---,2945,---,---,---,---,---,---
02170,AK,Matanuska-Susitna Borough,39683,17816,6509,5188,---,---,---,---,---,---
02180,AK,Nome Census Area,8288,6537,5749,6091,---,---,---,---,---,---
02185,AK,North Slope Borough,5979,4199,2663,2133,---,---,---,---,---,---
02188,AK,Northwest Arctic Borough,6113,4831,4434,3560,---,---,---,---,---,---
02190,AK,Outer Ketchikan,---,---,1676,---,---,---,---,---,---,---
02201,AK,Prince of Wales- C.A.,6278,3822,2106,1772,---,---,---,---,---,---
02210,AK,Seward,---,---,2336,2956,---,---,---,---,---,---
02220,AK,Sitka Borough,8588,7803,6109,6690,---,---,---,---,---,---
02231,AK,Skagway-Yakutat- C.A.,4385,3478,2157,---,---,---,---,---,---,---
02240,AK,Southeast Fairbanks C.A.,5913,5676,4179,---,---,---,---,---,---,---
02250,AK,Upper Yukon,---,---,1684,1619,---,---,---,---,---,---
02261,AK,Valdez-Cordova C.A.,9952,8348,3098,2844,---,---,---,---,---,---
02270,AK,Wade Hampton Census Area,5791,4665,3917,3128,---,---,---,---,---,---
02280,AK,Wrangell-Petersburg C.A.,7042,6167,4913,4181,---,---,---,---,---,---
02290,AK,Yukon-Koyukuk Census Area,8478,7873,4752,4097,---,---,---,---,---,---
02900.1,AK,First Division,---,---,---,---,28203,25241,19304,17402,15216,---
02900.2,AK,Second Division,---,---,---,---,12272,11877,10127,10890,12351,---
02900.3,AK,Third Division,---,---,---,---,59518,19312,16309,16231,20078,---
02900.4,AK,Fourth Division,---,---,---,---,28650,16094,13538,10513,16711,---
02950.1,AK,Northern District,---,---,---,---,---,---,---,---,---,30569
02950.2,AK,Southern District,---,---,---,---,---,---,---,---,---,33023
04000,AZ,Arizona,3665228,2718215,1770900,1302161,749587,499261,435573,334162,204354,122931
04001,AZ,Apache County,61591,52108,32298,30438,27767,24095,17765,13196,9196,8297
04003,AZ,Cochise County,97624,85686,61910,55039,31488,34627,40998,46465,34591,9251
04005,AZ,Coconino County,96591,75008,48326,41857,23910,18770,14064,9982,8130,5514
04007,AZ,Gila County,40216,37080,29255,25745,24158,23867,31016,25678,16348,4973
04009,AZ,Graham County,26554,22862,16578,14045,12985,12113,10373,10148,23999,14162
04011,AZ,Greenlee County,8008,11406,10330,11509,12805,8698,9886,15362,---,---
04012,AZ,La Paz County,13844,---,---,---,---,---,---,---,---,---
04013,AZ,Maricopa County,2122101,1509052,967522,663510,331770,186193,150970,89576,34488,20457
04015,AZ,Mohave County,93497,55865,25857,7736,8510,8591,5572,5259,3773,3426
04017,AZ,Navajo County,77658,67629,47715,37994,29446,25309,21202,16077,11471,8829
04019,AZ,Pima County,666880,531443,351667,265660,141216,72838,55676,34680,22818,14689
04021,AZ,Pinal County,116379,90918,67916,62673,43191,28841,22081,16130,9045,7779
04023,AZ,Santa Cruz County,29676,20459,13966,10808,9344,9482,9684,12689,6766,4545
04025,AZ,Yavapai County,107714,68145,36733,28912,24991,26511,28470,24016,15996,13799
04027,AZ,Yuma County,106895,90554,60827,46235,28006,19326,17816,14904,7733,4145
05000,AR,Arkansas,2350725,2286435,1923295,1786272,1909511,1949387,1854482,1752204,1574449,1311564
05001,AR,Arkansas County,21653,24175,23347,23355,23665,24437,22300,21483,16103,12973
05003,AR,Ashley County,24319,26538,24976,24220,25660,26785,25151,23410,25268,19734
05005,AR,Baxter County,31186,27409,15319,9943,11683,10281,9519,10216,10389,9298
05007,AR,Benton County,97499,78115,50476,36272,38076,36148,35253,36253,33389,31611
05009,AR,Boone County,28297,26067,19073,16116,16260,15860,14937,16098,14318,16396
05011,AR,Bradley County,11793,13803,12778,14029,15987,18097,17494,15970,14518,9651
05013,AR,Calhoun County,5826,6079,5573,5991,7132,9636,9752,11807,9894,8539
05015,AR,Carroll County,18654,16203,12301,11284,13244,14737,15820,17786,16829,18848
05017,AR,Chicot County,15713,17793,18164,18990,22306,27452,22646,21749,21987,14528
05019,AR,Clark County,21437,23326,21537,20950,22998,24402,24932,25632,23686,21289
05021,AR,Clay County,18107,20616,18771,21258,26674,28386,27278,27276,23690,15886
05023,AR,Cleburne County,19411,16909,10349,9059,11487,13134,11373,12696,11903,9628
05025,AR,Cleveland County,7781,7868,6605,6944,8956,12570,12744,12260,13481,11620
05027,AR,Columbia County,25691,26644,25952,26400,28770,29822,27320,27670,23820,22077
05029,AR,Conway County,19151,19505,16805,15430,18137,21536,21949,22578,22729,19772
05031,AR,Craighead County,68956,63239,52068,47303,50613,47200,44740,37541,27627,19505
05033,AR,Crawford County,42493,36892,25677,21318,22727,23920,22549,25739,23942,21270
05035,AR,Crittenden County,49939,49499,48106,47564,47184,42473,39717,29309,22447,14529
05037,AR,Cross County,19225,20434,19783,19551,24757,26046,25723,18579,14042,11051
05039,AR,Dallas County,9614,10515,10022,10522,12416,14471,14671,14424,12621,11518
05041,AR,Desha County,16798,19760,18761,20770,25155,27160,21814,20297,15274,11511
05043,AR,Drew County,17369,17910,15157,15213,17959,19831,19928,21822,21960,19451
05045,AR,Faulkner County,60006,46192,31572,24303,25289,25880,28381,27681,23708,20780
05047,AR,Franklin County,14897,14705,11301,10213,12358,15683,15762,19364,20638,17395
05049,AR,Fulton County,10037,9975,7699,6657,9187,10253,10834,11182,12193,12917
05051,AR,Garland County,73397,70531,54131,46697,47102,41664,36031,25785,27271,18773
05053,AR,Grant County,13948,13008,9711,8294,9024,10477,9834,10710,9425,7671
05055,AR,Greene County,31804,30744,24765,25198,29149,30204,26127,26105,23852,16979
05057,AR,Hempstead County,21621,23635,19308,19661,25080,32770,30847,31602,28285,24101
05059,AR,Hot Spring County,26115,26819,21963,21893,22181,18916,18105,17784,15022,12748
05061,AR,Howard County,13569,13459,11412,10878,13342,16621,17489,18565,16898,14076
05063,AR,Independence County,31192,30147,22723,20048,23488,25643,24225,23976,24776,22557
05065,AR,Izard County,11364,10768,7381,6766,9953,12834,12872,13871,14561,13506
05067,AR,Jackson County,18944,21646,20452,22843,25912,26427,27943,25446,23501,18383
05069,AR,Jefferson County,85487,90718,85329,81373,76075,65101,64154,60330,52734,40972
05071,AR,Johnson County,18221,17423,13630,12421,16138,18795,19289,21062,19698,17448
05073,AR,Lafayette County,9643,10213,10018,11030,13203,16851,16934,15522,13741,10594
05075,AR,Lawrence County,17457,18447,16320,17267,21303,22651,21663,22098,20001,16491
05077,AR,Lee County,13053,15539,18884,21001,24322,26810,26637,28852,24252,19409
05079,AR,Lincoln County,13690,13369,12913,14447,17079,19709,20250,18774,15118,13389
05081,AR,Little River County,13966,13952,11194,9211,11690,15932,15515,16301,13597,13731
05083,AR,Logan County,20557,20144,16789,15957,20260,25967,24110,25866,26350,20563
05085,AR,Lonoke County,39268,34518,26249,24551,27278,29802,33759,33400,27983,22544
05087,AR,Madison County,11618,11373,9453,9068,11734,14531,13334,14918,16056,19864
05089,AR,Marion County,12001,11334,7000,6041,8609,9464,8876,10154,10203,11377
05091,AR,Miller County,38467,37766,33385,31686,32614,31874,30586,24021,19555,17558
05093,AR,Mississippi County,57525,59517,62060,70174,82375,80217,69289,47320,30468,16384
05095,AR,Monroe County,11333,14052,15657,17327,19540,21133,20651,21601,19907,16816
05097,AR,Montgomery County,7841,7771,5821,5370,6680,8876,10768,11112,12455,9444
05099,AR,Nevada County,10101,11097,10111,10700,14781,19869,20407,21934,19344,16609
05101,AR,Newton County,7666,7756,5844,5963,8685,10881,10564,11199,10612,12538
05103,AR,Ouachita County,30574,30541,30896,31641,33051,31151,29890,20636,21774,20892
05105,AR,Perry County,7969,7266,5634,4927,5978,8392,7695,9905,9402,7294
05107,AR,Phillips County,28838,34772,40046,43997,46254,45970,40683,44530,33535,26561
05109,AR,Pike County,10086,10373,8711,7864,10032,11786,11792,12397,12565,10301
05111,AR,Poinsett County,24664,27032,26822,30834,39311,37670,29695,20848,12791,7025
05113,AR,Polk County,17347,17007,13297,11981,14182,15832,14857,16412,17216,18352
05115,AR,Pope County,45883,39021,28607,21177,23291,25682,26547,27153,24527,21715
05117,AR,Prairie County,9518,10140,10249,10515,13768,15304,15187,17447,13853,11875
05119,AR,Pulaski County,349660,340613,287189,242980,196685,156085,137727,109464,86751,63179
05121,AR,Randolph County,16558,16834,12645,12520,15982,18319,16871,17713,18987,17156
05123,AR,St. Francis County,28497,30858,30799,33303,36841,36043,33394,28385,22548,17157
05125,AR,Saline County,64183,53161,36107,28956,23816,19163,15660,16781,16657,13122
05127,AR,Scott County,10205,9685,8207,7297,10057,13300,11803,13232,14302,13183
05129,AR,Searcy County,7841,8847,7731,8124,10424,11942,11056,14590,14825,11988
05131,AR,Sebastian County,99590,95172,79237,66685,64202,62809,54426,56739,52278,36935
05133,AR,Sevier County,13637,14060,11272,10156,12293,15248,16364,18301,16616,16339
05135,AR,Sharp County,14109,14607,8233,6319,8999,11497,10715,11132,11688,12199
05137,AR,Stone County,9775,9022,6838,6294,7662,8603,7993,8779,8946,8100
05139,AR,Union County,46719,48573,45428,49518,49686,50461,55800,29691,30723,22495
05141,AR,Van Buren County,14008,13357,8275,7228,9687,12518,11962,13666,13509,11220
05143,AR,Washington County,113409,100494,77370,55797,49979,41114,39255,35468,33889,34256
05145,AR,White County,54676,50835,39253,32745,38040,37176,38269,34603,28574,24864
05147,AR,Woodruff County,9520,11222,11566,13954,18957,22133,22682,21547,20049,16304
05149,AR,Yell County,17759,17026,14208,11940,14057,20970,21313,25655,26323,22750
06000,CA,California,29760021,23667902,19953134,15717204,10586223,6907387,5677251,3426861,2377549,1485053
06001,CA,Alameda County,1279182,1105379,1073184,908209,740315,513011,474883,344177,246131,130197
06003,CA,Alpine County,1113,1097,484,397,241,323,241,243,309,509
06005,CA,Amador County,30039,19314,11821,9990,9151,8973,8494,7793,9086,11116
06007,CA,Butte County,182120,143851,101969,82030,64930,42840,34093,30030,27301,17117
06009,CA,Calaveras County,31998,20710,13585,10289,9902,8221,6008,6183,9171,11200
06011,CA,Colusa County,16275,12791,12430,12075,11651,9788,10258,9290,7732,7364
06013,CA,Contra Costa County,803732,656380,558389,409030,298984,100450,78608,53889,31674,18046
06015,CA,Del Norte County,23460,18217,14580,17771,8078,4745,4739,2759,2417,2408
06017,CA,El Dorado County,125995,85812,43833,29390,16207,13229,8325,6426,7492,8986
06019,CA,Fresno County,667490,514621,413053,365945,276515,178565,144379,128779,75657,37862
06021,CA,Glenn County,24798,21350,17521,17245,15448,12195,10935,11853,7172,5150
06023,CA,Humboldt County,119118,108514,99692,104892,69241,45812,43233,37413,33857,27104
06025,CA,Imperial County,109303,92110,74492,72105,62975,59740,60903,43453,13591,---
06027,CA,Inyo County,18281,17895,15571,11684,11658,7625,6555,7031,6974,4377
06029,CA,Kern County,543477,403089,329162,291984,228309,135124,82570,54843,37715,16480
06031,CA,Kings County,101469,73738,64610,49954,46768,35168,25385,22031,16230,9871
06033,CA,Lake County,50631,36366,19548,13786,11481,8069,7166,5402,5526,6017
06035,CA,Lassen County,27598,21661,14960,13597,18474,14479,12589,8507,4802,4511
06037,CA,Los Angeles County,8863164,7477503,7032075,6038771,4151687,2785643,2208492,936455,504131,170298
06039,CA,Madera County,88090,63116,41519,40468,36964,23314,17164,12203,8368,6364
06041,CA,Marin County,230096,222568,206038,146820,85619,52907,41648,27342,25114,15702
06043,CA,Mariposa County,14302,11108,6015,5064,5145,5605,3233,2775,3956,4720
06045,CA,Mendocino County,80345,66738,51101,51059,40854,27864,23505,24116,23929,20465
06047,CA,Merced County,178403,134560,104629,90446,69780,46988,36748,24579,15148,9215
06049,CA,Modoc County,9678,8610,7469,8308,9678,8713,8038,5425,6191,5076
06051,CA,Mono County,9956,8577,4016,2213,2115,2299,1360,960,2042,2167
06053,CA,Monterey County,355660,290444,250071,198351,130498,73032,53705,27980,24146,19380
06055,CA,Napa County,110765,99199,79140,65890,46603,28503,22897,20678,19800,16451
06057,CA,Nevada County,78510,51645,26346,20911,19888,19283,10596,10850,14955,17789
06059,CA,Orange County,2410556,1932709,1420386,703925,216224,130760,118674,61375,34436,19696
06061,CA,Placer County,172796,117247,77306,56998,41649,28108,24468,18584,18237,15786
06063,CA,Plumas County,19739,17340,11707,11620,13519,11548,7913,5681,5259,4657
06065,CA,Riverside County,1170413,663166,459074,306191,170046,105524,81024,50297,34696,17897
06067,CA,Sacramento County,1041219,783381,631498,502778,277140,170333,141999,91029,67806,45915
06069,CA,San Benito County,36697,25005,18226,15396,14370,11392,11311,8995,8041,6633
06071,CA,San Bernardino County,1418380,895016,684072,503591,281642,161108,133900,73401,56706,27929
06073,CA,San Diego County,2498016,1861846,1357854,1033011,556808,289348,209659,112248,61665,35090
06075,CA,San Francisco County,723959,678974,715674,740316,775357,634536,634394,506676,416912,342782
06077,CA,San Joaquin County,480628,347342,290208,249989,200750,134207,102940,79905,50731,35452
06079,CA,San Luis Obispo County,217162,155435,105690,81044,51417,33246,29613,21893,19383,16637
06081,CA,San Mateo County,649623,587329,556234,444387,235659,111782,77405,36781,26585,12094
06083,CA,Santa Barbara County,369608,298694,264324,168962,98220,70555,65167,41097,27738,18934
06085,CA,Santa Clara County,1497577,1295071,1064714,642315,290547,174949,145118,100676,83539,60216
06087,CA,Santa Cruz County,229734,188141,123790,84219,66534,45057,37433,26269,26140,21512
06089,CA,Shasta County,147036,115715,77640,59468,36413,28800,13927,13361,18920,17318
06091,CA,Sierra County,3318,3073,2365,2247,2410,3025,2422,1783,4098,4017
06093,CA,Siskiyou County,43531,39732,33225,32885,30733,28598,25480,18545,18801,16962
06095,CA,Solano County,340421,235203,169941,134597,104833,49118,40834,40602,27559,24143
06097,CA,Sonoma County,388222,299681,204885,147375,103405,69052,62222,52090,48394,38480
06099,CA,Stanislaus County,370522,265900,194506,157294,127231,74866,56641,43557,22522,9550
06101,CA,Sutter County,64415,52246,41935,33380,26239,18680,14618,10115,6328,5886
06103,CA,Tehama County,49625,38888,29517,25305,19276,14316,13866,12882,11401,10996
06105,CA,Trinity County,13063,11858,7615,9706,5087,3970,2809,2551,3301,4383
06107,CA,Tulare County,311921,245738,188322,168403,149264,107152,77442,59031,35440,18375
06109,CA,Tuolumne County,48456,33928,22169,14404,12584,10887,9271,7768,9979,11166
06111,CA,Ventura County,669016,529174,376430,199138,114647,69685,54976,28724,18347,14367
06113,CA,Yolo County,141092,113374,91788,65727,40640,27243,23644,17105,13926,13618
06115,CA,Yuba County,58228,49733,44736,33859,24420,17034,11331,10375,10042,8620
08000,CO,Colorado,3294394,2889964,2207259,1753947,1325089,1123296,1035791,939629,799024,539700
08001,CO,Adams County,265038,245944,185789,120296,40234,22481,20245,14430,8892,---
08003,CO,Alamosa County,13617,11799,11422,10000,10531,10484,8602,5148,---,---
08005,CO,Arapahoe County,391511,293621,162142,113426,52125,32150,22647,13766,10263,153017
08007,CO,Archuleta County,5345,3664,2733,2629,3030,3806,3204,3590,3302,2117
08009,CO,Baca County,4556,5419,5674,6310,7964,6207,10570,8721,2516,759
08011,CO,Bent County,5048,5945,6493,7419,8775,9653,9134,9705,5043,3049
08013,CO,Boulder County,225339,189625,131889,74254,48296,37438,32456,31861,30330,21544
08015,CO,Chaffee County,12684,13227,10162,8298,7168,8109,8126,7753,7622,7085
08017,CO,Cheyenne County,2397,2153,2396,2789,3453,2964,3723,3746,3687,501
08019,CO,Clear Creek County,7619,7308,4819,2793,3289,3784,2155,2891,5001,7082
08021,CO,Conejos County,7453,7794,7846,8428,10171,11648,9803,8416,11285,8794
08023,CO,Costilla County,3190,3071,3091,4219,6067,7533,5779,5032,5498,4632
08025,CO,Crowley County,3946,2988,3086,3978,5222,5398,5934,6383,---,---
08027,CO,Custer County,1926,1528,1120,1305,1573,2270,2124,2172,1947,2937
08029,CO,Delta County,20980,21225,15286,15602,17365,16470,14204,13668,13688,5487
08031,CO,Denver County,467610,492365,514678,493887,415786,322412,287861,256491,213381,---
08033,CO,Dolores County,1504,1658,1641,2196,1966,1958,1412,1243,642,1134
08035,CO,Douglas County,60391,25153,8407,4816,3507,3496,3498,3517,3192,3120
08037,CO,Eagle County,21928,13320,7498,4677,4488,5361,3924,3385,2985,3008
08039,CO,Elbert County,9646,6850,3903,3708,4477,5460,6580,6980,5331,3101
08041,CO,El Paso County,397014,309424,235972,143742,74523,54025,49570,44027,43321,31602
08043,CO,Fremont County,32273,28676,21942,20196,18366,19742,18896,17883,18181,15636
08045,CO,Garfield County,29974,22514,14821,12017,11625,10560,9975,9304,10144,5835
08047,CO,Gilpin County,3070,2441,1272,685,850,1625,1212,1364,4131,6690
08049,CO,Grand County,7966,7475,4107,3557,3963,3587,2108,2659,1862,741
08051,CO,Gunnison County,10273,10689,7578,5477,5716,6192,5527,5590,5897,5331
08053,CO,Hinsdale County,467,408,202,208,263,349,449,538,646,1609
08055,CO,Huerfano County,6009,6440,6590,7867,10549,16088,17062,16879,13320,8395
08057,CO,Jackson County,1605,1863,1811,1758,1976,1798,1386,1340,1013,---
08059,CO,Jefferson County,438430,371753,233031,127520,55687,30725,21810,14400,14231,9306
08061,CO,Kiowa County,1688,1936,2029,2425,3003,2793,3786,3755,2899,701
08063,CO,Kit Carson County,7140,7599,7530,6957,8600,7512,9725,8915,7483,1580
08065,CO,Lake County,6007,8830,8282,7101,6150,6883,4899,6630,10600,18054
08067,CO,La Plata County,32284,27424,19199,19225,14880,15494,12975,11218,10812,7016
08069,CO,Larimer County,186136,149184,89900,53343,43554,35539,33137,27872,25270,12168
08071,CO,Las Animas County,13765,14897,15744,19983,25902,32369,36008,38975,33643,21842
08073,CO,Lincoln County,4529,4663,4836,5310,5909,5882,7850,8273,5917,926
08075,CO,Logan County,17567,19800,18852,20302,17187,18370,19946,18427,9549,3292
08077,CO,Mesa County,93145,81530,54374,50715,38974,33791,25908,22281,22197,9267
08079,CO,Mineral County,558,804,786,424,698,975,640,779,1239,1913
08081,CO,Moffat County,11357,13133,6525,7061,5946,5086,4861,5129,---,---
08083,CO,Montezuma County,18672,16510,12952,14024,9991,10463,7798,6260,5029,3058
08085,CO,Montrose County,24423,24352,18366,18286,15220,15418,11742,11852,10291,4535
08087,CO,Morgan County,21939,22513,20105,21192,18074,17214,18284,16124,9577,3268
08089,CO,Otero County,20185,22567,23523,24128,25275,23571,24390,22623,20201,11522
08091,CO,Ouray County,2295,1925,1546,1601,2103,2089,1784,2620,3514,4731
08093,CO,Park County,7174,5333,2185,1822,1870,3272,2052,1977,2492,2998
08095,CO,Phillips County,4189,4542,4131,4440,4924,4948,5797,5499,3179,1583
08097,CO,Pitkin County,12661,10338,6185,2381,1646,1836,1770,2707,4566,7020
08099,CO,Prowers County,13347,13070,13258,13296,14836,12304,14762,13845,9520,3766
08101,CO,Pueblo County,123051,125972,118238,118707,90188,68870,66038,57638,52223,34448
08103,CO,Rio Blanco County,5972,6255,4842,5150,4719,2943,2980,3135,2332,1690
08105,CO,Rio Grande County,10770,10511,10494,11160,12832,12404,9953,7855,6563,4080
08107,CO,Routt County,14088,13404,6592,5900,8940,10525,9352,8948,7561,3661
08109,CO,Saguache County,4619,3935,3827,4473,5664,6173,6250,4638,4160,3853
08111,CO,San Juan County,745,833,831,849,1471,1439,1935,1700,3063,2342
08113,CO,San Miguel County,3653,3192,1949,2944,2693,3664,2184,5281,4700,5379
08115,CO,Sedgwick County,2690,3266,3405,4242,5095,5294,5580,4207,3061,971
08117,CO,Summit County,12881,8848,2665,2073,1135,1754,987,1724,2003,2744
08119,CO,Teller County,12468,8034,3316,2495,2754,6463,4141,6696,14351,29002
08121,CO,Washington County,4812,5304,5550,6625,7520,8336,9591,11208,6002,1241
08123,CO,Weld County,131821,123438,89297,72344,67504,63747,65097,54059,39177,16808
08125,CO,Yuma County,8954,9682,8544,8912,10827,12102,13613,13897,8499,1729
09000,CT,Connecticut,3287116,3107576,3031709,2535234,2007280,1709242,1606903,1380631,1114756,908420
09001,CT,Fairfield County,827645,807143,792814,653589,504342,418384,386702,320936,245322,184203
09003,CT,Hartford County,851783,807766,816737,689555,539661,450189,421097,336027,250182,195480
09005,CT,Litchfield County,174092,156769,144091,119856,98872,87041,82556,76262,70260,63672
09007,CT,Middlesex County,143196,129017,114816,88865,67332,55999,51388,47550,45637,41760
09009,CT,New Haven County,804219,761337,744948,660315,545784,484316,463449,415214,337282,269163
09011,CT,New London County,254957,238409,230348,185745,144821,125224,118966,104611,91253,82758
09013,CT,Tolland County,128699,114823,103440,68737,44709,31866,28659,27216,26459,24523
