NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,state legislative district (upper chamber)
"State Senate District P (2018), Alaska",37732.0,,765.0,,02,00P
"State Senate District Q (2018), Alaska",36372.0,,167.0,,02,00Q
"State Senate District R (2018), Alaska",36424.0,,96.0,,02,00R
"State Senate District S (2018), Alaska",36050.0,,360.0,,02,00S
"State Senate District T (2018), Alaska",37135.0,,138.0,,02,00T
"State Senate District 1 (2018), Arizona",231829.0,,2410.0,,04,001
"State Senate District 2 (2018), Arizona",211905.0,,2377.0,,04,002
"State Senate District 3 (2018), Arizona",215660.0,,3137.0,,04,003
"State Senate District 4 (2018), Arizona",216706.0,,2894.0,,04,004
"State Senate District 5 (2018), Arizona",224856.0,,249.0,,04,005
"State Senate District 6 (2018), Arizona",223969.0,,2281.0,,04,006
"State Senate District 7 (2018), Arizona",204666.0,,1838.0,,04,007
"State Senate District 8 (2018), Arizona",227757.0,,2673.0,,04,008
"State Senate District 9 (2018), Arizona",214046.0,,2439.0,,04,009
"State Senate District 10 (2018), Arizona",211949.0,,3055.0,,04,010
"State Senate District 11 (2018), Arizona",235634.0,,2565.0,,04,011
"State Senate District 12 (2018), Arizona",263664.0,,1515.0,,04,012
"State Senate District 13 (2018), Arizona",247927.0,,2678.0,,04,013
"State Senate District 14 (2018), Arizona",220225.0,,1212.0,,04,014
"State Senate District 15 (2018), Arizona",233313.0,,2911.0,,04,015
"State Senate District 16 (2018), Arizona",253114.0,,3894.0,,04,016
"State Senate District 17 (2018), Arizona",230762.0,,1880.0,,04,017
"State Senate District 18 (2018), Arizona",235086.0,,2926.0,,04,018
"State Senate District 19 (2018), Arizona",247419.0,,3060.0,,04,019
"State Senate District 20 (2018), Arizona",237220.0,,3401.0,,04,020
"State Senate District 21 (2018), Arizona",228086.0,,2031.0,,04,021
"State Senate District 22 (2018), Arizona",240808.0,,2060.0,,04,022
"State Senate District 23 (2018), Arizona",236716.0,,1741.0,,04,023
"State Senate District 24 (2018), Arizona",230206.0,,3938.0,,04,024
"State Senate District 25 (2018), Arizona",245560.0,,2373.0,,04,025
"State Senate District 26 (2018), Arizona",240931.0,,2701.0,,04,026
"State Senate District 27 (2018), Arizona",229588.0,,3657.0,,04,027
"State Senate District 28 (2018), Arizona",234609.0,,2757.0,,04,028
"State Senate District 29 (2018), Arizona",247936.0,,2790.0,,04,029
"State Senate District 30 (2018), Arizona",224538.0,,4063.0,,04,030
"State Senate District 1 (2018), Arkansas",109720.0,,1419.0,,05,001
"State Senate District 2 (2018), Arkansas",90729.0,,1742.0,,05,002
"State Senate District 3 (2018), Arkansas",91508.0,,1502.0,,05,003
"State Senate District 4 (2018), Arkansas",93808.0,,958.0,,05,004
"State Senate District 5 (2018), Arkansas",82901.0,,1357.0,,05,005
"State Senate District 6 (2018), Arkansas",82327.0,,481.0,,05,006
"State Senate District 7 (2018), Arkansas",94121.0,,1235.0,,05,007
"State Senate District 8 (2018), Arkansas",82704.0,,1579.0,,05,008
"State Senate District 9 (2018), Arkansas",86464.0,,2005.0,,05,009
"State Senate District 10 (2018), Arkansas",80698.0,,731.0,,05,010
"State Senate District 11 (2018), Arkansas",81991.0,,540.0,,05,011
"State Senate District 12 (2018), Arkansas",80166.0,,1002.0,,05,012
"State Senate District 13 (2018), Arkansas",85481.0,,1650.0,,05,013
"State Senate District 17 (2018), Arkansas",83670.0,,819.0,,05,017
"State Senate District 14 (2018), Arkansas",84783.0,,1447.0,,05,014
"State Senate District 15 (2018), Arkansas",84956.0,,1282.0,,05,015
"State Senate District 16 (2018), Arkansas",85481.0,,979.0,,05,016
"State Senate District 18 (2018), Arkansas",82066.0,,1357.0,,05,018
"State Senate District 19 (2018), Arkansas",83174.0,,465.0,,05,019
"State Senate District 20 (2018), Arkansas",88174.0,,558.0,,05,020
"State Senate District 21 (2018), Arkansas",92453.0,,847.0,,05,021
"State Senate District 22 (2018), Arkansas",75564.0,,694.0,,05,022
"State Senate District 23 (2018), Arkansas",75682.0,,1127.0,,05,023
"State Senate District 24 (2018), Arkansas",83625.0,,903.0,,05,024
"State Senate District 25 (2018), Arkansas",73658.0,,923.0,,05,025
"State Senate District 26 (2018), Arkansas",78191.0,,602.0,,05,026
"State Senate District 27 (2018), Arkansas",78445.0,,1076.0,,05,027
"State Senate District 28 (2018), Arkansas",84132.0,,1001.0,,05,028
"State Senate District 29 (2018), Arkansas",87264.0,,1518.0,,05,029
"State Senate District 30 (2018), Arkansas",79738.0,,2294.0,,05,030
"State Senate District 31 (2018), Arkansas",83576.0,,2141.0,,05,031
"State Senate District 32 (2018), Arkansas",84178.0,,1690.0,,05,032
"State Senate District 33 (2018), Arkansas",98785.0,,1585.0,,05,033
"State Senate District 34 (2018), Arkansas",90286.0,,2274.0,,05,034
"State Senate District 35 (2018), Arkansas",90172.0,,991.0,,05,035
"State Senate District 1 (2018), California",955145.0,,1815.0,,06,001
"State Senate District 2 (2018), California",947762.0,,1252.0,,06,002
"State Senate District 3 (2018), California",974130.0,,1970.0,,06,003
"State Senate District 4 (2018), California",982521.0,,2810.0,,06,004
"State Senate District 5 (2018), California",997989.0,,1748.0,,06,005
"State Senate District 6 (2018), California",1005024.0,,2767.0,,06,006
"State Senate District 7 (2018), California",1021011.0,,1728.0,,06,007
"State Senate District 8 (2018), California",985432.0,,3935.0,,06,008
"State Senate District 9 (2018), California",1007011.0,,1781.0,,06,009
"State Senate District 10 (2018), California",1016362.0,,2882.0,,06,010
"State Senate District 11 (2018), California",1002014.0,,1043.0,,06,011
"State Senate District 12 (2018), California",972883.0,,3152.0,,06,012
"State Senate District 13 (2018), California",994622.0,,1331.0,,06,013
"State Senate District 14 (2018), California",946889.0,,4329.0,,06,014
"State Senate District 15 (2018), California",981716.0,,3263.0,,06,015
"State Senate District 16 (2018), California",969225.0,,3889.0,,06,016
"State Senate District 17 (2018), California",984792.0,,2185.0,,06,017
"State Senate District 18 (2018), California",965685.0,,5049.0,,06,018
"State Senate District 19 (2018), California",968225.0,,907.0,,06,019
"State Senate District 20 (2018), California",988397.0,,2936.0,,06,020
"State Senate District 21 (2018), California",960736.0,,3329.0,,06,021
"State Senate District 22 (2018), California",951987.0,,3057.0,,06,022
"State Senate District 23 (2018), California",999950.0,,3716.0,,06,023
"State Senate District 24 (2018), California",953423.0,,5295.0,,06,024
"State Senate District 25 (2018), California",950464.0,,2792.0,,06,025
"State Senate District 26 (2018), California",952953.0,,3542.0,,06,026
"State Senate District 27 (2018), California",983361.0,,4456.0,,06,027
"State Senate District 28 (2018), California",1013837.0,,3121.0,,06,028
"State Senate District 29 (2018), California",958486.0,,3107.0,,06,029
"State Senate District 33 (2018), California",938129.0,,2579.0,,06,033
"State Senate District 30 (2018), California",957975.0,,6566.0,,06,030
"State Senate District 31 (2018), California",1012519.0,,2329.0,,06,031
"State Senate District 32 (2018), California",951174.0,,2926.0,,06,032
"State Senate District 34 (2018), California",957184.0,,3021.0,,06,034
"State Senate District 35 (2018), California",960746.0,,4219.0,,06,035
"State Senate District 36 (2018), California",989492.0,,2465.0,,06,036
"State Senate District 37 (2018), California",1011789.0,,2699.0,,06,037
"State Senate District 38 (2018), California",986547.0,,3170.0,,06,038
"State Senate District 39 (2018), California",1002556.0,,3447.0,,06,039
"State Senate District 40 (2018), California",988617.0,,4317.0,,06,040
"State Senate District 5 (2018), Colorado",146776.0,,108.0,,08,005
"State Senate District 6 (2018), Colorado",150261.0,,194.0,,08,006
"State Senate District 7 (2018), Colorado",149998.0,,-555555555.0,*****,08,007
"State Senate District 8 (2018), Colorado",149728.0,,118.0,,08,008
"State Senate District 9 (2018), Colorado",164800.0,,1972.0,,08,009
"State Senate District 10 (2018), Colorado",158273.0,,1902.0,,08,010
"State Senate District 11 (2018), Colorado",147383.0,,2323.0,,08,011
"State Senate District 12 (2018), Colorado",162195.0,,2098.0,,08,012
"State Senate District 13 (2018), Colorado",161147.0,,1089.0,,08,013
"State Senate District 14 (2018), Colorado",164588.0,,360.0,,08,014
"State Senate District 15 (2018), Colorado",155402.0,,894.0,,08,015
"State Senate District 16 (2018), Colorado",153375.0,,1723.0,,08,016
"State Senate District 17 (2018), Colorado",154731.0,,612.0,,08,017
"State Senate District 18 (2018), Colorado",151796.0,,699.0,,08,018
"State Senate District 19 (2018), Colorado",148396.0,,985.0,,08,019
"State Senate District 20 (2018), Colorado",164514.0,,1523.0,,08,020
"State Senate District 21 (2018), Colorado",164130.0,,1358.0,,08,021
"State Senate District 22 (2018), Colorado",154031.0,,1411.0,,08,022
"State Senate District 23 (2018), Colorado",181648.0,,1213.0,,08,023
"State Senate District 24 (2018), Colorado",163999.0,,1483.0,,08,024
"State Senate District 25 (2018), Colorado",168986.0,,1738.0,,08,025
"State Senate District 26 (2018), Colorado",161747.0,,1499.0,,08,026
"State Senate District 27 (2018), Colorado",153560.0,,1054.0,,08,027
"State Senate District 28 (2018), Colorado",152909.0,,1824.0,,08,028
"State Senate District 29 (2018), Colorado",160470.0,,1694.0,,08,029
"State Senate District 30 (2018), Colorado",160649.0,,1075.0,,08,030
"State Senate District 31 (2018), Colorado",167225.0,,2364.0,,08,031
"State Senate District 32 (2018), Colorado",164301.0,,2316.0,,08,032
"State Senate District 33 (2018), Colorado",179613.0,,2334.0,,08,033
"State Senate District 34 (2018), Colorado",160801.0,,2389.0,,08,034
"State Senate District 35 (2018), Colorado",138041.0,,756.0,,08,035
"State Senate District 1 (2018), Colorado",148526.0,,971.0,,08,001
"State Senate District 2 (2018), Colorado",153388.0,,1093.0,,08,002
"State Senate District 3 (2018), Colorado",145789.0,,750.0,,08,003
"State Senate District 4 (2018), Colorado",167965.0,,1075.0,,08,004
"State Senate District 1 (2018), Connecticut",95887.0,,1133.0,,09,001
"State Senate District 2 (2018), Connecticut",94945.0,,1133.0,,09,002
"State Senate District 6 (2018), Connecticut",96657.0,,193.0,,09,006
"State Senate District 3 (2018), Connecticut",100261.0,,474.0,,09,003
"State Senate District 4 (2018), Connecticut",100684.0,,131.0,,09,004
"State Senate District 5 (2018), Connecticut",97598.0,,455.0,,09,005
"State Senate District 7 (2018), Connecticut",102085.0,,372.0,,09,007
"State Senate District 8 (2018), Connecticut",96414.0,,659.0,,09,008
"State Senate District 9 (2018), Connecticut",102356.0,,843.0,,09,009
"State Senate District 10 (2018), Connecticut",96227.0,,1807.0,,09,010
"State Senate District 11 (2018), Connecticut",97374.0,,1605.0,,09,011
"State Senate District 12 (2018), Connecticut",94659.0,,315.0,,09,012
"State Senate District 13 (2018), Connecticut",96698.0,,901.0,,09,013
"State Senate District 14 (2018), Connecticut",95820.0,,1008.0,,09,014
"State Senate District 15 (2018), Connecticut",101394.0,,1671.0,,09,015
"State Senate District 16 (2018), Connecticut",101931.0,,1381.0,,09,016
"State Senate District 17 (2018), Connecticut",99571.0,,1095.0,,09,017
"State Senate District 18 (2018), Connecticut",100577.0,,46.0,,09,018
"State Senate District 19 (2018), Connecticut",99001.0,,476.0,,09,019
"State Senate District 20 (2018), Connecticut",94777.0,,535.0,,09,020
"State Senate District 21 (2018), Connecticut",100701.0,,1176.0,,09,021
"State Senate District 22 (2018), Connecticut",99795.0,,1500.0,,09,022
"State Senate District 23 (2018), Connecticut",98122.0,,1634.0,,09,023
"State Senate District 24 (2018), Connecticut",107383.0,,325.0,,09,024
"State Senate District 25 (2018), Connecticut",103102.0,,421.0,,09,025
"State Senate District 26 (2018), Connecticut",108473.0,,874.0,,09,026
"State Senate District 27 (2018), Connecticut",109686.0,,1185.0,,09,027
"State Senate District 28 (2018), Connecticut",104689.0,,468.0,,09,028
"State Senate District 29 (2018), Connecticut",101508.0,,196.0,,09,029
"State Senate District 30 (2018), Connecticut",94250.0,,543.0,,09,030
"State Senate District 31 (2018), Connecticut",101094.0,,235.0,,09,031
"State Senate District 32 (2018), Connecticut",93438.0,,672.0,,09,032
"State Senate District 33 (2018), Connecticut",99614.0,,419.0,,09,033
"State Senate District 34 (2018), Connecticut",95791.0,,523.0,,09,034
"State Senate District 35 (2018), Connecticut",100586.0,,554.0,,09,035
"State Senate District 36 (2018), Connecticut",98356.0,,1344.0,,09,036
"State Senate Districts not defined (2018), Connecticut",0.0,,12.0,,09,ZZZ
"State Senate District 1 (2018), Delaware",44876.0,,1438.0,,10,001
"State Senate District 2 (2018), Delaware",42153.0,,1582.0,,10,002
"State Senate District 3 (2018), Delaware",39110.0,,1226.0,,10,003
"State Senate District 4 (2018), Delaware",40878.0,,1237.0,,10,004
"State Senate District 5 (2018), Delaware",41850.0,,783.0,,10,005
"State Senate District 6 (2018), Delaware",49576.0,,1341.0,,10,006
"State Senate District 7 (2018), Delaware",42239.0,,1118.0,,10,007
"State Senate District 8 (2018), Delaware",44996.0,,762.0,,10,008
"State Senate District 9 (2018), Delaware",41895.0,,1226.0,,10,009
"State Senate District 10 (2018), Delaware",45084.0,,1745.0,,10,010
"State Senate District 11 (2018), Delaware",42799.0,,1631.0,,10,011
"State Senate District 12 (2018), Delaware",48586.0,,1262.0,,10,012
"State Senate District 13 (2018), Delaware",43885.0,,1590.0,,10,013
"State Senate District 14 (2018), Delaware",51166.0,,1869.0,,10,014
"State Senate District 15 (2018), Delaware",48325.0,,1524.0,,10,015
"State Senate District 16 (2018), Delaware",46941.0,,1306.0,,10,016
"State Senate District 20 (2018), Delaware",48045.0,,1264.0,,10,020
"State Senate District 17 (2018), Delaware",46208.0,,892.0,,10,017
"State Senate District 18 (2018), Delaware",48421.0,,1440.0,,10,018
"State Senate District 19 (2018), Delaware",49788.0,,1532.0,,10,019
"State Senate District 21 (2018), Delaware",42674.0,,1167.0,,10,021
"Ward 1 (2018), District of Columbia",85134.0,,2164.0,,11,001
"Ward 2 (2018), District of Columbia",77791.0,,1782.0,,11,002
"Ward 3 (2018), District of Columbia",85067.0,,1432.0,,11,003
"Ward 4 (2018), District of Columbia",87775.0,,1767.0,,11,004
"Ward 5 (2018), District of Columbia",87850.0,,1960.0,,11,005
"Ward 6 (2018), District of Columbia",94558.0,,1582.0,,11,006
"Ward 7 (2018), District of Columbia",81299.0,,1923.0,,11,007
"Ward 8 (2018), District of Columbia",85024.0,,2041.0,,11,008
"State Senate District 1 (2018), Florida",507972.0,,1230.0,,12,001
"State Senate District 2 (2018), Florida",515537.0,,1230.0,,12,002
"State Senate District 3 (2018), Florida",485542.0,,-555555555.0,*****,12,003
"State Senate District 4 (2018), Florida",504691.0,,3897.0,,12,004
"State Senate District 5 (2018), Florida",490210.0,,1093.0,,12,005
"State Senate District 6 (2018), Florida",500116.0,,3897.0,,12,006
"State Senate District 7 (2018), Florida",536808.0,,1581.0,,12,007
"State Senate District 8 (2018), Florida",490973.0,,2732.0,,12,008
"State Senate District 9 (2018), Florida",505402.0,,1404.0,,12,009
"State Senate District 10 (2018), Florida",498458.0,,2523.0,,12,010
"State Senate District 11 (2018), Florida",543539.0,,5523.0,,12,011
"State Senate District 12 (2018), Florida",531426.0,,3683.0,,12,012
"State Senate District 13 (2018), Florida",524355.0,,5919.0,,12,013
"State Senate District 14 (2018), Florida",497591.0,,2654.0,,12,014
"State Senate District 15 (2018), Florida",591919.0,,4650.0,,12,015
"State Senate District 16 (2018), Florida",496942.0,,3080.0,,12,016
"State Senate District 17 (2018), Florida",513353.0,,2208.0,,12,017
"State Senate District 18 (2018), Florida",509253.0,,4359.0,,12,018
"State Senate District 19 (2018), Florida",542906.0,,5530.0,,12,019
"State Senate District 20 (2018), Florida",526126.0,,4292.0,,12,020
"State Senate District 21 (2018), Florida",542326.0,,2679.0,,12,021
"State Senate District 22 (2018), Florida",540459.0,,4321.0,,12,022
"State Senate District 23 (2018), Florida",514690.0,,1458.0,,12,023
"State Senate District 24 (2018), Florida",493063.0,,2916.0,,12,024
"State Senate District 25 (2018), Florida",504686.0,,1223.0,,12,025
"State Senate District 26 (2018), Florida",494665.0,,3600.0,,12,026
"State Senate District 27 (2018), Florida",537270.0,,2494.0,,12,027
"State Senate District 28 (2018), Florida",552106.0,,2234.0,,12,028
"State Senate District 29 (2018), Florida",513073.0,,2848.0,,12,029
"State Senate District 30 (2018), Florida",511968.0,,2827.0,,12,030
"State Senate District 31 (2018), Florida",520571.0,,3229.0,,12,031
"State Senate District 32 (2018), Florida",509683.0,,2516.0,,12,032
"State Senate District 33 (2018), Florida",512381.0,,2656.0,,12,033
"State Senate District 34 (2018), Florida",490738.0,,2332.0,,12,034
"State Senate District 35 (2018), Florida",508177.0,,2929.0,,12,035
"State Senate District 36 (2018), Florida",499710.0,,3213.0,,12,036
"State Senate District 37 (2018), Florida",512343.0,,2724.0,,12,037
"State Senate District 38 (2018), Florida",503099.0,,3758.0,,12,038
"State Senate District 39 (2018), Florida",520997.0,,4229.0,,12,039
"State Senate District 40 (2018), Florida",503015.0,,4349.0,,12,040
"State Senate District 3 (2018), Georgia",179146.0,,377.0,,13,003
"State Senate District 1 (2018), Georgia",182927.0,,1917.0,,13,001
"State Senate District 2 (2018), Georgia",186226.0,,1717.0,,13,002
"State Senate District 4 (2018), Georgia",180823.0,,758.0,,13,004
"State Senate District 5 (2018), Georgia",184819.0,,3749.0,,13,005
"State Senate District 6 (2018), Georgia",193120.0,,2856.0,,13,006
"State Senate District 7 (2018), Georgia",170793.0,,477.0,,13,007
"State Senate District 8 (2018), Georgia",175918.0,,495.0,,13,008
"State Senate District 9 (2018), Georgia",197440.0,,3312.0,,13,009
"State Senate District 10 (2018), Georgia",185488.0,,2839.0,,13,010
"State Senate District 11 (2018), Georgia",170290.0,,758.0,,13,011
"State Senate District 12 (2018), Georgia",163949.0,,862.0,,13,012
"State Senate District 13 (2018), Georgia",168447.0,,739.0,,13,013
"State Senate District 14 (2018), Georgia",186076.0,,2884.0,,13,014
"State Senate District 15 (2018), Georgia",169120.0,,1700.0,,13,015
"State Senate District 16 (2018), Georgia",176247.0,,1214.0,,13,016
"State Senate District 17 (2018), Georgia",187016.0,,2574.0,,13,017
"State Senate District 18 (2018), Georgia",176646.0,,1963.0,,13,018
"State Senate District 19 (2018), Georgia",179724.0,,1173.0,,13,019
"State Senate District 20 (2018), Georgia",183178.0,,1639.0,,13,020
"State Senate District 21 (2018), Georgia",199138.0,,2167.0,,13,021
"State Senate District 22 (2018), Georgia",174348.0,,1321.0,,13,022
"State Senate District 23 (2018), Georgia",168508.0,,2290.0,,13,023
"State Senate District 24 (2018), Georgia",192101.0,,1712.0,,13,024
"State Senate District 25 (2018), Georgia",176079.0,,1501.0,,13,025
"State Senate District 26 (2018), Georgia",161148.0,,2421.0,,13,026
"State Senate District 27 (2018), Georgia",217002.0,,395.0,,13,027
"State Senate District 28 (2018), Georgia",187863.0,,1383.0,,13,028
"State Senate District 29 (2018), Georgia",183491.0,,1854.0,,13,029
"State Senate District 30 (2018), Georgia",179075.0,,2041.0,,13,030
"State Senate District 31 (2018), Georgia",187032.0,,1621.0,,13,031
"State Senate District 32 (2018), Georgia",183219.0,,2349.0,,13,032
"State Senate District 33 (2018), Georgia",189031.0,,3110.0,,13,033
"State Senate District 34 (2018), Georgia",186763.0,,2673.0,,13,034
"State Senate District 35 (2018), Georgia",192566.0,,2709.0,,13,035
"State Senate District 36 (2018), Georgia",193814.0,,2562.0,,13,036
"State Senate District 37 (2018), Georgia",185767.0,,2794.0,,13,037
"State Senate District 38 (2018), Georgia",196872.0,,3628.0,,13,038
"State Senate District 39 (2018), Georgia",190248.0,,3106.0,,13,039
"State Senate District 40 (2018), Georgia",186598.0,,1938.0,,13,040
"State Senate District 41 (2018), Georgia",193423.0,,3545.0,,13,041
"State Senate District 42 (2018), Georgia",179091.0,,2855.0,,13,042
"State Senate District 43 (2018), Georgia",182166.0,,2306.0,,13,043
"State Senate District 44 (2018), Georgia",184621.0,,3101.0,,13,044
"State Senate District 45 (2018), Georgia",199752.0,,3102.0,,13,045
"State Senate District 46 (2018), Georgia",191022.0,,1423.0,,13,046
"State Senate District 47 (2018), Georgia",186694.0,,1644.0,,13,047
"State Senate District 48 (2018), Georgia",191284.0,,3063.0,,13,048
"State Senate District 49 (2018), Georgia",189135.0,,567.0,,13,049
"State Senate District 50 (2018), Georgia",177851.0,,1222.0,,13,050
"State Senate District 51 (2018), Georgia",184152.0,,803.0,,13,051
"State Senate District 55 (2018), Georgia",193149.0,,3839.0,,13,055
"State Senate District 52 (2018), Georgia",174801.0,,1860.0,,13,052
"State Senate District 53 (2018), Georgia",173877.0,,294.0,,13,053
"State Senate District 54 (2018), Georgia",175171.0,,1261.0,,13,054
"State Senate District 56 (2018), Georgia",193239.0,,2154.0,,13,056
"State Senate District 1 (2018), Hawaii",48774.0,,1640.0,,15,001
"State Senate District 2 (2018), Hawaii",48821.0,,1709.0,,15,002
"State Senate District 3 (2018), Hawaii",54021.0,,2104.0,,15,003
"State Senate District 4 (2018), Hawaii",46042.0,,1994.0,,15,004
"State Senate District 5 (2018), Hawaii",62521.0,,1785.0,,15,005
"State Senate District 6 (2018), Hawaii",51103.0,,1614.0,,15,006
"State Senate District 7 (2018), Hawaii",51732.0,,1605.0,,15,007
"State Senate District 8 (2018), Hawaii",71377.0,,-555555555.0,*****,15,008
"State Senate District 9 (2018), Hawaii",51701.0,,1268.0,,15,009
"State Senate District 10 (2018), Hawaii",56060.0,,1399.0,,15,010
"State Senate District 11 (2018), Hawaii",60259.0,,1600.0,,15,011
"State Senate District 12 (2018), Hawaii",55129.0,,1370.0,,15,012
"State Senate District 13 (2018), Hawaii",55362.0,,1871.0,,15,013
"State Senate District 17 (2018), Hawaii",51426.0,,2021.0,,15,017
"State Senate District 14 (2018), Hawaii",55897.0,,1688.0,,15,014
"State Senate District 15 (2018), Hawaii",78614.0,,2101.0,,15,015
"State Senate District 16 (2018), Hawaii",57945.0,,1532.0,,15,016
"State Senate District 18 (2018), Hawaii",57508.0,,1552.0,,15,018
"State Senate District 19 (2018), Hawaii",64860.0,,1984.0,,15,019
"State Senate District 20 (2018), Hawaii",62529.0,,2025.0,,15,020
"State Senate District 21 (2018), Hawaii",53025.0,,2078.0,,15,021
"State Senate District 22 (2018), Hawaii",54162.0,,1522.0,,15,022
"State Senate District 23 (2018), Hawaii",60161.0,,2093.0,,15,023
"State Senate District 24 (2018), Hawaii",61737.0,,1678.0,,15,024
"State Senate District 25 (2018), Hawaii",51263.0,,1467.0,,15,025
"State Senate District 1 (2018), Idaho",49273.0,,571.0,,16,001
"State Senate District 2 (2018), Idaho",50590.0,,1056.0,,16,002
"State Senate District 3 (2018), Idaho",51554.0,,1010.0,,16,003
"State Senate District 4 (2018), Idaho",51461.0,,505.0,,16,004
"State Senate District 5 (2018), Idaho",48325.0,,-555555555.0,*****,16,005
"State Senate District 6 (2018), Idaho",44000.0,,-555555555.0,*****,16,006
"State Senate District 7 (2018), Idaho",42490.0,,571.0,,16,007
"State Senate District 8 (2018), Idaho",46555.0,,-555555555.0,*****,16,008
"State Senate District 9 (2018), Idaho",45503.0,,893.0,,16,009
"State Senate District 10 (2018), Idaho",51996.0,,1325.0,,16,010
"State Senate District 11 (2018), Idaho",49787.0,,1722.0,,16,011
"State Senate District 12 (2018), Idaho",52916.0,,1995.0,,16,012
"State Senate District 13 (2018), Idaho",49113.0,,1706.0,,16,013
"State Senate District 14 (2018), Idaho",54768.0,,2068.0,,16,014
"State Senate District 15 (2018), Idaho",47249.0,,1843.0,,16,015
"State Senate District 16 (2018), Idaho",46885.0,,1432.0,,16,016
"State Senate District 17 (2018), Idaho",44765.0,,1559.0,,16,017
"State Senate District 18 (2018), Idaho",49747.0,,1307.0,,16,018
"State Senate District 19 (2018), Idaho",44698.0,,1334.0,,16,019
"State Senate District 20 (2018), Idaho",53882.0,,2278.0,,16,020
"State Senate District 21 (2018), Idaho",54200.0,,1913.0,,16,021
"State Senate District 22 (2018), Idaho",49858.0,,1806.0,,16,022
"State Senate District 23 (2018), Idaho",43097.0,,598.0,,16,023
"State Senate District 24 (2018), Idaho",51013.0,,792.0,,16,024
"State Senate District 25 (2018), Idaho",50875.0,,920.0,,16,025
"State Senate District 26 (2018), Idaho",43370.0,,105.0,,16,026
"State Senate District 27 (2018), Idaho",44230.0,,-555555555.0,*****,16,027
"State Senate District 28 (2018), Idaho",47634.0,,737.0,,16,028
"State Senate District 29 (2018), Idaho",45144.0,,737.0,,16,029
"State Senate District 30 (2018), Idaho",54551.0,,1266.0,,16,030
