NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,congressional district
"Congressional District 26 (116th Congress), Florida",774375.0,,4364.0,,12,26
"Congressional District 1 (116th Congress), Georgia",731698.0,,1090.0,,13,01
"Congressional District 3 (116th Congress), Georgia",728046.0,,2610.0,,13,03
"Congressional District 4 (116th Congress), Georgia",748744.0,,4892.0,,13,04
"Congressional District 6 (116th Congress), Georgia",744905.0,,3140.0,,13,06
"Congressional District 8 (116th Congress), Georgia",704814.0,,1529.0,,13,08
"Congressional District 9 (116th Congress), Georgia",735832.0,,1839.0,,13,09
"Congressional District 11 (116th Congress), Georgia",756192.0,,3047.0,,13,11
"Congressional District 13 (116th Congress), Georgia",749389.0,,4802.0,,13,13
"Congressional District 14 (116th Congress), Georgia",709918.0,,684.0,,13,14
"Congressional District 2 (116th Congress), Idaho",818249.0,,1774.0,,16,02
"Congressional District 5 (116th Congress), Illinois",740075.0,,5050.0,,17,05
"Congressional District 2 (116th Congress), Hawaii",711322.0,,3201.0,,15,02
"Congressional District 1 (116th Congress), Illinois",708118.0,,5922.0,,17,01
"Congressional District 3 (116th Congress), Illinois",717897.0,,3696.0,,17,03
"Congressional District 6 (116th Congress), Illinois",727847.0,,2931.0,,17,06
"Congressional District 8 (116th Congress), Illinois",715095.0,,3197.0,,17,08
"Congressional District 10 (116th Congress), Illinois",712819.0,,2096.0,,17,10
"Congressional District 11 (116th Congress), Illinois",722593.0,,2895.0,,17,11
"Congressional District 13 (116th Congress), Illinois",704851.0,,2184.0,,17,13
"Congressional District 15 (116th Congress), Illinois",696632.0,,1055.0,,17,15
"Congressional District 16 (116th Congress), Illinois",695502.0,,1425.0,,17,16
"Congressional District 5 (116th Congress), North Carolina",752439.0,,792.0,,37,05
"Congressional District 6 (116th Congress), North Carolina",762671.0,,2307.0,,37,06
"Congressional District 7 (116th Congress), North Carolina",787034.0,,1844.0,,37,07
"Congressional District 8 (116th Congress), North Carolina",779035.0,,1658.0,,37,08
"Congressional District 9 (116th Congress), North Carolina",779186.0,,2448.0,,37,09
"Congressional District 10 (116th Congress), North Carolina",753325.0,,2281.0,,37,10
"Congressional District 11 (116th Congress), North Carolina",752316.0,,1968.0,,37,11
"Congressional District 12 (116th Congress), North Carolina",847254.0,,2130.0,,37,12
"Congressional District 13 (116th Congress), North Carolina",771529.0,,2573.0,,37,13
"Congressional District (at Large) (116th Congress), North Dakota",752201.0,,-555555555.0,*****,38,00
"Congressional District 1 (116th Congress), Ohio",737765.0,,1944.0,,39,01
"Congressional District 2 (116th Congress), Ohio",728702.0,,2048.0,,39,02
"Congressional District 3 (116th Congress), Ohio",785158.0,,3039.0,,39,03
"Congressional District 4 (116th Congress), Ohio",711251.0,,789.0,,39,04
"Congressional District 5 (116th Congress), Ohio",722734.0,,1563.0,,39,05
"Congressional District 7 (116th Congress), Ohio",726547.0,,1447.0,,39,07
"Congressional District 8 (116th Congress), Ohio",728116.0,,331.0,,39,08
"Congressional District 10 (116th Congress), Ohio",721945.0,,319.0,,39,10
"Congressional District 12 (116th Congress), Ohio",770907.0,,2277.0,,39,12
"Congressional District 13 (116th Congress), Ohio",710422.0,,1918.0,,39,13
"Congressional District 15 (116th Congress), Ohio",754510.0,,2506.0,,39,15
"Congressional District 1 (116th Congress), Oklahoma",797151.0,,650.0,,40,01
"Congressional District 2 (116th Congress), Oklahoma",748286.0,,530.0,,40,02
"Congressional District 4 (116th Congress), Oklahoma",783867.0,,1204.0,,40,04
"Congressional District 1 (116th Congress), Oregon",832139.0,,1269.0,,41,01
"Congressional District 2 (116th Congress), Oregon",805737.0,,933.0,,41,02
"Congressional District 4 (116th Congress), Oregon",794776.0,,1014.0,,41,04
"Congressional District 1 (116th Congress), Pennsylvania",709207.0,,511.0,,42,01
"Congressional District 2 (116th Congress), Pennsylvania",734861.0,,4915.0,,42,02
"Congressional District 4 (116th Congress), Pennsylvania",724647.0,,791.0,,42,04
"Congressional District 6 (116th Congress), Pennsylvania",725593.0,,420.0,,42,06
"Congressional District 7 (116th Congress), Pennsylvania",722048.0,,525.0,,42,07
"Congressional District 9 (116th Congress), Pennsylvania",705114.0,,616.0,,42,09
"Congressional District 11 (116th Congress), Pennsylvania",728820.0,,843.0,,42,11
"Congressional District 12 (116th Congress), Pennsylvania",701191.0,,481.0,,42,12
"Congressional District 14 (116th Congress), Pennsylvania",691459.0,,486.0,,42,14
"Congressional District 16 (116th Congress), Pennsylvania",692426.0,,628.0,,42,16
"Congressional District 2 (116th Congress), South Carolina",707819.0,,3566.0,,45,02
"Congressional District 17 (116th Congress), Pennsylvania",711725.0,,876.0,,42,17
"Congressional District 1 (116th Congress), Rhode Island",532760.0,,1880.0,,44,01
"Congressional District 2 (116th Congress), Rhode Island",523851.0,,1880.0,,44,02
"Congressional District 4 (116th Congress), South Carolina",718032.0,,2166.0,,45,04
"Congressional District 5 (116th Congress), South Carolina",706085.0,,1828.0,,45,05
"Congressional District 7 (116th Congress), South Carolina",709479.0,,905.0,,45,07
"Congressional District (at Large) (116th Congress), South Dakota",864289.0,,-555555555.0,*****,46,00
"Congressional District 2 (116th Congress), Tennessee",738722.0,,962.0,,47,02
"Congressional District 4 (116th Congress), Tennessee",769786.0,,1329.0,,47,04
"Congressional District 5 (116th Congress), Tennessee",765122.0,,578.0,,47,05
"Congressional District 7 (116th Congress), Tennessee",764797.0,,1029.0,,47,07
"Congressional District 9 (116th Congress), Tennessee",705233.0,,1863.0,,47,09
"Congressional District 1 (116th Congress), Texas",718215.0,,1155.0,,48,01
"Congressional District 17 (116th Congress), Illinois",688356.0,,1789.0,,17,17
"Congressional District 18 (116th Congress), Illinois",707835.0,,2223.0,,17,18
"Congressional Districts not defined (116th Congress), Illinois",0.0,,11.0,,17,ZZ
"Congressional District 1 (116th Congress), Indiana",715348.0,,533.0,,18,01
"Congressional District 2 (116th Congress), Indiana",722805.0,,708.0,,18,02
"Congressional District 3 (116th Congress), Indiana",739773.0,,453.0,,18,03
"Congressional District 4 (116th Congress), Indiana",750717.0,,827.0,,18,04
"Congressional District 5 (116th Congress), Indiana",767053.0,,2256.0,,18,05
"Congressional District 6 (116th Congress), Indiana",718706.0,,451.0,,18,06
"Congressional District 7 (116th Congress), Indiana",755358.0,,2201.0,,18,07
"Congressional District 8 (116th Congress), Indiana",719671.0,,366.0,,18,08
"Congressional District 9 (116th Congress), Indiana",747995.0,,656.0,,18,09
"Congressional District 1 (116th Congress), Iowa",772171.0,,-555555555.0,*****,19,01
"Congressional District 2 (116th Congress), Iowa",780050.0,,-555555555.0,*****,19,02
"Congressional District 3 (116th Congress), Iowa",822826.0,,-555555555.0,*****,19,03
"Congressional District 4 (116th Congress), Iowa",757452.0,,-555555555.0,*****,19,04
"Congressional District 2 (116th Congress), Kansas",714992.0,,527.0,,20,02
"Congressional District 3 (116th Congress), Kansas",762091.0,,442.0,,20,03
"Congressional District 1 (116th Congress), Kentucky",720226.0,,195.0,,21,01
"Congressional District 3 (116th Congress), Kentucky",745082.0,,856.0,,21,03
"Congressional District 4 (116th Congress), Kentucky",753376.0,,1311.0,,21,04
"Congressional District 6 (116th Congress), Kentucky",765842.0,,679.0,,21,06
"Congressional District 2 (116th Congress), Louisiana",789120.0,,4203.0,,22,02
"Congressional District 3 (116th Congress), Louisiana",783013.0,,585.0,,22,03
"Congressional District 5 (116th Congress), Louisiana",747722.0,,2248.0,,22,05
"Congressional District 1 (116th Congress), Maine",679024.0,,255.0,,23,01
"Congressional District 2 (116th Congress), Maine",653789.0,,255.0,,23,02
"Congressional District 2 (116th Congress), Maryland",762351.0,,5016.0,,24,02
"Congressional District 3 (116th Congress), Maryland",756296.0,,5449.0,,24,03
"Congressional District 5 (116th Congress), Maryland",760819.0,,3169.0,,24,05
"Congressional District 7 (116th Congress), Maryland",719951.0,,3874.0,,24,07
"Congressional District 8 (116th Congress), Maryland",758633.0,,3346.0,,24,08
"Congressional District 2 (116th Congress), Massachusetts",747493.0,,871.0,,25,02
"Congressional District 4 (116th Congress), Massachusetts",754622.0,,1378.0,,25,04
"Congressional District 1 (116th Congress), Michigan",699432.0,,297.0,,26,01
"Congressional District 5 (116th Congress), Massachusetts",766241.0,,1212.0,,25,05
"Congressional District 7 (116th Congress), Massachusetts",795850.0,,2365.0,,25,07
"Congressional District 9 (116th Congress), Massachusetts",738604.0,,1137.0,,25,09
"Congressional District 3 (116th Congress), Michigan",737911.0,,186.0,,26,03
"Congressional District 5 (116th Congress), Michigan",679543.0,,780.0,,26,05
"Congressional District 6 (116th Congress), Michigan",716503.0,,379.0,,26,06
"Congressional District 8 (116th Congress), Michigan",736078.0,,416.0,,26,08
"Congressional District 10 (116th Congress), Michigan",717176.0,,958.0,,26,10
"Congressional District 11 (116th Congress), Michigan",727670.0,,658.0,,26,11
"Congressional District 13 (116th Congress), Michigan",679044.0,,3290.0,,26,13
"Congressional District 14 (116th Congress), Michigan",691955.0,,3397.0,,26,14
"Congressional District 3 (116th Congress), Texas",842866.0,,1721.0,,48,03
"Congressional District 4 (116th Congress), Texas",738929.0,,1867.0,,48,04
"Congressional District 5 (116th Congress), Texas",744338.0,,3548.0,,48,05
"Congressional District 6 (116th Congress), Texas",773108.0,,3556.0,,48,06
"Congressional District 7 (116th Congress), Texas",785024.0,,5674.0,,48,07
"Congressional District 8 (116th Congress), Texas",832589.0,,3422.0,,48,08
"Congressional District 9 (116th Congress), Texas",781992.0,,6588.0,,48,09
"Congressional District 10 (116th Congress), Texas",839780.0,,6993.0,,48,10
"Congressional District 11 (116th Congress), Texas",764038.0,,1170.0,,48,11
"Congressional District 12 (116th Congress), Texas",793259.0,,4581.0,,48,12
"Congressional District 13 (116th Congress), Texas",710847.0,,1027.0,,48,13
"Congressional District 14 (116th Congress), Texas",747166.0,,2677.0,,48,14
"Congressional District 15 (116th Congress), Texas",776971.0,,3795.0,,48,15
"Congressional District 16 (116th Congress), Texas",737368.0,,2054.0,,48,16
"Congressional District 17 (116th Congress), Texas",764593.0,,3357.0,,48,17
"Congressional District 18 (116th Congress), Texas",776383.0,,7563.0,,48,18
"Congressional District 20 (116th Congress), Texas",798543.0,,4815.0,,48,20
"Congressional District 22 (116th Congress), Texas",880197.0,,5058.0,,48,22
"Congressional District 23 (116th Congress), Texas",760106.0,,4147.0,,48,23
"Congressional District 25 (116th Congress), Texas",768407.0,,4286.0,,48,25
"Congressional District 27 (116th Congress), Texas",737102.0,,1718.0,,48,27
"Congressional District 29 (116th Congress), Texas",745389.0,,7122.0,,48,29
"Congressional District 30 (116th Congress), Texas",776026.0,,5101.0,,48,30
"Congressional District 32 (116th Congress), Texas",764700.0,,3829.0,,48,32
"Congressional District 34 (116th Congress), Texas",722603.0,,3079.0,,48,34
"Congressional District 35 (116th Congress), Texas",806895.0,,5495.0,,48,35
"Congressional District 1 (116th Congress), Utah",751772.0,,489.0,,49,01
"Congressional District 3 (116th Congress), Utah",749828.0,,1873.0,,49,03
"Congressional District 4 (116th Congress), Utah",790994.0,,2629.0,,49,04
"Congressional District 1 (116th Congress), Virginia",785774.0,,2435.0,,51,01
"Congressional District 3 (116th Congress), Virginia",738833.0,,3208.0,,51,03
"Congressional District 4 (116th Congress), Virginia",765419.0,,3323.0,,51,04
"Congressional District 6 (116th Congress), Virginia",750774.0,,1140.0,,51,06
"Congressional District 8 (116th Congress), Virginia",792945.0,,3178.0,,51,08
"Congressional District 9 (116th Congress), Virginia",711468.0,,1067.0,,51,09
"Congressional District 11 (116th Congress), Virginia",791509.0,,4290.0,,51,11
"Congressional District 1 (116th Congress), West Virginia",614325.0,,-555555555.0,*****,54,01
"Congressional District 3 (116th Congress), West Virginia",591379.0,,-555555555.0,*****,54,03
"Congressional District 2 (116th Congress), Washington",730430.0,,2189.0,,53,02
"Congressional District 3 (116th Congress), Washington",719101.0,,1019.0,,53,03
"Congressional District 5 (116th Congress), Washington",705266.0,,591.0,,53,05
"Congressional District 7 (116th Congress), Washington",768042.0,,2447.0,,53,07
"Congressional District 8 (116th Congress), Washington",737080.0,,3010.0,,53,08
"Congressional District 10 (116th Congress), Washington",735240.0,,3403.0,,53,10
"Congressional District 2 (116th Congress), Wisconsin",754999.0,,526.0,,55,02
"Congressional District 3 (116th Congress), Wisconsin",719855.0,,685.0,,55,03
"Congressional District 5 (116th Congress), Wisconsin",723040.0,,848.0,,55,05
"Congressional District 7 (116th Congress), Wisconsin",708307.0,,668.0,,55,07
"Congressional District 8 (116th Congress), Wisconsin",728256.0,,266.0,,55,08
"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",3386941.0,,-555555555.0,*****,72,98
"Congressional District 3 (116th Congress), Alabama",706705.0,,1347.0,,01,03
"Congressional District 1 (116th Congress), Alabama",706503.0,,673.0,,01,01
"Congressional District 2 (116th Congress), Alabama",680575.0,,1719.0,,01,02
"Congressional District 4 (116th Congress), Alabama",683391.0,,2079.0,,01,04
"Congressional District 5 (116th Congress), Alabama",714145.0,,197.0,,01,05
"Congressional District 6 (116th Congress), Alabama",703715.0,,2347.0,,01,06
"Congressional District 7 (116th Congress), Alabama",669646.0,,3150.0,,01,07
"Congressional District (at Large) (116th Congress), Alaska",738516.0,,-555555555.0,*****,02,00
"Congressional District 1 (116th Congress), Arizona",753580.0,,2691.0,,04,01
"Congressional District 2 (116th Congress), Arizona",719924.0,,3574.0,,04,02
"Congressional District 3 (116th Congress), Arizona",771436.0,,4890.0,,04,03
"Congressional District 4 (116th Congress), Arizona",768077.0,,3601.0,,04,04
"Congressional District 5 (116th Congress), Arizona",803186.0,,3138.0,,04,05
"Congressional District 6 (116th Congress), Arizona",776729.0,,4567.0,,04,06
"Congressional District 8 (116th Congress), Arizona",777804.0,,3573.0,,04,08
"Congressional District 9 (116th Congress), Arizona",774776.0,,4623.0,,04,09
"Congressional District 2 (116th Congress), Arkansas",760604.0,,-555555555.0,*****,05,02
"Congressional District 4 (116th Congress), Arkansas",711335.0,,1375.0,,05,04
"Congressional District 1 (116th Congress), California",706822.0,,1347.0,,06,01
"Congressional District 3 (116th Congress), California",736039.0,,1788.0,,06,03
"Congressional District 5 (116th Congress), California",728000.0,,2279.0,,06,05
"Congressional District 6 (116th Congress), California",751475.0,,2389.0,,06,06
"Congressional District 8 (116th Congress), California",721709.0,,2642.0,,06,08
"Congressional District 10 (116th Congress), California",744389.0,,1136.0,,06,10
"Congressional District 11 (116th Congress), California",754654.0,,1898.0,,06,11
"Congressional District 13 (116th Congress), California",754861.0,,394.0,,06,13
"Congressional District 15 (116th Congress), California",773841.0,,1653.0,,06,15
"Congressional District 16 (116th Congress), California",728535.0,,3309.0,,06,16
"Congressional District 18 (116th Congress), California",740932.0,,3663.0,,06,18
"Congressional District 20 (116th Congress), California",735667.0,,1799.0,,06,20
"Congressional District 21 (116th Congress), California",712857.0,,3153.0,,06,21
"Congressional District 23 (116th Congress), California",740768.0,,3669.0,,06,23
"Congressional District 24 (116th Congress), California",734027.0,,630.0,,06,24
"Congressional District 26 (116th Congress), California",725953.0,,967.0,,06,26
"Congressional District 28 (116th Congress), California",715011.0,,3832.0,,06,28
"Congressional District 29 (116th Congress), California",721304.0,,4875.0,,06,29
"Congressional District 31 (116th Congress), California",744628.0,,3120.0,,06,31
"Congressional District 33 (116th Congress), California",713727.0,,2482.0,,06,33
"Congressional District 34 (116th Congress), California",729285.0,,4938.0,,06,34
"Congressional District 36 (116th Congress), California",743337.0,,2286.0,,06,36
"Congressional District 38 (116th Congress), California",716869.0,,2441.0,,06,38
"Congressional District 39 (116th Congress), California",727834.0,,2111.0,,06,39
"Congressional District 41 (116th Congress), California",754152.0,,2119.0,,06,41
"Congressional District 42 (116th Congress), California",795401.0,,3033.0,,06,42
"Congressional District 44 (116th Congress), California",723072.0,,3267.0,,06,44
"Congressional District 46 (116th Congress), California",728906.0,,2647.0,,06,46
"Congressional District 47 (116th Congress), California",714812.0,,2912.0,,06,47
"Congressional District 49 (116th Congress), California",737614.0,,3370.0,,06,49
"Congressional District 51 (116th Congress), California",729654.0,,4018.0,,06,51
"Congressional District 52 (116th Congress), California",765158.0,,4183.0,,06,52
"Congressional District 3 (116th Congress), Missouri",782693.0,,2327.0,,29,03
"Congressional District 6 (116th Congress), Missouri",768533.0,,1797.0,,29,06
"Congressional District 8 (116th Congress), Missouri",740270.0,,1193.0,,29,08
"Congressional District 2 (116th Congress), Nebraska",659795.0,,863.0,,31,02
"Congressional District 1 (116th Congress), Nevada",689384.0,,5168.0,,32,01
"Congressional District 4 (116th Congress), Nevada",739823.0,,3716.0,,32,04
"Congressional District 2 (116th Congress), New Hampshire",666621.0,,173.0,,33,02
"Congressional District 3 (116th Congress), New Jersey",735635.0,,839.0,,34,03
"Congressional District 6 (116th Congress), New Jersey",736045.0,,1025.0,,34,06
"Congressional District 8 (116th Congress), New Jersey",760952.0,,3263.0,,34,08
"Congressional District 11 (116th Congress), New Jersey",735773.0,,1121.0,,34,11
"Congressional District 1 (116th Congress), New Mexico",695519.0,,2149.0,,35,01
"Congressional District 9 (116th Congress), New York",733271.0,,4956.0,,36,09
"Congressional District 11 (116th Congress), New York",730634.0,,3478.0,,36,11
"Congressional District 14 (116th Congress), New York",705681.0,,5358.0,,36,14
"Congressional District 16 (116th Congress), New York",741586.0,,3744.0,,36,16
"Congressional District 19 (116th Congress), New York",700993.0,,826.0,,36,19
"Congressional District 21 (116th Congress), New York",706791.0,,643.0,,36,21
"Congressional District 24 (116th Congress), New York",707425.0,,164.0,,36,24
"Congressional District 26 (116th Congress), New York",711502.0,,650.0,,36,26
"Congressional District 1 (116th Congress), North Carolina",753591.0,,2090.0,,37,01
"Congressional District 2 (116th Congress), New York",715030.0,,1914.0,,36,02
"Congressional District 4 (116th Congress), New York",722626.0,,2665.0,,36,04
"Congressional District 7 (116th Congress), New York",734208.0,,5785.0,,36,07
"Congressional District 4 (116th Congress), North Carolina",840168.0,,3128.0,,37,04
"Congressional District 2 (116th Congress), Florida",719213.0,,2625.0,,12,02
"Congressional District 4 (116th Congress), Florida",780575.0,,3799.0,,12,04
"Congressional District 7 (116th Congress), Florida",757809.0,,4386.0,,12,07
"Congressional District 9 (116th Congress), Florida",837026.0,,5108.0,,12,09
"Congressional District 12 (116th Congress), Florida",757719.0,,2022.0,,12,12
"Congressional District 14 (116th Congress), Florida",763832.0,,4164.0,,12,14
"Congressional District 17 (116th Congress), Florida",756549.0,,3231.0,,12,17
"Congressional District 19 (116th Congress), Florida",797066.0,,3272.0,,12,19
"Congressional District 22 (116th Congress), Florida",750149.0,,3048.0,,12,22
"Congressional District 24 (116th Congress), Florida",750906.0,,4313.0,,12,24
"Congressional District 27 (116th Congress), Florida",751996.0,,4163.0,,12,27
"Congressional District 2 (116th Congress), Georgia",675246.0,,2347.0,,13,02
"Congressional District 5 (116th Congress), Georgia",759756.0,,4023.0,,13,05
"Congressional District 7 (116th Congress), Georgia",793740.0,,3698.0,,13,07
"Congressional District 10 (116th Congress), Georgia",740458.0,,3862.0,,13,10
"Congressional District 12 (116th Congress), Georgia",718746.0,,1554.0,,13,12
"Congressional District 1 (116th Congress), Idaho",869560.0,,1774.0,,16,01
"Congressional District 1 (116th Congress), Hawaii",710707.0,,3201.0,,15,01
"Congressional District 2 (116th Congress), Illinois",703782.0,,3558.0,,17,02
"Congressional District 4 (116th Congress), Illinois",699621.0,,5134.0,,17,04
"Congressional District 14 (116th Congress), Illinois",735045.0,,2944.0,,17,14
"Congressional District 7 (116th Congress), Illinois",724652.0,,4798.0,,17,07
"Congressional District 9 (116th Congress), Illinois",723507.0,,3529.0,,17,09
"Congressional District 12 (116th Congress), Illinois",697270.0,,90.0,,17,12
"Congressional District 6 (116th Congress), Ohio",700099.0,,1053.0,,39,06
"Congressional District 9 (116th Congress), Ohio",709760.0,,2658.0,,39,09
"Congressional District 11 (116th Congress), Ohio",693817.0,,2585.0,,39,11
"Congressional District 14 (116th Congress), Ohio",717865.0,,714.0,,39,14
"Congressional District 16 (116th Congress), Ohio",722281.0,,1515.0,,39,16
"Congressional District 3 (116th Congress), Oklahoma",776845.0,,448.0,,40,03
"Congressional District 5 (116th Congress), Oklahoma",811988.0,,1209.0,,40,05
"Congressional District 3 (116th Congress), Oregon",830995.0,,2016.0,,41,03
"Congressional District 5 (116th Congress), Oregon",818296.0,,1626.0,,41,05
"Congressional District 3 (116th Congress), Pennsylvania",722979.0,,4826.0,,42,03
"Congressional District 5 (116th Congress), Pennsylvania",714120.0,,3299.0,,42,05
"Congressional District 8 (116th Congress), Pennsylvania",695547.0,,756.0,,42,08
"Congressional District 10 (116th Congress), Pennsylvania",727144.0,,949.0,,42,10
"Congressional District 13 (116th Congress), Pennsylvania",698730.0,,732.0,,42,13
"Congressional District 15 (116th Congress), Pennsylvania",685714.0,,713.0,,42,15
"Congressional District 18 (116th Congress), Pennsylvania",699856.0,,778.0,,42,18
"Congressional District 1 (116th Congress), South Carolina",766664.0,,2846.0,,45,01
"Congressional District 3 (116th Congress), South Carolina",684952.0,,2042.0,,45,03
"Congressional District 6 (116th Congress), South Carolina",662894.0,,4829.0,,45,06
"Congressional District 1 (116th Congress), Tennessee",713768.0,,709.0,,47,01
"Congressional District 3 (116th Congress), Tennessee",726454.0,,1110.0,,47,03
"Congressional District 6 (116th Congress), Tennessee",759176.0,,594.0,,47,06
"Congressional District 8 (116th Congress), Tennessee",708031.0,,1873.0,,47,08
"Congressional District 2 (116th Congress), Texas",785386.0,,6182.0,,48,02
"Congressional District 1 (116th Congress), Kansas",708511.0,,279.0,,20,01
"Congressional District 4 (116th Congress), Kansas",723182.0,,102.0,,20,04
"Congressional District 2 (116th Congress), Kentucky",753608.0,,773.0,,21,02
"Congressional District 5 (116th Congress), Kentucky",702070.0,,792.0,,21,05
