NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,public use microdata area
"Central Savannah River Area Regional Commission (East Central)--Columbia County PUMA, Georgia",147295.0,,-555555555.0,*****,13,04100
"Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA, Georgia",195508.0,,-555555555.0,*****,13,04300
"Atlanta Regional Commission (Southwest)--Douglas County PUMA, Georgia",141840.0,,-555555555.0,*****,13,04400
"Northwest Georgia Regional Commission (Southeast)--Paulding County PUMA, Georgia",155840.0,,-555555555.0,*****,13,04500
"Maui, Kalawao & Kauai Counties PUMA; Hawaii",236733.0,,-555555555.0,*****,15,00100
"Hawaii County PUMA, Hawaii",197658.0,,-555555555.0,*****,15,00200
"Twin Falls & Cassia Counties--Twin Falls City PUMA, Idaho",107281.0,,-555555555.0,*****,16,00900
"Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",127319.0,,-555555555.0,*****,17,00104
"Rock Island County PUMA, Illinois",145275.0,,-555555555.0,*****,17,00105
"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",173784.0,,-555555555.0,*****,17,00202
"Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",109698.0,,-555555555.0,*****,17,00300
"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties PUMA; Illinois",138002.0,,-555555555.0,*****,17,00401
"Montgomery, Bond, Clinton, Fayette & Effingham Counties PUMA; Illinois",139247.0,,-555555555.0,*****,17,00501
"Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",99854.0,,-555555555.0,*****,17,00600
"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",106417.0,,-555555555.0,*****,17,00700
"South & Southeast Illinois PUMA, Illinois",134274.0,,-555555555.0,*****,17,00800
"Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",186361.0,,-555555555.0,*****,17,00900
"Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",156890.0,,-555555555.0,*****,17,01001
"Sangamon County--Springfield City PUMA, Illinois",197661.0,,-555555555.0,*****,17,01300
"Macon County--Decatur City PUMA, Illinois",106512.0,,-555555555.0,*****,17,01500
"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",143809.0,,-555555555.0,*****,17,01602
"Peoria County--Peoria City PUMA, Illinois",184463.0,,-555555555.0,*****,17,01701
"Tazewell County PUMA, Illinois",133852.0,,-555555555.0,*****,17,01900
"McLean County PUMA, Illinois",173219.0,,-555555555.0,*****,17,02000
"Champaign County--Champaign & Urbana Cities PUMA, Illinois",209448.0,,-555555555.0,*****,17,02100
"Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",156298.0,,-555555555.0,*****,17,02200
"Kankakee County PUMA, Illinois",111061.0,,-555555555.0,*****,17,02300
"LaSalle County PUMA, Illinois",110401.0,,-555555555.0,*****,17,02400
"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",146237.0,,-555555555.0,*****,17,02501
"DeKalb County PUMA, Illinois",104200.0,,-555555555.0,*****,17,02601
"Stephenson & Ogle Counties PUMA, Illinois",96761.0,,-555555555.0,*****,17,02700
"Kendall & Grundy Counties PUMA, Illinois",175135.0,,-555555555.0,*****,17,03700
"Porter County PUMA, Indiana",168041.0,,-555555555.0,*****,18,00200
"LaPorte County PUMA, Indiana",110552.0,,-555555555.0,*****,18,00300
"Elkhart County--Elkhart & Goshen Cities PUMA, Indiana",203604.0,,-555555555.0,*****,18,00500
"Noble, DeKalb, LaGrange & Steuben Counties PUMA; Indiana",163571.0,,-555555555.0,*****,18,00600
"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",103280.0,,-555555555.0,*****,18,00700
"Kosciusko & Marshall Counties PUMA, Indiana",125401.0,,-555555555.0,*****,18,00800
"Huntington, Whitley, Adams & Wells Counties PUMA; Indiana",133169.0,,-555555555.0,*****,18,00900
"Montgomery, Clinton, White, Carroll & Benton Counties PUMA; Indiana",123455.0,,-555555555.0,*****,18,01100
"Tippecanoe County--Lafayette & West Lafayette Cities PUMA, Indiana",189294.0,,-555555555.0,*****,18,01200
"Howard, Cass & Tipton Counties--Kokomo City PUMA; Indiana",135689.0,,-555555555.0,*****,18,01300
"Grant, Miami & Wabash Counties PUMA; Indiana",134476.0,,-555555555.0,*****,18,01400
"Henry, Randolph, Jay & Blackford Counties PUMA; Indiana",106681.0,,-555555555.0,*****,18,01500
"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties PUMA; Indiana",104349.0,,-555555555.0,*****,18,01600
"Vigo County--Terre Haute City PUMA, Indiana",107693.0,,-555555555.0,*****,18,01700
"Madison County--Anderson City PUMA, Indiana",129505.0,,-555555555.0,*****,18,01900
"Delaware County--Muncie City PUMA, Indiana",115616.0,,-555555555.0,*****,18,02000
"Morgan, Putnam & Brown Counties PUMA; Indiana",122320.0,,-555555555.0,*****,18,02100
"Hendricks County PUMA, Indiana",160940.0,,-555555555.0,*****,18,02200
"Johnson County--Greenwood City PUMA, Indiana",151564.0,,-555555555.0,*****,18,02400
"Hancock & Shelby Counties PUMA, Indiana",118229.0,,-555555555.0,*****,18,02500
"Wayne, Fayette, Rush & Union Counties PUMA; Indiana",113729.0,,-555555555.0,*****,18,02600
"Greene, Daviess, Owen, Orange & Martin Counties PUMA; Indiana",161486.0,,-555555555.0,*****,18,02700
"Monroe County--Bloomington City PUMA, Indiana",145403.0,,-555555555.0,*****,18,02800
"Bartholomew & Jackson Counties--Columbus City PUMA, Indiana",125831.0,,-555555555.0,*****,18,02900
"Jefferson, Jennings, Decatur & Scott Counties PUMA; Indiana",110259.0,,-555555555.0,*****,18,03000
"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties PUMA; Indiana",117283.0,,-555555555.0,*****,18,03100
"Warrick, Gibson & Posey Counties PUMA; Indiana",121113.0,,-555555555.0,*****,18,03200
"Vanderburgh County--Evansville City PUMA, Indiana",181313.0,,-555555555.0,*****,18,03300
"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties PUMA; Indiana",142486.0,,-555555555.0,*****,18,03400
"Floyd, Harrison & Washington Counties PUMA; Indiana",144348.0,,-555555555.0,*****,18,03500
"Clark County--Jeffersonville City PUMA, Indiana",115702.0,,-555555555.0,*****,18,03600
"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA; Iowa",118595.0,,-555555555.0,*****,19,00100
"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties PUMA; Iowa",113496.0,,-555555555.0,*****,19,00200
"Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties PUMA; Iowa",118027.0,,-555555555.0,*****,19,00400
"Black Hawk County--Waterloo & Cedar Falls Cities PUMA, Iowa",133009.0,,-555555555.0,*****,19,00500
"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties PUMA; Iowa",128685.0,,-555555555.0,*****,19,00600
"Dubuque, Buchanan, Jackson & Delaware Counties--Dubuque City PUMA; Iowa",154580.0,,-555555555.0,*****,19,00700
"Clinton, Muscatine, Jones & Cedar Counties PUMA; Iowa",129181.0,,-555555555.0,*****,19,00800
"Scott County--Davenport City PUMA, Iowa",172288.0,,-555555555.0,*****,19,00900
"Johnson County--Iowa City PUMA, Iowa",147001.0,,-555555555.0,*****,19,01100
"Story & Boone Counties--Ames City PUMA, Iowa",123321.0,,-555555555.0,*****,19,01300
"South Central Iowa PUMA, Iowa",103508.0,,-555555555.0,*****,19,01800
"Northwest Central Iowa--Storm Lake, Denison & Cherokee Region PUMA; Iowa",120465.0,,-555555555.0,*****,19,01900
"Woodbury & Plymouth Counties--Sioux City PUMA, Iowa",127437.0,,-555555555.0,*****,19,02000
"Southwest Iowa--Council Bluffs City PUMA, Iowa",179974.0,,-555555555.0,*****,19,02100
"Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties PUMA; Iowa",124051.0,,-555555555.0,*****,19,02200
"Des Moines, Lee, Henry & Louisa Counties PUMA; Iowa",105290.0,,-555555555.0,*****,19,02300
"Northwest Kansas PUMA, Kansas",108792.0,,-555555555.0,*****,20,00100
"North Central Kansas--Salina City PUMA, Kansas",145726.0,,-555555555.0,*****,20,00200
"Riley, Geary & Pottawatomie Counties--Manhattan City PUMA; Kansas",133736.0,,-555555555.0,*****,20,00300
"Northeast Kansas PUMA, Kansas",123029.0,,-555555555.0,*****,20,00400
"Wyandotte County--Kansas City PUMA, Kansas",164345.0,,-555555555.0,*****,20,00500
"Douglas County--Lawrence City PUMA, Kansas",119319.0,,-555555555.0,*****,20,00700
"Central Kansas--Hutchinson City PUMA, Kansas",101493.0,,-555555555.0,*****,20,01000
"East Central Kansas PUMA, Kansas",103509.0,,-555555555.0,*****,20,01400
"Southeast Kansas PUMA, Kansas",128901.0,,-555555555.0,*****,20,01500
"Purchase Area Development District PUMA, Kentucky",196229.0,,-555555555.0,*****,21,00100
"Pennyrile Area Development District (North) PUMA, Kentucky",107818.0,,-555555555.0,*****,21,00200
"Pennyrile Area Development District (South) PUMA, Kentucky",107143.0,,-555555555.0,*****,21,00300
"Barren River Area Development District (Outer) PUMA, Kentucky",173518.0,,-555555555.0,*****,21,00400
"Barren River Area Development District (Central)--Warren County PUMA, Kentucky",126427.0,,-555555555.0,*****,21,00500
"Lake Cumberland Area Development District (West) PUMA, Kentucky",106244.0,,-555555555.0,*****,21,00600
"Lake Cumberland Area Development District (East) PUMA, Kentucky",102389.0,,-555555555.0,*****,21,00700
"Cumberland Valley Area Development District (North) PUMA, Kentucky",111001.0,,-555555555.0,*****,21,00800
"Cumberland Valley Area Development District (South) PUMA, Kentucky",121878.0,,-555555555.0,*****,21,00900
"Kentucky River Area Development District PUMA, Kentucky",107131.0,,-555555555.0,*****,21,01000
"Big Sandy Area Development District PUMA, Kentucky",144837.0,,-555555555.0,*****,21,01100
"Green River Area Development District (Southwest) PUMA, Kentucky",107496.0,,-555555555.0,*****,21,01400
"Green River Area Development District (Northeast)--Daviess & Hancock Counties PUMA, Kentucky",108656.0,,-555555555.0,*****,21,01500
"Bluegrass Area Development District (South) PUMA, Kentucky",124121.0,,-555555555.0,*****,21,02100
"Bluegrass Area Development District (Southeast) PUMA, Kentucky",116334.0,,-555555555.0,*****,21,02200
"Bluegrass Area Development District (Northeast) PUMA, Kentucky",135301.0,,-555555555.0,*****,21,02300
"Northern Kentucky Area Development District (North Central)--Kenton County PUMA, Kentucky",164688.0,,-555555555.0,*****,21,02400
"Northern Kentucky Area Development District (Northwest)--Boone County PUMA, Kentucky",129095.0,,-555555555.0,*****,21,02500
"Northern Kentucky Area Development District (Southeast) PUMA, Kentucky",161857.0,,-555555555.0,*****,21,02600
"Buffalo Trace & Gateway Area Development Districts PUMA, Kentucky",139787.0,,-555555555.0,*****,21,02700
"FIVCO Area Development District PUMA, Kentucky",134446.0,,-555555555.0,*****,21,02800
"Coordinating & Development Corporation 3--Bossier & Webster Parishes PUMA, Louisiana",165762.0,,-555555555.0,*****,22,00200
"Coordinating & Development Corporation 4--Northwest Louisiana PUMA, Louisiana",176062.0,,-555555555.0,*****,22,00300
"North Delta Regional Planning & Development District 1--Ouachita Parish PUMA, Louisiana",156075.0,,-555555555.0,*****,22,00400
"North Delta Regional Planning & Development District 2--Northeast Louisiana PUMA, Louisiana",149728.0,,-555555555.0,*****,22,00500
"Kisatchie Delta Regional Planning & Development District 1 PUMA, Louisiana",122587.0,,-555555555.0,*****,22,00600
"Kisatchie Delta Regional Planning & Development District 2--Rapides & Vernon Parishes PUMA, Louisiana",182553.0,,-555555555.0,*****,22,00700
"Acadiana Regional Development District 1--St. Landry & Evangeline Parishes PUMA, Louisiana",117085.0,,-555555555.0,*****,22,01000
"Acadiana Regional Development District 2--Acadia & Vermilion Parishes PUMA, Louisiana",122435.0,,-555555555.0,*****,22,01100
"Acadiana Regional Development District 5--Iberia, St. Mary & St. Martin Parishes PUMA; Louisiana",178177.0,,-555555555.0,*****,22,01300
"Capital Region Planning Commission 1--Baton Rouge Metropolitan Area (West) PUMA, Louisiana",115850.0,,-555555555.0,*****,22,01400
"Capital Region Planning Commission 5--Ascension Parish PUMA, Louisiana",121176.0,,-555555555.0,*****,22,01600
"Capital Region Planning Commission 6--Livingston & St. Helena Parishes PUMA, Louisiana",148522.0,,-555555555.0,*****,22,01700
"Capital Region Planning Commission 7--Tangipahoa & Washington Parishes PUMA, Louisiana",176961.0,,-555555555.0,*****,22,01800
"South Central Planning & Development Commission 1--River Parishes PUMA, Louisiana",117527.0,,-555555555.0,*****,22,01900
"South Central Planning & Development Commission 2--Lafourche & Assumption Parishes PUMA, Louisiana",120928.0,,-555555555.0,*****,22,02000
"South Central Planning & Development Commission 3--Terrebonne Parish PUMA, Louisiana",112587.0,,-555555555.0,*****,22,02100
"Northeast Maine--Aroostook & Washington Counties PUMA, Maine",99963.0,,-555555555.0,*****,23,00100
"Northwest Maine--Oxford, Somerset, Franklin & Piscataquis Counties PUMA; Maine",154941.0,,-555555555.0,*****,23,00200
"Penobscot County PUMA, Maine",151748.0,,-555555555.0,*****,23,00300
"Kennebec County PUMA, Maine",121545.0,,-555555555.0,*****,23,00400
"Coastal Maine Region--Hancock, Knox, Waldo & Lincoln Counties PUMA; Maine",167849.0,,-555555555.0,*****,23,00500
"Androscoggin County PUMA, Maine",107444.0,,-555555555.0,*****,23,00600
"Allegany & Garrett Counties--Cumberland City PUMA, Maryland",101353.0,,-555555555.0,*****,24,00100
"Washington County--Hagerstown City PUMA, Maryland",149811.0,,-555555555.0,*****,24,00200
"Carroll County PUMA, Maryland",167522.0,,-555555555.0,*****,24,00400
"Cecil County PUMA, Maryland",102517.0,,-555555555.0,*****,24,00700
"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties PUMA; Maryland",171295.0,,-555555555.0,*****,24,01300
"Wicomico, Worcester & Somerset Counties--Salisbury City PUMA; Maryland",179473.0,,-555555555.0,*****,24,01400
"St. Mary's & Calvert Counties PUMA, Maryland",202613.0,,-555555555.0,*****,24,01500
"Charles County--La Plata Town & Waldorf PUMA, Maryland",157671.0,,-555555555.0,*****,24,01600
"Berkshire County--Pittsfield City PUMA, Massachusetts",127328.0,,-555555555.0,*****,25,00100
"Western Upper Peninsula PUMA, Michigan",172100.0,,-555555555.0,*****,26,00100
"Eastern Upper Peninsula PUMA, Michigan",131702.0,,-555555555.0,*****,26,00200
"Northeast Lower Peninsula PUMA, Michigan",133002.0,,-555555555.0,*****,26,00300
"Northwest Lower Peninsula (East) PUMA, Michigan",148015.0,,-555555555.0,*****,26,00400
"Muskegon County PUMA, Michigan",173043.0,,-555555555.0,*****,26,00700
"Allegan County PUMA, Michigan",115250.0,,-555555555.0,*****,26,00900
"Ionia, Montcalm, Mecosta & Osceola Counties PUMA; Michigan",193881.0,,-555555555.0,*****,26,01100
"Isabella, Gratiot & Clare Counties PUMA; Michigan",142458.0,,-555555555.0,*****,26,01200
"Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties PUMA; Michigan",110506.0,,-555555555.0,*****,26,01300
"Bay & Midland Counties PUMA, Michigan",188175.0,,-555555555.0,*****,26,01400
"Saginaw County PUMA, Michigan",192778.0,,-555555555.0,*****,26,01500
"Tuscola, Sanilac & Huron Counties PUMA; Michigan",126169.0,,-555555555.0,*****,26,01600
"Eaton & Clinton Counties PUMA, Michigan",187051.0,,-555555555.0,*****,26,01900
"Calhoun & Barry Counties PUMA, Michigan",194530.0,,-555555555.0,*****,26,02000
"St. Joseph & Branch Counties PUMA, Michigan",104481.0,,-555555555.0,*****,26,02200
"Van Buren & Cass Counties PUMA, Michigan",126732.0,,-555555555.0,*****,26,02300
"Berrien County PUMA, Michigan",154807.0,,-555555555.0,*****,26,02400
"Lenawee & Hillsdale Counties PUMA, Michigan",144304.0,,-555555555.0,*****,26,02500
"Jackson County PUMA, Michigan",158913.0,,-555555555.0,*****,26,02600
"Livingston County PUMA, Michigan",188482.0,,-555555555.0,*****,26,02800
"St. Clair County PUMA, Michigan",159566.0,,-555555555.0,*****,26,03100
"Monroe County PUMA, Michigan",149699.0,,-555555555.0,*****,26,03300
"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA; Minnesota",148334.0,,-555555555.0,*****,27,00100
"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties PUMA; Minnesota",118879.0,,-555555555.0,*****,27,00200
"Chisago, Isanti, Pine, Mille Lacs & Kanabec Counties PUMA; Minnesota",164562.0,,-555555555.0,*****,27,00600
"Crow Wing, Morrison, Todd & Wadena Counties PUMA; Minnesota",134890.0,,-555555555.0,*****,27,00700
"West Central Minnesota PUMA, Minnesota",146004.0,,-555555555.0,*****,27,00800
"Stearns County--St. Cloud City PUMA, Minnesota",156819.0,,-555555555.0,*****,27,00900
"Sherburne & Benton Counties PUMA, Minnesota",133010.0,,-555555555.0,*****,27,01000
"Wright County PUMA, Minnesota",132745.0,,-555555555.0,*****,27,01800
"Kandiyohi, McLeod, Meeker, Renville & Sibley Counties PUMA; Minnesota",131195.0,,-555555555.0,*****,27,01900
"Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lac qui Parle & Lincoln Counties PUMA; Minnesota",100739.0,,-555555555.0,*****,27,02000
"Southwest Minnesota PUMA, Minnesota",115042.0,,-555555555.0,*****,27,02100
"Blue Earth, Nicollet & Waseca Counties--Mankato City PUMA; Minnesota",118914.0,,-555555555.0,*****,27,02200
"Rice, Goodhue & Le Sueur Counties PUMA; Minnesota",139965.0,,-555555555.0,*****,27,02300
"Mower, Steele, Freeborn & Dodge Counties PUMA; Minnesota",127386.0,,-555555555.0,*****,27,02400
"Olmsted County--Rochester City PUMA, Minnesota",153065.0,,-555555555.0,*****,27,02500
