,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,adjusted_ot_pct_change
83,KINGS,COUNTY,462833.093892122,570049.6602001796,774424.3488841285,1437925.303392809,1553099.819721792,1713738.550492277,2090765.9314580606,2330534.0,129.88859029749364
84,KINGSBURG,CITY,89431.73030910603,85134.71600738696,100836.4532338586,128158.59086915384,174428.44853744667,119222.12628798326,187759.64540225198,153147.0,49.715956814744786
85,LA MESA,CITY,1051776.1801644003,1170987.6009913152,1428673.436569839,1382481.2053384364,1424637.607399469,1428276.929785381,1581350.225314132,1437090.0,27.871179611535734
86,LA VERNE,CITY,671671.2323429907,1011682.5133191634,1056713.1691170475,1204129.0049337659,1463771.4685402317,1519299.516180778,1952574.103051566,1873772.0,99.8315598022765
87,LAGUNA BEACH,CITY,1322790.7601349698,793873.215415037,781242.1383259572,1311518.9967727766,1448930.7319854696,1434013.5111392583,1617122.1139115533,2209344.0,67.59743793620608
88,LARKSPUR,CITY,422032.21123949153,529382.6062658431,525702.7667552381,755332.0962084347,873070.3184455123,833883.1923818889,893794.2223727154,737779.0,41.80237942296812
89,LEMON GROVE,CITY,428343.96232756437,418900.2947986446,476268.6732229553,455256.6006606516,563002.9621672707,433285.0463694808,545770.4924363578,703915.0,60.53092635505715
91,LINCOLN,CITY,90838.31084871899,209021.41692727164,207520.57567276366,385115.37757248577,483342.06680111546,618235.6516643264,662427.8877203004,746053.0,170.13464725333063
92,LODI,CITY,163695.83379938567,382813.657234074,758178.0686521546,667478.1644785755,1211379.35907129,767220.4133296113,1064784.0342648497,1345251.0,177.01780059331657
93,LOMA LINDA,CITY,502661.64983840066,514406.56964903267,834806.7882441825,668575.9938961545,1012691.6882586479,957066.4160628647,1109982.6796099865,1389180.0,132.59799308607788
94,LOMPOC,CITY,627226.636292506,710173.4340487992,631989.1398970628,724374.3673374561,960805.2610192518,1054164.5683750887,1095875.326081103,806575.0,24.75907097137011
95,LONG BEACH,CITY,16953451.612930626,17381830.318218254,18408931.54893391,15644670.620095806,18726441.432066076,19150485.08945158,23341686.42521213,23161178.0,39.67949557912366
96,LOS ANGELES,CITY,108682836.81516312,124876358.49890222,152985892.82857803,172697673.53547877,197139603.36718056,196395308.9930418,202871502.73856905,196605243.0,50.9111700145597
97,LOS ANGELES,COUNTY,146014080.4587198,152250313.53645495,168749804.4868626,172029190.88360038,187302768.42865303,211128134.70314294,217378248.7531333,217896411.0,41.7849611290201
98,LOS BANOS,CITY,135239.3698825015,143916.72608604754,120036.21063114652,150815.24435658287,194982.78391001493,180244.57886228318,274926.924787859,315243.0,119.35373700811273
101,MANHATTAN BEACH,CITY,2127772.337620422,1704812.8174037647,1768465.5948823174,4406161.1726057725,2385148.3420936055,2228991.9474307,2267663.60100767,2368538.0,5.4642954024578065
102,MANTECA,CITY,294005.59658738604,369083.3451266148,494649.21797584963,471013.3697409774,583228.8689039183,659665.0057498323,1223576.0204022517,1597535.0,276.7499793327436
103,MARIN,COUNTY,971914.7791934707,2325446.1111048204,2197357.907386342,3178872.7401324688,3848943.1184725156,3430563.5345052416,4713609.893856066,5194554.0,132.83448461137723
104,MARINA,CITY,133830.5566753653,166189.9303291898,183456.20424370165,184710.06468386724,309394.60729821067,348771.17283245904,479144.97856968024,429697.0,160.1788423554572
108,MERCED,CITY,726439.68302073,491571.2035114159,781173.1519980084,797086.7387427345,1094674.8919149255,1181471.0579899747,1525166.6731437657,1540760.0,102.16207062530214
110,MILL VALLEY,CITY,288781.0317863954,501362.0075568176,529786.9729520899,635450.1845135508,675609.4875051157,608793.2575883204,908195.5858110313,901268.0,96.38630739913545
112,MILPITAS,CITY,1402885.4748620735,1413199.5373964477,736438.7520572466,455393.43157356716,1253420.3433635558,1121300.251817655,1436861.2578369773,1538074.0,29.686094652440598
114,MONROVIA,CITY,1047169.070730287,1125885.5928116594,1390257.75310465,1084763.6564527578,1557274.0417396224,1576823.313265863,1750180.5497878583,1719281.0,61.95929641186167
115,MONTCLAIR,CITY,536632.8025375768,706688.9052632038,1017877.1002159197,741790.0786487903,669904.3642650105,879971.4917106584,764353.0303647193,867345.0,44.582990118286965
116,MONTEBELLO,CITY,1575586.773116267,2107342.607851251,2232605.609322751,2276952.3080013175,2144346.5851310235,2755843.010666356,2765388.5716587803,2950860.0,60.39973793262855
117,MONTEREY,CITY,1004404.5569910067,1874338.533293553,1663710.9338032333,1901348.2699335967,2231242.4455123474,2541098.3825346758,2919602.4034921657,2587220.0,83.24700256330588
118,MONTEREY PARK,CITY,1347618.0229929006,1694896.237837226,1864359.824465459,1561564.231316741,1692461.6461567741,1730024.4569950046,2071549.771593505,2076799.0,46.69554811666248
120,MORRO BAY,CITY,206638.9609405217,245860.52021829833,245015.7228243839,237289.19920502166,321246.6432660948,317814.76774427405,337792.79974298296,354258.0,62.21060189593083
121,MOUNTAIN VIEW,CITY,2645786.925682074,3101088.4381560492,2162207.2174736103,2696398.455553867,3414421.4386773948,3663161.349618969,4425858.195353296,4673091.0,75.18562659543943
122,MURRIETA,CITY,1959997.420256159,1921786.528367466,2012398.016775628,2106161.871768552,2548668.7221296355,3051849.7715274976,2947375.5834734,2466561.0,24.051502713724357
123,NAPA,CITY,1278701.1582206734,1512452.8290765437,1498363.640646128,1150331.120653386,1198631.0307615066,924173.4047215291,2279585.856498857,2190965.0,79.30445637784382
125,NATIONAL CITY,CITY,667827.6952018103,746892.2303196079,716991.0750438923,807370.2713064341,915983.2277937868,1293035.6904006968,1311461.4215527093,2096480.0,176.95131410851147
128,NEWPORT BEACH,CITY,3774688.3727677288,4174988.2738311975,4304840.642303085,4623261.978279605,5072136.373412034,5250959.81123467,6062128.857094498,6068501.0,49.6145932895163
131,OAKLAND,CITY,1077087.005317842,17177224.168933,18838566.542374764,22855057.25045197,23626114.631520085,23839566.478861045,21136265.84889848,20189630.0,83.62500598988522
132,OCEANSIDE,CITY,3125789.232827567,2904691.3837103755,2604048.479315925,2725173.2540467004,3544177.2360463594,3204685.7744774134,4085326.0837712153,4321093.0,43.86156973313483
133,ONTARIO,CITY,5003776.309621721,4748441.529003373,4828077.14783415,5409260.109552413,6523746.447398282,7384904.253709271,8579040.127141807,10343796.0,98.719965064134
134,ORANGE,CITY,2604091.859686405,3246878.6726569496,3478574.145876707,3271636.6741560223,3530222.197361371,3751351.7409158894,4279995.474257507,4199617.0,48.768408574133296
135,OROVILLE,CITY,145328.79441982048,173735.3678972447,221629.35764969498,128881.9915095296,229762.31700679698,167818.28363339402,257058.9079226501,468638.0,250.8567735440943
136,OXNARD,CITY,3093101.8639542274,3554457.78794742,3858216.687693437,3279140.099566606,3861338.650860486,4740903.13134617,5208209.344529213,5191576.0,63.99464714310687
137,PACIFICA,CITY,247495.66028123183,243395.3200040071,424772.53523182386,586963.2489228507,558924.090398579,575069.5248180261,747158.0605744126,1071511.0,140.38618963468957
138,PALM SPRINGS,CITY,1686186.4242127866,1646206.893054696,1546983.911090888,1698319.8341950523,1798624.5923583538,2412590.799468349,2894194.6203084197,2687218.0,58.942465113567344
139,PALO ALTO,CITY,0.0,2763530.1696154075,1208846.3467378102,1221309.8337849756,1305504.7177201638,1617123.765056852,1407201.0874265663,3205158.0,262.4361084579871
141,PASADENA,CITY,6966590.239958388,7422369.173612546,7154409.306966524,8348632.081073434,9112126.429399582,9172855.31352003,7943595.587903886,9741395.0,33.23663964462114
142,PATTERSON,CITY,137823.6825405999,278380.6014834882,254522.9011448465,244699.2825974925,339126.93387394154,484979.1459707425,793892.3186520888,589973.0,184.77754109444757
143,PETALUMA,CITY,671737.0960349248,1040353.8636375515,749432.973673253,1260752.6066715668,1356344.5806250186,872747.144774944,1504026.6435582568,1683342.0,80.23817667414936
144,PIEDMONT,CITY,148038.13645921784,89146.4082815753,124712.19017243525,176785.53948702355,141770.98820759694,254994.85998741703,267504.96731804835,940244.0,448.1168911436514
145,PINOLE,CITY,466904.36312066833,377267.5036020105,344627.6687371489,255733.7941251014,221936.1804469721,247378.16980754727,346349.8198596606,409788.0,-22.33430404302679
146,PLEASANTON,CITY,4450697.678108287,3945718.0917010023,4226854.832290936,4505578.907534129,5164139.828805528,4927639.683088409,5199226.163707567,5949745.0,33.27091485147534
148,PORTERVILLE,CITY,168311.87390359165,166501.6348815735,133219.06673763826,182845.34573110982,250596.34644350407,322364.9031278253,554955.4849379896,672980.0,276.00818827435035
149,POWAY,CITY,1202903.212141959,1567798.4331776968,1514075.2768364977,1759642.3579810422,1625679.3699186132,1715150.9861712365,1785425.8840527094,1629801.0,24.260485997157396
150,RANCHO CUCAMONGA,CITY,3488144.473839573,3698843.711412319,3703351.0047390703,4022753.529682855,4292857.857254967,4211440.631477415,4847778.806184727,4773489.0,31.951858762317976
151,RED BLUFF,CITY,122978.67617887515,131437.60698885858,192310.16827139774,101231.54005305488,230712.64115654153,236205.28046265317,289479.90309236286,274849.0,150.02273376610736
152,REDDING,CITY,1517930.366997275,1655227.7321707015,2076545.6005657692,2194230.0658581713,2137673.1271385606,2328312.3318778207,3079248.7598890336,2933130.0,64.49641060994374
153,REDLANDS,CITY,2311226.162666322,2288451.702387694,1940379.5241310627,2152856.2163295825,2428104.688777597,2637185.858649956,3033787.8618023824,2651508.0,15.806064276499912
154,REDONDO BEACH,CITY,2915466.3704737723,2935764.718372432,2787103.7005284247,2714602.270495404,2934307.5075332145,2903707.2400263324,3262986.5136382184,2896919.0,-0.6832444912966004
155,REDWOOD CITY,CITY,1951570.2166898577,2712381.924331647,2129323.375180827,3209600.2960724183,4237426.519642054,3940651.6018532785,4982292.94966139,4275020.76,72.39065082818394
157,RIALTO,CITY,2550159.5429961015,2716648.4487486617,2403381.2641603374,2606173.848704887,3261113.070324069,3018680.5505422764,3963146.0145438956,4633489.0,79.93823812019252
158,RICHMOND,CITY,3867011.407519373,4438521.895319563,4646500.8210270535,3100437.8665940114,2781985.484534864,2654280.515359969,3627547.532661554,2507976.0,-43.833660469782046
159,RIVERSIDE,CITY,6306093.508568989,6367564.030706376,5999497.333748284,6652700.953978273,7883656.0678938655,6973795.493748096,8677958.583081761,8983158.0,40.240264968323025
160,RIVERSIDE,COUNTY,1079189.988347952,1248112.0568525312,1394770.9680284346,1360326.2651983649,1516662.2517372181,1693715.4438078883,2145941.449653232,2171823.0,80.32139344841059
161,ROCKLIN,CITY,711648.260679562,808411.7719583265,788777.8167430039,763856.9802945054,917990.8802617535,1025070.4858858282,1162351.2739311357,1077554.0,47.90238863554836
163,ROSEVILLE,CITY,3302908.980110163,3719383.400864135,3516553.2752353447,4059065.696138314,5040539.928276706,4440175.69657135,4592284.194888218,4245142.0,23.213051732231197
164,SACRAMENTO,CITY,8690024.256460652,8654233.001794476,12012680.90821483,14689624.790496571,14750041.516676018,15138499.208318928,14326060.02220953,17714276.0,61.432826721194225
166,SALINAS,CITY,1685369.2678992967,824900.3959293362,1362592.0797743793,2164813.540990808,2167394.8592421645,2934263.9781298046,3273417.206662043,3085415.0,64.67280925542991
169,SAN BRUNO,CITY,715616.8272020414,1338241.7015993448,1004964.7998643527,1060935.9849199108,1179681.757916099,1430800.4815317886,1493564.1933665145,1121239.0,38.23248325661974
170,SAN BUENAVENTURA,CITY,0.0,2120956.9877392272,1905502.6237073801,2581722.482778285,3078743.00548062,2816784.9020945225,2990234.442640339,3530738.0,136.75900580144636
172,SAN DIEGO,CITY,24627974.954809986,35000707.02687355,37027356.2513553,37113578.748179354,35631862.617145896,38026915.807238854,43265349.89186119,46902168.0,60.01628998465339
174,SAN FRANCISCO,CITY,33142009.193754748,45418702.19227861,48598387.76595251,42437141.33876129,44601238.06966584,46492667.108671874,38492802.79204884,37379623.0,9.985625026949437
175,SAN GABRIEL,CITY,415347.6046750452,801951.2849726037,914293.0508892199,962060.270119458,1199102.4847711346,1174701.8292174807,1282284.7796344643,961695.0,56.78931063821141
176,SAN JOSE,CITY,8475528.538505994,6337599.926770739,6815383.5436411,8401048.92776764,11177781.513364013,13009345.538417654,16888776.397066746,16417945.0,94.54077139394184
177,SAN LUIS OBISPO,CITY,0.0,0.0,1846896.5822920103,1933972.365968843,2204520.0084677464,2372556.0948347347,2572753.688768766,2494501.0,128.98328041778169
178,SAN MARCOS,CITY,1324381.5357452466,1640692.4567279632,1740486.2493421522,2402792.1982841645,2263685.8975052414,2743391.6054698383,2870041.757469811,2948737.0,67.60282746942107
179,SAN MARINO,CITY,438392.0825157043,409196.98676794686,502009.1968389016,406857.703564308,672673.7592788704,870998.8632789878,839761.9622225846,774410.0,82.58855972016386
180,SAN MATEO,CITY,2532394.2075140383,2504962.778173646,2920710.815360775,1993495.9344966554,3334863.3096908657,2451022.651168508,2770878.4640094643,3102379.0,28.592222468207794
182,SAN RAFAEL,CITY,3173687.765536433,3604073.496785629,2933955.1124155964,2409925.4377365503,3111070.9777273373,2429611.172524136,2881475.3623449733,2707784.0,-19.33270458251269
183,SANGER,CITY,139757.17261568693,256794.2409557741,241619.2240842731,268978.8143543863,379865.85754186416,323965.6635639793,344754.79049037205,386455.0,91.71645282787311
185,SANTA BARBARA,CITY,3600702.598560761,4266308.859645158,4286830.899062917,4382804.453982496,5240043.659493833,4906311.904336124,5311659.855658451,5937487.0,53.317103830993126
186,SANTA BARBARA,COUNTY,6039116.70781412,7141676.271200467,7293725.040436652,8357917.4904661765,11150448.834724933,12450749.19861087,13548719.334591229,13898752.0,94.03820151552485
187,SANTA CLARA,CITY,494607.301748474,743930.49022187,1734503.841215332,1018786.7602181326,2249223.383605395,2891144.932472802,4367603.2562948745,3182651.0,263.84752955328827
189,SANTA CRUZ,CITY,811358.0759316969,903988.721714592,626939.1251089259,1084389.227675554,1389722.4650594685,1577938.6143279155,1594297.9300016316,2112489.0,119.98744462422837
190,SANTA FE SPRINGS,CITY,2992975.656209017,3377338.51168149,2564536.5599831734,2381346.8696227027,2584559.615352485,2628090.81912611,2923345.6516073765,2947614.0,-1.9048739512780088
191,SANTA MARIA,CITY,982912.8994127299,1065757.237806737,1420457.596075671,1412289.130259023,2211145.791335642,2339569.9673634516,2449285.917603623,2397648.0,100.17319189646376
192,SANTA MONICA,CITY,5835832.329827196,5536639.534164659,5368489.093201749,6151038.520448937,6762977.044144517,7089234.384913779,7168895.867346606,7789962.0,31.76910148873821
193,SANTA PAULA,CITY,210334.02569140968,171834.51697779557,241868.2216117138,236708.99370606925,303939.5136002903,338401.80245159514,534252.8847299282,378611.0,71.09023264132767
194,SANTA ROSA,CITY,2544040.917648785,3644200.2628291696,4053313.2568671484,3286760.202499831,3613279.6804912714,3991277.4815817853,4857055.996915794,5100329.0,77.7753144390322
195,SANTEE,CITY,1561402.6363414081,1505067.071735324,1263843.5408723496,1971471.4610409907,1563585.1687853613,1730047.474465328,1766152.356400946,1774369.0,10.802406622013175
196,SEASIDE,CITY,420111.00083578215,289303.38521912595,350040.9396583919,504190.0929516424,651567.451908513,602618.2980496401,601136.5536390339,784705.0,72.31280508305953
201,SOLANA BEACH,CITY,390911.0586336741,532819.0122433513,493883.90090016613,494596.01847627736,527910.8921427577,740288.926802135,743501.8885647847,819752.0,86.70529590745072
204,SONOMA,COUNTY,68770.62504945786,163654.7333031351,127082.51728430568,155603.2656038794,190611.50471063255,172872.71086676637,185380.931082735,125183.0,36.253978816968804
205,SOUTH LAKE TAHOE,CITY,202370.10063617246,402984.7697239474,336290.0242576956,356867.74934103823,730589.500605442,576339.6706804384,634949.7420732701,716285.0,144.00710075729154
206,SOUTH PASADENA,CITY,787402.6697415741,835157.1162530383,718317.9839455351,644783.3256201,663373.9316462531,889428.5332677797,1257005.0495471607,1207777.0,65.19621608610058
207,SOUTH SAN FRANCISCO,CITY,1020303.3824236796,876000.2559169664,966399.2867181499,1096104.7116534875,1338440.9821784936,1654217.4647322788,2116469.773400784,1919852.0,82.06776305334371
208,STOCKTON,CITY,3713916.279120118,3292186.2964711646,3191373.2835115497,3458779.9955393327,4561605.712792755,4748251.981871363,5262627.812818216,4885757.0,33.88017515977206
212,SUTTER,COUNTY,76589.42671568735,83369.48391072937,99959.03337525809,101540.20513567857,190963.24118523143,171832.73970759186,177622.96228785897,253206.0,173.9375777784934
215,TORRANCE,CITY,3279361.035743022,4067813.311719818,4408580.988779045,4702049.005795485,4987597.783078853,5026085.4036632255,6322185.231898662,6073057.0,59.4144374253357
216,TRACY,CITY,1865681.7297400625,1849643.876843472,2161864.4416566147,2451387.3257594965,2817942.063484898,2787542.252296808,3964407.0814376646,3634604.0,72.16004797250409
217,TULARE,CITY,679690.974086308,701479.6112877512,743441.9422554377,912733.2563657406,734478.7313230699,798936.3949384813,900524.6931217362,1098018.0,45.83234181466754
218,TULARE,COUNTY,332982.9368771088,412363.2488000557,602598.808368068,722063.0916844078,969861.4157929599,1346664.3037578077,1785681.9902455946,1605418.0,176.2221442664507
220,TURLOCK,CITY,459189.3804942673,507219.8657412651,664599.192700799,864396.9408497228,910867.1572039138,999091.0856308356,1271501.6844892292,1269531.0,93.74647007764138
221,UKIAH,CITY,192606.64555723997,345236.3063189805,158187.80580965587,137306.10864422817,191500.38092204355,186522.07076876925,321766.6986170039,297350.0,76.28455534644783
