,index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,employer_full,fire,adjusted_overtime
7385122,7385122,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,15458.0,148619.0,90585.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,15458.0
7385123,7385123,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,124709.0,257772.0,96262.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,124709.00000000001
7385124,7385124,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,29555.0,162638.0,85123.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,29555.0
7385125,7385125,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,65113.0,196397.0,91244.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,65113.0
7385126,7385126,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,85372.0,215489.0,96618.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,85372.0
7385127,7385127,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,67349.0,199202.0,101660.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,67349.0
7385128,7385128,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,87406.0,217457.0,104065.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,87406.0
7385129,7385129,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,54494.0,182745.0,101413.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,54494.0
7385130,7385130,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,76487.0,204606.0,90489.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,76487.0
7385131,7385131,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,35962.0,157063.0,97463.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,35962.0
7385132,7385132,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,24527.0,108046.0,97448.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,24527.0
7385133,7385133,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,34630.0,116013.0,98862.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,34630.0
7385134,7385134,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,68874.0,186444.0,78562.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,68874.0
7385135,7385135,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,76942.0,196439.0,79831.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,76942.0
7385136,7385136,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,36753.0,153106.0,86879.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,36753.0
7385137,7385137,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,86069.0,201143.0,82916.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,86069.0
7385138,7385138,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,65417.0,190818.0,94454.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,65417.00000000001
7385139,7385139,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,66456.0,180781.0,89773.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,66456.0
7385140,7385140,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,54633.0,168173.0,91236.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,54633.0
7385141,7385141,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,69568.0,181681.0,89852.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,69568.0
7385142,7385142,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,52668.0,165371.0,93612.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,52668.0
7385143,7385143,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,50144.0,163441.0,93937.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,50144.0
7385144,7385144,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,94706.0,206743.0,91014.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,94706.0
7385145,7385145,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,66156.0,172637.0,91848.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,66156.0
7385146,7385146,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,59757.0,164667.0,89725.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,59757.0
7385147,7385147,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,20203.0,113166.0,81339.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,20203.0
7385148,7385148,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,11503.0,39270.0,93556.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,11503.0
7385155,7385155,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,ORGANIZATIONAL RESOURCES & SUPPORT,FIRE CHIEF,3014.0,240969.0,180743.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,3014.0
7385156,7385156,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,ORGANIZATIONAL RESOURCES & SUPPORT,FIRE CHIEF,0.0,157737.0,12587.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,0.0
7385158,7385158,2018,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,RISK REDUCTION PREVENTION MITIGATION,DEPUTY FIRE MARSHAL,14792.0,176118.0,105017.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,14792.0
8156517,8156517,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,DEPUTY FIRE CHIEF,123915.0,296309.0,131296.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,126941.59556543734
8156518,8156518,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,DEPUTY FIRE CHIEF,28671.0,211204.0,31444.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,29371.282624836815
8156519,8156519,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,107614.0,246272.0,105793.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,110242.44736455612
8156520,8156520,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,101864.0,242662.0,108254.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,104352.00492819842
8156521,8156521,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,33356.0,181602.0,127788.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,34170.712679503915
8156522,8156522,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,89198.0,232436.0,110669.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,91376.64077186685
8156523,8156523,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,86899.0,234506.0,115635.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,89021.4882220953
8156524,8156524,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,82485.0,227806.0,103554.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,84499.67728051567
8156525,8156525,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,87064.0,218154.0,88272.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,89190.51830939949
8156526,8156526,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,123303.0,253904.0,103257.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,126314.64760525456
8156527,8156527,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,80660.0,208863.0,98041.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,82630.1020724543
8156528,8156528,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,90901.0,215170.0,99559.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,93121.23615780026
8156529,8156529,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,108724.0,216468.0,90410.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,111379.55886096605
8156530,8156530,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,90935.0,225701.0,89545.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,93156.06660003265
8156531,8156531,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,43938.0,174428.0,86889.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,45011.17561194517
8156532,8156532,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,27278.0,156562.0,86995.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,27944.25891808094
8156533,8156533,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,72824.0,203308.0,88182.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,74602.70956266319
8156534,8156534,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,63314.0,192637.0,82267.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,64860.42998531331
8156535,8156535,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,73191.0,198514.0,94748.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,74978.67345381853
8156536,8156536,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,46699.0,190463.0,102748.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,47839.6124061684
8156537,8156537,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,397.0,70390.0,20903.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,406.6966343015666
8156538,8156538,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,18726.0,39813.0,87030.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,19183.37827186684
8156539,8156539,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,72363.0,184981.0,75539.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,74130.44974298302
8156540,8156540,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,107328.0,229195.0,95026.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,109949.46187989556
8156541,8156541,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,69485.0,179695.0,89011.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,71182.15525048955
8156542,8156542,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,38085.0,149831.0,90819.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,39015.217424118804
8156543,8156543,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,55064.0,164058.0,86078.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,56408.92562010443
8156544,8156544,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,62409.0,172003.0,89311.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,63933.32556706919
8156545,8156545,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,47845.0,157439.0,89356.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,49013.60319435378
8156546,8156546,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,33827.0,143415.0,89485.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,34653.216746899474
8156547,8156547,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,66732.0,176980.0,86163.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,68361.91385443864
8156548,8156548,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,58669.0,164496.0,89485.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,60101.976921507834
8156549,8156549,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,61974.0,181776.0,93518.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,63487.70079144909
8156550,8156550,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,58082.0,159570.0,87265.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,59500.63958061358
8156551,8156551,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,47729.0,144345.0,85932.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,48894.76992085509
8156552,8156552,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,49731.0,144089.0,85784.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,50945.66831347911
8156553,8156553,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE ENGINEER,38638.0,130224.0,89281.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,39581.72432278068
8156560,8156560,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,ORGANIZATIONAL RESOURCES & SUPPORT,FIRE CHIEF,7152.0,316669.0,154559.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,7326.685966057441
8156562,8156562,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,RISK REDUCTION PREVENTION MITIGATION,DEPUTY FIRE MARSHAL,2821.0,136336.0,89121.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,2889.9022805156656
8156564,8156564,2017,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,RISK REDUCTION PREVENTION MITIGATION,FIRE MARSHAL,37318.0,186730.0,133238.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,38229.48362434726
8974987,8974987,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,EMERGENCY MEDICAL SERVICES,FIRE BATTALION CHIEF,36147.0,191633.0,144694.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,37818.74999062527
8975015,8975015,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,DEPUTY FIRE CHIEF,0.0,259389.0,152016.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,0.0
8975016,8975016,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,95696.0,242018.0,122363.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,100121.81091384834
8975017,8975017,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,62215.0,218059.0,129430.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,65092.35982700505
8975018,8975018,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE BATTALION CHIEF,79847.0,211503.0,106359.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,83539.81604286542
8975019,8975019,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,38373.0,165098.0,86481.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,40147.699487931604
8975020,8975020,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,80152.0,207471.0,87320.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,83858.92188144512
8975021,8975021,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,14898.0,140417.0,87077.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,15587.012403804889
8975022,8975022,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,79991.0,206710.0,87238.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,83690.47584862108
8975023,8975023,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,61236.0,187094.0,82728.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,64068.082397596736
8975024,8975024,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,75034.0,213203.0,94188.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,78504.22128521251
8975025,8975025,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,76068.0,198010.0,91888.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,79586.04239043027
8975026,8975026,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,87129.0,208596.0,94184.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,91158.59872003733
8975027,8975027,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,90256.0,210948.0,95516.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,94430.21825196766
8975028,8975028,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,60603.0,181989.0,98489.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,63405.80700146245
8975029,8975029,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,101044.0,219361.0,97299.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,105717.14869982959
8975030,8975030,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,87213.0,205647.0,87142.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,91246.48360672814
8975031,8975031,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,67533.0,182857.0,95835.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,70656.31015345386
8975032,8975032,2016,SPECIAL DISTRICT,0.0,NOVATO FIRE PROTECTION DISTRICT,OPERATIONS,FIRE CAPTAIN,4536.0,108889.0,89215.0,MARIN,NOVATO_FIRE_PROTECTION_DISTRICT_SPECIAL_DISTRICT,True,4745.783881303461
