NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,zip code tabulation area
ZCTA5 29642,32358.0,,1124.0,,29642
ZCTA5 29667,263.0,,63.0,,29667
ZCTA5 29689,3934.0,,381.0,,29689
ZCTA5 29080,2859.0,,339.0,,29080
ZCTA5 29146,1694.0,,364.0,,29146
ZCTA5 29045,25814.0,,1366.0,,29045
ZCTA5 29118,17232.0,,1229.0,,29118
ZCTA5 29372,4164.0,,546.0,,29372
ZCTA5 29492,13202.0,,674.0,,29492
ZCTA5 29020,21408.0,,951.0,,29020
ZCTA5 29044,5852.0,,871.0,,29044
ZCTA5 29036,21766.0,,1024.0,,29036
ZCTA5 29037,614.0,,209.0,,29037
ZCTA5 29039,3715.0,,727.0,,29039
ZCTA5 29040,10616.0,,1230.0,,29040
ZCTA5 29042,5076.0,,386.0,,29042
ZCTA5 29208,760.0,,124.0,,29208
ZCTA5 29126,2035.0,,288.0,,29126
ZCTA5 29117,1056.0,,513.0,,29117
ZCTA5 29147,0.0,,12.0,,29147
ZCTA5 29225,1308.0,,202.0,,29225
ZCTA5 29324,336.0,,290.0,,29324
ZCTA5 29329,247.0,,122.0,,29329
ZCTA5 29331,194.0,,222.0,,29331
ZCTA5 29333,581.0,,246.0,,29333
ZCTA5 29346,293.0,,159.0,,29346
ZCTA5 29368,96.0,,149.0,,29368
ZCTA5 29378,175.0,,191.0,,29378
ZCTA5 29409,2666.0,,184.0,,29409
ZCTA5 29410,22836.0,,133.0,,29410
ZCTA5 29424,390.0,,116.0,,29424
ZCTA5 29588,45385.0,,1459.0,,29588
ZCTA5 29613,1917.0,,228.0,,29613
ZCTA5 29614,2128.0,,241.0,,29614
ZCTA5 29634,5129.0,,419.0,,29634
ZCTA5 29707,28866.0,,1077.0,,29707
ZCTA5 29733,1852.0,,176.0,,29733
ZCTA5 29899,1120.0,,114.0,,29899
ZCTA5 29904,712.0,,230.0,,29904
ZCTA5 29905,3083.0,,637.0,,29905
ZCTA5 29907,14801.0,,876.0,,29907
ZCTA5 29909,18829.0,,1194.0,,29909
ZCTA5 29912,0.0,,12.0,,29912
ZCTA5 29915,445.0,,85.0,,29915
ZCTA5 29817,4420.0,,547.0,,29817
ZCTA5 29321,3194.0,,654.0,,29321
ZCTA5 29014,1763.0,,384.0,,29014
ZCTA5 29038,2169.0,,478.0,,29038
ZCTA5 29053,17852.0,,935.0,,29053
ZCTA5 29055,4037.0,,540.0,,29055
ZCTA5 29072,60081.0,,1209.0,,29072
ZCTA5 29074,112.0,,90.0,,29074
ZCTA5 29114,1763.0,,336.0,,29114
ZCTA5 29123,8525.0,,700.0,,29123
ZCTA5 29178,3211.0,,448.0,,29178
ZCTA5 29223,50870.0,,1776.0,,29223
ZCTA5 29306,16085.0,,860.0,,29306
ZCTA5 29322,8281.0,,800.0,,29322
ZCTA5 29376,7842.0,,800.0,,29376
ZCTA5 29403,21888.0,,1049.0,,29403
ZCTA5 29406,33984.0,,1318.0,,29406
ZCTA5 29414,39520.0,,1283.0,,29414
ZCTA5 29471,1455.0,,378.0,,29471
ZCTA5 29527,25916.0,,1044.0,,29527
ZCTA5 29530,2325.0,,382.0,,29530
ZCTA5 29850,200.0,,187.0,,29850
ZCTA5 29856,2688.0,,507.0,,29856
ZCTA5 29906,25149.0,,1356.0,,29906
ZCTA5 29916,1537.0,,465.0,,29916
ZCTA5 29928,16366.0,,640.0,,29928
ZCTA5 29929,1002.0,,161.0,,29929
ZCTA5 29160,7833.0,,720.0,,29160
ZCTA5 29070,15914.0,,1036.0,,29070
ZCTA5 29113,1211.0,,327.0,,29113
ZCTA5 29133,919.0,,338.0,,29133
ZCTA5 29335,5939.0,,586.0,,29335
ZCTA5 29164,5190.0,,546.0,,29164
ZCTA5 29205,24756.0,,832.0,,29205
ZCTA5 29301,35704.0,,1292.0,,29301
ZCTA5 29360,20651.0,,739.0,,29360
ZCTA5 29431,6947.0,,825.0,,29431
ZCTA5 29451,4430.0,,66.0,,29451
ZCTA5 29493,164.0,,85.0,,29493
ZCTA5 29505,24850.0,,1093.0,,29505
ZCTA5 29543,582.0,,288.0,,29543
ZCTA5 29563,2192.0,,377.0,,29563
ZCTA5 29564,765.0,,204.0,,29564
ZCTA5 29624,16094.0,,1091.0,,29624
ZCTA5 29627,19301.0,,1302.0,,29627
ZCTA5 29650,34886.0,,1162.0,,29650
ZCTA5 29653,4682.0,,491.0,,29653
ZCTA5 29655,6915.0,,649.0,,29655
ZCTA5 29684,3915.0,,700.0,,29684
ZCTA5 29702,9978.0,,835.0,,29702
ZCTA5 29590,3288.0,,455.0,,29590
ZCTA5 29560,13292.0,,876.0,,29560
ZCTA5 29567,534.0,,188.0,,29567
ZCTA5 29574,11446.0,,773.0,,29574
ZCTA5 29582,16548.0,,429.0,,29582
ZCTA5 29625,28813.0,,1152.0,,29625
ZCTA5 29635,1225.0,,254.0,,29635
ZCTA5 29683,205.0,,144.0,,29683
ZCTA5 29686,935.0,,333.0,,29686
ZCTA5 29697,13430.0,,998.0,,29697
ZCTA5 29001,2029.0,,237.0,,29001
ZCTA5 29481,1603.0,,286.0,,29481
ZCTA5 29512,18182.0,,730.0,,29512
ZCTA5 29550,31952.0,,1118.0,,29550
ZCTA5 29579,40272.0,,1580.0,,29579
ZCTA5 29584,2365.0,,566.0,,29584
ZCTA5 29591,5350.0,,747.0,,29591
ZCTA5 29532,20775.0,,1148.0,,29532
ZCTA5 29540,5383.0,,964.0,,29540
ZCTA5 29545,1444.0,,384.0,,29545
ZCTA5 29546,2965.0,,409.0,,29546
ZCTA5 29554,8582.0,,809.0,,29554
ZCTA5 29555,5824.0,,646.0,,29555
ZCTA5 29556,12089.0,,750.0,,29556
ZCTA5 29566,17603.0,,1064.0,,29566
ZCTA5 29572,9395.0,,513.0,,29572
ZCTA5 29576,31037.0,,1330.0,,29576
ZCTA5 29583,4985.0,,542.0,,29583
ZCTA5 29596,2170.0,,430.0,,29596
ZCTA5 29605,37130.0,,1409.0,,29605
ZCTA5 29609,29191.0,,1010.0,,29609
ZCTA5 29611,30274.0,,1474.0,,29611
ZCTA5 29628,2505.0,,293.0,,29628
ZCTA5 29645,9643.0,,651.0,,29645
ZCTA5 29659,89.0,,44.0,,29659
ZCTA5 29665,140.0,,125.0,,29665
ZCTA5 29672,12153.0,,702.0,,29672
ZCTA5 29685,1704.0,,351.0,,29685
ZCTA5 29691,11113.0,,879.0,,29691
ZCTA5 29704,3693.0,,642.0,,29704
ZCTA5 29849,518.0,,229.0,,29849
ZCTA5 29743,861.0,,277.0,,29743
ZCTA5 29829,11879.0,,873.0,,29829
ZCTA5 29847,5506.0,,652.0,,29847
ZCTA5 29851,7328.0,,735.0,,29851
ZCTA5 29910,41018.0,,1642.0,,29910
ZCTA5 29923,377.0,,138.0,,29923
ZCTA5 29941,587.0,,251.0,,29941
ZCTA5 29935,3928.0,,557.0,,29935
ZCTA5 29936,13666.0,,900.0,,29936
ZCTA5 29075,3028.0,,588.0,,29075
ZCTA5 29081,1317.0,,247.0,,29081
ZCTA5 29111,1663.0,,254.0,,29111
ZCTA5 29122,40.0,,27.0,,29122
ZCTA5 29142,5187.0,,866.0,,29142
ZCTA5 29152,1827.0,,358.0,,29152
ZCTA5 29161,11261.0,,1058.0,,29161
ZCTA5 29166,849.0,,199.0,,29166
ZCTA5 29170,21555.0,,1192.0,,29170
ZCTA5 29206,19182.0,,832.0,,29206
ZCTA5 29229,50866.0,,2829.0,,29229
ZCTA5 29323,12489.0,,919.0,,29323
ZCTA5 29330,8987.0,,945.0,,29330
ZCTA5 29341,20482.0,,1164.0,,29341
ZCTA5 29351,1329.0,,299.0,,29351
ZCTA5 29355,928.0,,327.0,,29355
ZCTA5 29356,8459.0,,573.0,,29356
ZCTA5 29379,17485.0,,650.0,,29379
ZCTA5 29670,9297.0,,727.0,,29670
ZCTA5 29680,32031.0,,1356.0,,29680
ZCTA5 29681,57959.0,,1721.0,,29681
ZCTA5 29709,7081.0,,559.0,,29709
ZCTA5 29724,39.0,,56.0,,29724
ZCTA5 29730,55937.0,,1306.0,,29730
ZCTA5 29745,30697.0,,1303.0,,29745
ZCTA5 29812,11357.0,,598.0,,29812
ZCTA5 29831,4332.0,,349.0,,29831
ZCTA5 29842,7462.0,,920.0,,29842
ZCTA5 29843,1195.0,,328.0,,29843
ZCTA5 29212,29586.0,,1170.0,,29212
ZCTA5 29303,25089.0,,1138.0,,29303
ZCTA5 29365,11211.0,,604.0,,29365
ZCTA5 29388,15721.0,,1240.0,,29388
ZCTA5 29401,9627.0,,676.0,,29401
ZCTA5 29405,29677.0,,1035.0,,29405
ZCTA5 29412,40275.0,,1315.0,,29412
ZCTA5 29423,1035.0,,218.0,,29423
ZCTA5 29426,1888.0,,435.0,,29426
ZCTA5 29003,6510.0,,497.0,,29003
ZCTA5 29030,1928.0,,440.0,,29030
ZCTA5 29051,2007.0,,339.0,,29051
ZCTA5 29054,9260.0,,622.0,,29054
ZCTA5 29063,39090.0,,1454.0,,29063
ZCTA5 29018,2971.0,,354.0,,29018
ZCTA5 29033,12541.0,,359.0,,29033
ZCTA5 29052,2111.0,,878.0,,29052
ZCTA5 29069,4393.0,,494.0,,29069
ZCTA5 29079,10.0,,18.0,,29079
ZCTA5 29108,20890.0,,782.0,,29108
ZCTA5 29138,11196.0,,539.0,,29138
ZCTA5 29112,3841.0,,444.0,,29112
ZCTA5 29127,8339.0,,620.0,,29127
ZCTA5 29130,5755.0,,562.0,,29130
ZCTA5 29150,39616.0,,1246.0,,29150
ZCTA5 29204,18709.0,,814.0,,29204
ZCTA5 29006,10720.0,,862.0,,29006
ZCTA5 29010,12469.0,,483.0,,29010
ZCTA5 29031,1136.0,,242.0,,29031
ZCTA5 29048,4825.0,,781.0,,29048
ZCTA5 29062,131.0,,108.0,,29062
ZCTA5 29065,509.0,,171.0,,29065
ZCTA5 29067,11093.0,,955.0,,29067
ZCTA5 29073,46555.0,,1429.0,,29073
ZCTA5 29107,2737.0,,460.0,,29107
ZCTA5 29536,16012.0,,863.0,,29536
ZCTA5 29544,5301.0,,694.0,,29544
ZCTA5 29565,7836.0,,906.0,,29565
ZCTA5 29575,18727.0,,820.0,,29575
ZCTA5 29585,15022.0,,697.0,,29585
ZCTA5 29630,14972.0,,874.0,,29630
ZCTA5 29638,3225.0,,497.0,,29638
ZCTA5 29646,28182.0,,1160.0,,29646
ZCTA5 29651,47493.0,,1411.0,,29651
ZCTA5 29654,9306.0,,695.0,,29654
ZCTA5 29662,15696.0,,790.0,,29662
ZCTA5 29669,12058.0,,839.0,,29669
ZCTA5 29828,689.0,,267.0,,29828
ZCTA5 29801,28308.0,,1225.0,,29801
ZCTA5 29816,971.0,,326.0,,29816
ZCTA5 29826,119.0,,53.0,,29826
ZCTA5 29469,880.0,,238.0,,29469
ZCTA5 29479,6758.0,,825.0,,29479
ZCTA5 29483,81942.0,,2011.0,,29483
ZCTA5 29487,2999.0,,448.0,,29487
ZCTA5 29506,20823.0,,1208.0,,29506
ZCTA5 29511,4986.0,,537.0,,29511
ZCTA5 29516,1038.0,,312.0,,29516
ZCTA5 29519,228.0,,142.0,,29519
ZCTA5 29526,46369.0,,1482.0,,29526
ZCTA5 30339,23373.0,,1151.0,,30339
ZCTA5 30401,13598.0,,467.0,,30401
ZCTA5 30452,1372.0,,290.0,,30452
ZCTA5 30455,465.0,,111.0,,30455
ZCTA5 30457,5885.0,,369.0,,30457
ZCTA5 30467,12070.0,,322.0,,30467
ZCTA5 30504,26966.0,,1456.0,,30504
ZCTA5 30510,9042.0,,886.0,,30510
ZCTA5 30354,16398.0,,1043.0,,30354
ZCTA5 30421,3322.0,,425.0,,30421
ZCTA5 30434,5386.0,,520.0,,30434
ZCTA5 30436,12092.0,,829.0,,30436
ZCTA5 30441,1701.0,,236.0,,30441
ZCTA5 30448,76.0,,57.0,,30448
ZCTA5 30456,1936.0,,428.0,,30456
ZCTA5 30461,14366.0,,963.0,,30461
ZCTA5 30471,5085.0,,467.0,,30471
ZCTA5 30512,21080.0,,513.0,,30512
ZCTA5 30522,897.0,,263.0,,30522
ZCTA5 30552,1805.0,,334.0,,30552
ZCTA5 30530,6330.0,,673.0,,30530
ZCTA5 30535,7431.0,,653.0,,30535
ZCTA5 30548,18630.0,,1119.0,,30548
ZCTA5 30017,24416.0,,1958.0,,30017
ZCTA5 30025,9308.0,,626.0,,30025
ZCTA5 30038,39104.0,,1301.0,,30038
ZCTA5 30052,65959.0,,2446.0,,30052
ZCTA5 30055,3306.0,,565.0,,30055
ZCTA5 30071,25218.0,,1350.0,,30071
ZCTA5 30019,49262.0,,2519.0,,30019
ZCTA5 30005,40056.0,,1454.0,,30005
ZCTA5 30008,31982.0,,1825.0,,30008
ZCTA5 30022,68807.0,,1746.0,,30022
ZCTA5 30024,77334.0,,2190.0,,30024
ZCTA5 30041,66531.0,,1210.0,,30041
ZCTA5 30066,55548.0,,1556.0,,30066
ZCTA5 30082,29011.0,,1437.0,,30082
ZCTA5 30083,58323.0,,2044.0,,30083
