week,sales,book
Nov 21 2021 - Nov 27 2021,467,Gender Queer
Nov 28 2021 - Dec 04 2021,486,Gender Queer
Dec 05 2021 - Dec 11 2021,466,Gender Queer
Dec 12 2021 - Dec 18 2021,577,Gender Queer
Dec 19 2021 - Dec 25 2021,507,Gender Queer
Dec 26 2021 - Jan 01 2022,232,Gender Queer
Jan 02 2022 - Jan 08 2022,283,Gender Queer
Jan 09 2022 - Jan 15 2022,279,Gender Queer
Jan 16 2022 - Jan 22 2022,401,Gender Queer
Jan 23 2022 - Jan 29 2022,325,Gender Queer
Jan 30 2022 - Feb 05 2022,582,Gender Queer
Feb 06 2022 - Feb 12 2022,513,Gender Queer
Feb 13 2022 - Feb 19 2022,551,Gender Queer
Feb 20 2022 - Feb 26 2022,420,Gender Queer
Feb 27 2022 - Mar 05 2022,397,Gender Queer
Mar 06 2022 - Mar 12 2022,540,Gender Queer
Mar 13 2022 - Mar 19 2022,448,Gender Queer
Mar 20 2022 - Mar 26 2022,368,Gender Queer
Mar 27 2022 - Apr 02 2022,378,Gender Queer
Apr 03 2022 - Apr 09 2022,674,Gender Queer
Apr 10 2022 - Apr 16 2022,650,Gender Queer
Apr 17 2022 - Apr 23 2022,728,Gender Queer
Apr 24 2022 - Apr 30 2022,846,Gender Queer
May 01 2022 - May 07 2022,1949,Gender Queer
Sep 05 2021 - Sep 11 2021,1627,Maus
Sep 12 2021 - Sep 18 2021,1422,Maus
Sep 19 2021 - Sep 25 2021,938,Maus
Sep 26 2021 - Oct 02 2021,1162,Maus
Oct 03 2021 - Oct 09 2021,717,Maus
Oct 10 2021 - Oct 16 2021,1001,Maus
Oct 17 2021 - Oct 23 2021,1185,Maus
Oct 24 2021 - Oct 30 2021,1116,Maus
Oct 31 2021 - Nov 06 2021,941,Maus
Nov 07 2021 - Nov 13 2021,1270,Maus
Nov 14 2021 - Nov 20 2021,1065,Maus
Nov 21 2021 - Nov 27 2021,871,Maus
Nov 28 2021 - Dec 04 2021,1062,Maus
Dec 05 2021 - Dec 11 2021,1052,Maus
Dec 12 2021 - Dec 18 2021,1185,Maus
Dec 19 2021 - Dec 25 2021,1200,Maus
Dec 26 2021 - Jan 01 2022,1082,Maus
Jan 02 2022 - Jan 08 2022,1474,Maus
Jan 09 2022 - Jan 15 2022,2241,Maus
Jan 16 2022 - Jan 22 2022,1898,Maus
Jan 23 2022 - Jan 29 2022,12607,Maus
Jan 30 2022 - Feb 05 2022,22908,Maus
Feb 06 2022 - Feb 12 2022,34220,Maus
Feb 13 2022 - Feb 19 2022,13508,Maus
Feb 20 2022 - Feb 26 2022,15179,Maus
Feb 27 2022 - Mar 05 2022,25777,Maus
Mar 06 2022 - Mar 12 2022,13799,Maus
Mar 13 2022 - Mar 19 2022,12121,Maus
Mar 20 2022 - Mar 26 2022,11580,Maus
Mar 27 2022 - Apr 02 2022,9445,Maus
Apr 03 2022 - Apr 09 2022,8570,Maus
Apr 10 2022 - Apr 16 2022,7195,Maus
Apr 17 2022 - Apr 23 2022,5796,Maus
Apr 24 2022 - Apr 30 2022,12772,Maus
May 01 2022 - May 07 2022,14039,Maus
