state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,winner
California,069,San Benito,10590,17628,28821,-7038,0.3674404080358072,0.6116373477672531,0.2441969397314459,Biden
California,071,San Bernardino,366257,455859,840931,-89602,0.4355375173468453,0.5420884709922693,0.106550953645424,Biden
California,073,San Diego,600094,964650,1601722,-364556,0.374655526989078,0.6022580697524289,0.2276025427633509,Biden
California,075,San Francisco,56417,378156,443458,-321739,0.1272206161575617,0.8527436645634987,0.725523048405937,Biden
California,077,San Joaquin,121098,161137,288443,-40039,0.419833381291971,0.5586441688652524,0.13881078757328136,Biden
California,079,San Luis Obispo,67436,88310,159681,-20874,0.4223169945077999,0.5530401237467201,0.13072312923892015,Biden
California,081,San Mateo,75563,291410,374138,-215847,0.2019655848911364,0.7788837273947046,0.5769181425035682,Biden
California,083,Santa Barbara,65736,129963,200288,-64227,0.328207381370826,0.6488806119188368,0.32067323054801083,Biden
California,085,Santa Clara,214612,617967,850522,-403355,0.2523297457326207,0.7265737982086296,0.47424405247600887,Biden
California,087,Santa Cruz,26937,114246,144796,-87309,0.1860341445896295,0.7890135086604603,0.6029793640708307,Biden
California,089,Shasta,60789,30000,92900,30789,0.6543487621097955,0.3229278794402583,0.33142088266953723,Trump
California,091,Sierra,1142,730,1930,412,0.5917098445595855,0.3782383419689119,0.21347150259067366,Trump
California,093,Siskiyou,13290,9593,23450,3697,0.5667377398720682,0.4090831556503198,0.15765458422174844,Trump
California,095,Solano,69306,131639,205831,-62333,0.3367131287318237,0.6395489503524736,0.3028358216206499,Biden
California,097,Sonoma,61825,199938,268252,-138113,0.2304735845399102,0.7453364746581572,0.514862890118247,Biden
California,099,Stanislaus,104145,105841,214876,-1696,0.4846748822576742,0.4925678065488933,0.007892924291219128,Biden
California,101,Sutter,24375,17367,42640,7008,0.5716463414634146,0.4072936210131332,0.16435272045028143,Trump
California,103,Tehama,19141,8911,28721,10230,0.6664461543818112,0.3102607847916159,0.3561853695901953,Trump
California,105,Trinity,3188,2851,6258,337,0.5094279322467242,0.45557686161713,0.05385107062959421,Trump
California,107,Tulare,77579,66105,146832,11474,0.5283521303258145,0.4502084014383785,0.07814372888743604,Trump
California,109,Tuolumne,17689,11978,30401,5711,0.5818558600046051,0.3940001973619288,0.18785566264267628,Trump
California,111,Ventura,162207,251388,422698,-89181,0.3837420569768487,0.5947224732551373,0.21098041627828856,Biden
California,113,Yolo,27292,67598,97264,-40306,0.2805971376871196,0.6949950649777924,0.4143979272906728,Biden
California,115,Yuba,17676,11230,29787,6446,0.593413233961124,0.377010105079397,0.21640312888172702,Trump
