location,precinct,vbm_only,registration,biden,trump,others,total_votes,biden_pct,trump_pct,others_pct,winner
ATHENS,0450008A,N,1661,1050,75,20,1145,91.7,6.55,1.75,Biden
AVALON,0500001A,N,2004,856,546,39,1441,59.4,37.89,2.71,Biden
AVOCADO HEIGHTS,0520001A,N,2039,1114,429,34,1577,70.64,27.2,2.16,Biden
AVOCADO HEIGHTS,0520002A,N,1720,910,304,31,1245,73.09,24.42,2.49,Biden
AVOCADO HEIGHTS,0520004A,N,1542,805,310,14,1129,71.3,27.46,1.24,Biden
AVOCADO HEIGHTS,0520005B,N,1835,901,333,30,1264,71.28,26.34,2.37,Biden
AVOCADO HEIGHTS,0520009B,Y,731,345,157,9,511,67.51,30.72,1.76,Biden
AVOCADO HEIGHTS,0520010B,Y,6,0,5,0,5,0.0,100.0,0.0,Trump
AVOCADO HEIGHTS,0520015A,Y,571,357,104,7,468,76.28,22.22,1.5,Biden
AZUSA,0550001A,Y,184,108,38,5,151,71.52,25.17,3.31,Biden
AZUSA,0550002A,N,2234,1150,524,34,1708,67.33,30.68,1.99,Biden
AZUSA,0550006B,Y,517,269,163,8,440,61.14,37.05,1.82,Biden
AZUSA,0550008A,N,2206,1076,421,36,1533,70.19,27.46,2.35,Biden
AZUSA,0550010A,N,2385,1170,485,35,1690,69.23,28.7,2.07,Biden
AZUSA,0550010E,Y,2,0,0,0,0,,,,No votes
AZUSA,0550012A,N,2226,1127,442,41,1610,70.0,27.45,2.55,Biden
AZUSA,0550015C,Y,0,0,0,0,0,,,,No votes
AZUSA,0550024A,N,1709,863,314,29,1206,71.56,26.04,2.4,Biden
AZUSA,0550025B,N,2422,1238,512,48,1798,68.85,28.48,2.67,Biden
AZUSA,0550078A,N,2399,1245,425,34,1704,73.06,24.94,2.0,Biden
AZUSA,0550079A,N,2654,1134,599,44,1777,63.82,33.71,2.48,Biden
AZUSA,0550081A,N,2636,1264,855,54,2173,58.17,39.35,2.49,Biden
AZUSA,0550085C,Y,0,0,0,0,0,,,,No votes
AZUSA,0550086A,N,2583,1321,775,47,2143,61.64,36.16,2.19,Biden
BALDWIN PARK,0600001A,N,2164,1088,372,34,1494,72.82,24.9,2.28,Biden
BALDWIN PARK,0600006B,N,1439,757,245,23,1025,73.85,23.9,2.24,Biden
BALDWIN PARK,0600009A,N,2117,1146,315,36,1497,76.55,21.04,2.4,Biden
