,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,unsheltered,unshelteredoutside,2010-rate,2011-rate,2012-rate,2013-rate,2014-rate,2015-rate,2016-rate,2017-rate,2018-rate,2019-rate,2010-z,2011-z,2012-z,2013-z,2014-z,2015-z,2016-z,2017-z,2018-z,2019-z
48,Beverlywood,0,0,0,0,0,0,1,1,0,0,11.62145862,5.298418369,0,0,0,0,0,0,8.604771854,8.604771854,0,0,-0.80700931,-0.814153938,-1.472825462,-1.746787333,-1.579558038,-1.620496149,-1.04438215,-1.120462592,-1.331122981,-0.549344437
39,Toluca Lake,0,0,0,2,1,5,1,0,1,0,12.36706878,9.539124368,0,0,0,16.17198089,8.085990443,40.42995222,8.085990443,0,8.085990443,0,-0.83249496,-0.839865218,-1.519337831,-0.400632489,-0.883977235,1.995201537,-1.122072864,-1.883012162,-0.533879642,-0.566692936
36,Carthay,0,1,1,1,0,0,0,2,0,0,14.14611745,14.14525016,0,7.069077457,7.069077457,7.069077457,0,0,0,14.13815491,0,0,-0.890362488,0.278534516,-0.894675475,-1.272085514,-1.742705082,-1.787871548,-1.945361323,-0.736076643,-1.468610034,-0.606084309
80,Glassell Park,4,0,0,1,0,1,1,0,0,0,116.2312955,33.16636213,3.441413935,0,0,0.860353484,0,0.860353484,0.860353484,0,0,0,-0.897047079,-2.574765889,-4.657817871,-5.295674893,-4.995360173,-4.885606994,-5.348955041,-5.772730409,-4.209683067,-1.737304521
37,Sylmar,11,4,4,29,6,11,2,7,0,0,280.2058162,85.83836417,3.925685822,1.427522117,1.427522117,10.34953535,2.141283176,3.925685822,0.713761059,2.498163705,0,0,-1.031185065,-2.94010873,-6.575684049,-4.308512998,-6.816443762,-6.262345998,-8.365255971,-7.958208783,-6.536216578,-2.697447393
45,Brentwood,0,0,1,0,0,2,1,1,29,0,20.59923893,13.97838385,0,0,4.854548284,0,0,9.709096568,4.854548284,4.854548284,140.7819002,0,-1.074419328,-1.083931394,-1.355688592,-2.325601514,-2.102959241,-1.020977528,-1.807564395,-1.900756747,17.08655258,-0.73137481
20,Arleta,3,2,0,0,1,8,1,0,0,2,104.4546769,49.00898393,2.87205905,1.914706033,0,0,0.957353017,7.658824133,0.957353017,0,0,1.914706033,-1.109973692,-1.574721264,-4.415551034,-5.236892499,-4.479031659,-2.83950668,-5.046445606,-5.472473685,-3.990725042,-0.401036385
91,Cheviot Hills,0,0,0,0,0,0,0,1,2,0,22.28108049,10.05269281,0,0,0,0,0,0,0,4.488112685,8.97622537,0,-1.117419764,-1.127312523,-2.039337416,-2.418676794,-2.187123926,-2.243808594,-2.441460887,-2.018393706,-0.592575952,-0.76064591
62,Vermont Vista,9,5,46,29,97,252,15,0,0,0,244.0255751,97.1387428,3.688138014,2.048965563,18.85048318,11.88400027,39.74993193,103.2678644,6.14689669,0,0,0,-1.127850747,-2.314069046,1.339066094,-3.4301154,9.040413814,34.17901493,-5.726633388,-8.364450385,-6.09965868,-2.517283234
67,Pico-Robertson,0,0,0,3,0,0,0,2,4,0,27.43060124,15.14624905,0,0,0,10.93669065,0,0,0,7.291127098,14.5822542,0,-1.239840698,-1.250817276,-2.262760699,-1.27227914,-2.426738226,-2.489633085,-2.708939531,-1.88674309,0.209093196,-0.843979843
