index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employer_full,fire
7387495,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,ASSISTANT FIRE MARSHAL,2637.0,128183.0,33524.0,ORANGE,2637.0,128183.0,33524.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387496,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,ASSISTANT FIRE MARSHAL,985.0,122916.0,33468.0,ORANGE,985.0,122916.0,33468.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387497,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,ASSISTANT FIRE MARSHAL,2422.0,125444.0,35104.0,ORANGE,2422.0,125444.0,35104.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387499,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,DEPUTY FIRE MARSHAL,6383.0,161087.0,47251.0,ORANGE,6383.0,161087.0,47251.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387577,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE APPARATUS ENGINEER,67903.0,204374.0,61233.0,ORANGE,67903.0,204374.0,61233.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387578,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE APPARATUS ENGINEER,48258.0,171908.0,58299.0,ORANGE,48258.0,171908.0,58299.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387579,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE APPARATUS ENGINEER,32221.0,151142.0,58614.0,ORANGE,32221.0,151142.0,58614.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387580,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE APPARATUS ENGINEER,9032.0,104918.0,59643.0,ORANGE,9032.0,104918.0,59643.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387581,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE APPARATUS ENGINEER,7023.0,88420.0,60560.0,ORANGE,7023.0,88420.0,60560.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387582,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE BATTALION CHIEF,95621.0,300886.0,79985.0,ORANGE,95621.0,300886.0,79985.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387583,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE BATTALION CHIEF,144731.0,338614.0,73073.0,ORANGE,144731.0,338614.0,73073.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387584,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE BATTALION CHIEF,71775.0,239679.0,68998.0,ORANGE,71775.0,239679.0,68998.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387585,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE CAPTAIN,79514.0,243561.0,69068.0,ORANGE,79514.0,243561.0,69068.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387586,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE CAPTAIN,36509.0,194061.0,67554.0,ORANGE,36509.0,194061.0,67554.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387587,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE CAPTAIN,31197.0,186784.0,65529.0,ORANGE,31197.0,186784.0,65529.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387588,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE CAPTAIN,40983.0,204593.0,69145.0,ORANGE,40983.0,204593.0,69145.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387589,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIRE CAPTAIN,1424.0,152427.0,68210.0,ORANGE,1424.0,152427.0,68210.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387592,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIREFIGHTER,10628.0,141982.0,60478.0,ORANGE,10628.0,141982.0,60478.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387593,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EMS AND TRAINING DEPARTMENT,FIREFIGHTER,1355.0,44529.0,29744.0,ORANGE,1355.0,44529.0,29744.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387611,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EXECUTIVE MANAGEMENT,FIRE CAPTAIN,48036.0,216703.0,68381.0,ORANGE,48036.0,216703.0,68381.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387612,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,EXECUTIVE MANAGEMENT,FIRE CAPTAIN,42098.0,202460.0,73291.0,ORANGE,42098.0,202460.0,73291.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387624,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,HUMAN RESOURCES DIVISION,FIRE BATTALION CHIEF,622.0,7091.0,0.0,ORANGE,622.0,7091.0,0.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387627,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,HUMAN RESOURCES DIVISION,FIRE CAPTAIN,47492.0,199718.0,67907.0,ORANGE,47492.0,199718.0,67907.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387628,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,HUMAN RESOURCES DIVISION,FIRE DIVISION CHIEF,2342.0,151230.0,34113.0,ORANGE,2342.0,151230.0,34113.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387629,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,HUMAN RESOURCES DIVISION,FIRE DIVISION CHIEF,36.0,4246.0,4385.0,ORANGE,36.0,4246.0,4385.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387654,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,LOGISTICS DEPARTMENT,ASSISTANT FIRE APPARATUS TECHNICIAN,104.0,23572.0,2262.0,ORANGE,104.0,23572.0,2262.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387657,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,LOGISTICS DEPARTMENT,ASSISTANT INFORMATION TECHNOLOGY MANAGER,347.0,176830.0,27465.0,ORANGE,347.0,176830.0,27465.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387762,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,28400.0,163463.0,53942.0,ORANGE,28400.0,163463.0,53942.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387763,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,75577.0,205876.0,59943.0,ORANGE,75577.0,205876.0,59943.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387764,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,116363.0,256608.0,61751.0,ORANGE,116363.0,256608.0,61751.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387765,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,92517.0,231720.0,61753.0,ORANGE,92517.0,231720.0,61753.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387766,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,56731.0,200936.0,62479.0,ORANGE,56731.0,200936.0,62479.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387767,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,82737.0,218339.0,61093.0,ORANGE,82737.0,218339.0,61093.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387768,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,62282.0,189450.0,59497.0,ORANGE,62282.0,189450.0,59497.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387769,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,76124.0,197571.0,57514.0,ORANGE,76124.0,197571.0,57514.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387770,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,63607.0,192453.0,58818.0,ORANGE,63607.0,192453.0,58818.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387771,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,48307.0,176586.0,59510.0,ORANGE,48307.0,176586.0,59510.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387772,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,62465.0,185963.0,58413.0,ORANGE,62465.0,185963.0,58413.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387773,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,82853.0,197339.0,57411.0,ORANGE,82853.0,197339.0,57411.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387774,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,47793.0,176016.0,59511.0,ORANGE,47793.0,176016.0,59511.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387775,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,62077.0,182954.0,57785.0,ORANGE,62077.0,182954.0,57785.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387776,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,171537.0,297639.0,56615.0,ORANGE,171537.0,297639.0,56615.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387777,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,51767.0,174754.0,58025.0,ORANGE,51767.0,174754.0,58025.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387778,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,80435.0,215304.0,60548.0,ORANGE,80435.00000000001,215304.0,60548.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387779,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,58966.0,177766.0,55445.0,ORANGE,58966.0,177766.0,55445.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387780,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,86579.0,214701.0,51506.0,ORANGE,86579.0,214701.0,51506.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387781,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,109951.0,244747.0,59088.0,ORANGE,109951.0,244747.0,59088.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387782,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,68602.0,202418.0,59363.0,ORANGE,68602.0,202418.00000000003,59363.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387783,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,62590.0,185878.0,57823.0,ORANGE,62590.0,185878.0,57823.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387784,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,116521.0,252494.0,58887.0,ORANGE,116521.0,252494.0,58887.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387785,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,72755.0,210577.0,60296.0,ORANGE,72755.0,210577.0,60296.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387786,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,80733.0,216293.0,60122.0,ORANGE,80733.0,216293.00000000003,60122.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387787,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,79458.0,208781.0,59771.0,ORANGE,79458.0,208781.0,59771.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387788,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,61223.0,189757.0,60043.0,ORANGE,61223.0,189757.0,60043.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387789,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,84704.0,211641.0,57801.0,ORANGE,84704.0,211641.0,57801.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387790,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,107085.0,243439.0,61432.0,ORANGE,107085.0,243439.0,61432.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387791,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,71646.0,211730.0,56688.0,ORANGE,71646.0,211730.0,56688.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387792,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,108655.0,250988.0,63280.0,ORANGE,108655.0,250988.0,63279.99999999999,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387793,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,76879.0,191356.0,56300.0,ORANGE,76879.0,191356.0,56300.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387794,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,111860.0,239221.0,51630.0,ORANGE,111860.0,239221.0,51630.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387795,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,69303.0,193004.0,58760.0,ORANGE,69303.0,193004.0,58760.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387796,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,39993.0,164760.0,58876.0,ORANGE,39993.0,164760.0,58876.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387797,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,92931.0,212179.0,57549.0,ORANGE,92931.0,212179.0,57549.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387798,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,107796.0,256803.0,60179.0,ORANGE,107796.0,256803.0,60179.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387799,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,97649.0,222765.0,59070.0,ORANGE,97649.0,222765.0,59070.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387800,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,68238.0,192368.0,56630.0,ORANGE,68238.0,192368.0,56630.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387801,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,137863.0,249353.0,55942.0,ORANGE,137863.0,249353.0,55942.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387802,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,70214.0,196340.0,60050.0,ORANGE,70214.0,196340.0,60050.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387803,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,88681.0,223369.0,61091.0,ORANGE,88681.0,223369.0,61091.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387804,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,113979.0,238577.0,57346.0,ORANGE,113979.0,238577.0,57346.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387805,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,72751.0,197832.0,60225.0,ORANGE,72751.0,197832.0,60225.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387806,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,70255.0,196509.0,59348.0,ORANGE,70255.0,196509.0,59348.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387807,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,86495.0,209017.0,58599.0,ORANGE,86495.0,209017.0,58599.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387808,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,78450.0,194473.0,57039.0,ORANGE,78450.0,194473.0,57039.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387809,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,130109.0,259086.0,59522.0,ORANGE,130109.0,259086.0,59522.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387810,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,93880.0,218047.0,60016.0,ORANGE,93880.0,218047.0,60016.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387811,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,123561.0,239496.0,56884.0,ORANGE,123561.0,239496.0,56884.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387812,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,OPERATIONS DEPARTMENT,FIRE APPARATUS ENGINEER,75807.0,197709.0,57512.0,ORANGE,75807.0,197709.0,57512.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
