index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
934303,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,52095.0,179772.0,73998.0,LOS ANGELES,52095.0,179772.0,73998.0,GLENDALE_CITY,True
934304,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,30383.0,179871.0,66905.0,LOS ANGELES,30383.0,179871.0,66905.0,GLENDALE_CITY,True
934305,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,25034.0,165449.0,83159.0,LOS ANGELES,25034.0,165449.0,83159.0,GLENDALE_CITY,True
934306,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN 40 HR,0.0,12855.0,3769.0,LOS ANGELES,0.0,12855.0,3769.0,GLENDALE_CITY,True
934307,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN 40 HR,47721.0,197727.0,85441.0,LOS ANGELES,47721.0,197727.0,85441.0,GLENDALE_CITY,True
934308,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN 40 HR,44535.0,205346.0,89493.0,LOS ANGELES,44535.0,205346.0,89493.0,GLENDALE_CITY,True
934309,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,56862.0,199330.0,83998.0,LOS ANGELES,56862.0,199330.0,83998.0,GLENDALE_CITY,True
934310,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,105962.0,253195.0,86594.0,LOS ANGELES,105962.0,253195.0,86594.0,GLENDALE_CITY,True
934311,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,66503.0,211228.0,88545.0,LOS ANGELES,66503.0,211228.0,88545.0,GLENDALE_CITY,True
934312,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,33334.0,182167.0,86858.0,LOS ANGELES,33334.0,182167.0,86858.0,GLENDALE_CITY,True
934313,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,44624.0,186133.0,86858.0,LOS ANGELES,44624.0,186133.0,86858.0,GLENDALE_CITY,True
934314,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,126117.0,277201.0,72443.0,LOS ANGELES,126117.0,277201.0,72443.0,GLENDALE_CITY,True
934315,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,59765.0,193078.0,74259.0,LOS ANGELES,59765.0,193078.0,74259.0,GLENDALE_CITY,True
