name,pct_week_8,pct_week_9,pct_week_10,pct_week_11,pct_week_12,pct_week_13,pct_week_14,pct_week_15
 Long Beach,16.49,16.49,18.09,22.08,26.58,32.57,34.91,38.02
 Lynwood,9.84,9.84,11.18,14.54,18.36,23.46,26.53,30.62
 Malibu,18.78,18.78,20.17,23.65,26.97,31.39,34.39,38.38
 Manhattan Beach,24.22,24.22,26.03,30.54,35.38,41.84,46.1,51.79
 Maywood,9.02,9.02,10.36,13.7,17.45,22.46,25.26,28.99
 Monrovia,18.08,18.08,20.02,24.87,29.17,34.91,38.09,42.33
 Montebello,14.86,14.86,16.87,21.89,25.84,31.11,33.65,37.03
 Monterey Park,19.9,19.9,22.27,28.2,32.97,39.32,42.68,47.17
 Norwalk,14.17,14.17,15.86,20.08,24.2,29.7,32.37,35.92
 Palmdale,9.49,9.49,10.69,13.69,17.74,23.13,25.53,28.72
 Palos Verdes Estates,29.18,29.18,30.83,34.95,38.63,43.53,46.84,51.26
 Paramount,9.82,9.82,11.21,14.67,18.01,22.46,24.74,27.78
 Pasadena,22.16,22.16,24.28,29.57,34.25,40.5,43.56,47.65
 Pico Rivera,15.39,15.39,17.38,22.35,26.92,33.02,35.71,39.29
 Pomona,11.84,11.84,13.15,16.43,19.83,24.37,25.68,27.43
 Rancho Palos Verdes,27.82,27.82,29.64,34.18,37.81,42.66,45.9,50.23
 Redondo Beach,18.67,18.67,20.59,25.39,29.95,36.03,40.39,46.2
 Rolling Hills,29.97,29.97,31.21,34.32,36.93,40.42,43.14,46.77
 Rolling Hills Estates,31.19,31.19,33.0,37.54,41.48,46.74,50.45,55.39
 Rosemead,15.15,15.15,17.4,23.03,28.01,34.66,38.53,43.68
 San Dimas,20.75,20.75,22.44,26.66,30.81,36.34,38.86,42.21
 San Fernando,11.89,11.89,13.33,16.92,20.79,25.95,28.73,32.43
 San Gabriel,17.12,17.12,19.5,25.44,30.18,36.5,40.32,45.42
 San Marino,28.37,28.37,30.4,35.47,39.58,45.06,48.59,53.29
 Santa Clarita,18.2,18.2,20.09,24.8,28.51,33.45,35.82,38.98
 Santa Fe Springs,14.61,14.61,16.46,21.1,25.87,32.22,35.12,38.99
 Santa Monica,21.38,21.38,23.22,27.81,31.96,37.49,41.98,47.97
 Sierra Madre,27.19,27.19,29.4,34.94,39.55,45.69,49.12,53.69
 Signal Hill,19.18,19.18,21.13,25.99,30.78,37.17,39.95,43.66
 South El Monte,10.99,10.99,12.8,17.34,21.66,27.41,30.06,33.6
 South Gate,10.41,10.41,12.1,16.31,20.43,25.93,28.78,32.57
 South Pasadena,23.66,23.66,26.29,32.85,37.54,43.79,47.49,52.42
 Temple City,19.23,19.23,21.62,27.58,32.44,38.91,42.28,46.77
 Torrance,20.91,20.91,22.78,27.44,31.46,36.82,40.27,44.86
 Vernon,25.23,25.23,28.83,37.84,57.91,84.68,84.68,
 Walnut,23.03,23.03,25.01,29.96,34.93,41.55,45.01,49.63
 West Covina,18.53,18.53,20.51,25.45,30.31,36.8,39.63,43.41
 West Hollywood,14.55,14.55,16.48,21.29,26.43,33.28,37.87,44.0
 Westlake Village,14.81,14.81,16.12,19.39,21.47,24.25,27.73,32.37
 Whittier,15.84,15.84,17.86,22.9,27.19,32.91,35.75,39.53
Los Angeles - Adams-Normandie,9.62,9.62,11.24,15.29,19.36,24.79,27.08,30.13
Los Angeles - Alsace,8.49,8.49,9.94,13.58,17.85,23.55,26.28,29.92
Los Angeles - Angelino Heights,11.32,11.32,12.83,16.59,22.16,29.59,34.45,40.92
Los Angeles - Arleta,14.75,14.75,16.31,20.22,24.16,29.41,32.2,35.92
Los Angeles - Atwater Village,18.52,18.52,20.57,25.7,30.63,37.2,41.31,46.78
Los Angeles - Baldwin Hills,12.38,12.38,13.95,17.88,21.4,26.1,28.29,31.22
Los Angeles - Bel Air,34.3,34.3,35.83,39.67,42.67,46.66,49.24,52.68
Los Angeles - Beverly Crest,32.56,32.56,34.37,38.9,42.68,47.71,50.42,54.03
Los Angeles - Beverlywood,26.2,26.2,28.44,34.03,38.58,44.64,47.79,52.0
Los Angeles - Boyle Heights,11.5,11.5,13.15,17.28,20.76,25.41,27.71,30.78
Los Angeles - Brentwood,28.12,28.12,29.99,34.68,38.64,43.92,47.59,52.49
Los Angeles - Brookside,26.91,26.91,29.41,35.67,43.36,53.61,59.39,67.1
Los Angeles - Cadillac-Corning,9.49,9.49,10.89,14.4,18.37,23.67,26.47,30.21
Los Angeles - Canoga Park,12.22,12.22,13.47,16.58,20.07,24.73,27.46,31.09
Los Angeles - Carthay,24.85,24.85,26.89,32.0,36.27,41.97,45.57,50.37
Los Angeles - Central,6.87,6.87,7.96,10.69,13.6,17.49,19.48,22.14
Los Angeles - Century City,34.26,34.26,36.1,40.71,44.81,50.27,54.3,59.68
Los Angeles - Century Palms/Cove,6.84,6.84,7.87,10.46,13.17,16.79,18.97,21.88
Los Angeles - Chatsworth,22.29,22.29,24.06,28.5,32.69,38.27,41.18,45.06
Los Angeles - Cheviot Hills,37.08,37.08,39.52,45.61,50.14,56.17,59.38,63.66
Los Angeles - Chinatown,10.72,10.72,12.75,17.83,22.75,29.32,32.35,36.38
Los Angeles - Cloverdale/Cochran,9.97,9.97,11.59,15.63,19.46,24.57,27.45,31.3
Los Angeles - Country Club Park,17.28,17.28,19.08,23.59,27.84,33.51,36.34,40.11
Los Angeles - Crenshaw District,13.32,13.32,15.32,20.32,24.64,30.41,32.83,36.05
Los Angeles - Crestview,20.7,20.7,22.72,27.78,31.89,37.37,40.55,44.8
Los Angeles - Del Rey,16.22,16.22,17.99,22.42,26.55,32.06,36.02,41.29
Los Angeles - Downtown,14.05,14.05,15.86,20.39,25.08,31.34,35.4,40.82
Los Angeles - Eagle Rock,19.3,19.3,21.56,27.22,31.54,37.3,40.74,45.33
Los Angeles - East Hollywood,11.67,11.67,12.99,16.28,19.73,24.32,27.05,30.7
Los Angeles - Echo Park,12.06,12.06,13.97,18.76,24.23,31.53,35.6,41.02
Los Angeles - El Sereno,15.38,15.38,17.33,22.21,26.33,31.82,34.53,38.15
Los Angeles - Elysian Park,18.77,18.77,20.72,25.59,31.82,40.12,43.25,47.42
Los Angeles - Elysian Valley,14.8,14.8,16.86,22.02,26.67,32.88,36.34,40.96
Los Angeles - Encino,30.77,30.77,32.8,37.87,41.68,46.75,49.9,54.11
Los Angeles - Exposition,11.8,11.8,13.87,19.05,24.06,30.74,33.73,37.71
Los Angeles - Exposition Park,8.65,8.65,10.05,13.54,17.28,22.26,24.49,27.46
Los Angeles - Faircrest Heights,15.37,15.37,17.52,22.91,28.19,35.22,38.35,42.53
Los Angeles - Figueroa Park Square,9.12,9.12,10.33,13.37,16.49,20.64,23.09,26.35
Los Angeles - Florence-Firestone,6.59,6.59,7.74,10.62,13.67,17.73,19.91,22.81
Los Angeles - Glassell Park,17.51,17.51,19.48,24.39,28.77,34.61,37.97,42.44
Los Angeles - Gramercy Place,13.6,13.6,15.31,19.6,23.43,28.54,30.46,33.01
Los Angeles - Granada Hills,21.12,21.12,22.85,27.17,30.95,35.98,38.53,41.92
Los Angeles - Green Meadows,6.82,6.82,7.95,10.76,13.94,18.18,20.51,23.61
Los Angeles - Hancock Park,23.43,23.43,25.6,31.01,35.91,42.44,45.9,50.51
Los Angeles - Harbor City,15.11,15.11,16.8,21.01,24.7,29.63,32.03,35.24
Los Angeles - Harbor Gateway,11.6,11.6,12.9,16.16,19.45,23.83,26.37,29.76
Los Angeles - Harbor Pines,16.6,16.6,18.43,23.02,27.27,32.94,35.58,39.11
Los Angeles - Harvard Heights,10.25,10.25,11.52,14.7,18.29,23.07,25.38,28.46
Los Angeles - Harvard Park,9.18,9.18,10.56,14.0,17.6,22.4,24.68,27.73
Los Angeles - Highland Park,14.37,14.37,16.49,21.8,25.86,31.27,34.64,39.13
Los Angeles - Historic Filipinotown,13.91,13.91,15.56,19.69,23.47,28.52,31.31,35.04
Los Angeles - Hollywood,9.87,9.87,11.24,14.68,18.48,23.54,26.91,31.4
Los Angeles - Hollywood Hills,15.62,15.62,17.36,21.72,26.68,33.3,37.93,44.11
Los Angeles - Hyde Park,10.74,10.74,12.21,15.89,19.58,24.51,26.69,29.59
Los Angeles - Jefferson Park,11.01,11.01,12.9,17.61,22.17,28.25,30.89,34.42
Los Angeles - Koreatown,10.23,10.23,11.55,14.85,18.57,23.52,26.46,30.39
Los Angeles - Lafayette Square,10.73,10.73,12.45,16.75,20.65,25.85,28.65,32.39
Los Angeles - Lake Balboa,13.11,13.11,14.6,18.32,22.25,27.48,30.59,34.73
Los Angeles - Lakeview Terrace,14.91,14.91,16.45,20.29,23.96,28.85,31.29,34.54
Los Angeles - Leimert Park,12.51,12.51,14.37,19.03,22.66,27.51,29.87,33.02
Los Angeles - Lincoln Heights,12.76,12.76,14.57,19.09,23.33,28.99,32.17,36.42
Los Angeles - Little Armenia,9.57,9.57,10.68,13.44,16.4,20.34,22.56,25.52
Los Angeles - Little Bangladesh,10.72,10.72,12.16,15.75,19.87,25.37,28.5,32.67
Los Angeles - Little Tokyo,25.66,25.66,27.59,32.41,39.2,48.26,53.0,59.32
Los Angeles - Longwood,13.3,13.3,14.75,18.39,22.15,27.17,29.87,33.47
Los Angeles - Los Feliz,16.11,16.11,18.12,23.16,28.6,35.85,40.46,46.6
Los Angeles - Manchester Square,11.18,11.18,12.81,16.9,20.2,24.61,26.45,28.9
Los Angeles - Mandeville Canyon,35.04,35.04,37.12,42.33,46.47,51.98,55.66,60.56
Los Angeles - Mar Vista,19.0,19.0,20.89,25.63,29.97,35.75,40.02,45.72
Los Angeles - Marina Peninsula,24.73,24.73,26.11,29.56,34.15,40.27,44.8,50.85
Los Angeles - Melrose,13.91,13.91,15.6,19.83,24.21,30.04,33.4,37.89
Los Angeles - Mid-city,14.29,14.29,16.32,21.38,26.23,32.69,36.27,41.05
Los Angeles - Miracle Mile,15.39,15.39,17.23,21.82,26.46,32.64,36.66,42.02
Los Angeles - Mission Hills,16.7,16.7,18.29,22.28,26.24,31.51,34.14,37.64
Los Angeles - Mt. Washington,15.92,15.92,18.02,23.26,27.5,33.16,36.51,40.97
Los Angeles - North Hills,14.55,14.55,15.88,19.19,22.57,27.08,29.39,32.46
Los Angeles - North Hollywood,10.13,10.13,11.47,14.83,18.3,22.92,25.91,29.9
Los Angeles - Northridge,18.05,18.05,19.63,23.58,27.24,32.11,34.66,38.07
Los Angeles - Pacific Palisades,30.4,30.4,32.41,37.43,41.89,47.84,51.41,56.17
Los Angeles - Pacoima,11.18,11.18,12.36,15.3,18.43,22.61,25.11,28.44
Los Angeles - Palisades Highlands,31.18,31.18,33.22,38.31,41.99,46.89,50.26,54.76
Los Angeles - Palms,13.89,13.89,15.74,20.36,24.55,30.13,34.43,40.16
Los Angeles - Panorama City,13.24,13.24,14.48,17.57,20.57,24.58,26.97,30.15
Los Angeles - Park La Brea,11.76,11.76,12.91,15.78,19.57,24.63,28.06,32.64
Los Angeles - Pico-Union,11.07,11.07,12.36,15.57,18.66,22.79,24.78,27.43
Los Angeles - Playa Del Rey,19.28,19.28,20.78,24.52,28.53,33.88,38.57,44.83
Los Angeles - Playa Vista,23.88,23.88,25.73,30.34,35.66,42.76,48.32,55.74
Los Angeles - Porter Ranch,27.41,27.41,29.5,34.74,38.86,44.36,47.31,51.24
Los Angeles - Rancho Park,29.75,29.75,32.27,38.57,44.41,52.2,56.7,62.71
Los Angeles - Regent Square,13.29,13.29,15.31,20.37,24.26,29.45,33.38,38.63
Los Angeles - Reseda,17.36,17.36,19.02,23.16,27.0,32.12,35.1,39.07
Los Angeles - Reseda Ranch,14.65,14.65,16.2,20.09,24.34,30.0,32.73,36.36
Los Angeles - Reynier Village,16.32,16.32,18.67,24.53,29.56,36.26,40.27,45.61
Los Angeles - San Pedro,14.65,14.65,16.19,20.03,23.59,28.34,30.59,33.58
Los Angeles - Shadow Hills,16.46,16.46,17.98,21.79,25.15,29.64,32.55,36.44
Los Angeles - Sherman Oaks,19.95,19.95,21.85,26.61,31.16,37.23,41.23,46.56
Los Angeles - Silverlake,15.91,15.91,18.0,23.22,28.44,35.39,40.07,46.31
Los Angeles - South Carthay,20.78,20.78,22.65,27.33,31.67,37.46,40.74,45.11
Los Angeles - South Park,6.77,6.77,7.84,10.51,13.53,17.55,19.58,22.28
Los Angeles - St Elmo Village,10.39,10.39,11.68,14.89,17.77,21.61,23.94,27.05
Los Angeles - Studio City,20.15,20.15,22.07,26.87,31.73,38.2,42.75,48.82
Los Angeles - Sun Valley,12.93,12.93,14.31,17.76,21.21,25.81,28.5,32.09
Los Angeles - Sunland,16.92,16.92,18.25,21.58,24.59,28.61,31.01,34.21
Los Angeles - Sycamore Square,11.07,11.07,12.78,17.06,22.35,29.4,33.45,38.85
Los Angeles - Sylmar,14.24,14.24,15.78,19.62,23.43,28.52,31.19,34.76
Los Angeles - Tarzana,26.13,26.13,27.83,32.08,35.74,40.62,43.63,47.64
Los Angeles - Temple-Beaudry,10.49,10.49,11.92,15.51,19.11,23.91,26.64,30.29
Los Angeles - Thai Town,7.21,7.21,8.52,11.81,15.58,20.6,23.76,27.97
Los Angeles - Toluca Lake,15.41,15.41,17.15,21.49,26.4,32.95,37.18,42.82
Los Angeles - Toluca Terrace,19.24,19.24,20.79,24.67,29.36,35.62,38.79,43.02
Los Angeles - Toluca Woods,17.73,17.73,19.63,24.39,28.97,35.08,40.41,47.52
Los Angeles - Tujunga,15.77,15.77,16.97,19.97,23.01,27.07,29.41,32.52
Los Angeles - University Hills,11.49,11.49,13.07,17.03,20.19,24.41,26.68,29.7
Los Angeles - University Park,6.46,6.46,7.65,10.62,14.66,20.04,22.23,25.15
Los Angeles - Valley Glen,12.21,12.21,13.49,16.69,20.02,24.46,27.2,30.85
Los Angeles - Valley Village,16.22,16.22,17.91,22.14,26.48,32.27,35.87,40.67
Los Angeles - Van Nuys,10.57,10.57,11.72,14.58,17.65,21.74,24.23,27.54
Los Angeles - Venice,14.55,14.55,16.23,20.42,25.01,31.14,35.91,42.27
Los Angeles - Vermont Knolls,8.57,8.57,9.86,13.07,16.21,20.4,22.39,25.04
Los Angeles - Vermont Square,9.88,9.88,11.6,15.91,20.08,25.63,27.87,30.85
Los Angeles - Vermont Vista,6.23,6.23,7.2,9.64,12.3,15.85,17.93,20.7
Los Angeles - Vernon Central,6.52,6.52,7.61,10.35,13.41,17.49,19.64,22.51
Los Angeles - Victoria Park,10.36,10.36,11.85,15.57,19.59,24.95,27.68,31.31
Los Angeles - View Heights,14.91,14.91,17.04,22.38,26.4,31.76,33.83,36.58
Los Angeles - Watts,7.28,7.28,8.22,10.57,13.25,16.82,18.79,21.42
Los Angeles - Wellington Square,11.76,11.76,13.71,18.59,22.49,27.68,30.02,33.13
Los Angeles - West Adams,13.75,13.75,15.45,19.7,23.66,28.95,31.14,34.07
Los Angeles - West Hills,23.47,23.47,25.53,30.68,35.01,40.78,44.05,48.41
Los Angeles - West Los Angeles,18.62,18.62,20.3,24.51,28.68,34.24,38.42,44.0
Los Angeles - West Vernon,8.82,8.82,10.19,13.61,17.13,21.83,23.96,26.8
Los Angeles - Westchester,16.83,16.83,18.72,23.46,27.78,33.55,37.63,43.07
Los Angeles - Westlake,8.97,8.97,9.95,12.39,14.92,18.29,20.26,22.88
Los Angeles - Westwood,19.74,19.74,21.02,24.21,26.91,30.51,32.76,35.76
Los Angeles - Wholesale District,13.4,13.4,14.89,18.6,23.25,29.46,33.08,37.91
Los Angeles - Wilmington,9.62,9.62,10.8,13.75,17.08,21.52,23.64,26.47
Los Angeles - Wilshire Center,11.86,11.86,13.32,16.97,20.73,25.75,28.83,32.93
Los Angeles - Winnetka,15.94,15.94,17.63,21.85,25.93,31.37,34.28,38.15
Los Angeles - Woodland Hills,23.2,23.2,25.13,29.96,34.01,39.42,43.02,47.81
Unincorporated - Acton,10.29,10.29,11.42,14.23,16.69,19.96,21.58,23.73
Unincorporated - Agua Dulce,12.8,12.8,14.01,17.05,19.33,22.37,23.77,25.64
Unincorporated - Altadena,21.57,21.57,23.82,29.43,33.77,39.55,42.63,46.74
Unincorporated - Anaverde,11.71,11.71,12.8,15.51,18.45,22.37,24.18,26.6
Unincorporated - Angeles National Forest,6.05,6.05,6.63,8.09,13.75,21.3,23.75,27.01
Unincorporated - Arcadia,21.42,21.42,23.78,29.67,34.52,40.99,43.8,47.55
Unincorporated - Athens Village,13.78,13.78,14.99,18.03,21.95,27.18,29.49,32.56
Unincorporated - Athens-Westmont,8.42,8.42,9.55,12.39,15.5,19.65,21.57,24.14
Unincorporated - Avocado Heights,11.01,11.01,12.47,16.13,20.19,25.6,28.11,31.45
Unincorporated - Azusa,11.71,11.71,12.94,16.03,20.34,26.09,28.67,32.12
Unincorporated - Bassett,14.21,14.21,16.0,20.48,25.27,31.65,34.17,37.54
Unincorporated - Bouquet Canyon,10.77,10.77,11.94,14.85,17.04,19.95,22.2,25.19
Unincorporated - Bradbury,91.79,91.79,92.3,93.57,93.57,93.57,93.57,
Unincorporated - Canyon Country,13.27,13.27,14.64,18.07,21.08,25.1,26.7,28.83
Unincorporated - Castaic,11.51,11.51,12.87,16.26,19.6,24.06,25.85,28.23
Unincorporated - Cerritos,20.44,20.44,22.09,26.22,29.74,34.44,37.61,41.83
Unincorporated - Charter Oak,,,,,31.58,31.58,33.83,36.84
Unincorporated - Claremont,15.11,15.11,16.66,20.52,23.56,27.61,29.81,32.75
Unincorporated - Covina,15.11,15.11,16.98,21.66,26.47,32.88,35.5,38.99
Unincorporated - Covina (Charter Oak),14.41,14.41,15.95,19.8,24.03,29.66,32.14,35.44
Unincorporated - Del Aire,13.92,13.92,16.19,21.86,26.57,32.86,36.24,40.75
Unincorporated - Del Rey,15.11,15.11,17.23,22.53,27.12,33.24,38.18,44.77
Unincorporated - Del Sur,7.51,7.51,8.82,12.08,14.84,18.53,20.53,23.2
Unincorporated - Desert View Highlands,9.47,9.47,10.18,11.94,15.31,19.81,21.64,24.08
Unincorporated - Duarte,13.18,13.18,14.78,18.79,22.96,28.51,31.22,34.83
Unincorporated - East Covina,22.95,22.95,24.26,27.54,31.76,37.38,40.93,45.66
Unincorporated - East La Mirada,15.43,15.43,17.44,22.48,26.84,32.65,35.38,39.03
Unincorporated - East Lancaster,,,8.89,8.89,11.75,15.56,18.47,22.34
Unincorporated - East Los Angeles,11.37,11.37,13.22,17.83,21.53,26.46,28.95,32.28
Unincorporated - East Pasadena,23.65,23.65,25.84,31.31,35.72,41.59,44.86,49.22
Unincorporated - East Rancho Dominguez,7.77,7.77,9.07,12.32,15.59,19.95,22.06,24.88
Unincorporated - East Whittier,13.38,13.38,14.97,18.95,22.66,27.61,29.88,32.91
Unincorporated - El Camino Village,19.38,19.38,21.05,25.21,28.89,33.8,36.55,40.21
Unincorporated - El Monte,8.16,8.16,9.33,12.24,16.62,22.45,24.48,27.18
Unincorporated - Elizabeth Lake,5.18,5.18,5.97,7.94,10.25,13.33,14.74,16.62
Unincorporated - Florence-Firestone,6.76,6.76,7.93,10.87,14.79,20.01,22.3,25.36
Unincorporated - Glendora,17.47,17.47,19.4,24.22,27.93,32.87,34.52,36.72
Unincorporated - Hacienda Heights,17.51,17.51,19.42,24.19,29.13,35.71,38.7,42.69
Unincorporated - Hawthorne,10.02,10.02,11.75,16.06,20.35,26.08,29.05,33.01
Unincorporated - Hi Vista,5.28,5.28,5.78,7.04,10.66,15.49,17.43,20.02
Unincorporated - Kagel/Lopez Canyons,8.89,8.89,9.78,12.02,15.18,19.39,22.59,26.85
Unincorporated - La Crescenta-Montrose,20.2,20.2,22.11,26.88,30.99,36.47,40.19,45.16
Unincorporated - La Habra Heights,7.23,7.23,8.52,11.76,14.14,17.31,19.08,21.45
Unincorporated - La Rambla,13.57,13.57,15.17,19.17,22.02,25.81,28.8,32.78
Unincorporated - La Verne,23.21,23.21,25.21,30.2,33.54,38.0,40.02,42.72
Unincorporated - Ladera Heights,25.83,25.83,28.02,33.49,37.37,42.54,44.66,47.48
Unincorporated - Lake Hughes,5.21,5.21,5.5,6.21,7.84,10.02,11.19,12.74
Unincorporated - Lake Los Angeles,5.86,5.86,6.78,9.08,11.93,15.72,17.17,19.11
Unincorporated - Lake Manor,12.83,12.83,14.61,19.06,22.88,27.97,31.02,35.09
Unincorporated - Lakewood,18.27,18.27,19.37,22.12,24.59,27.88,28.12,28.44
Unincorporated - Lennox,7.29,7.29,8.65,12.06,15.94,21.11,23.7,27.16
Unincorporated - Leona Valley,10.08,10.08,10.86,12.8,15.07,18.1,19.38,21.09
Unincorporated - Littlerock,5.7,5.7,6.49,8.45,11.09,14.62,16.69,19.44
Unincorporated - Littlerock/Juniper Hills,11.9,11.9,13.2,16.45,19.6,23.8,25.41,27.55
Unincorporated - Littlerock/Pearblossom,5.59,5.59,6.51,8.81,12.0,16.25,18.6,21.74
Unincorporated - Llano,5.99,5.99,6.69,8.45,11.19,14.85,16.61,18.96
Unincorporated - Long Beach,24.0,24.0,25.79,30.27,34.77,40.76,43.13,46.28
Unincorporated - Marina del Rey,16.28,16.28,17.75,21.41,25.91,31.92,37.13,44.08
Unincorporated - Monrovia,18.69,18.69,20.74,25.86,29.65,34.7,36.83,39.68
Unincorporated - Newhall,9.71,9.71,11.51,16.0,19.43,24.0,26.43,29.67
Unincorporated - North Lancaster,13.52,13.52,14.44,16.75,19.52,23.21,25.28,28.03
Unincorporated - North Whittier,17.41,17.41,19.76,25.62,29.68,35.09,37.56,40.86
Unincorporated - Northeast San Gabriel,18.9,18.9,20.94,26.05,30.23,35.81,39.19,43.69
Unincorporated - Padua Hills,32.03,32.03,33.37,36.72,39.4,42.97,40.89,38.12
Unincorporated - Palmdale,2.21,2.21,2.69,3.9,6.52,10.02,10.53,11.2
Unincorporated - Palos Verdes Peninsula,20.29,20.29,22.74,28.88,32.48,37.29,40.62,45.07
Unincorporated - Pearblossom/Llano,4.42,4.42,5.07,6.69,7.98,9.69,11.03,12.81
Unincorporated - Pellissier Village,13.0,13.0,14.57,18.5,24.17,31.72,34.46,38.11
Unincorporated - Placerita Canyon,4.78,4.78,5.55,7.46,9.12,11.34,11.96,12.78
Unincorporated - Pomona,3.46,3.46,3.81,4.69,5.86,7.42,8.03,8.85
Unincorporated - Quartz Hill,11.22,11.22,12.31,15.04,18.38,22.83,24.31,26.29
Unincorporated - Rancho Dominguez,14.34,14.34,15.9,19.79,23.1,27.51,30.8,35.18
Unincorporated - Roosevelt,6.13,6.13,6.62,7.85,11.39,16.12,18.47,21.6
Unincorporated - Rosewood,9.93,9.93,11.43,15.19,18.44,22.78,24.53,26.86
Unincorporated - Rosewood/East Gardena,13.13,13.13,14.98,19.59,24.38,30.77,33.66,37.51
Unincorporated - Rosewood/West Rancho Dominguez,7.89,7.89,8.78,11.0,13.73,17.38,19.42,22.15
Unincorporated - Rowland Heights,16.62,16.62,18.4,22.85,27.43,33.54,36.79,41.13
Unincorporated - San Francisquito Canyon/Bouquet Canyon,37.23,37.23,39.11,43.8,47.86,53.28,57.12,62.24
Unincorporated - San Jose Hills,10.9,10.9,12.32,15.88,19.86,25.16,27.6,30.86
Unincorporated - San Pasqual,25.55,25.55,28.24,34.95,40.21,47.23,51.24,56.58
Unincorporated - Sand Canyon,23.83,23.83,25.07,28.16,31.72,36.46,39.16,42.76
Unincorporated - Santa Catalina Island,8.91,8.91,9.37,10.53,10.35,10.12,11.29,12.85
Unincorporated - Santa Monica Mountains,18.52,18.52,20.01,23.73,27.28,32.01,35.28,39.63
Unincorporated - Saugus,34.59,34.59,41.03,57.14,71.64,90.98,90.98,
Unincorporated - Saugus/Canyon Country,39.16,39.16,40.45,43.67,46.51,50.3,50.43,50.6
Unincorporated - South Antelope Valley,5.81,5.81,6.99,9.93,12.84,16.71,17.96,19.62
Unincorporated - South El Monte,8.13,8.13,9.86,14.18,18.31,23.81,25.41,27.55
Unincorporated - South San Gabriel,19.88,19.88,22.1,27.66,32.17,38.18,41.69,46.36
