name,pct_week_9,pct_week_10,pct_week_11,pct_week_12,pct_week_13,pct_week_14,pct_week_15
 Redondo Beach,18.67,18.67,25.39,25.39,36.03,36.03,46.2
 Rolling Hills,29.97,29.97,34.32,34.32,40.42,40.42,46.77
 Rolling Hills Estates,31.19,31.19,37.54,37.54,46.74,46.74,55.39
 Rosemead,15.15,15.15,23.03,23.03,34.66,34.66,43.68
 San Dimas,20.75,20.75,26.66,26.66,36.34,36.34,42.21
 San Fernando,11.89,11.89,16.92,16.92,25.95,25.95,32.43
 San Gabriel,17.12,17.12,25.44,25.44,36.5,36.5,45.42
 San Marino,28.37,28.37,35.47,35.47,45.06,45.06,53.29
 Santa Clarita,18.2,18.2,24.8,24.8,33.45,33.45,38.98
 Santa Fe Springs,14.61,14.61,21.1,21.1,32.22,32.22,38.99
 Santa Monica,21.38,21.38,27.81,27.81,37.49,37.49,47.97
 Sierra Madre,27.19,27.19,34.94,34.94,45.69,45.69,53.69
 Signal Hill,19.18,19.18,25.99,25.99,37.17,37.17,43.66
 South El Monte,10.99,10.99,17.34,17.34,27.41,27.41,33.6
 South Gate,10.41,10.41,16.31,16.31,25.93,25.93,32.57
 South Pasadena,23.66,23.66,32.85,32.85,43.79,43.79,52.42
 Temple City,19.23,19.23,27.58,27.58,38.91,38.91,46.77
 Torrance,20.91,20.91,27.44,27.44,36.82,36.82,44.86
 Vernon,25.23,25.23,37.84,37.84,84.68,84.68,
 Walnut,23.03,23.03,29.96,29.96,41.55,41.55,49.63
 West Covina,18.53,18.53,25.45,25.45,36.8,36.8,43.41
 West Hollywood,14.55,14.55,21.29,21.29,33.28,33.28,44.0
 Westlake Village,14.81,14.81,19.39,19.39,24.25,24.25,32.37
 Whittier,15.84,15.84,22.9,22.9,32.91,32.91,39.53
Los Angeles - Adams-Normandie,9.62,9.62,15.29,15.29,24.79,24.79,30.13
Los Angeles - Alsace,8.49,8.49,13.58,13.58,23.55,23.55,29.92
Los Angeles - Angelino Heights,11.32,11.32,16.59,16.59,29.59,29.59,40.92
Los Angeles - Arleta,14.75,14.75,20.22,20.22,29.41,29.41,35.92
Los Angeles - Atwater Village,18.52,18.52,25.7,25.7,37.2,37.2,46.78
Los Angeles - Baldwin Hills,12.38,12.38,17.88,17.88,26.1,26.1,31.22
Los Angeles - Bel Air,34.3,34.3,39.67,39.67,46.66,46.66,52.68
Los Angeles - Beverly Crest,32.56,32.56,38.9,38.9,47.71,47.71,54.03
Los Angeles - Beverlywood,26.2,26.2,34.03,34.03,44.64,44.64,52.0
Los Angeles - Boyle Heights,11.5,11.5,17.28,17.28,25.41,25.41,30.78
Los Angeles - Brentwood,28.12,28.12,34.68,34.68,43.92,43.92,52.49
Los Angeles - Brookside,26.91,26.91,35.67,35.67,53.61,53.61,67.1
Los Angeles - Cadillac-Corning,9.49,9.49,14.4,14.4,23.67,23.67,30.21
Los Angeles - Canoga Park,12.22,12.22,16.58,16.58,24.73,24.73,31.09
Los Angeles - Carthay,24.85,24.85,32.0,32.0,41.97,41.97,50.37
Los Angeles - Central,6.87,6.87,10.69,10.69,17.49,17.49,22.14
Los Angeles - Century City,34.26,34.26,40.71,40.71,50.27,50.27,59.68
Los Angeles - Century Palms/Cove,6.84,6.84,10.46,10.46,16.79,16.79,21.88
Los Angeles - Chatsworth,22.29,22.29,28.5,28.5,38.27,38.27,45.06
Los Angeles - Cheviot Hills,37.08,37.08,45.61,45.61,56.17,56.17,63.66
Los Angeles - Chinatown,10.72,10.72,17.83,17.83,29.32,29.32,36.38
Los Angeles - Cloverdale/Cochran,9.97,9.97,15.63,15.63,24.57,24.57,31.3
Los Angeles - Country Club Park,17.28,17.28,23.59,23.59,33.51,33.51,40.11
Los Angeles - Crenshaw District,13.32,13.32,20.32,20.32,30.41,30.41,36.05
Los Angeles - Crestview,20.7,20.7,27.78,27.78,37.37,37.37,44.8
Los Angeles - Del Rey,16.22,16.22,22.42,22.42,32.06,32.06,41.29
Los Angeles - Downtown,14.05,14.05,20.39,20.39,31.34,31.34,40.82
Los Angeles - Eagle Rock,19.3,19.3,27.22,27.22,37.3,37.3,45.33
Los Angeles - East Hollywood,11.67,11.67,16.28,16.28,24.32,24.32,30.7
Los Angeles - Echo Park,12.06,12.06,18.76,18.76,31.53,31.53,41.02
Los Angeles - El Sereno,15.38,15.38,22.21,22.21,31.82,31.82,38.15
Los Angeles - Elysian Park,18.77,18.77,25.59,25.59,40.12,40.12,47.42
Los Angeles - Elysian Valley,14.8,14.8,22.02,22.02,32.88,32.88,40.96
Los Angeles - Encino,30.77,30.77,37.87,37.87,46.75,46.75,54.11
Los Angeles - Exposition,11.8,11.8,19.05,19.05,30.74,30.74,37.71
Los Angeles - Exposition Park,8.65,8.65,13.54,13.54,22.26,22.26,27.46
Los Angeles - Faircrest Heights,15.37,15.37,22.91,22.91,35.22,35.22,42.53
Los Angeles - Figueroa Park Square,9.12,9.12,13.37,13.37,20.64,20.64,26.35
Los Angeles - Florence-Firestone,6.59,6.59,10.62,10.62,17.73,17.73,22.81
Los Angeles - Glassell Park,17.51,17.51,24.39,24.39,34.61,34.61,42.44
Los Angeles - Gramercy Place,13.6,13.6,19.6,19.6,28.54,28.54,33.01
Los Angeles - Granada Hills,21.12,21.12,27.17,27.17,35.98,35.98,41.92
Los Angeles - Green Meadows,6.82,6.82,10.76,10.76,18.18,18.18,23.61
Los Angeles - Hancock Park,23.43,23.43,31.01,31.01,42.44,42.44,50.51
Los Angeles - Harbor City,15.11,15.11,21.01,21.01,29.63,29.63,35.24
Los Angeles - Harbor Gateway,11.6,11.6,16.16,16.16,23.83,23.83,29.76
Los Angeles - Harbor Pines,16.6,16.6,23.02,23.02,32.94,32.94,39.11
Los Angeles - Harvard Heights,10.25,10.25,14.7,14.7,23.07,23.07,28.46
Los Angeles - Harvard Park,9.18,9.18,14.0,14.0,22.4,22.4,27.73
Los Angeles - Highland Park,14.37,14.37,21.8,21.8,31.27,31.27,39.13
Los Angeles - Historic Filipinotown,13.91,13.91,19.69,19.69,28.52,28.52,35.04
Los Angeles - Hollywood,9.87,9.87,14.68,14.68,23.54,23.54,31.4
Los Angeles - Hollywood Hills,15.62,15.62,21.72,21.72,33.3,33.3,44.11
Los Angeles - Hyde Park,10.74,10.74,15.89,15.89,24.51,24.51,29.59
Los Angeles - Jefferson Park,11.01,11.01,17.61,17.61,28.25,28.25,34.42
Los Angeles - Koreatown,10.23,10.23,14.85,14.85,23.52,23.52,30.39
Los Angeles - Lafayette Square,10.73,10.73,16.75,16.75,25.85,25.85,32.39
Los Angeles - Lake Balboa,13.11,13.11,18.32,18.32,27.48,27.48,34.73
Los Angeles - Lakeview Terrace,14.91,14.91,20.29,20.29,28.85,28.85,34.54
Los Angeles - Leimert Park,12.51,12.51,19.03,19.03,27.51,27.51,33.02
Los Angeles - Lincoln Heights,12.76,12.76,19.09,19.09,28.99,28.99,36.42
Los Angeles - Little Armenia,9.57,9.57,13.44,13.44,20.34,20.34,25.52
Los Angeles - Little Bangladesh,10.72,10.72,15.75,15.75,25.37,25.37,32.67
Los Angeles - Little Tokyo,25.66,25.66,32.41,32.41,48.26,48.26,59.32
Los Angeles - Longwood,13.3,13.3,18.39,18.39,27.17,27.17,33.47
Los Angeles - Los Feliz,16.11,16.11,23.16,23.16,35.85,35.85,46.6
Los Angeles - Manchester Square,11.18,11.18,16.9,16.9,24.61,24.61,28.9
Los Angeles - Mandeville Canyon,35.04,35.04,42.33,42.33,51.98,51.98,60.56
Los Angeles - Mar Vista,19.0,19.0,25.63,25.63,35.75,35.75,45.72
Los Angeles - Marina Peninsula,24.73,24.73,29.56,29.56,40.27,40.27,50.85
Los Angeles - Melrose,13.91,13.91,19.83,19.83,30.04,30.04,37.89
Los Angeles - Mid-city,14.29,14.29,21.38,21.38,32.69,32.69,41.05
Los Angeles - Miracle Mile,15.39,15.39,21.82,21.82,32.64,32.64,42.02
Los Angeles - Mission Hills,16.7,16.7,22.28,22.28,31.51,31.51,37.64
Los Angeles - Mt. Washington,15.92,15.92,23.26,23.26,33.16,33.16,40.97
Los Angeles - North Hills,14.55,14.55,19.19,19.19,27.08,27.08,32.46
Los Angeles - North Hollywood,10.13,10.13,14.83,14.83,22.92,22.92,29.9
Los Angeles - Northridge,18.05,18.05,23.58,23.58,32.11,32.11,38.07
Los Angeles - Pacific Palisades,30.4,30.4,37.43,37.43,47.84,47.84,56.17
Los Angeles - Pacoima,11.18,11.18,15.3,15.3,22.61,22.61,28.44
Los Angeles - Palisades Highlands,31.18,31.18,38.31,38.31,46.89,46.89,54.76
Los Angeles - Palms,13.89,13.89,20.36,20.36,30.13,30.13,40.16
Los Angeles - Panorama City,13.24,13.24,17.57,17.57,24.58,24.58,30.15
Los Angeles - Park La Brea,11.76,11.76,15.78,15.78,24.63,24.63,32.64
Los Angeles - Pico-Union,11.07,11.07,15.57,15.57,22.79,22.79,27.43
Los Angeles - Playa Del Rey,19.28,19.28,24.52,24.52,33.88,33.88,44.83
Los Angeles - Playa Vista,23.88,23.88,30.34,30.34,42.76,42.76,55.74
Los Angeles - Porter Ranch,27.41,27.41,34.74,34.74,44.36,44.36,51.24
Los Angeles - Rancho Park,29.75,29.75,38.57,38.57,52.2,52.2,62.71
Los Angeles - Regent Square,13.29,13.29,20.37,20.37,29.45,29.45,38.63
Los Angeles - Reseda,17.36,17.36,23.16,23.16,32.12,32.12,39.07
Los Angeles - Reseda Ranch,14.65,14.65,20.09,20.09,30.0,30.0,36.36
Los Angeles - Reynier Village,16.32,16.32,24.53,24.53,36.26,36.26,45.61
Los Angeles - San Pedro,14.65,14.65,20.03,20.03,28.34,28.34,33.58
Los Angeles - Shadow Hills,16.46,16.46,21.79,21.79,29.64,29.64,36.44
Los Angeles - Sherman Oaks,19.95,19.95,26.61,26.61,37.23,37.23,46.56
Los Angeles - Silverlake,15.91,15.91,23.22,23.22,35.39,35.39,46.31
Los Angeles - South Carthay,20.78,20.78,27.33,27.33,37.46,37.46,45.11
Los Angeles - South Park,6.77,6.77,10.51,10.51,17.55,17.55,22.28
Los Angeles - St Elmo Village,10.39,10.39,14.89,14.89,21.61,21.61,27.05
Los Angeles - Studio City,20.15,20.15,26.87,26.87,38.2,38.2,48.82
Los Angeles - Sun Valley,12.93,12.93,17.76,17.76,25.81,25.81,32.09
Los Angeles - Sunland,16.92,16.92,21.58,21.58,28.61,28.61,34.21
Los Angeles - Sycamore Square,11.07,11.07,17.06,17.06,29.4,29.4,38.85
Los Angeles - Sylmar,14.24,14.24,19.62,19.62,28.52,28.52,34.76
Los Angeles - Tarzana,26.13,26.13,32.08,32.08,40.62,40.62,47.64
Los Angeles - Temple-Beaudry,10.49,10.49,15.51,15.51,23.91,23.91,30.29
Los Angeles - Thai Town,7.21,7.21,11.81,11.81,20.6,20.6,27.97
Los Angeles - Toluca Lake,15.41,15.41,21.49,21.49,32.95,32.95,42.82
Los Angeles - Toluca Terrace,19.24,19.24,24.67,24.67,35.62,35.62,43.02
Los Angeles - Toluca Woods,17.73,17.73,24.39,24.39,35.08,35.08,47.52
Los Angeles - Tujunga,15.77,15.77,19.97,19.97,27.07,27.07,32.52
Los Angeles - University Hills,11.49,11.49,17.03,17.03,24.41,24.41,29.7
Los Angeles - University Park,6.46,6.46,10.62,10.62,20.04,20.04,25.15
Los Angeles - Valley Glen,12.21,12.21,16.69,16.69,24.46,24.46,30.85
Los Angeles - Valley Village,16.22,16.22,22.14,22.14,32.27,32.27,40.67
Los Angeles - Van Nuys,10.57,10.57,14.58,14.58,21.74,21.74,27.54
Los Angeles - Venice,14.55,14.55,20.42,20.42,31.14,31.14,42.27
Los Angeles - Vermont Knolls,8.57,8.57,13.07,13.07,20.4,20.4,25.04
Los Angeles - Vermont Square,9.88,9.88,15.91,15.91,25.63,25.63,30.85
Los Angeles - Vermont Vista,6.23,6.23,9.64,9.64,15.85,15.85,20.7
Los Angeles - Vernon Central,6.52,6.52,10.35,10.35,17.49,17.49,22.51
Los Angeles - Victoria Park,10.36,10.36,15.57,15.57,24.95,24.95,31.31
Los Angeles - View Heights,14.91,14.91,22.38,22.38,31.76,31.76,36.58
Los Angeles - Watts,7.28,7.28,10.57,10.57,16.82,16.82,21.42
Los Angeles - Wellington Square,11.76,11.76,18.59,18.59,27.68,27.68,33.13
Los Angeles - West Adams,13.75,13.75,19.7,19.7,28.95,28.95,34.07
Los Angeles - West Hills,23.47,23.47,30.68,30.68,40.78,40.78,48.41
Los Angeles - West Los Angeles,18.62,18.62,24.51,24.51,34.24,34.24,44.0
Los Angeles - West Vernon,8.82,8.82,13.61,13.61,21.83,21.83,26.8
Los Angeles - Westchester,16.83,16.83,23.46,23.46,33.55,33.55,43.07
Los Angeles - Westlake,8.97,8.97,12.39,12.39,18.29,18.29,22.88
Los Angeles - Westwood,19.74,19.74,24.21,24.21,30.51,30.51,35.76
Los Angeles - Wholesale District,13.4,13.4,18.6,18.6,29.46,29.46,37.91
Los Angeles - Wilmington,9.62,9.62,13.75,13.75,21.52,21.52,26.47
Los Angeles - Wilshire Center,11.86,11.86,16.97,16.97,25.75,25.75,32.93
Los Angeles - Winnetka,15.94,15.94,21.85,21.85,31.37,31.37,38.15
Los Angeles - Woodland Hills,23.2,23.2,29.96,29.96,39.42,39.42,47.81
Unincorporated - Acton,10.29,10.29,14.23,14.23,19.96,19.96,23.73
Unincorporated - Agua Dulce,12.8,12.8,17.05,17.05,22.37,22.37,25.64
Unincorporated - Altadena,21.57,21.57,29.43,29.43,39.55,39.55,46.74
Unincorporated - Anaverde,11.71,11.71,15.51,15.51,22.37,22.37,26.6
Unincorporated - Angeles National Forest,6.05,6.05,8.09,8.09,21.3,21.3,27.01
Unincorporated - Arcadia,21.42,21.42,29.67,29.67,40.99,40.99,47.55
Unincorporated - Athens Village,13.78,13.78,18.03,18.03,27.18,27.18,32.56
Unincorporated - Athens-Westmont,8.42,8.42,12.39,12.39,19.65,19.65,24.14
Unincorporated - Avocado Heights,11.01,11.01,16.13,16.13,25.6,25.6,31.45
Unincorporated - Azusa,11.71,11.71,16.03,16.03,26.09,26.09,32.12
Unincorporated - Bassett,14.21,14.21,20.48,20.48,31.65,31.65,37.54
Unincorporated - Bouquet Canyon,10.77,10.77,14.85,14.85,19.95,19.95,25.19
Unincorporated - Bradbury,91.79,91.79,93.57,93.57,93.57,93.57,
Unincorporated - Canyon Country,13.27,13.27,18.07,18.07,25.1,25.1,28.83
Unincorporated - Castaic,11.51,11.51,16.26,16.26,24.06,24.06,28.23
Unincorporated - Cerritos,20.44,20.44,26.22,26.22,34.44,34.44,41.83
Unincorporated - Charter Oak,,,,,31.58,31.58,36.84
Unincorporated - Claremont,15.11,15.11,20.52,20.52,27.61,27.61,32.75
Unincorporated - Covina,15.11,15.11,21.66,21.66,32.88,32.88,38.99
Unincorporated - Covina (Charter Oak),14.41,14.41,19.8,19.8,29.66,29.66,35.44
Unincorporated - Del Aire,13.92,13.92,21.86,21.86,32.86,32.86,40.75
Unincorporated - Del Rey,15.11,15.11,22.53,22.53,33.24,33.24,44.77
Unincorporated - Del Sur,7.51,7.51,12.08,12.08,18.53,18.53,23.2
Unincorporated - Desert View Highlands,9.47,9.47,11.94,11.94,19.81,19.81,24.08
Unincorporated - Duarte,13.18,13.18,18.79,18.79,28.51,28.51,34.83
Unincorporated - East Covina,22.95,22.95,27.54,27.54,37.38,37.38,45.66
Unincorporated - East La Mirada,15.43,15.43,22.48,22.48,32.65,32.65,39.03
Unincorporated - East Lancaster,,,8.89,8.89,15.56,15.56,22.34
Unincorporated - East Los Angeles,11.37,11.37,17.83,17.83,26.46,26.46,32.28
Unincorporated - East Pasadena,23.65,23.65,31.31,31.31,41.59,41.59,49.22
Unincorporated - East Rancho Dominguez,7.77,7.77,12.32,12.32,19.95,19.95,24.88
Unincorporated - East Whittier,13.38,13.38,18.95,18.95,27.61,27.61,32.91
Unincorporated - El Camino Village,19.38,19.38,25.21,25.21,33.8,33.8,40.21
Unincorporated - El Monte,8.16,8.16,12.24,12.24,22.45,22.45,27.18
Unincorporated - Elizabeth Lake,5.18,5.18,7.94,7.94,13.33,13.33,16.62
Unincorporated - Florence-Firestone,6.76,6.76,10.87,10.87,20.01,20.01,25.36
Unincorporated - Glendora,17.47,17.47,24.22,24.22,32.87,32.87,36.72
Unincorporated - Hacienda Heights,17.51,17.51,24.19,24.19,35.71,35.71,42.69
Unincorporated - Hawthorne,10.02,10.02,16.06,16.06,26.08,26.08,33.01
Unincorporated - Hi Vista,5.28,5.28,7.04,7.04,15.49,15.49,20.02
Unincorporated - Kagel/Lopez Canyons,8.89,8.89,12.02,12.02,19.39,19.39,26.85
Unincorporated - La Crescenta-Montrose,20.2,20.2,26.88,26.88,36.47,36.47,45.16
Unincorporated - La Habra Heights,7.23,7.23,11.76,11.76,17.31,17.31,21.45
Unincorporated - La Rambla,13.57,13.57,19.17,19.17,25.81,25.81,32.78
Unincorporated - La Verne,23.21,23.21,30.2,30.2,38.0,38.0,42.72
Unincorporated - Ladera Heights,25.83,25.83,33.49,33.49,42.54,42.54,47.48
Unincorporated - Lake Hughes,5.21,5.21,6.21,6.21,10.02,10.02,12.74
Unincorporated - Lake Los Angeles,5.86,5.86,9.08,9.08,15.72,15.72,19.11
Unincorporated - Lake Manor,12.83,12.83,19.06,19.06,27.97,27.97,35.09
Unincorporated - Lakewood,18.27,18.27,22.12,22.12,27.88,27.88,28.44
Unincorporated - Lennox,7.29,7.29,12.06,12.06,21.11,21.11,27.16
Unincorporated - Leona Valley,10.08,10.08,12.8,12.8,18.1,18.1,21.09
Unincorporated - Littlerock,5.7,5.7,8.45,8.45,14.62,14.62,19.44
Unincorporated - Littlerock/Juniper Hills,11.9,11.9,16.45,16.45,23.8,23.8,27.55
Unincorporated - Littlerock/Pearblossom,5.59,5.59,8.81,8.81,16.25,16.25,21.74
Unincorporated - Llano,5.99,5.99,8.45,8.45,14.85,14.85,18.96
Unincorporated - Long Beach,24.0,24.0,30.27,30.27,40.76,40.76,46.28
Unincorporated - Marina del Rey,16.28,16.28,21.41,21.41,31.92,31.92,44.08
Unincorporated - Monrovia,18.69,18.69,25.86,25.86,34.7,34.7,39.68
Unincorporated - Newhall,9.71,9.71,16.0,16.0,24.0,24.0,29.67
Unincorporated - North Lancaster,13.52,13.52,16.75,16.75,23.21,23.21,28.03
Unincorporated - North Whittier,17.41,17.41,25.62,25.62,35.09,35.09,40.86
Unincorporated - Northeast San Gabriel,18.9,18.9,26.05,26.05,35.81,35.81,43.69
Unincorporated - Padua Hills,32.03,32.03,36.72,36.72,42.97,42.97,38.12
Unincorporated - Palmdale,2.21,2.21,3.9,3.9,10.02,10.02,11.2
Unincorporated - Palos Verdes Peninsula,20.29,20.29,28.88,28.88,37.29,37.29,45.07
Unincorporated - Pearblossom/Llano,4.42,4.42,6.69,6.69,9.69,9.69,12.81
Unincorporated - Pellissier Village,13.0,13.0,18.5,18.5,31.72,31.72,38.11
Unincorporated - Placerita Canyon,4.78,4.78,7.46,7.46,11.34,11.34,12.78
Unincorporated - Pomona,3.46,3.46,4.69,4.69,7.42,7.42,8.85
Unincorporated - Quartz Hill,11.22,11.22,15.04,15.04,22.83,22.83,26.29
Unincorporated - Rancho Dominguez,14.34,14.34,19.79,19.79,27.51,27.51,35.18
Unincorporated - Roosevelt,6.13,6.13,7.85,7.85,16.12,16.12,21.6
Unincorporated - Rosewood,9.93,9.93,15.19,15.19,22.78,22.78,26.86
Unincorporated - Rosewood/East Gardena,13.13,13.13,19.59,19.59,30.77,30.77,37.51
Unincorporated - Rosewood/West Rancho Dominguez,7.89,7.89,11.0,11.0,17.38,17.38,22.15
Unincorporated - Rowland Heights,16.62,16.62,22.85,22.85,33.54,33.54,41.13
Unincorporated - San Francisquito Canyon/Bouquet Canyon,37.23,37.23,43.8,43.8,53.28,53.28,62.24
Unincorporated - San Jose Hills,10.9,10.9,15.88,15.88,25.16,25.16,30.86
Unincorporated - San Pasqual,25.55,25.55,34.95,34.95,47.23,47.23,56.58
Unincorporated - Sand Canyon,23.83,23.83,28.16,28.16,36.46,36.46,42.76
Unincorporated - Santa Catalina Island,8.91,8.91,10.53,10.53,10.12,10.12,12.85
Unincorporated - Santa Monica Mountains,18.52,18.52,23.73,23.73,32.01,32.01,39.63
Unincorporated - Saugus,34.59,34.59,57.14,57.14,90.98,90.98,
Unincorporated - Saugus/Canyon Country,39.16,39.16,43.67,43.67,50.3,50.3,50.6
Unincorporated - South Antelope Valley,5.81,5.81,9.93,9.93,16.71,16.71,19.62
Unincorporated - South El Monte,8.13,8.13,14.18,14.18,23.81,23.81,27.55
Unincorporated - South San Gabriel,19.88,19.88,27.66,27.66,38.18,38.18,46.36
Unincorporated - South Whittier,11.93,11.93,17.3,17.3,26.5,26.5,32.48
Unincorporated - Southeast Antelope Valley,7.33,7.33,10.26,10.26,17.75,17.75,23.06
Unincorporated - Stevenson Ranch,18.29,18.29,24.15,24.15,33.84,33.84,40.84
Unincorporated - Sun Village,6.23,6.23,9.77,9.77,17.7,17.7,22.93
Unincorporated - Sunrise Village,16.54,16.54,22.7,22.7,31.6,31.6,37.68
Unincorporated - Twin Lakes/Oat Mountain,17.4,17.4,23.94,23.94,33.55,33.55,39.81
Unincorporated - Universal City,,,,,inf,inf,
Unincorporated - Val Verde,10.35,10.35,14.93,14.93,23.06,23.06,26.47
Unincorporated - Valencia,19.84,19.84,27.74,27.74,39.32,39.32,47.96
Unincorporated - Valinda,13.64,13.64,19.42,19.42,30.11,30.11,35.58
Unincorporated - View Park/Windsor Hills,19.4,19.4,28.33,28.33,38.37,38.37,42.92
Unincorporated - Walnut Park,11.29,11.29,17.23,17.23,26.17,26.17,32.53
Unincorporated - West Antelope Valley,7.44,7.44,9.79,9.79,13.73,13.73,17.28
Unincorporated - West Carson,21.73,21.73,28.35,28.35,37.32,37.32,44.59
Unincorporated - West LA,10.14,10.14,14.63,14.63,16.24,16.24,16.15
Unincorporated - West Puente Valley,13.23,13.23,18.97,18.97,29.91,29.91,36.35
Unincorporated - West Rancho Dominguez,10.51,10.51,15.06,15.06,22.63,22.63,26.84
Unincorporated - West Whittier/Los Nietos,13.8,13.8,20.98,20.98,30.82,30.82,37.27
Unincorporated - Westfield/Academy Hills,31.4,31.4,39.43,39.43,49.51,49.51,58.41
Unincorporated - Westhills,25.97,25.97,32.89,32.89,41.54,41.54,47.53
Unincorporated - White Fence Farms,11.25,11.25,15.56,15.56,22.71,22.71,27.41
Unincorporated - Whittier,23.45,23.45,32.84,32.84,42.38,42.38,48.04
Unincorporated - Whittier Narrows,,,50.0,50.0,,,
Unincorporated - Willowbrook,8.06,8.06,12.31,12.31,19.47,19.47,24.86
Unincorporated - Wiseburn,15.59,15.59,23.28,23.28,33.68,33.68,42.57
