area,population,week_8,week_9,week_10,week_11,week_12,week_13,week_14,change_week8_to_14
City of Hidden Hills,1685.0,,,,,,,45.34,
City of Huntington Park,43564.0,27.63,64.47,73.73,96.88,121.51,154.35,88.2,219.0
City of Huntington Park,45409.0,,,,,,,28.2,
City of Industry,385.0,212.73,496.37,540.53,650.93,371.96,,,
City of Inglewood,86385.0,33.66,78.54,89.46,116.76,142.83,177.59,101.48,201.0
City of Inglewood,89367.0,,,,,,,30.76,
City of Irwindale,1212.0,44.07,102.83,115.53,147.28,196.78,262.78,150.16,241.0
City of Irwindale,1243.0,,,,,,,45.94,
City of La Canada Flintridge,17805.0,84.75,197.75,211.15,244.65,272.28,309.12,176.64,108.0
City of La Canada Flintridge,18368.0,,,,,,,52.74,
City of La Habra Heights,4779.0,32.07,74.83,83.41,104.86,119.11,138.11,78.92,146.0
City of La Habra Heights,4904.0,,,,,,,24.12,
City of La Mirada,40803.0,52.2,121.8,133.72,163.52,192.38,230.86,131.92,153.0
City of La Mirada,41920.0,,,,,,,39.75,
City of La Puente,31049.0,34.41,80.29,90.55,116.2,147.25,188.65,107.8,213.0
City of La Puente,32241.0,,,,,,,32.86,
City of La Verne,27927.0,62.82,146.58,159.3,191.1,218.31,254.59,145.48,132.0
City of La Verne,28739.0,,,,,,,41.89,
City of Lakewood,64711.0,53.82,125.58,138.1,169.4,199.67,240.03,137.16,155.0
City of Lakewood,66714.0,,,,,,,40.85,
City of Lancaster,120142.0,29.55,68.95,76.39,94.99,118.3,149.38,85.36,189.0
City of Lancaster,125124.0,,,,,,,26.07,
City of Lawndale,25528.0,29.82,69.58,80.02,106.12,134.41,172.13,98.36,230.0
City of Lawndale,26413.0,,,,,,,31.21,
City of Lomita,16469.0,49.98,116.62,129.18,160.58,188.21,225.05,128.6,157.0
City of Lomita,16936.0,,,,,,,38.15,
City of Long Beach,369335.0,49.47,115.43,126.61,154.56,186.03,227.99,130.28,163.0
City of Long Beach,380767.0,,,,,,,38.02,
City of Lynwood,51504.0,29.52,68.88,78.28,101.78,128.54,164.22,93.84,218.0
City of Lynwood,53781.0,,,,,,,30.62,
City of Malibu,10697.0,56.34,131.46,141.2,165.55,188.77,219.73,125.56,123.0
City of Malibu,11005.0,,,,,,,38.38,
City of Manhattan Beach,28733.0,72.66,169.54,182.18,213.78,247.68,292.88,167.36,130.0
City of Manhattan Beach,29889.0,,,,,,,51.79,
City of Maywood,20131.0,27.06,63.14,72.5,95.9,122.18,157.22,89.84,232.0
City of Maywood,21041.0,,,,,,,28.99,
City of Monrovia,30249.0,54.24,126.56,140.14,174.09,204.21,244.37,139.64,157.0
City of Monrovia,31151.0,,,,,,,42.33,
City of Montebello,49946.0,44.58,104.02,118.08,153.23,180.89,217.77,124.44,179.0
City of Montebello,51676.0,,,,,,,37.03,
City of Monterey Park,51545.0,59.7,139.3,155.9,197.4,230.76,275.24,157.28,163.0
City of Monterey Park,52776.0,,,,,,,47.17,
City of Norwalk,82126.0,42.51,99.19,111.01,140.56,169.42,207.9,118.8,179.0
City of Norwalk,85167.0,,,,,,,35.92,
City of Palmdale,117298.0,28.47,66.43,74.83,95.83,124.15,161.91,92.52,225.0
City of Palmdale,122212.0,,,,,,,28.72,
City of Palos Verdes Estates,11696.0,87.54,204.26,215.8,244.65,270.39,304.71,174.12,99.0
City of Palos Verdes Estates,12076.0,,,,,,,51.26,
City of Paramount,40656.0,29.46,68.74,78.44,102.69,126.06,157.22,89.84,205.0
City of Paramount,42380.0,,,,,,,27.78,
City of Pasadena,117771.0,66.48,155.12,169.94,206.99,239.78,283.5,162.0,144.0
City of Pasadena,120740.0,,,,,,,47.65,
City of Pico Rivera,49558.0,46.17,107.73,121.65,156.45,188.46,231.14,132.08,186.0
City of Pico Rivera,51374.0,,,,,,,39.29,
City of Pomona,115688.0,35.52,82.88,92.06,115.01,138.83,170.59,97.48,174.0
City of Pomona,120081.0,,,,,,,27.43,
City of Rancho Palos Verdes,36530.0,83.46,194.74,207.46,239.26,264.7,298.62,170.64,104.0
City of Rancho Palos Verdes,37678.0,,,,,,,50.23,
City of Redondo Beach,54241.0,56.01,130.69,144.13,177.73,209.65,252.21,144.12,157.0
City of Redondo Beach,55629.0,,,,,,,46.2,
City of Rolling Hills,1722.0,89.91,209.79,218.49,240.24,258.54,282.94,161.68,80.0
City of Rolling Hills,1766.0,,,,,,,46.77,
City of Rolling Hills Estates,7093.0,93.57,218.33,231.03,262.78,290.38,327.18,186.96,100.0
City of Rolling Hills Estates,7346.0,,,,,,,55.39,
City of Rosemead,44628.0,45.45,106.05,121.81,161.21,196.1,242.62,138.64,205.0
City of Rosemead,45986.0,,,,,,,43.68,
City of San Dimas,29065.0,62.25,145.25,157.07,186.62,215.66,254.38,145.36,134.0
City of San Dimas,29867.0,,,,,,,42.21,
City of San Fernando,18698.0,35.67,83.23,93.29,118.44,145.53,181.65,103.8,191.0
City of San Fernando,19438.0,,,,,,,32.43,
City of San Gabriel,33721.0,51.36,119.84,136.48,178.08,211.26,255.5,146.0,184.0
City of San Gabriel,34577.0,,,,,,,45.42,
City of San Marino,11148.0,85.11,198.59,212.79,248.29,277.06,315.42,180.24,112.0
City of San Marino,11597.0,,,,,,,53.29,
City of Santa Clarita,170660.0,54.6,127.4,140.6,173.6,199.55,234.15,133.8,145.0
City of Santa Clarita,176831.0,,,,,,,38.98,
City of Santa Fe Springs,14475.0,43.83,102.27,115.25,147.7,181.06,225.54,128.88,194.0
City of Santa Fe Springs,14943.0,,,,,,,38.99,
City of Santa Monica,80251.0,64.14,149.66,162.52,194.67,223.71,262.43,149.96,134.0
City of Santa Monica,81541.0,,,,,,,47.97,
City of Sierra Madre,9255.0,81.57,190.33,205.83,244.58,276.83,319.83,182.76,124.0
City of Sierra Madre,9509.0,,,,,,,53.69,
City of Signal Hill,9046.0,57.54,134.26,147.88,181.93,215.47,260.19,148.68,158.0
City of Signal Hill,9305.0,,,,,,,43.66,
City of South El Monte,15858.0,32.97,76.93,89.63,121.38,151.59,191.87,109.64,233.0
City of South El Monte,16486.0,,,,,,,33.6,
City of South Gate,71455.0,31.23,72.87,84.67,114.17,143.03,181.51,103.72,232.0
City of South Gate,74389.0,,,,,,,32.57,
City of South Pasadena,21506.0,70.98,165.62,184.0,229.95,262.77,306.53,175.16,147.0
City of South Pasadena,22155.0,,,,,,,52.42,
City of Temple City,30661.0,57.69,134.61,151.31,193.06,227.05,272.37,155.64,170.0
City of Temple City,31528.0,,,,,,,46.77,
City of Torrance,121277.0,62.73,146.37,159.43,192.08,220.22,257.74,147.28,135.0
City of Torrance,124794.0,,,,,,,44.86,
City of Vernon,222.0,75.69,176.61,201.83,264.88,405.4,592.76,338.72,348.0
City of Walnut,26458.0,69.09,161.21,175.07,209.72,244.49,290.85,166.2,141.0
City of Walnut,27126.0,,,,,,,49.63,
City of West Covina,86215.0,55.59,129.71,143.55,178.15,212.2,257.6,147.2,165.0
City of West Covina,88873.0,,,,,,,43.41,
City of West Hollywood,34195.0,43.65,101.85,115.33,149.03,185.0,232.96,133.12,205.0
City of West Hollywood,34326.0,,,,,,,44.0,
City of Westlake Village,7234.0,44.43,103.67,112.83,135.73,150.31,169.75,97.0,118.0
City of Westlake Village,7436.0,,,,,,,32.37,
City of Whittier,68364.0,47.52,110.88,125.0,160.3,190.33,230.37,131.64,177.0
City of Whittier,70656.0,,,,,,,39.53,
Los Angeles - Adams-Normandie,6300.0,28.86,67.34,78.68,107.03,135.53,173.53,99.16,244.0
Los Angeles - Adams-Normandie,6511.0,,,,,,,30.13,
Los Angeles - Alsace,9200.0,25.47,59.43,69.61,95.06,124.97,164.85,94.2,270.0
Los Angeles - Alsace,9551.0,,,,,,,29.92,
Los Angeles - Angelino Heights,2031.0,33.96,79.24,89.78,116.13,155.13,207.13,118.36,249.0
Los Angeles - Angelino Heights,2077.0,,,,,,,40.92,
Los Angeles - Arleta,26334.0,44.25,103.25,114.19,141.54,169.11,205.87,117.64,166.0
Los Angeles - Arleta,27206.0,,,,,,,35.92,
Los Angeles - Atwater Village,12520.0,55.56,129.64,144.0,179.9,214.4,260.4,148.8,168.0
Los Angeles - Atwater Village,12795.0,,,,,,,46.78,
Los Angeles - Baldwin Hills,23952.0,37.14,86.66,97.66,125.16,149.82,182.7,104.4,181.0
Los Angeles - Baldwin Hills,24686.0,,,,,,,31.22,
Los Angeles - Bel Air,6968.0,102.9,240.1,250.84,277.69,298.66,326.62,186.64,81.0
Los Angeles - Bel Air,7164.0,,,,,,,52.68,
Los Angeles - Beverly Crest,9960.0,97.68,227.92,240.6,272.3,298.73,333.97,190.84,95.0
Los Angeles - Beverly Crest,10273.0,,,,,,,54.03,
Los Angeles - Beverlywood,9756.0,78.6,183.4,199.06,238.21,270.04,312.48,178.56,127.0
Los Angeles - Beverlywood,10108.0,,,,,,,52.0,
Los Angeles - Boyle Heights,62635.0,34.5,80.5,92.06,120.96,145.35,177.87,101.64,195.0
Los Angeles - Boyle Heights,65483.0,,,,,,,30.78,
Los Angeles - Brentwood,25799.0,84.36,196.84,209.96,242.76,270.48,307.44,175.68,108.0
Los Angeles - Brentwood,26320.0,,,,,,,52.49,
Los Angeles - Brookside,457.0,80.73,188.37,205.89,249.69,303.51,375.27,214.44,166.0
Los Angeles - Brookside,462.0,,,,,,,67.1,
Los Angeles - Cadillac-Corning,5425.0,28.47,66.43,76.25,100.8,128.61,165.69,94.68,233.0
Los Angeles - Cadillac-Corning,5638.0,,,,,,,30.21,
Los Angeles - Canoga Park,49538.0,36.66,85.54,94.26,116.06,140.51,173.11,98.92,170.0
Los Angeles - Canoga Park,51304.0,,,,,,,31.09,
Los Angeles - Carthay,12341.0,74.55,173.95,188.25,224.0,253.91,293.79,167.88,125.0
Los Angeles - Carthay,12443.0,,,,,,,50.37,
Los Angeles - Central,27297.0,20.61,48.09,55.73,74.83,95.23,122.43,69.96,239.0
Los Angeles - Central,28582.0,,,,,,,22.14,
Los Angeles - Century City,10382.0,102.78,239.82,252.72,284.97,313.65,351.89,201.08,96.0
Los Angeles - Century City,10589.0,,,,,,,59.68,
Los Angeles - Century Palms/Cove,23682.0,20.52,47.88,55.12,73.22,92.21,117.53,67.16,227.0
Los Angeles - Century Palms/Cove,24721.0,,,,,,,21.88,
Los Angeles - Chatsworth,31125.0,66.87,156.03,168.45,199.5,228.81,267.89,153.08,129.0
Los Angeles - Chatsworth,31934.0,,,,,,,45.06,
Los Angeles - Cheviot Hills,7134.0,111.24,259.56,276.62,319.27,350.95,393.19,224.68,102.0
Los Angeles - Cheviot Hills,7395.0,,,,,,,63.66,
Los Angeles - Chinatown,7292.0,32.16,75.04,89.26,124.81,159.28,205.24,117.28,265.0
Los Angeles - Chinatown,7441.0,,,,,,,36.38,
Los Angeles - Cloverdale/Cochran,11269.0,29.91,69.79,81.11,109.41,136.23,171.99,98.28,229.0
Los Angeles - Cloverdale/Cochran,11658.0,,,,,,,31.3,
Los Angeles - Country Club Park,12311.0,51.84,120.96,133.58,165.13,194.89,234.57,134.04,159.0
Los Angeles - Country Club Park,12607.0,,,,,,,40.11,
Los Angeles - Crenshaw District,10847.0,39.96,93.24,107.24,142.24,172.51,212.87,121.64,204.0
Los Angeles - Crenshaw District,11229.0,,,,,,,36.05,
Los Angeles - Crestview,8801.0,62.1,144.9,159.06,194.46,223.23,261.59,149.48,141.0
Los Angeles - Crestview,9029.0,,,,,,,44.8,
Los Angeles - Del Rey,24080.0,48.66,113.54,125.94,156.94,185.86,224.42,128.24,164.0
Los Angeles - Del Rey,24687.0,,,,,,,41.29,
Los Angeles - Downtown,32035.0,42.15,98.35,111.03,142.73,175.58,219.38,125.36,197.0
Los Angeles - Downtown,32266.0,,,,,,,40.82,
Los Angeles - Eagle Rock,32330.0,57.9,135.1,150.94,190.54,220.78,261.1,149.2,158.0
Los Angeles - Eagle Rock,33174.0,,,,,,,45.33,
Los Angeles - East Hollywood,23676.0,35.01,81.69,90.91,113.96,138.08,170.24,97.28,178.0
Los Angeles - East Hollywood,24278.0,,,,,,,30.7,
Los Angeles - Echo Park,11936.0,36.18,84.42,97.82,131.32,169.63,220.71,126.12,249.0
Los Angeles - Echo Park,12147.0,,,,,,,41.02,
Los Angeles - El Sereno,32207.0,46.14,107.66,121.32,155.47,184.3,222.74,127.28,176.0
Los Angeles - El Sereno,33277.0,,,,,,,38.15,
Los Angeles - Elysian Park,4748.0,56.31,131.39,145.03,179.13,222.72,280.84,160.48,185.0
Los Angeles - Elysian Park,4838.0,,,,,,,47.42,
Los Angeles - Elysian Valley,8038.0,44.4,103.6,118.04,154.14,186.72,230.16,131.52,196.0
Los Angeles - Elysian Valley,8249.0,,,,,,,40.96,
Los Angeles - Encino,36474.0,92.31,215.39,229.59,265.09,291.73,327.25,187.0,103.0
Los Angeles - Encino,37408.0,,,,,,,54.11,
Los Angeles - Exposition,2593.0,35.4,82.6,97.1,133.35,168.42,215.18,122.96,247.0
Los Angeles - Exposition,2673.0,,,,,,,37.71,
Los Angeles - Exposition Park,35075.0,25.95,60.55,70.33,94.78,120.94,155.82,89.04,243.0
Los Angeles - Exposition Park,36171.0,,,,,,,27.46,
Los Angeles - Faircrest Heights,2876.0,46.11,107.59,122.67,160.37,197.3,246.54,140.88,206.0
Los Angeles - Faircrest Heights,2972.0,,,,,,,42.53,
Los Angeles - Figueroa Park Square,6545.0,27.36,63.84,72.34,93.59,115.4,144.48,82.56,202.0
Los Angeles - Figueroa Park Square,6785.0,,,,,,,26.35,
Los Angeles - Florence-Firestone,32670.0,19.77,46.13,54.19,74.34,95.67,124.11,70.92,259.0
Los Angeles - Florence-Firestone,34230.0,,,,,,,22.81,
Los Angeles - Glassell Park,24832.0,52.53,122.57,136.33,170.73,201.39,242.27,138.44,164.0
Los Angeles - Glassell Park,25558.0,,,,,,,42.44,
Los Angeles - Gramercy Place,8657.0,40.8,95.2,107.2,137.2,164.02,199.78,114.16,180.0
Los Angeles - Gramercy Place,8956.0,,,,,,,33.01,
Los Angeles - Granada Hills,47949.0,63.36,147.84,159.94,190.19,216.62,251.86,143.92,127.0
Los Angeles - Granada Hills,49282.0,,,,,,,41.92,
Los Angeles - Green Meadows,14809.0,20.46,47.74,55.62,75.32,97.58,127.26,72.72,255.0
Los Angeles - Green Meadows,15495.0,,,,,,,23.61,
Los Angeles - Hancock Park,13402.0,70.29,164.01,179.17,217.07,251.36,297.08,169.76,142.0
Los Angeles - Hancock Park,13895.0,,,,,,,50.51,
Los Angeles - Harbor City,22449.0,45.33,105.77,117.57,147.07,172.93,207.41,118.52,161.0
Los Angeles - Harbor City,23143.0,,,,,,,35.24,
Los Angeles - Harbor Gateway,32717.0,34.8,81.2,90.32,113.12,136.13,166.81,95.32,174.0
Los Angeles - Harbor Gateway,33924.0,,,,,,,29.76,
Los Angeles - Harbor Pines,1885.0,49.8,116.2,129.04,161.14,190.9,230.58,131.76,165.0
Los Angeles - Harbor Pines,1943.0,,,,,,,39.11,
Los Angeles - Harvard Heights,13648.0,30.75,71.75,80.65,102.9,128.01,161.49,92.28,200.0
Los Angeles - Harvard Heights,14093.0,,,,,,,28.46,
Los Angeles - Harvard Park,27989.0,27.54,64.26,73.9,98.0,123.2,156.8,89.6,225.0
Los Angeles - Harvard Park,29098.0,,,,,,,27.73,
Los Angeles - Highland Park,36926.0,43.11,100.59,115.45,152.6,181.01,218.89,125.08,190.0
Los Angeles - Highland Park,38099.0,,,,,,,39.13,
Los Angeles - Historic Filipinotown,10974.0,41.73,97.37,108.93,137.83,164.32,199.64,114.08,173.0
Los Angeles - Historic Filipinotown,11283.0,,,,,,,35.04,
Los Angeles - Hollywood,60385.0,29.61,69.09,78.71,102.76,129.34,164.78,94.16,218.0
Los Angeles - Hollywood,61217.0,,,,,,,31.4,
Los Angeles - Hollywood Hills,25398.0,46.86,109.34,121.54,152.04,186.78,233.1,133.2,184.0
Los Angeles - Hollywood Hills,25698.0,,,,,,,44.11,
Los Angeles - Hyde Park,21809.0,32.22,75.18,85.48,111.23,137.09,171.57,98.04,204.0
Los Angeles - Hyde Park,22545.0,,,,,,,29.59,
Los Angeles - Jefferson Park,6031.0,33.03,77.07,90.27,123.27,155.19,197.75,113.0,242.0
Los Angeles - Jefferson Park,6266.0,,,,,,,34.42,
Los Angeles - Koreatown,41524.0,30.69,71.61,80.85,103.95,129.96,164.64,94.08,207.0
Los Angeles - Koreatown,42577.0,,,,,,,30.39,
Los Angeles - Lafayette Square,3505.0,32.19,75.11,87.15,117.25,144.55,180.95,103.4,221.0
Los Angeles - Lafayette Square,3612.0,,,,,,,32.39,
Los Angeles - Lake Balboa,32423.0,39.33,91.77,102.19,128.24,155.72,192.36,109.92,179.0
Los Angeles - Lake Balboa,33490.0,,,,,,,34.73,
Los Angeles - Lakeview Terrace,10043.0,44.73,104.37,115.13,142.03,167.71,201.95,115.4,158.0
Los Angeles - Lakeview Terrace,10445.0,,,,,,,34.54,
Los Angeles - Leimert Park,12337.0,37.53,87.57,100.61,133.21,158.65,192.57,110.04,193.0
Los Angeles - Leimert Park,12652.0,,,,,,,33.02,
Los Angeles - Lincoln Heights,24798.0,38.28,89.32,101.98,133.63,163.33,202.93,115.96,203.0
Los Angeles - Lincoln Heights,25595.0,,,,,,,36.42,
Los Angeles - Little Armenia,6705.0,28.71,66.99,74.73,94.08,114.78,142.38,81.36,183.0
Los Angeles - Little Armenia,6841.0,,,,,,,25.52,
Los Angeles - Little Bangladesh,22870.0,32.16,75.04,85.1,110.25,139.11,177.59,101.48,216.0
Los Angeles - Little Bangladesh,23428.0,,,,,,,32.67,
Los Angeles - Little Tokyo,2876.0,76.98,179.62,193.12,226.87,274.42,337.82,193.04,151.0
Los Angeles - Little Tokyo,2898.0,,,,,,,59.32,
Los Angeles - Longwood,3338.0,39.9,93.1,103.28,128.73,155.07,190.19,108.68,172.0
Los Angeles - Longwood,3445.0,,,,,,,33.47,
Los Angeles - Los Feliz,18552.0,48.33,112.77,126.87,162.12,200.19,250.95,143.4,197.0
Los Angeles - Los Feliz,18815.0,,,,,,,46.6,
Los Angeles - Manchester Square,6716.0,33.54,78.26,89.7,118.3,141.43,172.27,98.44,194.0
Los Angeles - Manchester Square,6911.0,,,,,,,28.9,
Los Angeles - Mandeville Canyon,2580.0,105.12,245.28,259.86,296.31,325.26,363.86,207.92,98.0
Los Angeles - Mandeville Canyon,2665.0,,,,,,,60.56,
Los Angeles - Mar Vista,33940.0,57.0,133.0,146.26,179.41,209.77,250.25,143.0,151.0
Los Angeles - Mar Vista,34676.0,,,,,,,45.72,
Los Angeles - Marina Peninsula,3765.0,74.19,173.11,182.77,206.92,239.05,281.89,161.08,117.0
Los Angeles - Marina Peninsula,3805.0,,,,,,,50.85,
Los Angeles - Melrose,62874.0,41.73,97.37,109.21,138.81,169.44,210.28,120.16,188.0
Los Angeles - Melrose,64239.0,,,,,,,37.89,
Los Angeles - Mid-city,12179.0,42.87,100.03,114.21,149.66,183.59,228.83,130.76,205.0
Los Angeles - Mid-city,12445.0,,,,,,,41.05,
Los Angeles - Miracle Mile,15322.0,46.17,107.73,120.59,152.74,185.2,228.48,130.56,183.0
Los Angeles - Miracle Mile,15523.0,,,,,,,42.02,
Los Angeles - Mission Hills,18827.0,50.1,116.9,128.06,155.96,183.65,220.57,126.04,152.0
Los Angeles - Mission Hills,19434.0,,,,,,,37.64,
Los Angeles - Mt. Washington,18940.0,47.76,111.44,126.12,162.82,192.52,232.12,132.64,178.0
Los Angeles - Mt. Washington,19525.0,,,,,,,40.97,
Los Angeles - North Hills,46307.0,43.65,101.85,111.13,134.33,158.0,189.56,108.32,148.0
Los Angeles - North Hills,48131.0,,,,,,,32.46,
Los Angeles - North Hollywood,119496.0,30.39,70.91,80.31,103.81,128.08,160.44,91.68,202.0
Los Angeles - North Hollywood,122758.0,,,,,,,29.9,
Los Angeles - Northridge,58451.0,54.15,126.35,137.41,165.06,190.65,224.77,128.44,137.0
Los Angeles - Northridge,59808.0,,,,,,,38.07,
Los Angeles - Pacific Palisades,16920.0,91.2,212.8,226.86,262.01,293.24,334.88,191.36,110.0
Los Angeles - Pacific Palisades,17576.0,,,,,,,56.17,
Los Angeles - Pacoima,54673.0,33.54,78.26,86.5,107.1,129.03,158.27,90.44,170.0
Los Angeles - Pacoima,57066.0,,,,,,,28.44,
Los Angeles - Palisades Highlands,3182.0,93.54,218.26,232.52,268.17,293.91,328.23,187.56,101.0
Los Angeles - Palisades Highlands,3300.0,,,,,,,54.76,
Los Angeles - Palms,36258.0,41.67,97.23,110.17,142.52,171.83,210.91,120.52,189.0
Los Angeles - Palms,36835.0,,,,,,,40.16,
Los Angeles - Panorama City,55481.0,39.72,92.68,101.34,122.99,144.02,172.06,98.32,148.0
Los Angeles - Panorama City,57646.0,,,,,,,30.15,
Los Angeles - Park La Brea,10676.0,35.28,82.32,90.36,110.46,137.01,172.41,98.52,179.0
Los Angeles - Park La Brea,10931.0,,,,,,,32.64,
Los Angeles - Pico-Union,31571.0,33.21,77.49,86.49,108.99,130.65,159.53,91.16,174.0
Los Angeles - Pico-Union,32622.0,,,,,,,27.43,
Los Angeles - Playa Del Rey,2671.0,57.84,134.96,145.44,171.64,199.72,237.16,135.52,134.0
Los Angeles - Playa Del Rey,2706.0,,,,,,,44.83,
Los Angeles - Playa Vista,8995.0,71.64,167.16,180.08,212.38,249.64,299.32,171.04,139.0
Los Angeles - Playa Vista,9091.0,,,,,,,55.74,
Los Angeles - Porter Ranch,29811.0,82.23,191.87,206.53,243.18,272.04,310.52,177.44,116.0
Los Angeles - Porter Ranch,30695.0,,,,,,,51.24,
Los Angeles - Rancho Park,4981.0,89.25,208.25,225.89,269.99,310.88,365.4,208.8,134.0
Los Angeles - Rancho Park,5151.0,,,,,,,62.71,
Los Angeles - Regent Square,2190.0,39.87,93.03,107.19,142.59,169.83,206.15,117.8,195.0
Los Angeles - Regent Square,2255.0,,,,,,,38.63,
Los Angeles - Reseda,59993.0,52.08,121.52,133.12,162.12,189.0,224.84,128.48,147.0
Los Angeles - Reseda,61896.0,,,,,,,39.07,
Los Angeles - Reseda Ranch,3673.0,43.95,102.55,113.43,140.63,170.36,210.0,120.0,173.0
Los Angeles - Reseda Ranch,3771.0,,,,,,,36.36,
Los Angeles - Reynier Village,3290.0,48.96,114.24,130.66,171.71,206.9,253.82,145.04,196.0
Los Angeles - Reynier Village,3370.0,,,,,,,45.61,
Los Angeles - San Pedro,60461.0,43.95,102.55,113.31,140.21,165.14,198.38,113.36,158.0
Los Angeles - San Pedro,62326.0,,,,,,,33.58,
Los Angeles - Shadow Hills,3772.0,49.38,115.22,125.88,152.53,176.08,207.48,118.56,140.0
Los Angeles - Shadow Hills,3867.0,,,,,,,36.44,
Los Angeles - Sherman Oaks,71049.0,59.85,139.65,152.97,186.27,218.13,260.61,148.92,149.0
Los Angeles - Sherman Oaks,72598.0,,,,,,,46.56,
Los Angeles - Silverlake,36752.0,47.73,111.37,125.99,162.54,199.05,247.73,141.56,197.0
Los Angeles - Silverlake,37457.0,,,,,,,46.31,
