Rk,Season,Team,Lg,GP,W,L,WL%,ERA,G,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
48,1975,Los Angeles Dodgers,NL,162,88,74,.543,2.92,162,51,17,21,1469.2,1215,534,477,104,448,20,894,34,10,34,6015,117,3.27,1.132,7.4,0.6,2.7,5.5,2.00
49,1974,Los Angeles Dodgers,NL,162,102,60,.630,2.98,162,33,13,23,1465.1,1272,561,485,112,464,9,943,36,9,36,6056,115,3.31,1.185,7.8,0.7,2.8,5.8,2.03
50,1973,Los Angeles Dodgers,NL,162,95,66,.590,3.00,162,45,13,38,1491.0,1270,565,497,129,461,38,961,47,4,47,6100,117,3.42,1.161,7.7,0.8,2.8,5.8,2.08
51,1972,Los Angeles Dodgers,NL,155,85,70,.548,2.78,155,50,21,29,1403.0,1196,527,434,83,429,36,856,43,3,43,5795,121,2.96,1.158,7.7,0.5,2.8,5.5,2.00
52,1971,Los Angeles Dodgers,NL,162,89,73,.549,3.23,162,48,15,33,1449.2,1363,587,521,110,399,25,853,42,4,42,5988,100,3.17,1.215,8.5,0.7,2.5,5.3,2.14
53,1970,Los Angeles Dodgers,NL,161,87,74,.540,3.83,161,37,13,42,1458.2,1394,684,620,164,496,49,880,49,6,49,6192,100,4.01,1.296,8.6,1.0,3.1,5.4,1.77
54,1969,Los Angeles Dodgers,NL,162,85,77,.525,3.09,162,47,16,31,1457.0,1324,561,500,122,420,41,975,51,4,51,6028,108,3.23,1.197,8.2,0.8,2.6,6.0,2.32
55,1968,Los Angeles Dodgers,NL,162,76,86,.469,2.69,162,38,20,32,1449.1,1293,509,433,65,414,79,994,43,7,43,5951,103,2.54,1.178,8.0,0.4,2.6,6.2,2.40
56,1967,Los Angeles Dodgers,NL,162,73,89,.451,3.21,162,41,14,24,1473.0,1421,595,526,93,393,101,967,39,8,39,6135,96,2.93,1.232,8.7,0.6,2.4,5.9,2.46
57,1966,Los Angeles Dodgers,NL,162,95,67,.586,2.62,162,52,13,34,1458.0,1287,490,425,84,356,67,1084,42,3,42,5941,126,2.63,1.127,7.9,0.5,2.2,6.7,3.04
58,1965,Los Angeles Dodgers,NL,162,97,65,.599,2.81,162,58,17,35,1476.0,1223,521,461,127,425,53,1079,51,1,51,6018,116,3.14,1.117,7.5,0.8,2.6,6.6,2.54
59,1964,Los Angeles Dodgers,NL,164,80,82,.494,2.95,164,47,18,27,1483.2,1289,572,487,88,458,79,1062,51,4,51,6150,109,2.97,1.177,7.8,0.5,2.8,6.4,2.32
60,1963,Los Angeles Dodgers,NL,163,99,63,.611,2.85,163,51,20,29,1469.2,1329,550,466,111,402,74,1095,45,12,45,6083,105,2.88,1.178,8.1,0.7,2.5,6.7,2.72
61,1962,Los Angeles Dodgers,NL,165,102,63,.618,3.62,165,44,5,44,1488.2,1386,697,598,115,588,66,1104,54,4,54,6380,101,3.43,1.326,8.4,0.7,3.6,6.7,1.88
62,1961,Los Angeles Dodgers,NL,154,89,65,.578,4.04,154,40,8,35,1378.2,1346,697,619,167,544,71,1105,66,7,66,5950,106,3.87,1.371,8.8,1.1,3.6,7.2,2.03
63,1960,Los Angeles Dodgers,NL,154,82,72,.532,3.40,154,46,11,20,1398.0,1218,593,528,154,564,65,1122,45,5,45,5882,117,3.66,1.275,7.8,1.0,3.6,7.2,1.99
64,1959,Los Angeles Dodgers,NL,156,88,68,.564,3.79,156,43,14,25,1411.2,1317,670,595,157,614,71,1077,40,4,40,6085,112,3.85,1.368,8.4,1.0,3.9,6.9,1.75
65,1958,Los Angeles Dodgers,NL,154,71,83,.461,4.47,154,30,6,32,1368.0,1399,761,680,173,606,57,855,70,10,70,5980,93,4.35,1.466,9.2,1.1,4.0,5.6,1.41
66,1957,Brooklyn Dodgers,NL,154,84,70,.545,3.35,154,44,17,29,1399.0,1285,591,521,144,456,33,891,30,2,30,5842,123,3.56,1.244,8.3,0.9,2.9,5.7,1.95
67,1956,Brooklyn Dodgers,NL,154,93,61,.604,3.57,154,46,11,30,1368.2,1251,601,543,171,441,41,772,42,3,42,5684,112,3.92,1.236,8.2,1.1,2.9,5.1,1.75
68,1955,Brooklyn Dodgers,NL,154,98,55,.641,3.68,154,46,9,37,1378.0,1296,650,564,168,483,34,773,35,2,35,5799,111,3.96,1.291,8.5,1.1,3.2,5.0,1.60
69,1954,Brooklyn Dodgers,NL,154,92,62,.597,4.31,154,39,8,35,1393.2,1399,740,667,164,533,36,762,28,0,28,6031,96,4.04,1.386,9.0,1.1,3.4,4.9,1.43
70,1953,Brooklyn Dodgers,NL,155,105,49,.682,4.10,155,51,9,29,1380.2,1337,689,629,169,509,32,817,24,4,24,5865,105,4.16,1.337,8.7,1.1,3.3,5.3,1.61
71,1952,Brooklyn Dodgers,NL,155,96,57,.627,3.53,155,45,11,24,1399.1,1295,603,549,121,544,49,773,24,4,24,5887,104,3.63,1.314,8.3,0.8,3.5,5.0,1.42
72,1951,Brooklyn Dodgers,NL,158,97,60,.618,3.88,158,64,10,13,1423.1,1360,672,613,150,549,44,693,35,0,35,6006,101,4.11,1.341,8.6,0.9,3.5,4.4,1.26
73,1950,Brooklyn Dodgers,NL,155,89,65,.578,4.28,155,62,10,20,1389.2,1397,724,661,163,591,37,772,27,12,27,5977,96,4.33,1.431,9.0,1.1,3.8,5.0,1.31
74,1949,Brooklyn Dodgers,NL,156,97,57,.630,3.80,156,62,15,17,1408.2,1306,651,595,132,582,36,743,20,3,20,5931,109,3.96,1.340,8.3,0.8,3.7,4.7,1.28
75,1948,Brooklyn Dodgers,NL,155,84,70,.545,3.75,155,52,9,21,1392.2,1316,667,581,119,633,59,670,35,2,35,5980,107,4.34,1.399,8.5,0.8,4.1,4.3,1.06
76,1947,Brooklyn Dodgers,NL,155,94,60,.610,3.80,155,47,13,34,1375.1,1299,669,581,104,626,69,592,36,6,36,5910,109,4.24,1.400,8.5,0.7,4.1,3.9,0.95
77,1946,Brooklyn Dodgers,NL,157,96,60,.615,3.05,157,52,12,28,1418.0,1280,573,480,58,671,97,647,27,4,27,6088,112,3.68,1.376,8.1,0.4,4.3,4.1,0.96
78,1945,Brooklyn Dodgers,NL,155,87,67,.565,3.70,155,61,6,18,1392.1,1357,720,573,74,586,75,557,32,3,32,6079,102,3.91,1.395,8.8,0.5,3.8,3.6,0.95
79,1944,Brooklyn Dodgers,NL,155,63,91,.409,4.68,155,50,4,13,1367.2,1471,833,711,75,660,75,487,36,2,36,6207,76,4.20,1.558,9.7,0.5,4.3,3.2,0.74
80,1943,Brooklyn Dodgers,NL,153,81,72,.529,3.88,153,50,12,22,1369.2,1326,667,591,59,637,71,585,22,4,22,5980,86,3.80,1.433,8.7,0.4,4.2,3.8,0.92
81,1942,Brooklyn Dodgers,NL,155,104,50,.675,2.84,155,67,15,24,1398.2,1205,512,442,73,493,61,612,14,1,14,5814,116,2.96,1.214,7.8,0.5,3.2,3.9,1.24
82,1941,Brooklyn Dodgers,NL,157,100,54,.649,3.14,157,66,17,22,1421.0,1236,581,496,81,495,41,603,23,5,23,5908,119,3.32,1.218,7.8,0.5,3.1,3.8,1.22
83,1940,Brooklyn Dodgers,NL,156,88,65,.575,3.50,156,65,17,14,1433.0,1366,621,557,101,393,51,639,15,1,15,6008,116,3.33,1.227,8.6,0.6,2.5,4.0,1.63
84,1939,Brooklyn Dodgers,NL,157,84,69,.549,3.64,157,69,8,13,1410.1,1431,645,571,93,399,39,528,21,3,21,6000,112,3.59,1.298,9.1,0.6,2.5,3.4,1.32
85,1938,Brooklyn Dodgers,NL,151,69,80,.463,4.07,151,56,11,15,1332.0,1464,707,602,88,446,43,469,38,3,38,5811,97,4.29,1.434,9.9,0.6,3.0,3.2,1.05
86,1937,Brooklyn Dodgers,NL,155,62,91,.405,4.13,155,63,5,8,1362.2,1470,772,625,68,476,39,592,26,6,26,5966,98,4.09,1.428,9.7,0.4,3.1,3.9,1.24
87,1936,Brooklyn Dodgers,NL,156,67,87,.435,3.98,156,59,6,18,1403.0,1466,753,621,84,528,36,651,30,4,30,6155,104,4.36,1.421,9.4,0.5,3.4,4.2,1.23
88,1935,Brooklyn Dodgers,NL,154,70,83,.458,4.22,154,62,11,20,1358.0,1519,767,637,88,436,34,480,38,2,38,5942,95,4.36,1.440,10.1,0.6,2.9,3.2,1.10
89,1934,Brooklyn Dodgers,NL,153,71,81,.467,4.48,153,66,6,13,1354.1,1540,791,674,81,475,42,520,37,1,37,5981,87,4.32,1.488,10.2,0.5,3.2,3.5,1.09
90,1933,Brooklyn Dodgers,NL,157,65,88,.425,3.73,157,71,9,10,1386.1,1502,692,574,51,374,26,415,34,2,34,6000,86,3.66,1.353,9.8,0.3,2.4,2.7,1.11
91,1932,Brooklyn Dodgers,NL,154,81,73,.526,4.27,154,61,7,17,1379.2,1538,746,655,72,403,24,497,24,1,24,5970,89,3.68,1.407,10.0,0.5,2.6,3.2,1.23
92,1931,Brooklyn Robins,NL,153,79,73,.520,3.84,153,64,8,16,1356.0,1520,678,579,56,351,45,546,17,1,17,5829,100,3.68,1.380,10.1,0.4,2.3,3.6,1.56
93,1930,Brooklyn Robins,NL,154,86,68,.558,4.03,154,74,13,18,1372.0,1480,738,614,115,394,30,526,18,3,18,5881,123,4.08,1.366,9.7,0.8,2.6,3.5,1.34
94,1929,Brooklyn Robins,NL,153,70,83,.458,4.92,153,59,7,16,1358.0,1553,887,743,92,549,39,549,32,2,32,6128,94,4.15,1.548,10.3,0.6,3.6,3.6,1.00
95,1928,Brooklyn Robins,NL,155,77,76,.503,3.25,155,75,16,15,1396.0,1378,639,504,59,468,32,551,10,1,10,5983,122,3.82,1.322,8.9,0.4,3.0,3.6,1.18
96,1927,Brooklyn Robins,NL,154,65,88,.425,3.36,154,74,7,10,1375.1,1382,625,513,63,418,,574,16,2,16,5853,118,3.21,1.309,9.0,0.4,2.7,3.8,1.37
97,1926,Brooklyn Robins,NL,155,71,82,.464,3.82,155,83,4,9,1361.2,1440,707,578,50,472,,517,22,6,22,5932,99,3.83,1.404,9.5,0.3,3.1,3.4,1.10
98,1925,Brooklyn Robins,NL,153,68,85,.444,4.77,153,82,4,3,1350.2,1608,866,716,75,477,,518,33,2,33,6018,87,3.28,1.544,10.7,0.5,3.2,3.5,1.09
99,1924,Brooklyn Robins,NL,154,92,62,.597,3.64,154,96,10,5,1376.0,1432,675,556,58,403,,638,18,0,18,5857,104,3.28,1.334,9.4,0.4,2.6,4.2,1.58
100,1923,Brooklyn Robins,NL,155,76,78,.494,3.74,155,94,8,5,1396.2,1503,741,581,55,476,,548,29,2,29,6074,104,3.85,1.417,9.7,0.4,3.1,3.5,1.15
101,1922,Brooklyn Robins,NL,155,76,78,.494,4.05,155,82,11,11,1385.2,1574,754,623,74,490,,499,24,2,24,6097,102,4.24,1.490,10.2,0.5,3.2,3.2,1.02
102,1921,Brooklyn Robins,NL,152,77,75,.507,3.70,152,82,7,12,1363.1,1556,681,560,46,361,,471,23,0,23,5874,107,3.73,1.406,10.3,0.3,2.4,3.1,1.30
103,1920,Brooklyn Robins,NL,155,93,61,.604,2.62,155,89,17,9,1427.1,1381,530,416,25,327,,553,29,3,29,5848,122,3.00,1.197,8.7,0.2,2.1,3.5,1.69
104,1919,Brooklyn Robins,NL,141,69,71,.493,2.73,141,98,12,1,1281.0,1256,513,389,21,292,,476,22,3,22,5271,109,2.69,1.208,8.8,0.1,2.1,3.3,1.63
105,1918,Brooklyn Robins,NL,126,57,69,.452,2.81,126,85,17,2,1131.1,1024,459,353,22,320,,395,34,2,34,4611,99,2.72,1.188,8.1,0.2,2.5,3.1,1.23
106,1917,Brooklyn Robins,NL,156,70,81,.464,2.78,156,99,7,9,1421.1,1288,566,439,32,405,,582,26,3,26,5843,101,2.65,1.191,8.2,0.2,2.6,3.7,1.44
107,1916,Brooklyn Robins,NL,156,94,60,.610,2.12,156,96,22,9,1427.1,1201,470,336,24,372,,634,34,2,34,5725,128,2.50,1.102,7.6,0.2,2.3,4.0,1.70
108,1915,Brooklyn Robins,NL,154,80,72,.526,2.65,154,87,16,8,1390.0,1252,560,410,29,473,,499,31,3,31,5814,106,3.05,1.241,8.1,0.2,3.1,3.2,1.05
109,1914,Brooklyn Robins,NL,154,75,79,.487,2.82,154,80,11,11,1368.1,1282,618,428,36,466,,605,23,3,23,5685,101,2.97,1.277,8.4,0.2,3.1,4.0,1.30
110,1913,Brooklyn Superbas,NL,152,65,84,.436,3.13,152,71,9,7,1373.0,1287,613,477,33,439,,548,24,3,24,5678,105,3.08,1.257,8.4,0.2,2.9,3.6,1.25
111,1912,Brooklyn Dodgers,NL,153,58,95,.379,3.64,153,71,10,8,1357.0,1399,744,549,45,510,,553,24,2,24,5842,92,3.65,1.407,9.3,0.3,3.4,3.7,1.08
112,1911,Brooklyn Dodgers,NL,154,64,86,.427,3.39,154,81,13,10,1371.2,1310,659,517,27,566,,533,13,1,13,5580,98,3.51,1.368,8.6,0.2,3.7,3.5,0.94
113,1910,Brooklyn Superbas,NL,156,64,90,.416,3.07,156,103,15,5,1420.1,1331,623,484,17,545,,555,35,0,35,5717,98,2.91,1.321,8.4,0.1,3.5,3.5,1.02
114,1909,Brooklyn Superbas,NL,155,55,98,.359,3.10,155,126,18,3,1384.1,1277,627,477,31,528,,594,26,2,26,5565,84,2.85,1.304,8.3,0.2,3.4,3.9,1.13
115,1908,Brooklyn Superbas,NL,154,53,101,.344,2.47,154,118,20,4,1369.0,1165,515,375,17,444,,535,24,0,24,5485,96,2.51,1.175,7.7,0.1,2.9,3.5,1.20
116,1907,Brooklyn Superbas,NL,153,65,83,.439,2.38,153,125,20,1,1356.1,1218,522,359,16,463,,479,24,0,24,5397,99,2.70,1.239,8.1,0.1,3.1,3.2,1.03
117,1906,Brooklyn Superbas,NL,153,66,86,.434,3.13,153,119,22,11,1348.2,1255,625,469,15,453,,476,18,2,18,5512,80,2.85,1.266,8.4,0.1,3.0,3.2,1.05
118,1905,Brooklyn Superbas,NL,155,48,104,.316,3.76,155,125,7,3,1347.0,1416,807,562,24,476,,556,19,1,19,5704,77,3.03,1.405,9.5,0.2,3.2,3.7,1.17
119,1904,Brooklyn Superbas,NL,154,56,97,.366,2.70,154,135,12,2,1337.1,1281,614,401,27,414,,453,28,4,28,5598,102,3.00,1.267,8.6,0.2,2.8,3.0,1.09
120,1903,Brooklyn Superbas,NL,139,70,66,.515,3.44,139,118,11,4,1221.1,1276,686,467,18,377,,438,35,1,35,5086,93,3.24,1.353,9.4,0.1,2.8,3.2,1.16
121,1902,Brooklyn Superbas,NL,141,75,63,.543,2.69,141,131,14,3,1256.0,1113,519,376,10,363,,536,27,0,27,5084,103,2.85,1.175,8.0,0.1,2.6,3.8,1.48
122,1901,Brooklyn Superbas,NL,137,79,57,.581,3.14,137,111,7,5,1213.2,1244,600,424,18,435,,583,28,1,28,5209,107,3.30,1.383,9.2,0.1,3.2,4.3,1.34
123,1900,Brooklyn Superbas,NL,142,82,54,.603,3.89,141,104,8,4,1225.2,1370,722,530,30,405,,300,22,2,22,5335,98,3.70,1.448,10.1,0.2,3.0,2.2,0.74
124,1899,Brooklyn Superbas,NL,150,101,47,.682,3.25,148,121,9,9,1269.1,1320,658,458,32,463,,331,33,3,33,5444,120,3.92,1.405,9.4,0.2,3.3,2.3,0.71
125,1898,Brooklyn Bridegrooms,NL,149,54,91,.372,4.01,149,134,0,0,1298.2,1446,811,579,34,476,,294,31,0,31,5706,90,3.83,1.480,10.0,0.2,3.3,2.0,0.62
126,1897,Brooklyn Bridegrooms,NL,136,61,71,.462,4.60,136,114,4,2,1194.2,1417,845,611,34,410,,256,22,1,22,5309,89,4.35,1.529,10.7,0.3,3.1,1.9,0.62
127,1896,Brooklyn Bridegrooms,NL,133,58,73,.443,4.25,133,97,3,1,1144.0,1353,764,540,39,400,,259,35,0,35,5079,97,4.42,1.532,10.6,0.3,3.1,2.0,0.65
128,1895,Brooklyn Grooms,NL,134,71,60,.542,4.93,133,104,5,6,1159.2,1366,838,635,42,397,,218,36,0,36,5170,89,4.80,1.520,10.6,0.3,3.1,1.7,0.55
129,1894,Brooklyn Grooms,NL,135,70,61,.534,5.56,135,106,3,5,1171.1,1464,1020,723,41,560,,290,71,2,71,5460,88,5.39,1.728,11.2,0.3,4.3,2.2,0.52
130,1893,Brooklyn Grooms,NL,130,65,63,.508,4.55,130,109,3,3,1154.0,1262,845,583,41,547,,297,52,0,52,5266,97,4.75,1.568,9.8,0.3,4.3,2.3,0.54
131,1892,Brooklyn Grooms,NL,158,95,59,.617,3.25,158,132,12,5,1405.2,1285,733,507,26,600,,597,59,1,59,6148,97,3.23,1.341,8.2,0.2,3.8,3.8,1.00
132,1891,Brooklyn Grooms,NL,137,61,76,.445,3.86,137,121,8,3,1204.2,1272,820,516,40,459,,407,59,0,59,5392,84,3.58,1.437,9.5,0.3,3.4,3.0,0.89
133,1890,Brooklyn Bridegrooms,NL,129,86,43,.667,3.06,129,115,6,2,1145.0,1102,620,389,27,401,,403,56,1,56,4950,114,3.72,1.313,8.7,0.2,3.2,3.2,1.00
134,1889,Brooklyn Bridegrooms,AA,140,93,44,.679,3.61,138,120,10,1,1212.2,1205,706,487,33,400,,471,55,0,55,5243,96,3.71,1.324,8.9,0.2,3.0,3.5,1.18
135,1888,Brooklyn Bridegrooms,AA,143,88,52,.629,2.33,143,138,9,0,1286.1,1059,584,333,15,285,,577,74,0,74,5223,129,2.68,1.045,7.4,0.1,2.0,4.0,2.02
136,1887,Brooklyn Grays,AA,138,60,74,.448,4.47,138,132,3,3,1185.1,1348,918,589,27,454,,332,85,1,85,5294,96,4.38,1.520,10.2,0.2,3.4,2.5,0.73
137,1886,Brooklyn Grays,AA,141,76,61,.555,3.42,141,138,6,0,1234.2,1202,832,469,17,464,,540,82,0,82,5442,102,3.73,1.349,8.8,0.1,3.4,3.9,1.16
138,1885,Brooklyn Grays,AA,112,53,59,.473,3.46,112,110,3,1,991.2,955,650,381,27,211,,436,87,4,87,4218,97,3.26,1.176,8.7,0.2,1.9,4.0,2.07
