Rk,Season,Team,Lg,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm
16,2007,Los Angeles Dodgers,NL,162,82,80,.506,45,6282,5614,735,1544,1104,276,35,129,706,137,50,511,864,.275,.337,.406,.743,91,2277,116,41,58,55,41,1200,4.5
17,2006,Los Angeles Dodgers,NL,162,88,74,.543,50,6394,5628,820,1552,1034,307,58,153,787,128,49,601,959,.276,.348,.432,.781,99,2434,140,51,66,48,61,1223,5.1
18,2005,Los Angeles Dodgers,NL,162,71,91,.438,44,6134,5433,685,1374,920,284,21,149,653,58,35,541,1094,.253,.326,.395,.721,90,2147,139,67,57,33,30,1135,4.2
19,2004,Los Angeles Dodgers,NL,162,93,69,.574,43,6244,5542,761,1450,991,226,30,203,731,102,41,536,1092,.262,.332,.423,.755,98,2345,121,62,69,35,45,1152,4.7
20,2003,Los Angeles Dodgers,NL,162,85,77,.525,44,6036,5458,574,1328,919,260,25,124,544,80,36,407,985,.243,.303,.368,.671,79,2010,121,72,71,28,43,1108,3.5
21,2002,Los Angeles Dodgers,NL,162,92,70,.568,41,6146,5554,713,1464,994,286,29,155,693,96,37,428,940,.264,.320,.409,.729,98,2273,140,53,67,44,50,1087,4.4
22,2001,Los Angeles Dodgers,NL,162,86,76,.531,41,6169,5493,758,1399,902,264,27,206,714,89,42,519,1062,.255,.323,.425,.748,99,2335,115,56,57,44,45,1075,4.7
23,2000,Los Angeles Dodgers,NL,162,86,76,.531,46,6312,5481,798,1408,904,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,99,2362,129,51,66,46,42,1188,4.9
24,1999,Los Angeles Dodgers,NL,162,77,85,.475,43,6338,5567,793,1480,1017,253,23,187,761,167,68,594,1030,.266,.339,.420,.760,96,2340,109,52,74,51,34,1173,4.9
25,1998,Los Angeles Dodgers,NL,162,83,79,.512,53,6077,5459,669,1374,979,209,27,159,630,137,53,447,1056,.252,.310,.387,.698,87,2114,98,36,91,43,31,1069,4.1
26,1997,Los Angeles Dodgers,NL,162,88,74,.543,44,6216,5544,742,1488,1039,242,33,174,706,131,64,498,1079,.268,.330,.418,.748,101,2318,109,33,105,36,46,1120,4.6
27,1996,Los Angeles Dodgers,NL,162,90,72,.556,40,6185,5538,703,1396,998,215,33,150,661,124,40,516,1190,.252,.316,.384,.701,90,2127,112,22,74,35,59,1113,4.3
28,1995,Los Angeles Dodgers,NL,144,78,66,.542,49,5544,4942,634,1303,941,191,31,140,593,127,45,468,1023,.264,.329,.400,.729,99,1976,99,30,68,35,46,1049,4.4
29,1994,Los Angeles Dodgers,NL,114,58,56,.509,35,4371,3904,532,1055,751,160,29,115,505,74,37,366,687,.270,.333,.414,.748,99,1618,89,19,51,31,33,789,4.7
30,1993,Los Angeles Dodgers,NL,162,81,81,.500,35,6261,5588,675,1458,1066,234,28,130,639,126,61,492,937,.261,.321,.383,.704,93,2138,105,27,107,47,48,1162,4.2
31,1992,Los Angeles Dodgers,NL,162,63,99,.389,36,6038,5368,548,1333,1026,201,34,72,499,142,78,503,899,.248,.313,.339,.652,86,1818,111,24,102,40,36,1138,3.4
32,1991,Los Angeles Dodgers,NL,162,93,69,.574,39,6159,5408,665,1366,1038,191,29,108,605,126,68,583,957,.253,.326,.359,.685,95,1939,109,28,94,46,50,1151,4.1
33,1990,Los Angeles Dodgers,NL,162,86,76,.531,46,6179,5491,728,1436,1058,222,27,129,669,141,65,538,952,.262,.328,.382,.711,98,2099,110,31,71,48,78,1132,4.5
34,1989,Los Angeles Dodgers,NL,160,77,83,.481,40,6124,5465,554,1313,966,241,17,89,513,81,54,507,885,.240,.306,.339,.645,86,1855,98,27,83,41,77,1171,3.5
35,1988,Los Angeles Dodgers,NL,162,94,67,.584,38,6045,5431,628,1346,1005,217,25,99,587,131,46,437,947,.248,.305,.352,.657,90,1910,118,32,95,50,65,1075,3.9
36,1987,Los Angeles Dodgers,NL,162,73,89,.451,48,6114,5517,635,1389,1005,236,23,125,594,128,59,445,923,.252,.309,.371,.680,81,2046,126,31,82,39,70,1094,3.9
37,1986,Los Angeles Dodgers,NL,162,73,89,.451,38,6101,5471,638,1373,997,232,14,130,599,155,67,478,966,.251,.313,.370,.683,94,2023,109,32,81,39,58,1083,3.9
38,1985,Los Angeles Dodgers,NL,162,95,67,.586,41,6224,5502,682,1434,1051,226,28,129,632,136,58,539,846,.261,.328,.382,.710,102,2103,108,31,104,46,69,1187,4.2
39,1984,Los Angeles Dodgers,NL,162,79,83,.488,38,6042,5399,580,1316,978,213,23,102,530,109,69,488,829,.244,.306,.348,.654,86,1881,120,14,92,48,56,1075,3.6
40,1983,Los Angeles Dodgers,NL,163,91,71,.562,40,6130,5440,654,1358,981,197,34,146,613,166,76,541,925,.250,.318,.379,.697,94,2061,112,22,86,40,61,1104,4.0
41,1982,Los Angeles Dodgers,NL,162,88,74,.543,39,6361,5642,691,1487,1095,222,32,138,661,151,56,528,804,.264,.327,.388,.715,102,2187,98,30,106,55,83,1223,4.3
42,1981,Los Angeles Dodgers,NL,110,63,47,.573,37,4189,3751,450,984,749,133,20,82,427,73,46,331,550,.262,.323,.374,.697,101,1403,83,17,62,27,38,776,4.1
43,1980,Los Angeles Dodgers,NL,163,92,71,.564,35,6221,5568,663,1462,1081,209,24,148,638,123,72,492,846,.263,.323,.388,.711,99,2163,108,24,96,41,52,1173,4.1
44,1979,Los Angeles Dodgers,NL,162,79,83,.488,35,6188,5490,739,1443,1016,220,24,183,713,106,46,556,834,.263,.331,.412,.743,103,2260,145,23,83,36,62,1111,4.6
45,1978,Los Angeles Dodgers,NL,162,95,67,.586,38,6225,5437,727,1435,1008,251,27,149,686,137,52,610,818,.264,.338,.402,.740,108,2187,101,20,111,47,76,1214,4.5
46,1977,Los Angeles Dodgers,NL,162,98,64,.605,37,6328,5589,769,1484,1042,223,28,191,729,114,62,588,896,.266,.336,.418,.753,102,2336,103,23,83,44,67,1183,4.7
47,1976,Los Angeles Dodgers,NL,162,92,70,.568,37,6125,5472,608,1371,1046,200,34,91,561,144,55,486,744,.251,.313,.349,.662,90,1912,129,29,91,47,71,1138,3.8
48,1975,Los Angeles Dodgers,NL,162,88,74,.543,37,6246,5453,648,1355,989,217,31,118,606,138,52,611,825,.248,.325,.365,.690,96,1988,123,31,104,47,72,1208,4.0
49,1974,Los Angeles Dodgers,NL,162,102,60,.630,35,6332,5557,798,1511,1107,231,34,139,744,149,75,597,820,.272,.342,.401,.743,112,2227,117,28,86,64,95,1192,4.9
50,1973,Los Angeles Dodgers,NL,162,95,66,.590,33,6267,5604,675,1473,1115,219,29,110,623,109,50,497,795,.263,.323,.371,.694,96,2080,123,28,81,57,92,1163,4.2
51,1972,Los Angeles Dodgers,NL,155,85,70,.548,36,5904,5270,584,1349,1034,178,39,98,543,82,39,480,786,.256,.319,.360,.679,95,1899,121,24,89,40,53,1124,3.8
52,1971,Los Angeles Dodgers,NL,162,89,73,.549,34,6156,5523,663,1469,1123,213,38,95,631,76,40,489,755,.266,.325,.370,.695,102,2043,140,21,72,50,62,1165,4.1
53,1970,Los Angeles Dodgers,NL,161,87,74,.540,37,6293,5606,749,1515,1128,233,67,87,695,138,57,541,841,.270,.334,.382,.717,96,2143,113,24,72,50,67,1185,4.7
54,1969,Los Angeles Dodgers,NL,162,85,77,.525,38,6167,5532,645,1405,1071,185,52,97,584,80,51,484,823,.254,.315,.359,.673,95,1985,110,21,96,33,63,1160,4.0
55,1968,Los Angeles Dodgers,NL,162,76,86,.469,35,5935,5354,470,1234,929,202,36,67,434,57,43,439,980,.230,.289,.319,.608,90,1709,89,18,79,45,61,1093,2.9
56,1967,Los Angeles Dodgers,NL,162,73,89,.451,34,6110,5456,519,1285,962,203,38,82,465,56,47,485,881,.236,.301,.332,.633,89,1810,133,43,91,35,75,1142,3.2
57,1966,Los Angeles Dodgers,NL,162,95,67,.586,35,6067,5471,606,1399,1063,201,27,108,565,94,64,430,830,.256,.314,.362,.675,95,1978,117,49,84,32,54,1116,3.7
58,1965,Los Angeles Dodgers,NL,162,97,65,.599,33,6108,5425,608,1329,1026,193,32,78,548,172,77,492,891,.245,.312,.335,.647,89,1820,79,52,103,35,57,1118,3.8
59,1964,Los Angeles Dodgers,NL,164,80,82,.494,33,6121,5499,614,1375,1077,180,39,79,555,141,60,438,893,.250,.305,.340,.645,88,1870,105,19,120,44,55,1062,3.7
60,1963,Los Angeles Dodgers,NL,163,99,63,.611,35,6045,5428,640,1361,1039,178,34,110,584,124,70,453,867,.251,.309,.357,.666,99,1937,121,26,85,53,47,1034,3.9
61,1962,Los Angeles Dodgers,NL,165,102,63,.618,30,6363,5628,842,1510,1113,192,65,140,781,198,43,572,886,.268,.337,.400,.737,103,2252,126,32,83,47,65,1104,5.1
62,1961,Los Angeles Dodgers,NL,154,89,65,.578,34,5940,5189,735,1358,968,193,40,157,673,86,45,596,796,.262,.338,.405,.743,91,2102,117,23,96,36,53,1095,4.8
63,1960,Los Angeles Dodgers,NL,154,82,72,.532,37,5936,5227,662,1333,953,216,38,126,606,95,53,529,837,.255,.324,.383,.707,89,2003,108,27,102,50,46,1095,4.3
64,1959,Los Angeles Dodgers,NL,156,88,68,.564,38,6034,5282,705,1360,970,196,46,148,667,84,51,591,891,.257,.334,.396,.730,89,2092,115,28,100,32,61,1122,4.5
65,1958,Los Angeles Dodgers,NL,154,71,83,.461,43,5804,5173,668,1297,909,166,50,172,627,73,47,495,850,.251,.317,.402,.719,86,2079,132,25,68,43,22,1014,4.3
66,1957,Brooklyn Dodgers,NL,154,84,70,.545,35,5945,5242,690,1325,952,188,38,147,648,60,34,550,848,.253,.325,.387,.713,84,2030,131,33,78,41,46,1077,4.5
67,1956,Brooklyn Dodgers,NL,154,93,61,.604,35,5885,5098,720,1315,888,212,36,179,680,65,37,649,738,.258,.342,.419,.761,97,2136,146,17,86,34,91,1100,4.7
68,1955,Brooklyn Dodgers,NL,154,98,55,.641,32,6037,5193,857,1406,931,230,44,201,800,79,56,674,718,.271,.356,.448,.804,109,2327,132,41,75,54,62,1112,5.6
69,1954,Brooklyn Dodgers,NL,154,92,62,.597,35,6059,5251,778,1418,930,246,56,186,741,46,39,634,625,.270,.349,.444,.794,103,2334,137,35,79,59,61,1149,5.1
70,1953,Brooklyn Dodgers,NL,155,105,49,.682,32,6138,5373,955,1529,988,274,59,208,887,90,47,655,686,.285,.366,.474,.840,114,2545,115,35,75,,75,1123,6.2
71,1952,Brooklyn Dodgers,NL,155,96,57,.627,35,6068,5266,775,1380,996,199,32,153,725,90,49,663,699,.262,.348,.399,.748,105,2102,151,35,104,,68,1153,5.0
72,1951,Brooklyn Dodgers,NL,158,97,60,.618,36,6214,5492,855,1511,1041,249,37,184,794,89,70,603,649,.275,.352,.434,.786,108,2386,147,44,75,,59,1131,5.4
73,1950,Brooklyn Dodgers,NL,155,89,65,.578,37,6086,5364,847,1461,974,247,46,194,774,77,45,607,632,.272,.349,.444,.793,105,2382,139,27,88,,68,1109,5.5
74,1949,Brooklyn Dodgers,NL,156,97,57,.630,34,6175,5400,879,1477,1042,236,47,152,816,117,51,638,570,.274,.354,.419,.773,103,2263,127,33,102,,65,1131,5.6
75,1948,Brooklyn Dodgers,NL,155,84,70,.545,40,6058,5328,744,1393,992,256,54,91,671,114,47,604,685,.261,.339,.381,.720,91,2030,100,18,100,,76,1150,4.8
76,1947,Brooklyn Dodgers,NL,155,94,60,.610,43,6127,5249,774,1428,1054,241,50,83,719,88,62,732,561,.272,.364,.384,.749,97,2018,87,29,115,,139,1277,5.0
77,1946,Brooklyn Dodgers,NL,157,96,60,.615,45,6141,5285,701,1376,1022,233,66,55,642,100,59,693,575,.260,.348,.361,.709,100,1906,103,17,141,,102,1244,4.5
78,1945,Brooklyn Dodgers,NL,155,87,67,.565,42,6191,5418,795,1468,1083,257,71,57,722,77,40,630,433,.271,.350,.376,.726,103,2038,87,25,111,,80,1249,5.1
79,1944,Brooklyn Dodgers,NL,155,63,91,.409,53,6014,5393,690,1450,1088,255,51,56,631,45,32,485,453,.269,.331,.366,.697,98,1975,109,14,117,,49,1183,4.5
80,1943,Brooklyn Dodgers,NL,153,81,72,.529,45,6013,5309,715,1444,1107,263,35,39,658,58,46,581,420,.272,.346,.357,.703,102,1894,115,21,100,,53,1193,4.7
81,1942,Brooklyn Dodgers,NL,155,104,50,.675,32,5995,5286,742,1398,1039,263,34,62,678,81,43,572,485,.264,.338,.362,.700,103,1915,95,14,119,,51,1143,4.8
82,1941,Brooklyn Dodgers,NL,157,100,54,.649,39,6218,5485,800,1494,1038,286,69,101,747,36,48,600,535,.272,.347,.405,.752,107,2221,103,27,106,,46,1224,5.1
83,1940,Brooklyn Dodgers,NL,156,88,65,.575,40,6093,5470,697,1421,1002,256,70,93,653,56,63,522,570,.260,.327,.383,.710,90,2096,112,20,77,,50,1128,4.5
84,1939,Brooklyn Dodgers,NL,157,84,69,.549,37,6052,5350,708,1420,1020,265,57,78,653,59,46,564,639,.265,.338,.380,.718,89,2033,130,26,107,,43,1131,4.5
85,1938,Brooklyn Dodgers,NL,151,69,80,.463,43,5858,5142,704,1322,957,225,79,61,647,66,57,611,615,.257,.338,.367,.705,92,1888,118,20,80,,45,1137,4.7
86,1937,Brooklyn Dodgers,NL,155,62,91,.405,43,5896,5295,616,1401,1053,258,53,37,554,69,72,469,583,.265,.327,.354,.681,84,1876,130,20,109,,42,1132,4.0
87,1936,Brooklyn Dodgers,NL,156,67,87,.435,34,6077,5574,662,1518,1179,263,43,33,596,55,46,390,458,.272,.323,.353,.675,81,1966,114,25,79,,36,1181,4.2
88,1935,Brooklyn Dodgers,NL,154,70,83,.458,38,5938,5410,711,1496,1140,235,62,59,666,60,48,430,520,.277,.333,.376,.708,92,2032,120,27,70,,44,1131,4.6
89,1934,Brooklyn Dodgers,NL,153,71,81,.467,33,6075,5427,748,1526,1111,284,52,79,699,55,48,548,555,.281,.350,.396,.746,104,2151,112,22,77,,37,1248,4.9
90,1933,Brooklyn Dodgers,NL,157,65,88,.425,33,5873,5367,617,1413,1076,224,51,62,566,82,56,397,453,.263,.316,.359,.675,96,1925,139,18,90,,24,1067,3.9
91,1932,Brooklyn Dodgers,NL,154,81,73,.526,35,5948,5433,752,1538,1073,296,59,110,703,61,55,388,574,.283,.334,.420,.754,103,2282,,24,99,,24,1054,4.9
92,1931,Brooklyn Robins,NL,153,79,73,.520,35,5815,5309,681,1464,1076,240,77,71,633,45,52,409,512,.276,.331,.390,.721,93,2071,,27,69,,23,1067,4.5
93,1930,Brooklyn Robins,NL,154,86,68,.558,30,6089,5433,871,1654,1156,303,73,122,836,53,47,481,541,.304,.364,.454,.818,96,2469,,27,147,,20,1135,5.7
94,1929,Brooklyn Robins,NL,153,70,83,.458,36,5955,5273,755,1535,1085,282,69,99,705,80,73,504,454,.291,.355,.427,.782,95,2252,,22,155,,23,1113,4.9
95,1928,Brooklyn Robins,NL,155,77,76,.503,30,5999,5243,665,1393,1028,229,70,66,621,81,66,557,510,.266,.340,.374,.714,88,1960,,32,160,,30,1143,4.3
96,1927,Brooklyn Robins,NL,154,65,88,.425,31,5755,5193,541,1314,1006,195,74,39,499,106,,368,494,.253,.306,.342,.647,73,1774,,25,166,,,1055,3.5
97,1926,Brooklyn Robins,NL,155,71,82,.464,31,5791,5130,623,1348,1000,246,62,40,568,76,,475,464,.263,.328,.358,.687,86,1838,,27,158,,,1063,4.0
98,1925,Brooklyn Robins,NL,153,68,85,.444,35,6046,5468,786,1617,1223,250,80,64,722,37,30,437,383,.296,.351,.406,.757,95,2219,,26,114,,,1186,5.1
99,1924,Brooklyn Robins,NL,154,92,62,.597,33,5951,5339,717,1534,1181,227,54,72,662,34,46,447,357,.287,.345,.391,.735,99,2085,,22,143,,,1134,4.7
100,1923,Brooklyn Robins,NL,155,76,78,.494,33,6084,5476,753,1559,1202,214,81,62,674,71,50,425,382,.285,.340,.387,.727,93,2121,,33,148,,,1151,4.9
101,1922,Brooklyn Robins,NL,155,76,78,.494,31,5961,5413,743,1569,1202,235,76,56,674,79,60,339,318,.290,.335,.392,.727,87,2124,,25,178,,,1065,4.8
102,1921,Brooklyn Robins,NL,152,77,75,.507,30,5776,5263,667,1476,1123,209,85,59,584,91,73,325,400,.280,.325,.386,.711,84,2032,,21,164,,,1023,4.4
103,1920,Brooklyn Robins,NL,155,93,61,.604,29,5971,5399,660,1493,1161,205,99,28,566,70,80,359,391,.277,.324,.367,.691,96,1980,,19,189,,,1073,4.3
104,1919,Brooklyn Robins,NL,141,69,71,.493,28,5285,4844,525,1272,1014,167,66,25,452,112,,258,405,.263,.304,.340,.644,92,1646,,28,153,,,916,3.7
105,1918,Brooklyn Robins,NL,126,57,69,.452,35,4581,4212,360,1052,859,121,62,10,303,113,,212,326,.250,.291,.315,.607,86,1327,,36,118,,,788,2.9
106,1917,Brooklyn Robins,NL,156,70,81,.464,31,5778,5251,511,1299,1037,159,78,25,429,130,,334,527,.247,.296,.322,.618,88,1689,,29,162,,,990,3.3
107,1916,Brooklyn Robins,NL,156,94,60,.610,32,5834,5234,585,1366,1063,195,80,28,493,187,,355,550,.261,.313,.345,.658,99,1805,,41,203,,,1032,3.8
108,1915,Brooklyn Robins,NL,154,80,72,.526,33,5638,5120,536,1268,1014,165,75,14,449,131,126,313,496,.248,.295,.317,.612,83,1625,,27,175,,,957,3.5
109,1914,Brooklyn Robins,NL,154,75,79,.487,28,5763,5152,622,1386,1093,172,90,31,529,173,,376,559,.269,.323,.355,.678,100,1831,,33,190,,,1019,4.0
110,1913,Brooklyn Superbas,NL,152,65,84,.436,33,5712,5165,595,1394,1076,193,86,39,502,188,149,361,555,.270,.321,.363,.685,94,1876,,31,147,,,979,3.9
111,1912,Brooklyn Dodgers,NL,153,58,95,.379,30,5834,5141,651,1377,1052,220,73,32,561,179,,490,584,.268,.336,.358,.694,93,1839,,40,159,,,1069,4.3
112,1911,Brooklyn Dodgers,NL,154,64,86,.427,36,5694,5059,539,1198,948,151,71,28,465,184,,425,683,.237,.301,.311,.612,74,1575,,39,157,,,991,3.5
113,1910,Brooklyn Superbas,NL,156,64,90,.416,31,5792,5125,497,1174,910,166,73,25,408,151,,434,706,.229,.294,.305,.599,77,1561,,40,183,,,993,3.2
114,1909,Brooklyn Superbas,NL,155,55,98,.359,31,5604,5056,442,1158,907,176,59,16,370,141,,330,644,.229,.279,.297,.576,82,1500,,20,173,,,941,2.9
115,1908,Brooklyn Superbas,NL,154,53,101,.344,24,5434,4897,375,1044,846,110,60,28,306,113,,323,608,.213,.266,.277,.543,77,1358,,29,166,,,918,2.4
116,1907,Brooklyn Superbas,NL,153,65,83,.439,24,5488,4895,446,1135,912,142,63,18,380,121,,336,629,.232,.287,.298,.584,90,1457,,40,197,,,956,2.9
117,1906,Brooklyn Superbas,NL,153,66,86,.434,24,5496,4897,495,1156,922,141,68,25,407,175,,388,664,.236,.297,.308,.605,95,1508,,36,163,,,923,3.2
118,1905,Brooklyn Superbas,NL,155,48,104,.316,23,5616,5100,506,1255,1012,154,60,29,430,186,,327,606,.246,.297,.317,.614,89,1616,,41,136,,,977,3.3
119,1904,Brooklyn Superbas,NL,154,56,97,.366,28,5520,4916,497,1142,915,159,53,15,390,205,,411,688,.232,.297,.295,.592,86,1452,,42,128,,,940,3.2
120,1903,Brooklyn Superbas,NL,139,70,66,.515,28,5270,4534,666,1201,953,177,56,15,539,273,,522,516,.265,.348,.339,.686,97,1535,,53,124,,,960,4.8
121,1902,Brooklyn Superbas,NL,141,75,63,.543,26,5358,4845,564,1242,1027,147,49,19,476,145,,319,491,.256,.311,.319,.629,95,1544,,62,118,,,1013,4.0
122,1901,Brooklyn Superbas,NL,137,79,57,.581,24,5328,4879,744,1399,1068,206,93,32,633,178,,312,446,.287,.335,.387,.722,106,1887,,41,80,,,954,5.4
123,1900,Brooklyn Superbas,NL,142,82,54,.603,23,5440,4860,816,1423,1117,199,81,26,676,274,,421,269,.293,.359,.383,.742,100,1862,,81,78,,,,5.8
124,1899,Brooklyn Superbas,NL,150,101,47,.682,27,5614,4937,892,1436,1134,178,97,27,723,271,,477,263,.291,.368,.383,.751,104,1889,,125,75,,,,6.0
125,1898,Brooklyn Bridegrooms,NL,149,54,91,.372,26,5610,5126,638,1314,1075,156,66,17,563,130,,328,316,.256,.309,.322,.632,81,1653,,65,91,,,,4.3
126,1897,Brooklyn Bridegrooms,NL,136,61,71,.462,20,5334,4810,802,1343,1045,202,72,24,644,187,,351,251,.279,.336,.366,.702,90,1761,,58,115,,,,5.9
127,1896,Brooklyn Bridegrooms,NL,133,58,73,.443,20,5025,4548,692,1292,1003,174,87,28,557,198,,344,269,.284,.340,.379,.719,94,1724,,39,94,,,,5.2
128,1895,Brooklyn Grooms,NL,134,71,60,.542,23,5284,4757,879,1346,1036,191,78,41,725,184,,397,319,.283,.346,.382,.728,94,1816,,63,67,,,,6.6
129,1894,Brooklyn Grooms,NL,135,70,61,.534,24,5453,4851,1024,1514,1111,231,130,42,869,282,,467,295,.312,.377,.439,.816,103,2131,,35,100,,,,7.6
130,1893,Brooklyn Grooms,NL,130,65,63,.508,21,5024,4511,775,1200,899,173,83,45,644,213,,473,296,.266,.341,.371,.712,93,1674,,40,,,,,6.0
131,1892,Brooklyn Grooms,NL,158,95,59,.617,17,6168,5485,935,1439,1121,183,105,30,719,409,,629,508,.262,.344,.350,.694,112,1922,,54,,,,,5.9
132,1891,Brooklyn Grooms,NL,137,61,76,.445,19,5249,4748,765,1233,941,200,69,23,603,337,,465,435,.260,.330,.345,.676,99,1640,,36,,,,,5.6
133,1890,Brooklyn Bridegrooms,NL,129,86,43,.667,17,4977,4419,884,1166,864,184,75,43,691,349,,517,361,.264,.346,.369,.715,107,1629,,41,,,,,6.9
134,1889,Brooklyn Bridegrooms,AA,140,93,44,.679,15,5414,4815,995,1265,951,188,79,47,761,389,,550,401,.263,.344,.364,.708,107,1752,,49,,,,,7.2
135,1888,Brooklyn Bridegrooms,AA,143,88,52,.629,20,5280,4871,758,1177,910,172,70,25,574,334,,353,444,.242,.300,.321,.621,99,1564,,56,,,,,5.3
136,1887,Brooklyn Grays,AA,138,60,74,.448,19,5420,4913,904,1281,974,200,82,25,689,409,,456,357,.261,.330,.350,.680,88,1720,,51,,,,,6.6
137,1886,Brooklyn Grays,AA,141,76,61,.555,19,5504,5053,832,1261,969,196,80,16,569,248,,433,,.250,.311,.330,.641,101,1665,,18,,,,,5.9
138,1885,Brooklyn Grays,AA,112,53,59,.473,21,4223,3943,624,966,766,121,65,14,428,,,238,,.245,.295,.319,.614,93,1259,,42,,,,,5.6
139,1884,Brooklyn Atlantics,AA,109,40,64,.385,18,3958,3763,476,845,670,112,47,16,,,,179,,.225,.263,.292,.555,80,1099,,16,,,,,4.4
