Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
91,LAD,2022-05-20,@,PHI,W 4-1,41,33,4,9,7,2,0,0,4,2,0,7,9,.273,.390,.333,.724,11,2,0,0,1,0
92,LAD,2022-05-18,,ARI,W 5-3,33,33,5,9,5,3,0,1,5,2,0,0,6,.273,.273,.455,.727,15,0,0,0,0,0
93,LAD,2022-05-17 (2),,ARI,W 12-3,41,34,12,10,4,5,0,1,12,0,0,7,8,.294,.415,.529,.944,18,1,0,0,0,1
94,LAD,2022-05-17 (1),,ARI,W 7-6,34,32,7,9,4,1,0,4,7,0,0,2,8,.281,.324,.688,1.011,22,1,0,0,0,0
95,LAD,2022-05-16,,ARI,W 5-4,38,32,5,9,6,2,0,1,4,0,0,6,4,.281,.395,.438,.832,14,0,0,0,0,1
96,LAD,2022-05-15,,PHI,W 5-4,36,30,5,7,2,3,1,1,5,2,1,5,8,.233,.361,.500,.861,15,2,1,0,0,0
97,LAD,2022-05-14,,PHI,L 3-8,36,32,3,5,2,2,0,1,3,0,0,4,10,.156,.250,.313,.563,10,0,0,0,0,0
98,LAD,2022-05-13,,PHI,L 10-12 (10),48,41,10,12,7,3,0,2,9,0,0,6,9,.293,.396,.512,.908,21,1,1,0,0,0
99,LAD,2022-05-12,,PHI,L 7-9,44,39,7,12,8,3,0,1,7,0,0,5,10,.308,.386,.462,.848,18,0,0,0,0,0
100,LAD,2022-05-11,@,PIT,L 3-5,37,32,3,5,3,2,0,0,3,0,0,5,7,.156,.270,.219,.489,7,0,0,0,0,0
101,LAD,2022-05-10,@,PIT,W 11-1,44,41,11,15,5,8,1,1,11,1,0,3,10,.366,.409,.683,1.092,28,1,0,0,0,0
102,LAD,2022-05-09,@,PIT,L 1-5,37,31,1,4,2,1,0,1,1,0,0,5,7,.129,.270,.258,.528,8,0,1,0,0,0
103,LAD,2022-05-08,@,CHC,W 7-1,40,34,7,10,9,1,0,0,3,0,0,4,7,.294,.350,.324,.674,11,2,0,0,2,0
104,LAD,2022-05-07 (2),@,CHC,W 6-2,39,30,6,3,1,1,0,1,6,0,0,9,10,.100,.308,.233,.541,7,0,0,0,0,0
105,LAD,2022-05-07 (1),@,CHC,W 7-0,40,36,7,11,5,5,0,1,6,0,0,4,7,.306,.375,.528,.903,19,2,0,0,0,0
106,LAD,2022-05-04,,SFG,W 9-1,37,32,9,11,7,1,1,2,9,0,0,4,9,.344,.405,.625,1.030,20,2,0,0,1,1
107,LAD,2022-05-03,,SFG,W 3-1,32,29,3,5,2,3,0,0,2,0,0,3,5,.172,.250,.276,.526,8,0,0,0,0,0
108,LAD,2022-05-01,,DET,W 6-3,34,34,6,8,6,2,0,0,4,0,0,0,9,.235,.235,.294,.529,10,0,0,0,0,0
109,LAD,2022-04-30,,DET,L 1-5,33,30,1,4,2,1,0,1,1,0,0,3,5,.133,.212,.267,.479,8,1,0,0,0,0
110,LAD,2022-04-29,,DET,W 5-1,34,29,5,6,4,0,0,2,4,2,0,4,8,.207,.294,.414,.708,12,0,0,0,1,0
111,LAD,2022-04-27,@,ARI,L 1-3,34,31,1,5,4,1,0,0,1,0,1,2,8,.161,.235,.194,.429,6,0,1,0,0,0
112,LAD,2022-04-26,@,ARI,L 3-5,36,30,3,9,7,2,0,0,3,0,1,6,5,.300,.417,.367,.783,11,4,0,0,0,1
113,LAD,2022-04-25,@,ARI,W 4-0,38,35,4,9,4,4,0,1,4,1,0,3,7,.257,.316,.457,.773,16,0,0,0,0,0
114,LAD,2022-04-24,@,SDP,W 10-2,42,35,10,8,5,0,0,3,10,0,0,4,10,.229,.310,.486,.795,17,0,1,0,2,0
115,LAD,2022-04-23,@,SDP,L 2-3 (10),37,33,2,5,4,1,0,0,2,0,0,3,12,.152,.243,.182,.425,6,1,1,0,0,0
116,LAD,2022-04-22,@,SDP,W 6-1,40,32,6,8,5,0,0,3,6,2,0,7,6,.250,.375,.531,.906,17,1,0,0,1,0
117,LAD,2022-04-20,,ATL,W 5-1,37,32,5,8,4,1,1,2,5,0,0,5,8,.250,.351,.531,.883,17,0,0,0,0,0
118,LAD,2022-04-19,,ATL,L 1-3,29,28,1,2,2,0,0,0,1,0,0,1,10,.071,.103,.071,.175,2,1,0,0,0,0
119,LAD,2022-04-18,,ATL,W 7-4,38,31,7,7,2,3,0,2,7,1,0,7,7,.226,.368,.516,.885,16,0,0,0,0,0
120,LAD,2022-04-17,,CIN,W 9-1,41,34,9,10,6,4,0,0,9,2,0,7,10,.294,.415,.412,.826,14,0,0,0,0,0
121,LAD,2022-04-16,,CIN,W 5-2,33,30,5,8,7,0,0,1,5,0,0,2,7,.267,.303,.367,.670,11,2,0,0,1,0
122,LAD,2022-04-15,,CIN,W 3-1,36,29,3,7,4,1,2,0,3,3,1,6,7,.241,.389,.414,.803,12,0,1,0,0,0
123,LAD,2022-04-14,,CIN,W 9-3,39,36,9,14,12,1,0,1,8,1,0,3,7,.389,.436,.500,.936,18,2,0,0,0,0
124,LAD,2022-04-13,@,MIN,W 7-0,44,38,7,11,4,3,0,4,7,1,0,4,7,.289,.364,.684,1.048,26,0,1,0,1,0
125,LAD,2022-04-12,@,MIN,W 7-2,45,35,7,9,5,3,1,0,7,3,0,9,10,.257,.400,.400,.800,14,0,0,0,1,0
126,LAD,2022-04-10,@,COL,L 4-9,38,35,4,10,9,1,0,0,1,0,0,2,7,.286,.316,.314,.630,11,1,0,0,1,0
127,LAD,2022-04-09,@,COL,L 2-3,34,34,2,7,6,0,0,1,2,0,0,0,9,.206,.206,.294,.500,10,0,0,0,0,0
128,LAD,2022-04-08,@,COL,W 5-3,41,36,5,8,6,2,0,0,4,0,0,4,11,.222,.317,.278,.595,10,0,1,0,0,0
129,LAD,2021-10-03,,MIL,W 10-3,39,33,10,10,7,1,0,2,10,0,0,6,7,.303,.410,.515,.925,17,1,0,0,0,0
130,LAD,2021-10-02,,MIL,W 8-3,33,31,8,9,4,2,0,3,8,0,0,1,9,.290,.303,.645,.948,20,1,0,0,1,0
131,LAD,2021-10-01,,MIL,W 8-6,37,33,8,10,7,0,0,3,7,1,0,3,3,.303,.378,.576,.954,19,1,1,0,0,1
132,LAD,2021-09-30,,SDP,W 8-3,35,32,8,11,5,1,0,5,8,0,1,2,8,.344,.371,.844,1.215,27,1,0,0,1,0
133,LAD,2021-09-29,,SDP,W 11-9,39,36,11,12,3,3,0,6,11,1,0,3,7,.333,.385,.917,1.301,33,0,0,0,0,0
134,LAD,2021-09-28,,SDP,W 2-1,39,30,2,6,4,2,0,0,2,1,0,9,10,.200,.385,.267,.651,8,1,0,0,0,1
135,LAD,2021-09-26,@,ARI,W 3-0,40,33,3,7,3,1,0,3,3,0,0,6,6,.212,.350,.515,.865,17,1,1,0,0,0
136,LAD,2021-09-25,@,ARI,L 2-7,33,31,2,5,3,0,0,2,2,0,0,2,8,.161,.212,.355,.567,11,1,0,0,0,0
137,LAD,2021-09-24,@,ARI,W 4-2,39,33,4,10,6,2,1,1,4,0,0,4,6,.303,.368,.515,.884,17,2,0,1,1,0
138,LAD,2021-09-23,@,COL,W 7-5 (10),45,43,7,14,11,2,0,1,7,3,0,2,8,.326,.356,.442,.797,19,1,0,0,0,0
139,LAD,2021-09-22,@,COL,L 5-10,38,32,5,7,5,1,0,1,5,0,0,4,7,.219,.316,.344,.660,11,1,1,0,1,0
140,LAD,2021-09-21,@,COL,W 5-4 (10),37,36,5,9,8,1,0,0,5,0,0,0,7,.250,.243,.278,.521,10,0,0,0,1,0
141,LAD,2021-09-19,@,CIN,W 8-5,43,37,8,12,8,1,0,3,7,0,1,5,8,.324,.419,.595,1.013,22,1,1,0,0,0
142,LAD,2021-09-18,@,CIN,W 5-1,39,35,5,7,5,1,1,0,5,1,0,3,10,.200,.263,.286,.549,10,0,0,1,0,0
143,LAD,2021-09-17,@,CIN,L 1-3,36,33,1,6,5,1,0,0,1,0,0,2,12,.182,.250,.212,.462,7,0,1,0,0,0
144,LAD,2021-09-15,,ARI,W 5-3,39,34,5,14,11,2,0,1,5,2,1,3,3,.412,.474,.559,1.033,19,2,1,1,0,1
145,LAD,2021-09-14,,ARI,W 8-4,37,31,8,9,4,2,0,3,7,1,0,4,6,.290,.351,.645,.997,20,2,0,0,2,0
146,LAD,2021-09-13,,ARI,W 5-1,40,34,5,11,6,4,0,1,5,0,0,3,5,.324,.410,.529,.940,18,0,2,1,0,0
147,LAD,2021-09-12,,SDP,W 8-0,40,31,8,9,4,2,0,3,8,1,0,4,7,.290,.410,.645,1.055,20,0,3,1,1,1
148,LAD,2021-09-11,,SDP,W 5-4,29,24,5,4,2,1,0,1,5,0,1,3,6,.167,.250,.333,.583,8,1,0,1,1,0
149,LAD,2021-09-10,,SDP,W 3-0,33,26,3,4,2,1,0,1,3,0,0,5,8,.154,.303,.308,.611,8,1,1,0,1,1
150,LAD,2021-09-09,@,STL,L 1-2,34,31,1,4,2,2,0,0,1,0,0,3,7,.129,.206,.194,.399,6,0,0,0,0,0
151,LAD,2021-09-08,@,STL,L 4-5,33,32,4,7,5,1,0,1,4,0,0,0,5,.219,.212,.344,.556,11,0,0,0,1,0
152,LAD,2021-09-07,@,STL,W 7-2,39,38,7,11,5,2,0,4,7,0,0,1,8,.289,.308,.658,.966,25,0,0,0,0,0
153,LAD,2021-09-06,@,STL,W 5-1,33,31,5,5,3,1,0,1,4,0,0,2,6,.161,.212,.290,.502,9,1,0,0,0,0
154,LAD,2021-09-05,@,SFG,L 4-6,40,34,4,6,5,0,0,1,4,0,0,6,9,.176,.300,.265,.565,9,0,0,0,0,0
155,LAD,2021-09-04,@,SFG,W 6-1,39,28,6,6,3,1,0,2,5,3,2,6,8,.214,.351,.464,.816,13,0,1,2,2,0
156,LAD,2021-09-03,@,SFG,L 2-3 (11),44,39,2,8,7,1,0,0,2,0,0,4,9,.205,.273,.231,.503,9,1,0,0,1,0
157,LAD,2021-09-01,,ATL,W 4-3,34,31,4,7,3,1,1,2,4,0,0,3,12,.226,.294,.516,.810,16,0,0,0,0,0
158,LAD,2021-08-31,,ATL,W 3-2,35,29,3,6,3,2,0,1,3,0,0,5,10,.207,.314,.379,.694,11,0,0,0,1,1
159,LAD,2021-08-30,,ATL,W 5-3,35,33,5,10,6,0,0,4,5,1,0,1,9,.303,.343,.667,1.010,22,0,1,0,0,0
160,LAD,2021-08-29,,COL,L 0-5,34,30,0,3,3,0,0,0,0,0,0,3,8,.100,.206,.100,.306,3,0,1,0,0,0
161,LAD,2021-08-28,,COL,W 5-2,35,27,5,7,6,0,0,1,4,1,0,8,9,.259,.429,.370,.799,10,1,0,0,0,0
162,LAD,2021-08-27,,COL,L 2-4,33,33,2,6,4,0,0,2,2,0,0,0,12,.182,.182,.364,.545,12,0,0,0,0,0
163,LAD,2021-08-26,@,SDP,W 4-0,34,31,4,5,1,2,1,1,4,0,0,2,8,.161,.206,.387,.593,12,0,0,0,1,0
164,LAD,2021-08-25,@,SDP,W 5-3 (16),63,57,5,10,7,1,0,2,5,2,0,5,18,.175,.242,.298,.540,17,0,0,1,0,3
165,LAD,2021-08-24,@,SDP,W 5-2,35,30,5,6,3,2,0,1,5,1,0,3,9,.200,.257,.367,.624,11,0,0,0,2,0
166,LAD,2021-08-22,,NYM,L 2-7,33,31,2,5,4,1,0,0,2,1,1,2,8,.161,.212,.194,.406,6,0,0,0,0,0
167,LAD,2021-08-21,,NYM,W 4-3,34,31,4,8,5,0,0,3,4,1,0,3,4,.258,.324,.548,.872,17,1,0,0,0,0
168,LAD,2021-08-20,,NYM,W 3-2,30,29,3,5,3,2,0,0,3,0,0,1,10,.172,.200,.241,.441,7,0,0,0,0,0
169,LAD,2021-08-19,,NYM,W 4-1,31,28,4,6,4,2,0,0,4,1,1,2,6,.214,.290,.286,.576,8,1,1,0,0,0
170,LAD,2021-08-18,,PIT,W 9-0,40,33,9,9,4,1,0,4,9,0,0,7,9,.273,.400,.667,1.067,22,0,0,0,0,0
171,LAD,2021-08-17,,PIT,W 4-3,36,31,4,8,2,6,0,0,4,0,0,3,10,.258,.343,.452,.794,14,0,1,1,0,0
172,LAD,2021-08-16,,PIT,W 2-1,32,28,2,5,2,1,0,2,2,0,0,2,7,.179,.281,.429,.710,12,1,2,0,0,0
173,LAD,2021-08-15,@,NYM,W 14-4,51,42,14,16,7,3,1,5,14,1,0,6,10,.381,.471,.857,1.328,36,0,2,0,1,0
174,LAD,2021-08-14,@,NYM,W 2-1 (10),36,33,2,4,1,2,0,1,2,0,0,3,13,.121,.194,.273,.467,9,1,0,0,0,0
175,LAD,2021-08-13,@,NYM,W 6-5 (10),42,34,6,9,5,3,0,1,6,0,1,4,12,.265,.333,.441,.775,15,1,1,0,3,0
176,LAD,2021-08-12,@,PHI,L 1-2,36,30,1,3,3,0,0,0,1,1,0,5,6,.100,.250,.100,.350,3,0,1,0,0,1
177,LAD,2021-08-11,@,PHI,W 8-2,45,39,8,13,10,1,0,2,7,1,0,5,8,.333,.422,.513,.935,20,0,1,0,0,0
178,LAD,2021-08-10,@,PHI,W 5-0,42,38,5,12,7,3,0,2,5,0,0,4,15,.316,.381,.553,.934,21,1,0,0,0,1
179,LAD,2021-08-08,,LAA,W 8-2,40,36,8,11,6,3,0,2,8,3,0,3,7,.306,.375,.556,.931,20,0,1,0,0,2
180,LAD,2021-08-07,,LAA,W 5-3,36,33,5,9,5,3,0,1,5,1,0,2,7,.273,.333,.455,.788,15,0,1,0,0,0
181,LAD,2021-08-06,,LAA,L 3-4 (10),43,40,3,11,9,2,0,0,3,0,0,2,7,.275,.302,.325,.627,13,0,0,0,1,0
182,LAD,2021-08-04,,HOU,W 7-5,37,33,7,9,3,2,0,4,7,0,0,3,6,.273,.351,.697,1.048,23,1,1,0,0,0
183,LAD,2021-08-03,,HOU,L 0-3,37,33,0,5,5,0,0,0,0,0,0,3,13,.152,.243,.152,.395,5,0,1,0,0,0
184,LAD,2021-08-01,@,ARI,W 13-0,50,39,13,14,7,5,0,2,12,0,0,7,8,.359,.490,.641,1.131,25,1,3,1,0,0
