country_led,idacr,leader,gender,entry,exit,startdate,enddate,days_in_office,years_in_office,months_in_office,startyear,endyear,birth_country,birth_adm1,birth_adm1,birth_adm1,birth_adm1,continent,latitude,longitude,geoname,foreign_leader,ethnicity1,ethnicity2,ethnicity_geoepr1,ethnicity_geoepr2,ethnicitysource1,ethnicitysource2,ethnicity_precision,yrborn,birthdate,uid,id_0,id_1,id_2,gid_0,gid_1,gid_2,edu_name,edu_r,birthplace_comment,ethnicity_comment
Greece,GRC,A. Papandreou,M,Regular,Retired Due to Ill Health,1993-10-13,1995-11-20,768 days,2.1,25.0,1993,1995,Greece,Aegean,North Aegean,Aegean,North Aegean,Europe,38.400001525878906,26.016666412353516,Chios,0,Greek,Polish-Lithuanian,Greeks,.,https://www.independent.co.uk/news/people/obituary-andreas-papandreou-1338574.html,http://pages.interlog.com/~mineykok/zdrada.html,2,1919,1919-02-05,120698,89,1,1,GRC,GRC.1_1,GRC.1.1_1,PhD in economics,8,.,.
Hungary,HUN,Orban,M,Regular,Regular,1998-07-06,2002-05-27,1421 days,3.89,47.0,1998,2002,Hungary,Fejér,Székesfehérvár,Fejér,Székesfehérvár,Europe,47.18994903564453,18.41033935546875,Székesfehérvár,0,Hungarian,.,Hungarians,.,https://books.google.ge/books?id=Tn8C3hs1QsAC&pg=PA331&lpg=PA331&dq=Viktor+Orban+parents&source=bl&ots=uY4IzTMOPV&sig=ACfU3U2bmV0IJ8VpirfNnCjSiuQJNOwVXQ&hl=de&sa=X&ved=2ahUKEwjF5uyy3fHnAhWPC-wKHS1tC5U4ChDoATAFegQIChAB#v=onepage&q=Viktor%20Orban%20parents&f=false,https://www.journalofdemocracy.org/articles/explaining-eastern-europe-orbans-laboratory-of-illiberalism/,3,1963,1963-05-31,75325,103,7,60,HUN,HUN.7_1,HUN.7.10_1,Degree in law,7,.,.
Hungary,HUN,Orban,M,Regular,Still in Office,2010-05-29,2020-12-31,3869 days,10.6,127.0,2010,2020,Hungary,Fejér,Székesfehérvár,Fejér,Székesfehérvár,Europe,47.18994903564453,18.41033935546875,Székesfehérvár,0,Hungarian,.,Hungarians,.,https://books.google.ge/books?id=Tn8C3hs1QsAC&pg=PA331&lpg=PA331&dq=Viktor+Orban+parents&source=bl&ots=uY4IzTMOPV&sig=ACfU3U2bmV0IJ8VpirfNnCjSiuQJNOwVXQ&hl=de&sa=X&ved=2ahUKEwjF5uyy3fHnAhWPC-wKHS1tC5U4ChDoATAFegQIChAB#v=onepage&q=Viktor%20Orban%20parents&f=false,https://www.journalofdemocracy.org/articles/explaining-eastern-europe-orbans-laboratory-of-illiberalism/,3,1963,1963-05-31,75325,103,7,60,HUN,HUN.7_1,HUN.7.10_1,Degree in law,7,.,.
Israel,ISR,Netanyahu,M,Regular,Regular,1996-06-18,1999-07-06,1113 days,3.05,37.0,1996,1999,Israel,Tel Aviv,.,Tel Aviv,.,Asia,32.08087921142578,34.78057098388672,Tel-Aviv,0,Jew,.,Ashkenazim (Jewish),.,"https://www.ynetnews.com/articles/0,7340,L-4807687,00.html",https://www.timesofisrael.com/netanyahu-reveals-roots-go-back-to-spain/,2,1949,1949-10-21,127694,111,7,.,ISR,ISR.7_1,.,Master´s degree in business administration,7,only admin level 1 for Israel in GADM,Sephardic and Ashkenazi
Israel,ISR,Netanyahu,M,Regular,Still in Office,2009-03-31,2020-12-31,4293 days,11.76,141.0,2009,2020,Israel,Tel Aviv,.,Tel Aviv,.,Asia,32.08087921142578,34.78057098388672,Tel-Aviv,0,Jew,.,Ashkenazim (Jewish),.,"https://www.ynetnews.com/articles/0,7340,L-4807687,00.html",https://www.timesofisrael.com/netanyahu-reveals-roots-go-back-to-spain/,2,1949,1949-10-21,127694,111,7,.,ISR,ISR.7_1,.,Master´s degree in business administration,7,only admin level 1 for Israel in GADM,Sephardic and Ashkenazi
Italy,ITA,Amato,M,Regular,Regular,1992-06-28,1993-04-29,305 days,0.84,10.0,1992,1993,Italy,Piemonte,Torino,Piemonte,Torino,Europe,45.06666564941406,7.699999809265137,Piedmont,0,Italian,.,Italians,.,http://www.italyonthisday.com/2018/05/giuliano-amato-politician-Italian-prime-minister.html,https://prabook.com/web/giuliano.amato/724854,2,1938,1938-05-13,92699,112,13,69,ITA,ITA.13_1,ITA.13.6_1,PhD in law,8,.,.
Italy,ITA,Berlusconi,M,Regular,Regular,1994-05-11,1995-01-17,251 days,0.69,8.0,1994,1995,Italy,Lombardia,Milano,Lombardia,Milano,Europe,45.46666717529297,9.183333396911621,Milan,0,Italian,.,Italians,.,https://www.welt.de/newsticker/dpa_nt/infoline_nt/thema_nt/article13706009/Steckbrief-Silvio-Berlusconi-der-Cavaliere.html,http://www.lessentiel.lu/de/news/story/jetzt-reicht-es-mit-den-ohrfeigen-14404276,3,1936,1936-09-29,89699,112,10,52,ITA,ITA.10_1,ITA.10.8_1,Degree in law (licencia),6,.,.
Italy,ITA,Prodi,M,Regular,Regular,1996-05-18,1998-10-21,886 days,2.43,29.0,1996,1998,Italy,Emilia-Romagna,Reggio Nell'Emilia,Emilia-Romagna,Reggio Nell'Emilia,Europe,44.59722137451172,10.691666603088379,Scandiano,0,Italian,.,Italians,.,https://www.geni.com/people/Mario-Prodi/6000000068367670906,http://www-history.mcs.st-and.ac.uk/Biographies/Prodi.html,3,1939,1939-08-09,96021,112,6,30,ITA,ITA.6_1,ITA.6.8_1,PhD in economics,8,.,.
Italy,ITA,Amato,M,Regular,Regular,2000-04-26,2001-06-11,411 days,1.13,14.0,2000,2001,Italy,Piemonte,Torino,Piemonte,Torino,Europe,45.06666564941406,7.699999809265137,Piedmont,0,Italian,.,Italians,.,http://www.italyonthisday.com/2018/05/giuliano-amato-politician-Italian-prime-minister.html,https://prabook.com/web/giuliano.amato/724854,2,1938,1938-05-13,92699,112,13,69,ITA,ITA.13_1,ITA.13.6_1,PhD in law,8,.,.
Italy,ITA,Berlusconi,M,Regular,Regular,2001-06-11,2006-05-17,1801 days,4.93,59.0,2001,2006,Italy,Lombardia,Milano,Lombardia,Milano,Europe,45.46666717529297,9.183333396911621,Milan,0,Italian,.,Italians,.,https://www.welt.de/newsticker/dpa_nt/infoline_nt/thema_nt/article13706009/Steckbrief-Silvio-Berlusconi-der-Cavaliere.html,http://www.lessentiel.lu/de/news/story/jetzt-reicht-es-mit-den-ohrfeigen-14404276,3,1936,1936-09-29,89699,112,10,52,ITA,ITA.10_1,ITA.10.8_1,Degree in law (licencia),6,.,.
Italy,ITA,Prodi,M,Regular,Regular,2006-05-17,2008-05-08,722 days,1.98,24.0,2006,2008,Italy,Emilia-Romagna,Reggio Nell'Emilia,Emilia-Romagna,Reggio Nell'Emilia,Europe,44.59722137451172,10.691666603088379,Scandiano,0,Italian,.,Italians,.,https://www.geni.com/people/Mario-Prodi/6000000068367670906,http://www-history.mcs.st-and.ac.uk/Biographies/Prodi.html,3,1939,1939-08-09,96021,112,6,30,ITA,ITA.6_1,ITA.6.8_1,PhD in economics,8,.,.
Italy,ITA,Berlusconi,M,Regular,Regular,2008-05-08,2011-11-16,1287 days,3.53,42.0,2008,2011,Italy,Lombardia,Milano,Lombardia,Milano,Europe,45.46666717529297,9.183333396911621,Milan,0,Italian,.,Italians,.,https://www.welt.de/newsticker/dpa_nt/infoline_nt/thema_nt/article13706009/Steckbrief-Silvio-Berlusconi-der-Cavaliere.html,http://www.lessentiel.lu/de/news/story/jetzt-reicht-es-mit-den-ohrfeigen-14404276,3,1936,1936-09-29,89699,112,10,52,ITA,ITA.10_1,ITA.10.8_1,Degree in law (licencia),6,.,.
Japan,JPN,Shinzo Abe,M,Regular,Regular,2006-09-26,2007-09-26,365 days,1.0,12.0,2006,2007,Japan,Tokyo,Nakano,Tokyo,Nakano,Asia,35.68949890136719,139.69171142578125,Tokyo,0,Japanese,.,Japanese,.,https://www.britannica.com/biography/Abe-Shinzo,.,2,1954,1954-09-21,183839,114,41,1651,JPN,JPN.41_1,JPN.41.38_1,Bachelor´s degree in political science,6,.,.
Japan,JPN,Shinzo Abe,M,Regular,Retired Due to Ill Health,2012-12-26,2020-09-16,2821 days,7.73,93.0,2012,2020,Japan,Tokyo,Nakano,Tokyo,Nakano,Asia,35.68949890136719,139.69171142578125,Tokyo,0,Japanese,.,Japanese,.,https://www.britannica.com/biography/Abe-Shinzo,.,2,1954,1954-09-21,183839,114,41,1651,JPN,JPN.41_1,JPN.41.38_1,Bachelor´s degree in political science,6,.,.
Latvia,LAT,Godmanis,M,Regular,Regular,1990-05-03,1993-08-03,1188 days,3.25,39.0,1990,1993,Latvia,Riga,Riga,Riga,Riga,Europe,56.948890686035156,24.106388092041016,Riga,0,Latvian,.,Latvians,.,https://www.riseba.lv/lv/studentiem/bakalaura-programmas/eiropas-biznesa-studijas/pasniedzeji,https://pantheon.world/profile/person/Ivars_Godmanis/,3,1951,1951-11-27,36424,124,3,14,LVA,LVA.3_1,LVA.3.3_1,PhD in physics (Dr. rer. nat.),8,.,Assessment of ethnicity is based on nationality/skin color.
Latvia,LAT,Godmanis,M,Regular,Regular,2007-12-20,2009-03-12,448 days,1.23,15.0,2007,2009,Latvia,Riga,Riga,Riga,Riga,Europe,56.948890686035156,24.106388092041016,Riga,0,Latvian,.,Latvians,.,https://www.riseba.lv/lv/studentiem/bakalaura-programmas/eiropas-biznesa-studijas/pasniedzeji,https://pantheon.world/profile/person/Ivars_Godmanis/,3,1951,1951-11-27,36424,124,3,14,LVA,LVA.3_1,LVA.3.3_1,PhD in physics (Dr. rer. nat.),8,.,Assessment of ethnicity is based on nationality/skin color.
Lithuania,LIT,Adamkus,M,Regular,Regular,1998-02-26,2003-02-25,1825 days,5.0,60.0,1998,2003,Lithuania,Kauno,Kauno,Kauno,Kauno,Europe,54.897220611572266,23.886110305786133,Kaunas,0,Lithuanian,.,Lithuanians,.,https://en.wikipedia.org/wiki/Valdas_Adamkus,https://www.delfi.lt/temos/valdas-adamkus-en,3,1926,1926-11-03,37032,130,2,8,LTU,LTU.2_1,LTU.2.4_1,Degree in civil engineering,6,.,Assessment of ethnicity is based on nationality/skin color.
Lithuania,LIT,Adamkus,M,Regular,Regular,2004-07-12,2009-07-12,1826 days,5.0,60.0,2004,2009,Lithuania,Kauno,Kauno,Kauno,Kauno,Europe,54.897220611572266,23.886110305786133,Kaunas,0,Lithuanian,.,Lithuanians,.,https://en.wikipedia.org/wiki/Valdas_Adamkus,https://www.delfi.lt/temos/valdas-adamkus-en,3,1926,1926-11-03,37032,130,2,8,LTU,LTU.2_1,LTU.2.4_1,Degree in civil engineering,6,.,Assessment of ethnicity is based on nationality/skin color.
Norway,NOR,Brundtland,F,Regular,Regular,1986-05-09,1989-10-16,1256 days,3.44,41.0,1986,1989,Norway,Akershus,Bærum,Akershus,Bærum,Europe,59.938331604003906,10.506667137145996,Bærum,0,Norwegian,Swedish,Norwegians,.,https://www.britannica.com/biography/Gro-Harlem-Brundtland,https://www.geni.com/people/Gro-Harlem-Brundtland/6000000011078003591,2,1939,1939-04-20,31005,169,1,4,NOR,NOR.1_1,NOR.1.4_1,Master´s degree in public health,7,.,Assessment of ethnicity is based on nationality/skin color.
Norway,NOR,Brundtland,F,Regular,Regular,1990-11-03,1996-10-25,2183 days,5.98,72.0,1990,1996,Norway,Akershus,Bærum,Akershus,Bærum,Europe,59.938331604003906,10.506667137145996,Bærum,0,Norwegian,Swedish,Norwegians,.,https://www.britannica.com/biography/Gro-Harlem-Brundtland,https://www.geni.com/people/Gro-Harlem-Brundtland/6000000011078003591,2,1939,1939-04-20,31005,169,1,4,NOR,NOR.1_1,NOR.1.4_1,Master´s degree in public health,7,.,Assessment of ethnicity is based on nationality/skin color.
Norway,NOR,Bondevik,M,Regular,Regular,1997-10-17,1998-08-30,317 days,0.87,10.0,1997,1998,Norway,Møre og Romsdal,Molde,Møre og Romsdal,Molde,Europe,62.73807144165039,7.158820152282715,Molde,0,Norwegian,.,Norwegians,.,https://www.notablebiographies.com/supp/Supplement-A-Bu-and-Obituaries/Bondevik-Kjell-Magne.html,https://www.encyclopedia.com/people/history/scandinavian-history-biographies/kjell-magne-bondevik,3,1947,1947-09-03,30403,169,8,170,NOR,NOR.8_1,NOR.8.16_1,Degree in theology (cand. theol.),6,.,Assessment of ethnicity is based on nationality/skin color.
Norway,NOR,Bondevik,M,Regular,Regular,1998-09-24,2000-03-17,540 days,1.48,18.0,1998,2000,Norway,Møre og Romsdal,Molde,Møre og Romsdal,Molde,Europe,62.73807144165039,7.158820152282715,Molde,0,Norwegian,.,Norwegians,.,https://www.notablebiographies.com/supp/Supplement-A-Bu-and-Obituaries/Bondevik-Kjell-Magne.html,https://www.encyclopedia.com/people/history/scandinavian-history-biographies/kjell-magne-bondevik,3,1947,1947-09-03,30403,169,8,170,NOR,NOR.8_1,NOR.8.16_1,Degree in theology (cand. theol.),6,.,Assessment of ethnicity is based on nationality/skin color.
Norway,NOR,Bondevik,M,Regular,Regular,2001-10-19,2005-10-17,1459 days,4.0,48.0,2001,2005,Norway,Møre og Romsdal,Molde,Møre og Romsdal,Molde,Europe,62.73807144165039,7.158820152282715,Molde,0,Norwegian,.,Norwegians,.,https://www.notablebiographies.com/supp/Supplement-A-Bu-and-Obituaries/Bondevik-Kjell-Magne.html,https://www.encyclopedia.com/people/history/scandinavian-history-biographies/kjell-magne-bondevik,3,1947,1947-09-03,30403,169,8,170,NOR,NOR.8_1,NOR.8.16_1,Degree in theology (cand. theol.),6,.,Assessment of ethnicity is based on nationality/skin color.
Poland,POL,Komorowski,M,Regular,Regular,2010-04-10,2010-07-08,89 days,0.24,3.0,2010,2010,Poland,Dolnoslaskie,Trzebnica,Dolnoslaskie,Trzebnica,Europe,51.301368713378906,16.914649963378906,Oborniki ?l?skie,0,Polish,.,Poles,.,"https://archive.ph/20130416090357/http://www.newsweek.pl/artykuly/sekcje/polska/bronislaw-komorowski--czlowiek--ktory-plynie-z-pradem,55444,1",https://www.britannica.com/biography/Bronislaw-Komorowski,2,1952,1952-06-04,43986,181,1,22,POL,POL.1_1,POL.1.22_1,.,6,.,.
Poland,POL,Komorowski,M,Regular,Regular,2010-08-06,2015-08-06,1826 days,5.0,60.0,2010,2015,Poland,Dolnoslaskie,Trzebnica,Dolnoslaskie,Trzebnica,Europe,51.301368713378906,16.914649963378906,Oborniki ?l?skie,0,Polish,.,Poles,.,"https://archive.ph/20130416090357/http://www.newsweek.pl/artykuly/sekcje/polska/bronislaw-komorowski--czlowiek--ktory-plynie-z-pradem,55444,1",https://www.britannica.com/biography/Bronislaw-Komorowski,2,1952,1952-06-04,43986,181,1,22,POL,POL.1_1,POL.1.22_1,.,6,.,.
Slovenia,SLV,Drnovsek,M,Regular,Regular,1992-05-14,2000-05-03,2911 days,7.98,96.0,1992,2000,Slovenia,Savinjska,Celje,Savinjska,Celje,Europe,46.230918884277344,15.2604398727417,Celje,0,Slovenian,.,Slovenes,.,https://www.independent.co.uk/news/obituaries/janez-drnovsek-slovenian-president-who-achieved-membership-of-the-eu-and-nato-for-the-former-786789.html,https://www.britannica.com/biography/Janez-Drnovsek,3,1950,1950-05-17,83304,208,10,157,SVN,SVN.10_1,SVN.10.3_1,PhD in economics,8,.,Assessment of ethnicity is based on nationality/skin color.
Slovenia,SLV,Drnovsek,M,Regular,Regular,2000-11-17,2002-12-11,754 days,2.07,25.0,2000,2002,Slovenia,Savinjska,Celje,Savinjska,Celje,Europe,46.230918884277344,15.2604398727417,Celje,0,Slovenian,.,Slovenes,.,https://www.independent.co.uk/news/obituaries/janez-drnovsek-slovenian-president-who-achieved-membership-of-the-eu-and-nato-for-the-former-786789.html,https://www.britannica.com/biography/Janez-Drnovsek,3,1950,1950-05-17,83304,208,10,157,SVN,SVN.10_1,SVN.10.3_1,PhD in economics,8,.,Assessment of ethnicity is based on nationality/skin color.
Slovenia,SLV,Janez Jansa,M,Regular,Regular,2004-11-09,2008-11-21,1473 days,4.04,48.0,2004,2008,Slovenia,Osrednjeslovenska,Grosuplje,Osrednjeslovenska,Grosuplje,Europe,45.95555877685547,14.658889770507812,Grosuplje,0,Slovenian,.,Slovenes,.,"Janez Jana, Okopi (Ljubljana: Mladinska knjiga, 1994)",https://peoplepill.com/people/janez-jansa/,2,1958,1958-09-17,85607,208,7,77,SVN,SVN.7_1,SVN.7.7_1,Degree in defence studies (diploma),6,.,.
Slovenia,SLV,Janez Jansa,M,Regular,Regular,2012-02-10,2013-03-20,404 days,1.11,13.0,2012,2013,Slovenia,Osrednjeslovenska,Grosuplje,Osrednjeslovenska,Grosuplje,Europe,45.95555877685547,14.658889770507812,Grosuplje,0,Slovenian,.,Slovenes,.,"Janez Jana, Okopi (Ljubljana: Mladinska knjiga, 1994)",https://peoplepill.com/people/janez-jansa/,2,1958,1958-09-17,85607,208,7,77,SVN,SVN.7_1,SVN.7.7_1,Degree in defence studies (diploma),6,.,.
Slovenia,SLV,Janez Jansa,M,Regular,Still in Office,2020-03-13,2020-12-31,293 days,0.8,10.0,2020,2020,Slovenia,Osrednjeslovenska,Grosuplje,Osrednjeslovenska,Grosuplje,Europe,45.95555877685547,14.658889770507812,Grosuplje,0,Slovenian,.,Slovenes,.,"Janez Jana, Okopi (Ljubljana: Mladinska knjiga, 1994)",https://peoplepill.com/people/janez-jansa/,2,1958,1958-09-17,85607,208,7,77,SVN,SVN.7_1,SVN.7.7_1,Degree in defence studies,6,.,.
Sweden,SWD,Carlsson,M,Regular,Regular,1986-03-12,1991-10-30,2058 days,5.64,68.0,1986,1991,Sweden,Västra Götaland,Borås,Västra Götaland,Borås,Europe,57.72100830078125,12.940099716186523,Borås,0,Swedish,.,Swedes,.,http://runeberg.org/vemardet/1993/0201.html,https://www.nndb.com/people/736/000165241/,3,1934,1934-11-09,35492,222,21,245,SWE,SWE.21_1,SWE.21.6_1,Master´s degree in political science,7,.,Assessment of ethnicity is based on nationality/skin color.
Sweden,SWD,Carlsson,M,Regular,Regular,1994-10-07,1996-03-21,531 days,1.45,17.0,1994,1996,Sweden,Västra Götaland,Borås,Västra Götaland,Borås,Europe,57.72100830078125,12.940099716186523,Borås,0,Swedish,.,Swedes,.,http://runeberg.org/vemardet/1993/0201.html,https://www.nndb.com/people/736/000165241/,3,1934,1934-11-09,35492,222,21,245,SWE,SWE.21_1,SWE.21.6_1,Master´s degree in political science,7,.,Assessment of ethnicity is based on nationality/skin color.
Switzerland,SWZ,Delamuraz,M,Regular,Regular,1989-01-01,1989-12-31,364 days,1.0,12.0,1989,1989,Switzerland,Vaud,Pays-d'Enhaut,Vaud,Pays-d'Enhaut,Europe,46.462989807128906,6.84345006942749,Vevey,0,French,German,French,Germans,https://www.nytimes.com/1998/10/05/world/jean-pascal-delamuraz-62-ex-swiss-chief.html,.,3,1936,1936-04-01,82241,223,24,155,CHE,CHE.24_1,CHE.24.10_1,Degree in political science,7,.,.
Switzerland,SWZ,Ogi,M,Regular,Regular,1993-01-01,1993-12-31,364 days,1.0,12.0,1993,1993,Switzerland,Bern,Frutigen,Bern,Frutigen,Europe,46.49467086791992,7.67326021194458,Kandersteg,0,German,.,Germans,.,https://web.archive.org/web/20150124192554/http://www.parlament.ch/d/wahlen-abstimmungen/wahlen-im-parlament/bundesratswahlen/ruecktritt-adolf-ogi/Seiten/lebenslauf-adolf-ogi.aspx,https://premium-speakers.com/en/speaker-presenter/adolf-ogi/,3,1942,1942-07-18,81959,223,6,31,CHE,CHE.6_1,CHE.6.10_1,Trade school degree,4,.,Assessment of ethnicity is based on nationality/skin color.
Switzerland,SWZ,Delamuraz,M,Regular,Regular,1996-01-01,1996-12-31,365 days,1.0,12.0,1996,1996,Switzerland,Vaud,Pays-d'Enhaut,Vaud,Pays-d'Enhaut,Europe,46.462989807128906,6.84345006942749,Vevey,0,French,German,French,Germans,https://www.nytimes.com/1998/10/05/world/jean-pascal-delamuraz-62-ex-swiss-chief.html,.,3,1936,1936-04-01,82241,223,24,155,CHE,CHE.24_1,CHE.24.10_1,Degree in political science,7,.,.
Switzerland,SWZ,Ogi,M,Regular,Regular,2000-01-01,2000-12-31,365 days,1.0,12.0,2000,2000,Switzerland,Bern,Frutigen,Bern,Frutigen,Europe,46.49467086791992,7.67326021194458,Kandersteg,0,German,.,Germans,.,https://web.archive.org/web/20150124192554/http://www.parlament.ch/d/wahlen-abstimmungen/wahlen-im-parlament/bundesratswahlen/ruecktritt-adolf-ogi/Seiten/lebenslauf-adolf-ogi.aspx,https://premium-speakers.com/en/speaker-presenter/adolf-ogi/,3,1942,1942-07-18,81959,223,6,31,CHE,CHE.6_1,CHE.6.10_1,Trade school degree,4,.,Assessment of ethnicity is based on nationality/skin color.
