Order,Title,Author,Pages,URL,gender,type,Subgenre,Avg GoodReads Rating,Started,date,Faves
23,Someone Who Will Love You In All Your Damaged Glory,Rafael Bob Waksberg,256,https://www.goodreads.com/book/show/41949311-someone-who-will-love-you-in-all-your-damaged-glory?ac=1&from_search=true&qid=Kr9sKqWCXh&rank=1,M,Fiction,Short Stories,4.16,7/8,7/10,Y
24,The Masters Tools Will Never DIsmantle The Master's House,Audre Lorde,64,https://www.goodreads.com/en/book/show/38598541-the-master-s-tools-will-never-dismantle-the-master-s-house,F,Non Fiction,Essays,4.46,7/15,7/17,Y
25,Attached,"Amir Levine, Rachel SF Heller",304,https://www.goodreads.com/book/show/9547888-attached?from_search=true&from_srp=true&qid=kdP4IdRQnC&rank=1,F,Non Fiction,Psychology,4.14,7/31,8/3,
26,Listen to the Marriage,John Jay Osborn,256,https://www.goodreads.com/book/show/37941728-listen-to-the-marriage?ac=1&from_search=true&qid=iy2rwd6WTj&rank=1,M,Fiction,Contemporary,3.51,8/6,8/15,
27,Jung: A Very Short Introduction,Andrew Stevens,192,https://www.goodreads.com/book/show/297554.Jung?from_search=true&from_srp=true&qid=Jim8gejEr2&rank=1,M,Non Fiction,History,4.07,9/7,9/16,
28,The First Bad Man,Miranda July,288,https://www.goodreads.com/book/show/21412400-the-first-bad-man?from_search=true&from_srp=true&qid=8h7sxqtWHM&rank=1,F,Fiction,Contemporary,3.62,9/16,9/20,Y
29,The Drama of the Gifted Child,Alice Miller,144,https://www.goodreads.com/book/show/24204222-the-drama-of-the-gifted-child?utm_content=review_cta_book_image&utm_medium=email&utm_source=bookend&ref_=pe_7171740_474197500,F,Non Fiction,Psychology,4.1,9/27,10/1,
30,Don't Call us Dead: Poems,Danez Smith,101,https://www.goodreads.com/book/show/35422441-don-t-call-us-dead?from_search=true&from_srp=true&qid=8qdAhd4Vlp&rank=1,M,Poetry,LGBT,4.52,10/1,10/6,Y
31,Tender is the Night,F. Scott Fitzgerald,315,https://www.goodreads.com/book/show/46164.Tender_Is_the_Night?from_search=true&from_srp=true&qid=B8eLWQQKSX&rank=1,M,Fiction,Classic,3.81,10/10,11/7,Y
32,"Heather, The Totality",Matthew Weiner,144,https://www.goodreads.com/book/show/31933063-heather-the-totality?ac=1&from_search=true&qid=MvG8rzSUME&rank=1,M,Fiction,Contemporary,2.93,11/7,11/9,
33,What We Talk About When We Talk About Love,Raymond Carver,159,https://www.goodreads.com/book/show/11438.What_We_Talk_About_When_We_Talk_About_Love?from_search=true&from_srp=true&qid=5G4xkS3EQg&rank=1,M,Fiction,Short Stories,4.15,10/6,10/31,
34,Never Split the Difference,Chris Voss,274,https://www.goodreads.com/book/show/26156469-never-split-the-difference?from_search=true&from_srp=true&qid=umiLanQLHO&rank=1,M,Non Fiction,Business,4.4,11/11,11/26,
35,Rapture,Susan Minot,,https://www.goodreads.com/book/show/40056.Rapture,F,Fiction,Romance,2.96,12/2,12/3,
36,The Middle Passage,James Hollis,127,https://www.goodreads.com/book/show/47849.The_Middle_Passage?from_search=true&from_srp=true&qid=ot6aI40sSB&rank=1,M,Non Fiction,Psychology,4.44,12/15,12/18,Y
37,Intimacy,Hanif Kureishi,155,https://www.goodreads.com/book/show/153418.Intimacy,M,Fiction,Contemporary,3.6,12/21,12/22,
38,No One Asked for This: Essays,Cazzie David,352,https://www.goodreads.com/book/show/48930274-no-one-asked-for-this?from_search=true&from_srp=true&qid=oVY5dHZfxR&rank=1,F,Non Fiction,Essays,3.53,11/27,12/25,
39,Self-Help,Lorrie Moore,163,https://www.goodreads.com/book/show/90872.Self_Help,F,Fiction,Short Stories,4.19,12/26,12/27,Y
