fips,county_name,state_abbr,population,year
51019,Bedford County,VA,45656,1990
32023,Nye County,NV,17781,1990
47119,Maury County,TN,54812,1990
05051,Garland County,AR,73397,1990
48381,Randall County,TX,89673,1990
24015,Cecil County,MD,71347,1990
06101,Sutter County,CA,64415,1990
32019,Lyon County,NV,20001,1990
01101,Montgomery County,AL,209085,1990
27145,Stearns County,MN,118791,1990
53007,Chelan County,WA,52250,1990
01125,Tuscaloosa County,AL,150522,1990
47011,Bradley County,TN,73712,1990
29097,Jasper County,MO,90465,1990
49043,Summit County,UT,15518,1990
34019,Hunterdon County,NJ,107776,1990
29213,Taney County,MO,25561,1990
49045,Tooele County,UT,26601,1990
48497,Wise County,TX,34679,1990
35031,McKinley County,NM,60686,1990
42043,Dauphin County,PA,237813,1990
12023,Columbia County,FL,42613,1990
13059,Clarke County,GA,87594,1990
51199,York County,VA,42422,1990
45015,Berkeley County,SC,128776,1990
08043,Fremont County,CO,32273,1990
47113,Madison County,TN,77982,1990
08045,Garfield County,CO,29974,1990
55101,Racine County,WI,175034,1990
12089,Nassau County,FL,43941,1990
47167,Tipton County,TN,37568,1990
21029,Bullitt County,KY,47567,1990
32005,Douglas County,NV,27637,1990
05085,Lonoke County,AR,39268,1990
44009,Washington County,RI,110006,1990
39093,Lorain County,OH,271126,1990
06057,Nevada County,CA,78510,1990
06055,Napa County,CA,110765,1990
13039,Camden County,GA,30167,1990
51069,Frederick County,VA,45723,1990
37109,Lincoln County,NC,50319,1990
37023,Burke County,NC,75744,1990
26055,Grand Traverse County,MI,64273,1990
21151,Madison County,KY,57508,1990
45035,Dorchester County,SC,83060,1990
40017,Canadian County,OK,74409,1990
51095,James City County,VA,34859,1990
34037,Sussex County,NJ,130943,1990
29071,Franklin County,MO,80603,1990
05031,Craighead County,AR,68956,1990
26087,Lapeer County,MI,74768,1990
48427,Starr County,TX,40518,1990
41033,Josephine County,OR,62649,1990
42001,Adams County,PA,78274,1990
49021,Iron County,UT,20789,1990
47147,Robertson County,TN,41494,1990
21185,Oldham County,KY,33263,1990
55109,St. Croix County,WI,50251,1990
37163,Sampson County,NC,47297,1990
13031,Bulloch County,GA,43125,1990
12131,Walton County,FL,27760,1990
41053,Polk County,OR,49541,1990
55105,Rock County,WI,139510,1990
48245,Jefferson County,TX,239397,1990
51650,Hampton city,VA,133793,1990
05145,White County,AR,54676,1990
36111,Ulster County,NY,165304,1990
26115,Monroe County,MI,133600,1990
48231,Hunt County,TX,64343,1990
37141,Pender County,NC,28855,1990
22015,Bossier Parish,LA,86088,1990
48221,Hood County,TX,28981,1990
47035,Cumberland County,TN,34736,1990
32510,Carson City,NV,40443,1990
39085,Lake County,OH,215499,1990
48325,Medina County,TX,27312,1990
42027,Centre County,PA,123786,1990
09007,Middlesex County,CT,143196,1990
53021,Franklin County,WA,37473,1990
13103,Effingham County,GA,25687,1990
41043,Linn County,OR,91227,1990
05119,Pulaski County,AR,349660,1990
36079,Putnam County,NY,83941,1990
01009,Blount County,AL,39248,1990
32007,Elko County,NV,33530,1990
08067,La Plata County,CO,32284,1990
18105,Monroe County,IN,108978,1990
13157,Jackson County,GA,30005,1990
37045,Cleveland County,NC,84714,1990
01083,Limestone County,AL,54135,1990
51800,Suffolk city,VA,52141,1990
24047,Worcester County,MD,35028,1990
45059,Laurens County,SC,58092,1990
48053,Burnet County,TX,22677,1990
45041,Florence County,SC,114344,1990
01095,Marshall County,AL,70832,1990
53029,Island County,WA,60195,1990
41059,Umatilla County,OR,59249,1990
47089,Jefferson County,TN,33016,1990
26121,Muskegon County,MI,158983,1990
28045,Hancock County,MS,31760,1990
51003,Albemarle County,VA,68040,1990
39057,Greene County,OH,136731,1990
04007,Gila County,AZ,40216,1990
53045,Mason County,WA,38341,1990
13313,Whitfield County,GA,72462,1990
30081,Ravalli County,MT,25010,1990
17037,DeKalb County,IL,77932,1990
01103,Morgan County,AL,100043,1990
19049,Dallas County,IA,29755,1990
17007,Boone County,IL,30806,1990
47141,Putnam County,TN,51373,1990
51015,Augusta County,VA,54677,1990
48323,Maverick County,TX,36378,1990
27035,Crow Wing County,MN,44249,1990
37069,Franklin County,NC,36414,1990
48471,Walker County,TX,50917,1990
34041,Warren County,NJ,91607,1990
53015,Cowlitz County,WA,82119,1990
13047,Catoosa County,GA,42464,1990
37093,Hoke County,NC,22856,1990
26045,Eaton County,MI,92879,1990
18109,Morgan County,IN,55920,1990
48099,Coryell County,TX,64213,1990
05033,Crawford County,AR,42493,1990
37127,Nash County,NC,76677,1990
16083,Twin Falls County,ID,53580,1990
08117,Summit County,CO,12881,1990
27025,Chisago County,MN,30521,1990
37037,Chatham County,NC,38759,1990
17167,Sangamon County,IL,178386,1990
24043,Washington County,MD,121393,1990
01073,Jefferson County,AL,651525,1990
39151,Stark County,OH,367585,1990
48373,Polk County,TX,30687,1990
12051,Hendry County,FL,25773,1990
55073,Marathon County,WI,115400,1990
35035,Otero County,NM,51928,1990
13213,Murray County,GA,26147,1990
16019,Bonneville County,ID,72207,1990
24045,Wicomico County,MD,74339,1990
48005,Angelina County,TX,69884,1990
51165,Rockingham County,VA,57482,1990
24037,St. Mary's County,MD,75974,1990
08039,Elbert County,CO,9646,1990
16017,Bonner County,ID,26622,1990
48467,Van Zandt County,TX,37944,1990
28081,Lee County,MS,65581,1990
37077,Granville County,NC,38345,1990
51700,Newport News city,VA,170045,1990
39169,Wayne County,OH,101461,1990
13123,Gilmer County,GA,13368,1990
13245,Richmond County,GA,189719,1990
29113,Lincoln County,MO,28892,1990
28109,Pearl River County,MS,38714,1990
01043,Cullman County,AL,67613,1990
18059,Hancock County,IN,45527,1990
37049,Craven County,NC,81613,1990
01049,DeKalb County,AL,54651,1990
39055,Geauga County,OH,81129,1990
51660,Harrisonburg city,VA,30707,1990
48493,Wilson County,TX,22650,1990
48469,Victoria County,TX,74361,1990
51121,Montgomery County,VA,73913,1990
17119,Madison County,IL,249238,1990
26123,Newaygo County,MI,38202,1990
40145,Wagoner County,OK,47883,1990
29209,Stone County,MO,19078,1990
29029,Camden County,MO,27495,1990
16005,Bannock County,ID,66026,1990
37171,Surry County,NC,61704,1990
45043,Georgetown County,SC,46302,1990
55089,Ozaukee County,WI,72831,1990
39133,Portage County,OH,142585,1990
47163,Sullivan County,TN,143596,1990
01001,Autauga County,AL,34222,1990
21117,Kenton County,KY,142031,1990
48329,Midland County,TX,106611,1990
55027,Dodge County,WI,76559,1990
13115,Floyd County,GA,81251,1990
48485,Wichita County,TX,122378,1990
38015,Burleigh County,ND,60131,1990
21125,Laurel County,KY,43438,1990
48473,Waller County,TX,23390,1990
53041,Lewis County,WA,59358,1990
55063,La Crosse County,WI,97904,1990
21209,Scott County,KY,23867,1990
48259,Kendall County,TX,14589,1990
53065,Stevens County,WA,30948,1990
37061,Duplin County,NC,39995,1990
45055,Kershaw County,SC,43599,1990
13129,Gordon County,GA,35072,1990
08085,Montrose County,CO,24423,1990
40041,Delaware County,OK,28070,1990
47073,Hawkins County,TN,44565,1990
18089,Lake County,IN,475594,1990
39159,Union County,OH,31969,1990
20015,Butler County,KS,50580,1990
20177,Shawnee County,KS,160976,1990
02122,Kenai Peninsula Borough,AK,40802,1990
13179,Liberty County,GA,52745,1990
47021,Cheatham County,TN,27140,1990
55117,Sheboygan County,WI,103877,1990
18085,Kosciusko County,IN,65294,1990
54079,Putnam County,WV,42835,1990
26073,Isabella County,MI,54624,1990
45073,Oconee County,SC,57494,1990
04023,Santa Cruz County,AZ,29676,1990
46083,Lincoln County,SD,15427,1990
18019,Clark County,IN,87777,1990
26075,Jackson County,MI,149756,1990
37191,Wayne County,NC,104666,1990
12129,Wakulla County,FL,14202,1990
28073,Lamar County,MS,30424,1990
13219,Oconee County,GA,17618,1990
05115,Pope County,AR,45883,1990
06009,Calaveras County,CA,31998,1990
13227,Pickens County,GA,14432,1990
21113,Jessamine County,KY,30508,1990
12075,Levy County,FL,25923,1990
21211,Shelby County,KY,24824,1990
13177,Lee County,GA,16250,1990
40021,Cherokee County,OK,34049,1990
56021,Laramie County,WY,73142,1990
47123,Monroe County,TN,30541,1990
18113,Noble County,IN,37877,1990
48409,San Patricio County,TX,58749,1990
34011,Cumberland County,NJ,138053,1990
12027,DeSoto County,FL,23865,1990
51083,Halifax County,VA,29033,1990
01077,Lauderdale County,AL,79661,1990
13137,Habersham County,GA,27621,1990
33003,Carroll County,NH,35410,1990
55111,Sauk County,WI,46975,1990
42055,Franklin County,PA,121082,1990
30049,Lewis and Clark County,MT,47495,1990
26117,Montcalm County,MI,53059,1990
29145,Newton County,MO,44445,1990
09005,Litchfield County,CT,174092,1990
48013,Atascosa County,TX,30533,1990
47043,Dickson County,TN,35061,1990
08119,Teller County,CO,12468,1990
12121,Suwannee County,FL,26780,1990
53009,Clallam County,WA,56464,1990
45021,Cherokee County,SC,44506,1990
33017,Strafford County,NH,104233,1990
13029,Bryan County,GA,15438,1990
18011,Boone County,IN,38147,1990
55035,Eau Claire County,WI,85183,1990
29027,Callaway County,MO,32809,1990
16039,Elmore County,ID,21205,1990
04001,Apache County,AZ,61591,1990
47105,Loudon County,TN,31255,1990
13069,Coffee County,GA,29592,1990
29051,Cole County,MO,63579,1990
39173,Wood County,OH,113269,1990
42127,Wayne County,PA,39944,1990
18005,Bartholomew County,IN,63657,1990
21179,Nelson County,KY,29710,1990
37195,Wilson County,NC,66061,1990
51067,Franklin County,VA,39549,1990
19163,Scott County,IA,150979,1990
06033,Lake County,CA,50631,1990
47031,Coffee County,TN,40339,1990
37105,Lee County,NC,41374,1990
09013,Tolland County,CT,128699,1990
47063,Hamblen County,TN,50480,1990
48037,Bowie County,TX,81665,1990
51065,Fluvanna County,VA,12429,1990
17091,Kankakee County,IL,96255,1990
22109,Terrebonne Parish,LA,96982,1990
37169,Stokes County,NC,37223,1990
27131,Rice County,MN,49183,1990
18173,Warrick County,IN,44920,1990
01069,Houston County,AL,81331,1990
20055,Finney County,KS,33070,1990
12049,Hardee County,FL,19499,1990
26091,Lenawee County,MI,91476,1990
06023,Humboldt County,CA,119118,1990
55021,Columbia County,WI,45088,1990
48499,Wood County,TX,29380,1990
22097,St. Landry Parish,LA,80331,1990
08093,Park County,CO,7174,1990
48265,Kerr County,TX,36304,1990
41003,Benton County,OR,70811,1990
39015,Brown County,OH,34966,1990
29225,Webster County,MO,23753,1990
15007,Kauai County,HI,51177,1990
18029,Dearborn County,IN,38835,1990
34009,Cape May County,NJ,95089,1990
48025,Bee County,TX,25135,1990
26111,Midland County,MI,75651,1990
46103,Pennington County,SD,81343,1990
37055,Dare County,NC,22746,1990
55039,Fond du Lac County,WI,90083,1990
05005,Baxter County,AR,31186,1990
35027,Lincoln County,NM,12219,1990
51683,Manassas city,VA,27957,1990
47003,Bedford County,TN,30411,1990
22051,Jefferson Parish,LA,448306,1990
01021,Chilton County,AL,32458,1990
33001,Belknap County,NH,49216,1990
37087,Haywood County,NC,46942,1990
48001,Anderson County,TX,48024,1990
48019,Bandera County,TX,10562,1990
56039,Teton County,WY,11172,1990
29031,Cape Girardeau County,MO,61633,1990
47059,Greene County,TN,55853,1990
51145,Powhatan County,VA,15328,1990
39083,Knox County,OH,47473,1990
13215,Muscogee County,GA,179278,1990
37059,Davie County,NC,27859,1990
13311,White County,GA,13006,1990
04009,Graham County,AZ,26554,1990
28071,Lafayette County,MS,31826,1990
35029,Luna County,NM,18110,1990
48441,Taylor County,TX,119655,1990
26037,Clinton County,MI,57883,1990
18163,Vanderburgh County,IN,165058,1990
35055,Taos County,NM,23118,1990
08029,Delta County,CO,20980,1990
45057,Lancaster County,SC,54516,1990
37031,Carteret County,NC,52556,1990
35039,Rio Arriba County,NM,34365,1990
39157,Tuscarawas County,OH,84090,1990
33009,Grafton County,NH,74929,1990
45075,Orangeburg County,SC,84803,1990
40125,Pottawatomie County,OK,58760,1990
48199,Hardin County,TX,41320,1990
53071,Walla Walla County,WA,48439,1990
29187,St. Francois County,MO,48904,1990
21199,Pulaski County,KY,49489,1990
