,date,tweet,retweet
688,2013-03-16,1.0,
689,2013-03-17,34.0,
690,2013-03-18,57.0,
691,2013-03-19,66.0,
692,2013-03-20,45.0,
693,2013-03-21,15.0,
694,2013-03-22,21.0,
695,2013-03-23,11.0,
696,2013-03-24,29.0,
697,2013-03-25,27.0,
698,2013-03-26,26.0,
699,2013-03-27,39.0,
700,2013-03-28,76.0,
701,2013-03-29,14.0,
702,2013-03-30,14.0,
703,2013-03-31,30.0,
704,2013-04-01,37.0,
705,2013-04-02,15.0,
706,2013-04-03,20.0,
707,2013-04-04,10.0,
708,2013-04-05,34.0,
709,2013-04-06,6.0,
710,2013-04-07,32.0,
711,2013-04-08,12.0,
712,2013-04-09,37.0,
713,2013-04-10,34.0,
714,2013-04-11,30.0,
715,2013-04-12,40.0,
716,2013-04-13,17.0,
717,2013-04-14,53.0,
718,2013-04-15,14.0,
719,2013-04-16,29.0,
720,2013-04-17,50.0,
721,2013-04-18,17.0,
722,2013-04-19,25.0,
723,2013-04-20,19.0,
724,2013-04-21,44.0,
725,2013-04-22,34.0,
726,2013-04-23,22.0,
727,2013-04-24,58.0,
728,2013-04-25,46.0,
729,2013-04-26,49.0,
730,2013-04-27,11.0,
731,2013-04-28,29.0,
732,2013-04-29,46.0,
733,2013-04-30,28.0,
734,2013-05-01,39.0,
735,2013-05-02,20.0,
736,2013-05-03,16.0,
737,2013-05-05,2.0,
738,2013-05-06,9.0,
739,2013-05-07,40.0,
740,2013-05-08,35.0,
741,2013-05-09,6.0,
742,2013-05-10,21.0,
743,2013-05-11,20.0,
744,2013-05-12,19.0,
745,2013-05-13,11.0,
746,2013-05-14,7.0,
747,2013-05-15,16.0,
748,2013-05-16,35.0,
749,2013-05-17,22.0,
750,2013-05-18,7.0,
751,2013-05-19,25.0,
752,2013-05-20,42.0,
753,2013-05-21,9.0,
754,2013-05-22,48.0,
755,2013-05-23,18.0,
756,2013-05-24,75.0,
757,2013-05-25,66.0,
758,2013-05-26,5.0,
759,2013-05-27,31.0,
760,2013-05-28,34.0,
761,2013-05-29,38.0,
762,2013-05-30,36.0,
763,2013-05-31,10.0,
764,2013-06-02,8.0,
765,2013-06-03,30.0,
766,2013-06-04,17.0,
767,2013-06-05,42.0,
768,2013-06-06,4.0,
769,2013-06-07,7.0,
770,2013-06-08,1.0,
771,2013-06-10,16.0,
772,2013-06-11,26.0,
773,2013-06-12,44.0,
774,2013-06-13,12.0,
775,2013-06-14,13.0,
776,2013-06-15,16.0,
777,2013-06-16,2.0,
778,2013-06-17,12.0,
779,2013-06-18,26.0,
780,2013-06-19,7.0,
781,2013-06-20,20.0,
782,2013-06-21,12.0,
783,2013-06-22,5.0,
784,2013-06-23,1.0,
785,2013-06-24,15.0,
786,2013-06-25,37.0,
787,2013-06-26,19.0,
788,2013-06-27,23.0,
789,2013-06-28,12.0,
790,2013-06-29,32.0,
791,2013-06-30,21.0,
792,2013-07-01,21.0,
793,2013-07-02,15.0,
794,2013-07-03,43.0,
