precinct,precinct_id,contest_title,all_votes,donald_j_trump,joseph_r_biden_jr,other_candidates,trump_pct,biden_pct,other_pct,winner_name,winner_votes,winning_pct,top_candidate_one,top_candidate_two,top_candidate_three,top_candidate_one_votes,top_candidate_two_votes,top_candidate_three_votes,top_candidate_one_pct,top_candidate_two_pct,top_candidate_three_pct
02025,100101,President,239.0,88.0,108.0,43.0,36.82,45.19,17.99,Joseph R Biden Jr,108.0,45.19,Joseph R Biden Jr,Donald J Trump,Nikki Haley,108.0,88.0,10.0,45.19,36.82,4.18
02030,100102,President,256.0,133.0,86.0,37.0,51.95,33.59,14.45,Donald J Trump,133.0,51.95,Donald J Trump,Joseph R Biden Jr,Nikki Haley,133.0,86.0,15.0,51.95,33.59,5.86
02031,100103,President,165.0,74.0,58.0,33.0,44.85,35.15,20.0,Donald J Trump,74.0,44.85,Donald J Trump,Joseph R Biden Jr,Dean Phillips,74.0,58.0,8.0,44.85,35.15,4.85
02033,100104,President,281.0,119.0,119.0,43.0,42.35,42.35,15.3,Tie,119.0,42.35,Donald J Trump,Joseph R Biden Jr,Nikki Haley,119.0,119.0,22.0,42.35,42.35,7.83
02038,100106,President,416.0,256.0,84.0,76.0,61.54,20.19,18.27,Donald J Trump,256.0,61.54,Donald J Trump,Joseph R Biden Jr,Nikki Haley,256.0,84.0,54.0,61.54,20.19,12.98
02042,100107,President,252.0,116.0,87.0,49.0,46.03,34.52,19.44,Donald J Trump,116.0,46.03,Donald J Trump,Joseph R Biden Jr,Nikki Haley,116.0,87.0,23.0,46.03,34.52,9.13
02047,100108,President,1624.0,768.0,575.0,281.0,47.29,35.41,17.3,Donald J Trump,768.0,47.29,Donald J Trump,Joseph R Biden Jr,Nikki Haley,768.0,575.0,172.0,47.29,35.41,10.59
02048,100109,President,738.0,342.0,250.0,146.0,46.34,33.88,19.78,Donald J Trump,342.0,46.34,Donald J Trump,Joseph R Biden Jr,Nikki Haley,342.0,250.0,100.0,46.34,33.88,13.55
02049,100110,President,578.0,323.0,172.0,83.0,55.88,29.76,14.36,Donald J Trump,323.0,55.88,Donald J Trump,Joseph R Biden Jr,Nikki Haley,323.0,172.0,50.0,55.88,29.76,8.65
02051,100111,President,1076.0,541.0,364.0,171.0,50.28,33.83,15.89,Donald J Trump,541.0,50.28,Donald J Trump,Joseph R Biden Jr,Nikki Haley,541.0,364.0,114.0,50.28,33.83,10.59
02054,100112,President,614.0,238.0,289.0,87.0,38.76,47.07,14.17,Joseph R Biden Jr,289.0,47.07,Joseph R Biden Jr,Donald J Trump,Nikki Haley,289.0,238.0,46.0,47.07,38.76,7.49
02055,100113,President,276.0,72.0,152.0,52.0,26.09,55.07,18.84,Joseph R Biden Jr,152.0,55.07,Joseph R Biden Jr,Donald J Trump,Nikki Haley,152.0,72.0,22.0,55.07,26.09,7.97
02060,100114,President,262.0,132.0,77.0,53.0,50.38,29.39,20.23,Donald J Trump,132.0,50.38,Donald J Trump,Joseph R Biden Jr,Nikki Haley,132.0,77.0,33.0,50.38,29.39,12.6
02069,100116,President,443.0,190.0,174.0,79.0,42.89,39.28,17.83,Donald J Trump,190.0,42.89,Donald J Trump,Joseph R Biden Jr,Nikki Haley,190.0,174.0,55.0,42.89,39.28,12.42
02071,100117,President,819.0,426.0,240.0,153.0,52.01,29.3,18.68,Donald J Trump,426.0,52.01,Donald J Trump,Joseph R Biden Jr,Nikki Haley,426.0,240.0,95.0,52.01,29.3,11.6
02073,100118,President,305.0,131.0,131.0,43.0,42.95,42.95,14.1,Tie,131.0,42.95,Donald J Trump,Joseph R Biden Jr,Nikki Haley,131.0,131.0,15.0,42.95,42.95,4.92
02079,100119,President,1365.0,657.0,455.0,253.0,48.13,33.33,18.53,Donald J Trump,657.0,48.13,Donald J Trump,Joseph R Biden Jr,Nikki Haley,657.0,455.0,158.0,48.13,33.33,11.58
02082,100120,President,1046.0,505.0,362.0,179.0,48.28,34.61,17.11,Donald J Trump,505.0,48.28,Donald J Trump,Joseph R Biden Jr,Nikki Haley,505.0,362.0,99.0,48.28,34.61,9.46
02088,100121,President,392.0,147.0,192.0,53.0,37.5,48.98,13.52,Joseph R Biden Jr,192.0,48.98,Joseph R Biden Jr,Donald J Trump,Nikki Haley,192.0,147.0,27.0,48.98,37.5,6.89
02094,100122,President,1187.0,579.0,422.0,186.0,48.78,35.55,15.67,Donald J Trump,579.0,48.78,Donald J Trump,Joseph R Biden Jr,Nikki Haley,579.0,422.0,111.0,48.78,35.55,9.35
02098,100126,President,102.0,40.0,46.0,16.0,39.22,45.1,15.69,Joseph R Biden Jr,46.0,45.1,Joseph R Biden Jr,Donald J Trump,Nikki Haley,46.0,40.0,5.0,45.1,39.22,4.9
02099,100127,President,52.0,22.0,25.0,5.0,42.31,48.08,9.62,Joseph R Biden Jr,25.0,48.08,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,25.0,22.0,3.0,48.08,42.31,5.77
02117,100136,President,412.0,149.0,201.0,62.0,36.17,48.79,15.05,Joseph R Biden Jr,201.0,48.79,Joseph R Biden Jr,Donald J Trump,Nikki Haley,201.0,149.0,13.0,48.79,36.17,3.16
02122,100137,President,19.0,3.0,11.0,5.0,15.79,57.89,26.32,Joseph R Biden Jr,11.0,57.89,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,11.0,3.0,2.0,57.89,15.79,10.53
02128,100138,President,397.0,161.0,165.0,71.0,40.55,41.56,17.88,Joseph R Biden Jr,165.0,41.56,Joseph R Biden Jr,Donald J Trump,Nikki Haley,165.0,161.0,25.0,41.56,40.55,6.3
02134,100140,President,478.0,126.0,259.0,93.0,26.36,54.18,19.46,Joseph R Biden Jr,259.0,54.18,Joseph R Biden Jr,Donald J Trump,Nikki Haley,259.0,126.0,25.0,54.18,26.36,5.23
02143,100141,President,595.0,153.0,362.0,80.0,25.71,60.84,13.45,Joseph R Biden Jr,362.0,60.84,Joseph R Biden Jr,Donald J Trump,Nikki Haley,362.0,153.0,22.0,60.84,25.71,3.7
02151,100142,President,390.0,156.0,170.0,64.0,40.0,43.59,16.41,Joseph R Biden Jr,170.0,43.59,Joseph R Biden Jr,Donald J Trump,Nikki Haley,170.0,156.0,23.0,43.59,40.0,5.9
02152,100143,President,573.0,267.0,207.0,99.0,46.6,36.13,17.28,Donald J Trump,267.0,46.6,Donald J Trump,Joseph R Biden Jr,Nikki Haley,267.0,207.0,39.0,46.6,36.13,6.81
02153,100144,President,30.0,7.0,17.0,6.0,23.33,56.67,20.0,Joseph R Biden Jr,17.0,56.67,Joseph R Biden Jr,Donald J Trump,Nikki Haley,17.0,7.0,3.0,56.67,23.33,10.0
02160,100145,President,412.0,178.0,166.0,68.0,43.2,40.29,16.5,Donald J Trump,178.0,43.2,Donald J Trump,Joseph R Biden Jr,Nikki Haley,178.0,166.0,31.0,43.2,40.29,7.52
02166,100146,President,608.0,258.0,259.0,91.0,42.43,42.6,14.97,Joseph R Biden Jr,259.0,42.6,Joseph R Biden Jr,Donald J Trump,Nikki Haley,259.0,258.0,39.0,42.6,42.43,6.41
02171,100147,President,377.0,155.0,155.0,67.0,41.11,41.11,17.77,Tie,155.0,41.11,Donald J Trump,Joseph R Biden Jr,Nikki Haley,155.0,155.0,39.0,41.11,41.11,10.34
02181,100148,President,628.0,206.0,299.0,123.0,32.8,47.61,19.59,Joseph R Biden Jr,299.0,47.61,Joseph R Biden Jr,Donald J Trump,Nikki Haley,299.0,206.0,59.0,47.61,32.8,9.39
02182,100149,President,238.0,98.0,100.0,40.0,41.18,42.02,16.81,Joseph R Biden Jr,100.0,42.02,Joseph R Biden Jr,Donald J Trump,Nikki Haley,100.0,98.0,11.0,42.02,41.18,4.62
02187,100150,President,421.0,127.0,212.0,82.0,30.17,50.36,19.48,Joseph R Biden Jr,212.0,50.36,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,212.0,127.0,22.0,50.36,30.17,5.23
02193,100151,President,454.0,117.0,263.0,74.0,25.77,57.93,16.3,Joseph R Biden Jr,263.0,57.93,Joseph R Biden Jr,Donald J Trump,Nikki Haley,263.0,117.0,20.0,57.93,25.77,4.41
02194,100152,President,605.0,162.0,357.0,86.0,26.78,59.01,14.21,Joseph R Biden Jr,357.0,59.01,Joseph R Biden Jr,Donald J Trump,Nikki Haley,357.0,162.0,35.0,59.01,26.78,5.79
02201,100153,President,777.0,274.0,375.0,128.0,35.26,48.26,16.47,Joseph R Biden Jr,375.0,48.26,Joseph R Biden Jr,Donald J Trump,Nikki Haley,375.0,274.0,45.0,48.26,35.26,5.79
02205,100154,President,227.0,73.0,129.0,25.0,32.16,56.83,11.01,Joseph R Biden Jr,129.0,56.83,Joseph R Biden Jr,Donald J Trump,Nikki Haley,129.0,73.0,8.0,56.83,32.16,3.52
02212,100155,President,275.0,86.0,144.0,45.0,31.27,52.36,16.36,Joseph R Biden Jr,144.0,52.36,Joseph R Biden Jr,Donald J Trump,Nikki Haley,144.0,86.0,17.0,52.36,31.27,6.18
02216,100156,President,370.0,114.0,191.0,65.0,30.81,51.62,17.57,Joseph R Biden Jr,191.0,51.62,Joseph R Biden Jr,Donald J Trump,Nikki Haley,191.0,114.0,14.0,51.62,30.81,3.78
02224,100157,President,627.0,241.0,262.0,124.0,38.44,41.79,19.78,Joseph R Biden Jr,262.0,41.79,Joseph R Biden Jr,Donald J Trump,Nikki Haley,262.0,241.0,44.0,41.79,38.44,7.02
02225,100158,President,627.0,207.0,331.0,89.0,33.01,52.79,14.19,Joseph R Biden Jr,331.0,52.79,Joseph R Biden Jr,Donald J Trump,Nikki Haley,331.0,207.0,20.0,52.79,33.01,3.19
02228,100159,President,122.0,43.0,58.0,21.0,35.25,47.54,17.21,Joseph R Biden Jr,58.0,47.54,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,58.0,43.0,6.0,47.54,35.25,4.92
02229,100160,President,361.0,172.0,139.0,50.0,47.65,38.5,13.85,Donald J Trump,172.0,47.65,Donald J Trump,Joseph R Biden Jr,Nikki Haley,172.0,139.0,25.0,47.65,38.5,6.93
02230,100161,President,805.0,342.0,340.0,123.0,42.48,42.24,15.28,Donald J Trump,342.0,42.48,Donald J Trump,Joseph R Biden Jr,Nikki Haley,342.0,340.0,51.0,42.48,42.24,6.34
02234,100162,President,1189.0,619.0,350.0,220.0,52.06,29.44,18.5,Donald J Trump,619.0,52.06,Donald J Trump,Joseph R Biden Jr,Nikki Haley,619.0,350.0,135.0,52.06,29.44,11.35
02235,100163,President,724.0,361.0,261.0,102.0,49.86,36.05,14.09,Donald J Trump,361.0,49.86,Donald J Trump,Joseph R Biden Jr,Nikki Haley,361.0,261.0,54.0,49.86,36.05,7.46
02306,100168,President,18.0,8.0,8.0,2.0,44.44,44.44,11.11,Tie,8.0,44.44,Donald J Trump,Joseph R Biden Jr,Nikki Haley,8.0,8.0,2.0,44.44,44.44,11.11
02307,100169,President,66.0,25.0,35.0,6.0,37.88,53.03,9.09,Joseph R Biden Jr,35.0,53.03,Joseph R Biden Jr,Donald J Trump,Dean Phillips,35.0,25.0,2.0,53.03,37.88,3.03
02315,100170,President,454.0,205.0,191.0,58.0,45.15,42.07,12.78,Donald J Trump,205.0,45.15,Donald J Trump,Joseph R Biden Jr,Nikki Haley,205.0,191.0,20.0,45.15,42.07,4.41
02319,100171,President,86.0,30.0,36.0,20.0,34.88,41.86,23.26,Joseph R Biden Jr,36.0,41.86,Joseph R Biden Jr,Donald J Trump,Nikki Haley,36.0,30.0,4.0,41.86,34.88,4.65
02321,100172,President,249.0,84.0,123.0,42.0,33.73,49.4,16.87,Joseph R Biden Jr,123.0,49.4,Joseph R Biden Jr,Donald J Trump,Nikki Haley,123.0,84.0,14.0,49.4,33.73,5.62
02331,100174,President,49.0,21.0,19.0,9.0,42.86,38.78,18.37,Donald J Trump,21.0,42.86,Donald J Trump,Joseph R Biden Jr,Marianne Williamson,21.0,19.0,3.0,42.86,38.78,6.12
02338,100175,President,131.0,65.0,59.0,7.0,49.62,45.04,5.34,Donald J Trump,65.0,49.62,Donald J Trump,Joseph R Biden Jr,Nikki Haley,65.0,59.0,5.0,49.62,45.04,3.82
02341,100176,President,415.0,167.0,178.0,70.0,40.24,42.89,16.87,Joseph R Biden Jr,178.0,42.89,Joseph R Biden Jr,Donald J Trump,Nikki Haley,178.0,167.0,31.0,42.89,40.24,7.47
02347,100177,President,330.0,126.0,157.0,47.0,38.18,47.58,14.24,Joseph R Biden Jr,157.0,47.58,Joseph R Biden Jr,Donald J Trump,Nikki Haley,157.0,126.0,20.0,47.58,38.18,6.06
02352,100178,President,222.0,85.0,108.0,29.0,38.29,48.65,13.06,Joseph R Biden Jr,108.0,48.65,Joseph R Biden Jr,Donald J Trump,Nikki Haley,108.0,85.0,13.0,48.65,38.29,5.86
02355,100179,President,85.0,21.0,50.0,14.0,24.71,58.82,16.47,Joseph R Biden Jr,50.0,58.82,Joseph R Biden Jr,Donald J Trump,Nikki Haley,50.0,21.0,5.0,58.82,24.71,5.88
02356,100180,President,243.0,93.0,103.0,47.0,38.27,42.39,19.34,Joseph R Biden Jr,103.0,42.39,Joseph R Biden Jr,Donald J Trump,Nikki Haley,103.0,93.0,9.0,42.39,38.27,3.7
02357,100181,President,369.0,164.0,151.0,54.0,44.44,40.92,14.63,Donald J Trump,164.0,44.44,Donald J Trump,Joseph R Biden Jr,Nikki Haley,164.0,151.0,29.0,44.44,40.92,7.86
02361,100182,President,58.0,35.0,15.0,8.0,60.34,25.86,13.79,Donald J Trump,35.0,60.34,Donald J Trump,Joseph R Biden Jr,Dean Phillips,35.0,15.0,2.0,60.34,25.86,3.45
02362,100183,President,142.0,63.0,55.0,24.0,44.37,38.73,16.9,Donald J Trump,63.0,44.37,Donald J Trump,Joseph R Biden Jr,Nikki Haley,63.0,55.0,9.0,44.37,38.73,6.34
02368,100184,President,155.0,50.0,80.0,25.0,32.26,51.61,16.13,Joseph R Biden Jr,80.0,51.61,Joseph R Biden Jr,Donald J Trump,Nikki Haley,80.0,50.0,6.0,51.61,32.26,3.87
02370,100185,President,54.0,16.0,33.0,5.0,29.63,61.11,9.26,Joseph R Biden Jr,33.0,61.11,Joseph R Biden Jr,Donald J Trump,Dean Phillips,33.0,16.0,2.0,61.11,29.63,3.7
02377,100186,President,63.0,25.0,30.0,8.0,39.68,47.62,12.7,Joseph R Biden Jr,30.0,47.62,Joseph R Biden Jr,Donald J Trump,Nikki Haley,30.0,25.0,4.0,47.62,39.68,6.35
02385,100187,President,175.0,65.0,92.0,18.0,37.14,52.57,10.29,Joseph R Biden Jr,92.0,52.57,Joseph R Biden Jr,Donald J Trump,Nikki Haley,92.0,65.0,9.0,52.57,37.14,5.14
02387,100188,President,216.0,73.0,103.0,40.0,33.8,47.69,18.52,Joseph R Biden Jr,103.0,47.69,Joseph R Biden Jr,Donald J Trump,Nikki Haley,103.0,73.0,17.0,47.69,33.8,7.87
02389,100189,President,299.0,102.0,143.0,54.0,34.11,47.83,18.06,Joseph R Biden Jr,143.0,47.83,Joseph R Biden Jr,Donald J Trump,Nikki Haley,143.0,102.0,24.0,47.83,34.11,8.03
02391,100190,President,466.0,193.0,184.0,89.0,41.42,39.48,19.1,Donald J Trump,193.0,41.42,Donald J Trump,Joseph R Biden Jr,Nikki Haley,193.0,184.0,42.0,41.42,39.48,9.01
02392,100191,President,13.0,5.0,4.0,4.0,38.46,30.77,30.77,Donald J Trump,5.0,38.46,Donald J Trump,Joseph R Biden Jr,President R Boddie,5.0,4.0,1.0,38.46,30.77,7.69
02395,100192,President,581.0,286.0,217.0,78.0,49.23,37.35,13.43,Donald J Trump,286.0,49.23,Donald J Trump,Joseph R Biden Jr,Nikki Haley,286.0,217.0,44.0,49.23,37.35,7.57
02402,100193,President,180.0,66.0,76.0,38.0,36.67,42.22,21.11,Joseph R Biden Jr,76.0,42.22,Joseph R Biden Jr,Donald J Trump,Nikki Haley,76.0,66.0,17.0,42.22,36.67,9.44
02405,100194,President,613.0,176.0,315.0,122.0,28.71,51.39,19.9,Joseph R Biden Jr,315.0,51.39,Joseph R Biden Jr,Donald J Trump,Nikki Haley,315.0,176.0,28.0,51.39,28.71,4.57
02409,100196,President,12.0,1.0,10.0,1.0,8.33,83.33,8.33,Joseph R Biden Jr,10.0,83.33,Joseph R Biden Jr,Donald J Trump,Gabriel Cornejo,10.0,1.0,1.0,83.33,8.33,8.33
02423,100197,President,201.0,91.0,73.0,37.0,45.27,36.32,18.41,Donald J Trump,91.0,45.27,Donald J Trump,Joseph R Biden Jr,Nikki Haley,91.0,73.0,13.0,45.27,36.32,6.47
02432,100198,President,350.0,149.0,149.0,52.0,42.57,42.57,14.86,Tie,149.0,42.57,Donald J Trump,Joseph R Biden Jr,Nikki Haley,149.0,149.0,21.0,42.57,42.57,6.0
02437,100200,President,593.0,269.0,240.0,84.0,45.36,40.47,14.17,Donald J Trump,269.0,45.36,Donald J Trump,Joseph R Biden Jr,Nikki Haley,269.0,240.0,33.0,45.36,40.47,5.56
02438,100201,President,80.0,33.0,38.0,9.0,41.25,47.5,11.25,Joseph R Biden Jr,38.0,47.5,Joseph R Biden Jr,Donald J Trump,Nikki Haley,38.0,33.0,5.0,47.5,41.25,6.25
02440,100202,President,292.0,117.0,121.0,54.0,40.07,41.44,18.49,Joseph R Biden Jr,121.0,41.44,Joseph R Biden Jr,Donald J Trump,Nikki Haley,121.0,117.0,28.0,41.44,40.07,9.59
02441,100203,President,25.0,4.0,17.0,4.0,16.0,68.0,16.0,Joseph R Biden Jr,17.0,68.0,Joseph R Biden Jr,Donald J Trump,Nikki Haley,17.0,4.0,3.0,68.0,16.0,12.0
02443,100204,President,588.0,236.0,260.0,92.0,40.14,44.22,15.65,Joseph R Biden Jr,260.0,44.22,Joseph R Biden Jr,Donald J Trump,Nikki Haley,260.0,236.0,27.0,44.22,40.14,4.59
02448,100205,President,374.0,138.0,172.0,64.0,36.9,45.99,17.11,Joseph R Biden Jr,172.0,45.99,Joseph R Biden Jr,Donald J Trump,Nikki Haley,172.0,138.0,19.0,45.99,36.9,5.08
02457,100208,President,289.0,124.0,128.0,37.0,42.91,44.29,12.8,Joseph R Biden Jr,128.0,44.29,Joseph R Biden Jr,Donald J Trump,Nikki Haley,128.0,124.0,15.0,44.29,42.91,5.19
02808,100216,President,102.0,38.0,49.0,15.0,37.25,48.04,14.71,Joseph R Biden Jr,49.0,48.04,Joseph R Biden Jr,Donald J Trump,Nikki Haley,49.0,38.0,10.0,48.04,37.25,9.8
02812,100219,President,34.0,19.0,13.0,2.0,55.88,38.24,5.88,Donald J Trump,19.0,55.88,Donald J Trump,Joseph R Biden Jr,Rachel Swift,19.0,13.0,1.0,55.88,38.24,2.94
02814,100221,President,53.0,25.0,22.0,6.0,47.17,41.51,11.32,Donald J Trump,25.0,47.17,Donald J Trump,Joseph R Biden Jr,Marianne Williamson,25.0,22.0,2.0,47.17,41.51,3.77
02817,100224,President,10.0,3.0,6.0,1.0,30.0,60.0,10.0,Joseph R Biden Jr,6.0,60.0,Joseph R Biden Jr,Donald J Trump,Ron Desantis,6.0,3.0,1.0,60.0,30.0,10.0
02819,100226,President,13.0,6.0,5.0,2.0,46.15,38.46,15.38,Donald J Trump,6.0,46.15,Donald J Trump,Joseph R Biden Jr,Nikki Haley,6.0,5.0,2.0,46.15,38.46,15.38
02820,100227,President,155.0,57.0,75.0,23.0,36.77,48.39,14.84,Joseph R Biden Jr,75.0,48.39,Joseph R Biden Jr,Donald J Trump,Nikki Haley,75.0,57.0,11.0,48.39,36.77,7.1
02826,100233,President,122.0,52.0,53.0,17.0,42.62,43.44,13.93,Joseph R Biden Jr,53.0,43.44,Joseph R Biden Jr,Donald J Trump,Nikki Haley,53.0,52.0,10.0,43.44,42.62,8.2
02827,100234,President,98.0,38.0,47.0,13.0,38.78,47.96,13.27,Joseph R Biden Jr,47.0,47.96,Joseph R Biden Jr,Donald J Trump,Gabriel Cornejo,47.0,38.0,4.0,47.96,38.78,4.08
02828,100235,President,39.0,15.0,16.0,8.0,38.46,41.03,20.51,Joseph R Biden Jr,16.0,41.03,Joseph R Biden Jr,Donald J Trump,Nikki Haley,16.0,15.0,8.0,41.03,38.46,20.51
02834,100240,President,63.0,13.0,35.0,15.0,20.63,55.56,23.81,Joseph R Biden Jr,35.0,55.56,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,35.0,13.0,4.0,55.56,20.63,6.35
02836,100241,President,56.0,12.0,37.0,7.0,21.43,66.07,12.5,Joseph R Biden Jr,37.0,66.07,Joseph R Biden Jr,Donald J Trump,Gabriel Cornejo,37.0,12.0,2.0,66.07,21.43,3.57
02837,100242,President,283.0,74.0,163.0,46.0,26.15,57.6,16.25,Joseph R Biden Jr,163.0,57.6,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,163.0,74.0,16.0,57.6,26.15,5.65
02840,100244,President,843.0,386.0,308.0,149.0,45.79,36.54,17.67,Donald J Trump,386.0,45.79,Donald J Trump,Joseph R Biden Jr,Nikki Haley,386.0,308.0,69.0,45.79,36.54,8.19
02843,100245,President,28.0,14.0,10.0,4.0,50.0,35.71,14.29,Donald J Trump,14.0,50.0,Donald J Trump,Joseph R Biden Jr,Nikki Haley,14.0,10.0,3.0,50.0,35.71,10.71
02844,100246,President,82.0,47.0,24.0,11.0,57.32,29.27,13.41,Donald J Trump,47.0,57.32,Donald J Trump,Joseph R Biden Jr,Nikki Haley,47.0,24.0,5.0,57.32,29.27,6.1
02847,100248,President,188.0,73.0,85.0,30.0,38.83,45.21,15.96,Joseph R Biden Jr,85.0,45.21,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,85.0,73.0,8.0,45.21,38.83,4.26
05303,100253,President,243.0,90.0,112.0,41.0,37.04,46.09,16.87,Joseph R Biden Jr,112.0,46.09,Joseph R Biden Jr,Donald J Trump,Nikki Haley,112.0,90.0,13.0,46.09,37.04,5.35
05307,100254,President,395.0,201.0,127.0,67.0,50.89,32.15,16.96,Donald J Trump,201.0,50.89,Donald J Trump,Joseph R Biden Jr,Nikki Haley,201.0,127.0,32.0,50.89,32.15,8.1
05308,100255,President,174.0,57.0,91.0,26.0,32.76,52.3,14.94,Joseph R Biden Jr,91.0,52.3,Joseph R Biden Jr,Donald J Trump,Nikki Haley,91.0,57.0,8.0,52.3,32.76,4.6
05311,100256,President,391.0,160.0,177.0,54.0,40.92,45.27,13.81,Joseph R Biden Jr,177.0,45.27,Joseph R Biden Jr,Donald J Trump,Nikki Haley,177.0,160.0,32.0,45.27,40.92,8.18
05319,100257,President,749.0,360.0,270.0,119.0,48.06,36.05,15.89,Donald J Trump,360.0,48.06,Donald J Trump,Joseph R Biden Jr,Nikki Haley,360.0,270.0,67.0,48.06,36.05,8.95
05333,100259,President,46.0,31.0,9.0,6.0,67.39,19.57,13.04,Donald J Trump,31.0,67.39,Donald J Trump,Joseph R Biden Jr,Nikki Haley,31.0,9.0,2.0,67.39,19.57,4.35
05334,100260,President,142.0,71.0,47.0,24.0,50.0,33.1,16.9,Donald J Trump,71.0,50.0,Donald J Trump,Joseph R Biden Jr,Nikki Haley,71.0,47.0,17.0,50.0,33.1,11.97
05339,100264,President,723.0,307.0,275.0,141.0,42.46,38.04,19.5,Donald J Trump,307.0,42.46,Donald J Trump,Joseph R Biden Jr,Nikki Haley,307.0,275.0,100.0,42.46,38.04,13.83
05340,100265,President,641.0,269.0,275.0,97.0,41.97,42.9,15.13,Joseph R Biden Jr,275.0,42.9,Joseph R Biden Jr,Donald J Trump,Nikki Haley,275.0,269.0,66.0,42.9,41.97,10.3
05379,100266,President,336.0,131.0,137.0,68.0,38.99,40.77,20.24,Joseph R Biden Jr,137.0,40.77,Joseph R Biden Jr,Donald J Trump,Nikki Haley,137.0,131.0,51.0,40.77,38.99,15.18
05380,100267,President,743.0,319.0,293.0,131.0,42.93,39.43,17.63,Donald J Trump,319.0,42.93,Donald J Trump,Joseph R Biden Jr,Nikki Haley,319.0,293.0,90.0,42.93,39.43,12.11
05381,100268,President,976.0,450.0,364.0,162.0,46.11,37.3,16.6,Donald J Trump,450.0,46.11,Donald J Trump,Joseph R Biden Jr,Nikki Haley,450.0,364.0,98.0,46.11,37.3,10.04
05384,100269,President,250.0,115.0,81.0,54.0,46.0,32.4,21.6,Donald J Trump,115.0,46.0,Donald J Trump,Joseph R Biden Jr,Nikki Haley,115.0,81.0,39.0,46.0,32.4,15.6
05386,100270,President,1123.0,538.0,367.0,218.0,47.91,32.68,19.41,Donald J Trump,538.0,47.91,Donald J Trump,Joseph R Biden Jr,Nikki Haley,538.0,367.0,160.0,47.91,32.68,14.25
05389,100271,President,154.0,71.0,40.0,43.0,46.1,25.97,27.92,Donald J Trump,71.0,46.1,Donald J Trump,Joseph R Biden Jr,Nikki Haley,71.0,40.0,33.0,46.1,25.97,21.43
05392,100273,President,90.0,41.0,33.0,16.0,45.56,36.67,17.78,Donald J Trump,41.0,45.56,Donald J Trump,Joseph R Biden Jr,Nikki Haley,41.0,33.0,9.0,45.56,36.67,10.0
05396,100274,President,44.0,16.0,22.0,6.0,36.36,50.0,13.64,Joseph R Biden Jr,22.0,50.0,Joseph R Biden Jr,Donald J Trump,Nikki Haley,22.0,16.0,4.0,50.0,36.36,9.09
