,zipcode,tie,herb_wesson,holly_mitchell,total,winner_dist_two,winner_total
465,91752,0,2185,0,2185,Herb Wesson,2185
310,90303,0,1700,450,2150,Herb Wesson,1700
600,93035,0,2000,100,2100,Herb Wesson,2000
389,91207,0,2000,100,2100,Herb Wesson,2000
631,94022,0,0,2100,2100,Holly Mitchell,2100
370,91016,0,1500,598,2098,Herb Wesson,1500
772,95758,0,0,2025,2025,Holly Mitchell,2025
7,10011,0,500,1500,2000,Holly Mitchell,1500
664,94304,0,0,2000,2000,Holly Mitchell,2000
573,92705,0,1500,500,2000,Herb Wesson,1500
87,27610,0,2000,0,2000,Herb Wesson,2000
12,10019,0,1500,500,2000,Herb Wesson,1500
570,92677,0,2000,0,2000,Herb Wesson,2000
562,92647,0,1500,500,2000,Herb Wesson,1500
764,95667,0,0,2000,2000,Holly Mitchell,2000
186,80466,0,0,2000,2000,Holly Mitchell,2000
196,85255,0,2000,0,2000,Herb Wesson,2000
488,92019,0,0,2000,2000,Holly Mitchell,2000
78,22204,0,2000,0,2000,Herb Wesson,2000
616,93536,0,2000,0,2000,Herb Wesson,2000
713,94707,0,0,1950,1950,Holly Mitchell,1950
525,92336,0,400,1500,1900,Holly Mitchell,1500
502,92108,0,1500,350,1850,Herb Wesson,1500
464,91750,0,1850,0,1850,Herb Wesson,1850
709,94702,0,0,1850,1850,Holly Mitchell,1850
790,95833,0,0,1850,1850,Holly Mitchell,1850
107,33160,0,1800,0,1800,Herb Wesson,1800
130,48855,0,1800,0,1800,Herb Wesson,1800
563,92648,0,800,1000,1800,Holly Mitchell,1000
360,90808,0,1450,350,1800,Herb Wesson,1450
334,90660,0,800,1000,1800,Holly Mitchell,1000
526,92337,0,1800,0,1800,Herb Wesson,1800
693,94601,0,0,1800,1800,Holly Mitchell,1800
388,91206,0,1500,250,1750,Herb Wesson,1500
477,91786,0,1750,0,1750,Herb Wesson,1750
361,90810,0,1500,250,1750,Herb Wesson,1500
789,95832,0,0,1750,1750,Holly Mitchell,1750
585,92835,0,1500,225,1725,Herb Wesson,1500
335,90670,0,1700,0,1700,Herb Wesson,1700
399,91324,0,1700,0,1700,Herb Wesson,1700
688,94578,0,1500,100,1600,Herb Wesson,1500
786,95828,0,0,1600,1600,Holly Mitchell,1600
387,91205,0,1600,0,1600,Herb Wesson,1600
517,92220,0,0,1600,1600,Holly Mitchell,1600
280,90222,0,1100,500,1600,Herb Wesson,1100
293,90260,0,1100,500,1600,Herb Wesson,1100
423,91387,0,1600,0,1600,Herb Wesson,1600
325,90606,0,1500,100,1600,Herb Wesson,1500
611,93460,0,100,1500,1600,Holly Mitchell,1500
781,95821,0,0,1600,1600,Holly Mitchell,1600
461,91745,0,550,1000,1550,Holly Mitchell,1000
758,95624,0,0,1550,1550,Holly Mitchell,1550
614,93534,0,1500,0,1500,Herb Wesson,1500
494,92082,0,0,1500,1500,Holly Mitchell,1500
197,85258,0,0,1500,1500,Holly Mitchell,1500
498,92104,0,1500,0,1500,Herb Wesson,1500
499,92105,0,0,1500,1500,Holly Mitchell,1500
617,93550,0,1500,0,1500,Herb Wesson,1500
199,8807,0,0,1500,1500,Holly Mitchell,1500
46,19850,0,0,1500,1500,Holly Mitchell,1500
504,92111,0,0,1500,1500,Holly Mitchell,1500
59,20148,0,1500,0,1500,Herb Wesson,1500
612,93463,0,1500,0,1500,Herb Wesson,1500
77,22202,0,0,1500,1500,Holly Mitchell,1500
508,92119,0,0,1500,1500,Holly Mitchell,1500
76,22079,0,1500,0,1500,Herb Wesson,1500
510,92121,0,1500,0,1500,Herb Wesson,1500
511,92124,0,0,1500,1500,Holly Mitchell,1500
512,92127,0,1500,0,1500,Herb Wesson,1500
513,92128,0,1500,0,1500,Herb Wesson,1500
210,89411,0,1500,0,1500,Herb Wesson,1500
80,22303,0,0,1500,1500,Holly Mitchell,1500
47,19884,0,0,1500,1500,Holly Mitchell,1500
471,91767,0,1500,0,1500,Herb Wesson,1500
459,91741,0,1500,0,1500,Herb Wesson,1500
712,94706,0,0,1500,1500,Holly Mitchell,1500
90,2895,0,0,1500,1500,Holly Mitchell,1500
52,20005,0,0,1500,1500,Holly Mitchell,1500
193,85012,0,1500,0,1500,Herb Wesson,1500
626,93906,0,0,1500,1500,Holly Mitchell,1500
88,28217,0,0,1500,1500,Holly Mitchell,1500
807,98109,0,1500,0,1500,Herb Wesson,1500
86,27605,0,0,1500,1500,Holly Mitchell,1500
75,22066,0,1500,0,1500,Herb Wesson,1500
624,93727,0,1500,0,1500,Herb Wesson,1500
708,94621,0,1500,0,1500,Herb Wesson,1500
634,94044,0,1500,0,1500,Herb Wesson,1500
479,91790,0,1500,0,1500,Herb Wesson,1500
806,98104,0,0,1500,1500,Holly Mitchell,1500
83,27101,0,1500,0,1500,Herb Wesson,1500
796,96002,0,1500,0,1500,Herb Wesson,1500
640,94080,0,0,1500,1500,Holly Mitchell,1500
514,92129,0,0,1500,1500,Holly Mitchell,1500
690,94583,0,1500,0,1500,Herb Wesson,1500
610,93455,0,1500,0,1500,Herb Wesson,1500
38,17011,0,0,1500,1500,Holly Mitchell,1500
603,93101,0,1500,0,1500,Herb Wesson,1500
42,19002,0,1500,0,1500,Herb Wesson,1500
803,98006,0,0,1500,1500,Holly Mitchell,1500
560,92629,0,1500,0,1500,Herb Wesson,1500
599,93021,0,1500,0,1500,Herb Wesson,1500
653,94118,0,500,1000,1500,Holly Mitchell,1000
65,20817,0,0,1500,1500,Holly Mitchell,1500
