,zipcode,amount_rcvd
483,91803,750
506,92116,750
110,33455,750
385,91203,750
263,90063,700
767,95691,700
327,90621,700
660,94131,700
529,92377,700
649,94112,700
582,92831,650
541,92507,650
540,92506,600
50,20003,600
662,94301,550
729,94970,500
737,95113,500
744,95203,500
37,15208,500
671,94507,500
799,96065,500
668,94403,500
39,17268,500
754,95570,500
658,94127,500
717,94803,500
809,98204,500
534,92408,500
457,91739,500
140,60606,500
81,22314,500
404,91340,500
121,38116,500
481,91792,500
474,91776,500
101,32082,500
97,30345,500
546,92557,500
94,30317,500
574,92706,500
628,93923,500
92,29485,500
91,29448,500
561,92646,500
147,63011,500
555,92617,500
54,20010,500
543,92509,500
209,89135,500
208,89121,500
206,89106,500
202,89032,500
190,83646,500
185,80246,500
183,80206,500
182,80203,500
618,93551,500
500,92106,500
487,92014,500
170,77005,500
605,93215,500
679,94542,450
756,95608,450
759,95628,450
476,91784,400
535,92410,400
538,92504,400
604,93105,388
657,94124,370
29,11234,350
716,94710,350
95,30328,350
780,95820,350
501,92107,350
536,92501,350
787,95829,350
116,37215,350
175,78660,332
659,94129,305
73,22033,300
122,38117,300
159,68106,300
629,93940,300
595,92887,300
623,93721,275
515,92131,275
731,95014,252
674,94523,251
748,95401,250
126,48025,250
148,63101,250
598,93012,250
597,93003,250
117,37914,250
592,92880,250
16,10025,250
742,95125,250
21,10176,250
96,30331,250
762,95658,250
157,66207,250
452,91723,250
44,19119,250
337,90701,250
328,90623,250
615,93535,250
638,94066,250
187,80634,250
189,8234,250
3,10004,250
290,90251,250
198,86336,250
801,97232,250
622,93711,250
451,91722,250
720,94806,250
89,28314,250
66,20854,250
569,92663,250
521,92270,250
518,92253,250
34,11937,250
72,2130,250
64,20814,250
681,94551,250
453,91724,225
655,94122,211
460,91744,200
739,95120,200
492,92057,200
82,23435,200
336,90680,200
606,93306,200
171,77018,200
613,93465,200
421,91381,200
738,95118,200
181,80027,200
144,60615,200
750,95409,200
4,10009,200
545,92555,200
661,94134,200
635,94061,200
63,20707,200
676,94534,200
765,95670,150
203,8904,150
639,94070,150
530,92395,150
528,92376,150
114,37208,150
67,20906,150
14,10023,135
619,93561,125
333,90650,125
760,95630,125
665,94305,110
808,98110,107
27,11215,100
102,32609,100
698,94606,100
715,94709,100
497,92103,100
621,93710,100
422,91384,100
793,95838,100
257,90051,100
292,90255,100
273,90095,100
213,90003,100
36,14850,100
505,92114,100
115,37210,100
56,20015,100
281,90227,100
583,92832,100
447,91706,100
636,94062,100
145,6088,100
176,78723,100
755,95602,100
475,91780,100
132,53705,100
601,93063,100
761,95648,100
705,94614,100
155,6484,100
721,94841,100
766,95678,100
544,92553,100
654,94121,100
342,90713,100
118,37918,100
773,95762,100
166,76108,100
32,11434,100
28,11225,100
8,10013,100
412,91354,100
55,20011,100
172,78028,100
495,92083,100
620,93636,75
691,94585,55
557,92620,0
