date,tweets
2021-05-30,20768
2021-05-29,12105
2021-05-28,16630
2021-05-27,14823
2021-05-26,7930
2021-05-25,9388
2021-05-24,10943
2021-05-23,9888
2021-05-22,18122
2021-05-21,10090
2021-05-20,8321
2021-05-19,17816
2021-05-18,29638
2021-05-17,7213
2021-05-16,4846
2021-05-15,6996
2021-05-14,9413
2021-05-13,15415
2021-05-12,12743
2021-05-11,9530
2021-05-10,7469
2021-05-09,6889
2021-05-08,13225
2021-05-07,6696
2021-05-06,7541
2021-05-05,12992
2021-05-04,15524
2021-05-03,18522
2021-05-02,11441
2021-05-01,15970
2021-04-30,12806
2021-04-29,12101
2021-04-28,11640
2021-04-27,14874
2021-04-26,10029
2021-04-25,11262
2021-04-24,9037
2021-04-23,9386
2021-04-22,9382
2021-04-21,8543
2021-04-20,18387
2021-04-19,18474
2021-04-18,16135
2021-04-17,17702
2021-04-16,20752
2021-04-15,14474
2021-04-14,12323
2021-04-13,10631
2021-04-12,9382
2021-04-11,9476
2021-04-10,11301
2021-04-09,18189
2021-04-08,12106
2021-04-07,8872
2021-04-06,12108
2021-04-05,15490
2021-04-04,10510
2021-04-03,10076
2021-04-02,23016
2021-04-01,23280
2021-03-31,36172
2021-03-30,16512
2021-03-29,11703
2021-03-28,11988
2021-03-27,9238
2021-03-26,14725
2021-03-25,12048
2021-03-24,11363
2021-03-23,12826
2021-03-22,12555
2021-03-21,9912
2021-03-20,13304
2021-03-19,18192
2021-03-18,18360
2021-03-17,16278
2021-03-16,23339
2021-03-15,11254
2021-03-14,11435
2021-03-13,12639
2021-03-12,12375
2021-03-11,15812
2021-03-10,15032
2021-03-09,26064
2021-03-08,16464
2021-03-07,15729
2021-03-06,24676
2021-03-05,63118
2021-03-04,82607
2021-03-03,32746
2021-03-02,19783
2021-03-01,19352
2021-02-28,22885
2021-02-27,19694
2021-02-26,20974
2021-02-25,31288
2021-02-24,50743
2021-02-23,19687
2021-02-22,24941
2021-02-21,18773
2021-02-20,20765
2021-02-19,16539
2021-02-18,21219
2021-02-17,29570
2021-02-16,22149
2021-02-15,41212
2021-02-14,30540
2021-02-13,20905
2021-02-12,21707
2021-02-11,36286
2021-02-10,23381
2021-02-09,38190
2021-02-08,34480
2021-02-07,45032
2021-02-06,50526
2021-02-05,128865
2021-02-04,209473
2021-02-03,91575
2021-02-02,63906
2021-02-01,51823
2021-01-31,87607
2021-01-30,91023
2021-01-29,163740
2021-01-28,101096
2021-01-27,82121
2021-01-26,60170
2021-01-25,43859
2021-01-24,49496
2021-01-23,45142
2021-01-22,77567
2021-01-21,84592
2021-01-20,119716
2021-01-19,75740
2021-01-18,78298
2021-01-17,86889
2021-01-16,54177
2021-01-15,99131
2021-01-14,92058
2021-01-13,91455
2021-01-12,141801
2021-01-11,125916
2021-01-10,104946
2021-01-09,103693
2021-01-08,125459
2021-01-07,175602
2021-01-06,50164
2021-01-05,20671
2021-01-04,23954
2021-01-03,15028
2021-01-02,15108
2021-01-01,6921
2020-12-31,15035
2020-12-30,16575
2020-12-29,12134
2020-12-28,17887
2020-12-27,11797
2020-12-26,8708
2020-12-25,3809
2020-12-24,6462
2020-12-23,7971
2020-12-22,16870
2020-12-21,23115
2020-12-20,13941
2020-12-19,10288
2020-12-18,10736
2020-12-17,9633
2020-12-16,17028
2020-12-15,9301
2020-12-14,7558
2020-12-13,11218
2020-12-12,17462
2020-12-11,16682
2020-12-10,10332
2020-12-09,11353
2020-12-08,8999
2020-12-07,12522
2020-12-06,7943
2020-12-05,12131
2020-12-04,13693
2020-12-03,25596
2020-12-02,15004
2020-12-01,11563
2020-11-30,7688
2020-11-29,10401
2020-11-28,10552
2020-11-27,7849
2020-11-26,8452
2020-11-25,9517
2020-11-24,12140
2020-11-23,15237
2020-11-22,17431
2020-11-21,14500
2020-11-20,21353
2020-11-19,14667
2020-11-18,11787
2020-11-17,13040
2020-11-16,14273
2020-11-15,15988
2020-11-14,20244
2020-11-13,17604
2020-11-12,19261
2020-11-11,18604
2020-11-10,19370
2020-11-09,24026
2020-11-08,25634
2020-11-07,35639
2020-11-06,44964
2020-11-05,47823
2020-11-04,41515
2020-11-03,18759
2020-11-02,16710
2020-11-01,13445
2020-10-31,15090
2020-10-30,18367
2020-10-29,23964
2020-10-28,24336
2020-10-27,17000
2020-10-26,15872
2020-10-25,16704
2020-10-24,23123
2020-10-23,23735
2020-10-22,26429
2020-10-21,51872
2020-10-20,40241
2020-10-19,37876
2020-10-18,74044
2020-10-17,128707
2020-10-16,298054
2020-10-15,38009
2020-10-14,34287
2020-10-13,16190
2020-10-12,15166
2020-10-11,16311
2020-10-10,12753
2020-10-09,23317
2020-10-08,23827
2020-10-07,67054
2020-10-06,56076
2020-10-05,13273
2020-10-04,17533
2020-10-03,41079
2020-10-02,52378
2020-10-01,26522
2020-09-30,21417
2020-09-29,27392
2020-09-28,21287
2020-09-27,15036
2020-09-26,18234
2020-09-25,24945
2020-09-24,28575
2020-09-23,33464
2020-09-22,21217
2020-09-21,25025
2020-09-20,20195
2020-09-19,15352
2020-09-18,21228
2020-09-17,34216
2020-09-16,44753
2020-09-15,45808
2020-09-14,46710
2020-09-13,53395
2020-09-12,83964
2020-09-11,46698
2020-09-10,39019
2020-09-09,32866
2020-09-08,21207
2020-09-07,22892
2020-09-06,28945
2020-09-05,55565
2020-09-04,97700
2020-09-03,31407
2020-09-02,48335
2020-09-01,41978
2020-08-31,44721
2020-08-30,50496
2020-08-29,36876
2020-08-28,30159
2020-08-27,25221
2020-08-26,65886
2020-08-25,55023
2020-08-24,50662
2020-08-23,80158
2020-08-22,63524
2020-08-21,82662
2020-08-20,199998
2020-08-19,88495
2020-08-18,19873
2020-08-17,29450
2020-08-16,38480
2020-08-15,52233
2020-08-14,68675
2020-08-13,82666
2020-08-12,75426
2020-08-11,23805
2020-08-10,24639
2020-08-09,10297
2020-08-08,11572
2020-08-07,16601
2020-08-06,19729
2020-08-05,18665
2020-08-04,17652
2020-08-03,14400
2020-08-02,20432
2020-08-01,12898
2020-07-31,14773
2020-07-30,15801
2020-07-29,14633
2020-07-28,16550
2020-07-27,20068
2020-07-26,21991
2020-07-25,18173
2020-07-24,21865
2020-07-23,30998
2020-07-22,156310
2020-07-21,22469
2020-07-20,17247
2020-07-19,20471
2020-07-18,36363
2020-07-17,33213
2020-07-16,17116
2020-07-15,20325
2020-07-14,22988
2020-07-13,21145
2020-07-12,18035
2020-07-11,19427
2020-07-10,16003
2020-07-09,12972
2020-07-08,20794
2020-07-07,29237
2020-07-06,75939
2020-07-05,53233
2020-07-04,18135
2020-07-03,26026
2020-07-02,19969
2020-07-01,31170
2020-06-30,14591
2020-06-29,14417
2020-06-28,21164
2020-06-27,21618
2020-06-26,13745
2020-06-25,23020
2020-06-24,14440
2020-06-23,11273
2020-06-22,9602
2020-06-21,10704
2020-06-20,11093
2020-06-19,10331
2020-06-18,11306
2020-06-17,12085
2020-06-16,11782
2020-06-15,12033
2020-06-14,17630
2020-06-13,13301
2020-06-12,12154
2020-06-11,24271
2020-06-10,17247
2020-06-09,16541
2020-06-08,14214
2020-06-07,19846
2020-06-06,22712
2020-06-05,49098
2020-06-04,15253
2020-06-03,17383
2020-06-02,17671
2020-06-01,31250
2020-05-31,42386
2020-05-30,13832
2020-05-29,12854
2020-05-28,11787
2020-05-27,13845
2020-05-26,10036
2020-05-25,9766
2020-05-24,10121
2020-05-23,15043
2020-05-22,11603
2020-05-21,16274
2020-05-20,20654
2020-05-19,14611
2020-05-18,14627
2020-05-17,15806
2020-05-16,13431
2020-05-15,18232
2020-05-14,23163
2020-05-13,15741
2020-05-12,29580
2020-05-11,22249
2020-05-10,21320
2020-05-09,16009
2020-05-08,15221
2020-05-07,20813
2020-05-06,24060
2020-05-05,27196
2020-05-04,26879
2020-05-03,21346
2020-05-02,17991
2020-05-01,14835
2020-04-30,15282
2020-04-29,15291
2020-04-28,9100
2020-04-27,9502
2020-04-26,9852
2020-04-25,9045
2020-04-24,14674
2020-04-23,9161
2020-04-22,10711
2020-04-21,12004
2020-04-20,11624
2020-04-19,10822
2020-04-18,10780
2020-04-17,11102
2020-04-16,12521
2020-04-15,13301
2020-04-14,18529
2020-04-13,11014
2020-04-12,19056
2020-04-11,11159
2020-04-10,15915
2020-04-09,15607
2020-04-08,12768
2020-04-07,11346
2020-04-06,12803
2020-04-05,13565
2020-04-04,11373
2020-04-03,11864
2020-04-02,12342
2020-04-01,11089
2020-03-31,10111
2020-03-30,10960
2020-03-29,10895
2020-03-28,14522
2020-03-27,13118
2020-03-26,11218
2020-03-25,9528
2020-03-24,11070
2020-03-23,9748
2020-03-22,10459
2020-03-21,8986
2020-03-20,8793
2020-03-19,8850
2020-03-18,14112
2020-03-17,8473
2020-03-16,7154
2020-03-15,7645
2020-03-14,6729
2020-03-13,6260
2020-03-12,6008
2020-03-11,5053
2020-03-10,7383
2020-03-09,8687
2020-03-08,4352
2020-03-07,3897
2020-03-06,3986
2020-03-05,4060
2020-03-04,4313
2020-03-03,4183
2020-03-02,4991
2020-03-01,4314
2020-02-29,5518
2020-02-28,6484
2020-02-27,6714
2020-02-26,7292
2020-02-25,5922
2020-02-24,6848
2020-02-23,4516
2020-02-22,8105
2020-02-21,11676
2020-02-20,6565
2020-02-19,5511
2020-02-18,6169
2020-02-17,4920
2020-02-16,4194
2020-02-15,4646
2020-02-14,6703
2020-02-13,7147
2020-02-12,11353
2020-02-11,7384
2020-02-10,14725
2020-02-09,9194
2020-02-08,4522
2020-02-07,5936
2020-02-06,4830
2020-02-05,5603
2020-02-04,4167
2020-02-03,4162
2020-02-02,3539
2020-02-01,5072
2020-01-31,5569
2020-01-30,5332
2020-01-29,7520
2020-01-28,7575
2020-01-27,3867
2020-01-26,5990
2020-01-25,4609
2020-01-24,7942
2020-01-23,6630
2020-01-22,4132
2020-01-21,4382
2020-01-20,5146
2020-01-19,3206
2020-01-18,3374
2020-01-17,5584
2020-01-16,4813
2020-01-15,4138
2020-01-14,3454
2020-01-13,4082
2020-01-12,5028
2020-01-11,5385
2020-01-10,5669
2020-01-09,8204
2020-01-08,9267
2020-01-07,10138
2020-01-06,4944
2020-01-05,4825
2020-01-04,6014
2020-01-03,8098
2020-01-02,7836
2020-01-01,3860
2019-12-31,8658
2019-12-30,8626
2019-12-29,11384
2019-12-28,33705
2019-12-27,7157
2019-12-26,3212
2019-12-25,2349
2019-12-24,3683
2019-12-23,6237
2019-12-22,4073
2019-12-21,5757
2019-12-20,6705
2019-12-19,7737
2019-12-18,5597
2019-12-17,5520
2019-12-16,4290
2019-12-15,6657
2019-12-14,3289
2019-12-13,4207
2019-12-12,3864
2019-12-11,4707
2019-12-10,6028
2019-12-09,9294
2019-12-08,8102
2019-12-07,8192
2019-12-06,5382
2019-12-05,6045
2019-12-04,4578
2019-12-03,4645
2019-12-02,3620
2019-12-01,3218
2019-11-30,4529
2019-11-29,4996
2019-11-28,3045
2019-11-27,4424
2019-11-26,4336
2019-11-25,5270
2019-11-24,5102
2019-11-23,6129
2019-11-22,6832
2019-11-21,5049
2019-11-20,5635
2019-11-19,4025
2019-11-18,4028
2019-11-17,4398
2019-11-16,4463
2019-11-15,5603
2019-11-14,4726
2019-11-13,4818
2019-11-12,5782
2019-11-11,5445
2019-11-10,3415
2019-11-09,3990
2019-11-08,3667
2019-11-07,4097
2019-11-06,4216
2019-11-05,4438
2019-11-04,5032
2019-11-03,7304
2019-11-02,8058
2019-11-01,4854
2019-10-31,7439
2019-10-30,4013
2019-10-29,5678
2019-10-28,10285
2019-10-27,6129
2019-10-26,6783
2019-10-25,4255
2019-10-24,4232
2019-10-23,5026
2019-10-22,4252
2019-10-21,5161
2019-10-20,3942
2019-10-19,5414
2019-10-18,4563
2019-10-17,4688
2019-10-16,3534
2019-10-15,4206
2019-10-14,5412
2019-10-13,5036
2019-10-12,5076
2019-10-11,3183
2019-10-10,4097
2019-10-09,4113
2019-10-08,4948
2019-10-07,5329
2019-10-06,6024
2019-10-05,9616
2019-10-04,5446
2019-10-03,3987
2019-10-02,4002
2019-10-01,4486
2019-09-30,8556
2019-09-29,7737
2019-09-28,3201
2019-09-27,4795
2019-09-26,4566
2019-09-25,4540
2019-09-24,4304
2019-09-23,3702
2019-09-22,2436
2019-09-21,2543
2019-09-20,3160
2019-09-19,2796
2019-09-18,3133
2019-09-17,3385
2019-09-16,2468
2019-09-15,2657
2019-09-14,2764
2019-09-13,3611
2019-09-12,3931
2019-09-11,5340
2019-09-10,2866
2019-09-09,2682
2019-09-08,3841
2019-09-07,5659
2019-09-06,3792
2019-09-05,5061
2019-09-04,3255
2019-09-03,2567
2019-09-02,3309
2019-09-01,3549
2019-08-31,3757
2019-08-30,3322
2019-08-29,3355
2019-08-28,3877
2019-08-27,3579
2019-08-26,3714
2019-08-25,5700
2019-08-24,3136
2019-08-23,4868
2019-08-22,4333
2019-08-21,7576
2019-08-20,14972
2019-08-19,4964
2019-08-18,3795
2019-08-17,5854
2019-08-16,5309
2019-08-15,6713
2019-08-14,9298
2019-08-13,5888
2019-08-12,5030
2019-08-11,7573
2019-08-10,8454
2019-08-09,5806
2019-08-08,6733
2019-08-07,16906
2019-08-06,6236
2019-08-05,7632
2019-08-04,10070
2019-08-03,9774
2019-08-02,20034
2019-08-01,19833
2019-07-31,7869
2019-07-30,11143
2019-07-29,6509
2019-07-28,8196
2019-07-27,7946
2019-07-26,20592
2019-07-25,17511
2019-07-24,9711
2019-07-23,7228
2019-07-22,8455
2019-07-21,6246
2019-07-20,4406
2019-07-19,6899
2019-07-18,11034
2019-07-17,5145
2019-07-16,5326
2019-07-15,4798
2019-07-14,6313
2019-07-13,5840
2019-07-12,10207
2019-07-11,8430
2019-07-10,7423
2019-07-09,8978
2019-07-08,6354
2019-07-07,6601
2019-07-06,3229
2019-07-05,7693
2019-07-04,7737
2019-07-03,3542
2019-07-02,3511
2019-07-01,3193
2019-06-30,3095
2019-06-29,2697
2019-06-28,3993
2019-06-27,3831
2019-06-26,2840
2019-06-25,2616
2019-06-24,3103
2019-06-23,2765
2019-06-22,2824
2019-06-21,2940
2019-06-20,3408
2019-06-19,3458
2019-06-18,3061
2019-06-17,3398
2019-06-16,2639
2019-06-15,2229
2019-06-14,2714
2019-06-13,2913
2019-06-12,2649
2019-06-11,2802
2019-06-10,2887
2019-06-09,2711
2019-06-08,2718
2019-06-07,3448
2019-06-06,3154
2019-06-05,3063
2019-06-04,4324
2019-06-03,3312
2019-06-02,2709
2019-06-01,2567
2019-05-31,2691
2019-05-30,3439
2019-05-29,3488
2019-05-28,4090
2019-05-27,3186
2019-05-26,4093
2019-05-25,3714
2019-05-24,4917
2019-05-23,3696
2019-05-22,3240
2019-05-21,3615
2019-05-20,3659
2019-05-19,6028
2019-05-18,2695
2019-05-17,2848
2019-05-16,2807
2019-05-15,2908
2019-05-14,3287
2019-05-13,3340
2019-05-12,2489
2019-05-11,3666
2019-05-10,3432
2019-05-09,3240
2019-05-08,3522
2019-05-07,3015
2019-05-06,2957
2019-05-05,3708
2019-05-04,5643
2019-05-03,3744
2019-05-02,3168
2019-05-01,3487
2019-04-30,3045
2019-04-29,3137
2019-04-28,3351
2019-04-27,3013
2019-04-26,4120
2019-04-25,5424
2019-04-24,3236
2019-04-23,2766
2019-04-22,2922
2019-04-21,3084
2019-04-20,3304
2019-04-19,4494
2019-04-18,5576
2019-04-17,3364
2019-04-16,3104
2019-04-15,3960
2019-04-14,3436
2019-04-13,4206
2019-04-12,4406
2019-04-11,6664
2019-04-10,5012
2019-04-09,3072
2019-04-08,3704
2019-04-07,3215
2019-04-06,3528
2019-04-05,3989
2019-04-04,4114
2019-04-03,4072
2019-04-02,4771
2019-04-01,7206
2019-03-31,6347
2019-03-30,11909
2019-03-29,23605
2019-03-28,14525
2019-03-27,6732
2019-03-26,8930
2019-03-25,6969
2019-03-24,6446
2019-03-23,8717
2019-03-22,8734
2019-03-21,8972
2019-03-20,10524
2019-03-19,9816
2019-03-18,21445
2019-03-17,5183
2019-03-16,4630
2019-03-15,6065
2019-03-14,7033
2019-03-13,6618
2019-03-12,8525
2019-03-11,6720
2019-03-10,5466
2019-03-09,5543
2019-03-08,6071
2019-03-07,5829
2019-03-06,5852
2019-03-05,8926
2019-03-04,5589
2019-03-03,6137
2019-03-02,4305
2019-03-01,3938
2019-02-28,4264
2019-02-27,5531
2019-02-26,4684
2019-02-25,6089
2019-02-24,10518
2019-02-23,10415
2019-02-22,9141
2019-02-21,7308
2019-02-20,7386
2019-02-19,6903
2019-02-18,7919
2019-02-17,6571
2019-02-16,5531
2019-02-15,7951
2019-02-14,3931
2019-02-13,4149
2019-02-12,6846
2019-02-11,4924
2019-02-10,4855
2019-02-09,3203
2019-02-08,5519
2019-02-07,3322
2019-02-06,4417
2019-02-05,5798
2019-02-04,4899
2019-02-03,5655
2019-02-02,5747
2019-02-01,4760
2019-01-31,4994
2019-01-30,4160
2019-01-29,4279
2019-01-28,4183
2019-01-27,4639
2019-01-26,5187
2019-01-25,7678
2019-01-24,4645
2019-01-23,6463
2019-01-22,5286
2019-01-21,4589
2019-01-20,4202
2019-01-19,5248
2019-01-18,5464
2019-01-17,5787
2019-01-16,4999
2019-01-15,5879
2019-01-14,5866
2019-01-13,5672
2019-01-12,4994
2019-01-11,7093
2019-01-10,7264
2019-01-09,9512
2019-01-08,7510
2019-01-07,7869
2019-01-06,7827
2019-01-05,6824
2019-01-04,7835
2019-01-03,6295
2019-01-02,5979
2019-01-01,6545
2018-12-31,5924
2018-12-30,6336
2018-12-29,4700
2018-12-28,5566
2018-12-27,5827
2018-12-26,5431
2018-12-25,3933
2018-12-24,4970
2018-12-23,5243
2018-12-22,4780
2018-12-21,5306
2018-12-20,5639
2018-12-19,4983
2018-12-18,6713
2018-12-17,4570
2018-12-16,4772
2018-12-15,6089
2018-12-14,8679
2018-12-13,8901
2018-12-12,10563
2018-12-11,8999
2018-12-10,11122
2018-12-09,8266
2018-12-08,12273
2018-12-07,9709
2018-12-06,9295
2018-12-05,13623
2018-12-04,14649
2018-12-03,12924
2018-12-02,8989
2018-12-01,20305
2018-11-30,4854
2018-11-29,5090
2018-11-28,4560
2018-11-27,4419
2018-11-26,6376
2018-11-25,6042
2018-11-24,3319
2018-11-23,4223
2018-11-22,4434
2018-11-21,5383
2018-11-20,3517
2018-11-19,4460
2018-11-18,4957
2018-11-17,4846
2018-11-16,5356
2018-11-15,5629
2018-11-14,5356
2018-11-13,7338
2018-11-12,9175
2018-11-11,8312
2018-11-10,5848
2018-11-09,6196
2018-11-08,7617
2018-11-07,9999
2018-11-06,13530
2018-11-05,9031
2018-11-04,7691
2018-11-03,6212
2018-11-02,7930
2018-11-01,6110
2018-10-31,4955
2018-10-30,4508
2018-10-29,5566
2018-10-28,5873
2018-10-27,9477
2018-10-26,7568
2018-10-25,8710
2018-10-24,9633
2018-10-23,6368
2018-10-22,6242
2018-10-21,6177
2018-10-20,6636
2018-10-19,6557
2018-10-18,5174
2018-10-17,6071
2018-10-16,6140
2018-10-15,6883
2018-10-14,6538
2018-10-13,7699
2018-10-12,8251
2018-10-11,9794
2018-10-10,11346
2018-10-09,10460
2018-10-08,9205
2018-10-07,9492
2018-10-06,8396
2018-10-05,11779
2018-10-04,8670
2018-10-03,10421
2018-10-02,8445
2018-10-01,9561
2018-09-30,9436
2018-09-29,10188
2018-09-28,10674
2018-09-27,8596
2018-09-26,8094
2018-09-25,8201
2018-09-24,8251
2018-09-23,7204
2018-09-22,8559
2018-09-21,10667
2018-09-20,9187
2018-09-19,9956
2018-09-18,13403
2018-09-17,9091
2018-09-16,7823
2018-09-15,7019
2018-09-14,7752
2018-09-13,12688
2018-09-12,11292
2018-09-11,10651
2018-09-10,8386
2018-09-09,6694
2018-09-08,6697
2018-09-07,7992
2018-09-06,10424
2018-09-05,9335
2018-09-04,7608
2018-09-03,7710
2018-09-02,7478
2018-09-01,7821
2018-08-31,8239
2018-08-30,8972
2018-08-29,9645
2018-08-28,10105
2018-08-27,10108
2018-08-26,10094
2018-08-25,27080
2018-08-24,13763
2018-08-23,8151
2018-08-22,10100
2018-08-21,11373
2018-08-20,9275
2018-08-19,8217
2018-08-18,7994
2018-08-17,11094
2018-08-16,13896
2018-08-15,15682
2018-08-14,13298
2018-08-13,15131
2018-08-12,12511
2018-08-11,16527
2018-08-10,17497
2018-08-09,10226
2018-08-08,14460
2018-08-07,19503
2018-08-06,27885
2018-08-05,21713
2018-08-04,30786
2018-08-03,40482
2018-08-02,43867
2018-08-01,34840
2018-07-31,14100
2018-07-30,11533
2018-07-29,10580
2018-07-28,6617
2018-07-27,8064
2018-07-26,9038
2018-07-25,10037
2018-07-24,9201
2018-07-23,6553
2018-07-22,6579
2018-07-21,5829
2018-07-20,6140
2018-07-19,7590
2018-07-18,8140
2018-07-17,10815
2018-07-16,8874
2018-07-15,5726
2018-07-14,7476
2018-07-13,6127
2018-07-12,6827
2018-07-11,5685
2018-07-10,6085
2018-07-09,7311
2018-07-08,9936
2018-07-07,6396
2018-07-06,6977
2018-07-05,7070
2018-07-04,6626
2018-07-03,9465
2018-07-02,10409
2018-07-01,10416
2018-06-30,12297
2018-06-29,10820
2018-06-28,10924
2018-06-27,11461
2018-06-26,11316
2018-06-25,10550
2018-06-24,7361
2018-06-23,6394
2018-06-22,7717
2018-06-21,11553
2018-06-20,8811
2018-06-19,9648
2018-06-18,6641
2018-06-17,7230
2018-06-16,7846
2018-06-15,10300
2018-06-14,9664
2018-06-13,8044
2018-06-12,9094
2018-06-11,8994
2018-06-10,6220
2018-06-09,7576
2018-06-08,7714
2018-06-07,8187
2018-06-06,8163
2018-06-05,9116
2018-06-04,10199
2018-06-03,7501
2018-06-02,6213
