start,end,minute_count
2022-04-24T21:21:00.000Z,2022-04-24T21:22:00.000Z,112
2022-04-24T21:22:00.000Z,2022-04-24T21:23:00.000Z,109
2022-04-24T21:23:00.000Z,2022-04-24T21:24:00.000Z,100
2022-04-24T21:24:00.000Z,2022-04-24T21:25:00.000Z,130
2022-04-24T21:25:00.000Z,2022-04-24T21:26:00.000Z,89
2022-04-24T21:26:00.000Z,2022-04-24T21:27:00.000Z,100
2022-04-24T21:27:00.000Z,2022-04-24T21:28:00.000Z,88
2022-04-24T21:28:00.000Z,2022-04-24T21:29:00.000Z,108
2022-04-24T21:29:00.000Z,2022-04-24T21:30:00.000Z,123
2022-04-24T21:30:00.000Z,2022-04-24T21:31:00.000Z,117
2022-04-24T21:31:00.000Z,2022-04-24T21:32:00.000Z,139
2022-04-24T21:32:00.000Z,2022-04-24T21:33:00.000Z,119
2022-04-24T21:33:00.000Z,2022-04-24T21:34:00.000Z,110
2022-04-24T21:34:00.000Z,2022-04-24T21:35:00.000Z,110
2022-04-24T21:35:00.000Z,2022-04-24T21:36:00.000Z,118
2022-04-24T21:36:00.000Z,2022-04-24T21:37:00.000Z,138
2022-04-24T21:37:00.000Z,2022-04-24T21:38:00.000Z,110
2022-04-24T21:38:00.000Z,2022-04-24T21:39:00.000Z,115
2022-04-24T21:39:00.000Z,2022-04-24T21:40:00.000Z,128
2022-04-24T21:40:00.000Z,2022-04-24T21:41:00.000Z,105
2022-04-24T21:41:00.000Z,2022-04-24T21:42:00.000Z,116
2022-04-24T21:42:00.000Z,2022-04-24T21:43:00.000Z,132
2022-04-24T21:43:00.000Z,2022-04-24T21:44:00.000Z,105
2022-04-24T21:44:00.000Z,2022-04-24T21:45:00.000Z,108
2022-04-24T21:45:00.000Z,2022-04-24T21:46:00.000Z,101
2022-04-24T21:46:00.000Z,2022-04-24T21:47:00.000Z,110
2022-04-24T21:47:00.000Z,2022-04-24T21:48:00.000Z,76
2022-04-24T21:48:00.000Z,2022-04-24T21:49:00.000Z,130
2022-04-24T21:49:00.000Z,2022-04-24T21:50:00.000Z,106
2022-04-24T21:50:00.000Z,2022-04-24T21:51:00.000Z,94
2022-04-24T21:51:00.000Z,2022-04-24T21:52:00.000Z,93
2022-04-24T21:52:00.000Z,2022-04-24T21:53:00.000Z,88
2022-04-24T21:53:00.000Z,2022-04-24T21:54:00.000Z,93
2022-04-24T21:54:00.000Z,2022-04-24T21:55:00.000Z,84
2022-04-24T21:55:00.000Z,2022-04-24T21:56:00.000Z,106
2022-04-24T21:56:00.000Z,2022-04-24T21:57:00.000Z,80
2022-04-24T21:57:00.000Z,2022-04-24T21:58:00.000Z,114
2022-04-24T21:58:00.000Z,2022-04-24T21:59:00.000Z,99
2022-04-24T21:59:00.000Z,2022-04-24T22:00:00.000Z,111
2022-04-24T22:00:00.000Z,2022-04-24T22:01:00.000Z,107
2022-04-24T22:01:00.000Z,2022-04-24T22:02:00.000Z,100
2022-04-24T22:02:00.000Z,2022-04-24T22:03:00.000Z,99
2022-04-24T22:03:00.000Z,2022-04-24T22:04:00.000Z,116
2022-04-24T22:04:00.000Z,2022-04-24T22:05:00.000Z,89
2022-04-24T22:05:00.000Z,2022-04-24T22:06:00.000Z,95
2022-04-24T22:06:00.000Z,2022-04-24T22:07:00.000Z,118
2022-04-24T22:07:00.000Z,2022-04-24T22:08:00.000Z,105
2022-04-24T22:08:00.000Z,2022-04-24T22:09:00.000Z,100
2022-04-24T22:09:00.000Z,2022-04-24T22:10:00.000Z,96
2022-04-24T22:10:00.000Z,2022-04-24T22:11:00.000Z,107
2022-04-24T22:11:00.000Z,2022-04-24T22:12:00.000Z,109
2022-04-24T22:12:00.000Z,2022-04-24T22:13:00.000Z,105
2022-04-24T22:13:00.000Z,2022-04-24T22:14:00.000Z,101
2022-04-24T22:14:00.000Z,2022-04-24T22:15:00.000Z,114
2022-04-24T22:15:00.000Z,2022-04-24T22:16:00.000Z,100
2022-04-24T22:16:00.000Z,2022-04-24T22:17:00.000Z,124
2022-04-24T22:17:00.000Z,2022-04-24T22:18:00.000Z,89
2022-04-24T22:18:00.000Z,2022-04-24T22:19:00.000Z,100
2022-04-24T22:19:00.000Z,2022-04-24T22:20:00.000Z,123
2022-04-24T22:20:00.000Z,2022-04-24T22:21:00.000Z,115
2022-04-24T22:21:00.000Z,2022-04-24T22:22:00.000Z,112
2022-04-24T22:22:00.000Z,2022-04-24T22:23:00.000Z,97
2022-04-24T22:23:00.000Z,2022-04-24T22:24:00.000Z,102
2022-04-24T22:24:00.000Z,2022-04-24T22:25:00.000Z,105
2022-04-24T22:25:00.000Z,2022-04-24T22:26:00.000Z,104
2022-04-24T22:26:00.000Z,2022-04-24T22:27:00.000Z,116
2022-04-24T22:27:00.000Z,2022-04-24T22:28:00.000Z,88
2022-04-24T22:28:00.000Z,2022-04-24T22:29:00.000Z,91
2022-04-24T22:29:00.000Z,2022-04-24T22:30:00.000Z,101
2022-04-24T22:30:00.000Z,2022-04-24T22:31:00.000Z,121
2022-04-24T22:31:00.000Z,2022-04-24T22:32:00.000Z,90
2022-04-24T22:32:00.000Z,2022-04-24T22:33:00.000Z,83
2022-04-24T22:33:00.000Z,2022-04-24T22:34:00.000Z,116
2022-04-24T22:34:00.000Z,2022-04-24T22:35:00.000Z,98
2022-04-24T22:35:00.000Z,2022-04-24T22:36:00.000Z,83
2022-04-24T22:36:00.000Z,2022-04-24T22:37:00.000Z,109
2022-04-24T22:37:00.000Z,2022-04-24T22:38:00.000Z,93
2022-04-24T22:38:00.000Z,2022-04-24T22:39:00.000Z,92
2022-04-24T22:39:00.000Z,2022-04-24T22:40:00.000Z,96
2022-04-24T22:40:00.000Z,2022-04-24T22:41:00.000Z,95
2022-04-24T22:41:00.000Z,2022-04-24T22:42:00.000Z,89
2022-04-24T22:42:00.000Z,2022-04-24T22:43:00.000Z,88
2022-04-24T22:43:00.000Z,2022-04-24T22:44:00.000Z,92
2022-04-24T22:44:00.000Z,2022-04-24T22:45:00.000Z,80
2022-04-24T22:45:00.000Z,2022-04-24T22:46:00.000Z,89
2022-04-24T22:46:00.000Z,2022-04-24T22:47:00.000Z,92
2022-04-24T22:47:00.000Z,2022-04-24T22:48:00.000Z,93
2022-04-24T22:48:00.000Z,2022-04-24T22:49:00.000Z,81
2022-04-24T22:49:00.000Z,2022-04-24T22:50:00.000Z,79
2022-04-24T22:50:00.000Z,2022-04-24T22:51:00.000Z,93
2022-04-24T22:51:00.000Z,2022-04-24T22:52:00.000Z,95
2022-04-24T22:52:00.000Z,2022-04-24T22:53:00.000Z,87
2022-04-24T22:53:00.000Z,2022-04-24T22:54:00.000Z,87
2022-04-24T22:54:00.000Z,2022-04-24T22:55:00.000Z,100
2022-04-24T22:55:00.000Z,2022-04-24T22:56:00.000Z,92
2022-04-24T22:56:00.000Z,2022-04-24T22:57:00.000Z,105
2022-04-24T22:57:00.000Z,2022-04-24T22:58:00.000Z,99
2022-04-24T22:58:00.000Z,2022-04-24T22:59:00.000Z,89
2022-04-24T22:59:00.000Z,2022-04-24T23:00:00.000Z,87
2022-04-24T23:00:00.000Z,2022-04-24T23:01:00.000Z,119
2022-04-24T23:01:00.000Z,2022-04-24T23:02:00.000Z,88
2022-04-24T23:02:00.000Z,2022-04-24T23:03:00.000Z,105
2022-04-24T23:03:00.000Z,2022-04-24T23:04:00.000Z,81
2022-04-24T23:04:00.000Z,2022-04-24T23:05:00.000Z,95
2022-04-24T23:05:00.000Z,2022-04-24T23:06:00.000Z,88
2022-04-24T23:06:00.000Z,2022-04-24T23:07:00.000Z,87
2022-04-24T23:07:00.000Z,2022-04-24T23:08:00.000Z,91
2022-04-24T23:08:00.000Z,2022-04-24T23:09:00.000Z,86
2022-04-24T23:09:00.000Z,2022-04-24T23:10:00.000Z,104
2022-04-24T23:10:00.000Z,2022-04-24T23:11:00.000Z,95
2022-04-24T23:11:00.000Z,2022-04-24T23:12:00.000Z,93
2022-04-24T23:12:00.000Z,2022-04-24T23:13:00.000Z,109
2022-04-24T23:13:00.000Z,2022-04-24T23:14:00.000Z,106
2022-04-24T23:14:00.000Z,2022-04-24T23:15:00.000Z,134
2022-04-24T23:15:00.000Z,2022-04-24T23:16:00.000Z,130
2022-04-24T23:16:00.000Z,2022-04-24T23:17:00.000Z,155
2022-04-24T23:17:00.000Z,2022-04-24T23:18:00.000Z,164
2022-04-24T23:18:00.000Z,2022-04-24T23:19:00.000Z,168
2022-04-24T23:19:00.000Z,2022-04-24T23:20:00.000Z,150
2022-04-24T23:20:00.000Z,2022-04-24T23:21:00.000Z,168
2022-04-24T23:21:00.000Z,2022-04-24T23:22:00.000Z,141
2022-04-24T23:22:00.000Z,2022-04-24T23:23:00.000Z,157
2022-04-24T23:23:00.000Z,2022-04-24T23:24:00.000Z,154
2022-04-24T23:24:00.000Z,2022-04-24T23:25:00.000Z,145
2022-04-24T23:25:00.000Z,2022-04-24T23:26:00.000Z,120
2022-04-24T23:26:00.000Z,2022-04-24T23:27:00.000Z,148
2022-04-24T23:27:00.000Z,2022-04-24T23:28:00.000Z,130
2022-04-24T23:28:00.000Z,2022-04-24T23:29:00.000Z,136
2022-04-24T23:29:00.000Z,2022-04-24T23:30:00.000Z,128
2022-04-24T23:30:00.000Z,2022-04-24T23:31:00.000Z,140
2022-04-24T23:31:00.000Z,2022-04-24T23:32:00.000Z,140
2022-04-24T23:32:00.000Z,2022-04-24T23:33:00.000Z,109
2022-04-24T23:33:00.000Z,2022-04-24T23:34:00.000Z,125
2022-04-24T23:34:00.000Z,2022-04-24T23:35:00.000Z,124
2022-04-24T23:35:00.000Z,2022-04-24T23:36:00.000Z,140
2022-04-24T23:36:00.000Z,2022-04-24T23:37:00.000Z,118
2022-04-24T23:37:00.000Z,2022-04-24T23:38:00.000Z,135
2022-04-24T23:38:00.000Z,2022-04-24T23:39:00.000Z,128
2022-04-24T23:39:00.000Z,2022-04-24T23:40:00.000Z,131
2022-04-24T23:40:00.000Z,2022-04-24T23:41:00.000Z,117
2022-04-24T23:41:00.000Z,2022-04-24T23:42:00.000Z,136
2022-04-24T23:42:00.000Z,2022-04-24T23:43:00.000Z,112
2022-04-24T23:43:00.000Z,2022-04-24T23:44:00.000Z,144
2022-04-24T23:44:00.000Z,2022-04-24T23:45:00.000Z,142
2022-04-24T23:45:00.000Z,2022-04-24T23:46:00.000Z,130
2022-04-24T23:46:00.000Z,2022-04-24T23:47:00.000Z,99
2022-04-24T23:47:00.000Z,2022-04-24T23:48:00.000Z,119
2022-04-24T23:48:00.000Z,2022-04-24T23:49:00.000Z,120
2022-04-24T23:49:00.000Z,2022-04-24T23:50:00.000Z,127
2022-04-24T23:50:00.000Z,2022-04-24T23:51:00.000Z,117
2022-04-24T23:51:00.000Z,2022-04-24T23:52:00.000Z,141
2022-04-24T23:52:00.000Z,2022-04-24T23:53:00.000Z,103
2022-04-24T23:53:00.000Z,2022-04-24T23:54:00.000Z,90
2022-04-24T23:54:00.000Z,2022-04-24T23:55:00.000Z,116
2022-04-24T23:55:00.000Z,2022-04-24T23:56:00.000Z,104
2022-04-24T23:56:00.000Z,2022-04-24T23:57:00.000Z,122
2022-04-24T23:57:00.000Z,2022-04-24T23:58:00.000Z,120
2022-04-24T23:58:00.000Z,2022-04-24T23:59:00.000Z,110
2022-04-24T23:59:00.000Z,2022-04-25T00:00:00.000Z,132
2022-04-25T00:00:00.000Z,2022-04-25T00:01:00.000Z,137
2022-04-25T00:01:00.000Z,2022-04-25T00:02:00.000Z,116
2022-04-25T00:02:00.000Z,2022-04-25T00:03:00.000Z,116
2022-04-25T00:03:00.000Z,2022-04-25T00:04:00.000Z,93
2022-04-25T00:04:00.000Z,2022-04-25T00:05:00.000Z,106
2022-04-25T00:05:00.000Z,2022-04-25T00:06:00.000Z,99
2022-04-25T00:06:00.000Z,2022-04-25T00:07:00.000Z,106
2022-04-25T00:07:00.000Z,2022-04-25T00:08:00.000Z,112
2022-04-25T00:08:00.000Z,2022-04-25T00:09:00.000Z,97
2022-04-25T00:09:00.000Z,2022-04-25T00:10:00.000Z,90
2022-04-25T00:10:00.000Z,2022-04-25T00:11:00.000Z,106
2022-04-25T00:11:00.000Z,2022-04-25T00:12:00.000Z,111
2022-04-25T00:12:00.000Z,2022-04-25T00:13:00.000Z,130
2022-04-25T00:13:00.000Z,2022-04-25T00:14:00.000Z,92
2022-04-25T00:14:00.000Z,2022-04-25T00:15:00.000Z,112
2022-04-25T00:15:00.000Z,2022-04-25T00:16:00.000Z,101
2022-04-25T00:16:00.000Z,2022-04-25T00:17:00.000Z,108
2022-04-25T00:17:00.000Z,2022-04-25T00:18:00.000Z,110
2022-04-25T00:18:00.000Z,2022-04-25T00:19:00.000Z,99
2022-04-25T00:19:00.000Z,2022-04-25T00:20:00.000Z,100
2022-04-25T00:20:00.000Z,2022-04-25T00:21:00.000Z,86
2022-04-25T00:21:00.000Z,2022-04-25T00:22:00.000Z,93
2022-04-25T00:22:00.000Z,2022-04-25T00:23:00.000Z,96
2022-04-25T00:23:00.000Z,2022-04-25T00:24:00.000Z,94
2022-04-25T00:24:00.000Z,2022-04-25T00:25:00.000Z,122
2022-04-25T00:25:00.000Z,2022-04-25T00:26:00.000Z,93
2022-04-25T00:26:00.000Z,2022-04-25T00:27:00.000Z,95
2022-04-25T00:27:00.000Z,2022-04-25T00:28:00.000Z,113
2022-04-25T00:28:00.000Z,2022-04-25T00:29:00.000Z,113
2022-04-25T00:29:00.000Z,2022-04-25T00:30:00.000Z,101
2022-04-25T00:30:00.000Z,2022-04-25T00:31:00.000Z,90
2022-04-25T00:31:00.000Z,2022-04-25T00:32:00.000Z,118
2022-04-25T00:32:00.000Z,2022-04-25T00:33:00.000Z,83
2022-04-25T00:33:00.000Z,2022-04-25T00:34:00.000Z,115
2022-04-25T00:34:00.000Z,2022-04-25T00:35:00.000Z,95
2022-04-25T00:35:00.000Z,2022-04-25T00:36:00.000Z,104
2022-04-25T00:36:00.000Z,2022-04-25T00:37:00.000Z,114
2022-04-25T00:37:00.000Z,2022-04-25T00:38:00.000Z,94
2022-04-25T00:38:00.000Z,2022-04-25T00:39:00.000Z,109
2022-04-25T00:39:00.000Z,2022-04-25T00:40:00.000Z,96
2022-04-25T00:40:00.000Z,2022-04-25T00:41:00.000Z,101
2022-04-25T00:41:00.000Z,2022-04-25T00:42:00.000Z,102
2022-04-25T00:42:00.000Z,2022-04-25T00:43:00.000Z,115
2022-04-25T00:43:00.000Z,2022-04-25T00:44:00.000Z,109
2022-04-25T00:44:00.000Z,2022-04-25T00:45:00.000Z,117
2022-04-25T00:45:00.000Z,2022-04-25T00:46:00.000Z,109
2022-04-25T00:46:00.000Z,2022-04-25T00:47:00.000Z,105
2022-04-25T00:47:00.000Z,2022-04-25T00:48:00.000Z,120
2022-04-25T00:48:00.000Z,2022-04-25T00:49:00.000Z,88
2022-04-25T00:49:00.000Z,2022-04-25T00:50:00.000Z,107
2022-04-25T00:50:00.000Z,2022-04-25T00:51:00.000Z,121
2022-04-25T00:51:00.000Z,2022-04-25T00:52:00.000Z,103
2022-04-25T00:52:00.000Z,2022-04-25T00:53:00.000Z,82
2022-04-25T00:53:00.000Z,2022-04-25T00:54:00.000Z,104
2022-04-25T00:54:00.000Z,2022-04-25T00:55:00.000Z,98
2022-04-25T00:55:00.000Z,2022-04-25T00:56:00.000Z,105
2022-04-25T00:56:00.000Z,2022-04-25T00:57:00.000Z,108
2022-04-25T00:57:00.000Z,2022-04-25T00:58:00.000Z,110
2022-04-25T00:58:00.000Z,2022-04-25T00:59:00.000Z,98
2022-04-25T00:59:00.000Z,2022-04-25T01:00:00.000Z,100
2022-04-25T01:00:00.000Z,2022-04-25T01:01:00.000Z,107
2022-04-25T01:01:00.000Z,2022-04-25T01:02:00.000Z,111
2022-04-25T01:02:00.000Z,2022-04-25T01:03:00.000Z,100
2022-04-25T01:03:00.000Z,2022-04-25T01:04:00.000Z,98
2022-04-25T01:04:00.000Z,2022-04-25T01:05:00.000Z,108
2022-04-25T01:05:00.000Z,2022-04-25T01:06:00.000Z,98
2022-04-25T01:06:00.000Z,2022-04-25T01:07:00.000Z,85
2022-04-25T01:07:00.000Z,2022-04-25T01:08:00.000Z,79
2022-04-25T01:08:00.000Z,2022-04-25T01:09:00.000Z,103
2022-04-25T01:09:00.000Z,2022-04-25T01:10:00.000Z,108
2022-04-25T01:10:00.000Z,2022-04-25T01:11:00.000Z,84
2022-04-25T01:11:00.000Z,2022-04-25T01:12:00.000Z,83
2022-04-25T01:12:00.000Z,2022-04-25T01:13:00.000Z,94
2022-04-25T01:13:00.000Z,2022-04-25T01:14:00.000Z,102
2022-04-25T01:14:00.000Z,2022-04-25T01:15:00.000Z,103
2022-04-25T01:15:00.000Z,2022-04-25T01:16:00.000Z,89
2022-04-25T01:16:00.000Z,2022-04-25T01:17:00.000Z,93
2022-04-25T01:17:00.000Z,2022-04-25T01:18:00.000Z,113
2022-04-25T01:18:00.000Z,2022-04-25T01:19:00.000Z,86
2022-04-25T01:19:00.000Z,2022-04-25T01:20:00.000Z,88
2022-04-25T01:20:00.000Z,2022-04-25T01:21:00.000Z,102
2022-04-25T01:21:00.000Z,2022-04-25T01:22:00.000Z,89
2022-04-25T01:22:00.000Z,2022-04-25T01:23:00.000Z,92
2022-04-25T01:23:00.000Z,2022-04-25T01:24:00.000Z,107
2022-04-25T01:24:00.000Z,2022-04-25T01:25:00.000Z,106
2022-04-25T01:25:00.000Z,2022-04-25T01:26:00.000Z,99
2022-04-25T01:26:00.000Z,2022-04-25T01:27:00.000Z,96
2022-04-25T01:27:00.000Z,2022-04-25T01:28:00.000Z,102
2022-04-25T01:28:00.000Z,2022-04-25T01:29:00.000Z,98
2022-04-25T01:29:00.000Z,2022-04-25T01:30:00.000Z,90
2022-04-25T01:30:00.000Z,2022-04-25T01:31:00.000Z,98
2022-04-25T01:31:00.000Z,2022-04-25T01:32:00.000Z,109
2022-04-25T01:32:00.000Z,2022-04-25T01:33:00.000Z,101
2022-04-25T01:33:00.000Z,2022-04-25T01:34:00.000Z,74
2022-04-25T01:34:00.000Z,2022-04-25T01:35:00.000Z,94
2022-04-25T01:35:00.000Z,2022-04-25T01:36:00.000Z,109
2022-04-25T01:36:00.000Z,2022-04-25T01:37:00.000Z,95
2022-04-25T01:37:00.000Z,2022-04-25T01:38:00.000Z,90
2022-04-25T01:38:00.000Z,2022-04-25T01:39:00.000Z,91
2022-04-25T01:39:00.000Z,2022-04-25T01:40:00.000Z,91
2022-04-25T01:40:00.000Z,2022-04-25T01:41:00.000Z,82
2022-04-25T01:41:00.000Z,2022-04-25T01:42:00.000Z,97
2022-04-25T01:42:00.000Z,2022-04-25T01:43:00.000Z,123
2022-04-25T01:43:00.000Z,2022-04-25T01:44:00.000Z,107
2022-04-25T01:44:00.000Z,2022-04-25T01:45:00.000Z,111
2022-04-25T01:45:00.000Z,2022-04-25T01:46:00.000Z,99
2022-04-25T01:46:00.000Z,2022-04-25T01:47:00.000Z,89
2022-04-25T01:47:00.000Z,2022-04-25T01:48:00.000Z,71
2022-04-25T01:48:00.000Z,2022-04-25T01:49:00.000Z,77
2022-04-25T01:49:00.000Z,2022-04-25T01:50:00.000Z,85
2022-04-25T01:50:00.000Z,2022-04-25T01:51:00.000Z,93
2022-04-25T01:51:00.000Z,2022-04-25T01:52:00.000Z,86
2022-04-25T01:52:00.000Z,2022-04-25T01:53:00.000Z,108
2022-04-25T01:53:00.000Z,2022-04-25T01:54:00.000Z,123
2022-04-25T01:54:00.000Z,2022-04-25T01:55:00.000Z,103
2022-04-25T01:55:00.000Z,2022-04-25T01:56:00.000Z,128
2022-04-25T01:56:00.000Z,2022-04-25T01:57:00.000Z,129
2022-04-25T01:57:00.000Z,2022-04-25T01:58:00.000Z,98
2022-04-25T01:58:00.000Z,2022-04-25T01:59:00.000Z,107
2022-04-25T01:59:00.000Z,2022-04-25T02:00:00.000Z,121
2022-04-25T02:00:00.000Z,2022-04-25T02:01:00.000Z,127
2022-04-25T02:01:00.000Z,2022-04-25T02:02:00.000Z,98
2022-04-25T02:02:00.000Z,2022-04-25T02:03:00.000Z,121
2022-04-25T02:03:00.000Z,2022-04-25T02:04:00.000Z,100
2022-04-25T02:04:00.000Z,2022-04-25T02:05:00.000Z,99
2022-04-25T02:05:00.000Z,2022-04-25T02:06:00.000Z,99
2022-04-25T02:06:00.000Z,2022-04-25T02:07:00.000Z,86
2022-04-25T02:07:00.000Z,2022-04-25T02:08:00.000Z,97
2022-04-25T02:08:00.000Z,2022-04-25T02:09:00.000Z,111
2022-04-25T02:09:00.000Z,2022-04-25T02:10:00.000Z,93
2022-04-25T02:10:00.000Z,2022-04-25T02:11:00.000Z,90
2022-04-25T02:11:00.000Z,2022-04-25T02:12:00.000Z,91
2022-04-25T02:12:00.000Z,2022-04-25T02:13:00.000Z,82
2022-04-25T02:13:00.000Z,2022-04-25T02:14:00.000Z,76
2022-04-25T02:14:00.000Z,2022-04-25T02:15:00.000Z,88
2022-04-25T02:15:00.000Z,2022-04-25T02:16:00.000Z,94
2022-04-25T02:16:00.000Z,2022-04-25T02:17:00.000Z,117
2022-04-25T02:17:00.000Z,2022-04-25T02:18:00.000Z,118
2022-04-25T02:18:00.000Z,2022-04-25T02:19:00.000Z,83
2022-04-25T02:19:00.000Z,2022-04-25T02:20:00.000Z,96
2022-04-25T02:20:00.000Z,2022-04-25T02:21:00.000Z,83
2022-04-25T02:21:00.000Z,2022-04-25T02:22:00.000Z,72
2022-04-25T02:22:00.000Z,2022-04-25T02:23:00.000Z,95
2022-04-25T02:23:00.000Z,2022-04-25T02:24:00.000Z,88
2022-04-25T02:24:00.000Z,2022-04-25T02:25:00.000Z,92
2022-04-25T02:25:00.000Z,2022-04-25T02:26:00.000Z,89
2022-04-25T02:26:00.000Z,2022-04-25T02:27:00.000Z,94
2022-04-25T02:27:00.000Z,2022-04-25T02:28:00.000Z,81
2022-04-25T02:28:00.000Z,2022-04-25T02:29:00.000Z,110
