storeNumber,name,address,city,state,zip,phone,latitude,longitude,brand,open_date
51303,34th Street,"130 W 34th St, Frnt 1",New York,NY,10001-2169,646-200-5190,40.75023,-73.98938,GH,
31763,Bay Plaza,200 Baychester Ave,Bronx,NY,10475,347-607-3815,40.86447,-73.82649,HOL,2022-07-15
31229,Green Acres,2034 Green Acres Mall,Valley Stream,NY,11581-1545,516-537-0042,40.662,-73.7197,HOL,2018-10-12
30676,Newport Centre,"30 Mall Dr W, Ste 234",Jersey City,NJ,07310,201-222-3222,40.72803,-74.03833,HOL,2008-07-11
31663,Kings Plaza,"5100 Kings Plaza, Ste 2",Brooklyn,NY,11234-5225,718-377-0913,40.6097,-73.9194,HOL,2017-11-17
31661,Cross County,8000 Mall Walk,Yonkers,NY,10704,914-885-0083,40.9284,-73.8555,HOL,2018-07-20
31762,Roosevelt Field,630 Old Country Rd,Garden City,NY,11530,516 214 5147,40.73997,-73.61357,HOL,
31501,American Dream,1 American Dream Way,East Rutherford,NJ,07073,201-549-5009,40.8097,-74.11805,HOL,2020-10-01
30115,Garden State,282 Garden State Plaza Blvd,Paramus,NJ,07652,201-291-1877,40.91811,-74.07636,HOL,
52009,Garden State,282 Garden State Plz,Paramus,NJ,07652,201-291-1877,40.91811,-74.07636,GH,
30670,Broadway Mall,875 Broadway Mall,Hicksville,NY,11801,516-433-4230,40.77305,-73.52946,HOL,2008-10-16
31405,Jersey Gardens Outlet,651 Kapkowski Rd,Elizabeth,NJ,07201,908-662-6560,40.66553,-74.17184,HOL,2022-10-08
30539,Staten Island,2655 Richmond Avenue,Staten Island,NY,10314,718-873-0000,40.58091,-74.16911,HOL,2006-07-06
50538,Willowbrook,1400 Willowbrook Mall,Wayne,NJ,07470,973-812-1012,40.89041,-74.26062,GH,
30538,Willowbrook,1400 Willowbrook Mall Space 2058,Wayne,NJ,07470,973-812-1012,40.89027,-74.26077,HOL,
30126,Palisades,2360 Palisades Center Drive,West Nyack,NY,10994,845-348-9573,41.09878,-73.95455,HOL,2001-07-27
30620,Livingston,"112 Eisenhower Pkwy, Ste 83",Livingston,NJ,07039,973-992-7054,40.77656,-74.35356,HOL,2008-06-26
31307,Woodbridge,250 Woodbridge Center Dr,Woodbridge,NJ,07095-1341,732-636-1959,40.55411,-74.30009,HOL,2017-05-12
33513,Deer Park Outlet,"152 The Arches Circle, Ste 549",Deer Park,NY,11729,631-392-2335,40.76498,-73.30382,HOL,2021-07-23
30570,Menlo Park,"100 Menlo Park, Ste 500",Edison,NJ,08837,732-494-4928,40.54883,-74.33559,HOL,2007-10-04
31522,Sono Collection,"105 West Avenue, Space 3600",Norwalk,CT,06854,203-295-2704,41.10509,-73.41909,HOL,2019-11-22
30700,Brunswick Square,"755 State Route 18, Ste 738a",East Brunswick,NJ,08816,732-613-1806,40.42765,-74.38271,HOL,2008-07-31
30388,Rockaway,301 Mt Hope Ave,Rockaway,NJ,07866,973-361-4571,40.9068,-74.5538,HOL,2005-07-01
31535,Jersey Shore Po,1 Premium Outlet Blvd,Tinton Falls,NJ,07753,732-481-4688,40.22581,-74.09326,HOL,
51535,Jersey Shore Po,1 Premium Outlet Blvd,Tinton Falls,NJ,07753,732-481-4688,40.22581,-74.09326,GH,
31526,Smith Haven,313 Smith Haven Mall,Lake Grove,NY,11755,631-724-4657,40.86346,-73.12929,HOL,2017-10-20
30206,Freehold Raceway,"3710 Us Highway 9, Ste 1503",Freehold,NJ,07728,732-761-8920,40.25454,-74.29736,HOL,2002-11-22
30708,Bridgewater Commons,"400 Commons Way, Ste 451",Bridgewater,NJ,08807,908-231-0220,40.58645,-74.61821,HOL,
50708,Bridgewater Commons,"400 Commons Way, Ste 451",Bridgewater,NJ,08807,908-231-0220,40.58645,-74.61821,GH,
30452,Trumbull,"5065 Main Street, Ste F169",Trumbull,CT,06611,203-365-0337,41.2299,-73.22549,HOL,2005-08-12
30458,Danbury Fair,"7 Backus Avenue, Ste 227",Danbury,CT,06810,203-797-0820,41.37972,-73.4807,HOL,2007-05-18
30499,Connecticut Post,1201 Boston Post Road,Milford,CT,06460,203-877-6900,41.23495,-73.03791,HOL,2006-04-06
30682,Galleria-Crystal Run,"1 N Galleria Drive, Ste 144",Middletown,NY,10941,845-692-6311,41.45452,-74.37007,HOL,2008-09-18
30387,Ocean County,"1201 Hooper Avenue, Ste 12",Toms River,NJ,08753,732-286-1304,39.97896,-74.18263,HOL,2005-09-24
30624,Poughkeepsie,"2001 South Road, Ste 115",Poughkeepsie,NY,12601,845-297-2891,41.62379,-73.91767,HOL,2008-05-22
33508,Riverhead Outlet,"1770 W Main Street, Space 1410",Riverhead,NY,11901,631-284-6010,40.92109,-72.71293,HOL,2019-08-16
30234,Oxford Valley,"2300 E Lincoln Hwy, Ste 170",Langhorne,PA,19047,215-752-1851,40.18353,-74.88093,HOL,2003-07-24
31628,Citadel Outlets,100 Citadel Dr,Commerce,CA,90040,323-803-2966,34.00638,-118.15083,HOL,2022-10-07
30698,Westfield Culver City,"6000 Sepulveda Blvd,Suite 2151",Culver City,CA,90230,310-397-1814,33.98643,-118.39366,HOL,2009-10-08
31475,Stonewood Center,"228 Stonewood Street, Space F15",Downey,CA,90241,562-382-1162,33.9357,-118.11912,HOL,2016-02-27
30358,Glendale Galleria,2158 Glendale Galleria,Glendale,CA,91210,818-241-2870,34.14518,-118.25855,HOL,
50358,Glendale Galleria,2158 Glendale Galleria,Glendale,CA,91210,818-241-2870,34.14518,-118.25855,GH,
51590,Glendale Galleria,2124 Glendale Galleria,Glendale,CA,91210,818-539-1962,34.14518,-118.25855,GH,2023-02-03
30584,Montebello,1727 Montebello Town Center,Montebello,CA,90640,323-727-6076,34.03739,-118.08183,HOL,
30546,Lakewood,315 Lakewood Center Mall Space 82,Lakewood,CA,90712,562-630-4178,33.85293,-118.14047,HOL,2006-11-16
30217,Del Amo Fashion,"21712 Hawthorne Blvd, Ste 226a",Torrance,CA,90503,310-371-1753,33.83123,-118.35214,HOL,2014-05-01
33555,Third Street Promenade,1437 3rd Street Promenade,Santa Monica,CA,90401,310-460-0147,34.01612,-118.49643,HOL,2020-02-21
30258,Los Cerritos,151 Los Cerritos Center,Cerritos,CA,90703,562-924-3353,33.86344,-118.09366,HOL,2003-07-17
31725,Wfd Fashion Square,"14006 Riverside Dr, Ste 243",Sherman Oaks,CA,91423,747-998-4125,34.1569,-118.4374,HOL,2019-09-12
30254,Santa Anita,400 S Baldwin Ave Ste 718,Arcadia,CA,91007,626-254-0066,34.1328,-118.05157,HOL,
50254,Santa Anita,400 S Baldwin Ave Ste 718,Arcadia,CA,91007,626-254-0066,34.1328,-118.05157,GH,
30256,West Covina,783 Plaza Drive,West Covina,CA,91790,626-472-6381,34.0698,-117.9268,HOL,2003-09-04
30124,Brea,"1065 Brea Mall, Ste 2014c",Brea,CA,92821,714-671-1013,33.91538,-117.88751,HOL,2001-07-26
30357,Northridge Fashion,9301 Tampa Ave Unit 36,Northridge,CA,91324,818-576-9027,34.23895,-118.55707,HOL,2005-09-24
30111,Topanga,"6600 Topanga Canyon Blvd, Ste 84b",Canoga Park,CA,91303,818-992-4403,34.19046,-118.60494,HOL,
52007,Topanga,6600 Topanga Canyon Blvd,Canoga Park,CA,91303,818-992-4403,34.19046,-118.60494,GH,
30367,Outlets At Orange,20 City Blvd W Suite 301,Orange,CA,92868,714-923-0007,33.78585,-117.89277,HOL,2004-09-16
30332,Montclair Place,5033 E Montclair Plaza Ln,Montclair,CA,91763,909-624-2800,34.08827,-117.69535,HOL,2003-11-26
30202,Valencia,"24201 Valencia Blvd, Ste 1234",Valencia,CA,91355,661-753-9491,34.41606,-118.55766,HOL,2002-11-02
30395,Irvine Spectrum,647 Spectrum Center Drive,Irvine,CA,92618,949-727-4388,33.65136,-117.74438,HOL,2004-11-04
51683,Irvine Spectrum,653 Spectrum Center Dr,Irvine,CA,92618,949-739-7459,33.65136,-117.74438,GH,2022-10-21
31412,Ontario Mills Outlet,1 Mills Cir,Ontario,CA,91764,909-360-5970,34.07296,-117.55109,HOL,
51412,Ontario Mills Outlet,1 Mills Cir,Ontario,CA,91764,909-360-5970,34.07296,-117.55109,GH,
30537,Antelope Valley,1233 W Rancho Vista Blvd,Palmdale,CA,93551,661-273-5780,34.60215,-118.15187,HOL,2006-06-29
30261,Victoria Gardens,12580 N Mainstreet,Rancho Cucamonga,CA,91739,909-646-8830,34.11207,-117.53219,HOL,2004-10-28
31761,Mission Viejo,555 The Shops At Mission Viejo,Mission Viejo,CA,92691,949-485-3538,33.5594,-117.66899,HOL,2022-08-05
30195,Galleria At Tyler,1250 Galleria At Tyler,Riverside,CA,92503,951-509-3836,33.90915,-117.45851,HOL,2002-07-25
30517,Inland,550 Inland Center Dr,San Bernardino,CA,92408,909-386-1600,34.09042,-117.2958,HOL,2006-07-06
30692,Moreno Valley,22500 Town Cir Suite 1044,Moreno Valley,CA,92553,951-653-5099,33.93855,-117.27133,HOL,2008-08-21
30544,Pacific View,3301 E Main St,Ventura,CA,93003,805-477-0742,34.27182,-119.25073,HOL,2006-05-19
31101,Victor Valley,14400 Bear Valley Road,Victorville,CA,92392,760-269-4262,34.47375,-117.3472,HOL,2018-11-21
31827,Promenade,40820 Winchester Road,Temecula,CA,92591,951-466-3901,33.52479,-117.15307,HOL,
51827,Promenade,40820 Winchester Road,Temecula,CA,92591,951-466-3901,33.52479,-117.15307,GH,
30238,Shoppes At Carlsbad,"2525 El Camino Real, Suite 157",Carlsbad,CA,92008,760-434-3656,33.17852,-117.33008,HOL,2004-07-01
31658,Paseo Nuevo,721 State Street,Santa Barbara,CA,93101,805-564-7047,34.41914,-119.69895,HOL,2021-02-26
33565,Willow Grove Park,"2500 W Moreland Rd, Ste 1032",Willow Grove,PA,19090,215-346-5124,40.14022,-75.12422,HOL,2019-11-26
31945,Cherry Hill,2000 State Route 38,Cherry Hill,NJ,08002,856-488-8247,39.94103,-75.02501,HOL,
51945,Cherry Hill,2000 Route 38 Ste 1795,Cherry Hill,NJ,08002,856-488-8247,39.9419,-75.03,GH,
