intldes,norad_cat_id,object_type,satname,country,launch,site,decay,period,inclination,apogee,perigee,comment,commentcode,rcsvalue,rcs_size,file,launch_year,launch_num,launch_piece,current,object_name,object_id,object_number
1977-076B,10272,ROCKET BODY,TITAN 3E CENTAUR R/B(1),US,1977-08-20,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1977,76,B,Y,TITAN 3E CENTAUR R/B(1),1977-076B,10272
1977-076C,10273,ROCKET BODY,TITAN 3E CENTAUR R/B(2),US,1977-08-20,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1977,76,C,Y,TITAN 3E CENTAUR R/B(2),1977-076C,10273
1977-084A,10321,PAYLOAD,VOYAGER 1,US,1977-09-05,AFETR,,,,,,ESCAPED SOLAR SYSTEM,,0,,1,1977,84,A,Y,VOYAGER 1,1977-084A,10321
1977-084B,10322,ROCKET BODY,TITAN 3E CENTAUR R/B(1),US,1977-09-05,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1977,84,B,Y,TITAN 3E CENTAUR R/B(1),1977-084B,10322
1977-084C,10323,ROCKET BODY,TITAN 3E CENTAUR R/B(2),US,1977-09-05,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1977,84,C,Y,TITAN 3E CENTAUR R/B(2),1977-084C,10323
1977-112B,10504,ROCKET BODY,ATLAS F R/B,US,1977-12-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,112,B,Y,ATLAS F R/B,1977-112B,10504
1977-114A,10508,PAYLOAD,OPS 4258,US,1977-12-11,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,114,A,Y,OPS 4258,1977-114A,10508
1977-114B,10509,ROCKET BODY,ATLAS AGENA D R/B,US,1977-12-11,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,114,B,Y,ATLAS AGENA D R/B,1977-114B,10509
1977-112C,10528,DEBRIS,OPS 8781 DEB,US,1977-12-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,112,C,Y,OPS 8781 DEB,1977-112C,10528
1977-112G,10595,DEBRIS,OPS 8781 DEB,US,1977-12-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1977,112,G,Y,OPS 8781 DEB,1977-112G,10595
1978-021A,10688,PAYLOAD,OPS 6031,US,1978-02-25,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1978,21,A,Y,OPS 6031,1978-021A,10688
1978-021B,10689,ROCKET BODY,TITAN 34B AGENA D R/B,US,1978-02-25,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1978,21,B,Y,TITAN 34B AGENA D R/B,1978-021B,10689
1978-029B,10734,PAYLOAD,OPS 7858,US,1978-03-16,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1978,29,B,Y,OPS 7858,1978-029B,10734
1978-038B,10788,ROCKET BODY,ATLAS AGENA D R/B,US,1978-04-07,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1978,38,B,Y,ATLAS AGENA D R/B,1978-038B,10788
1978-051B,10912,ROCKET BODY,ATLAS CENTAUR R/B,US,1978-05-20,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1978,51,B,Y,ATLAS CENTAUR R/B,1978-051B,10912
1978-058A,10941,PAYLOAD,OPS 9454,US,1978-06-10,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1978,58,A,Y,OPS 9454,1978-058A,10941
1978-078C,11003,ROCKET BODY,ATLAS CENTAUR R/B(2),US,1978-08-08,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1978,78,C,Y,ATLAS CENTAUR R/B(2),1978-078C,11003
1978-079A,11004,PAYLOAD,ISEE 3 (ICE),US,1978-08-12,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1978,79,A,Y,ISEE 3 (ICE),1978-079A,11004
1978-084A,11020,PAYLOAD,VENERA 11 BUS,CIS,1978-09-09,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1978,84,A,Y,VENERA 11 BUS,1978-084A,11020
1978-086A,11025,PAYLOAD,VENERA 12 BUS,CIS,1978-09-14,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1978,86,A,Y,VENERA 12 BUS,1978-086A,11025
1979-025B,11306,PAYLOAD,OPS 6675,US,1979-03-16,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,25,B,Y,OPS 6675,1979-025B,11306
1979-050B,11403,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,B,Y,OPS 5390 DEB,1979-050B,11403
1979-050C,11408,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,C,Y,OPS 5390 DEB,1979-050C,11408
1979-050D,11410,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,D,Y,OPS 5390 DEB,1979-050D,11410
1979-050G,11534,DEBRIS,OPS 5390 DEB,US,1979-06-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1979,50,G,Y,OPS 5390 DEB,1979-050G,11534
1980-019B,11721,ROCKET BODY,ATLAS 67F R/B,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,B,Y,ATLAS 67F R/B,1980-019B,11721
1980-019C,11731,PAYLOAD,EP 1,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,C,Y,EP 1,1980-019C,11731
1980-019D,11732,PAYLOAD,EP 2,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,D,Y,EP 2,1980-019D,11732
1980-019E,11733,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,E,Y,OPS 7245 DEB,1980-019E,11733
1980-019F,11734,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,F,Y,OPS 7245 DEB,1980-019F,11734
1980-019H,11746,DEBRIS,OPS 7245 DEB,US,1980-03-03,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,19,H,Y,OPS 7245 DEB,1980-019H,11746
1980-100B,12094,ROCKET BODY,TITAN 34B AGENA R/B,US,1980-12-13,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1980,100,B,Y,TITAN 34B AGENA R/B,1980-100B,12094
1981-038A,12418,PAYLOAD,OPS 7225,US,1981-04-24,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1981,38,A,Y,OPS 7225,1981-038A,12418
1984-012J,15347,DEBRIS,OPS 8737 DEB,US,1984-02-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1984,12,J,Y,OPS 8737 DEB,1984-012J,15347
1984-012K,15348,DEBRIS,OPS 8737 DEB,US,1984-02-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1984,12,K,Y,OPS 8737 DEB,1984-012K,15348
1984-012L,15349,DEBRIS,OPS 8737 DEB,US,1984-02-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1984,12,L,Y,OPS 8737 DEB,1984-012L,15349
1984-122A,15423,PAYLOAD,USA 6,US,1984-12-04,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1984,122,A,Y,USA 6,1984-122A,15423
1984-125A,15432,PAYLOAD,VEGA 1 BUS,CIS,1984-12-15,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1984,125,A,Y,VEGA 1 BUS,1984-125A,15432
1984-125D,15447,ROCKET BODY,SL-12 R/B(2),CIS,1984-12-15,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1984,125,D,Y,SL-12 R/B(2),1984-125D,15447
1984-128A,15449,PAYLOAD,VEGA 2 BUS,CIS,1984-12-21,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1984,128,A,Y,VEGA 2 BUS,1984-128A,15449
1984-128B,15450,ROCKET BODY,SL-12 R/B(2),CIS,1984-12-21,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1984,128,B,Y,SL-12 R/B(2),1984-128B,15450
1985-001A,15464,PAYLOAD,SAKIGAKE,JPN,1985-01-07,KSCUT,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1985,1,A,Y,SAKIGAKE,1985-001A,15464
1985-014A,15546,PAYLOAD,USA 9,US,1985-02-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1985,14,A,Y,USA 9,1985-014A,15546
1985-014B,15547,ROCKET BODY,TITAN 34B R/B,US,1985-02-08,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1985,14,B,Y,TITAN 34B R/B,1985-014B,15547
1985-056A,15875,PAYLOAD,GIOTTO,ESA,1985-07-02,FRGUI,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1985,56,A,Y,GIOTTO,1985-056A,15875
1985-073A,15967,PAYLOAD,SUISEI,JPN,1985-08-18,KSCUT,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1985,73,A,Y,SUISEI,1985-073A,15967
1985-073C,15969,ROCKET BODY,M-3S2 R/B(2),JPN,1985-08-18,KSCUT,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1985,73,C,Y,M-3S2 R/B(2),1985-073C,15969
1986-014C,16622,DEBRIS,USA 15 DEB,US,1986-02-09,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1986,14,C,Y,USA 15 DEB,1986-014C,16622
1987-043C,18007,DEBRIS,USA 22 DEB,US,1987-05-15,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1987,43,C,Y,USA 22 DEB,1987-043C,18007
1987-043G,18024,DEBRIS,USA 22 DEB,US,1987-05-15,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1987,43,G,Y,USA 22 DEB,1987-043G,18024
1987-090A,18441,PAYLOAD,USA 27,US,1987-10-26,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1987,90,A,Y,USA 27,1987-090A,18441
1988-058A,19281,PAYLOAD,PHOBOS 1,CIS,1988-07-07,TTMTR,,,,,,MARS ORBIT,,0,,1,1988,58,A,Y,PHOBOS 1,1988-058A,19281
1988-059A,19287,PAYLOAD,PHOBOS 2,CIS,1988-07-12,TTMTR,,,,,,MARS ORBIT,,0,,1,1988,59,A,Y,PHOBOS 2,1988-059A,19287
1988-059B,19288,ROCKET BODY,SL-12 R/B(2),CIS,1988-07-12,TTMTR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1988,59,B,Y,SL-12 R/B(2),1988-059B,19288
1988-077B,19459,ROCKET BODY,TITAN 34D R/B(1),US,1988-09-02,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1988,77,B,Y,TITAN 34D R/B(1),1988-077B,19459
1988-078B,19461,ROCKET BODY,TITAN 2 R/B,US,1988-09-05,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1988,78,B,Y,TITAN 2 R/B,1988-078B,19461
1988-099A,19625,PAYLOAD,USA 33,US,1988-11-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1988,99,A,Y,USA 33,1988-099A,19625
1988-099B,19626,ROCKET BODY,TITAN 34D R/B,US,1988-11-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1988,99,B,Y,TITAN 34D R/B,1988-099B,19626
1988-106B,19671,PAYLOAD,USA 34,US,1988-12-02,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1988,106,B,Y,USA 34,1988-106B,19671
1989-033D,19971,ROCKET BODY,IUS R/B(2),US,1989-05-04,AFETR,,,,,,VENUS ORBIT,,0,,1,1989,33,D,Y,IUS R/B(2),1989-033D,19971
1989-035B,19977,ROCKET BODY,TITAN 34D R/B(1),US,1989-05-10,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1989,35,B,Y,TITAN 34D R/B(1),1989-035B,19977
1989-046C,20068,ROCKET BODY,IUS R/B(1),US,1989-06-14,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1989,46,C,Y,IUS R/B(1),1989-046C,20068
1989-061B,20167,PAYLOAD,USA 40,US,1989-08-08,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1989,61,B,Y,USA 40,1989-061B,20167
1989-061C,20172,PAYLOAD,USA 41,US,1989-08-08,AFETR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1989,61,C,Y,USA 41,1989-061C,20172
1989-072A,20220,PAYLOAD,USA 45,US,1989-09-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1989,72,A,Y,USA 45,1989-072A,20220
1989-072B,20221,ROCKET BODY,TITAN 2 R/B,US,1989-09-06,AFWTR,,,,,,NO ELEMENTS AVAILABLE,,0,,1,1989,72,B,Y,TITAN 2 R/B,1989-072B,20221
1989-084D,20300,ROCKET BODY,IUS R/B(2),US,1989-10-18,AFETR,,,,,,HELIOCENTRIC ORBIT (SUN),,0,,1,1989,84,D,Y,IUS R/B(2),1989-084D,20300
