name,slug,value,date_of_information,ranking,region
Sint Maarten,sint-maarten,1.28,2021 est.,76,Central America
Cabo Verde,cabo-verde,1.24,2021 est.,77,Africa
Qatar,qatar,1.23,2021 est.,78,Middle East
Haiti,haiti,1.22,2021 est.,79,Central America
Honduras,honduras,1.22,2021 est.,80,Central America
New Caledonia,new-caledonia,1.22,2021 est.,81,Australia - Oceania
Kuwait,kuwait,1.2,2021 est.,82,Middle East
Antigua and Barbuda,antigua-and-barbuda,1.17,2021 est.,83,Central America
Aruba,aruba,1.17,2021 est.,84,Central America
Ecuador,ecuador,1.16,2021 est.,85,South America
Panama,panama,1.16,2021 est.,86,Central America
Paraguay,paraguay,1.15,2021 est.,87,South America
Cyprus,cyprus,1.11,2021 est.,88,Europe
Christmas Island,christmas-island,1.11,2014 est.,89,Australia - Oceania
Malaysia,malaysia,1.06,2021 est.,90,East Asia/Southeast Asia
Kiribati,kiribati,1.05,2021 est.,91,Australia - Oceania
Costa Rica,costa-rica,1.04,2021 est.,92,Central America
Mexico,mexico,1.04,2021 est.,93,North America
India,india,1.04,2021 est.,94,South Asia
Colombia,colombia,1.04,2021 est.,95,South America
Iran,iran,1.03,2021 est.,96,Middle East
Turkmenistan,turkmenistan,1.02,2021 est.,97,Central Asia
Vietnam,vietnam,1,2021 est.,98,East Asia/Southeast Asia
Bhutan,bhutan,0.99,2021 est.,99,South Asia
Eritrea,eritrea,0.98,2021 est.,100,Africa
Ireland,ireland,0.97,2021 est.,101,Europe
Iceland,iceland,0.97,2021 est.,102,Europe
Bangladesh,bangladesh,0.95,2021 est.,103,South Asia
South Africa,south-africa,0.95,2021 est.,104,Africa
Singapore,singapore,0.95,2021 est.,105,East Asia/Southeast Asia
Nicaragua,nicaragua,0.93,2021 est.,106,Central America
Mongolia,mongolia,0.93,2021 est.,107,East Asia/Southeast Asia
Dominican Republic,dominican-republic,0.92,2021 est.,108,Central America
Morocco,morocco,0.92,2021 est.,109,Africa
Suriname,suriname,0.91,2021 est.,110,South America
Bahrain,bahrain,0.9,2021 est.,111,Middle East
Kyrgyzstan,kyrgyzstan,0.9,2021 est.,112,Central Asia
Peru,peru,0.88,2021 est.,113,South America
Uzbekistan,uzbekistan,0.86,2021 est.,114,Central Asia
Tuvalu,tuvalu,0.85,2021 est.,115,Australia - Oceania
"Bahamas, The",bahamas-the,0.84,2021 est.,116,Central America
Argentina,argentina,0.84,2021 est.,117,South America
Jordan,jordan,0.82,2021 est.,118,Middle East
Burma,burma,0.81,2021 est.,119,East Asia/Southeast Asia
Indonesia,indonesia,0.81,2021 est.,120,East Asia/Southeast Asia
Kazakhstan,kazakhstan,0.81,2021 est.,121,Central Asia
Nepal,nepal,0.81,2021 est.,122,South Asia
Norway,norway,0.8,2021 est.,123,Europe
Macau,macau,0.79,2021 est.,124,East Asia/Southeast Asia
Eswatini,eswatini,0.77,2021 est.,125,Africa
Canada,canada,0.77,2021 est.,126,North America
French Polynesia,french-polynesia,0.75,2021 est.,127,Australia - Oceania
Tunisia,tunisia,0.75,2021 est.,128,Africa
Malta,malta,0.75,2021 est.,129,Europe
Paracel Islands,paracel-islands,0.75,2021 est.,130,East Asia/Southeast Asia
Sweden,sweden,0.74,2021 est.,131,Europe
Liechtenstein,liechtenstein,0.73,2021 est.,132,Europe
Lesotho,lesotho,0.73,2021 est.,133,Africa
Azerbaijan,azerbaijan,0.71,2021 est.,134,Middle East
United States,united-states,0.7,2021 est.,135,North America
Turkey,turkey,0.7,2021 est.,136,Middle East
Lebanon,lebanon,0.68,2021 est.,137,Middle East
Chile,chile,0.68,2021 est.,138,South America
El Salvador,el-salvador,0.67,2021 est.,139,Central America
Jersey,jersey,0.67,2021 est.,140,Europe
Seychelles,seychelles,0.67,2021 est.,141,Africa
Kosovo,kosovo,0.67,2021 est.,142,Europe
Brazil,brazil,0.65,2021 est.,143,South America
Switzerland,switzerland,0.65,2021 est.,144,Europe
Saint Kitts and Nevis,saint-kitts-and-nevis,0.64,2021 est.,145,Central America
Sri Lanka,sri-lanka,0.63,2021 est.,146,South Asia
San Marino,san-marino,0.63,2021 est.,147,Europe
Faroe Islands,faroe-islands,0.62,2021 est.,148,Europe
United Arab Emirates,united-arab-emirates,0.62,2021 est.,149,Middle East
Samoa,samoa,0.61,2021 est.,150,Australia - Oceania
Belgium,belgium,0.59,2021 est.,151,Europe
Isle of Man,isle-of-man,0.55,2021 est.,152,Europe
Monaco,monaco,0.53,2021 est.,153,Europe
Mauritius,mauritius,0.52,2021 est.,154,Africa
Montserrat,montserrat,0.52,2021 est.,155,Central America
"Korea, North",korea-north,0.49,2021 est.,156,East Asia/Southeast Asia
United Kingdom,united-kingdom,0.48,2021 est.,157,Europe
Fiji,fiji,0.46,2021 est.,158,Australia - Oceania
Denmark,denmark,0.44,2021 est.,159,Europe
Nauru,nauru,0.42,2021 est.,160,Australia - Oceania
Palau,palau,0.38,2021 est.,161,Australia - Oceania
Netherlands,netherlands,0.37,2021 est.,162,Europe
Bermuda,bermuda,0.36,2021 est.,163,North America
Saint Martin,saint-martin,0.36,2021 est.,164,Central America
Grenada,grenada,0.35,2021 est.,165,Central America
Curacao,curacao,0.33,2021 est.,166,Central America
France,france,0.33,2021 est.,167,Europe
Ashmore and Cartier Islands,ashmore-and-cartier-islands,0.32,2021 est.,168,Australia - Oceania
Austria,austria,0.32,2021 est.,169,Europe
Saint Lucia,saint-lucia,0.3,2021 est.,170,Central America
Barbados,barbados,0.28,2021 est.,171,Central America
Uruguay,uruguay,0.26,2021 est.,172,South America
Finland,finland,0.26,2021 est.,173,Europe
China,china,0.26,2021 est.,174,East Asia/Southeast Asia
Wallis and Futuna,wallis-and-futuna,0.26,2021 est.,175,Australia - Oceania
"Korea, South",korea-south,0.26,2021 est.,176,East Asia/Southeast Asia
Thailand,thailand,0.26,2021 est.,177,East Asia/Southeast Asia
Guernsey,guernsey,0.24,2021 est.,178,Europe
Albania,albania,0.24,2021 est.,179,Europe
Hong Kong,hong-kong,0.2,2021 est.,180,East Asia/Southeast Asia
Guyana,guyana,0.19,2021 est.,181,South America
Gibraltar,gibraltar,0.19,2021 est.,182,Europe
Guam,guam,0.18,2021 est.,183,Australia - Oceania
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,0.14,2021 est.,184,Africa
Italy,italy,0.09,2021 est.,186,Europe
Dominica,dominica,0.07,2021 est.,187,Central America
Jamaica,jamaica,0.06,2021 est.,188,Central America
Georgia,georgia,0.05,2021 est.,189,Middle East
Taiwan,taiwan,0.04,2021 est.,190,East Asia/Southeast Asia
Czechia,czechia,0.04,2021 est.,191,Europe
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,0.01,2014 est.,192,South America
Norfolk Island,norfolk-island,0.01,2014 est.,193,Australia - Oceania
Holy See (Vatican City),holy-see-vatican-city,0,2014 est.,194,Europe
Pitcairn Islands,pitcairn-islands,0,2014 est.,195,Australia - Oceania
Greenland,greenland,-0.01,2021 est.,196,North America
Tokelau,tokelau,-0.01,2019 est.,197,Australia - Oceania
Niue,niue,-0.03,2021 est.,198,Australia - Oceania
Slovenia,slovenia,-0.03,2021 est.,199,Europe
Svalbard,svalbard,-0.03,2019 est.,200,Europe
Spain,spain,-0.03,2021 est.,201,Europe
Slovakia,slovakia,-0.08,2021 est.,202,Europe
Andorra,andorra,-0.1,2021 est.,203,Europe
Maldives,maldives,-0.12,2021 est.,204,South Asia
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,-0.18,2021 est.,205,Central America
Saint Barthelemy,saint-barthelemy,-0.2,2021 est.,206,Central America
Russia,russia,-0.2,2021 est.,207,Central Asia
Germany,germany,-0.21,2021 est.,208,Europe
Bosnia and Herzegovina,bosnia-and-herzegovina,-0.21,2021 est.,209,Europe
Portugal,portugal,-0.23,2021 est.,210,Europe
Cuba,cuba,-0.23,2021 est.,211,Central America
Poland,poland,-0.23,2021 est.,212,Europe
Tonga,tonga,-0.23,2021 est.,213,Australia - Oceania
Trinidad and Tobago,trinidad-and-tobago,-0.28,2021 est.,214,Central America
Hungary,hungary,-0.29,2021 est.,215,Europe
Belarus,belarus,-0.29,2021 est.,216,Europe
Greece,greece,-0.34,2021 est.,217,Europe
Armenia,armenia,-0.35,2021 est.,218,Middle East
Northern Mariana Islands,northern-mariana-islands,-0.36,2021 est.,219,Australia - Oceania
Japan,japan,-0.37,2021 est.,220,East Asia/Southeast Asia
Romania,romania,-0.38,2021 est.,221,Europe
Montenegro,montenegro,-0.4,2021 est.,222,Europe
Virgin Islands,virgin-islands,-0.42,2021 est.,223,Central America
Serbia,serbia,-0.48,2021 est.,224,Europe
Croatia,croatia,-0.48,2021 est.,225,Europe
Ukraine,ukraine,-0.49,2021 est.,226,Europe
"Micronesia, Federated States of",micronesia-federated-states-of,-0.64,2021 est.,227,Australia - Oceania
Bulgaria,bulgaria,-0.67,2021 est.,228,Europe
Estonia,estonia,-0.69,2021 est.,229,Europe
Lithuania,lithuania,-1.04,2021 est.,230,Europe
Moldova,moldova,-1.1,2021 est.,231,Europe
Latvia,latvia,-1.1,2021 est.,232,Europe
Saint Pierre and Miquelon,saint-pierre-and-miquelon-2,-1.2,2021 est.,233,North America
Puerto Rico,puerto-rico,-1.46,2021 est.,234,Central America
American Samoa,american-samoa,-2.1,2021 est.,235,Australia - Oceania
Cook Islands,cook-islands,-2.46,2021 est.,236,Australia - Oceania
