"NO"	,"CATEGORY"	,"CODING_RANGE"	,"UNIT"	,
176,"Hi-tech products*"	,"28442,28444,28459,28521,291462,291469,29189,292149,292216,292217,292218,292219,292229,292249,29225,292425,292429,2928,29306,29307,29308,29309,2931,293214,293219,2932209,293291-293292,293299,293319,293329,293339,293349,293359,29339,29343,29349,29371,293723,293729,2940,30021,30022-30029,30046,30049,3818,8401,8411,84121,842489,84271,84289,8443319,8443321,8443329,8443999,84561,84562-84569,8457,845811,845891,84591,845921,845931,845941,845951,845961,84597,8460121,8460221,8460231,8460241,846031,84604,84609,84612-84613,84615,84619,846221,846231,846241,84629,84641,84649,84705,8471,84733,84735,84795,84797,847989,84799,8486,85049,850819,85086,85087090,85143,851521,851531,8517121,8517122,851718,851761-851769,8517701-8517704,85177060,8517709,85192,85198119,85198121,85198129,85198139,85198990,8521,8523291,85232929,852341,8523492,8523499,8523512,852352,8523592,8523802,8523809,8525-8526,852842,852852,852862,852869,852871,852872,85299,8534,85371,8540799,854089,85411-85415,85419,8542,85431-85432,85447,880211-880212,88023-88026,88031-88033,88039,88052,90011,90019,90029,90051,90058,900661,900791,90118-90119,9012,90131,9013803,90141-90142,90148,90149,90151-90154,90158,90172,901811-901814,90185,9019,90211,90213-90219,90221-90223,90229,90241,90248,90273,90275,90279,90292,90301,90302,903031,903033-903040,903082,903141,903149,90318,90328,901819,90189,90309"	,-	,
177,"    Bio-technologies"	,"29371,293723,293729,2940,30022-30029"	,-	,
178,"    Life sciences and technologies"	,"28444,28459,28521,291462,291469,29189,292149,292216,292217,292218,292219,292229,292249,29225,292425,292429,2928,29306,29307,29308,29309,2931,293214,293219,2932209,293291-293292,293299,293319,293329,293339,293349,293359,29339,29343,29349,30021,30046,30049,900661,90118-90119,9012,901811-901814,90185,9019,90211,90213-90219,90221-90223,90279"	,-	,
179,"    Opto-electronics"	,"84561,85192,85198119,85198121,85198129,85198139,85198990,854089,90029,9013803,90151-90154,90241,90248,90273,90292,903141,903149,90318 "	,-	,
18,"        Flue-cured tobacco"	,"2401101,2401201"	,T	,
180,"    Computer and telecomunications"	,"8443319,8443321,8443329,8443999,84705,8471,84733,84735,85049,8517121,8517122,851718,851761-851769,8517701-8517704,8517709,8521,8523291,85232929,852341,8523492,8523499,8523512,8523592,8523802,8523809,8525-8526,852842,852852,852862,852869,852871,852872,85299,88039"	,-	,
181,"    Electronic"	,"85177060,852352,8534,85371,8540799,85411-85415,85419,8542,85431-85432,901819,90189,90309"	,-	,
182,"    Computer integrated manufacturing"	,"842489,84271,84289,84562-84569,8457,845811,845891,84591,845921,845931,845941,845951,845961,84597,8460121,8460221,8460231,8460241,846031,84604,84609,84612-84613,84615,84619,846221,846231,846241,84629,84641,84649,84795,84797,847989,84799,8486,850819,85086,85087090,85143,851521,851531,90172,90302,903031,903033-903040,903082,90328 "	,-	,
183,"    Materials"	,"3818,85447,90011,90019,900791"	,T	,
184,"    Aerospaces"	,"8411,84121,880211-880212,88023-88026,88031-88033,88052,90141-90142,90149,90158,90229,90275"	,-	,
185,"    Other technologies"	,"28442,8401,90051,90058,90131,90148,90301"	,-	,
186,"Elecric vehicles for transport of persons*"	,"87022-87024,87034-87038"	,N	,
187,"    Hybrid Electric buses with ten seats or more"	,"87022,87023"	,N	,
188,"    Battery electric buses with ten seats or more"	,"87024"	,N	,
189,"    Non-plug-in hybrid electric passenger cars"	,"87034,87035"	,N	,
19,"        Cigarettes"	,"24022"	,10000CR	,
190,"    Plug-in hybrid electric passenger cars"	,"87036,87037"	,N	,
191,"    Battery electric passenger cars"	,"87038"	,N	,
192,"Culture products*"	,"36041,3704-3706,39264,4414,44201,46021,48021,4823903,4901-4906,4909-4911,5002001,5004-50072019,50072031-5007209,57021,5801901,5802201,5802301,5803002,5804101,5804291,5805,5806391,5810,5811001,5907002,6002402,6002902,6004102,6004902,6107191,6107291,6108192,6108291,6108391,6109901,6110901,6203191,6203291,6203391,6204191,6204291,6204391,6204491,6204591,6205901,62061,6207191,6207291,6207991,6208191,6208291,6208991,6211391,6211491,6213201,6213902,62141,62151,6302291,6302311,6302321,6302391,63023921,63023991,6302511,6302531,63025911,6304191,63041921,63041931,63041991,6304921,6304931,6304991,63049921,6702,6913,70189,7113,7116,71179,83062,844311,844313-844319,8443322-8443329,8443393-8443399,84439119,851822,85232919,85232928,8523491,8523499,8523512,8523592,85238011,85238029,85238099-8525801,85258031,85258032,85258039,853941,9007,9010101,90105021,90106,9010901,92,9503,95043-9504901,9504903-9505,95089-9601,9603301,9603302,9608301,97"	,-	,
193,"Food*"	,"010229,010239,0102909,01039,0104109,0104209,0105119,0105129,0105139,0105149,0105159,0105949,0105999,0106149,0106202,0106392,02,0301919,0301929,0301939,0301949,0301959,0301999,0302-0305,03061,0306319,0306329,0306339,0306349,0306352,0306359,0306362,0306369,0306399,03069,0307119,030712,030719,0307219,030722,030729,0307319,030732,030739,0307429,030743,030749,03075,0307609,0307719,030772,030779,0307819,0307829,030783-030788,0307919,030792,030799,0308119,030812,030819,0308219,030822,030829, 03083019, 0308309,03089012,03089019,0308909,0401-0406,04072,04079,0408-0410,0504,07019,0702-0712,0713109,0713209,0713319,0713329,0713339,071334-071339,0713409,0713509,0713609,0713909,07141,07142019,0714202-0714901,07149029,0714909,080111,080112,0801199,08012,08013,080211-080252,0802619,080262-080290,0803-0814,09,100119,100199,10029,10039,10049,10059,1006108,10062-10064,10079,10081,100829,1008409,1008509,1008609,1008909,11,12019,12024,1203,1204,1205109,1205909,1206009,1207109,120729,1207409,1207509,1207609,1207709,1207999,1208,1210,12112,12119011,12119013,12119015,12119022,12119023,12119027,12119028,12119029,12119031,12119032,12119036,121221,12129,1501-1504,1507-1510,15111,1511901,1511909,1512-1514,15151,15152,15155,1516,1517,16,17,18,19,20,21,2201-2206,2208-2209,25010011,35011,35022"	,-	,
2,"    Meat(including  meat offal)"	,"0201-0207,02081-02083,02085-02089,0209,02101,02102,021091,021093,021099,0504"	,10000T	,
20,"Salt and pure sodium chloride"	,"2501001,2501002"	,T	,
21,"Cement and cement clinkers"	,"2523"	,10000T	,
22,"Tungsten ores and articles"	,"2611,2620991,2825901,28418,2849902,8101"	,T	,
23,"Coal and lignite"	,"2701,2702"	,10000T	,
24,"Coke and semi-coke"	,"2704001"	,10000T	,
25,"Refined petroleum products"	,"2710"	,10000T	,
26,"    Gasoline"	,"2710121"	,10000T	,
27,"    Aviation kerosene"	,"27101911"	,10000T	,
28,"    Diesel oils"	,"27101923"	,10000T	,
29,"Aluminium oxide"	,"28182"	,10000T	,
3,"    Aquatic products"	,"02084,021092,03019,0302-0308,121221,1604,1605,2008993"	,10000T	,
30,"Rare-earth ore, metals, compounds and articles thereof"	,"2530902,28053,2846,3606901,7202991,72029991,8505111"	,T	,
31,"    Rare-earth ore, metals, compounds"	,"2530902,28053,2846"	,T	,
32,"Basic organic chemicals"	,"22072,2901-2904,290511-290544,290549-290559,2906-2908,2909-2914,2915-2917,29181,291829,291899,2919-2921,29221-29223,292243,292244,292249,29225,292421,2925-2931,29321,29329,293329-293349,293361,293371-293399,29341,29342,29349,2942,31025,3507,38231,38237"	,-	,
33,"    Citric acids"	,"291814"	,10000T	,
34,"Medicinal materials and pharmaceutical products"	,"0507901,0507902,0510,09102,12112,12115,12119011-12119039,12119099,1301902,1301903,2530901,2936-2939,2941,3001-3006"	,T	,
35,"    Crude medicinal materials of Chinese type"	,"0507901,0507902,0510,09102,12112,12115,12119011-12119039,12119099,1301902,1301903,2530901"	,T	,
36,"    Medicaments of chinese type"	,"3004905"	,T	,
37,"    Vaccines for human medicine"	,"30022"	,KG	,
38,"    Antibiotics(excluding preparations)"	,"2941"	,T	,
39,"    Medical dressings"	,"3005"	,T	,
4,"        Edible aquatic products"	,"02084,021092,0301919,0301929,0301939,0301949,0301959,0301999,0302-0305,03061,0306319,0306329,0306339,0306349,0306352,0306359,0306362,0306369,0306399,03069,0307119,030712, 030719,0307219,030722, 030729,0307319,030732, 030739,0307429,030743, 030749,03075, 0307609,0307719,030772, 030779,0307819,0307829,030783-030788, 0307919,030792,030799,0308119,030812,030819, 0308219,030822,030829, 03083019, 0308309,03089012,03089019,0308909,121221,1604,1605,2008993"	,10000T	,
40,"Fertilizers"	,"2827101,2834211,3101-3103,3104209,31043,31049,3105"	,10000T	,
41,"    Urea"	,"31021"	,10000T	,
42,"    Ammonium sulphate"	,"310221"	,10000T	,
43,"    Diammonium phosphate"	,"31053"	,10000T	,
44,"    Monoammonium phosphate"	,"31054"	,10000T	,
45,"Synthetic organic dyes"	,"320411-320416,320419"	,T	,
46,"Make-ups or personal care and toiletries"	,"3303-3306,33071-33073,33079,340111,34013"	,T	,
47,"Fireworks"	,"36041"	,T	,
48,"Plastic articles"	,"3916-3925,39261,39263-39269,85472,900311,940592,960621,961511"	,-	,
49,"Rubber tyres"	,"4011-4013"	,10000T	,
5,"    Vegetables and edible fungi"	,"0702-0709,07102-07109,0711,0712,07143-0714901,07149029,0714909,09101,2001,2002109,2002909,2003109,2003909,2004,20051-20054,2005519,2005599,2005609,20057,20058,2005919,2005994-2005996,20059999"	,10000T	,
50,"    New pneumatic rubber tyres"	,"4011"	,10000T	,
51,"Leather, fur and articles thereof"	,"4104-4115,420211,420221,420231,420291,4203,4205,4302,4303,6506991,6506992"	,-	,
52,"    Fur garments"	,"4303101"	,T	,
53,"Suit-cases, hand bags and similar containers"	,"4202"	,10000T	,
54,"    Leather suit-cases and similar containers"	,"420211,420221,420231,420291"	,T	,
55,"Wood and articles thereof"	,"4403-4421"	,10000T	,
56,"    Wooden articles for domestic or decorative use"	,"4414,4419,4420"	,10000T	,
57,"    Plywood and similar laminated wood"	,"4412"	,10000CUM	,
58,"Plant material plaited products"	,"46"	,T	,
59,"Paper pulp, paper and articles thereof"	,"4701-4706,48"	,10000T	,
6,"        Fresh or chilled vegetables"	,"0702-0709,07143-0714901,07149029,0714909"	,10000T	,
60,"Textile materials"	,"5001,5002,5101,5102,5104,5105,5201,5203,5301-5305,5501-5504,5506,5507"	,10000T	,
61,"    Chemical fiber textile materials"	,"5501-5504,5506,5507"	,10000T	,
62,"Textile yarn, fabrics and articles thereof"	,"5004-5007,5106-5113,5204-5212,5306-5311,54,5508-5516,56-60,63,6501,6502"	,-	,
63,"    Textile yarn"	,"5004-5006,5106-5110,5204-5207,5306-5308,5401-5406,5508-5511"	,-	,
64,"    Textile fabrics"	,"5007,5111-5113,5208-5212,5309-5311,5407,5408,5512-5516,5605,5606,5801-5806,5809,60"	,-	,
65,"    Textile products"	,"5601-5604,5607-5609,57,5807,5808,5810,5811,59,63,6501,6502"	,-	,
66,"Garments and clothing accessories"	,"39262,4015,4203,4303101,4303102,61,62"	,-	,
67,"    Garments"	,"3926209,42031,4303101,6101-6114,6201-6211,62121,62123"	,-	,
68,"Footwear"	,"6401-6405"	,10000T	,
69,"Headgear"	,"6504-6506"	,10000N	,
7,"    Fresh or dried fruit and nuts"	,"080111,080112,0801199,08012,08013,080211-080252,0802619,080262-080290,0803-0810,0813"	,10000T	,
70,"Umbrellas"	,"6601"	,10000N	,
71,"Granite monumental or building stone and articles thereof"	,"680223,680293"	,10000T	,
72,"Ceramic products"	,"69"	,10000T	,
73,"    Domestic Ceramics"	,"690911,690919,69099,6910-6914"	,10000T	,
74,"    Constructional ceramics"	,"6902,6904-6907"	,10000T	,
75,"Glasses and articles thereof"	,"70,85461,90014,940591"	,-	,
76,"Pearls, precious and semi-precious stones"	,"7101-7105"	,-	,
77,"Jewellery and parts, of precious metal or of metal clad with precious metal "	,"7113"	,T	,
78,"Ferro-alloys"	,"7202"	,10000T	,
79,"Products, of steel or iron"	,"7208-7217,7219-7223,7225-7229,7301-7307"	,10000T	,
8,"        Apples"	,"08081"	,10000T	,
80,"    Bars and rods, of steel or iron"	,"7213-7215,7221,72221-72223,7227,72281-72286,72288"	,10000T	,
81,"    Angles, shapes and sections, of steel or iron"	,"7216,72224,72287,7301"	,10000T	,
82,"    Sheets and plates, of steel or iron"	,"7208-7212,7219,7220,7225,7226"	,10000T	,
83,"    Wire of steel or iron"	,"7217,7223,7229"	,10000T	,
84,"Unwrought copper and copper products"	,"7402,7403,7405-7412"	,T	,
85,"Unwrought aluminium and aluminium products"	,"7601,7603-7609"	,T	,
86,"Furniture and parts thereof"	,"94013-94018,9401909,9403"	,-	,
87,"Toys"	,"9503"	,-	,
88,"Articles and equipments for general sports"	,"9506"	,-	,
89,"Pens and parts thereof"	,"9603301,9603302,9608,9609"	,-	,
9,"    Tea"	,"0902"	,T	,
90,"Mechanical and electrical products*"	,"40111-40115,401211-401213,4012201,4012901,4012902,40131,40132,4013901,63011,68042,6805,700711,700721,70091,7011,7308-7326,7413-7419,7508,7610-7616,7806009,7907003-7907009,8007009,8101999,810299,8103909,8104902,81059,8106009,81079,8108909,81099,81109,8111009,811219,811229,811259,811299,82-91,9207,93031-93033,9304,93052,93059,93062,93063,94011,94012,9401901£¬9402,9405,9406,9503001,95030083,95043,95045,9504901,9504902,95069,9508,9613"	,-	,
91,"    Basic components of machinery"	,"7315119-7315900,7317,7318,7320,7415,74191,7419992,76161,84122,84123,8480,8482,8484"	,-	,
92,"        Mechanical standard parts"	,"7317,7318,7415,76161"	,T	,
93,"        Bearings"	,"84821-84828"	,T	,
94,"    Hand tools and tools for machinery"	,"8201-8209"	,10000T	,
95,"    Agricultural machinery"	,"841931,842111,84244,842482,84321-84324,84328,84331-84336,84341,84361-84368,84371,84378,84386,84781,84792,87011,87013,8701911,8701921,8701931,8701941,8701951,87162"	,-	,
96,"        Tractors"	,"87011,87013,8701911,8701921,8701931,8701941,8701951"	,N	,
97,"    Food processing machines"	,"84172,841981,842122,84342,84351,84381-84385,84388"	,10000N	,
98,"    Packaging machinery"	,"842219-842240,84391-84393,84412-84418"	,N	,
99,"    Printing or book-binding machines and parts thereof"	,"8440,8442,8443"	,-	,
