"CODES"	,"DESCRIPTION"	,"YEAR"	,"UNIT_1_CODES"	,"UNIT_1_DESCRIPTION"	,"UNIT_2_CODES"	,"UNIT_2_DESCRIPTION"	,
34	,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ¡°dental waxes¡± and dental preparations with a basis of plaster "	,2021	,09	,"Kilogram"	,?	,"?"	,
35	,"Albuminoidal substances; modified starches; "	,2021	,09	,"Kilogram"	,?	,"?"	,
36	,"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	,2021	,09	,"Kilogram"	,?	,"?"	,
37	,"Photographic or cinematographic goods"	,2021	,09	,"?"	,?	,"?"	,
38	,"Miscellaneous chemical products "	,2021	,09	,"Kilogram"	,?	,"?"	,
39	,"Plastics and articles thereof"	,2021	,09	,"Kilogram"	,?	,"?"	,
40	,"Rubber and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
41	,"Raw hides and skins (other than furskins) and leather "	,2021	,09	,"Kilogram"	,?	,"?"	,
42	,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) "	,2021	,09	,"Kilogram"	,?	,"?"	,
43	,"Furskins and artificial fur; manufactures thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
44	,"Wood and articles of wood; wood charcoal"	,2021	,?	,"?"	,?	,"?"	,
45	,"Cork and articles of cork"	,2021	,09	,"Kilogram"	,?	,"?"	,
46	,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	,2021	,09	,"Kilogram"	,?	,"?"	,
47	,"Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard "	,2021	,09	,"Kilogram"	,?	,"?"	,
48	,"aper and paperboard; articles of paper pulp, of paper or of paperboard "	,2021	,09	,"Kilogram"	,?	,"?"	,
49	,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"	,2021	,09	,"Kilogram"	,?	,"?"	,
50	,"ilk"	,2021	,?	,"?"	,?	,"?"	,
51	,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	,2021	,?	,"?"	,?	,"?"	,
52	,"Cotton "	,2021	,?	,"?"	,?	,"?"	,
53	,"Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn"	,2021	,?	,"?"	,?	,"?"	,
54	,"Man-made filaments; strip and the like of man-made textile materials"	,2021	,?	,"?"	,?	,"?"	,
55	,"Man-made staple fibres"	,2021	,?	,"?"	,?	,"?"	,
56	,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
57	,"Carpets and other textile floor coverings "	,2021	,09	,"Kilogram"	,05	,"Square Metre"	,
58	,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	,2021	,?	,"?"	,?	,"?"	,
59	,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use "	,2021	,09	,"Kilogram"	,?	,"?"	,
60	,"Knitted or crocheted fabrics"	,2021	,04	,"Metre"	,09	,"Kilogram"	,
61	,"Articles of apparel and clothing accessories, knitted or crocheted "	,2021	,?	,"?"	,?	,"?"	,
62	,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03."	,2021	,?	,"?"	,?	,"?"	,
63	,"Other made up textile articles; sets;worn clothing and worn textile articles; rags "	,2021	,?	,"?"	,?	,"?"	,
64	,"Footwear, gaiters and the like; parts of such articles "	,2021	,09	,"Kilogram"	,?	,"?"	,
65	,"Headgear and parts thereof"	,2021	,?	,"?"	,?	,"?"	,
66	,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
67	,"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair"	,2021	,09	,"Kilogram"	,?	,"?"	,
68	,"Articles of stone, plaster, cement, asbestos, mica or similar materials "	,2021	,09	,"Kilogram"	,?	,"?"	,
69	,"Geramic products "	,2021	,09	,"Kilogram"	,?	,"?"	,
70	,"Glass and glassware "	,2021	,09	,"Kilogram"	,?	,"?"	,
71	,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"	,2021	,?	,"?"	,?	,"?"	,
72	,"Iron and steel "	,2021	,09	,"Kilogram"	,?	,"?"	,
73	,"Articles of iron or steel "	,2021	,09	,"Kilogram"	,?	,"?"	,
74	,"Copper and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
75	,"Nickel and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
76	,"Aluminium and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
78	,"Lead and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
79	,"Zinc and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
80	,"Tin and articles thereof "	,2021	,09	,"Kilogram"	,?	,"?"	,
81	,"Other base metals; cermets; articles thereof"	,2021	,09	,"Kilogram"	,?	,"?"	,
82	,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	,2021	,09	,"Kilogram"	,?	,"?"	,
83	,"Miscellaneous articles of base metal "	,2021	,09	,"Kilogram"	,?	,"?"	,
84	,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof "	,2021	,?	,"?"	,?	,"?"	,
85	,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles"	,2021	,?	,"?"	,?	,"?"	,
86	,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds"	,2021	,?	,"?"	,?	,"?"	,
87	,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof "	,2021	,?	,"?"	,?	,"?"	,
88	,"Aircraft, spacecraft, and parts thereof "	,2021	,?	,"?"	,?	,"?"	,
89	,"Ships, boats and floating structures "	,2021	,?	,"?"	,?	,"?"	,
90	,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof"	,2021	,?	,"?"	,?	,"?"	,
91	,"Clocks and watches and parts thereof "	,2021	,?	,"?"	,?	,"?"	,
92	,"Musical instruments; parts and accessories of such articles"	,2021	,?	,"?"	,?	,"?"	,
93	,"Arms and ammunition; parts and accessories thereof "	,2021	,?	,"?"	,?	,"?"	,
94	,"Furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings "	,2021	,?	,"?"	,?	,"?"	,
95	,"Toys, games and sports requisites;parts and accessories thereof"	,2021	,?	,"?"	,?	,"?"	,
96	,"Miscellaneous manufactured articles "	,2021	,?	,"?"	,?	,"?"	,
97	,"Works of art, collectors' pieces and antiques"	,2021	,?	,"?"	,?	,"?"	,
98	,"Commodities not classified accroding to kind"	,2021	,?	,"?"	,?	,"?"	,
99	,"Articles of B2B cross-border e-commerce in simplified customs procedures"	,2021	,09	,"Kilogram"	,?	,"?"	,
