name,slug,value,date_of_information,ranking,region
"Haiti","haiti","21.40","2021 est.","67","Central America"
"Tajikistan","tajikistan","21.22","2021 est.","68","Central Asia"
"Cambodia","cambodia","20.84","2021 est.","69","East Asia/Southeast Asia"
"Botswana","botswana","20.60","2021 est.","70","Africa"
"Tonga","tonga","20.60","2021 est.","71","Australia - Oceania"
"Bolivia","bolivia","20.36","2021 est.","72","South America"
"Kiribati","kiribati","20.27","2021 est.","73","Australia - Oceania"
"Kyrgyzstan","kyrgyzstan","20.06","2021 est.","74","Central Asia"
"Samoa","samoa","19.32","2021 est.","75","Australia - Oceania"
"Algeria","algeria","19.24","2021 est.","76","Africa"
"South Africa","south-africa","18.89","2021 est.","77","Africa"
"Cabo Verde","cabo-verde","18.78","2021 est.","78","Africa"
"Guam","guam","18.76","2021 est.","79","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","18.65","2021 est.","80","Australia - Oceania"
"Dominican Republic","dominican-republic","18.24","2021 est.","81","Central America"
"El Salvador","el-salvador","18.22","2021 est.","82","Central America"
"Honduras","honduras","18.19","2021 est.","83","Central America"
"Kuwait","kuwait","17.90","2021 est.","84","Middle East"
"Bangladesh","bangladesh","17.88","2021 est.","85","South Asia"
"Turkmenistan","turkmenistan","17.85","2021 est.","86","Central Asia"
"Nepal","nepal","17.78","2021 est.","87","South Asia"
"Morocco","morocco","17.58","2021 est.","88","Africa"
"Venezuela","venezuela","17.55","2021 est.","89","South America"
"India","india","17.53","2021 est.","90","South Asia"
"Israel","israel","17.52","2021 est.","91","Middle East"
"Mexico","mexico","17.29","2021 est.","92","North America"
"American Samoa","american-samoa","17.19","2021 est.","93","Australia - Oceania"
"Fiji","fiji","16.90","2021 est.","94","Australia - Oceania"
"Ecuador","ecuador","16.71","2021 est.","95","South America"
"Nicaragua","nicaragua","16.71","2021 est.","96","Central America"
"Panama","panama","16.67","2021 est.","97","Central America"
"Peru","peru","16.67","2021 est.","98","South America"
"Burma","burma","16.65","2021 est.","99","East Asia/Southeast Asia"
"Guyana","guyana","16.64","2021 est.","100","South America"
"Colombia","colombia","16.51","2021 est.","101","South America"
"Paraguay","paraguay","16.43","2021 est.","102","South America"
"Mongolia","mongolia","16.32","2021 est.","103","East Asia/Southeast Asia"
"Brunei","brunei","16.30","2021 est.","104","East Asia/Southeast Asia"
"Bhutan","bhutan","16.17","2021 est.","105","South Asia"
"Vietnam","vietnam","16.04","2021 est.","106","East Asia/Southeast Asia"
"Jamaica","jamaica","16.03","2021 est.","107","Central America"
"Kazakhstan","kazakhstan","15.87","2021 est.","108","Central Asia"
"Uzbekistan","uzbekistan","15.85","2021 est.","109","Central Asia"
"Argentina","argentina","15.80","2021 est.","110","South America"
"Iran","iran","15.78","2021 est.","111","Middle East"
"Maldives","maldives","15.69","2021 est.","112","South Asia"
"Indonesia","indonesia","15.59","2021 est.","113","East Asia/Southeast Asia"
"Northern Mariana Islands","northern-mariana-islands","15.31","2021 est.","114","Australia - Oceania"
"Antigua and Barbuda","antigua-and-barbuda","15.30","2021 est.","115","Central America"
"Tunisia","tunisia","15.21","2021 est.","116","Africa"
"Kosovo","kosovo","15.05","2021 est.","117","Europe"
"Faroe Islands","faroe-islands","14.92","2021 est.","118","Europe"
"Bahamas, The","bahamas-the","14.78","2021 est.","119","Central America"
"Malaysia","malaysia","14.72","2021 est.","120","East Asia/Southeast Asia"
"Suriname","suriname","14.70","2021 est.","121","South America"
"Saudi Arabia","saudi-arabia","14.56","2021 est.","122","Middle East"
"Turkey","turkey","14.54","2021 est.","123","Middle East"
"Costa Rica","costa-rica","14.53","2021 est.","124","Central America"
"Korea, North","korea-north","14.35","2021 est.","125","East Asia/Southeast Asia"
"New Caledonia","new-caledonia","14.28","2021 est.","126","Australia - Oceania"
"Grenada","grenada","14.27","2021 est.","127","Central America"
"Saint Martin","saint-martin","14.20","2021 est.","128","Central America"
"Dominica","dominica","14.16","2021 est.","129","Central America"
"Azerbaijan","azerbaijan","14.03","2021 est.","130","Middle East"
"Sri Lanka","sri-lanka","14.01","2021 est.","131","South Asia"
"Gibraltar","gibraltar","13.99","2021 est.","132","Europe"
"Greenland","greenland","13.88","2021 est.","133","North America"
"Turks and Caicos Islands","turks-and-caicos-islands","13.86","2021 est.","134","Central America"
"French Polynesia","french-polynesia","13.69","2021 est.","135","Australia - Oceania"
"Brazil","brazil","13.44","2021 est.","136","South America"
"Lebanon","lebanon","13.35","2021 est.","137","Middle East"
"Curacao","curacao","13.29","2021 est.","138","Central America"
"Iceland","iceland","13.12","2021 est.","139","Europe"
"Chile","chile","12.92","2021 est.","140","South America"
"Albania","albania","12.86","2021 est.","141","Europe"
"Cook Islands","cook-islands","12.85","2021 est.","142","Australia - Oceania"
"New Zealand","new-zealand","12.83","2021 est.","143","Australia - Oceania"
"Sint Maarten","sint-maarten","12.75","2021 est.","144","Central America"
"Uruguay","uruguay","12.75","2021 est.","145","South America"
"Seychelles","seychelles","12.63","2021 est.","146","Africa"
"Ireland","ireland","12.60","2021 est.","147","Europe"
"Bahrain","bahrain","12.50","2021 est.","148","Middle East"
"Wallis and Futuna","wallis-and-futuna","12.49","2021 est.","149","Australia - Oceania"
"Jersey","jersey","12.46","2021 est.","150","Europe"
"Mauritius","mauritius","12.44","2021 est.","151","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","12.44","2021 est.","152","Central America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","12.43","2021 est.","153","Central America"
"Australia","australia","12.35","2021 est.","154","Australia - Oceania"
"United States","united-states","12.33","2021 est.","155","North America"
"Saint Lucia","saint-lucia","12.27","2021 est.","156","Central America"
"Anguilla","anguilla","12.12","2021 est.","157","Central America"
"Norway","norway","12.09","2021 est.","158","Europe"
"Aruba","aruba","11.95","2021 est.","159","Central America"
"Sweden","sweden","11.93","2021 est.","160","Europe"
"Virgin Islands","virgin-islands","11.84","2021 est.","161","Central America"
"Cayman Islands","cayman-islands","11.77","2021 est.","162","Central America"
"France","france","11.77","2021 est.","163","Europe"
"United Kingdom","united-kingdom","11.77","2021 est.","164","Europe"
"Luxembourg","luxembourg","11.62","2021 est.","165","Europe"
"Palau","palau","11.47","2021 est.","166","Australia - Oceania"
"Armenia","armenia","11.45","2021 est.","167","Middle East"
"Montenegro","montenegro","11.35","2021 est.","168","Europe"
"China","china","11.30","2021 est.","169","East Asia/Southeast Asia"
"Georgia","georgia","11.26","2021 est.","170","Middle East"
"Denmark","denmark","11.17","2021 est.","171","Europe"
"Montserrat","montserrat","11.14","2021 est.","172","Central America"
"Trinidad and Tobago","trinidad-and-tobago","11.12","2021 est.","173","Central America"
"Bermuda","bermuda","11.10","2021 est.","174","North America"
"Belgium","belgium","11.03","2021 est.","175","Europe"
"British Virgin Islands","british-virgin-islands","10.98","2021 est.","176","Central America"
"Netherlands","netherlands","10.98","2021 est.","177","Europe"
"Barbados","barbados","10.96","2021 est.","178","Central America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","10.90","2012 est.","179","South America"
"United Arab Emirates","united-arab-emirates","10.87","2021 est.","180","Middle East"
"Cyprus","cyprus","10.76","2021 est.","181","Europe"
"Isle of Man","isle-of-man","10.69","2021 est.","182","Europe"
"Finland","finland","10.49","2021 est.","184","Europe"
"Moldova","moldova","10.45","2021 est.","185","Europe"
"Switzerland","switzerland","10.41","2021 est.","186","Europe"
"Liechtenstein","liechtenstein","10.35","2021 est.","187","Europe"
"Cuba","cuba","10.25","2021 est.","188","Central America"
"Thailand","thailand","10.25","2021 est.","189","East Asia/Southeast Asia"
"Canada","canada","10.21","2021 est.","190","North America"
"Malta","malta","9.84","2021 est.","191","Europe"
"Guernsey","guernsey","9.77","2021 est.","192","Europe"
"Russia","russia","9.71","2021 est.","193","Central Asia"
"Austria","austria","9.48","2021 est.","194","Europe"
"Lithuania","lithuania","9.42","2021 est.","195","Europe"
"Macau","macau","9.41","2021 est.","196","East Asia/Southeast Asia"
"Qatar","qatar","9.38","2021 est.","197","Middle East"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","9.35","2021 est.","198","Africa"
"Belarus","belarus","9.32","2021 est.","199","Europe"
"Saint Barthelemy","saint-barthelemy","9.27","2021 est.","200","Central America"
"Ukraine","ukraine","9.23","2021 est.","201","Europe"
"Singapore","singapore","9.13","2021 est.","202","East Asia/Southeast Asia"
"Slovakia","slovakia","9.10","2021 est.","203","Europe"
"Estonia","estonia","9.03","2021 est.","204","Europe"
"Latvia","latvia","8.96","2021 est.","205","Europe"
"San Marino","san-marino","8.76","2021 est.","206","Europe"
"Czechia","czechia","8.75","2021 est.","207","Europe"
"Serbia","serbia","8.74","2021 est.","208","Europe"
"Hungary","hungary","8.72","2021 est.","209","Europe"
"Poland","poland","8.69","2021 est.","210","Europe"
"Croatia","croatia","8.68","2021 est.","211","Europe"
"Germany","germany","8.63","2021 est.","212","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","8.50","2021 est.","213","Europe"
"Slovenia","slovenia","8.50","2021 est.","214","Europe"
"Romania","romania","8.39","2021 est.","215","Europe"
"Italy","italy","8.37","2021 est.","216","Europe"
"Hong Kong","hong-kong","8.23","2021 est.","217","East Asia/Southeast Asia"
"Bulgaria","bulgaria","8.15","2021 est.","218","Europe"
"Spain","spain","8.05","2021 est.","219","Europe"
"Portugal","portugal","8.02","2021 est.","220","Europe"
"Puerto Rico","puerto-rico","7.90","2021 est.","221","Central America"
"Greece","greece","7.72","2021 est.","222","Europe"
"Taiwan","taiwan","7.43","2021 est.","223","East Asia/Southeast Asia"
"Japan","japan","7.00","2021 est.","224","East Asia/Southeast Asia"
"Andorra","andorra","6.91","2021 est.","225","Europe"
"Korea, South","korea-south","6.89","2021 est.","226","East Asia/Southeast Asia"
"Monaco","monaco","6.63","2021 est.","227","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon-2","6.58","2021 est.","228","North America"
