name,code,population
New Caledonia,NCL,272620
Sao Tome and Principe,STP,223364
Samoa,WSM,200144
St. Lucia,LCA,184401
Channel Islands,CHI,175244
Guam,GUM,170184
Curacao,CUW,152369
Kiribati,KIR,121388
"Micronesia, Fed. Sts.",FSM,116255
Grenada,GRD,113015
St. Vincent and the Grenadines,VCT,111269
Aruba,ABW,107195
Tonga,TON,106759
Virgin Islands (U.S.),VIR,105870
Seychelles,SYC,99202
Antigua and Barbuda,ATG,98728
Isle of Man,IMN,85410
Andorra,AND,77354
Dominica,DMA,72172
Cayman Islands,CYM,66498
Bermuda,BMU,63867
Marshall Islands,MHL,59618
Northern Mariana Islands,MNP,57910
Greenland,GRL,56653
American Samoa,ASM,55103
St. Kitts and Nevis,KNA,53546
Faroe Islands,FRO,49053
Sint Maarten (Dutch part),SXM,42846
Monaco,MCO,39520
St. Martin (French part),MAF,39239
Turks and Caicos Islands,TCA,39226
Liechtenstein,LIE,38254
San Marino,SMR,34010
Gibraltar,GIB,33691
British Virgin Islands,VGB,30423
Palau,PLW,18174
Tuvalu,TUV,11925
Nauru,NRU,10873
