jurisdiction_of_occurrence,mmwr_year,mmwr_week,week_ending_date,all_cause,natural_cause
United States,2018,23,2018-06-09,52003.0,46862.0
United States,2018,24,2018-06-16,51389.0,46406.0
United States,2018,25,2018-06-23,51046.0,46297.0
United States,2018,26,2018-06-30,50858.0,46017.0
United States,2018,27,2018-07-07,51686.0,46552.0
United States,2018,28,2018-07-14,51195.0,46284.0
United States,2018,29,2018-07-21,50612.0,45710.0
United States,2018,30,2018-07-28,50276.0,45434.0
United States,2018,31,2018-08-04,50640.0,45759.0
United States,2018,32,2018-08-11,50970.0,45986.0
United States,2018,33,2018-08-18,50305.0,45713.0
United States,2018,34,2018-08-25,50460.0,45963.0
United States,2018,35,2018-09-01,50612.0,45858.0
United States,2018,36,2018-09-08,50301.0,45448.0
United States,2018,37,2018-09-15,51084.0,46316.0
United States,2018,38,2018-09-22,51584.0,46787.0
United States,2018,39,2018-09-29,50960.0,46414.0
United States,2018,40,2018-10-06,52361.0,47414.0
United States,2018,41,2018-10-13,51851.0,47150.0
United States,2018,42,2018-10-20,52982.0,48433.0
United States,2018,43,2018-10-27,53764.0,49077.0
United States,2018,44,2018-11-03,53644.0,48978.0
United States,2018,45,2018-11-10,53561.0,48847.0
United States,2018,46,2018-11-17,54703.0,50100.0
United States,2018,47,2018-11-24,54852.0,50473.0
United States,2018,48,2018-12-01,55064.0,50727.0
United States,2018,49,2018-12-08,55970.0,51334.0
United States,2018,50,2018-12-15,56394.0,51947.0
United States,2018,51,2018-12-22,56532.0,51932.0
United States,2018,52,2018-12-29,56030.0,51627.0
United States,2019,1,2019-01-05,58305.0,53458.0
United States,2019,2,2019-01-12,58363.0,53642.0
United States,2019,3,2019-01-19,58220.0,53688.0
United States,2019,4,2019-01-26,57910.0,53423.0
United States,2019,5,2019-02-02,58153.0,53560.0
United States,2019,6,2019-02-09,58525.0,53631.0
United States,2019,7,2019-02-16,58004.0,53416.0
United States,2019,8,2019-02-23,58009.0,53476.0
United States,2019,9,2019-03-02,57975.0,53199.0
United States,2019,10,2019-03-09,58547.0,53721.0
United States,2019,11,2019-03-16,57921.0,53348.0
United States,2019,12,2019-03-23,57100.0,52446.0
United States,2019,13,2019-03-30,56680.0,52066.0
United States,2019,14,2019-04-06,56602.0,51788.0
United States,2019,15,2019-04-13,55496.0,50702.0
United States,2019,16,2019-04-20,54472.0,49957.0
United States,2019,17,2019-04-27,53661.0,49080.0
United States,2019,18,2019-05-04,53991.0,49257.0
United States,2019,19,2019-05-11,53482.0,48720.0
United States,2019,20,2019-05-18,53579.0,48936.0
United States,2019,21,2019-05-25,53697.0,48922.0
United States,2019,22,2019-06-01,52728.0,47756.0
United States,2019,23,2019-06-08,53142.0,47999.0
United States,2019,24,2019-06-15,52648.0,47884.0
United States,2019,25,2019-06-22,52292.0,47484.0
United States,2019,26,2019-06-29,52212.0,47300.0
United States,2019,27,2019-07-06,52344.0,47039.0
United States,2019,28,2019-07-13,51936.0,46926.0
United States,2019,29,2019-07-20,51653.0,46685.0
United States,2019,30,2019-07-27,51663.0,46656.0
United States,2019,31,2019-08-03,51412.0,46552.0
United States,2019,32,2019-08-10,51749.0,46639.0
United States,2019,33,2019-08-17,51026.0,46106.0
United States,2019,34,2019-08-24,51024.0,46083.0
United States,2019,35,2019-08-31,51164.0,46298.0
United States,2019,36,2019-09-07,51838.0,46652.0
United States,2019,37,2019-09-14,51636.0,46795.0
United States,2019,38,2019-09-21,51760.0,46972.0
United States,2019,39,2019-09-28,52762.0,47899.0
United States,2019,40,2019-10-05,52564.0,47544.0
United States,2019,41,2019-10-12,53092.0,48205.0
United States,2019,42,2019-10-19,54342.0,49503.0
United States,2019,43,2019-10-26,54052.0,49361.0
United States,2019,44,2019-11-02,54087.0,49201.0
United States,2019,45,2019-11-09,55707.0,50771.0
United States,2019,46,2019-11-16,55893.0,51107.0
United States,2019,47,2019-11-23,56200.0,51396.0
United States,2019,48,2019-11-30,55471.0,50688.0
United States,2019,49,2019-12-07,57308.0,52381.0
United States,2019,50,2019-12-14,57665.0,52751.0
United States,2019,51,2019-12-21,57429.0,52657.0
United States,2019,52,2019-12-28,58466.0,53564.0
Alabama,2014,1,2014-01-04,1057.0,992.0
Alabama,2014,2,2014-01-11,1077.0,991.0
Alabama,2014,3,2014-01-18,1048.0,975.0
Alabama,2014,4,2014-01-25,1022.0,967.0
Alabama,2014,5,2014-02-01,1041.0,954.0
Alabama,2014,6,2014-02-08,992.0,910.0
Alabama,2014,7,2014-02-15,941.0,884.0
Alabama,2014,8,2014-02-22,990.0,933.0
Alabama,2014,9,2014-03-01,959.0,876.0
Alabama,2014,10,2014-03-08,989.0,903.0
Alabama,2014,11,2014-03-15,976.0,911.0
Alabama,2014,12,2014-03-22,937.0,869.0
Alabama,2014,13,2014-03-29,927.0,876.0
Alabama,2014,14,2014-04-05,951.0,876.0
Alabama,2014,15,2014-04-12,924.0,862.0
Alabama,2014,16,2014-04-19,986.0,922.0
Alabama,2014,17,2014-04-26,914.0,848.0
Alabama,2014,18,2014-05-03,939.0,861.0
Alabama,2014,19,2014-05-10,918.0,858.0
Alabama,2014,20,2014-05-17,931.0,864.0
Alabama,2014,21,2014-05-24,899.0,845.0
Alabama,2014,22,2014-05-31,940.0,879.0
Alabama,2014,23,2014-06-07,941.0,845.0
Alabama,2014,24,2014-06-14,877.0,808.0
Alabama,2014,25,2014-06-21,849.0,785.0
Alabama,2014,26,2014-06-28,848.0,782.0
Alabama,2014,27,2014-07-05,865.0,804.0
Alabama,2014,28,2014-07-12,865.0,792.0
Alabama,2014,29,2014-07-19,895.0,822.0
Alabama,2014,30,2014-07-26,882.0,813.0
Alabama,2014,31,2014-08-02,870.0,810.0
Alabama,2014,32,2014-08-09,939.0,875.0
Alabama,2014,33,2014-08-16,910.0,843.0
Alabama,2014,34,2014-08-23,888.0,809.0
Alabama,2014,35,2014-08-30,860.0,790.0
Alabama,2014,36,2014-09-06,885.0,803.0
Alabama,2014,37,2014-09-13,884.0,830.0
Alabama,2014,38,2014-09-20,902.0,837.0
Alabama,2014,39,2014-09-27,942.0,860.0
Alabama,2014,40,2014-10-04,873.0,811.0
Alabama,2014,41,2014-10-11,924.0,845.0
Alabama,2014,42,2014-10-18,937.0,883.0
Alabama,2014,43,2014-10-25,915.0,850.0
Alabama,2014,44,2014-11-01,973.0,906.0
Alabama,2014,45,2014-11-08,905.0,832.0
Alabama,2014,46,2014-11-15,980.0,913.0
Alabama,2014,47,2014-11-22,957.0,893.0
Alabama,2014,48,2014-11-29,986.0,903.0
Alabama,2014,49,2014-12-06,995.0,942.0
Alabama,2014,50,2014-12-13,1036.0,975.0
Alabama,2014,51,2014-12-20,1117.0,1036.0
Alabama,2014,52,2014-12-27,1067.0,1000.0
Alabama,2014,53,2015-01-03,1104.0,1036.0
Alabama,2015,1,2015-01-10,1139.0,1069.0
Alabama,2015,2,2015-01-17,1140.0,1066.0
Alabama,2015,3,2015-01-24,1043.0,965.0
Alabama,2015,4,2015-01-31,1076.0,999.0
Alabama,2015,5,2015-02-07,1110.0,1042.0
Alabama,2015,6,2015-02-14,1070.0,998.0
Alabama,2015,7,2015-02-21,1067.0,1002.0
Alabama,2015,8,2015-02-28,1102.0,1043.0
Alabama,2015,9,2015-03-07,1207.0,1120.0
Alabama,2015,10,2015-03-14,1103.0,1014.0
Alabama,2015,11,2015-03-21,1004.0,924.0
Alabama,2015,12,2015-03-28,984.0,915.0
Alabama,2015,13,2015-04-04,955.0,875.0
Alabama,2015,14,2015-04-11,975.0,910.0
Alabama,2015,15,2015-04-18,904.0,833.0
Alabama,2015,16,2015-04-25,1000.0,923.0
Alabama,2015,17,2015-05-02,983.0,914.0
Alabama,2015,18,2015-05-09,920.0,843.0
Alabama,2015,19,2015-05-16,924.0,855.0
Alabama,2015,20,2015-05-23,911.0,848.0
Alabama,2015,21,2015-05-30,912.0,825.0
Alabama,2015,22,2015-06-06,901.0,826.0
Alabama,2015,23,2015-06-13,906.0,826.0
Alabama,2015,24,2015-06-20,903.0,822.0
Alabama,2015,25,2015-06-27,931.0,846.0
Alabama,2015,26,2015-07-04,906.0,827.0
Alabama,2015,27,2015-07-11,927.0,848.0
Alabama,2015,28,2015-07-18,919.0,854.0
Alabama,2015,29,2015-07-25,920.0,840.0
Alabama,2015,30,2015-08-01,903.0,820.0
Alabama,2015,31,2015-08-08,911.0,819.0
Alabama,2015,32,2015-08-15,961.0,874.0
Alabama,2015,33,2015-08-22,866.0,806.0
Alabama,2015,34,2015-08-29,920.0,848.0
Alabama,2015,35,2015-09-05,932.0,851.0
Alabama,2015,36,2015-09-12,963.0,881.0
Alabama,2015,37,2015-09-19,908.0,829.0
Alabama,2015,38,2015-09-26,951.0,872.0
Alabama,2015,39,2015-10-03,896.0,845.0
Alabama,2015,40,2015-10-10,964.0,889.0
Alabama,2015,41,2015-10-17,869.0,802.0
Alabama,2015,42,2015-10-24,966.0,900.0
Alabama,2015,43,2015-10-31,958.0,886.0
Alabama,2015,44,2015-11-07,872.0,807.0
Alabama,2015,45,2015-11-14,938.0,867.0
Alabama,2015,46,2015-11-21,1010.0,940.0
Alabama,2015,47,2015-11-28,1003.0,930.0
Alabama,2015,48,2015-12-05,968.0,903.0
Alabama,2015,49,2015-12-12,1022.0,947.0
Alabama,2015,50,2015-12-19,989.0,920.0
Alabama,2015,51,2015-12-26,1066.0,986.0
Alabama,2015,52,2016-01-02,983.0,915.0
Alabama,2016,1,2016-01-09,1008.0,938.0
Alabama,2016,2,2016-01-16,1043.0,955.0
Alabama,2016,3,2016-01-23,1029.0,953.0
Alabama,2016,4,2016-01-30,1020.0,944.0
Alabama,2016,5,2016-02-06,1103.0,1043.0
Alabama,2016,6,2016-02-13,1098.0,1011.0
Alabama,2016,7,2016-02-20,1114.0,1037.0
Alabama,2016,8,2016-02-27,962.0,878.0
Alabama,2016,9,2016-03-05,1006.0,929.0
Alabama,2016,10,2016-03-12,1035.0,961.0
Alabama,2016,11,2016-03-19,1009.0,919.0
Alabama,2016,12,2016-03-26,1001.0,917.0
Alabama,2016,13,2016-04-02,960.0,897.0
Alabama,2016,14,2016-04-09,1003.0,929.0
Alabama,2016,15,2016-04-16,942.0,888.0
Alabama,2016,16,2016-04-23,1011.0,934.0
Alabama,2016,17,2016-04-30,966.0,873.0
Alabama,2016,18,2016-05-07,963.0,888.0
Alabama,2016,19,2016-05-14,945.0,869.0
Alabama,2016,20,2016-05-21,918.0,844.0
Alabama,2016,21,2016-05-28,940.0,852.0
Alabama,2016,22,2016-06-04,954.0,862.0
Alabama,2016,23,2016-06-11,967.0,866.0
Alabama,2016,24,2016-06-18,877.0,803.0
Alabama,2016,25,2016-06-25,979.0,887.0
Alabama,2016,26,2016-07-02,903.0,814.0
Alabama,2016,27,2016-07-09,903.0,811.0
Alabama,2016,28,2016-07-16,965.0,895.0
Alabama,2016,29,2016-07-23,927.0,849.0
Alabama,2016,30,2016-07-30,927.0,862.0
Alabama,2016,31,2016-08-06,918.0,841.0
Alabama,2016,32,2016-08-13,921.0,847.0
Alabama,2016,33,2016-08-20,979.0,877.0
Alabama,2016,34,2016-08-27,942.0,856.0
Alabama,2016,35,2016-09-03,918.0,846.0
Alabama,2016,36,2016-09-10,911.0,841.0
Alabama,2016,37,2016-09-17,947.0,868.0
Alabama,2016,38,2016-09-24,986.0,906.0
Alabama,2016,39,2016-10-01,939.0,849.0
Alabama,2016,40,2016-10-08,958.0,866.0
Alabama,2016,41,2016-10-15,973.0,900.0
Alabama,2016,42,2016-10-22,907.0,829.0
Alabama,2016,43,2016-10-29,964.0,891.0
Alabama,2016,44,2016-11-05,952.0,873.0
Alabama,2016,45,2016-11-12,1028.0,957.0
Alabama,2016,46,2016-11-19,1004.0,932.0
Alabama,2016,47,2016-11-26,1029.0,957.0
Alabama,2016,48,2016-12-03,1032.0,949.0
Alabama,2016,49,2016-12-10,1057.0,966.0
Alabama,2016,50,2016-12-17,1049.0,972.0
Alabama,2016,51,2016-12-24,1134.0,1048.0
Alabama,2016,52,2016-12-31,1104.0,1027.0
Alabama,2017,1,2017-01-07,1121.0,1049.0
Alabama,2017,2,2017-01-14,1130.0,1046.0
Alabama,2017,3,2017-01-21,1048.0,968.0
Alabama,2017,4,2017-01-28,1026.0,943.0
Alabama,2017,5,2017-02-04,1036.0,934.0
Alabama,2017,6,2017-02-11,1057.0,984.0
Alabama,2017,7,2017-02-18,1060.0,974.0
Alabama,2017,8,2017-02-25,1099.0,1013.0
Alabama,2017,9,2017-03-04,1081.0,1004.0
Alabama,2017,10,2017-03-11,1011.0,920.0
Alabama,2017,11,2017-03-18,1067.0,993.0
Alabama,2017,12,2017-03-25,1068.0,977.0
Alabama,2017,13,2017-04-01,991.0,903.0
Alabama,2017,14,2017-04-08,1037.0,963.0
Alabama,2017,15,2017-04-15,1017.0,941.0
Alabama,2017,16,2017-04-22,966.0,894.0
Alabama,2017,17,2017-04-29,995.0,917.0
Alabama,2017,18,2017-05-06,907.0,839.0
Alabama,2017,19,2017-05-13,1064.0,982.0
Alabama,2017,20,2017-05-20,998.0,906.0
Alabama,2017,21,2017-05-27,988.0,889.0
Alabama,2017,22,2017-06-03,924.0,850.0
Alabama,2017,23,2017-06-10,984.0,889.0
Alabama,2017,24,2017-06-17,918.0,832.0
Alabama,2017,25,2017-06-24,961.0,873.0
Alabama,2017,26,2017-07-01,925.0,839.0
Alabama,2017,27,2017-07-08,954.0,859.0
Alabama,2017,28,2017-07-15,968.0,888.0
Alabama,2017,29,2017-07-22,964.0,875.0
Alabama,2017,30,2017-07-29,888.0,805.0
Alabama,2017,31,2017-08-05,949.0,879.0
Alabama,2017,32,2017-08-12,935.0,854.0
Alabama,2017,33,2017-08-19,933.0,864.0
Alabama,2017,34,2017-08-26,916.0,837.0
Alabama,2017,35,2017-09-02,953.0,874.0
Alabama,2017,36,2017-09-09,960.0,898.0
Alabama,2017,37,2017-09-16,968.0,889.0
Alabama,2017,38,2017-09-23,995.0,904.0
Alabama,2017,39,2017-09-30,1019.0,927.0
Alabama,2017,40,2017-10-07,948.0,872.0
Alabama,2017,41,2017-10-14,986.0,917.0
Alabama,2017,42,2017-10-21,965.0,888.0
Alabama,2017,43,2017-10-28,941.0,877.0
Alabama,2017,44,2017-11-04,994.0,906.0
Alabama,2017,45,2017-11-11,994.0,907.0
Alabama,2017,46,2017-11-18,982.0,894.0
Alabama,2017,47,2017-11-25,1004.0,931.0
Alabama,2017,48,2017-12-02,1067.0,977.0
Alabama,2017,49,2017-12-09,1074.0,988.0
Alabama,2017,50,2017-12-16,1120.0,1047.0
Alabama,2017,51,2017-12-23,1096.0,1010.0
Alabama,2017,52,2017-12-30,1080.0,1001.0
Alabama,2018,1,2018-01-06,1248.0,1159.0
Alabama,2018,2,2018-01-13,1301.0,1215.0
Alabama,2018,3,2018-01-20,1275.0,1190.0
Alabama,2018,4,2018-01-27,1286.0,1208.0
Alabama,2018,5,2018-02-03,1147.0,1058.0
Alabama,2018,6,2018-02-10,1180.0,1086.0
Alabama,2018,7,2018-02-17,1096.0,1019.0
Alabama,2018,8,2018-02-24,1099.0,1031.0
Alabama,2018,9,2018-03-03,985.0,919.0
Alabama,2018,10,2018-03-10,1059.0,978.0
Alabama,2018,11,2018-03-17,1086.0,987.0
Alabama,2018,12,2018-03-24,992.0,916.0
Alabama,2018,13,2018-03-31,995.0,901.0
Alabama,2018,14,2018-04-07,1012.0,941.0
Alabama,2018,15,2018-04-14,1026.0,954.0
Alabama,2018,16,2018-04-21,1030.0,942.0
Alabama,2018,17,2018-04-28,971.0,895.0
Alabama,2018,18,2018-05-05,1038.0,951.0
Alabama,2018,19,2018-05-12,950.0,878.0
Alabama,2018,20,2018-05-19,1005.0,935.0
Alabama,2018,21,2018-05-26,977.0,902.0
Alabama,2018,22,2018-06-02,972.0,893.0
Alabama,2018,23,2018-06-09,1011.0,934.0
Alabama,2018,24,2018-06-16,940.0,861.0
Alabama,2018,25,2018-06-23,972.0,888.0
Alabama,2018,26,2018-06-30,927.0,861.0
Alabama,2018,27,2018-07-07,972.0,879.0
Alabama,2018,28,2018-07-14,994.0,910.0
Alabama,2018,29,2018-07-21,959.0,876.0
