,date,value,month,month_year,series,series_name,unit
82,2015-05-01,157651,May,2015-05,LNS11000000,civilian labor force,number in thousands
83,2015-04-01,157060,April,2015-04,LNS11000000,civilian labor force,number in thousands
84,2015-03-01,156643,March,2015-03,LNS11000000,civilian labor force,number in thousands
85,2015-02-01,156644,February,2015-02,LNS11000000,civilian labor force,number in thousands
86,2015-01-01,157030,January,2015-01,LNS11000000,civilian labor force,number in thousands
87,2014-12-01,156332,December,2014-12,LNS11000000,civilian labor force,number in thousands
88,2014-11-01,156494,November,2014-11,LNS11000000,civilian labor force,number in thousands
89,2014-10-01,156417,October,2014-10,LNS11000000,civilian labor force,number in thousands
90,2014-09-01,156040,September,2014-09,LNS11000000,civilian labor force,number in thousands
91,2014-08-01,156130,August,2014-08,LNS11000000,civilian labor force,number in thousands
92,2014-07-01,156007,July,2014-07,LNS11000000,civilian labor force,number in thousands
93,2014-06-01,155707,June,2014-06,LNS11000000,civilian labor force,number in thousands
94,2014-05-01,155684,May,2014-05,LNS11000000,civilian labor force,number in thousands
95,2014-04-01,155369,April,2014-04,LNS11000000,civilian labor force,number in thousands
96,2014-03-01,156028,March,2014-03,LNS11000000,civilian labor force,number in thousands
97,2014-02-01,155483,February,2014-02,LNS11000000,civilian labor force,number in thousands
98,2014-01-01,155352,January,2014-01,LNS11000000,civilian labor force,number in thousands
99,2013-12-01,155182,December,2013-12,LNS11000000,civilian labor force,number in thousands
100,2013-11-01,155265,November,2013-11,LNS11000000,civilian labor force,number in thousands
101,2013-10-01,154673,October,2013-10,LNS11000000,civilian labor force,number in thousands
102,2013-09-01,155687,September,2013-09,LNS11000000,civilian labor force,number in thousands
103,2013-08-01,155605,August,2013-08,LNS11000000,civilian labor force,number in thousands
104,2013-07-01,155599,July,2013-07,LNS11000000,civilian labor force,number in thousands
105,2013-06-01,155749,June,2013-06,LNS11000000,civilian labor force,number in thousands
106,2013-05-01,155536,May,2013-05,LNS11000000,civilian labor force,number in thousands
107,2013-04-01,155394,April,2013-04,LNS11000000,civilian labor force,number in thousands
108,2013-03-01,155005,March,2013-03,LNS11000000,civilian labor force,number in thousands
109,2013-02-01,155312,February,2013-02,LNS11000000,civilian labor force,number in thousands
110,2013-01-01,155763,January,2013-01,LNS11000000,civilian labor force,number in thousands
0,2022-03-01,158458,March,2022-03,LNS12000000,civilian employment,number in thousands
1,2022-02-01,157722,February,2022-02,LNS12000000,civilian employment,number in thousands
2,2022-01-01,157174,January,2022-01,LNS12000000,civilian employment,number in thousands
3,2021-12-01,155975,December,2021-12,LNS12000000,civilian employment,number in thousands
4,2021-11-01,155324,November,2021-11,LNS12000000,civilian employment,number in thousands
5,2021-10-01,154234,October,2021-10,LNS12000000,civilian employment,number in thousands
6,2021-09-01,153806,September,2021-09,LNS12000000,civilian employment,number in thousands
7,2021-08-01,153167,August,2021-08,LNS12000000,civilian employment,number in thousands
8,2021-07-01,152704,July,2021-07,LNS12000000,civilian employment,number in thousands
9,2021-06-01,151612,June,2021-06,LNS12000000,civilian employment,number in thousands
10,2021-05-01,151550,May,2021-05,LNS12000000,civilian employment,number in thousands
11,2021-04-01,151259,April,2021-04,LNS12000000,civilian employment,number in thousands
12,2021-03-01,150940,March,2021-03,LNS12000000,civilian employment,number in thousands
13,2021-02-01,150367,February,2021-02,LNS12000000,civilian employment,number in thousands
14,2021-01-01,150004,January,2021-01,LNS12000000,civilian employment,number in thousands
15,2020-12-01,149883,December,2020-12,LNS12000000,civilian employment,number in thousands
16,2020-11-01,149761,November,2020-11,LNS12000000,civilian employment,number in thousands
17,2020-10-01,149719,October,2020-10,LNS12000000,civilian employment,number in thousands
18,2020-09-01,147569,September,2020-09,LNS12000000,civilian employment,number in thousands
19,2020-08-01,147176,August,2020-08,LNS12000000,civilian employment,number in thousands
20,2020-07-01,143727,July,2020-07,LNS12000000,civilian employment,number in thousands
21,2020-06-01,142218,June,2020-06,LNS12000000,civilian employment,number in thousands
22,2020-05-01,137182,May,2020-05,LNS12000000,civilian employment,number in thousands
23,2020-04-01,133320,April,2020-04,LNS12000000,civilian employment,number in thousands
24,2020-03-01,155599,March,2020-03,LNS12000000,civilian employment,number in thousands
25,2020-02-01,158866,February,2020-02,LNS12000000,civilian employment,number in thousands
26,2020-01-01,158653,January,2020-01,LNS12000000,civilian employment,number in thousands
27,2019-12-01,158772,December,2019-12,LNS12000000,civilian employment,number in thousands
28,2019-11-01,158504,November,2019-11,LNS12000000,civilian employment,number in thousands
29,2019-10-01,158356,October,2019-10,LNS12000000,civilian employment,number in thousands
30,2019-09-01,158249,September,2019-09,LNS12000000,civilian employment,number in thousands
31,2019-08-01,157780,August,2019-08,LNS12000000,civilian employment,number in thousands
32,2019-07-01,157488,July,2019-07,LNS12000000,civilian employment,number in thousands
33,2019-06-01,157123,June,2019-06,LNS12000000,civilian employment,number in thousands
34,2019-05-01,156868,May,2019-05,LNS12000000,civilian employment,number in thousands
35,2019-04-01,156744,April,2019-04,LNS12000000,civilian employment,number in thousands
36,2019-03-01,156869,March,2019-03,LNS12000000,civilian employment,number in thousands
37,2019-02-01,156992,February,2019-02,LNS12000000,civilian employment,number in thousands
38,2019-01-01,156614,January,2019-01,LNS12000000,civilian employment,number in thousands
39,2018-12-01,156767,December,2018-12,LNS12000000,civilian employment,number in thousands
40,2018-11-01,156606,November,2018-11,LNS12000000,civilian employment,number in thousands
41,2018-10-01,156294,October,2018-10,LNS12000000,civilian employment,number in thousands
42,2018-09-01,155970,September,2018-09,LNS12000000,civilian employment,number in thousands
43,2018-08-01,155512,August,2018-08,LNS12000000,civilian employment,number in thousands
44,2018-07-01,156115,July,2018-07,LNS12000000,civilian employment,number in thousands
45,2018-06-01,155734,June,2018-06,LNS12000000,civilian employment,number in thousands
46,2018-05-01,155694,May,2018-05,LNS12000000,civilian employment,number in thousands
47,2018-04-01,155362,April,2018-04,LNS12000000,civilian employment,number in thousands
48,2018-03-01,155303,March,2018-03,LNS12000000,civilian employment,number in thousands
49,2018-02-01,155259,February,2018-02,LNS12000000,civilian employment,number in thousands
50,2018-01-01,154493,January,2018-01,LNS12000000,civilian employment,number in thousands
51,2017-12-01,153904,December,2017-12,LNS12000000,civilian employment,number in thousands
52,2017-11-01,153805,November,2017-11,LNS12000000,civilian employment,number in thousands
53,2017-10-01,153609,October,2017-10,LNS12000000,civilian employment,number in thousands
54,2017-09-01,154286,September,2017-09,LNS12000000,civilian employment,number in thousands
55,2017-08-01,153503,August,2017-08,LNS12000000,civilian employment,number in thousands
56,2017-07-01,153569,July,2017-07,LNS12000000,civilian employment,number in thousands
57,2017-06-01,153318,June,2017-06,LNS12000000,civilian employment,number in thousands
58,2017-05-01,153069,May,2017-05,LNS12000000,civilian employment,number in thousands
59,2017-04-01,153255,April,2017-04,LNS12000000,civilian employment,number in thousands
60,2017-03-01,153065,March,2017-03,LNS12000000,civilian employment,number in thousands
61,2017-02-01,152480,February,2017-02,LNS12000000,civilian employment,number in thousands
62,2017-01-01,152152,January,2017-01,LNS12000000,civilian employment,number in thousands
63,2016-12-01,152157,December,2016-12,LNS12000000,civilian employment,number in thousands
64,2016-11-01,151954,November,2016-11,LNS12000000,civilian employment,number in thousands
65,2016-10-01,151793,October,2016-10,LNS12000000,civilian employment,number in thousands
66,2016-09-01,151761,September,2016-09,LNS12000000,civilian employment,number in thousands
67,2016-08-01,151779,August,2016-08,LNS12000000,civilian employment,number in thousands
68,2016-07-01,151554,July,2016-07,LNS12000000,civilian employment,number in thousands
69,2016-06-01,151223,June,2016-06,LNS12000000,civilian employment,number in thousands
70,2016-05-01,151132,May,2016-05,LNS12000000,civilian employment,number in thousands
71,2016-04-01,151074,April,2016-04,LNS12000000,civilian employment,number in thousands
72,2016-03-01,151218,March,2016-03,LNS12000000,civilian employment,number in thousands
73,2016-02-01,150939,February,2016-02,LNS12000000,civilian employment,number in thousands
74,2016-01-01,150653,January,2016-01,LNS12000000,civilian employment,number in thousands
75,2015-12-01,150128,December,2015-12,LNS12000000,civilian employment,number in thousands
76,2015-11-01,149463,November,2015-11,LNS12000000,civilian employment,number in thousands
77,2015-10-01,149246,October,2015-10,LNS12000000,civilian employment,number in thousands
78,2015-09-01,148826,September,2015-09,LNS12000000,civilian employment,number in thousands
79,2015-08-01,149181,August,2015-08,LNS12000000,civilian employment,number in thousands
80,2015-07-01,148830,July,2015-07,LNS12000000,civilian employment,number in thousands
81,2015-06-01,148816,June,2015-06,LNS12000000,civilian employment,number in thousands
82,2015-05-01,148817,May,2015-05,LNS12000000,civilian employment,number in thousands
83,2015-04-01,148511,April,2015-04,LNS12000000,civilian employment,number in thousands
84,2015-03-01,148128,March,2015-03,LNS12000000,civilian employment,number in thousands
85,2015-02-01,148045,February,2015-02,LNS12000000,civilian employment,number in thousands
86,2015-01-01,148145,January,2015-01,LNS12000000,civilian employment,number in thousands
87,2014-12-01,147615,December,2014-12,LNS12000000,civilian employment,number in thousands
88,2014-11-01,147404,November,2014-11,LNS12000000,civilian employment,number in thousands
89,2014-10-01,147427,October,2014-10,LNS12000000,civilian employment,number in thousands
90,2014-09-01,146778,September,2014-09,LNS12000000,civilian employment,number in thousands
91,2014-08-01,146530,August,2014-08,LNS12000000,civilian employment,number in thousands
92,2014-07-01,146399,July,2014-07,LNS12000000,civilian employment,number in thousands
93,2014-06-01,146247,June,2014-06,LNS12000000,civilian employment,number in thousands
94,2014-05-01,145825,May,2014-05,LNS12000000,civilian employment,number in thousands
95,2014-04-01,145667,April,2014-04,LNS12000000,civilian employment,number in thousands
96,2014-03-01,145648,March,2014-03,LNS12000000,civilian employment,number in thousands
97,2014-02-01,145134,February,2014-02,LNS12000000,civilian employment,number in thousands
98,2014-01-01,145150,January,2014-01,LNS12000000,civilian employment,number in thousands
99,2013-12-01,144778,December,2013-12,LNS12000000,civilian employment,number in thousands
100,2013-11-01,144479,November,2013-11,LNS12000000,civilian employment,number in thousands
101,2013-10-01,143537,October,2013-10,LNS12000000,civilian employment,number in thousands
102,2013-09-01,144418,September,2013-09,LNS12000000,civilian employment,number in thousands
103,2013-08-01,144326,August,2013-08,LNS12000000,civilian employment,number in thousands
104,2013-07-01,144264,July,2013-07,LNS12000000,civilian employment,number in thousands
105,2013-06-01,143999,June,2013-06,LNS12000000,civilian employment,number in thousands
106,2013-05-01,143882,May,2013-05,LNS12000000,civilian employment,number in thousands
107,2013-04-01,143635,April,2013-04,LNS12000000,civilian employment,number in thousands
108,2013-03-01,143316,March,2013-03,LNS12000000,civilian employment,number in thousands
109,2013-02-01,143362,February,2013-02,LNS12000000,civilian employment,number in thousands
110,2013-01-01,143292,January,2013-01,LNS12000000,civilian employment,number in thousands
0,2022-03-01,5952,March,2022-03,LNS13000000,civilian unemployment,number in thousands
1,2022-02-01,6270,February,2022-02,LNS13000000,civilian unemployment,number in thousands
2,2022-01-01,6513,January,2022-01,LNS13000000,civilian unemployment,number in thousands
3,2021-12-01,6319,December,2021-12,LNS13000000,civilian unemployment,number in thousands
4,2021-11-01,6802,November,2021-11,LNS13000000,civilian unemployment,number in thousands
5,2021-10-01,7375,October,2021-10,LNS13000000,civilian unemployment,number in thousands
6,2021-09-01,7666,September,2021-09,LNS13000000,civilian unemployment,number in thousands
7,2021-08-01,8339,August,2021-08,LNS13000000,civilian unemployment,number in thousands
8,2021-07-01,8671,July,2021-07,LNS13000000,civilian unemployment,number in thousands
9,2021-06-01,9502,June,2021-06,LNS13000000,civilian unemployment,number in thousands
10,2021-05-01,9251,May,2021-05,LNS13000000,civilian unemployment,number in thousands
11,2021-04-01,9719,April,2021-04,LNS13000000,civilian unemployment,number in thousands
12,2021-03-01,9691,March,2021-03,LNS13000000,civilian unemployment,number in thousands
13,2021-02-01,9992,February,2021-02,LNS13000000,civilian unemployment,number in thousands
14,2021-01-01,10180,January,2021-01,LNS13000000,civilian unemployment,number in thousands
15,2020-12-01,10789,December,2020-12,LNS13000000,civilian unemployment,number in thousands
16,2020-11-01,10777,November,2020-11,LNS13000000,civilian unemployment,number in thousands
17,2020-10-01,11115,October,2020-10,LNS13000000,civilian unemployment,number in thousands
18,2020-09-01,12584,September,2020-09,LNS13000000,civilian unemployment,number in thousands
19,2020-08-01,13532,August,2020-08,LNS13000000,civilian unemployment,number in thousands
20,2020-07-01,16288,July,2020-07,LNS13000000,civilian unemployment,number in thousands
21,2020-06-01,17616,June,2020-06,LNS13000000,civilian unemployment,number in thousands
22,2020-05-01,20940,May,2020-05,LNS13000000,civilian unemployment,number in thousands
23,2020-04-01,23038,April,2020-04,LNS13000000,civilian unemployment,number in thousands
24,2020-03-01,7165,March,2020-03,LNS13000000,civilian unemployment,number in thousands
25,2020-02-01,5717,February,2020-02,LNS13000000,civilian unemployment,number in thousands
26,2020-01-01,5826,January,2020-01,LNS13000000,civilian unemployment,number in thousands
27,2019-12-01,5861,December,2019-12,LNS13000000,civilian unemployment,number in thousands
28,2019-11-01,5930,November,2019-11,LNS13000000,civilian unemployment,number in thousands
29,2019-10-01,5980,October,2019-10,LNS13000000,civilian unemployment,number in thousands
30,2019-09-01,5766,September,2019-09,LNS13000000,civilian unemployment,number in thousands
31,2019-08-01,5993,August,2019-08,LNS13000000,civilian unemployment,number in thousands
32,2019-07-01,5984,July,2019-07,LNS13000000,civilian unemployment,number in thousands
33,2019-06-01,5906,June,2019-06,LNS13000000,civilian unemployment,number in thousands
34,2019-05-01,5935,May,2019-05,LNS13000000,civilian unemployment,number in thousands
35,2019-04-01,5898,April,2019-04,LNS13000000,civilian unemployment,number in thousands
36,2019-03-01,6166,March,2019-03,LNS13000000,civilian unemployment,number in thousands
37,2019-02-01,6122,February,2019-02,LNS13000000,civilian unemployment,number in thousands
38,2019-01-01,6458,January,2019-01,LNS13000000,civilian unemployment,number in thousands
39,2018-12-01,6379,December,2018-12,LNS13000000,civilian unemployment,number in thousands
40,2018-11-01,6132,November,2018-11,LNS13000000,civilian unemployment,number in thousands
41,2018-10-01,6230,October,2018-10,LNS13000000,civilian unemployment,number in thousands
42,2018-09-01,6065,September,2018-09,LNS13000000,civilian unemployment,number in thousands
43,2018-08-01,6167,August,2018-08,LNS13000000,civilian unemployment,number in thousands
44,2018-07-01,6173,July,2018-07,LNS13000000,civilian unemployment,number in thousands
45,2018-06-01,6446,June,2018-06,LNS13000000,civilian unemployment,number in thousands
46,2018-05-01,6188,May,2018-05,LNS13000000,civilian unemployment,number in thousands
47,2018-04-01,6448,April,2018-04,LNS13000000,civilian unemployment,number in thousands
48,2018-03-01,6457,March,2018-03,LNS13000000,civilian unemployment,number in thousands
49,2018-02-01,6586,February,2018-02,LNS13000000,civilian unemployment,number in thousands
50,2018-01-01,6505,January,2018-01,LNS13000000,civilian unemployment,number in thousands
51,2017-12-01,6632,December,2017-12,LNS13000000,civilian unemployment,number in thousands
52,2017-11-01,6774,November,2017-11,LNS13000000,civilian unemployment,number in thousands
53,2017-10-01,6700,October,2017-10,LNS13000000,civilian unemployment,number in thousands
54,2017-09-01,6854,September,2017-09,LNS13000000,civilian unemployment,number in thousands
55,2017-08-01,7082,August,2017-08,LNS13000000,civilian unemployment,number in thousands
56,2017-07-01,6892,July,2017-07,LNS13000000,civilian unemployment,number in thousands
57,2017-06-01,6873,June,2017-06,LNS13000000,civilian unemployment,number in thousands
58,2017-05-01,7000,May,2017-05,LNS13000000,civilian unemployment,number in thousands
59,2017-04-01,7089,April,2017-04,LNS13000000,civilian unemployment,number in thousands
60,2017-03-01,7073,March,2017-03,LNS13000000,civilian unemployment,number in thousands
61,2017-02-01,7379,February,2017-02,LNS13000000,civilian unemployment,number in thousands
62,2017-01-01,7468,January,2017-01,LNS13000000,civilian unemployment,number in thousands
63,2016-12-01,7521,December,2016-12,LNS13000000,civilian unemployment,number in thousands
64,2016-11-01,7553,November,2016-11,LNS13000000,civilian unemployment,number in thousands
65,2016-10-01,7811,October,2016-10,LNS13000000,civilian unemployment,number in thousands
66,2016-09-01,7953,September,2016-09,LNS13000000,civilian unemployment,number in thousands
67,2016-08-01,7784,August,2016-08,LNS13000000,civilian unemployment,number in thousands
68,2016-07-01,7641,July,2016-07,LNS13000000,civilian unemployment,number in thousands
69,2016-06-01,7744,June,2016-06,LNS13000000,civilian unemployment,number in thousands
70,2016-05-01,7652,May,2016-05,LNS13000000,civilian unemployment,number in thousands
71,2016-04-01,8067,April,2016-04,LNS13000000,civilian unemployment,number in thousands
72,2016-03-01,7961,March,2016-03,LNS13000000,civilian unemployment,number in thousands
73,2016-02-01,7702,February,2016-02,LNS13000000,civilian unemployment,number in thousands
74,2016-01-01,7627,January,2016-01,LNS13000000,civilian unemployment,number in thousands
75,2015-12-01,7907,December,2015-12,LNS13000000,civilian unemployment,number in thousands
76,2015-11-01,8000,November,2015-11,LNS13000000,civilian unemployment,number in thousands
77,2015-10-01,7922,October,2015-10,LNS13000000,civilian unemployment,number in thousands
78,2015-09-01,7907,September,2015-09,LNS13000000,civilian unemployment,number in thousands
79,2015-08-01,7992,August,2015-08,LNS13000000,civilian unemployment,number in thousands
80,2015-07-01,8167,July,2015-07,LNS13000000,civilian unemployment,number in thousands
81,2015-06-01,8247,June,2015-06,LNS13000000,civilian unemployment,number in thousands
82,2015-05-01,8834,May,2015-05,LNS13000000,civilian unemployment,number in thousands
83,2015-04-01,8550,April,2015-04,LNS13000000,civilian unemployment,number in thousands
84,2015-03-01,8515,March,2015-03,LNS13000000,civilian unemployment,number in thousands
85,2015-02-01,8599,February,2015-02,LNS13000000,civilian unemployment,number in thousands
86,2015-01-01,8885,January,2015-01,LNS13000000,civilian unemployment,number in thousands
87,2014-12-01,8717,December,2014-12,LNS13000000,civilian unemployment,number in thousands
88,2014-11-01,9090,November,2014-11,LNS13000000,civilian unemployment,number in thousands
89,2014-10-01,8990,October,2014-10,LNS13000000,civilian unemployment,number in thousands
90,2014-09-01,9262,September,2014-09,LNS13000000,civilian unemployment,number in thousands
91,2014-08-01,9599,August,2014-08,LNS13000000,civilian unemployment,number in thousands
92,2014-07-01,9608,July,2014-07,LNS13000000,civilian unemployment,number in thousands
93,2014-06-01,9460,June,2014-06,LNS13000000,civilian unemployment,number in thousands
94,2014-05-01,9859,May,2014-05,LNS13000000,civilian unemployment,number in thousands
95,2014-04-01,9702,April,2014-04,LNS13000000,civilian unemployment,number in thousands
96,2014-03-01,10380,March,2014-03,LNS13000000,civilian unemployment,number in thousands
97,2014-02-01,10349,February,2014-02,LNS13000000,civilian unemployment,number in thousands
98,2014-01-01,10202,January,2014-01,LNS13000000,civilian unemployment,number in thousands
99,2013-12-01,10404,December,2013-12,LNS13000000,civilian unemployment,number in thousands
100,2013-11-01,10787,November,2013-11,LNS13000000,civilian unemployment,number in thousands
101,2013-10-01,11136,October,2013-10,LNS13000000,civilian unemployment,number in thousands
102,2013-09-01,11270,September,2013-09,LNS13000000,civilian unemployment,number in thousands
103,2013-08-01,11279,August,2013-08,LNS13000000,civilian unemployment,number in thousands
104,2013-07-01,11335,July,2013-07,LNS13000000,civilian unemployment,number in thousands
105,2013-06-01,11751,June,2013-06,LNS13000000,civilian unemployment,number in thousands
106,2013-05-01,11654,May,2013-05,LNS13000000,civilian unemployment,number in thousands
107,2013-04-01,11760,April,2013-04,LNS13000000,civilian unemployment,number in thousands
108,2013-03-01,11689,March,2013-03,LNS13000000,civilian unemployment,number in thousands
109,2013-02-01,11950,February,2013-02,LNS13000000,civilian unemployment,number in thousands
110,2013-01-01,12471,January,2013-01,LNS13000000,civilian unemployment,number in thousands
0,2022-03-01,3.6,March,2022-03,LNS14000000,unemployment rate,rate
1,2022-02-01,3.8,February,2022-02,LNS14000000,unemployment rate,rate
2,2022-01-01,4.0,January,2022-01,LNS14000000,unemployment rate,rate
3,2021-12-01,3.9,December,2021-12,LNS14000000,unemployment rate,rate
4,2021-11-01,4.2,November,2021-11,LNS14000000,unemployment rate,rate
5,2021-10-01,4.6,October,2021-10,LNS14000000,unemployment rate,rate
6,2021-09-01,4.7,September,2021-09,LNS14000000,unemployment rate,rate
7,2021-08-01,5.2,August,2021-08,LNS14000000,unemployment rate,rate
8,2021-07-01,5.4,July,2021-07,LNS14000000,unemployment rate,rate
9,2021-06-01,5.9,June,2021-06,LNS14000000,unemployment rate,rate
10,2021-05-01,5.8,May,2021-05,LNS14000000,unemployment rate,rate
11,2021-04-01,6.0,April,2021-04,LNS14000000,unemployment rate,rate
12,2021-03-01,6.0,March,2021-03,LNS14000000,unemployment rate,rate
13,2021-02-01,6.2,February,2021-02,LNS14000000,unemployment rate,rate
14,2021-01-01,6.4,January,2021-01,LNS14000000,unemployment rate,rate
15,2020-12-01,6.7,December,2020-12,LNS14000000,unemployment rate,rate
16,2020-11-01,6.7,November,2020-11,LNS14000000,unemployment rate,rate
17,2020-10-01,6.9,October,2020-10,LNS14000000,unemployment rate,rate
18,2020-09-01,7.9,September,2020-09,LNS14000000,unemployment rate,rate
19,2020-08-01,8.4,August,2020-08,LNS14000000,unemployment rate,rate
20,2020-07-01,10.2,July,2020-07,LNS14000000,unemployment rate,rate
21,2020-06-01,11.0,June,2020-06,LNS14000000,unemployment rate,rate
22,2020-05-01,13.2,May,2020-05,LNS14000000,unemployment rate,rate
23,2020-04-01,14.7,April,2020-04,LNS14000000,unemployment rate,rate
24,2020-03-01,4.4,March,2020-03,LNS14000000,unemployment rate,rate
25,2020-02-01,3.5,February,2020-02,LNS14000000,unemployment rate,rate
