version,version_season,season_name,season,full_name,castaway_id,castaway,age,city,state,episode,day,order,result,jury_status,original_tribe,result_number,jury,finalist,winner
US,US07,Survivor: Pearl Islands,7.0,Trish Dunn,US0102,Trish,42.0,Annapolis,Maryland,6.0,18.0,6.0,6th voted out,,Drake,4.0,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Shawn Cohen,US0103,Shawn,28.0,Hollywood,California,7.0,19.0,7.0,7th voted out,,Drake,5.0,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Osten Taylor,US0104,Osten,27.0,Boston,Massachusetts,7.0,19.0,8.0,Quit,,Morgan,6.0,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Andrew Savage,US0105,Andrew,39.0,Chicago,Illinois,8.0,21.0,9.0,8th voted out,,Morgan,7.0,False,False,False
US,US07,Survivor: Pearl Islands,7.0,Ryan Opray,US0106,Ryan O.,30.0,Los Gatos,California,9.0,24.0,10.0,9th voted out,1st jury member,Morgan,8.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Rupert Boneham,US0107,Rupert,39.0,Indianapolis,Indiana,10.0,27.0,11.0,10th voted out,2nd jury member,Drake,9.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Tijuana Bradley,US0108,Tijuana,26.0,St. Louis,Missouri,11.0,30.0,12.0,11th voted out,3rd jury member,Morgan,10.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Christa Hastie,US0109,Christa,24.0,Los Angeles,California,12.0,33.0,13.0,12th voted out,4th jury member,Drake,11.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Burton Roberts,US0100,Burton,31.0,San Francisco,California,13.0,36.0,14.0,13th voted out,5th jury member,Drake,12.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Darrah Johnson,US0110,Darrah,22.0,Liberty,Mississippi,14.0,37.0,15.0,14th voted out,6th jury member,Morgan,13.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Jon Dalton,US0111,Jonny Fairplay,29.0,Los Angeles,California,14.0,38.0,16.0,15th voted out,7th jury member,Drake,14.0,True,False,False
US,US07,Survivor: Pearl Islands,7.0,Lillian Morris,US0099,Lillian,51.0,Loveland,Ohio,14.0,39.0,17.0,Runner-up,,Morgan,15.0,False,True,False
US,US07,Survivor: Pearl Islands,7.0,Sandra Diaz-Twine,US0112,Sandra,29.0,Fort Lewis,Washington,14.0,39.0,18.0,Sole Survivor,,Drake,16.0,False,True,True
US,US08,Survivor: All-Stars,8.0,Tina Wesson,US0032,Tina,42.0,Knoxville,Tennessee,1.0,3.0,1.0,1st voted out,,Saboga,1.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Rudy Boesch,US0014,Rudy,75.0,Virginia Beach,Virginia,2.0,6.0,2.0,2nd voted out,,Saboga,2.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Jenna Morasca,US0096,Jenna M.,22.0,Bridgeville,Pennsylvania,3.0,9.0,3.0,Quit,,Mogo Mogo,3.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Rob Cesternino,US0094,Rob C.,25.0,Plainview,New York,4.0,12.0,4.0,3rd voted out,,Chapera,4.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Richard Hatch,US0016,Richard,42.0,Middletown,Rhode Island,5.0,15.0,5.0,4th voted out,,Mogo Mogo,5.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Susan Hawk,US0013,Sue,42.0,Las Vegas,Nevada,6.0,17.0,6.0,Quit,,Chapera,6.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Colby Donaldson,US0031,Colby,29.0,Los Angeles,California,7.0,19.0,7.0,5th voted out,,Mogo Mogo,7.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Ethan Zohn,US0048,Ethan,30.0,New York City,New York,8.0,21.0,8.0,6th voted out,,Saboga,8.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Jerri Manthey,US0025,Jerri,33.0,Los Angeles,California,10.0,24.0,9.0,7th voted out,,Saboga,9.0,False,False,False
US,US08,Survivor: All-Stars,8.0,Lex van den Berghe,US0046,Lex,40.0,Santa Cruz,California,11.0,27.0,10.0,8th voted out,1st jury member,Mogo Mogo,10.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Kathy Vavrick-O'Brien,US0062,Kathy,48.0,Burlington,Vermont,12.0,28.0,11.0,9th voted out,2nd jury member,Mogo Mogo,11.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Alicia Calaway,US0024,Alicia,35.0,New York City,New York,13.0,30.0,12.0,10th voted out,3rd jury member,Chapera,12.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Shii Ann Huang,US0071,Shii Ann,29.0,New York City,New York,14.0,33.0,13.0,11th voted out,4th jury member,Mogo Mogo,13.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Tom Buchanan,US0045,Tom,48.0,Rich Valley,Virginia,15.0,36.0,14.0,12th voted out,5th jury member,Chapera,14.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Rupert Boneham,US0107,Rupert,39.0,Indianapolis,Indiana,16.0,37.0,15.0,13th voted out,6th jury member,Saboga,15.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Jenna Lewis,US0009,Jenna L.,26.0,Burbank,California,16.0,38.0,16.0,14th voted out,7th jury member,Saboga,16.0,True,False,False
US,US08,Survivor: All-Stars,8.0,Rob Mariano,US0055,Boston Rob,27.0,Canton,Massachusetts,16.0,39.0,17.0,Runner-up,,Chapera,17.0,False,True,False
US,US08,Survivor: All-Stars,8.0,Amber Brkich,US0027,Amber,25.0,Beaver,Pennsylvania,16.0,39.0,18.0,Sole Survivor,,Chapera,18.0,False,True,True
US,US09,Survivor: Vanuatu,9.0,Brook Geraghty,US0113,Brook,27.0,Winthrop,Massachusetts,1.0,3.0,1.0,1st voted out,,Lopevi,1.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Dolly Neely,US0114,Dolly,25.0,Lake Latonka,Pennsylvania,2.0,6.0,2.0,2nd voted out,,Yasur,2.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,John Palyok,US0115,John P.,31.0,Los Angeles,California,3.0,7.0,3.0,3rd voted out,,Lopevi,3.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Mia Galeotalanza,US0116,Mia,29.0,Boston,Massachusetts,3.0,7.0,4.0,4th voted out,,Yasur,4.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Brady Finta,US0117,Brady,33.0,Huntington Beach,California,4.0,10.0,5.0,5th voted out,,Lopevi,5.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Travis Sampson,US0118,Travis,33.0,Johnson City,Tennessee,5.0,12.0,6.0,6th voted out,,Lopevi,6.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Lisa Keiffer,US0119,Lisa,44.0,Mandeville,Louisiana,6.0,15.0,7.0,7th voted out,,Yasur,7.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,John Kenney,US0120,John K.,22.0,Los Angeles,California,7.0,18.0,8.0,8th voted out,,Lopevi,8.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Rory Freeman,US0121,Rory,35.0,Des Moines,Iowa,8.0,21.0,9.0,9th voted out,,Lopevi,9.0,False,False,False
US,US09,Survivor: Vanuatu,9.0,Lea Masters,US0122,Lea,40.0,Columbia,South Carolina,9.0,24.0,10.0,10th voted out,1st jury member,Lopevi,10.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,James Crittenden,US0123,Chad,34.0,Oakland,California,10.0,27.0,11.0,11th voted out,2nd jury member,Lopevi,11.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,Leann Slaby,US0124,Leann,35.0,Kansasville,Wisconsin,11.0,30.0,12.0,12th voted out,3rd jury member,Yasur,12.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,Ami Cusack,US0125,Ami,31.0,Lakewood,Colorado,12.0,33.0,13.0,13th voted out,4th jury member,Yasur,13.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,Julie Berry,US0126,Julie,23.0,Gorham,Maine,13.0,36.0,14.0,14th voted out,5th jury member,Yasur,14.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,Eliza Orlins,US0127,Eliza,21.0,Syracuse,New York,14.0,37.0,15.0,15th voted out,6th jury member,Yasur,15.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,Scout Cloud Lee,US0128,Scout,59.0,Stillwater,Oklahoma,14.0,38.0,16.0,16th voted out,7th jury member,Yasur,16.0,True,False,False
US,US09,Survivor: Vanuatu,9.0,Twila Tanner,US0129,Twila,41.0,Marshall,Missouri,14.0,39.0,17.0,Runner-up,,Yasur,17.0,False,True,False
US,US09,Survivor: Vanuatu,9.0,Chris Daugherty,US0130,Chris,33.0,South Vienna,Ohio,14.0,39.0,18.0,Sole Survivor,,Lopevi,18.0,False,True,True
US,US10,Survivor: Palau,10.0,Jonathan Libby,US0131,Jonathan,23.0,Dallas,Texas,1.0,2.0,1.0,Eliminated,,None,1.0,False,False,False
US,US10,Survivor: Palau,10.0,Wanda Shirk,US0132,Wanda,55.0,Ulysses,Pennsylvania,1.0,2.0,2.0,Eliminated,,None,2.0,False,False,False
US,US10,Survivor: Palau,10.0,Jolanda Jones,US0133,Jolanda,38.0,Houston,Texas,1.0,3.0,3.0,1st voted out,,Ulong,3.0,False,False,False
US,US10,Survivor: Palau,10.0,Ashlee Ashby,US0134,Ashlee,22.0,Easley,South Carolina,2.0,6.0,4.0,2nd voted out,,Ulong,4.0,False,False,False
US,US10,Survivor: Palau,10.0,Jeff Wilson,US0135,Jeff,21.0,Ventura,California,3.0,8.0,5.0,3rd voted out,,Ulong,5.0,False,False,False
US,US10,Survivor: Palau,10.0,Kimberly Mullen,US0136,Kim,25.0,Huber Heights,Ohio,4.0,11.0,6.0,4th voted out,,Ulong,6.0,False,False,False
