version,version_season,season_name,season,episode,castaway,castaway_id,confessional_count,confessional_time,index_count,index_time
US,US02,Survivor: The Australian Outback,2.0,3.0,Jeff,US0023,8.0,,1.8098859315589355,
US,US02,Survivor: The Australian Outback,2.0,3.0,Alicia,US0024,4.0,,0.8517110266159696,
US,US02,Survivor: The Australian Outback,2.0,3.0,Jerri,US0025,8.0,,1.57429718875502,
US,US02,Survivor: The Australian Outback,2.0,3.0,Nick,US0026,1.0,,0.2129277566539924,
US,US02,Survivor: The Australian Outback,2.0,3.0,Amber,US0027,3.0,,0.3748326639892905,
US,US02,Survivor: The Australian Outback,2.0,3.0,Rodger,US0028,3.0,,0.9581749049429659,
US,US02,Survivor: The Australian Outback,2.0,3.0,Elisabeth,US0029,4.0,,0.7452471482889734,
US,US02,Survivor: The Australian Outback,2.0,3.0,Keith,US0030,10.0,,1.3493975903614457,
US,US02,Survivor: The Australian Outback,2.0,3.0,Colby,US0031,9.0,,1.0495314591700133,
US,US02,Survivor: The Australian Outback,2.0,3.0,Tina,US0032,6.0,,0.824631860776439,
US,US02,Survivor: The Australian Outback,2.0,4.0,Mitchell,US0020,3.0,,1.018524755810037,
US,US02,Survivor: The Australian Outback,2.0,4.0,Kimmi,US0021,1.0,,1.2013201320132014,
US,US02,Survivor: The Australian Outback,2.0,4.0,Michael,US0022,4.0,,1.2937293729372938,
US,US02,Survivor: The Australian Outback,2.0,4.0,Jeff,US0023,1.0,,1.6633663366336635,
US,US02,Survivor: The Australian Outback,2.0,4.0,Alicia,US0024,1.0,,0.8316831683168318,
US,US02,Survivor: The Australian Outback,2.0,4.0,Jerri,US0025,6.0,,1.5277871337150555,
US,US02,Survivor: The Australian Outback,2.0,4.0,Nick,US0026,1.0,,0.27722772277227725,
US,US02,Survivor: The Australian Outback,2.0,4.0,Amber,US0027,2.0,,0.3960929605927922,
US,US02,Survivor: The Australian Outback,2.0,4.0,Rodger,US0028,2.0,,1.0165016501650166,
US,US02,Survivor: The Australian Outback,2.0,4.0,Elisabeth,US0029,0.0,,0.6468646864686469,
US,US02,Survivor: The Australian Outback,2.0,4.0,Keith,US0030,4.0,,1.2448635904344898,
US,US02,Survivor: The Australian Outback,2.0,4.0,Colby,US0031,5.0,,1.0751094644661503,
US,US02,Survivor: The Australian Outback,2.0,4.0,Tina,US0032,6.0,,0.9619400471539239,
