location,type,appt_wait,no_appt_wait,captured
corte-madera,field-office,0.0,6.0,2024-09-30 08:00:00
novato,field-office,0.0,4.0,2024-09-30 08:00:00
gilroy,field-office,,,2024-09-30 08:00:00
manteca,field-office,1.0,13.0,2024-09-30 08:00:00
lodi,field-office,0.0,11.0,2024-09-30 08:00:00
san-andreas,field-office,,,2024-09-30 08:00:00
sonora,field-office,0.0,6.0,2024-09-30 08:00:00
south-lake-tahoe,field-office,0.0,4.0,2024-09-30 08:00:00
jackson,field-office,0.0,10.0,2024-09-30 08:00:00
modesto,field-office,0.0,7.0,2024-09-30 08:00:00
turlock,field-office,7.0,5.0,2024-09-30 08:00:00
fort-bragg,field-office,0.0,0.0,2024-09-30 08:00:00
ukiah,field-office,0.0,0.0,2024-09-30 08:00:00
lakeport,field-office,,,2024-09-30 08:00:00
garberville,field-office,,,2024-09-30 08:00:00
eureka,field-office,0.0,1.0,2024-09-30 08:00:00
weaverville,field-office,,,2024-09-30 08:00:00
yreka,field-office,0.0,4.0,2024-09-30 08:00:00
auburn,field-office,10.0,11.0,2024-09-30 08:00:00
truckee,field-office,0.0,5.0,2024-09-30 08:00:00
woodland,field-office,0.0,20.0,2024-09-30 08:00:00
davis,field-office,0.0,4.0,2024-09-30 08:00:00
colusa,field-office,0.0,3.0,2024-09-30 08:00:00
folsom,field-office,0.0,5.0,2024-09-30 08:00:00
placerville,field-office,0.0,0.0,2024-09-30 08:00:00
rocklin,field-office,0.0,3.0,2024-09-30 08:00:00
roseville,field-office,0.0,9.0,2024-09-30 08:00:00
grass-valley,field-office,0.0,3.0,2024-09-30 08:00:00
willows,field-office,,,2024-09-30 08:00:00
chico,field-office,0.0,3.0,2024-09-30 08:00:00
oroville,field-office,0.0,0.0,2024-09-30 08:00:00
quincy,field-office,0.0,0.0,2024-09-30 08:00:00
susanville,field-office,0.0,11.0,2024-09-30 08:00:00
redding,field-office,0.0,0.0,2024-09-30 08:00:00
alturas,field-office,0.0,0.0,2024-09-30 08:00:00
fall-river-mills,field-office,,,2024-09-30 08:00:00
mt-shasta,field-office,,,2024-09-30 08:00:00
red-bluff,field-office,0.0,4.0,2024-09-30 08:00:00
tulelake,field-office,,,2024-09-30 08:00:00
