name,case_rate_per_100k_mid-november,case_rate_per_100k_mid-january,pct_change,rank_lower_is_better,rsa,est_pop,est_latino,est_anglo,est_black,est_asian,est_total_single_units,est_total_seven_more_units,est_total_housing_units,median_house_income,est_latino_pct,est_anglo_pct,est_black_pct,est_asian_pct,est_total_seven_more_units_pct,est_total_single_units_pct
Beverly Crest,71.86,303.39,322.2,48.0,Westside,11968.0,559.0,10069.0,197.0,683.0,1178.0,24.0,4898.0,156904.0,4.67,84.13,1.65,5.71,0.49,24.05
Mission Hills,298.46,1272.59,326.39,49.0,San Fernando Valley,22811.0,16327.0,3603.0,727.0,1866.0,1018.0,633.0,6198.0,57638.0,71.58,15.8,3.19,8.18,10.21,16.42
Hacienda Heights,173.44,745.63,329.91,50.0,San Gabriel Valley,52762.0,24082.0,7818.0,730.0,19556.0,2067.0,890.0,15805.0,77156.0,45.64,14.82,1.38,37.06,5.63,13.08
Studio City,89.13,383.24,329.98,51.0,San Fernando Valley,21170.0,2151.0,15926.0,917.0,1450.0,4070.0,27.0,10316.0,106852.0,10.16,75.23,4.33,6.85,0.26,39.45
Elysian Park,175.07,752.8,330.0,52.0,Central L.A.,5277.0,1566.0,538.0,116.0,2964.0,411.0,52.0,1859.0,40098.0,29.68,10.2,2.2,56.17,2.8,22.11
Signal Hill,169.53,737.48,335.01,53.0,Harbor,11033.0,3480.0,3325.0,1501.0,2268.0,1124.0,111.0,4153.0,58112.0,31.54,30.14,13.6,20.56,2.67,27.06
Adams-Normandie,207.27,902.22,335.29,54.0,South L.A.,7842.0,5200.0,358.0,1935.0,241.0,480.0,206.0,2280.0,25282.0,66.31,4.57,24.67,3.07,9.04,21.05
La Crescenta-Montrose,121.21,530.28,337.49,55.0,Verdugos,19214.0,2054.0,10961.0,130.0,5553.0,1374.0,74.0,6812.0,93267.0,10.69,57.05,0.68,28.9,1.09,20.17
Glendora,166.78,739.14,343.18,56.0,San Gabriel Valley,1515.0,402.0,930.0,22.0,127.0,79.0,13.0,509.0,78959.0,26.53,61.39,1.45,8.38,2.55,15.52
Palmdale,276.16,1234.84,347.15,57.0,Antelope Valley,182000.0,102219.0,41514.0,27813.0,7113.0,6985.0,3709.0,50709.0,58521.0,56.16,22.81,15.28,3.91,7.31,13.77
Reseda,288.45,1296.06,349.32,58.0,San Fernando Valley,71395.0,35470.0,22445.0,2917.0,8811.0,4711.0,1331.0,22205.0,61546.0,49.68,31.44,4.09,12.34,5.99,21.22
Valinda,295.24,1347.82,356.52,59.0,San Gabriel Valley,19066.0,14010.0,1418.0,488.0,3053.0,397.0,711.0,4349.0,64360.0,73.48,7.44,2.56,16.01,16.35,9.13
Lake Los Angeles,215.48,985.07,357.15,60.0,Antelope Valley,13931.0,7601.0,4359.0,1540.0,132.0,520.0,396.0,3690.0,50484.0,54.56,31.29,11.05,0.95,10.73,14.09
Walnut,101.53,465.09,358.08,61.0,San Gabriel Valley,42693.0,8469.0,5477.0,1199.0,26779.0,937.0,445.0,12487.0,87042.0,19.84,12.83,2.81,62.72,3.56,7.5
Sherman Oaks,108.88,506.57,365.26,62.0,San Fernando Valley,83542.0,11898.0,58850.0,4383.0,5681.0,14911.0,166.0,39692.0,92149.0,14.24,70.44,5.25,6.8,0.42,37.57
Mar Vista,94.18,440.3,367.51,63.0,Westside,40425.0,10814.0,20400.0,1400.0,6252.0,5893.0,168.0,17693.0,65894.0,26.75,50.46,3.46,15.47,0.95,33.31
Arleta,331.68,1574.05,374.57,64.0,San Fernando Valley,32544.0,26337.0,2574.0,484.0,2965.0,717.0,1349.0,7279.0,55903.0,80.93,7.91,1.49,9.11,18.53,9.85
El Monte,222.57,1058.25,375.47,65.0,San Gabriel Valley,111876.0,76517.0,5191.0,844.0,29080.0,2959.0,3481.0,27332.0,48951.0,68.39,4.64,0.75,25.99,12.74,10.83
East Rancho Dominguez,300.5,1437.16,378.26,66.0,Harbor,12258.0,10038.0,111.0,1979.0,35.0,203.0,571.0,2503.0,45282.0,81.89,0.91,16.14,0.29,22.81,8.11
San Fernando,361.61,1751.18,384.27,67.0,San Fernando Valley,23624.0,21844.0,1259.0,223.0,249.0,730.0,691.0,5960.0,55724.0,92.47,5.33,0.94,1.05,11.59,12.25
El Sereno,251.15,1219.86,385.71,68.0,Eastside,39329.0,32537.0,1719.0,735.0,4289.0,1661.0,892.0,11040.0,53227.0,82.73,4.37,1.87,10.91,8.08,15.05
Van Nuys,246.8,1206.09,388.69,69.0,San Fernando Valley,87546.0,55876.0,19391.0,4674.0,6304.0,6278.0,1376.0,27740.0,42392.0,63.82,22.15,5.34,7.2,4.96,22.63
Stevenson Ranch,90.62,443.58,389.49,70.0,Northwest County,21096.0,3268.0,11457.0,715.0,4876.0,1073.0,90.0,6955.0,97742.0,15.49,54.31,3.39,23.11,1.29,15.43
Pico Rivera,267.56,1309.81,389.54,71.0,Southeast,64346.0,58617.0,3419.0,619.0,1638.0,2314.0,1719.0,16915.0,57187.0,91.1,5.31,0.96,2.55,10.16,13.68
Pacoima,361.14,1792.7,396.4,72.0,San Fernando Valley,72301.0,65865.0,1794.0,3196.0,1280.0,1551.0,3244.0,15422.0,48299.0,91.1,2.48,4.42,1.77,21.03,10.06
North Hollywood,214.63,1069.86,398.47,73.0,San Fernando Valley,138165.0,74331.0,43996.0,6818.0,10336.0,13170.0,2127.0,47956.0,51079.0,53.8,31.84,4.93,7.48,4.44,27.46
Beverly Hills,98.49,492.47,400.02,75.0,Westside,34212.0,1948.0,26874.0,750.0,3039.0,5433.0,90.0,14931.0,103949.0,5.69,78.55,2.19,8.88,0.6,36.39
Culver City,90.3,451.52,400.02,75.0,Westside,35705.0,8681.0,17407.0,2757.0,5248.0,4967.0,164.0,15143.0,65009.0,24.31,48.75,7.72,14.7,1.08,32.8
Manchester Square,175.73,890.35,406.66,76.0,South L.A.,8242.0,1803.0,88.0,6172.0,49.0,717.0,115.0,2878.0,44492.0,21.88,1.07,74.88,0.59,4.0,24.91
Valley Glen,186.57,946.16,407.13,77.0,San Fernando Valley,26552.0,11193.0,12359.0,1073.0,1446.0,2306.0,269.0,9340.0,50539.0,42.16,46.55,4.04,5.45,2.88,24.69
West Adams,242.49,1234.17,408.96,78.0,South L.A.,26550.0,16863.0,1262.0,6674.0,1439.0,2462.0,454.0,8674.0,27137.0,63.51,4.75,25.14,5.42,5.23,28.38
Sun Village,231.94,1192.84,414.29,79.0,Antelope Valley,2720.0,1847.0,494.0,310.0,49.0,73.0,97.0,660.0,48682.0,67.9,18.16,11.4,1.8,14.7,11.06
Highland Park,196.32,1014.65,416.83,80.0,Northeast L.A.,45462.0,32803.0,5605.0,1302.0,5293.0,3277.0,790.0,14621.0,60375.0,72.15,12.33,2.86,11.64,5.4,22.41
South Whittier,177.3,918.58,418.09,81.0,Southeast,52700.0,40331.0,9073.0,806.0,2139.0,1851.0,1357.0,14011.0,64469.0,76.53,17.22,1.53,4.06,9.69,13.21
Winnetka,191.17,990.62,418.19,82.0,San Fernando Valley,51868.0,25423.0,13818.0,2695.0,8748.0,2870.0,900.0,15944.0,62043.0,49.01,26.64,5.2,16.87,5.64,18.0
Palos Verdes Estates,36.98,192.28,419.96,83.0,South Bay,13456.0,633.0,9875.0,161.0,2329.0,850.0,33.0,5073.0,122685.0,4.7,73.39,1.2,17.31,0.65,16.76
Marina del Rey,53.13,276.27,419.99,84.0,Westside,5449.0,423.0,4072.0,285.0,460.0,1858.0,1.0,3435.0,103577.0,7.76,74.73,5.23,8.44,0.03,54.09
Val Verde,120.88,634.63,425.01,85.0,Northwest County,3116.0,1704.0,1143.0,115.0,72.0,132.0,71.0,888.0,105961.0,54.69,36.68,3.69,2.31,8.0,14.86
Sylmar,296.12,1558.29,426.24,86.0,San Fernando Valley,75215.0,58574.0,9467.0,2743.0,3866.0,2326.0,2121.0,19145.0,59657.0,77.88,12.59,3.65,5.14,11.08,12.15
South El Monte,253.77,1345.46,430.19,87.0,San Gabriel Valley,21675.0,18317.0,660.0,120.0,2556.0,354.0,805.0,4808.0,49914.0,84.51,3.04,0.55,11.79,16.74,7.36
Atwater Village,184.1,981.86,433.33,88.0,Northeast L.A.,14122.0,6813.0,3775.0,238.0,3039.0,1561.0,158.0,5386.0,48022.0,48.24,26.73,1.69,21.52,2.93,28.98
Montebello,209.71,1129.32,438.52,89.0,Southeast,62804.0,49849.0,5317.0,570.0,6898.0,3329.0,1055.0,18997.0,52912.0,79.37,8.47,0.91,10.98,5.55,17.52
West Covina,161.69,875.87,441.7,90.0,San Gabriel Valley,106347.0,58150.0,16043.0,4495.0,26335.0,4516.0,1867.0,31046.0,69378.0,54.68,15.09,4.23,24.76,6.01,14.55
West Los Angeles,106.28,576.58,442.51,91.0,Westside,34087.0,6147.0,18296.0,927.0,7197.0,7488.0,109.0,17316.0,66910.0,18.03,53.67,2.72,21.11,0.63,43.24
Granada Hills,171.85,946.88,450.99,92.0,San Fernando Valley,54001.0,16926.0,24395.0,1994.0,9224.0,3044.0,629.0,17562.0,76820.0,31.34,45.18,3.69,17.08,3.58,17.33
Sun Valley,276.28,1522.4,451.04,93.0,San Fernando Valley,54668.0,38494.0,10609.0,978.0,3964.0,1921.0,1685.0,13954.0,61122.0,70.41,19.41,1.79,7.25,12.08,13.77
Covina,177.44,980.99,452.86,94.0,San Gabriel Valley,67501.0,37885.0,18452.0,2677.0,7443.0,3948.0,924.0,21480.0,71628.0,56.13,27.34,3.97,11.03,4.3,18.38
Agoura Hills,71.83,397.45,453.32,95.0,Santa Monica Mountains,18545.0,1781.0,14548.0,237.0,1418.0,1216.0,61.0,6665.0,106151.0,9.6,78.45,1.28,7.65,0.92,18.24
Downey,201.29,1114.97,453.91,96.0,Southeast,111731.0,78964.0,19778.0,4329.0,7801.0,5721.0,1761.0,33925.0,59548.0,70.67,17.7,3.87,6.98,5.19,16.86
Monrovia,136.6,757.73,454.71,97.0,San Gabriel Valley,7456.0,3996.0,1888.0,463.0,1005.0,319.0,174.0,2101.0,76834.0,53.59,25.32,6.21,13.48,8.28,15.18
Cudahy,275.19,1527.91,455.22,98.0,Southeast,24768.0,23774.0,534.0,342.0,139.0,425.0,693.0,5841.0,42607.0,95.99,2.16,1.38,0.56,11.86,7.28
Altadena,89.41,497.48,456.4,99.0,Verdugos,41744.0,11356.0,16542.0,9995.0,2272.0,3375.0,470.0,14780.0,80541.0,27.2,39.63,23.94,5.44,3.18,22.83
Glendale,140.44,783.08,457.59,100.0,Verdugos,190870.0,33327.0,117671.0,2570.0,30955.0,17994.0,875.0,71998.0,70234.0,17.46,61.65,1.35,16.22,1.22,24.99
Northridge,147.57,829.55,462.14,101.0,San Fernando Valley,65213.0,21842.0,26344.0,4045.0,11074.0,5148.0,695.0,22059.0,66222.0,33.49,40.4,6.2,16.98,3.15,23.34
Artesia,160.76,910.99,466.68,102.0,Southeast,16515.0,5898.0,3515.0,590.0,6137.0,661.0,328.0,4535.0,76190.0,35.71,21.28,3.57,37.16,7.23,14.58
Acton,75.27,426.55,466.69,103.0,Antelope Valley,7479.0,1473.0,5524.0,127.0,143.0,457.0,72.0,2580.0,91371.0,19.7,73.86,1.7,1.91,2.79,17.71
Westwood,101.65,578.46,469.07,104.0,Westside,51545.0,4513.0,30160.0,1128.0,13257.0,8148.0,49.0,19806.0,101358.0,8.76,58.51,2.19,25.72,0.25,41.14
Boyle Heights,285.44,1640.12,474.59,105.0,Eastside,81371.0,77812.0,1242.0,987.0,1319.0,2584.0,2431.0,19970.0,35554.0,95.63,1.53,1.21,1.62,12.17,12.94
Lake Balboa,170.59,985.64,477.78,106.0,San Fernando Valley,37588.0,19952.0,11950.0,1906.0,3053.0,2690.0,544.0,12416.0,54990.0,53.08,31.79,5.07,8.12,4.38,21.67
Paramount,224.91,1306.61,480.95,107.0,Southeast,54751.0,43158.0,3009.0,6383.0,1629.0,1904.0,1512.0,13999.0,44841.0,78.83,5.5,11.66,2.98,10.8,13.6
Panorama City,257.81,1499.0,481.44,108.0,San Fernando Valley,69792.0,50582.0,6554.0,2147.0,9861.0,2487.0,1866.0,18065.0,46261.0,72.48,9.39,3.08,14.13,10.33,13.77
Chatsworth,143.01,839.16,486.78,109.0,San Fernando Valley,34655.0,7636.0,18633.0,1472.0,5835.0,2795.0,224.0,12620.0,84452.0,22.03,53.77,4.25,16.84,1.77,22.15
Sunland,147.0,867.31,490.01,110.0,Verdugos,17757.0,4630.0,10651.0,335.0,1604.0,1507.0,146.0,6325.0,63333.0,26.07,59.98,1.89,9.03,2.31,23.83
La Puente,201.49,1231.05,510.97,111.0,San Gabriel Valley,40415.0,34426.0,1921.0,596.0,3309.0,950.0,1505.0,9469.0,55584.0,85.18,4.75,1.47,8.19,15.89,10.03
Duarte,158.98,972.02,511.41,112.0,San Gabriel Valley,26044.0,13733.0,6257.0,1812.0,3751.0,1845.0,522.0,8208.0,71870.0,52.73,24.02,6.96,14.4,6.36,22.48
Baldwin Park,239.68,1474.55,515.22,113.0,San Gabriel Valley,75514.0,60478.0,3257.0,915.0,10714.0,1470.0,2718.0,17158.0,57126.0,80.09,4.31,1.21,14.19,15.84,8.57
Rowland Heights,96.04,591.9,516.31,114.0,San Gabriel Valley,47848.0,12074.0,5736.0,849.0,28477.0,1498.0,700.0,14202.0,76878.0,25.23,11.99,1.77,59.52,4.93,10.55
Huntington Park,238.72,1476.03,518.31,115.0,Southeast,59920.0,58207.0,950.0,468.0,396.0,1674.0,1664.0,14990.0,38884.0,97.14,1.59,0.78,0.66,11.1,11.17
Bell Gardens,234.5,1455.74,520.78,116.0,Southeast,42065.0,40260.0,1136.0,377.0,262.0,750.0,1324.0,9655.0,45649.0,95.71,2.7,0.9,0.62,13.71,7.77
Ladera Heights,56.57,353.56,525.0,117.0,Westside,11657.0,902.0,2414.0,6975.0,873.0,1852.0,25.0,5343.0,75078.0,7.74,20.71,59.84,7.49,0.47,34.66
Lincoln Heights,217.81,1362.09,525.36,118.0,Eastside,31149.0,21843.0,1463.0,452.0,7239.0,1368.0,723.0,8651.0,37628.0,70.12,4.7,1.45,23.24,8.36,15.81
Westlake,170.16,1068.15,527.73,119.0,Central L.A.,54607.0,39613.0,3595.0,2838.0,8139.0,6377.0,742.0,19506.0,27435.0,72.54,6.58,5.2,14.9,3.8,32.69
Rosemead,130.08,816.62,527.78,120.0,San Gabriel Valley,51849.0,17701.0,2485.0,253.0,31212.0,1674.0,1270.0,13794.0,50658.0,34.14,4.79,0.49,60.2,9.21,12.14
Florence-Firestone,225.52,1416.38,528.05,121.0,South L.A.,82807.0,74071.0,508.0,8163.0,190.0,1632.0,3176.0,18345.0,32741.0,89.45,0.61,9.86,0.23,17.31,8.9
North Hills,191.64,1211.53,532.19,122.0,San Fernando Valley,57632.0,34992.0,11071.0,2501.0,8259.0,2303.0,1303.0,15981.0,48746.0,60.72,19.21,4.34,14.33,8.15,14.41
East Hollywood,150.24,956.06,536.36,123.0,Central L.A.,28390.0,15583.0,6270.0,924.0,5185.0,3053.0,297.0,10064.0,38050.0,54.89,22.09,3.25,18.26,2.95,30.34
Echo Park,147.31,939.96,538.08,124.0,Central L.A.,13074.0,6762.0,3892.0,255.0,1901.0,1650.0,136.0,5216.0,49935.0,51.72,29.77,1.95,14.54,2.61,31.63
La Mirada,96.78,623.0,543.73,125.0,Southeast,48685.0,19365.0,18474.0,1102.0,8654.0,2544.0,569.0,14730.0,77036.0,39.78,37.95,2.26,17.78,3.86,17.27
Tujunga,136.64,880.98,544.75,126.0,Verdugos,26865.0,6902.0,16049.0,475.0,2525.0,2315.0,208.0,9750.0,66488.0,25.69,59.74,1.77,9.4,2.13,23.74
Temple City,71.32,460.84,546.16,127.0,San Gabriel Valley,36695.0,7141.0,8419.0,333.0,20258.0,2272.0,363.0,12213.0,67104.0,19.46,22.94,0.91,55.21,2.97,18.6
East Los Angeles,235.49,1524.72,547.47,128.0,Eastside,125028.0,121273.0,1886.0,790.0,1249.0,3702.0,4076.0,30416.0,41620.0,97.0,1.51,0.63,1.0,13.4,12.17
Monterey Park,99.58,647.26,549.99,129.0,San Gabriel Valley,60701.0,16704.0,3007.0,274.0,40209.0,3673.0,729.0,20083.0,52411.0,27.52,4.95,0.45,66.24,3.63,18.29
Cerritos,79.89,521.3,552.52,130.0,Southeast,54789.0,6882.0,9580.0,3944.0,32994.0,2191.0,499.0,17492.0,76855.0,12.56,17.49,7.2,60.22,2.85,12.53
Vermont Knolls,186.05,1226.74,559.36,131.0,South L.A.,16689.0,8417.0,145.0,7898.0,82.0,1283.0,401.0,5126.0,32283.0,50.43,0.87,47.32,0.49,7.82,25.03
El Segundo,65.53,434.89,563.65,132.0,South Bay,16469.0,2579.0,11386.0,333.0,1443.0,2232.0,35.0,7009.0,100160.0,15.66,69.14,2.02,8.76,0.5,31.84
Littlerock,149.22,994.78,566.65,133.0,Antelope Valley,877.0,501.0,306.0,40.0,11.0,39.0,24.0,248.0,53467.0,57.13,34.89,4.56,1.25,9.68,15.73
Porter Ranch,89.92,601.33,568.74,134.0,San Fernando Valley,31231.0,3722.0,16350.0,947.0,9294.0,1520.0,155.0,10665.0,100865.0,11.92,52.35,3.03,29.76,1.45,14.25
Calabasas,57.56,386.47,571.42,135.0,Santa Monica Mountains,14411.0,850.0,11813.0,203.0,1037.0,844.0,39.0,5168.0,118860.0,5.9,81.97,1.41,7.2,0.75,16.33
Compton,197.19,1340.29,579.69,136.0,Southeast,97428.0,63394.0,1018.0,31590.0,390.0,2995.0,3602.0,23222.0,44376.0,65.07,1.04,32.42,0.4,15.51,12.9
Lynwood,215.14,1469.87,583.22,137.0,Southeast,73992.0,64161.0,1609.0,7531.0,516.0,1123.0,2733.0,15591.0,44554.0,86.71,2.17,10.18,0.7,17.53,7.2
Torrance,59.62,407.99,584.32,138.0,South Bay,145094.0,23460.0,61314.0,3959.0,50164.0,14402.0,616.0,55827.0,77056.0,16.17,42.26,2.73,34.57,1.1,25.8
Lomita,96.48,660.91,585.02,139.0,South Bay,20039.0,6554.0,8794.0,931.0,2941.0,2389.0,117.0,7967.0,69160.0,32.71,43.88,4.65,14.68,1.47,29.99
Valley Village,84.95,582.52,585.72,140.0,San Fernando Valley,22526.0,4409.0,14843.0,1256.0,1238.0,4370.0,68.0,10776.0,59166.0,19.57,65.89,5.58,5.5,0.63,40.55
