Transaction Date,Order Total,Commission,Merchant,Domain,Status,Code,Title,Locked,Payment Date
2024-09-06,$60.80 ,$10.34 ,Medik8,us.medik8.com,active,F35,MEDIK8 | Advanced Night Ceramide,yes,10/21/24
2024-09-07,$60.80 ,$10.34 ,Medik8,medik8.com,active,F35,MEDIK8 | Advanced Night Ceramide,yes,10/21/24
2025-04-28,$142.20 ,$28.44 ,Monastery,monasterymade.com,active,WELCOME10,Monastery | Healing Botanical Skincare,yes,6/13/25
2024-08-08,$89.00 ,$13.35 ,Mother Science,motherscience.com,active,-,MOTHER SCIENCE | Molecular Hero Serum,yes,11/1/24
2024-08-03,$71.20 ,$10.68 ,Mother Science,motherscience.com,active,WELCOMETP672NKP,MOTHER SCIENCE | Molecular Hero Serum,yes,10/4/24
2024-09-16,$71.20 ,$10.68 ,Mother Science,motherscience.com,active,WELCOMEZRP45XB3,MOTHER SCIENCE | Molecular Hero Serum,yes,11/29/24
2025-08-28,$94.00 ,$14.10 ,OneSkin,oneskin.co,active,ONESKIN-5cc42f33dbf9,PREP Facial Cleanser,yes,11/7/25
2024-01-18,$64.00 ,$3.04 ,OUAI,theouai.com,active,-,Melrose Place - Eau De Perfume,yes,5/3/24
2024-01-20,$64.00 ,$3.04 ,OUAI,theouai.com,active,-,Melrose Place - Eau De Perfume,yes,5/3/24
2025-10-04,$135.00 ,$8.03 ,P.F. Candle Co.,pfcandleco.com,active,-,Enoki Cedar– Candle,no,-
2024-02-03,$17.00 ,$2.02 ,Prose,prose.com,active,-,Custom Shampoo,yes,6/28/24
2024-12-05,$50.00 ,$4.25 ,Quince,quince.com,active,-,Quince Pants,yes,3/21/25
2024-01-10,$66.40 ,$11.29 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,3/8/24
2024-01-11,$45.00 ,$7.65 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,3/8/24
2024-01-10,$26.00 ,$4.42 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,3/8/24
2024-01-12,$26.00 ,$4.42 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,3/8/24
2024-01-22,$26.00 ,$4.42 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,3/8/24
2024-04-02,$26.00 ,$4.42 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,6/28/24
2024-01-26,$16.90 ,$2.87 ,Rèphr,rephr.com,active,-,RÈPHR | Intense Hydration Cream 1.0,yes,3/8/24
2024-01-10,$0.00 ,$0.00 ,Rèphr,rephr.com,cancelled,-,RÈPHR | Intense Hydration Cream 1.0,-,-
2024-12-13,$79.88 ,$4.75 ,"ROBOTIME C&C (JIANGSU) CO.,LTD.",robotimeonline.com,active,-,DIY Miniature Room Kit,yes,3/28/25
2024-11-27,$39.99 ,$2.38 ,"ROBOTIME C&C (JIANGSU) CO.,LTD.",robotimeonline.com,active,-,DIY Miniature Room Kit,yes,2/28/25
2024-12-19,$39.99 ,$2.38 ,"ROBOTIME C&C (JIANGSU) CO.,LTD.",robotimeonline.com,active,-,DIY Miniature Room Kit,yes,3/28/25
