mmsi,imo,name,place_of_build,build,breadth_extreme,summer_dwt,displacement_summer,callsign,flag,draught,length,fuel_consumption,speed_max,speed_service,liquid_oil,owner,manager,manager_owner,vessel_type,id,owner_us_sanction,oligarch,url,value,ship_id,lon,lat,flag_country,destination,shipname,last_date,notes
538071095,1010222,LUNA,,2010,20.0,1290.0,6186.0,V7NV8,MH,6.0,114.0,,,18.0,,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,BLUE OCEAN YACHT MANAGEMENT,YACHT,201758,False,Farkhad Akhmedov,https://www.marinetraffic.com/en/ais/details/ships/shipid:201758,196000000,201758,9.956523,53.54255,Marshall Islands,Shiffting Berth,Luna,2022-02-28 08:40:55,
319906000,1011331,MADAME GU,,2013,14.5,549.0,,ZGCW7,KY,4.4,99.0,,,,,,,,YACHT,1148803,True,Andrei Skoch,https://www.marinetraffic.com/en/ais/details/ships/shipid:1148803,156000000,1148803,55.27261,25.26916,Cayman Islands,Rashid,Madame Gu,2022-03-06 08:09:10,
310792000,9819820,MY SOLARIS,,2021,26.0,2060.0,,ZCEX8,BM,,139.0,,,,,BEAUTIFUL SEASCAPES LTD,DOHLE PRIVATE MARINE CLIENTS,,YACHT,6570613,True,Roman Abramovich,https://www.marinetraffic.com/en/ais/details/ships/shipid:6570613,474000000,6570613,18.6185,42.42749,Bermuda,Cruising,My Solaris,2022-03-14 15:34:09,
319222000,1011202,NIRVANA,,2012,14.2,,2311.0,ZGBM,KY,4.0,88.0,,18.5,,,EXCLUSIVE YACHT MANAGEMENT,EXCLUSIVE YACHT MANAGEMENT,EXCLUSIVE YACHT MANAGEMENT,YACHT,385359,False,Vladimir Potanin,https://www.marinetraffic.com/en/ais/details/ships/shipid:385359,223000000,385359,55.27411,25.26196,Cayman Islands,Ae Pra,Nirvana,2022-03-14 15:38:56,
319168400,9853785,NORD,,2021,22.48,,,ZGHK5,KY,5.15,142.0,,,,,,,,YACHT,6326693,True,Alexey Mordashov,https://www.marinetraffic.com/en/ais/details/ships/shipid:6326693,500000000,6326693,55.51287,-4.097668,Cayman Islands,Sc Maw>Mv Mle,Nord,2022-03-12 10:02:16,
319055400,1011850,OCEAN VICTORY,,2014,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT,384919,False,Viktor Rashnikov,https://www.marinetraffic.com/en/ais/details/ships/shipid:384919,294000000,384919,73.5419,4.272758,Cayman Islands,Seychelles,Ocean Victory,2022-03-01 15:11:15,
319055400,1011850,OCEAN VICTORY,,2014,20.0,1413.0,7485.0,ZGDK3,KY,5.65,140.0,,19.1,,,,,,YACHT,384299,False,Leonid Mikhelson,https://www.marinetraffic.com/en/ais/details/ships/shipid:384299,115000000,384299,-84.79768,9.796872,Cayman Islands,Bahia Huevo,Pacific,2022-02-16 20:18:05,
319030100,1010167,PALLADIUM,,2010,20.5,565.0,4210.0,ZGAK9,KY,4.3,94.0,,18.3,,,MASTER YACHTS CONSULTANCY,MASTER YACHTS CONSULTANCY,MASTER YACHTS CONSULTANCY,YACHT,384596,False,Mikhail Prokhorov,https://www.marinetraffic.com/en/ais/details/ships/shipid:384596,157000000,384596,2.18525,41.37071,Cayman Islands,Barcelona,Palladium,2020-06-16 12:12:48,
319835000,9740251,QUANTUM BLUE,,2014,17.65,627.0,,ZGEM4,KY,4.1,104.0,,,,,WILSON YACHT MANAGEMENT,WILSON YACHT MANAGEMENT,WILSON YACHT MANAGEMENT,YACHT,143368,False,Sergey Galitsky,https://www.marinetraffic.com/en/ais/details/ships/shipid:143368,213000000,143368,32.31433,31.26347,Cayman Islands,Eg Psd,Quantum Blue,2022-03-14 15:08:38,
215598000,9621522,RAGNAR,,2012,14.0,867.0,,9HA5201,MT,3.15,68.0,,,12.0,,,,,YACHT,254151,False,Vladimir Strzhalkovsky,https://www.marinetraffic.com/en/ais/details/ships/shipid:254151,85000000,254151,17.42282,68.42803,Malta,Narvik,Ragnar,2022-03-14 15:38:34,
319084100,1012268,ROYAL ROMANCE,,2015,15.0,,,ZGEX4,KY,3.9,93.0,,,,,,,,YACHT,3177005,True,Viktor Medvedchuk,https://www.marinetraffic.com/en/ais/details/ships/shipid:3177005,200000000,3177005,14.43967,45.32583,Cayman Islands,Rijeka,Royal Romance,2021-10-08 06:33:20,
232039750,1012141,SAILING YACHT A,,2017,25.0,1458.0,,MKOU2,GB,8.0,143.0,,,,,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,DOHLE MARINE CLIENTS,HOUSEBOAT,3598603,True,Andrey Melnichenko,https://www.marinetraffic.com/en/ais/details/ships/shipid:3598603,400000000,3598603,13.77455,45.63432,United Kingdom,Trieste,Sailing Yacht A,2022-02-25 16:16:35,Seized by Italian authorities on March 11
538071180,1010648,SEA RHAPSODY,,2012,12.18,,1422.0,V7VR9,MH,3.8,66.0,,,17.0,,,,,YACHT,384459,True,Andrey Kostin,https://www.marinetraffic.com/en/ais/details/ships/shipid:384459,65000000,384459,55.47648,-4.642568,Marshall Islands,Sc Pov,Sea Rhapsody,2022-03-14 15:38:53,
518100626,1010703,TANGO,ALBLASSERDAM NETHERLANDS,2011,12.2,380.0,1634.0,E5U3540,CK,3.7,78.0,,,21.0,,,,,YACHT,384563,True,Viktor Vekselberg,https://www.marinetraffic.com/en/ais/details/ships/shipid:384563,90000000,384563,2.638465,39.56647,Cook Island,Es Pmi,Tango,2022-03-14 15:31:59,
310598000,1010478,TITAN,,2010,12.6,220.0,1493.0,ZCED2,BM,3.35,78.0,,,17.0,,ATLANTIC MED MARINE,ATLANTIC MED MARINE,ATLANTIC MED MARINE,YACHT,371598,False,Alexander Abramov,https://www.marinetraffic.com/en/ais/details/ships/shipid:371598,82000000,371598,65.97577,15.44488,Bermuda,Cruising,Titan,2022-03-13 21:23:58,
375551000,1010624,VALERIE,,2011,14.28,325.0,1742.0,J8Y4380,VC,3.8,85.0,,16.7,,,KAALBYE SHIPPING INTERNATIONAL LTD,KAALBYE SHIPPING INTERNATIONAL LTD,KAALBYE SHIPPING INTERNATIONAL LTD,YACHT,466857,True,Sergei Chemezov,https://www.marinetraffic.com/en/ais/details/ships/shipid:466857,140000000,466857,2.186183,41.36963,St Vincent Grenadines,Esbcn,Valerie,2022-03-01 09:31:22,
319297000,1012012,LADY M,,2013,10.0,,,ZGCY9,KY,2.5,66.0,,,,,SEMARINE YACHT MANAGEMENT,SEMARINE YACHT MANAGEMENT,SEMARINE YACHT MANAGEMENT,YACHT,385495,True,Alexei Mordashov,https://www.marinetraffic.com/en/ais/details/ships/shipid:385495,27000000,385495,8.024118,43.87768,Cayman Islands,Imperia,Lady M,2016-08-25 16:17:33,
319321000,1011757,AMORE VERO,,2013,14.2,,2311.0,ZGCS2,KY,4.5,88.0,,18.5,,,,,,YACHT,385560,True,Igor Sechin,https://www.marinetraffic.com/en/ais/details/ships/shipid:385560,120000000,385560,5.610517,43.17068,Cayman Islands,It Spe > Fr Lct,Amore Vero,2022-03-01 00:00:00,
273378690,1010533,RAHIL,,2011,11.9,287.0,1100.0,UBTN4,RU,3.2,65.0,,15.0,12.0,,BAEVSKIY,INSERVE YACHTS,,YACHT,386208,True,Arkady Rotenberg,https://www.marinetraffic.com/en/ais/details/ships/shipid:386208,38000000,386208,29.321,40.81483,Russia,Tuzla,Rahil,2022-03-09 04:53:37,
