,zip,total
628,92804,35673
629,92805,29282
630,92806,21228
631,92807,23393
632,92808,11921
633,92821,23271
634,92823,2284
635,92831,15174
636,92832,9677
637,92833,26587
638,92835,13155
639,92840,23968
640,92841,15210
641,92842,27
642,92843,19604
643,92844,10179
644,92845,7633
645,92860,11437
646,92861,2524
647,92863,24
648,92865,10724
649,92866,5573
650,92867,22821
651,92868,18555
652,92869,18780
653,92870,26892
654,92879,21702
655,92880,40389
656,92881,16292
657,92882,33513
658,92883,18540
659,92886,30144
660,92887,12930
661,93001,13743
662,93003,24345
663,93004,14893
664,93010,22493
665,93012,20550
666,93013,6550
667,93015,6545
668,93021,21203
669,93022,1657
670,93023,8485
671,93030,22566
672,93031,132
673,93033,28727
674,93035,13209
675,93036,19641
676,93040,255
677,93041,7503
678,93060,11554
679,93063,31003
680,93065,41769
681,93066,622
682,93067,47
683,93101,11884
684,93102,17
685,93103,7367
686,93105,11197
687,93106,47
688,93108,5254
689,93109,3988
690,93110,6641
691,93111,8484
692,93117,16075
693,93202,747
694,93203,5199
695,93204,2182
696,93205,11
697,93206,285
698,93210,4279
699,93212,4245
700,93215,16370
701,93216,68
702,93219,2348
703,93220,11
704,93221,5306
705,93222,271
706,93223,2765
707,93224,42
708,93225,1138
709,93227,11
710,93230,29837
711,93234,1198
712,93235,799
713,93238,115
714,93240,969
715,93241,3358
716,93242,448
717,93243,58
718,93245,14594
719,93246,70
720,93247,5180
721,93249,268
722,93250,4300
723,93251,49
724,93252,29
725,93256,1002
726,93257,26979
727,93258,191
728,93261,228
729,93263,7980
730,93265,844
731,93266,48
732,93267,1331
733,93268,4675
734,93270,1319
735,93271,316
736,93272,573
737,93274,29529
738,93276,11
739,93277,20779
740,93278,12
741,93279,63
742,93280,7366
743,93283,42
744,93285,180
745,93286,2562
746,93290,39
747,93291,25528
748,93292,17681
749,93301,6177
750,93303,147
751,93304,14561
752,93305,8406
753,93306,27457
754,93307,28698
755,93308,23132
756,93309,23857
757,93311,26470
758,93312,30165
759,93313,26652
760,93314,17552
761,93380,372
762,93384,52
763,93388,13
764,93389,120
765,93401,13607
766,93402,5432
767,93405,5653
768,93407,11
769,93408,66
770,93420,14770
771,93422,14935
772,93423,11
773,93424,11
774,93426,26
775,93427,2055
776,93428,1847
777,93430,551
778,93432,35
779,93433,4538
780,93434,1852
781,93436,19841
782,93437,302
783,93440,147
784,93441,38
785,93442,4036
786,93444,10123
787,93445,1699
788,93446,21906
789,93447,155
790,93449,3366
791,93451,1044
792,93453,301
793,93454,14574
794,93455,21345
795,93456,253
796,93458,18788
797,93460,1919
798,93463,2893
799,93465,4227
800,93501,891
801,93502,12
802,93505,3094
803,93510,2928
804,93513,278
805,93514,5441
806,93515,40
807,93516,82
808,93517,23
809,93523,205
810,93526,31
811,93527,290
812,93532,397
813,93534,13601
814,93535,27790
815,93536,32508
816,93543,3944
817,93544,13
818,93545,175
819,93546,2843
820,93550,29078
821,93551,27519
822,93552,17070
823,93553,65
824,93555,12991
825,93560,7556
826,93561,13588
827,93562,70
828,93581,11
829,93591,1546
830,93601,127
831,93602,573
832,93606,14
833,93609,1457
834,93610,5903
835,93611,23090
836,93612,12450
837,93613,22
838,93614,4394
839,93615,978
840,93616,261
841,93618,10451
842,93619,24443
843,93620,2839
844,93622,3061
845,93625,2597
846,93626,219
847,93630,6989
848,93631,6676
849,93635,18413
850,93636,5486
851,93637,15846
852,93638,14871
853,93640,2896
854,93643,476
855,93644,2536
856,93646,2665
857,93647,2779
858,93648,4475
859,93650,803
860,93651,147
861,93653,11
862,93654,10517
863,93656,1761
864,93657,14076
865,93660,780
866,93662,10755
867,93664,11
868,93667,171
869,93668,75
870,93675,465
871,93701,1608
872,93702,11779
873,93703,9007
874,93704,10112
875,93705,10551
876,93706,11471
877,93710,10094
878,93711,20218
879,93720,23747
880,93721,1347
881,93722,36463
882,93723,4414
883,93725,9188
884,93726,12351
885,93727,31638
886,93728,3941
887,93729,11
888,93730,6309
889,93737,1726
890,93740,17
891,93776,32
892,93901,11563
893,93902,179
894,93905,21803
895,93906,24786
896,93907,9908
897,93908,6450
898,93912,255
899,93920,112
900,93921,672
901,93922,11
902,93923,5136
903,93924,2286
904,93925,113
905,93926,2909
906,93927,5573
907,93930,5035
908,93933,10270
909,93940,13106
910,93942,13
911,93950,5610
912,93953,1651
913,93955,12094
914,93960,6705
915,94002,14378
916,94005,1624
917,94010,33089
918,94014,19709
919,94015,28475
920,94018,755
921,94019,7139
922,94020,65
923,94022,11917
924,94024,13066
925,94025,21813
926,94027,3536
927,94028,3283
928,94030,11214
929,94037,623
930,94038,582
931,94040,16852
932,94041,6139
933,94043,16394
934,94044,19449
935,94060,36
936,94061,16735
937,94062,14745
938,94063,15337
939,94065,6465
940,94066,21165
941,94070,17911
942,94080,105368
943,94085,11359
944,94086,23833
945,94087,29005
946,94089,11164
947,94102,4282
948,94103,7487
949,94104,91
950,94105,7804
951,94107,10250
952,94108,1254
953,94109,12274
954,94110,19074
955,94111,819
956,94112,28809
957,94114,10986
958,94115,10383
959,94116,17523
960,94117,10512
961,94118,13166
962,94121,14283
963,94122,20557
964,94123,9126
965,94124,17392
966,94126,154
967,94127,8095
968,94128,180
969,94129,383
970,94130,74
971,94131,10927
972,94132,8910
973,94133,5610
974,94134,15157
975,94142,629
976,94158,1531
977,94236,33
978,94244,126
979,94296,25
980,94301,7655
981,94303,21249
982,94304,924
983,94305,1981
984,94306,13188
985,94401,14558
986,94402,13719
987,94403,22238
988,94404,19904
989,94501,26525
990,94502,6402
991,94503,9577
992,94505,7344
993,94506,15404
994,94507,9453
995,94508,475
996,94509,27142
997,94510,15299
998,94511,70
999,94513,35170
1000,94514,69
1001,94515,2015
1002,94517,6154
1003,94518,12011
1004,94519,7505
1005,94520,17067
1006,94521,20196
1007,94523,16993
1008,94524,20
1009,94525,597
1010,94526,19972
1011,94528,90
1012,94530,10587
1013,94531,21061
1014,94533,32725
1015,94534,23503
1016,94535,592
1017,94536,34125
1018,94538,34292
1019,94539,29572
1020,94541,27281
1021,94542,6004
1022,94544,33793
1023,94545,16834
1024,94546,21017
1025,94547,12556
1026,94549,15660
1027,94550,27393
1028,94551,22250
1029,94552,7434
1030,94553,26007
1031,94555,17795
1032,94556,7331
1033,94558,33258
1034,94559,11855
1035,94560,23331
1036,94561,20625
1037,94563,10824
1038,94564,8420
1039,94565,41921
1040,94566,25411
1041,94568,37318
1042,94571,4285
1043,94572,2778
1044,94574,3516
1045,94577,22653
1046,94578,15875
1047,94579,9562
1048,94580,12474
1049,94582,25053
1050,94583,21922
1051,94585,12981
1052,94586,23
1053,94587,34287
1054,94588,19522
1055,94589,11928
1056,94590,13488
1057,94591,26435
1058,94592,16
1059,94595,8341
1060,94596,11724
1061,94597,10717
1062,94598,13985
1063,94599,366
1064,94601,15769
1065,94602,11880
1066,94603,11133
1067,94605,16223
1068,94606,12396
1069,94607,7988
1070,94608,10223
1071,94609,6199
1072,94610,12284
1073,94611,18933
1074,94612,5202
1075,94618,6770
1076,94619,9724
1077,94621,10607
1078,94623,47
1079,94701,25
1080,94702,4839
1081,94703,5067
1082,94704,2865
1083,94705,4757
1084,94706,6335
1085,94707,4987
1086,94708,4341
1087,94709,2116
1088,94710,2198
1089,94801,10603
1090,94802,144
1091,94803,11333
1092,94804,16524
1093,94805,4770
1094,94806,25280
1095,94901,19421
1096,94903,14696
1097,94904,5977
1098,94912,31
1099,94913,29
1100,94920,6572
1101,94923,68
1102,94924,47
1103,94925,4718
1104,94928,19685
1105,94930,2892
1106,94931,3516
1107,94933,23
1108,94937,35
1109,94939,2895
1110,94941,16636
1111,94945,8457
1112,94946,14
1113,94947,11613
1114,94948,13
1115,94949,8461
1116,94951,1067
1117,94952,16225
1118,94954,19313
1119,94956,106
1120,94957,414
1121,94960,6705
1122,94965,4667
1123,94973,124
1124,94976,11
1125,95002,286
1126,95003,11775
1127,95004,971
1128,95005,1819
1129,95006,2984
1130,95008,25205
