,zip,name,teslas,all_vehicles,tesla_rate_1k,avg_house_income,avg_net_worth
343,92129,San Diego,682,26923,25.33,139578,1073496
344,92130,San Diego,1852,33262,55.68,183826,1403611
345,92131,San Diego,686,20776,33.02,172094,1474486
346,92139,San Diego,36,14899,2.42,78980,429469
347,92154,San Diego,101,45458,2.22,73187,328140
348,92201,Indio,50,25866,1.93,66806,467187
349,92203,Indio,85,16765,5.07,96755,1037175
350,92210,Indian Wells,45,2712,16.59,127125,2078023
351,92211,Palm Desert,143,15687,9.12,99307,1852504
352,92220,Banning,13,13593,0.96,57104,749538
353,92223,Beaumont,136,29693,4.58,89867,750567
354,92234,Cathedral City,78,23146,3.37,68415,617602
355,92243,El Centro,14,24565,0.57,63639,310809
356,92253,La Quinta,204,20105,10.15,118830,1452156
357,92260,Palm Desert,138,15438,8.94,88677,1164053
358,92262,Palm Springs,239,12696,18.82,75909,565236
359,92264,Palm Springs,153,10249,14.93,85661,998467
360,92270,Rancho Mirage,265,10798,24.54,119941,2059917
361,92284,Yucca Valley,23,9670,2.38,58368,419364
362,92307,Apple Valley,48,17266,2.78,77937,732326
363,92324,Colton,51,24407,2.09,61327,259947
364,92335,Fontana,50,41115,1.22,57866,174519
365,92336,Fontana,352,50761,6.93,101792,590569
366,92337,Fontana,56,19395,2.89,82754,383896
367,92345,Hesperia,16,33910,0.47,61420,302010
368,92346,Highland,110,25824,4.26,87020,671494
369,92354,Loma Linda,77,9321,8.26,86227,424691
370,92373,Redlands,247,17490,14.12,109095,1203337
371,92374,Redlands,89,18907,4.71,88821,712158
372,92376,Rialto,16,33320,0.48,59519,214971
373,92377,Rialto,45,10985,4.1,96092,744940
374,92392,Victorville,47,25297,1.86,78231,408566
375,92394,Victorville,16,13948,1.15,62136,194927
376,92395,Victorville,39,16720,2.33,59131,280539
377,92399,Yucaipa,96,25548,3.76,83329,719445
378,92404,San Bernardino,11,20163,0.55,55561,274118
379,92407,San Bernardino,95,26547,3.58,71998,372394
380,92501,Riverside,12,9377,1.28,62654,216196
381,92503,Riverside,268,39358,6.81,76679,436809
382,92504,Riverside,72,26742,2.69,75800,459606
383,92505,Riverside,54,20201,2.67,73774,299368
384,92506,Riverside,241,22378,10.77,120198,1386320
385,92507,Riverside,102,22515,4.53,58825,213398
386,92508,Riverside,170,18743,9.07,120112,842734
387,92509,Riverside,73,34260,2.13,71753,346070
388,92530,Lake Elsinore,89,24358,3.65,69681,324579
389,92532,Lake Elsinore,99,13797,7.18,89637,464713
390,92544,Hemet,13,17928,0.73,66993,508680
391,92553,Moreno Valley,11,27522,0.4,57695,164364
392,92555,Moreno Valley,72,20563,3.5,90981,515047
393,92557,Moreno Valley,64,23008,2.78,80737,520161
394,92562,Murrieta,307,33675,9.12,108317,959259
395,92563,Murrieta,304,35906,8.47,105393,669964
396,92570,Perris,44,22249,1.98,62606,315591
397,92571,Perris,33,23833,1.38,65825,214389
398,92582,San Jacinto,14,8968,1.56,76353,351107
399,92584,Menifee,195,27673,7.05,91836,665848
400,92585,Sun City,51,11868,4.3,80208,540129
401,92587,Quail Valley,63,9150,6.89,98786,949793
402,92590,Temecula,29,3637,7.97,103746,711896
403,92591,Temecula,168,20565,8.17,94309,617928
404,92592,Temecula,460,41388,11.11,111031,800215
405,92595,Wildomar,72,16444,4.38,93994,608100
406,92596,Winchester,90,15274,5.89,108919,636781
407,92602,Irvine,838,15993,52.4,150269,583761
408,92603,Irvine,762,11426,66.69,183212,1606021
409,92604,Irvine,332,13612,24.39,119363,1099390
410,92606,Irvine,312,12834,24.31,122888,659541
411,92610,Foothill Ranch,243,7719,31.48,155622,1093125
412,92612,Irvine,443,14203,31.19,108033,595327
413,92614,Irvine,454,17352,26.16,127856,791614
414,92617,Irvine,102,3379,30.19,30542,38666
415,92618,Irvine,1989,33447,59.47,119937,486310
416,92620,Irvine,1529,31416,48.67,139489,984647
417,92624,Capistrano Beach,61,3796,16.07,120419,1108779
418,92625,Corona Del Mar,539,7760,69.46,206930,2057149
419,92626,Costa Mesa,502,31398,15.99,108758,645087
420,92627,Costa Mesa,468,26500,17.66,88891,313728
421,92629,Dana Point,419,14971,27.99,141140,1302451
422,92630,Lake Forest,733,35168,20.84,118389,931495
423,92637,Laguna Woods,32,8629,3.71,63155,1460072
424,92646,Huntington Beach,559,29745,18.79,118078,1270882
425,92647,Huntington Beach,332,27591,12.03,98790,694189
426,92648,Huntington Beach,827,25630,32.27,139961,1151248
427,92649,Huntington Beach,499,19467,25.63,135201,1343836
428,92651,Laguna Beach,858,14890,57.62,175060,1520859
429,92653,Laguna Hills,421,16595,25.37,144930,1578778
430,92655,Midway City,14,3258,4.3,80520,338998
431,92656,Aliso Viejo,711,28658,24.81,124490,651011
432,92657,Newport Coast,697,6957,100.19,244565,2836260
433,92660,Newport Beach,1125,24573,45.78,187964,1709031
434,92661,Newport Beach,43,1904,22.58,164062,1246566
435,92662,Newport Beach,24,1505,15.95,142349,1352337
436,92663,Newport Beach,450,11484,39.18,146014,950975
437,92672,San Clemente,466,19132,24.36,121378,1072617
438,92673,San Clemente,700,17625,39.72,155489,1453097
439,92675,San Juan Capistrano,524,18562,28.23,132048,1536462
440,92677,Laguna Niguel,1124,37010,30.37,157496,1533490
441,92679,Trabuco Canyon,814,20180,40.34,204677,2064131
442,92683,Westminster,545,39944,13.64,84945,541349
443,92688,Rancho Santa Margarita,384,25298,15.18,125601,893311
444,92691,Mission Viejo,362,25649,14.11,124900,1145618
445,92692,Mission Viejo,623,27254,22.86,134963,1539986
446,92694,Ladera Ranch,932,20138,46.28,169419,1062666
447,92701,Santa Ana,34,15961,2.13,55249,113342
448,92703,Santa Ana,88,20718,4.25,63430,192975
449,92704,Santa Ana,231,31394,7.36,74016,307406
450,92705,Santa Ana,629,25051,25.11,139500,1690506
451,92706,Santa Ana,96,13461,7.13,86689,481384
452,92707,Santa Ana,97,20837,4.66,77500,263962
453,92708,Fountain Valley,638,30484,20.93,112135,1158925
454,92780,Tustin,251,24224,10.36,85557,461297
455,92782,Tustin,744,16252,45.78,142610,878016
456,92801,Anaheim,92,24541,3.75,68699,198096
457,92802,Anaheim,83,15287,5.43,70566,226952
458,92804,Anaheim,192,32759,5.86,72399,261456
459,92805,Anaheim,220,34452,6.39,67825,188469
460,92806,Anaheim,130,21717,5.99,80499,359401
