,zip,name,teslas,all_vehicles,tesla_rate_1k,avg_house_income,avg_net_worth
520,93292,Visalia,28,18400,1.52,74339,437017
521,93306,Bakersfield,52,26374,1.97,74681,551897
522,93309,Bakersfield,25,23367,1.07,67090,416729
523,93311,Bakersfield,219,26894,8.14,116278,912168
524,93312,Bakersfield,108,29126,3.71,115166,839205
525,93313,Bakersfield,52,29010,1.79,77577,384244
526,93314,Bakersfield,79,19092,4.14,130489,1005572
527,93401,San Luis Obispo,240,14192,16.91,84844,544298
528,93402,Los Osos,62,6268,9.89,82620,891333
529,93405,San Luis Obispo,77,6638,11.6,64275,429569
530,93420,Arroyo Grande,163,15091,10.8,101987,1208892
531,93422,Atascadero,79,14875,5.31,89955,873095
532,93427,Buellton,15,3110,4.82,105386,781866
533,93428,Cambria,25,3014,8.29,99016,1551427
534,93436,Lompoc,53,19204,2.76,74251,558281
535,93442,Morro Bay,23,5174,4.45,77336,671582
536,93444,Nipomo,93,11050,8.42,93777,979276
537,93446,Paso Robles,105,21679,4.84,89608,814803
538,93449,Pismo Beach,80,4437,18.03,94406,1149053
539,93454,Santa Maria,13,14643,0.89,72672,445725
540,93455,Santa Maria,70,21320,3.28,93664,972670
541,93460,Santa Ynez,33,3383,9.75,152951,1694228
542,93463,Solvang,50,4075,12.27,119596,1242182
543,93465,Templeton,42,5608,7.49,116019,1224056
544,93534,Lancaster,11,14227,0.77,55028,205093
545,93535,Lancaster,28,27000,1.04,60054,203408
546,93536,Lancaster,150,31086,4.83,90350,624724
547,93550,Palmdale,30,27960,1.07,55487,191578
548,93551,Palmdale,179,26811,6.68,110433,907895
549,93552,Palmdale,30,17071,1.76,73724,338317
550,93555,Ridgecrest,16,13051,1.23,78229,663056
551,93561,Tehachapi,21,14148,1.48,87442,975945
552,93611,Clovis,120,22866,5.25,98278,867370
553,93612,Clovis,11,12727,0.86,55518,209540
554,93619,Clovis,320,25312,12.64,138524,1229486
555,93631,Kingsburg,13,8106,1.6,80881,495773
556,93635,Los Banos,30,19040,1.58,71225,320256
557,93636,Madera,41,7348,5.58,98079,1210085
558,93657,Sanger,24,14548,1.65,71250,499714
559,93704,Fresno,27,10643,2.54,73791,498717
560,93710,Fresno,12,10288,1.17,58789,460792
561,93711,Fresno,162,20031,8.09,108938,1320509
562,93720,Fresno,207,23213,8.92,107159,739276
563,93722,Fresno,106,37535,2.82,72231,336818
564,93723,Fresno,30,6420,4.67,88644,494795
565,93727,Fresno,93,31484,2.95,65109,362689
566,93730,Fresno,189,7462,25.33,145888,1425125
567,93901,Salinas,15,12370,1.21,74403,310363
568,93905,Salinas,11,20348,0.54,53926,123725
569,93906,Salinas,16,22973,0.7,77061,330740
570,93907,Salinas,32,10746,2.98,94111,838870
571,93908,Salinas,79,7857,10.05,155792,1849136
572,93921,Carmel By The Sea,22,1582,13.91,111710,1420588
573,93923,Carmel,211,6228,33.88,145334,2015400
574,93924,Carmel Valley,59,3511,16.8,129452,1607933
575,93933,Marina,71,10788,6.58,75642,293339
576,93940,Monterey,153,13510,11.32,99910,804611
577,93950,Pacific Grove,67,6387,10.49,107981,723272
578,93953,Pebble Beach,72,2678,26.89,172778,2815949
579,93955,Seaside,28,12017,2.33,76454,284273
580,94002,Belmont,705,13715,51.4,153464,1318219
581,94005,Brisbane,78,2759,28.27,129571,730994
582,94010,Burlingame,1431,29027,49.3,182761,1704921
583,94014,Daly City,183,18137,10.09,99605,577496
584,94015,Daly City,341,25721,13.26,101482,696394
585,94018,El Granada,14,1749,8.0,157949,1122459
586,94019,Half Moon Bay,214,7829,27.33,151305,1312367
587,94022,Los Altos,1393,11640,119.67,248970,3041961
588,94024,Los Altos,1364,12643,107.89,259185,3442702
589,94025,Menlo Park,1524,20320,75.0,189555,1560589
590,94027,Atherton,564,4291,131.44,297732,3680197
591,94028,Portola Valley,427,4063,105.09,263238,3322715
592,94030,Millbrae,450,11041,40.76,124010,1055268
593,94037,Montara,33,1439,22.93,181921,1599678
594,94038,Moss Beach,15,1380,10.87,143367,1370182
595,94040,Mountain View,854,15291,55.85,154399,1037811
596,94041,Mountain View,298,6450,46.2,141630,450008
597,94043,Mountain View,735,15015,48.95,126536,495343
598,94044,Pacifica,342,18450,18.54,127839,1045532
599,94061,Redwood City,463,15834,29.24,120124,744872
600,94062,Redwood City,996,14428,69.03,201482,2218705
601,94063,Redwood City,296,14696,20.14,77062,184537
602,94065,Redwood City,467,6627,70.47,180636,1163567
603,94066,San Bruno,347,19606,17.7,108465,658667
604,94070,San Carlos,923,17585,52.49,183383,1803477
605,94080,South San Francisco,481,66225,7.26,103433,673397
606,94085,Sunnyvale,441,11127,39.63,115405,337408
607,94086,Sunnyvale,863,21051,41.0,132924,530081
608,94087,Sunnyvale,1324,25533,51.85,159236,1315787
609,94089,Sunnyvale,335,10687,31.35,113191,892703
610,94102,San Francisco,142,5059,28.07,60364,74169
611,94103,San Francisco,243,7409,32.8,95306,166682
612,94104,San Francisco,11,608,18.09,69482,70657
613,94105,San Francisco,299,12486,23.95,201519,662474
614,94107,San Francisco,477,10557,45.18,178675,574303
615,94108,San Francisco,40,2191,18.26,70664,101875
616,94109,San Francisco,292,11736,24.88,117269,254692
617,94110,San Francisco,498,18023,27.63,120222,378572
618,94111,San Francisco,15,1616,9.28,144347,438188
619,94112,San Francisco,310,26569,11.67,100712,575002
620,94114,San Francisco,547,11036,49.57,176643,636680
621,94115,San Francisco,329,10569,31.13,132801,356693
622,94116,San Francisco,385,16359,23.53,126197,951919
623,94117,San Francisco,355,10506,33.79,148185,389444
624,94118,San Francisco,326,12693,25.68,127604,454335
625,94121,San Francisco,298,13764,21.65,111435,481321
626,94122,San Francisco,427,18941,22.54,118066,516092
627,94123,San Francisco,343,9102,37.68,181522,498004
628,94124,San Francisco,172,19165,8.97,75251,321540
629,94127,San Francisco,304,8530,35.64,189060,2151953
630,94129,San Francisco,46,1330,34.59,214222,208164
631,94131,San Francisco,484,10841,44.65,153520,841595
632,94132,San Francisco,178,8904,19.99,97259,591524
633,94133,San Francisco,139,6053,22.96,103741,257170
634,94134,San Francisco,153,14785,10.35,84520,486762
635,94158,San Francisco,187,2594,72.09,160642,395472
636,94301,Palo Alto,869,7778,111.73,224861,1760729
637,94303,Palo Alto,841,19757,42.57,143089,1232486
638,94304,Palo Alto,63,1903,33.11,180386,650523
639,94305,Stanford,93,2696,34.5,99957,870099
640,94306,Palo Alto,930,12114,76.77,185911,1201613
641,94401,San Mateo,227,13743,16.52,103435,448435
642,94402,San Mateo,637,13439,47.4,177661,1670015
643,94403,San Mateo,687,20414,33.65,137065,917227
644,94404,San Mateo,827,18351,45.07,155522,1178802
645,94501,Alameda,514,24455,21.02,102776,510704
646,94502,Alameda,206,6813,30.24,160510,1993109
647,94503,American Canyon,109,10144,10.75,107973,728081
648,94505,Discovery Bay,76,8404,9.04,136854,1481242
649,94506,Danville,888,15082,58.88,230398,2503017
650,94507,Alamo,526,9964,52.79,249153,3459025
651,94508,Angwin,11,1197,9.19,109384,716359
652,94509,Antioch,77,25639,3.0,72282,404511
653,94510,Benicia,180,16036,11.22,121179,1088440
654,94513,Brentwood,513,33956,15.11,115596,914371
655,94515,Calistoga,24,3127,7.68,107772,945761
656,94517,Clayton,88,6902,12.75,171070,1921217
657,94518,Concord,97,12018,8.07,99278,752736
658,94519,Concord,42,8077,5.2,92201,565757
659,94520,Concord,58,17541,3.31,64702,206329
660,94521,Concord,182,19248,9.46,114689,871602
661,94523,Pleasant Hill,260,16764,15.51,116533,1021503
662,94526,Danville,723,19207,37.64,190271,2332454
663,94528,Diablo,27,691,39.07,219754,3271353
664,94530,El Cerrito,169,10542,16.03,117308,1059582
665,94531,Antioch,125,20352,6.14,119048,833120
666,94533,Fairfield,154,31250,4.93,75500,477044
667,94534,Fairfield,366,22576,16.21,128958,1199434
668,94536,Fremont,1088,30728,35.41,117933,718505
669,94538,Fremont,1539,31915,48.22,107573,461390
670,94539,Fremont,2210,27057,81.68,198198,2070851
671,94541,Hayward,228,25007,9.12,79328,265947
672,94542,Hayward,259,6677,38.79,138124,1171673
673,94544,Hayward,342,31655,10.8,79041,358011
674,94545,Hayward,248,17912,13.85,94069,566075
675,94546,Castro Valley,264,20140,13.11,103962,835348
676,94547,Hercules,215,12630,17.02,121237,955095
677,94549,Lafayette,770,15494,49.7,210471,2569686
678,94550,Livermore,528,26382,20.01,143422,1189894
679,94551,Livermore,271,22511,12.04,130939,941460
680,94552,Castro Valley,306,8122,37.68,174983,1777464
681,94553,Martinez,228,25084,9.09,106138,834830
682,94555,Fremont,872,16381,53.23,138683,991742
683,94556,Moraga,266,7995,33.27,208972,2912917
684,94558,Napa,436,31445,13.87,104875,1095473
685,94559,Napa,141,12608,11.18,86166,480593
686,94560,Newark,735,22269,33.01,105880,722037
687,94561,Oakley,107,20202,5.3,101881,596132
688,94563,Orinda,726,11113,65.33,244323,3410284
689,94564,Pinole,57,8830,6.46,103533,946957
690,94565,Pittsburg,241,38956,6.19,78942,353593
691,94566,Pleasanton,1139,24034,47.39,169838,1556393
692,94568,Dublin,1951,33533,58.18,154413,858285
693,94571,Rio Vista,26,5755,4.52,80152,1419818
694,94574,Saint Helena,109,4671,23.34,126259,1278706
695,94577,San Leandro,218,23553,9.26,91843,525313
696,94578,San Leandro,89,15200,5.86,72180,239566
697,94579,San Leandro,123,9838,12.5,85595,629407
698,94580,San Lorenzo,70,12466,5.62,86181,464206
699,94582,San Ramon,1907,23464,81.27,176036,1093448
700,94583,San Ramon,696,20943,33.23,160053,1325313
701,94585,Suisun City,33,12860,2.57,90790,612368
702,94587,Union City,784,31427,24.95,112813,761205
703,94588,Pleasanton,675,18878,35.76,162913,1363120
704,94589,Vallejo,13,11934,1.09,68674,384862
705,94590,Vallejo,48,13576,3.54,62524,245144
706,94591,Vallejo,222,24715,8.98,102156,770203
707,94595,Walnut Creek,168,8782,19.13,112962,2366179
708,94596,Walnut Creek,286,11889,24.06,126629,1043768
709,94597,Walnut Creek,218,11000,19.82,116445,694873
710,94598,Walnut Creek,412,13740,29.99,177971,2289845
711,94601,Oakland,42,15178,2.77,54627,109304
712,94602,Oakland,235,11809,19.9,114792,815142
713,94605,Oakland,201,15729,12.78,82175,636947
714,94606,Oakland,70,12265,5.71,64738,104028
715,94607,Oakland,140,8680,16.13,58403,108994
716,94608,Emeryville,190,10902,17.43,84697,218243
717,94609,Oakland,103,6795,15.16,82951,194871
718,94610,Oakland,341,11933,28.58,122235,798126
719,94611,Oakland,886,18055,49.07,175084,1709480
720,94612,Oakland,84,6232,13.48,54564,75391
721,94618,Oakland,321,7227,44.42,190294,1695164
722,94619,Oakland,135,9991,13.51,110238,818296
723,94702,Berkeley,59,5530,10.67,93237,396063
724,94703,Berkeley,70,5708,12.26,89402,309316
725,94704,Berkeley,24,3222,7.45,49206,93107
726,94705,Berkeley,236,5503,42.89,159264,1343898
727,94706,Albany,115,6818,16.87,117996,683825
728,94707,Berkeley,219,5825,37.6,194557,2364257
729,94708,Berkeley,203,4981,40.75,192715,2152058
730,94709,Berkeley,14,2737,5.12,96296,269378
731,94710,Berkeley,49,3465,14.14,85933,225314
732,94801,Richmond,42,10927,3.84,65883,282029
733,94803,El Sobrante,129,11528,11.19,114538,863384
734,94804,Richmond,103,16353,6.3,68593,251840
735,94805,Richmond,41,5583,7.34,94609,624420
736,94806,San Pablo,105,23690,4.43,72118,296244
737,94901,San Rafael,492,19054,25.82,124144,1035361
738,94903,San Rafael,306,14391,21.26,129209,1401311
739,94904,Greenbrae,352,6565,53.62,188966,1925807
740,94920,Belvedere Tiburon,500,7135,70.08,205133,2177265
741,94925,Corte Madera,175,5163,33.9,151381,1162090
742,94928,Rohnert Park,79,20678,3.82,77821,409552
743,94930,Fairfax,57,3786,15.06,144515,1056904
744,94939,Larkspur,162,3764,43.04,166201,1257126
745,94941,Mill Valley,732,15984,45.8,185265,1674267
746,94945,Novato,161,8959,17.97,126317,1401995
747,94946,Nicasio,14,345,40.58,186814,2294765
748,94947,Novato,168,11631,14.44,122070,1232453
749,94949,Novato,182,9099,20.0,125292,1115584
750,94951,Penngrove,11,2304,4.77,112734,999101
751,94952,Petaluma,260,16795,15.48,106819,765094
752,94954,Petaluma,173,19163,9.03,107727,918082
753,94957,Ross,73,1274,57.3,233807,2913115
754,94960,San Anselmo,241,7353,32.78,160731,1427678
755,94965,Sausalito,188,5478,34.32,149261,921521
756,95003,Aptos,243,12241,19.85,124983,1431623
757,95006,Boulder Creek,32,3890,8.23,117483,929670
758,95008,Campbell,781,23468,33.28,118177,657840
759,95010,Capitola,46,4536,10.14,85384,348398
760,95014,Cupertino,2025,28684,70.6,178367,1479079
761,95018,Felton,11,3461,3.18,112486,869206
762,95020,Gilroy,470,31026,15.15,108018,750917
763,95023,Hollister,134,26323,5.09,92387,576599
764,95030,Los Gatos,678,7963,85.14,233429,2476366
765,95032,Los Gatos,947,14698,64.43,185005,1819614
766,95033,Los Gatos,230,4992,46.07,175424,1723653
767,95035,Milpitas,1435,36637,39.17,127543,828894
768,95037,Morgan Hill,861,27643,31.15,143533,1241853
769,95046,San Martin,39,3360,11.61,139724,1165319
770,95050,Santa Clara,398,17373,22.91,99256,351405
771,95051,Santa Clara,963,27613,34.87,127738,690714
772,95054,Santa Clara,639,13191,48.44,153481,518975
773,95060,Santa Cruz,391,16956,23.06,104008,633948
774,95062,Santa Cruz,186,14332,12.98,95638,410296
775,95065,Santa Cruz,63,3665,17.19,137331,1220387
776,95066,Scotts Valley,180,7648,23.54,143216,1286981
777,95070,Saratoga,1824,17693,103.09,243915,3157204
778,95073,Soquel,70,5265,13.3,121684,1127115
779,95076,Watsonville,154,31661,4.86,80086,500030
780,95110,San Jose,155,8034,19.29,85428,203469
781,95111,San Jose,264,23807,11.09,89747,402117
782,95112,San Jose,333,23697,14.05,80241,210675
783,95113,San Jose,54,1105,48.87,133963,437253
784,95116,San Jose,94,16948,5.55,64535,147790
785,95117,San Jose,232,12105,19.17,98589,316977
786,95118,San Jose,338,14814,22.82,118796,836277
787,95119,San Jose,108,5008,21.57,134441,1068565
788,95120,San Jose,1305,20823,62.67,218748,2958861
789,95121,San Jose,390,16505,23.63,118059,794045
790,95122,San Jose,131,20061,6.53,67963,215328
791,95123,San Jose,706,30768,22.95,115867,798094
792,95124,San Jose,849,23515,36.1,142140,1149519
793,95125,San Jose,998,25586,39.01,140815,1048723
794,95126,San Jose,484,15898,30.44,108951,414231
795,95127,San Jose,281,24677,11.39,97033,575368
796,95128,San Jose,322,14376,22.4,99432,358266
797,95129,San Jose,829,18551,44.69,147898,1218365
798,95130,San Jose,222,6036,36.78,119829,640022
799,95131,San Jose,558,17874,31.22,141655,811180
800,95132,San Jose,490,18446,26.56,124442,933427
801,95133,San Jose,299,13434,22.26,104319,633670
802,95134,San Jose,583,14580,39.99,154500,364447
803,95135,San Jose,709,10664,66.49,164351,1918281
804,95136,San Jose,533,22029,24.2,115491,652574
805,95138,San Jose,797,10173,78.34,181584,1376395
806,95139,San Jose,75,3308,22.67,132891,1052529
807,95148,San Jose,649,21287,30.49,138119,1050433
808,95206,Stockton,42,25243,1.66,60295,212852
809,95207,Stockton,36,16481,2.18,59050,300350
810,95209,Stockton,68,18005,3.78,90131,603907
811,95212,Stockton,83,13152,6.31,99619,790877
812,95219,Stockton,148,13477,10.98,110718,835105
813,95240,Lodi,29,18257,1.59,65638,395020
814,95242,Lodi,61,13289,4.59,97174,891229
815,95301,Atwater,40,15592,2.57,67832,419355
816,95304,Tracy,64,7951,8.05,113442,702541
817,95307,Ceres,32,18551,1.72,63030,273748
818,95330,Lathrop,157,13711,11.45,81150,354629
819,95334,Livingston,11,6734,1.63,64576,212581
820,95336,Manteca,66,21132,3.12,76842,635628
821,95337,Manteca,156,21812,7.15,86627,490260
822,95340,Merced,22,13355,1.65,70901,480018
823,95350,Modesto,44,19093,2.3,65174,400444
824,95351,Modesto,14,14909,0.94,46939,159916
825,95354,Modesto,12,9636,1.25,59007,272010
826,95355,Modesto,115,25166,4.57,82765,587959
827,95356,Modesto,140,17204,8.14,90925,668471
828,95361,Oakdale,50,16033,3.12,86561,754141
829,95363,Patterson,47,12198,3.85,75724,307426
830,95366,Ripon,34,9888,3.44,112998,906608
831,95367,Riverbank,12,10126,1.19,76010,468817
832,95376,Tracy,124,23149,5.36,82877,450067
833,95377,Tracy,241,17713,13.61,121243,609573
834,95380,Turlock,14,16475,0.85,60738,336592
835,95382,Turlock,79,16938,4.66,85571,553895
836,95391,Tracy,476,10494,45.36,119406,627394
837,95401,Santa Rosa,47,15697,2.99,72928,483960
838,95403,Santa Rosa,126,20152,6.25,88410,664458
839,95404,Santa Rosa,251,16901,14.85,101200,996236
840,95405,Santa Rosa,92,10093,9.12,98723,936689
841,95407,Santa Rosa,35,18381,1.9,71243,224237
842,95409,Santa Rosa,157,12800,12.27,97970,1238604
843,95425,Cloverdale,11,5650,1.95,77699,706158
844,95442,Glen Ellen,11,1406,7.82,123534,1278946
845,95448,Healdsburg,149,9456,15.76,95752,853996
846,95460,Mendocino,11,1297,8.48,82226,1156385
847,95472,Sebastopol,205,13379,15.32,102711,1098163
848,95476,Sonoma,254,15938,15.94,100924,1011312
849,95482,Ukiah,29,14055,2.06,60048,416235
850,95492,Windsor,102,14036,7.27,104778,812602
851,95602,Auburn,55,8751,6.28,95690,1311674
852,95603,Auburn,90,13404,6.71,91080,967671
853,95605,West Sacramento,14,9143,1.53,55701,152059
854,95608,Carmichael,211,25881,8.15,88593,740497
855,95610,Citrus Heights,46,17647,2.61,69896,439914
856,95616,Davis,237,13965,16.97,85125,477773
857,95618,Davis,262,12687,20.65,122966,856154
858,95620,Dixon,28,10859,2.58,91776,616320
859,95621,Citrus Heights,14,16929,0.83,66296,458892
860,95624,Elk Grove,285,32208,8.85,105657,846046
861,95628,Fair Oaks,152,19985,7.61,109045,1147866
862,95630,Folsom,690,38117,18.1,127240,1003746
863,95648,Lincoln,275,27725,9.92,95310,1392260
864,95650,Loomis,101,7830,12.9,134924,1603256
865,95661,Roseville,190,19751,9.62,105531,839337
866,95662,Orangevale,49,14334,3.42,89488,858502
867,95667,Placerville,68,17898,3.8,85240,950320
868,95670,Rancho Cordova,142,23270,6.1,80535,662656
869,95677,Rocklin,146,14836,9.84,97181,833225
870,95678,Roseville,127,20854,6.09,86841,404902
871,95682,Shingle Springs,101,15141,6.67,112768,1174870
872,95683,Sloughhouse,18,3865,4.66,132464,1882634
873,95687,Vacaville,165,28533,5.78,91046,688626
874,95688,Vacaville,148,19585,7.56,107372,1048921
875,95691,West Sacramento,132,19433,6.79,83458,478248
876,95695,Woodland,45,15566,2.89,78836,593681
877,95722,Meadow Vista,15,2641,5.68,111143,1682102
878,95742,Rancho Cordova,108,11108,9.72,128313,726012
879,95746,Granite Bay,415,13161,31.53,180464,2208803
880,95747,Roseville,522,39405,13.25,113187,1008588
881,95757,Elk Grove,342,25840,13.24,106674,678223
882,95758,Elk Grove,202,29681,6.81,99579,633797
883,95762,El Dorado Hills,788,27829,28.32,160127,1543210
884,95765,Rocklin,382,21916,17.43,116563,888236
885,95776,Woodland,60,12923,4.64,90068,482047
886,95811,Sacramento,17,5845,2.91,55377,55217
887,95814,Sacramento,47,6339,7.41,51500,55903
888,95816,Sacramento,79,12969,6.09,76004,221692
889,95818,Sacramento,121,9470,12.78,95800,660562
890,95819,Sacramento,113,8272,13.66,108789,724214
891,95820,Sacramento,11,11417,0.96,54470,194989
892,95821,Sacramento,48,13811,3.48,68201,407099
893,95822,Sacramento,67,17143,3.91,68900,520615
894,95825,Sacramento,28,11916,2.35,60192,247132
895,95826,Sacramento,29,15976,1.82,68970,410250
896,95827,Sacramento,11,11475,0.96,71516,379740
897,95828,Sacramento,50,26019,1.92,65583,320466
898,95829,Sacramento,144,15804,9.11,99795,620222
899,95831,Sacramento,224,18912,11.84,96519,877031
900,95833,Sacramento,59,15398,3.83,73378,235487
901,95834,Sacramento,155,19991,7.75,75299,207743
902,95835,Sacramento,251,19334,12.98,104237,622226
903,95841,Sacramento,12,7992,1.5,59687,246724
904,95842,Sacramento,12,11981,1.0,56835,257327
905,95843,Antelope,72,21279,3.38,87811,506312
906,95864,Sacramento,219,11625,18.84,124719,1478050
907,95926,Chico,36,12282,2.93,62000,343423
908,95928,Chico,64,13843,4.62,66127,424839
909,95945,Grass Valley,15,9829,1.53,61511,575553
910,95949,Grass Valley,30,9231,3.25,83405,1295710
911,95959,Nevada City,65,8034,8.09,80843,997236
912,95961,Olivehurst,13,10515,1.24,65335,256634
913,95973,Chico,67,17144,3.91,75970,541008
914,95993,Yuba City,74,19116,3.87,89449,821226
915,96001,Redding,35,14013,2.5,74459,751869
916,96002,Redding,34,13378,2.54,66377,560356
917,96003,Redding,46,18274,2.52,68816,563305
918,96150,South Lake Tahoe,30,8705,3.45,73629,420464
919,96161,Truckee,134,8825,15.18,101103,755014
