,zip,teslas,name,avg_house_income,avg_net_worth,population,all_vehicles,tesla_rate_1k
465,92831,194,Fullerton,91744,679259,36221,15456,12.55
466,92832,85,Fullerton,82081,347847,26433,10132,8.39
467,92833,449,Fullerton,96711,568578,56299,25306,17.74
468,92835,370,Fullerton,135210,1550453,25386,13558,27.29
469,92840,180,Garden Grove,79942,372722,56937,22415,8.03
470,92841,159,Garden Grove,82218,392223,34338,14772,10.76
471,92843,148,Garden Grove,69395,246632,47663,18166,8.15
472,92844,101,Garden Grove,73401,239443,24998,9887,10.22
473,92845,55,Garden Grove,109560,1144311,16829,8195,6.71
474,92860,67,Norco,116705,1032919,27486,12619,5.31
475,92861,145,Villa Park,230380,3525386,5729,3693,39.26
476,92865,126,Orange,100453,658907,20663,12092,10.42
477,92866,52,Orange,82905,339656,15466,6190,8.4
478,92867,444,Orange,126665,1162849,46306,22866,19.42
479,92868,67,Orange,82232,200301,26880,17832,3.76
480,92869,348,Orange,135867,1365314,39397,18405,18.91
481,92870,337,Placentia,109646,1000273,53640,25821,13.05
482,92879,140,Corona,81327,417531,48598,21954,6.38
483,92880,604,Corona,124588,718534,74081,36717,16.45
484,92881,256,Corona,126491,971571,31918,17111,14.96
485,92882,312,Corona,96500,610973,70544,32562,9.58
486,92883,298,Corona,127029,931065,33020,20072,14.85
487,92886,867,Yorba Linda,151665,1693974,51544,28939,29.96
488,92887,377,Yorba Linda,191454,2298632,21217,13088,28.81
489,93001,158,Ventura,82863,430264,34758,14311,11.04
490,93003,180,Ventura,93714,780099,51742,24253,7.42
491,93004,70,Ventura,99941,754774,31013,15432,4.54
492,93010,279,Camarillo,114172,1177479,45255,22302,12.51
493,93012,322,Camarillo,136911,1495270,37963,19986,16.11
494,93013,70,Carpinteria,104910,865209,17361,7419,9.44
495,93021,341,Moorpark,132478,1113583,38247,20445,16.68
496,93023,116,Ojai,102629,970021,21727,9494,12.22
497,93030,81,Oxnard,76617,300006,60792,22107,3.66
498,93033,16,Oxnard,67435,238623,85551,26331,0.61
499,93035,126,Oxnard,108335,756912,29280,13512,9.33
500,93036,103,Oxnard,84882,411872,46866,19710,5.23
501,93041,13,Port Hueneme,68909,258426,23691,7912,1.64
502,93060,31,Santa Paula,77291,385246,35789,12288,2.52
503,93063,316,Simi Valley,112351,872694,57944,29400,10.75
504,93065,569,Simi Valley,127849,1069502,73936,38795,14.67
505,93066,31,Somis,148052,1560354,3504,1954,15.86
506,93101,148,Santa Barbara,74558,207049,31395,12272,12.06
507,93103,113,Santa Barbara,115047,745200,20845,8247,13.7
508,93105,272,Santa Barbara,125455,1111492,26198,11782,23.09
509,93108,358,Santa Barbara,168627,2111912,10964,6125,58.45
510,93109,124,Santa Barbara,124814,959957,13765,4962,24.99
511,93110,138,Santa Barbara,120891,1081846,16666,7552,18.27
512,93111,144,Santa Barbara,132988,1705087,18217,9037,15.93
513,93117,212,Goleta,86925,585123,52443,16643,12.74
514,93230,54,Hanford,74504,403337,68391,29232,1.85
515,93245,11,Lemoore,70583,269113,39115,14946,0.74
516,93257,23,Porterville,57748,262436,80637,26046,0.88
517,93274,43,Tulare,66023,287004,73772,29293,1.47
518,93277,59,Visalia,75410,560586,51693,20383,2.89
519,93291,107,Visalia,81508,476413,59318,25632,4.17
520,93292,28,Visalia,74339,437017,41037,18400,1.52
521,93306,52,Bakersfield,74681,551897,70535,26374,1.97
522,93309,25,Bakersfield,67090,416729,59359,23367,1.07
523,93311,219,Bakersfield,116278,912168,48061,26894,8.14
524,93312,108,Bakersfield,115166,839205,57589,29126,3.71
525,93313,52,Bakersfield,77577,384244,52565,29010,1.79
526,93314,79,Bakersfield,130489,1005572,31255,19092,4.14
527,93401,240,San Luis Obispo,84844,544298,30526,14192,16.91
528,93402,62,Los Osos,82620,891333,14514,6268,9.89
529,93405,77,San Luis Obispo,64275,429569,33054,6638,11.6
530,93420,163,Arroyo Grande,101987,1208892,30419,15091,10.8
531,93422,79,Atascadero,89955,873095,33682,14875,5.31
532,93427,15,Buellton,105386,781866,6151,3110,4.82
533,93428,25,Cambria,99016,1551427,7107,3014,8.29
534,93436,53,Lompoc,74251,558281,57820,19204,2.76
535,93442,23,Morro Bay,77336,671582,11320,5174,4.45
536,93444,93,Nipomo,93777,979276,21443,11050,8.42
537,93446,105,Paso Robles,89608,814803,46303,21679,4.84
538,93449,80,Pismo Beach,94406,1149053,7967,4437,18.03
539,93454,13,Santa Maria,72672,445725,38759,14643,0.89
540,93455,70,Santa Maria,93664,972670,44398,21320,3.28
541,93460,33,Santa Ynez,152951,1694228,5980,3383,9.75
542,93463,50,Solvang,119596,1242182,8342,4075,12.27
543,93465,42,Templeton,116019,1224056,9832,5608,7.49
544,93534,11,Lancaster,55028,205093,42105,14227,0.77
545,93535,28,Lancaster,60054,203408,77017,27000,1.04
546,93536,150,Lancaster,90350,624724,75365,31086,4.83
547,93550,30,Palmdale,55487,191578,78702,27960,1.07
548,93551,179,Palmdale,110433,907895,54902,26811,6.68
549,93552,30,Palmdale,73724,338317,41087,17071,1.76
550,93555,16,Ridgecrest,78229,663056,33523,13051,1.23
551,93561,21,Tehachapi,87442,975945,35202,14148,1.48
552,93611,120,Clovis,98278,867370,46258,22866,5.25
553,93612,11,Clovis,55518,209540,36557,12727,0.86
554,93619,320,Clovis,138524,1229486,38257,25312,12.64
555,93631,13,Kingsburg,80881,495773,17031,8106,1.6
556,93635,30,Los Banos,71225,320256,42165,19040,1.58
557,93636,41,Madera,98079,1210085,12089,7348,5.58
558,93657,24,Sanger,71250,499714,37551,14548,1.65
559,93704,27,Fresno,73791,498717,27543,10643,2.54
560,93710,12,Fresno,58789,460792,30725,10288,1.17
561,93711,162,Fresno,108938,1320509,38168,20031,8.09
562,93720,207,Fresno,107159,739276,48302,23213,8.92
563,93722,106,Fresno,72231,336818,81338,37535,2.82
564,93723,30,Fresno,88644,494795,10974,6420,4.67
565,93727,93,Fresno,65109,362689,77245,31484,2.95
566,93730,189,Fresno,145888,1425125,12792,7462,25.33
567,93901,15,Salinas,74403,310363,27169,12370,1.21
568,93905,11,Salinas,53926,123725,63340,20348,0.54
569,93906,16,Salinas,77061,330740,61055,22973,0.7
570,93907,32,Salinas,94111,838870,22263,10746,2.98
571,93908,79,Salinas,155792,1849136,14436,7857,10.05
572,93921,22,Carmel By The Sea,111710,1420588,3366,1582,13.91
573,93923,211,Carmel,145334,2015400,12904,6228,33.88
574,93924,59,Carmel Valley,129452,1607933,6917,3511,16.8
575,93933,71,Marina,75642,293339,24212,10788,6.58
576,93940,153,Monterey,99910,804611,31698,13510,11.32
577,93950,67,Pacific Grove,107981,723272,15485,6387,10.49
578,93953,72,Pebble Beach,172778,2815949,5135,2678,26.89
579,93955,28,Seaside,76454,284273,35021,12017,2.33
580,94002,705,Belmont,153464,1318219,27615,13715,51.4
581,94005,78,Brisbane,129571,730994,4705,2759,28.27
582,94010,1431,Burlingame,182761,1704921,42361,29027,49.3
583,94014,183,Daly City,99605,577496,49967,18137,10.09
584,94015,341,Daly City,101482,696394,65362,25721,13.26
585,94018,14,El Granada,157949,1122459,470,1749,8.0
586,94019,214,Half Moon Bay,151305,1312367,19846,7829,27.33
587,94022,1393,Los Altos,248970,3041961,20626,11640,119.67
588,94024,1364,Los Altos,259185,3442702,23198,12643,107.89
589,94025,1524,Menlo Park,189555,1560589,42268,20320,75.0
590,94027,564,Atherton,297732,3680197,7230,4291,131.44
591,94028,427,Portola Valley,263238,3322715,6639,4063,105.09
592,94030,450,Millbrae,124010,1055268,22924,11041,40.76
593,94037,33,Montara,181921,1599678,3066,1439,22.93
594,94038,15,Moss Beach,143367,1370182,3342,1380,10.87
595,94040,854,Mountain View,154399,1037811,36244,15291,55.85
596,94041,298,Mountain View,141630,450008,15199,6450,46.2
597,94043,735,Mountain View,126536,495343,31163,15015,48.95
598,94044,342,Pacifica,127839,1045532,39345,18450,18.54
599,94061,463,Redwood City,120124,744872,38275,15834,29.24
600,94062,996,Redwood City,201482,2218705,27008,14428,69.03
601,94063,296,Redwood City,77062,184537,35003,14696,20.14
602,94065,467,Redwood City,180636,1163567,12108,6627,70.47
603,94066,347,San Bruno,108465,658667,44461,19606,17.7
604,94070,923,San Carlos,183383,1803477,30659,17585,52.49
605,94080,481,South San Francisco,103433,673397,65196,66225,7.26
606,94085,441,Sunnyvale,115405,337408,24083,11127,39.63
607,94086,863,Sunnyvale,132924,530081,49029,21051,41.0
608,94087,1324,Sunnyvale,159236,1315787,60232,25533,51.85
609,94089,335,Sunnyvale,113191,892703,22001,10687,31.35
610,94102,142,San Francisco,60364,74169,37209,5059,28.07
611,94103,243,San Francisco,95306,166682,34057,7409,32.8
612,94104,11,San Francisco,69482,70657,285,608,18.09
613,94105,299,San Francisco,201519,662474,8680,12486,23.95
614,94107,477,San Francisco,178675,574303,28228,10557,45.18
615,94108,40,San Francisco,70664,101875,13229,2191,18.26
616,94109,292,San Francisco,117269,254692,58754,11736,24.88
617,94110,498,San Francisco,120222,378572,74162,18023,27.63
618,94111,15,San Francisco,144347,438188,4428,1616,9.28
619,94112,310,San Francisco,100712,575002,85347,26569,11.67
620,94114,547,San Francisco,176643,636680,32894,11036,49.57
621,94115,329,San Francisco,132801,356693,34958,10569,31.13
622,94116,385,San Francisco,126197,951919,45264,16359,23.53
623,94117,355,San Francisco,148185,389444,38674,10506,33.79
624,94118,326,San Francisco,127604,454335,42134,12693,25.68
625,94121,298,San Francisco,111435,481321,43885,13764,21.65
626,94122,427,San Francisco,118066,516092,59101,18941,22.54
627,94123,343,San Francisco,181522,498004,25647,9102,37.68
628,94124,172,San Francisco,75251,321540,39036,19165,8.97
629,94127,304,San Francisco,189060,2151953,19243,8530,35.64
630,94129,46,San Francisco,214222,208164,3742,1330,34.59
631,94131,484,San Francisco,153520,841595,28897,10841,44.65
632,94132,178,San Francisco,97259,591524,30586,8904,19.99
633,94133,139,San Francisco,103741,257170,28414,6053,22.96
634,94134,153,San Francisco,84520,486762,43036,14785,10.35
635,94158,187,San Francisco,160642,395472,7954,2594,72.09
636,94301,869,Palo Alto,224861,1760729,18694,7778,111.73
637,94303,841,Palo Alto,143089,1232486,48040,19757,42.57
638,94304,63,Palo Alto,180386,650523,4187,1903,33.11
639,94305,93,Stanford,99957,870099,15219,2696,34.5
640,94306,930,Palo Alto,185911,1201613,29651,12114,76.77
641,94401,227,San Mateo,103435,448435,36553,13743,16.52
642,94402,637,San Mateo,177661,1670015,25933,13439,47.4
643,94403,687,San Mateo,137065,917227,43378,20414,33.65
644,94404,827,San Mateo,155522,1178802,36095,18351,45.07
645,94501,514,Alameda,102776,510704,64585,24455,21.02
646,94502,206,Alameda,160510,1993109,14424,6813,30.24
647,94503,109,American Canyon,107973,728081,21768,10144,10.75
648,94505,76,Discovery Bay,136854,1481242,15295,8404,9.04
649,94506,888,Danville,230398,2503017,25365,15082,58.88
650,94507,526,Alamo,249153,3459025,15748,9964,52.79
651,94508,11,Angwin,109384,716359,3522,1197,9.19
652,94509,77,Antioch,72282,404511,66640,25639,3.0
653,94510,180,Benicia,121179,1088440,28016,16036,11.22
654,94513,513,Brentwood,115596,914371,65821,33956,15.11
655,94515,24,Calistoga,107772,945761,7566,3127,7.68
656,94517,88,Clayton,171070,1921217,13088,6902,12.75
657,94518,97,Concord,99278,752736,28582,12018,8.07
658,94519,42,Concord,92201,565757,19162,8077,5.2
659,94520,58,Concord,64702,206329,39582,17541,3.31
660,94521,182,Concord,114689,871602,42921,19248,9.46
661,94523,260,Pleasant Hill,116533,1021503,35377,16764,15.51
662,94526,723,Danville,190271,2332454,33061,19207,37.64
663,94528,27,Diablo,219754,3271353,692,691,39.07
664,94530,169,El Cerrito,117308,1059582,25099,10542,16.03
665,94531,125,Antioch,119048,833120,44247,20352,6.14
666,94533,154,Fairfield,75500,477044,74600,31250,4.93
667,94534,366,Fairfield,128958,1199434,39186,22576,16.21
668,94536,1088,Fremont,117933,718505,73954,30728,35.41
669,94538,1539,Fremont,107573,461390,66064,31915,48.22
670,94539,2210,Fremont,198198,2070851,54673,27057,81.68
671,94541,228,Hayward,79328,265947,65542,25007,9.12
672,94542,259,Hayward,138124,1171673,14598,6677,38.79
673,94544,342,Hayward,79041,358011,80419,31655,10.8
674,94545,248,Hayward,94069,566075,32910,17912,13.85
675,94546,264,Castro Valley,103962,835348,46082,20140,13.11
676,94547,215,Hercules,121237,955095,25547,12630,17.02
677,94549,770,Lafayette,210471,2569686,27835,15494,49.7
678,94550,528,Livermore,143422,1189894,51732,26382,20.01
679,94551,271,Livermore,130939,941460,40728,22511,12.04
680,94552,306,Castro Valley,174983,1777464,16565,8122,37.68
681,94553,228,Martinez,106138,834830,49668,25084,9.09
682,94555,872,Fremont,138683,991742,37315,16381,53.23
683,94556,266,Moraga,208972,2912917,17810,7995,33.27
684,94558,436,Napa,104875,1095473,69422,31445,13.87
685,94559,141,Napa,86166,480593,28198,12608,11.18
686,94560,735,Newark,105880,722037,46028,22269,33.01
687,94561,107,Oakley,101881,596132,41745,20202,5.3
688,94563,726,Orinda,244323,3410284,18952,11113,65.33
689,94564,57,Pinole,103533,946957,19505,8830,6.46
690,94565,241,Pittsburg,78942,353593,94223,38956,6.19
691,94566,1139,Pleasanton,169838,1556393,46030,24034,47.39
692,94568,1951,Dublin,154413,858285,59401,33533,58.18
693,94571,26,Rio Vista,80152,1419818,9209,5755,4.52
694,94574,109,Saint Helena,126259,1278706,9177,4671,23.34
695,94577,218,San Leandro,91843,525313,50194,23553,9.26
696,94578,89,San Leandro,72180,239566,41762,15200,5.86
697,94579,123,San Leandro,85595,629407,20566,9838,12.5
698,94580,70,San Lorenzo,86181,464206,29851,12466,5.62
699,94582,1907,San Ramon,176036,1093448,44285,23464,81.27
700,94583,696,San Ramon,160053,1325313,37019,20943,33.23
701,94585,33,Suisun City,90790,612368,29655,12860,2.57
702,94587,784,Union City,112813,761205,74232,31427,24.95
703,94588,675,Pleasanton,162913,1363120,32891,18878,35.76
704,94589,13,Vallejo,68674,384862,31349,11934,1.09
705,94590,48,Vallejo,62524,245144,36904,13576,3.54
706,94591,222,Vallejo,102156,770203,55844,24715,8.98
707,94595,168,Walnut Creek,112962,2366179,17551,8782,19.13
708,94596,286,Walnut Creek,126629,1043768,21268,11889,24.06
709,94597,218,Walnut Creek,116445,694873,22328,11000,19.82
710,94598,412,Walnut Creek,177971,2289845,27431,13740,29.99
711,94601,42,Oakland,54627,109304,54606,15178,2.77
712,94602,235,Oakland,114792,815142,31520,11809,19.9
713,94605,201,Oakland,82175,636947,43199,15729,12.78
714,94606,70,Oakland,64738,104028,38147,12265,5.71
715,94607,140,Oakland,58403,108994,27883,8680,16.13
716,94608,190,Emeryville,84697,218243,32350,10902,17.43
717,94609,103,Oakland,82951,194871,22581,6795,15.16
718,94610,341,Oakland,122235,798126,31033,11933,28.58
719,94611,886,Oakland,175084,1709480,38480,18055,49.07
720,94612,84,Oakland,54564,75391,17494,6232,13.48
721,94618,321,Oakland,190294,1695164,16213,7227,44.42
722,94619,135,Oakland,110238,818296,23775,9991,13.51
723,94702,59,Berkeley,93237,396063,16812,5530,10.67
724,94703,70,Berkeley,89402,309316,20665,5708,12.26
725,94704,24,Berkeley,49206,93107,29279,3222,7.45
726,94705,236,Berkeley,159264,1343898,13269,5503,42.89
727,94706,115,Albany,117996,683825,20439,6818,16.87
728,94707,219,Berkeley,194557,2364257,13152,5825,37.6
729,94708,203,Berkeley,192715,2152058,11339,4981,40.75
730,94709,14,Berkeley,96296,269378,12525,2737,5.12
731,94710,49,Berkeley,85933,225314,8365,3465,14.14
732,94801,42,Richmond,65883,282029,33208,10927,3.84
733,94803,129,El Sobrante,114538,863384,26274,11528,11.19
734,94804,103,Richmond,68593,251840,40889,16353,6.3
735,94805,41,Richmond,94609,624420,14842,5583,7.34
736,94806,105,San Pablo,72118,296244,61821,23690,4.43
737,94901,492,San Rafael,124144,1035361,42481,19054,25.82
738,94903,306,San Rafael,129209,1401311,30163,14391,21.26
739,94904,352,Greenbrae,188966,1925807,11978,6565,53.62
740,94920,500,Belvedere Tiburon,205133,2177265,13148,7135,70.08
741,94925,175,Corte Madera,151381,1162090,9501,5163,33.9
742,94928,79,Rohnert Park,77821,409552,45722,20678,3.82
743,94930,57,Fairfax,144515,1056904,8702,3786,15.06
744,94939,162,Larkspur,166201,1257126,7724,3764,43.04
745,94941,732,Mill Valley,185265,1674267,31708,15984,45.8
746,94945,161,Novato,126317,1401995,16903,8959,17.97
747,94946,14,Nicasio,186814,2294765,1332,345,40.58
748,94947,168,Novato,122070,1232453,25466,11631,14.44
749,94949,182,Novato,125292,1115584,17951,9099,20.0
750,94951,11,Penngrove,112734,999101,3957,2304,4.77
751,94952,260,Petaluma,106819,765094,34131,16795,15.48
752,94954,173,Petaluma,107727,918082,39197,19163,9.03
753,94957,73,Ross,233807,2913115,2343,1274,57.3
754,94960,241,San Anselmo,160731,1427678,16149,7353,32.78
755,94965,188,Sausalito,149261,921521,11141,5478,34.32
756,95003,243,Aptos,124983,1431623,24571,12241,19.85
757,95006,32,Boulder Creek,117483,929670,8893,3890,8.23
758,95008,781,Campbell,118177,657840,48070,23468,33.28
759,95010,46,Capitola,85384,348398,9547,4536,10.14
760,95014,2025,Cupertino,178367,1479079,66355,28684,70.6
761,95018,11,Felton,112486,869206,8468,3461,3.18
762,95020,470,Gilroy,108018,750917,65595,31026,15.15
763,95023,134,Hollister,92387,576599,52408,26323,5.09
764,95030,678,Los Gatos,233429,2476366,13618,7963,85.14
765,95032,947,Los Gatos,185005,1819614,27618,14698,64.43
766,95033,230,Los Gatos,175424,1723653,10427,4992,46.07
767,95035,1435,Milpitas,127543,828894,76240,36637,39.17
768,95037,861,Morgan Hill,143533,1241853,52863,27643,31.15
769,95046,39,San Martin,139724,1165319,7051,3360,11.61
770,95050,398,Santa Clara,99256,351405,41168,17373,22.91
771,95051,963,Santa Clara,127738,690714,60182,27613,34.87
772,95054,639,Santa Clara,153481,518975,25291,13191,48.44
773,95060,391,Santa Cruz,104008,633948,49749,16956,23.06
774,95062,186,Santa Cruz,95638,410296,37466,14332,12.98
775,95065,63,Santa Cruz,137331,1220387,8656,3665,17.19
776,95066,180,Scotts Valley,143216,1286981,15568,7648,23.54
777,95070,1824,Saratoga,243915,3157204,32730,17693,103.09
778,95073,70,Soquel,121684,1127115,11210,5265,13.3
779,95076,154,Watsonville,80086,500030,85099,31661,4.86
780,95110,155,San Jose,85428,203469,21810,8034,19.29
781,95111,264,San Jose,89747,402117,61173,23807,11.09
782,95112,333,San Jose,80241,210675,61593,23697,14.05
783,95113,54,San Jose,133963,437253,1702,1105,48.87
784,95116,94,San Jose,64535,147790,56494,16948,5.55
785,95117,232,San Jose,98589,316977,31952,12105,19.17
786,95118,338,San Jose,118796,836277,34425,14814,22.82
787,95119,108,San Jose,134441,1068565,10778,5008,21.57
788,95120,1305,San Jose,218748,2958861,40225,20823,62.67
789,95121,390,San Jose,118059,794045,42009,16505,23.63
790,95122,131,San Jose,67963,215328,60582,20061,6.53
791,95123,706,San Jose,115867,798094,68124,30768,22.95
792,95124,849,San Jose,142140,1149519,49908,23515,36.1
793,95125,998,San Jose,140815,1048723,55083,25586,39.01
794,95126,484,San Jose,108951,414231,35179,15898,30.44
795,95127,281,San Jose,97033,575368,62707,24677,11.39
796,95128,322,San Jose,99432,358266,38875,14376,22.4
797,95129,829,San Jose,147898,1218365,40925,18551,44.69
798,95130,222,San Jose,119829,640022,14823,6036,36.78
799,95131,558,San Jose,141655,811180,31976,17874,31.22
800,95132,490,San Jose,124442,933427,43088,18446,26.56
801,95133,299,San Jose,104319,633670,29643,13434,22.26
802,95134,583,San Jose,154500,364447,27317,14580,39.99
803,95135,709,San Jose,164351,1918281,22340,10664,66.49
804,95136,533,San Jose,115491,652574,46395,22029,24.2
805,95138,797,San Jose,181584,1376395,19789,10173,78.34
806,95139,75,San Jose,132891,1052529,7206,3308,22.67
807,95148,649,San Jose,138119,1050433,49123,21287,30.49
808,95206,42,Stockton,60295,212852,67442,25243,1.66
809,95207,36,Stockton,59050,300350,50964,16481,2.18
810,95209,68,Stockton,90131,603907,42904,18005,3.78
811,95212,83,Stockton,99619,790877,30226,13152,6.31
812,95219,148,Stockton,110718,835105,29268,13477,10.98
813,95240,29,Lodi,65638,395020,49483,18257,1.59
814,95242,61,Lodi,97174,891229,27574,13289,4.59
815,95301,40,Atwater,67832,419355,39847,15592,2.57
816,95304,64,Tracy,113442,702541,16596,7951,8.05
817,95307,32,Ceres,63030,273748,45501,18551,1.72
818,95330,157,Lathrop,81150,354629,22631,13711,11.45
819,95334,11,Livingston,64576,212581,15863,6734,1.63
820,95336,66,Manteca,76842,635628,46934,21132,3.12
821,95337,156,Manteca,86627,490260,37625,21812,7.15
822,95340,22,Merced,70901,480018,37618,13355,1.65
823,95350,44,Modesto,65174,400444,51812,19093,2.3
824,95351,14,Modesto,46939,159916,48089,14909,0.94
825,95354,12,Modesto,59007,272010,25898,9636,1.25
826,95355,115,Modesto,82765,587959,60894,25166,4.57
827,95356,140,Modesto,90925,668471,34151,17204,8.14
828,95361,50,Oakdale,86561,754141,33761,16033,3.12
829,95363,47,Patterson,75724,307426,26471,12198,3.85
830,95366,34,Ripon,112998,906608,17771,9888,3.44
831,95367,12,Riverbank,76010,468817,24402,10126,1.19
832,95376,124,Tracy,82877,450067,53214,23149,5.36
833,95377,241,Tracy,121243,609573,32852,17713,13.61
834,95380,14,Turlock,60738,336592,43179,16475,0.85
835,95382,79,Turlock,85571,553895,38245,16938,4.66
836,95391,476,Tracy,119406,627394,15421,10494,45.36
837,95401,47,Santa Rosa,72928,483960,38485,15697,2.99
838,95403,126,Santa Rosa,88410,664458,48796,20152,6.25
839,95404,251,Santa Rosa,101200,996236,44360,16901,14.85
840,95405,92,Santa Rosa,98723,936689,22185,10093,9.12
841,95407,35,Santa Rosa,71243,224237,40516,18381,1.9
842,95409,157,Santa Rosa,97970,1238604,27789,12800,12.27
843,95425,11,Cloverdale,77699,706158,11292,5650,1.95
844,95442,11,Glen Ellen,123534,1278946,4152,1406,7.82
845,95448,149,Healdsburg,95752,853996,18314,9456,15.76
846,95460,11,Mendocino,82226,1156385,2368,1297,8.48
847,95472,205,Sebastopol,102711,1098163,29695,13379,15.32
848,95476,254,Sonoma,100924,1011312,37364,15938,15.94
849,95482,29,Ukiah,60048,416235,32446,14055,2.06
850,95492,102,Windsor,104778,812602,28886,14036,7.27
851,95602,55,Auburn,95690,1311674,18464,8751,6.28
852,95603,90,Auburn,91080,967671,28358,13404,6.71
853,95605,14,West Sacramento,55701,152059,15029,9143,1.53
854,95608,211,Carmichael,88593,740497,61115,25881,8.15
855,95610,46,Citrus Heights,69896,439914,46327,17647,2.61
856,95616,237,Davis,85125,477773,50542,13965,16.97
857,95618,262,Davis,122966,856154,28687,12687,20.65
858,95620,28,Dixon,91776,616320,22209,10859,2.58
859,95621,14,Citrus Heights,66296,458892,42621,16929,0.83
860,95624,285,Elk Grove,105657,846046,66383,32208,8.85
861,95628,152,Fair Oaks,109045,1147866,41937,19985,7.61
862,95630,690,Folsom,127240,1003746,78839,38117,18.1
863,95648,275,Lincoln,95310,1392260,53241,27725,9.92
864,95650,101,Loomis,134924,1603256,13672,7830,12.9
865,95661,190,Roseville,105531,839337,31628,19751,9.62
866,95662,49,Orangevale,89488,858502,33079,14334,3.42
867,95667,68,Placerville,85240,950320,37254,17898,3.8
868,95670,142,Rancho Cordova,80535,662656,55291,23270,6.1
869,95677,146,Rocklin,97181,833225,23741,14836,9.84
870,95678,127,Roseville,86841,404902,43231,20854,6.09
871,95682,101,Shingle Springs,112768,1174870,29225,15141,6.67
872,95683,18,Sloughhouse,132464,1882634,6546,3865,4.66
873,95687,165,Vacaville,91046,688626,68199,28533,5.78
874,95688,148,Vacaville,107372,1048921,37360,19585,7.56
875,95691,132,West Sacramento,83458,478248,38159,19433,6.79
876,95695,45,Woodland,78836,593681,39409,15566,2.89
877,95722,15,Meadow Vista,111143,1682102,4748,2641,5.68
878,95742,108,Rancho Cordova,128313,726012,11507,11108,9.72
879,95746,415,Granite Bay,180464,2208803,22230,13161,31.53
880,95747,522,Roseville,113187,1008588,63395,39405,13.25
881,95757,342,Elk Grove,106674,678223,47572,25840,13.24
882,95758,202,Elk Grove,99579,633797,63492,29681,6.81
883,95762,788,El Dorado Hills,160127,1543210,42926,27829,28.32
884,95765,382,Rocklin,116563,888236,38614,21916,17.43
885,95776,60,Woodland,90068,482047,25168,12923,4.64
886,95811,17,Sacramento,55377,55217,7868,5845,2.91
887,95814,47,Sacramento,51500,55903,11021,6339,7.41
888,95816,79,Sacramento,76004,221692,15786,12969,6.09
889,95818,121,Sacramento,95800,660562,21603,9470,12.78
890,95819,113,Sacramento,108789,724214,18898,8272,13.66
891,95820,11,Sacramento,54470,194989,37713,11417,0.96
892,95821,48,Sacramento,68201,407099,34753,13811,3.48
893,95822,67,Sacramento,68900,520615,45232,17143,3.91
894,95825,28,Sacramento,60192,247132,31978,11916,2.35
895,95826,29,Sacramento,68970,410250,36948,15976,1.82
896,95827,11,Sacramento,71516,379740,21945,11475,0.96
897,95828,50,Sacramento,65583,320466,61371,26019,1.92
898,95829,144,Sacramento,99795,620222,29124,15804,9.11
899,95831,224,Sacramento,96519,877031,42473,18912,11.84
900,95833,59,Sacramento,73378,235487,40003,15398,3.83
901,95834,155,Sacramento,75299,207743,28272,19991,7.75
902,95835,251,Sacramento,104237,622226,37345,19334,12.98
903,95841,12,Sacramento,59687,246724,20785,7992,1.5
904,95842,12,Sacramento,56835,257327,33514,11981,1.0
905,95843,72,Antelope,87811,506312,47030,21279,3.38
906,95864,219,Sacramento,124719,1478050,24385,11625,18.84
907,95926,36,Chico,62000,343423,38890,12282,2.93
908,95928,64,Chico,66127,424839,37487,13843,4.62
909,95945,15,Grass Valley,61511,575553,25558,9829,1.53
910,95949,30,Grass Valley,83405,1295710,20492,9231,3.25
911,95959,65,Nevada City,80843,997236,18310,8034,8.09
912,95961,13,Olivehurst,65335,256634,27885,10515,1.24
913,95973,67,Chico,75970,541008,35359,17144,3.91
914,95993,74,Yuba City,89449,821226,36208,19116,3.87
915,96001,35,Redding,74459,751869,34632,14013,2.5
916,96002,34,Redding,66377,560356,33925,13378,2.54
917,96003,46,Redding,68816,563305,45549,18274,2.52
918,96150,30,South Lake Tahoe,73629,420464,32999,8705,3.45
919,96161,134,Truckee,101103,755014,19416,8825,15.18
