,zip,teslas,name,avg_house_income,avg_net_worth,population,all_vehicles,tesla_rate_1k
353,92223,136,Beaumont,89867,750567,51735,29693,4.58
354,92234,78,Cathedral City,68415,617602,53753,23146,3.37
355,92243,14,El Centro,63639,310809,52112,24565,0.57
356,92253,204,La Quinta,118830,1452156,40099,20105,10.15
357,92260,138,Palm Desert,88677,1164053,33732,15438,8.94
358,92262,239,Palm Springs,75909,565236,28689,12696,18.82
359,92264,153,Palm Springs,85661,998467,20234,10249,14.93
360,92270,265,Rancho Mirage,119941,2059917,18260,10798,24.54
361,92284,23,Yucca Valley,58368,419364,26520,9670,2.38
362,92307,48,Apple Valley,77937,732326,40132,17266,2.78
363,92324,51,Colton,61327,259947,58953,24407,2.09
364,92335,50,Fontana,57866,174519,102826,41115,1.22
365,92336,352,Fontana,101792,590569,97774,50761,6.93
366,92337,56,Fontana,82754,383896,38870,19395,2.89
367,92345,16,Hesperia,61420,302010,82164,33910,0.47
368,92346,110,Highland,87020,671494,57032,25824,4.26
369,92354,77,Loma Linda,86227,424691,23031,9321,8.26
370,92373,247,Redlands,109095,1203337,33472,17490,14.12
371,92374,89,Redlands,88821,712158,43645,18907,4.71
372,92376,16,Rialto,59519,214971,82014,33320,0.48
373,92377,45,Rialto,96092,744940,20572,10985,4.1
374,92392,47,Victorville,78231,408566,57144,25297,1.86
375,92394,16,Victorville,62136,194927,38796,13948,1.15
376,92395,39,Victorville,59131,280539,45069,16720,2.33
377,92399,96,Yucaipa,83329,719445,55478,25548,3.76
378,92404,11,San Bernardino,55561,274118,60369,20163,0.55
379,92407,95,San Bernardino,71998,372394,61245,26547,3.58
380,92501,12,Riverside,62654,216196,22062,9377,1.28
381,92503,268,Riverside,76679,436809,92183,39358,6.81
382,92504,72,Riverside,75800,459606,57165,26742,2.69
383,92505,54,Riverside,73774,299368,49661,20201,2.67
384,92506,241,Riverside,120198,1386320,44982,22378,10.77
385,92507,102,Riverside,58825,213398,61390,22515,4.53
386,92508,170,Riverside,120112,842734,35779,18743,9.07
387,92509,73,Riverside,71753,346070,80869,34260,2.13
388,92530,89,Lake Elsinore,69681,324579,55484,24358,3.65
389,92532,99,Lake Elsinore,89637,464713,24369,13797,7.18
390,92544,13,Hemet,66993,508680,47913,17928,0.73
391,92553,11,Moreno Valley,57695,164364,76327,27522,0.4
392,92555,72,Moreno Valley,90981,515047,43613,20563,3.5
393,92557,64,Moreno Valley,80737,520161,52275,23008,2.78
394,92562,307,Murrieta,108317,959259,64723,33675,9.12
395,92563,304,Murrieta,105393,669964,68480,35906,8.47
396,92570,44,Perris,62606,315591,58658,22249,1.98
397,92571,33,Perris,65825,214389,57463,23833,1.38
398,92582,14,San Jacinto,76353,351107,18234,8968,1.56
399,92584,195,Menifee,91836,665848,47193,27673,7.05
400,92585,51,Sun City,80208,540129,22212,11868,4.3
401,92587,63,Quail Valley,98786,949793,17797,9150,6.89
402,92590,29,Temecula,103746,711896,4511,3637,7.97
403,92591,168,Temecula,94309,617928,44846,20565,8.17
