zip,False,True
90222,18417.0,1503.0
90223,59.0,6.0
90224,262.0,37.0
90230,21270.0,3312.0
90231,377.0,43.0
90232,10936.0,2232.0
90239,283.0,40.0
90240,18819.0,2176.0
90241,30807.0,3522.0
90242,28420.0,2988.0
90245,13779.0,2547.0
90247,31846.0,3363.0
90248,10602.0,3866.0
90249,19863.0,2166.0
90250,60076.0,6277.0
90251,492.0,58.0
90254,13708.0,2501.0
90255,41632.0,3423.0
90260,22726.0,2110.0
90262,41445.0,3438.0
90263,301.0,73.0
90264,176.0,44.0
90265,12267.0,2920.0
90266,24382.0,5195.0
90267,319.0,57.0
90270,16109.0,1415.0
90272,15133.0,3635.0
90274,20490.0,3832.0
90275,30790.0,5367.0
90277,26004.0,4015.0
90278,28096.0,4391.0
90280,59761.0,4978.0
90290,4381.0,1234.0
90291,16038.0,3199.0
90292,16176.0,2616.0
90293,8515.0,1303.0
90294,256.0,40.0
90295,444.0,75.0
90296,84.0,10.0
90300,25.0,4.0
90301,22761.0,2133.0
90302,17681.0,1654.0
90303,15851.0,1214.0
90304,16822.0,1489.0
90305,10428.0,858.0
90306,53.0,2.0
90307,33.0,5.0
90308,112.0,9.0
90309,109.0,5.0
90310,41.0,10.0
90401,5332.0,1356.0
90402,7276.0,1776.0
90403,15606.0,2944.0
90404,13122.0,2513.0
90405,17596.0,3484.0
90406,400.0,57.0
90408,88.0,15.0
90409,152.0,19.0
90411,11.0,2.0
90500,23.0,6.0
90501,32489.0,4435.0
90502,13302.0,1653.0
90503,31309.0,4970.0
90504,24680.0,3052.0
90505,27216.0,4053.0
90506,44.0,17.0
90507,56.0,17.0
90508,81.0,7.0
90509,47.0,24.0
90510,313.0,41.0
90601,23267.0,3157.0
90602,15931.0,1545.0
90603,15108.0,1735.0
90604,27349.0,2708.0
90605,29072.0,3031.0
90606,22353.0,2003.0
90607,254.0,46.0
90608,207.0,33.0
90609,123.0,24.0
90610,60.0,7.0
90620,34404.0,3964.0
90621,24902.0,2720.0
90622,256.0,208.0
90623,11796.0,1432.0
90630,36747.0,4617.0
90631,48636.0,5850.0
90632,235.0,25.0
90633,219.0,33.0
90637,255.0,42.0
90638,34195.0,6330.0
90639,106.0,10.0
90640,43157.0,6384.0
90650,69793.0,6630.0
90651,319.0,38.0
90652,73.0,8.0
90660,43962.0,4465.0
90661,44.0,5.0
90662,42.0,5.0
90670,15541.0,5539.0
90680,20467.0,2802.0
90700,12.0,3.0
90701,10865.0,1059.0
90702,197.0,24.0
90703,39710.0,5304.0
90704,2941.0,339.0
90706,50621.0,4947.0
90707,487.0,83.0
90710,17963.0,1885.0
90711,196.0,17.0
90712,23513.0,2709.0
90713,21110.0,2531.0
90714,401.0,75.0
90715,13528.0,1216.0
90716,8842.0,615.0
90717,15014.0,1834.0
90720,16824.0,4103.0
90721,21.0,1.0
90723,35074.0,3558.0
90725,15.0,
90731,37526.0,4289.0
90732,14962.0,2006.0
90733,335.0,61.0
90734,118.0,32.0
90740,18857.0,2898.0
90742,890.0,146.0
90743,334.0,71.0
90744,34126.0,4121.0
90745,42245.0,3765.0
90746,21039.0,2428.0
90747,35.0,17.0
90748,410.0,151.0
90749,366.0,125.0
90755,9420.0,2300.0
90800,21.0,1.0
90801,542.0,145.0
90802,20695.0,2771.0
90803,22008.0,3620.0
90804,20938.0,1997.0
90805,56642.0,5354.0
90806,26006.0,3573.0
90807,22237.0,3430.0
90808,29140.0,4149.0
90809,415.0,59.0
90810,25001.0,2454.0
90813,26562.0,3167.0
90814,11653.0,1694.0
90815,26846.0,3850.0
90822,15.0,1.0
90831,71.0,26.0
90832,51.0,13.0
90840,66.0,19.0
90853,141.0,18.0
90895,10.0,10.0
91001,26000.0,3913.0
91003,151.0,18.0
91006,23557.0,3061.0
91007,21244.0,2478.0
91008,976.0,150.0
91009,205.0,19.0
91010,19240.0,1815.0
91011,15668.0,2974.0
91012,309.0,46.0
91016,29013.0,3944.0
91017,419.0,88.0
91020,5300.0,710.0
91021,147.0,17.0
91024,8044.0,1259.0
91025,201.0,33.0
91030,16796.0,2858.0
91031,385.0,69.0
91040,16194.0,2387.0
91041,151.0,28.0
91042,19941.0,2594.0
91043,79.0,14.0
91046,135.0,19.0
91066,299.0,87.0
91077,123.0,12.0
91101,11617.0,1710.0
91102,174.0,14.0
91103,16942.0,2113.0
91104,23171.0,2906.0
91105,9605.0,1766.0
91106,15430.0,2093.0
91107,24419.0,3356.0
91108,9585.0,1567.0
91109,910.0,210.0
91111,259.0,18.0
91114,106.0,14.0
91115,77.0,9.0
91116,102.0,12.0
91117,196.0,19.0
91118,143.0,18.0
91124,20.0,1.0
91125,102.0,10.0
91126,13.0,3.0
91201,16048.0,2594.0
91202,15497.0,2029.0
91203,9803.0,1260.0
91204,10397.0,1584.0
91205,21500.0,2672.0
91206,21850.0,3110.0
91207,7485.0,959.0
91208,12319.0,1775.0
91209,309.0,134.0
91210,238.0,39.0
91214,23028.0,3649.0
91221,237.0,29.0
91222,68.0,7.0
91224,137.0,39.0
91225,163.0,14.0
91226,187.0,19.0
91300,14.0,5.0
91301,19279.0,3282.0
91302,19828.0,3477.0
91303,17462.0,1696.0
91304,33309.0,3775.0
91305,56.0,7.0
91306,31955.0,3192.0
91307,18803.0,2663.0
91308,204.0,27.0
91309,192.0,15.0
91310,96.0,29.0
91311,29171.0,4251.0
91313,265.0,55.0
91316,19082.0,2751.0
91319,179.0,26.0
91320,34458.0,5298.0
91321,23673.0,3024.0
91322,225.0,67.0
91324,19625.0,2511.0
91325,22338.0,3037.0
91326,26365.0,3832.0
91327,173.0,35.0
91328,132.0,16.0
91330,123.0,96.0
91331,69550.0,6203.0
91333,244.0,23.0
91334,81.0,14.0
91335,50775.0,5055.0
91337,247.0,54.0
91340,23749.0,2694.0
91341,119.0,19.0
91342,66298.0,8325.0
91343,39549.0,4435.0
91344,38800.0,5203.0
91345,14453.0,1681.0
91346,179.0,51.0
91350,28162.0,4648.0
91351,24547.0,3257.0
91352,34795.0,5088.0
91353,277.0,51.0
91354,21825.0,3540.0
91355,24566.0,4355.0
91356,20687.0,2955.0
91357,322.0,39.0
91358,128.0,15.0
91359,515.0,79.0
91360,32104.0,4701.0
91361,16303.0,2670.0
91362,30038.0,4599.0
91364,19548.0,3184.0
91365,266.0,31.0
91367,29995.0,4120.0
91371,24.0,17.0
91372,162.0,25.0
91376,273.0,77.0
91377,10361.0,1533.0
91380,571.0,111.0
91381,13546.0,2209.0
91384,16828.0,2809.0
91385,90.0,29.0
91386,295.0,35.0
91387,29678.0,4192.0
91390,14799.0,3102.0
91392,468.0,92.0
91393,90.0,10.0
91394,191.0,27.0
91395,119.0,9.0
91396,176.0,29.0
91401,25692.0,3319.0
91402,41660.0,3613.0
91403,16990.0,2892.0
91404,63.0,6.0
91405,34714.0,6591.0
91406,36520.0,4916.0
91407,35.0,7.0
91408,101.0,11.0
91409,443.0,86.0
91411,14657.0,2097.0
91412,157.0,10.0
91413,507.0,62.0
91416,260.0,36.0
91423,21387.0,3474.0
91426,177.0,26.0
91436,11990.0,2636.0
91500,18.0,4.0
91501,14086.0,1764.0
91502,7874.0,1434.0
91503,175.0,25.0
91504,18748.0,2472.0
91505,23127.0,3496.0
91506,14148.0,2044.0
91507,150.0,14.0
91508,51.0,3.0
91510,623.0,113.0
91521,66.0,157.0
91522,37.0,212.0
91601,22981.0,2932.0
91602,13054.0,2054.0
91603,196.0,19.0
91604,20043.0,3637.0
91605,37710.0,4574.0
91606,28036.0,2996.0
91607,18611.0,2950.0
91608,138.0,187.0
91609,92.0,6.0
91610,156.0,20.0
91614,195.0,42.0
91615,197.0,37.0
91616,29.0,11.0
91617,96.0,11.0
91700,36.0,2.0
91701,29925.0,4174.0
91702,39884.0,4333.0
91703,7.0,7.0
91706,54113.0,6258.0
91708,6073.0,1704.0
91709,56528.0,7575.0
91710,58463.0,10905.0
91711,22599.0,3789.0
91715,381.0,109.0
91716,99.0,123.0
91718,15.0,6.0
91719,16.0,
91720,99.0,20.0
91722,25716.0,2385.0
91723,13072.0,1503.0
91724,19516.0,2381.0
91729,1310.0,245.0
91730,46580.0,6805.0
91731,18633.0,2266.0
91732,38906.0,2955.0
91733,29253.0,3115.0
91734,502.0,723.0
91736,9.0,2.0
91737,18375.0,2771.0
91739,26321.0,4177.0
91740,19125.0,2270.0
91741,20093.0,3143.0
91743,130.0,8.0
91744,58787.0,4938.0
91745,40957.0,4856.0
91746,22662.0,3758.0
91747,513.0,43.0
91748,33599.0,4320.0
91749,12.0,5.0
91750,25459.0,3847.0
91752,25150.0,5197.0
91754,24210.0,2718.0
91755,19553.0,1752.0
91756,12.0,
91759,378.0,58.0
91760,85.0,11.0
91761,45772.0,8886.0
91762,41048.0,5711.0
91763,27043.0,2707.0
91764,35585.0,3422.0
91765,34572.0,4796.0
91766,47184.0,4846.0
91767,32449.0,3074.0
91768,21335.0,3283.0
91769,800.0,94.0
91770,45041.0,6004.0
91773,25753.0,3794.0
91775,16486.0,1908.0
91776,27545.0,2493.0
91777,35.0,2.0
91778,310.0,30.0
91780,25241.0,2733.0
91784,21888.0,3346.0
91785,704.0,118.0
91786,35428.0,5052.0
91788,365.0,65.0
91789,32907.0,4650.0
91790,32586.0,3528.0
91791,24487.0,2800.0
91792,20658.0,1636.0
91793,540.0,72.0
91801,34645.0,3333.0
91802,1107.0,622.0
91803,20994.0,2589.0
91900,42.0,4.0
91901,12699.0,2954.0
91902,14830.0,2048.0
91903,569.0,131.0
91905,1985.0,365.0
91906,4043.0,734.0
91908,441.0,58.0
91909,408.0,40.0
91910,56513.0,5775.0
91911,64067.0,6477.0
91912,1625.0,262.0
91913,33488.0,3230.0
91914,12514.0,1640.0
91915,20414.0,2133.0
91916,2213.0,474.0
91917,841.0,154.0
91919,15.0,1.0
91921,370.0,48.0
91931,545.0,90.0
91932,16566.0,1815.0
91933,367.0,51.0
91934,773.0,94.0
91935,7647.0,1770.0
91941,23886.0,3357.0
91942,26770.0,3283.0
91943,175.0,27.0
91944,483.0,143.0
91945,19369.0,2625.0
91946,304.0,43.0
91948,202.0,25.0
91950,39850.0,3671.0
91951,661.0,40.0
91955,22.0,3.0
91962,2148.0,455.0
91963,1917.0,269.0
91970,36.0,3.0
91976,202.0,45.0
91977,43050.0,4923.0
91978,7326.0,981.0
91979,421.0,74.0
91980,3006.0,468.0
91987,35.0,3.0
91991,11.0,
91999,13.0,1.0
92000,280.0,35.0
92001,22.0,5.0
92002,12.0,1.0
92003,4392.0,922.0
92004,4339.0,640.0
92007,8317.0,1481.0
92008,21687.0,3729.0
92009,31261.0,5099.0
92010,11822.0,1975.0
92011,17490.0,2806.0
92012,35.0,10.0
92013,330.0,58.0
92014,10931.0,2132.0
92016,9.0,2.0
92018,1367.0,154.0
92019,31696.0,4212.0
92020,39981.0,5752.0
92021,45378.0,6609.0
92022,480.0,207.0
92023,1042.0,188.0
92024,38712.0,7021.0
92025,34520.0,4353.0
92026,36523.0,4685.0
92027,38742.0,4324.0
92028,37198.0,6325.0
92029,17381.0,4206.0
92030,531.0,90.0
92032,19.0,4.0
92033,466.0,61.0
92035,13.0,8.0
92036,4203.0,667.0
92037,27405.0,4604.0
92038,579.0,110.0
92039,226.0,30.0
92040,31826.0,6325.0
92041,57.0,1.0
92044,22.0,2.0
92046,647.0,183.0
92049,226.0,35.0
92050,49.0,8.0
92051,533.0,53.0
92052,578.0,96.0
92054,26290.0,3754.0
92055,2294.0,226.0
92056,39287.0,5043.0
92057,39302.0,4566.0
92058,22134.0,2763.0
92059,2054.0,434.0
92060,422.0,94.0
92061,2240.0,361.0
92062,17.0,9.0
92064,37562.0,6210.0
92065,28994.0,5927.0
92066,445.0,80.0
92067,9004.0,1729.0
92068,225.0,27.0
92069,34300.0,4838.0
92070,1568.0,332.0
92071,40182.0,5949.0
92072,538.0,141.0
92073,31.0,1.0
92074,377.0,81.0
92075,9602.0,1633.0
92077,23.0,2.0
92078,32198.0,5303.0
92079,736.0,123.0
92081,20450.0,3719.0
92082,16577.0,3717.0
92083,26053.0,2870.0
92084,34622.0,4987.0
92085,1030.0,187.0
92086,1395.0,251.0
92088,818.0,148.0
92091,1935.0,379.0
92092,673.0,56.0
92093,459.0,669.0
92096,14.0,32.0
92099,16.0,4.0
92100,158.0,6.0
92101,35397.0,9580.0
92102,27421.0,2728.0
92103,22351.0,3299.0
92104,28776.0,3401.0
92105,42610.0,4274.0
92106,13827.0,2199.0
92107,19349.0,2630.0
92108,15590.0,2119.0
92109,30259.0,3868.0
92110,19635.0,3184.0
92111,35558.0,5248.0
92112,748.0,187.0
92113,32115.0,2765.0
92114,49847.0,3614.0
92115,33428.0,3723.0
92116,21607.0,2694.0
92117,38814.0,4814.0
92118,11564.0,1945.0
92119,17364.0,2178.0
92120,21911.0,3113.0
92121,6282.0,2707.0
92122,25343.0,3103.0
92123,23126.0,4750.0
92124,17807.0,2217.0
92126,53952.0,5706.0
92127,30314.0,4755.0
92128,34536.0,4120.0
92129,37646.0,4766.0
92130,37331.0,5860.0
92131,26229.0,3776.0
92132,13.0,
92133,27.0,19.0
92134,169.0,10.0
92135,251.0,26.0
92136,963.0,122.0
92137,142.0,19.0
92138,994.0,183.0
92139,25418.0,1873.0
92140,150.0,12.0
92141,10.0,1.0
92142,317.0,98.0
92143,1704.0,139.0
92145,720.0,66.0
92147,62.0,4.0
92149,150.0,7.0
92150,647.0,107.0
92153,720.0,64.0
92154,67483.0,10349.0
92155,169.0,13.0
92159,220.0,40.0
92160,253.0,64.0
92161,11.0,1.0
92163,512.0,206.0
92165,318.0,22.0
92166,303.0,51.0
92167,232.0,30.0
92168,285.0,45.0
92169,501.0,73.0
92170,391.0,145.0
92171,322.0,50.0
92172,337.0,43.0
92173,31771.0,2748.0
92174,371.0,23.0
92175,232.0,23.0
92176,324.0,39.0
92177,315.0,48.0
92178,621.0,99.0
92179,43.0,26.0
92182,232.0,53.0
92186,33.0,3.0
92191,142.0,27.0
92192,421.0,66.0
92193,240.0,27.0
92195,339.0,59.0
92196,497.0,76.0
92198,435.0,51.0
92199,14.0,1.0
92201,38027.0,4177.0
92202,1425.0,219.0
92203,19719.0,3026.0
92204,9.0,2.0
92210,3600.0,393.0
92211,18748.0,2647.0
92220,21265.0,2907.0
92221,18.0,3.0
92222,87.0,12.0
92223,36946.0,5289.0
92225,9857.0,1973.0
92226,744.0,181.0
92227,19720.0,2981.0
92230,1505.0,267.0
92231,42210.0,4915.0
92232,1210.0,202.0
92233,3016.0,457.0
92234,35453.0,3690.0
92235,803.0,139.0
92236,26171.0,2616.0
92239,197.0,42.0
92240,22400.0,2241.0
92241,4988.0,733.0
92242,651.0,123.0
92243,38299.0,4915.0
92244,911.0,193.0
92247,493.0,69.0
92248,672.0,144.0
92249,6220.0,818.0
92250,6848.0,1200.0
92251,16397.0,2866.0
92252,5757.0,831.0
92253,26653.0,3171.0
92254,7716.0,592.0
92255,678.0,137.0
92256,2630.0,407.0
92257,1412.0,174.0
92258,541.0,84.0
92259,801.0,157.0
92260,21431.0,2593.0
92261,656.0,151.0
92262,17946.0,2447.0
92263,1182.0,210.0
92264,13918.0,1935.0
92266,368.0,81.0
92267,99.0,20.0
92268,530.0,122.0
92270,13290.0,1765.0
92273,1361.0,138.0
92274,11725.0,1512.0
92275,2061.0,229.0
92276,6070.0,1195.0
92277,11533.0,1720.0
92278,619.0,77.0
92280,20.0,1.0
92281,1664.0,223.0
92282,713.0,108.0
92283,873.0,177.0
92284,16546.0,2468.0
92285,1535.0,203.0
92286,722.0,126.0
92301,18688.0,2325.0
92304,21.0,4.0
92305,469.0,68.0
92307,27200.0,4275.0
92308,27721.0,3985.0
92309,346.0,72.0
92310,2369.0,384.0
92311,17811.0,2322.0
92312,469.0,86.0
92313,8825.0,1134.0
92314,7160.0,1029.0
92315,5804.0,797.0
92316,22942.0,3505.0
92317,2489.0,297.0
92318,132.0,10.0
92320,6948.0,1177.0
92321,1066.0,126.0
92322,493.0,67.0
92323,26.0,5.0
92324,37567.0,4378.0
92325,7524.0,833.0
92326,18.0,
92327,293.0,43.0
92328,219.0,49.0
92329,3066.0,602.0
92330,54.0,20.0
92331,381.0,130.0
92332,69.0,13.0
92333,463.0,36.0
92334,768.0,140.0
92335,65082.0,11091.0
92336,67472.0,7852.0
92337,26843.0,4598.0
92338,15.0,3.0
92339,868.0,117.0
92340,1111.0,268.0
92341,293.0,31.0
92342,4436.0,634.0
92343,65.0,20.0
92344,14829.0,2655.0
92345,55534.0,8234.0
92346,38004.0,4238.0
92347,518.0,97.0
92349,9.0,4.0
92350,74.0,7.0
92352,4400.0,688.0
92354,14314.0,1546.0
92355,10.0,4.0
92356,3959.0,734.0
92358,663.0,106.0
92359,6060.0,804.0
92360,12.0,2.0
92363,3027.0,493.0
92364,38.0,5.0
92365,1401.0,233.0
92366,12.0,8.0
92368,561.0,122.0
92369,293.0,62.0
92370,27.0,13.0
92371,8821.0,1726.0
92372,3878.0,698.0
92373,23914.0,4031.0
92374,27177.0,3167.0
92375,703.0,127.0
92376,54994.0,5237.0
92377,16059.0,2230.0
92378,543.0,103.0
92382,3976.0,517.0
92383,33.0,8.0
92384,45.0,13.0
92385,401.0,53.0
92386,1631.0,134.0
92388,21.0,8.0
92389,122.0,18.0
92390,15.0,5.0
92391,1559.0,192.0
92392,36814.0,4479.0
92393,1232.0,238.0
92394,19624.0,2157.0
92395,25782.0,3020.0
92397,4173.0,649.0
92398,966.0,144.0
92399,38602.0,6062.0
92400,28.0,4.0
92401,991.0,140.0
92402,396.0,81.0
92403,94.0,23.0
92404,33649.0,2878.0
92405,17112.0,1456.0
92406,274.0,31.0
92407,39526.0,4564.0
92408,9702.0,2226.0
92410,28595.0,2634.0
92411,15832.0,1563.0
92412,8.0,5.0
92413,274.0,34.0
92415,2162.0,1699.0
92418,14.0,5.0
92423,548.0,113.0
92427,416.0,103.0
92444,18.0,
92454,18.0,8.0
92500,42.0,10.0
92501,14226.0,2412.0
92502,319.0,96.0
92503,59965.0,7061.0
92504,40090.0,6941.0
92505,32157.0,3313.0
92506,32924.0,4439.0
92507,31209.0,4486.0
92508,24407.0,3931.0
92509,54783.0,8710.0
92513,415.0,86.0
92514,110.0,44.0
92516,250.0,52.0
92517,746.0,169.0
92518,574.0,277.0
92519,220.0,125.0
92521,163.0,103.0
92522,145.0,121.0
92530,35897.0,4919.0
92531,489.0,133.0
92532,15871.0,2508.0
92533,11.0,3.0
92536,2522.0,562.0
92539,3146.0,584.0
92543,20589.0,2068.0
92544,29943.0,3696.0
92545,26702.0,3311.0
92546,538.0,71.0
92548,4680.0,617.0
92549,3373.0,477.0
92551,19896.0,1827.0
92552,732.0,112.0
92553,44615.0,3945.0
92554,160.0,48.0
92555,27547.0,3335.0
92556,297.0,33.0
92557,33900.0,3550.0
92561,1201.0,257.0
92562,43727.0,7280.0
92563,43880.0,6116.0
92564,484.0,106.0
92565,11.0,2.0
92567,6833.0,1230.0
92570,36914.0,5521.0
92571,35425.0,3770.0
92572,849.0,241.0
92577,10.0,1.0
92581,1140.0,262.0
92582,11472.0,1453.0
92583,18310.0,1956.0
92584,32694.0,5292.0
92585,14919.0,2272.0
92586,15690.0,1795.0
92587,12661.0,2525.0
92589,1096.0,269.0
92590,4318.0,1326.0
92591,27825.0,3903.0
92592,53381.0,8342.0
92593,724.0,162.0
92595,23960.0,3809.0
92596,17920.0,2956.0
92600,71.0,8.0
92602,16607.0,2628.0
92603,13208.0,2266.0
92604,18703.0,2389.0
92605,196.0,42.0
92606,15452.0,2684.0
92607,442.0,83.0
92609,343.0,49.0
92610,8737.0,1436.0
92612,16592.0,2487.0
92613,4.0,26.0
92614,19895.0,3186.0
92615,456.0,82.0
92616,184.0,46.0
92617,4179.0,745.0
92618,29534.0,5642.0
92619,544.0,131.0
92620,36361.0,5090.0
92621,47.0,6.0
92623,583.0,115.0
92624,6057.0,946.0
92625,9775.0,1726.0
92626,35893.0,11257.0
92627,42409.0,5309.0
92628,509.0,76.0
92629,20864.0,3067.0
92630,48396.0,6876.0
92631,24.0,1.0
92632,41.0,12.0
92633,27.0,1.0
92634,12.0,1.0
92637,12342.0,1451.0
92640,153.0,22.0
92641,9.0,2.0
92642,12.0,2.0
92643,14.0,2.0
92646,43379.0,6295.0
92647,41741.0,5773.0
92648,34759.0,5327.0
92649,26949.0,4905.0
92650,45.0,4.0
92651,19248.0,3726.0
92652,528.0,73.0
92653,23441.0,3378.0
92654,401.0,67.0
92655,6020.0,444.0
92656,35206.0,4660.0
92657,8065.0,1445.0
92658,926.0,339.0
92659,534.0,83.0
92660,29097.0,5063.0
92661,2668.0,452.0
92662,2180.0,417.0
92663,15483.0,2544.0
92664,14.0,3.0
92666,63.0,103.0
92667,79.0,26.0
92668,16.0,2.0
92670,51.0,39.0
92672,26685.0,4599.0
92673,21795.0,3949.0
92674,581.0,102.0
92675,27674.0,4348.0
92676,1678.0,392.0
92677,48084.0,6706.0
92678,352.0,67.0
92679,24112.0,3871.0
92680,59.0,12.0
92683,66583.0,6133.0
92684,263.0,23.0
92685,424.0,42.0
92686,15.0,7.0
92688,31488.0,4726.0
92690,554.0,78.0
92691,36993.0,5053.0
92692,35780.0,4595.0
92693,333.0,82.0
92694,18697.0,3338.0
92697,182.0,152.0
92700,140.0,30.0
92701,30282.0,3633.0
92702,311.0,104.0
92703,41722.0,3201.0
92704,57214.0,4998.0
92705,35035.0,5799.0
92706,23018.0,2212.0
92707,40486.0,3400.0
92708,44550.0,5659.0
92709,13.0,1.0
92711,439.0,105.0
92713,15.0,2.0
92715,13.0,6.0
92717,26.0,1.0
92728,406.0,53.0
92735,161.0,56.0
92777,11.0,
92780,37336.0,4163.0
92781,666.0,98.0
92782,18781.0,2677.0
92799,373.0,48.0
92801,40200.0,4358.0
92802,25750.0,2209.0
92803,531.0,88.0
92804,55750.0,4810.0
92805,50922.0,8096.0
92806,30249.0,5433.0
92807,29338.0,5343.0
92808,14946.0,2218.0
92809,197.0,64.0
92811,116.0,23.0
92812,288.0,31.0
92814,209.0,24.0
92815,371.0,85.0
92816,114.0,24.0
92817,354.0,68.0
92821,29773.0,5291.0
92822,557.0,111.0
92823,3574.0,616.0
92825,73.0,18.0
92831,21815.0,3265.0
92832,15995.0,1761.0
92833,36544.0,4353.0
92834,397.0,105.0
92835,17640.0,2720.0
92836,185.0,24.0
92837,191.0,24.0
92838,176.0,27.0
92840,37986.0,3434.0
92841,24401.0,2536.0
92842,695.0,86.0
92843,31992.0,2953.0
92844,16691.0,1212.0
92845,12421.0,1722.0
92846,127.0,25.0
92856,220.0,44.0
92857,83.0,15.0
92859,166.0,68.0
92860,18418.0,5038.0
92861,4944.0,918.0
92862,11.0,
92863,629.0,496.0
92864,11.0,2.0
92865,16066.0,3462.0
92866,9845.0,1241.0
92867,31502.0,5728.0
92868,29204.0,10535.0
92869,27209.0,3620.0
92870,37046.0,5027.0
92871,294.0,49.0
92877,453.0,138.0
92878,584.0,881.0
92879,32082.0,4778.0
92880,47662.0,8161.0
92881,22142.0,3632.0
92882,46767.0,6841.0
92883,21852.0,4164.0
92885,277.0,76.0
92886,37300.0,6095.0
92887,16416.0,2777.0
93000,15.0,12.0
93001,23743.0,3985.0
93002,642.0,255.0
93003,37773.0,6251.0
93004,22657.0,4119.0
93005,208.0,44.0
93006,580.0,100.0
93007,243.0,192.0
93009,13.0,13.0
93010,33310.0,5034.0
93011,769.0,199.0
93012,27157.0,4667.0
93013,12811.0,1951.0
93014,419.0,88.0
93015,12863.0,1962.0
93016,298.0,89.0
93020,205.0,54.0
93021,28796.0,4525.0
93022,4916.0,1111.0
93023,15681.0,3282.0
93024,364.0,82.0
93030,40141.0,5002.0
93031,1126.0,338.0
93032,272.0,114.0
93033,54824.0,4441.0
93034,365.0,56.0
93035,21059.0,2714.0
93036,31550.0,3655.0
93040,1442.0,182.0
93041,14258.0,1475.0
93042,146.0,18.0
93043,171.0,13.0
93044,436.0,40.0
93060,23345.0,2990.0
93061,291.0,94.0
93062,351.0,45.0
93063,43054.0,6522.0
93064,31.0,
93065,56517.0,8501.0
93066,2984.0,846.0
93067,983.0,135.0
93094,258.0,61.0
93100,25.0,7.0
93101,20567.0,3633.0
93102,465.0,156.0
93103,14584.0,2108.0
93105,18215.0,2908.0
93106,439.0,207.0
93107,60.0,13.0
93108,8776.0,1661.0
93109,7764.0,1291.0
93110,11971.0,1689.0
93111,14448.0,2289.0
93116,383.0,63.0
93117,26377.0,4821.0
93118,150.0,34.0
93120,185.0,25.0
93121,183.0,29.0
93130,385.0,56.0
93140,576.0,201.0
93150,320.0,77.0
93160,321.0,63.0
93190,180.0,27.0
93200,8.0,13.0
93201,607.0,110.0
93202,2420.0,300.0
93203,11206.0,1362.0
93204,5489.0,688.0
93205,1585.0,170.0
93206,1460.0,513.0
93207,227.0,49.0
93208,56.0,7.0
93210,8341.0,1639.0
93212,8327.0,1559.0
93215,27488.0,3604.0
93216,649.0,278.0
93218,584.0,179.0
93219,5701.0,643.0
93220,233.0,119.0
93221,10142.0,2250.0
93222,1547.0,213.0
93223,6679.0,701.0
93224,345.0,150.0
93225,3882.0,613.0
93226,175.0,119.0
93227,581.0,205.0
93230,41602.0,8237.0
93232,415.0,180.0
93234,3657.0,394.0
93235,2935.0,369.0
93237,30.0,6.0
