,zip,toyota,honda,ford,chevrolet,nissan,bmw,hyundai,lexus,mercedes_benz,kia,total
1562,96142,0,0,0,0,0,0,0,0,0,0,12
1563,96143,173,0,11,0,11,0,0,0,0,0,554
1564,96145,343,0,34,0,0,0,0,0,0,0,976
1565,96146,100,0,0,0,0,0,0,0,0,0,197
1566,96148,11,0,0,0,0,0,0,0,0,0,23
1567,96150,2038,396,727,406,363,98,150,63,34,22,7328
1568,96151,380,22,42,0,13,0,0,0,0,0,843
1569,96158,186,0,0,0,0,0,0,0,0,0,359
1570,96160,97,0,12,0,0,0,0,0,0,0,262
1571,96161,1548,329,616,457,228,164,0,100,160,0,7209
1572,96162,11,0,0,0,0,0,0,0,0,0,114
1573,97211,0,0,0,72,0,0,0,0,0,0,253
1574,98011,0,0,92,0,24,0,0,0,0,0,116
1575,98032,0,0,0,0,0,0,0,0,0,0,11
1576,98101,0,0,13,0,0,0,0,0,0,0,13
1577,98661,0,0,131,0,0,0,0,0,0,0,131
1578,99503,0,0,45,0,0,0,0,0,0,0,45
1579,OOS,59472,25373,102766,63203,51771,7549,18987,6083,9049,12426,507969
