county,total_pcts,precincts_partially,reporting_pct,voters,ballots_cast,turnout_pct,first_report,last_report,report_type
Madera,72,72,100.0,67909,52678,77,Nov 38:16 p.m.,Nov 103:45 p.m.,U
Marin,112,112,100.0,175192,153806,87,Nov 38:47 p.m.,Nov 113:53 p.m.,U
Mariposa,25,25,100.0,11918,10410,87,Nov 38:35 p.m.,Nov 1012:00 p.m.,U
Mendocino,250,250,100.0,53697,25547,47,Nov 38:26 p.m.,Nov 412:27 a.m.,U
Merced,268,268,100.0,117174,83040,70,Nov 38:01 p.m.,Nov 103:36 p.m.,U
Modoc,21,21,100.0,5338,3870,72,Nov 38:30 p.m.,Nov 41:28 a.m.,U
Mono,12,12,100.0,7831,6803,86,Nov 39:15 p.m.,Nov 102:55 p.m.,U
Monterey,188,188,100.0,206917,157981,76,Nov 311:03 p.m.,Nov 113:29 p.m.,U
Napa,191,191,100.0,84845,68895,81,Nov 38:03 p.m.,Nov 103:23 p.m.,U
Nevada,111,111,100.0,74299,55005,74,Nov 38:21 p.m.,Nov 103:50 p.m.,U
Orange,1795,1795,100.0,1772700,1527434,86,Nov 38:33 p.m.,Nov 115:09 p.m.,U
Placer,127,127,100.0,270599,219132,81,Nov 38:09 p.m.,Nov 104:36 p.m.,U
Plumas,29,29,100.0,13655,11103,81,Nov 38:08 p.m.,Nov 38:08 p.m.,SF
Riverside,864,864,100.0,1241552,730679,58,Nov 38:47 p.m.,Nov 116:11 p.m.,U
Sacramento,677,677,100.0,884247,544003,61,Nov 38:11 p.m.,Nov 103:18 p.m.,U
San Benito,54,54,100.0,35359,28686,81,Nov 38:07 p.m.,Nov 104:24 p.m.,U
San Bernardino,2327,2327,100.0,1102687,684692,62,Nov 310:07 p.m.,Nov 104:06 p.m.,U
San Diego,1414,1414,100.0,1950545,1609213,82,Nov 38:19 p.m.,Nov 115:03 p.m.,U
San Francisco,609,609,100.0,521771,446751,85,Nov 38:53 p.m.,Nov 1010:07 a.m.,U
San Joaquin,207,207,100.0,366394,201286,54,Nov 38:35 p.m.,Nov 116:21 p.m.,U
San Luis Obispo,112,112,100.0,183746,156174,85,Nov 38:28 p.m.,Nov 95:49 p.m.,U
San Mateo,403,403,100.0,442988,363989,82,Nov 38:11 p.m.,Nov 114:35 p.m.,U
Santa Barbara,226,226,100.0,235198,197463,84,Nov 38:17 p.m.,Nov 93:56 p.m.,U
Santa Clara,596,596,100.0,1019309,821253,80,Nov 38:25 p.m.,Nov 104:48 p.m.,U
Santa Cruz,168,168,100.0,170831,143066,83,Nov 38:34 p.m.,Nov 93:39 p.m.,U
Shasta,97,97,100.0,111243,89897,80,Nov 38:42 p.m.,Nov 62:21 p.m.,U
Sierra,23,23,100.0,2261,1964,86,Nov 39:17 p.m.,Nov 103:42 p.m.,U
Siskiyou,64,64,100.0,29240,23328,79,Nov 38:32 p.m.,Nov 93:13 p.m.,U
Solano,348,348,100.0,259161,204988,79,Nov 38:15 p.m.,Nov 105:24 p.m.,U
Sonoma,668,668,100.0,300840,200584,66,Nov 38:13 p.m.,Nov 412:00 a.m.,SF
Stanislaus,192,192,100.0,279644,198219,70,Nov 38:32 p.m.,Nov 107:55 p.m.,U
Sutter,45,45,100.0,52096,42301,81,Nov 38:43 p.m.,Nov 1012:50 p.m.,U
Tehama,46,46,100.0,37023,25311,68,Nov 38:43 p.m.,Nov 95:49 p.m.,U
Trinity,25,25,100.0,8204,6221,75,Nov 38:26 p.m.,Nov 44:27 p.m.,U
Tulare,271,271,100.0,199726,144613,72,Nov 38:50 p.m.,Nov 105:39 p.m.,U
Tuolumne,73,73,100.0,35042,30239,86,Nov 38:24 p.m.,Nov 511:44 a.m.,U
Ventura,695,695,100.0,500442,424161,84,Nov 38:31 p.m.,Nov 104:09 p.m.,U
Yolo,58,58,100.0,119218,65938,55,Nov 38:38 p.m.,Nov 64:34 p.m.,U
Yuba,34,34,100.0,39626,27704,69,Nov 39:12 p.m.,Nov 106:06 p.m.,U
