date, pm25, pm10, o3, no2, so2, co
2021/7/25, 88, 53, 66, 11, 1, 5
2021/7/26, 88, 53, 70, 9, 1, 5
2021/7/27, 85, 22, 34, 9, , 6
2021/7/28, 52, 23, 29, 12, , 7
2021/7/29, 52, 21, 26, 9, , 6
2021/7/30, 48, 13, 35, 6, , 4
2021/7/31, 30, 38, 105, 10, 1, 6
2021/8/1, 64, 18, 36, 5, 1, 2
2021/8/2, 23, 18, 51, 6, , 3
2021/8/3, 17, 38, 79, 6, 1, 7
2021/8/4, 58, 44, 81, 8, , 7
2021/8/5, 96, 43, 85, 10, , 6
2021/8/6, 85, 39, 83, 10, , 5
2021/8/7, 91, 60, 110, 11, , 6
2021/8/8, 137, 66, 92, 15, , 7
2021/8/9, 118, 25, 93, 6, , 5
2021/8/10, 55, 34, 87, 10, , 5
2021/8/11, 59, 53, 75, 13, , 9
2021/8/12, 94, 47, 73, 8, , 9
2021/8/13, 86, 39, 72, 9, , 6
2021/8/14, 69, 38, 55, 7, , 5
2021/8/15, 76, 37, 45, 10, , 5
2021/8/16, 71, 41, 51, 10, , 7
2021/8/17, 80, 26, 51, 6, 1, 4
2021/8/18, 40, 33, 52, 10, , 5
2021/8/19, 60, 26, 35, 8, , 5
2021/8/20, 59, 23, 56, 7, 1, 5
2021/8/21, 36, 30, 56, 10, 1, 4
2021/8/22, 46, 62, 68, 10, , 8
2021/8/23, 109, 46, 68, 5, , 6
2021/8/24, 80, 21, 41, 6, , 3
2021/8/25, 38, 19, 34, 8, 1, 3
2021/8/26, 24, 19, 36, 6, 1, 3
2021/8/27, 26, 24, 55, 9, 1, 3
2021/8/28, 38, 27, 40, 11, 1, 3
2021/8/29, 42, 39, 70, 10, , 3
2021/8/30, 62, 51, 76, 17, , 5
2021/8/31, 81, 34, 67, 9, , 6
2021/9/1, 71, 38, 74, 14, , 6
2021/9/2, 61, 44, 78, 12, , 4
2021/9/3, 72, 54, 96, 11, , 6
2021/9/4, 92, 39, 40, 11, , 9
2021/9/5, 84, 30, 41, 11, 1, 5
2021/9/6, 58, 13, 27, 7, , 4
2021/9/7, 23, 31, 59, 11, , 4
2021/9/8, 49, 43, 82, 13, , 6
2021/9/9, 77, 50, 55, 15, , 7
2021/9/10, 97, 54, 94, 14, , 8
2021/9/11, 105, 67, 101, 14, 1, 9
2021/9/12, 137, 50, 30, 16, , 9
2021/9/13, 82, 36, 44, 16, , 8
2021/9/14, 65, 43, 35, 14, 1, 8
2021/9/15, 67, 47, 50, 16, , 7
2021/9/16, 64, 37, 18, 15, , 6
2021/9/17, 61, 27, 44, 13, , 4
2021/9/18, 43, 47, 35, 17, , 5
2021/9/19, 70, 31, 29, 10, 1, 6
2021/9/20, 66, 16, 30, 7, 1, 5
2021/9/21, 26, 16, 37, 10, , 4
2021/9/22, 28, 29, 47, 12, , 4
2021/9/23, 41, 52, 61, 20, 1, 6
2021/9/24, 77, 24, 28, 12, , 9
2021/9/25, 65, 27, 39, 10, 1, 6
2021/9/26, 54, 26, 20, 16, 1, 5
2021/9/27, 58, 28, 44, 13, 1, 5
2021/9/28, 54, 53, 39, 19, , 7
2021/9/29, 83, 47, 41, 15, , 5
2021/9/30, 72, 56, 31, 14, 1, 8
2021/10/1, 93, 30, 30, 11, , 4
2021/4/2, 161, 51, 37, 12, , 3
2021/4/3, 94, 28, 35, 12, , 2
2021/4/4, 52, 27, 37, 14, , 1
2021/4/5, 28, 61, 43, 18, 1, 3
2021/4/6, 104, 55, 46, 19, , 3
2021/4/7, 98, 70, 43, 22, 1, 4
2021/4/8, 120, 57, 53, 17, 1, 3
2021/4/9, 94, 61, 41, 18, 3, 5
2021/4/10, 114, 75, 54, 21, 4, 8
2021/4/11, 153, 70, 50, 14, 1, 4
2021/4/12, 132, 70, 31, 18, 1, 6
2021/4/13, 108, 27, 35, 6, , 1
2021/4/14, 32, 70, 38, 16, 1, 2
2021/4/15, 97, 245, 38, 13, 3, 3
2021/4/16, 149, 121, 31, 6, , 2
2021/4/17, 111, 34, 34, 8, , 1
2021/4/18, 36, 71, 45, 20, 1, 2
2021/4/19, 91, 100, 73, 22, 1, 5
2021/4/20, 151, 86, 75, 22, 1, 5
2021/4/21, 126, 62, 47, 24, , 5
2021/4/22, 99, 40, 37, 17, , 5
2021/4/23, 101, 36, 42, 14, , 4
2021/4/24, 76, 39, 43, 14, , 4
2021/4/25, 80, 56, 46, 16, , 5
2021/4/26, 133, 56, 59, 16, 1, 4
2021/4/27, 110, 83, 36, 13, , 3
2021/4/28, 90, 57, 39, 9, 1, 1
2021/4/29, 54, 63, 39, 15, , 2
2021/4/30, 68, 39, 30, 15, , 2
2021/5/1, 60, 33, 32, 13, , 2
2021/5/2, 47, 43, 41, 12, , 1
2021/5/3, 51, 64, 61, 13, 2, 4
2021/5/4, 104, 57, 38, 7, , 1
2021/5/5, 56, 79, 49, 10, , 2
2021/5/6, 86, 277, 40, 9, 1, 2
2021/5/7, 168, 129, 40, 5, 1, 2
2021/5/8, 120, 132, 37, 12, , 1
2021/5/9, 122, 56, 53, 21, 1, 4
2021/5/10, 91, 55, 51, 20, 1, 4
2021/5/11, 81, 44, 72, 14, 1, 6
2021/5/12, 83, 52, 72, 22, 1, 3
2021/5/13, 62, 65, 55, 19, 3, 9
2021/5/14, 146, 60, 43, 14, , 10
2021/5/15, 115, 36, 30, 9, , 4
2021/5/16, 45, 27, 38, 9, , 1
2021/5/17, 16, 47, 49, 19, , 3
2021/5/18, 54, 64, 58, 21, 1, 5
2021/5/19, 82, 65, 93, 12, 2, 5
2021/5/20, 104, 63, 76, 8, 1, 4
2021/5/21, 115, 64, 101, 11, , 6
2021/5/22, 113, 69, 107, 13, 1, 5
2021/5/23, 91, 136, 34, 7, , 1
2021/5/24, 116, 54, 33, 8, 1, 1
2021/5/25, 62, 70, 66, 7, 1, 2
2021/5/26, 67, 63, 47, 15, , 4
2021/5/27, 63, 52, 36, 16, 1, 4
2021/5/28, 53, 23, 44, 5, , 1
2021/5/29, 20, 40, 57, 9, , 2
2021/5/30, 40, 38, 78, 10, , 3
2021/5/31, 66, 47, 34, 13, , 10
2021/6/1, 89, 37, 55, 11, , 4
2021/6/2, 57, 51, 39, 17, 1, 6
2021/6/3, 77, 28, 36, 10, , 2
2021/6/4, 19, 33, 38, 10, , 2
2021/6/5, 31, 30, 44, 13, , 2
2021/6/6, 43, 46, 79, 13, 1, 3
2021/6/7, 52, 45, 73, 9, 1, 6
2021/6/8, 74, 51, 113, 9, 1, 7
2021/6/9, 89, 49, 46, 12, , 7
2021/6/10, 86, 25, 73, 8, , 3
2021/6/11, 44, 46, 77, 16, , 3
2021/6/12, 59, 72, 133, 18, 1, 5
2021/6/13, 103, 71, 114, 11, 1, 10
2021/6/14, 118, 30, 40, 7, 1, 9
2021/6/15, 75, 41, 96, 7, , 6
2021/6/16, 77, 34, 30, 10, , 6
2021/6/17, 68, 20, 43, 8, , 3
2021/6/18, 40, 27, 38, 11, 1, 2
2021/6/19, 27, 35, 42, 15, , 3
2021/6/20, 39, 30, 48, 13, , 2
2021/6/21, 47, 65, 96, 14, 1, 5
2021/6/22, 73, 38, 91, 10, 1, 4
2021/6/23, 58, 34, 51, 12, , 4
2021/6/24, 71, 47, 80, 18, , 5
2021/6/25, 80, 57, 81, 12, 1, 8
2021/6/26, 107, 43, 69, 8, 2, 6
2021/6/27, 86, 47, 105, 9, 1, 7
2021/6/28, 83, 47, 97, 10, , 7
2021/6/29, 97, 40, 48, 7, 1, 5
2021/6/30, 84, 29, 88, 5, , 5
2021/7/1, 62, 28, 67, 8, , 4
2021/1/5, 55, 30, 21, 11, 1, 3
2021/1/6, 52, 65, 24, 5, 1, 2
2021/1/7, 54, 31, 25, 7, 1, 5
2021/1/8, 44, 29, 26, 5, 1, 1
2021/1/9, 40, 36, 29, 7, 1, 1
2021/1/10, 43, 23, 27, 7, 1, 1
2021/1/11, 38, 55, 25, 11, 2, 2
2021/1/12, 73, 99, 9, 28, 2, 7
2021/1/13, 124, 184, 28, 16, 1, 5
2021/1/14, 140, 74, 14, 17, 3, 9
2021/1/15, 133, 97, 30, 10, 1, 4
2021/1/16, 113, 31, 29, 6, 1, 1
2021/1/17, 45, 49, 21, 10, 1, 2
2021/1/18, 64, 56, 24, 13, 1, 3
2021/1/19, 68, 49, 17, 15, 1, 5
2021/1/20, 98, 56, 18, 17, 2, 7
2021/1/21, 139, 74, 9, 31, 3, 11
2021/1/22, 165, 77, 14, 25, 5, 11
2021/1/23, 154, 68, 14, 27, 2, 11
2021/1/24, 149, 77, 16, 30, 2, 12
2021/1/25, 173, 89, 2, 37, , 14
2021/1/26, 191, 65, 27, 21, 1, 10
2021/1/27, 161, 58, 28, 21, 2, 8
2021/1/28, 104, 51, 32, 4, , 1
2021/1/29, 41, 55, 15, 19, 1, 5
2021/1/30, 80, 67, 18, 24, 3, 8
2021/1/31, 118, 64, 14, 14, 1, 9
2021/2/1, 152, 43, 29, 8, 1, 3
2021/2/2, 62, 38, 26, 8, 1, 3
2021/2/3, 59, 51, 30, 15, 1, 5
2021/2/4, 70, 58, 25, 17, 2, 5
2021/2/5, 115, 65, 22, 28, 3, 9
2021/2/6, 142, 88, 34, 16, 2, 5
2021/2/7, 106, 44, 32, 7, 1, 3
2021/2/8, 80, 45, 31, 15, 1, 4
2021/2/9, 109, 67, 34, 24, 2, 8
2021/2/10, 161, 70, 44, 23, 4, 10
2021/2/11, 169, 100, 35, 25, 4, 17
2021/2/12, 239, 139, 50, 17, 5, 15
2021/2/13, 273, 132, 13, 21, 2, 22
2021/2/14, 259, 133, 35, 12, , 13
2021/2/15, 165, 46, 33, 4, , 2
2021/2/16, 46, 34, 34, 1, 1, 1
2021/2/17, 36, 16, 31, 4, , 1
2021/2/18, 39, 36, 24, 13, 2, 5
2021/2/19, 88, 56, 26, 28, 2, 9
2021/2/20, 130, 75, 22, 34, 2, 10
2021/2/21, 132, 121, 32, 23, 3, 8
2021/2/22, 146, 57, 35, 9, 2, 3
2021/2/23, 85, 48, 23, 10, , 4
2021/2/24, 83, 47, 24, 15, 1, 7
2021/2/25, 122, 70, 34, 21, 1, 9
2021/2/26, 166, 93, 46, 25, 2, 13
2021/2/27, 194, 71, 48, 20, 3, 9
2021/2/28, 180, 83, 23, 25, 1, 9
2021/3/1, 169, 23, 30, 8, 1, 3
2021/3/2, 77, 66, 17, 10, , 6
2021/3/3, 144, 65, 13, 23, , 9
2021/3/4, 184, 96, 16, 28, , 12
2021/3/5, 209, 48, 21, 24, 1, 12
2021/3/6, 179, 47, 22, 13, 1, 4
2021/3/7, 76, 62, 22, 20, , 5
2021/3/8, 135, 67, 25, 29, 1, 7
2021/3/9, 163, 84, 36, 31, 2, 9
2021/3/10, 201, , 41, 38, 2, 12
2021/3/11, 242, 66, 43, 23, 1, 7
2021/3/12, 180, , 26, 20, , 8
2021/3/13, 180, , 39, 18, 1, 9
2021/3/14, 183, 100, 24, 31, , 9
2021/3/15, 200, 886, 30, 10, , 3
2021/3/16, 301, 142, 29, 10, , 3
2021/3/17, 97, 191, 17, 26, 2, 5
2021/3/18, 150, 96, 27, 19, 2, 6
2021/3/19, 149, 68, 24, 19, 1, 7
2021/3/20, 155, 68, 32, 10, , 4
2021/3/21, 96, 32, 33, 7, , 1
2021/3/22, 37, 148, 32, 16, 1, 2
2021/3/23, 93, 92, 35, 25, 2, 4
2021/3/24, 121, 119, 37, 20, 1, 3
2021/3/25, 126, 87, 51, 26, 2, 4
2021/3/26, 132, 115, 11, 50, 1, 10
2021/3/27, 208, 86, 38, 26, , 10
2021/3/28, 206, 539, 35, 13, , 5
2021/3/29, 207, 98, 33, 11, , 1
2021/3/30, 71, 167, 41, 23, 2, 4
2021/3/31, 140, 123, 38, 25, 1, 5
2021/4/1, 129, 115, 47, 26, 5, 11
2020/10/2, 134, 21, 24, 6, , 1
2020/10/3, 29, 40, 31, 15, 3, 4
2020/10/4, 76, 16, 21, 4, , 1
2020/10/5, 26, 18, 25, 10, , 1
2020/10/6, 31, 46, 26, 18, 2, 4
2020/10/7, 86, 72, 28, 29, 2, 8
2020/10/8, 150, 72, 14, 36, 1, 8
2020/10/9, 164, 84, 40, 37, 1, 9
2020/10/10, 179, 79, 61, 25, 1, 9
2020/10/11, 197, 25, 25, 12, , 4
2020/10/12, 85, 26, 22, 12, , 1
2020/10/13, 41, 39, 28, 16, 1, 2
2020/10/14, 55, 35, 16, 15, 2, 4
2020/10/15, 41, 58, 15, 23, 1, 7
2020/10/16, 112, 23, 26, 14, , 3
2020/10/17, 58, 48, 24, 20, 1, 3
2020/10/18, 63, 62, 25, 26, 2, 6
2020/10/19, 96, 70, 25, 29, 1, 9
2020/10/20, 136, 96, 14, 41, 1, 10
2020/10/21, 191, 107, 25, 13, , 3
2020/10/22, 107, 52, 25, 11, , 2
2020/10/23, 48, 29, 27, 12, , 2
2020/10/24, 39, 59, 25, 22, 2, 5
2020/10/25, 92, 97, 23, 39, 3, 9
2020/10/26, 168, 93, 30, 32, 2, 8
2020/10/27, 160, 43, 24, 11, 1, 2
2020/10/28, 36, 49, 20, 22, 1, 3
2020/10/29, 64, 70, 15, 30, 1, 6
2020/10/30, 114, 65, 27, 26, 1, 6
2020/10/31, 142, 149, 21, 27, , 5
2020/11/1, 163, 57, 24, 10, , 2
2020/11/2, 58, 46, 23, 10, , 2
2020/11/3, 35, 34, 19, 16, , 2
2020/11/4, 49, 72, 6, 33, 2, 7
2020/11/5, 121, 99, 9, 46, 2, 12
2020/11/6, 176, 98, 25, 35, , 9
2020/11/7, 152, 97, 26, 12, 1, 5
2020/11/8, 90, 36, 20, 13, 1, 3
2020/11/9, 50, 50, 16, 24, 1, 5
2020/11/10, 77, 65, 13, 29, 2, 8
2020/11/11, 115, 115, 4, 54, 4, 14
2020/11/12, 193, 86, 22, 35, 2, 10
2020/11/13, 144, 45, 18, 21, 2, 5
2020/11/14, 67, 74, 2, 33, 1, 9
2020/11/15, 133, 79, 11, 33, 2, 13
2020/11/16, 170, 88, 9, 36, 4, 16
2020/11/17, 179, 93, 5, 23, 1, 17
2020/11/18, 182, , 16, 15, , 11
2020/11/19, 111, 16, 20, 7, , 3
2020/11/20, 41, 20, 23, 10, , 2
2020/11/21, 41, 58, 20, 21, , 5
2020/11/22, 93, 15, 21, 5, , 2
2020/11/23, 43, 29, 18, 13, 2, 3
2020/11/24, 55, 42, 11, 24, 2, 4
2020/11/25, 94, 39, 24, 19, 1, 4
2020/11/26, 81, 37, 13, 23, 1, 6
2020/11/27, 65, 30, 24, 10, 1, 5
2020/11/28, 61, 25, 21, 11, , 1
2020/11/29, 51, 33, 21, 15, 2, 3
2020/11/30, 64, 32, 19, 14, 1, 2
2020/12/1, 67, 41, 14, 20, 1, 3
2020/12/2, 85, 37, 24, 14, 2, 3
2020/12/3, 70, 20, 25, 9, 1, 2
2020/12/4, 42, 18, 24, 9, 2, 2
2020/12/5, 40, 36, 17, 22, 3, 4
2020/12/6, 79, 53, 23, 20, 2, 5
2020/12/7, 110, 28, 22, 7, 1, 2
2020/12/8, 40, 37, 14, 21, 3, 5
2020/12/9, 75, 74, 4, 32, 2, 9
2020/12/10, 137, 78, 5, 37, 2, 12
2020/12/11, 154, 54, 14, 27, 2, 6
2020/12/12, 99, 78, 21, 29, 2, 13
2020/12/13, 157, 29, 23, 4, 1, 2
2020/12/14, 43, 26, 20, 9, 1, 3
2020/12/15, 47, 39, 11, 19, 1, 3
2020/12/16, 60, 40, 17, 16, 2, 3
2020/12/17, 73, 62, 4, 30, 2, 8
2020/12/18, 117, 27, 25, 9, 2, 2
2020/12/19, 47, 45, 10, 26, 2, 4
2020/12/20, 83, 43, 23, 22, 3, 5
2020/12/21, 86, 47, 13, 30, 2, 6
2020/12/22, 100, 66, 7, 35, 2, 8
2020/12/23, 135, 95, 28, 16, 3, 5
2020/12/24, 111, 55, 25, 13, 1, 2
2020/12/25, 70, 74, 10, 31, 3, 7
2020/12/26, 113, 80, 4, 30, 5, 12
2020/12/27, 139, 77, 9, 29, 3, 13
2020/12/28, 156, 69, 26, 17, 4, 8
2020/12/29, 136, 51, 24, 4, , 2
2020/12/30, 39, 32, 24, 6, , 2
2020/12/31, 30, 33, 20, 13, 1, 2
2021/1/1, 47, 58, 7, 28, 2, 4
2021/1/2, 89, 63, 15, 23, 3, 11
2021/1/3, 140, 32, 16, 18, 1, 2
2021/1/4, 58, 40, 27, 15, 1, 4
2020/7/2, 86, 38, 83, 6, 1, 7
2020/7/3, 93, 40, 54, 7, , 9
2020/7/4, 131, 42, 87, 8, 1, 5
2020/7/5, 118, 33, 82, 11, , 4
2020/7/6, 77, 30, 97, 7, 1, 4
2020/7/7, 65, 28, 91, 8, 1, 3
2020/7/8, 57, 46, 100, 10, 2, 6
2020/7/9, 105, 40, 44, 7, 1, 6
2020/7/10, 98, 51, 47, 9, , 7
2020/7/11, 137, , 37, 12, , 10
2020/7/12, 169, 77, 72, 13, 1, 11
2020/7/13, 172, 44, 67, 10, , 9
2020/7/14, 132, 44, 77, 10, , 6
2020/7/15, 102, 45, 84, 10, , 5
2020/7/16, 110, 55, 98, 9, , 6
2020/7/17, 129, 53, 64, 8, , 5
2020/7/18, 129, 41, 46, 7, , 6
2020/7/19, 120, 35, 49, 10, , 5
2020/7/20, 92, 59, 116, 15, 1, 7
2020/7/21, 116, 55, 87, 10, , 5
2020/7/22, 100, 52, 107, 13, 2, 7
2020/7/23, 118, 48, 95, 16, 1, 6
2020/7/24, 101, 38, 96, 12, , 4
2020/7/25, 81, 57, 98, 20, , 5
2020/7/26, 86, 32, 50, 7, , 4
2020/7/27, 80, , 42, 10, , 8
2020/7/28, 150, 21, 63, 12, , 10
2020/7/29, 151, 54, 93, 10, , 8
2020/7/30, 151, 47, 83, 11, 1, 7
2020/7/31, 144, 54, 81, 12, , 7
2020/8/1, 120, 40, 62, 13, , 7
2020/8/2, 111, 35, 86, 10, , 4
2020/8/3, 64, 37, 91, 10, , 4
2020/8/4, 68, 46, 79, 14, 1, 4
2020/8/5, 72, 59, 37, 16, , 7
2020/8/6, 109, 46, 78, 12, 1, 7
2020/8/7, 106, 34, 73, 9, 1, 6
2020/8/8, 74, 38, 81, 9, , 5
2020/8/9, 74, 38, 87, 7, , 4
2020/8/10, 70, 28, 75, 7, , 3
2020/8/11, 59, 53, 106, 9, , 5
2020/8/12, 102, 41, 47, 11, , 6
2020/8/13, 100, 24, 53, 6, , 6
2020/8/14, 53, 47, 90, 10, , 6
2020/8/15, 96, 51, 44, 11, , 6
2020/8/16, 109, 44, 35, 11, , 6
2020/8/17, 115, 43, 34, 11, , 7
2020/8/18, 125, 23, 27, 12, 1, 6
2020/8/19, 90, 23, 23, 11, , 3
2020/8/20, 41, 30, 31, 11, , 5
2020/8/21, 72, 42, 64, 11, , 5
2020/8/22, 77, 55, 69, 12, , 5
2020/8/23, 112, 61, 71, 11, , 7
2020/8/24, 141, 20, 47, 5, , 3
2020/8/25, 42, 47, 97, 16, , 4
2020/8/26, 71, 65, 78, 19, 4, 15
2020/8/27, 137, 50, 50, 14, 1, 9
2020/8/28, 112, 37, 73, 9, , 4
2020/8/29, 62, 66, 73, 16, , 8
2020/8/30, 142, 53, 72, 10, , 9
2020/8/31, 135, 31, 21, 11, , 4
2020/9/1, 57, 28, 37, 11, , 4
2020/9/2, 52, 30, 31, 9, , 3
2020/9/3, 54, 19, 25, 8, , 3
2020/9/4, 32, 38, 42, 15, , 4
2020/9/5, 58, 52, 75, 15, 1, 4
2020/9/6, 84, 74, 115, 18, 2, 10
2020/9/7, 154, 28, 44, 9, 1, 4
2020/9/8, 64, 18, 28, 12, , 2
2020/9/9, 33, 22, 33, 13, 1, 3
2020/9/10, 37, 20, 20, 10, , 2
2020/9/11, 30, 14, 17, 8, , 4
2020/9/12, 27, 21, 33, 8, , 4
2020/9/13, 46, 38, 48, 13, , 5
2020/9/14, 78, 49, 41, 10, , 5
2020/9/15, 130, 22, 31, 11, , 7
2020/9/16, 101, 18, 21, 6, , 2
2020/9/17, 29, 20, 27, 11, , 3
