Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Oklahoma,03/15/2021,51480,51480
Texas,03/15/2021,353340,353340
Iowa,03/15/2021,42120,42120
Kansas,03/15/2021,38610,38610
Missouri,03/15/2021,80730,80730
Nebraska,03/15/2021,25740,25740
Colorado,03/15/2021,73710,73710
Montana,03/15/2021,14040,14040
North Dakota,03/15/2021,10530,10530
South Dakota,03/15/2021,11700,11700
Utah,03/15/2021,37440,37440
Wyoming,03/15/2021,8190,8190
Arizona,03/15/2021,92430,92430
California,03/15/2021,515970,515970
Hawaii,03/15/2021,19890,19890
Nevada,03/15/2021,38610,38610
American Samoa,03/15/2021,0,0
Guam,03/15/2021,0,0
Marshall Islands,03/15/2021,0,0
Micronesia,03/15/2021,0,0
Mariana Islands,03/15/2021,0,0
Palau,03/15/2021,0,0
Alaska,03/15/2021,0,0
Idaho,03/15/2021,22230,22230
Oregon,03/15/2021,56160,56160
Washington,03/15/2021,98280,98280
Federal Entities,03/15/2021,182520,182520
Connecticut,03/08/2021,45630,45630
Maine,03/08/2021,17550,17550
Massachusetts,03/08/2021,87750,87750
New Hampshire,03/08/2021,17550,17550
Rhode Island,03/08/2021,14040,14040
Vermont,03/08/2021,8190,8190
New Jersey,03/08/2021,111150,111150
New York,03/08/2021,140400,140400
New York City,03/08/2021,106470,106470
Puerto Rico,03/08/2021,43290,43290
U.S. Virgin Islands,03/08/2021,2340,2340
Delaware,03/08/2021,12870,12870
District of Columbia,03/08/2021,9360,9360
Maryland,03/08/2021,74880,74880
Pennsylvania,03/08/2021,141570,141570
Philadelphia,03/08/2021,19890,19890
Virginia,03/08/2021,105300,105300
West Virginia,03/08/2021,23400,23400
Alabama,03/08/2021,60840,60840
Florida,03/08/2021,262080,262080
Georgia,03/08/2021,125190,125190
Kentucky,03/08/2021,54990,54990
Mississippi,03/08/2021,36270,36270
North Carolina,03/08/2021,126360,126360
South Carolina,03/08/2021,62010,62010
Tennessee,03/08/2021,83070,83070
Chicago,03/08/2021,33930,33930
Illinois,03/08/2021,125190,125190
Indiana,03/08/2021,80730,80730
Michigan,03/08/2021,124020,124020
Minnesota,03/08/2021,67860,67860
Ohio,03/08/2021,143910,143910
Wisconsin,03/08/2021,72540,72540
Arkansas,03/08/2021,37440,37440
Louisiana,03/08/2021,57330,57330
New Mexico,03/08/2021,25740,25740
Oklahoma,03/08/2021,47970,47970
Texas,03/08/2021,328770,328770
Iowa,03/08/2021,38610,38610
Kansas,03/08/2021,35100,35100
Missouri,03/08/2021,76050,76050
Nebraska,03/08/2021,23400,23400
Colorado,03/08/2021,69030,69030
Montana,03/08/2021,14040,14040
North Dakota,03/08/2021,10530,10530
South Dakota,03/08/2021,10530,10530
Utah,03/08/2021,35100,35100
Wyoming,03/08/2021,8190,8190
Arizona,03/08/2021,85410,85410
California,03/08/2021,479700,479700
Hawaii,03/08/2021,18720,18720
Nevada,03/08/2021,36270,36270
American Samoa,03/08/2021,0,0
Guam,03/08/2021,0,0
Marshall Islands,03/08/2021,0,0
Micronesia,03/08/2021,0,0
Mariana Islands,03/08/2021,0,0
Palau,03/08/2021,0,0
Alaska,03/08/2021,0,0
Idaho,03/08/2021,19890,19890
Oregon,03/08/2021,51480,51480
Washington,03/08/2021,91260,91260
Federal Entities,03/08/2021,230490,221130
Alabama,03/01/2021,54990,54990
Alaska,03/01/2021,53820,53820
American Samoa,03/01/2021,9360,0
Arizona,03/01/2021,78390,78390
Arkansas,03/01/2021,33930,33930
California,03/01/2021,438750,438750
Chicago,03/01/2021,31590,31590
Colorado,03/01/2021,63180,63180
Connecticut,03/01/2021,42120,42120
Delaware,03/01/2021,11700,11700
District of Columbia,03/01/2021,9360,9360
Federal Entities,03/01/2021,209430,190710
Florida,03/01/2021,239850,239850
Georgia,03/01/2021,114660,114660
Guam,03/01/2021,21060,0
Hawaii,03/01/2021,16380,16380
Idaho,03/01/2021,18720,18720
Illinois,03/01/2021,114660,114660
Indiana,03/01/2021,74880,74880
Iowa,03/01/2021,35100,35100
Kansas,03/01/2021,32760,32760
Kentucky,03/01/2021,50310,50310
Louisiana,03/01/2021,52650,52650
Maine,03/01/2021,16380,16380
Mariana Islands,03/01/2021,9360,0
Marshall Islands,03/01/2021,0,0
Maryland,03/01/2021,69030,69030
Massachusetts,03/01/2021,79560,79560
Michigan,03/01/2021,113490,113490
Micronesia,03/01/2021,0,0
Minnesota,03/01/2021,62010,62010
Mississippi,03/01/2021,33930,33930
Missouri,03/01/2021,69030,69030
Montana,03/01/2021,12870,12870
Nebraska,03/01/2021,22230,22230
Nevada,03/01/2021,33930,33930
New Hampshire,03/01/2021,16380,16380
New Jersey,03/01/2021,101790,101790
New Mexico,03/01/2021,24570,24570
New York,03/01/2021,128700,128700
New York City,03/01/2021,98280,98280
North Carolina,03/01/2021,115830,115830
North Dakota,03/01/2021,9360,9360
Ohio,03/01/2021,132210,132210
Oklahoma,03/01/2021,43290,43290
Oregon,03/01/2021,47970,47970
Palau,03/01/2021,0,0
Pennsylvania,03/01/2021,129870,129870
Philadelphia,03/01/2021,18720,18720
Puerto Rico,03/01/2021,39780,39780
Rhode Island,03/01/2021,12870,12870
South Carolina,03/01/2021,57330,57330
South Dakota,03/01/2021,10530,10530
Tennessee,03/01/2021,76050,76050
Texas,03/01/2021,300690,300690
U.S. Virgin Islands,03/01/2021,2340,2340
Utah,03/01/2021,31590,31590
Vermont,03/01/2021,8190,8190
Virginia,03/01/2021,95940,95940
Washington,03/01/2021,84240,84240
West Virginia,03/01/2021,22230,22230
Wisconsin,03/01/2021,66690,66690
Wyoming,03/01/2021,7020,7020
Alabama,02/22/2021,47970,47970
Alaska,02/22/2021,0,0
American Samoa,02/22/2021,0,0
Arizona,02/22/2021,69030,69030
Arkansas,02/22/2021,29250,29250
California,02/22/2021,382590,382590
Chicago,02/22/2021,26910,26910
Colorado,02/22/2021,54990,54990
Connecticut,02/22/2021,36270,36270
Delaware,02/22/2021,10530,10530
District of Columbia,02/22/2021,8190,8190
Federal Entities,02/22/2021,166140,166140
Florida,02/22/2021,209430,209430
Georgia,02/22/2021,99450,99450
Guam,02/22/2021,0,0
Hawaii,02/22/2021,15210,15210
Idaho,02/22/2021,16380,16380
Illinois,02/22/2021,99450,99450
Indiana,02/22/2021,64350,64350
Iowa,02/22/2021,31590,31590
Kansas,02/22/2021,28080,28080
Kentucky,02/22/2021,44460,44460
Louisiana,02/22/2021,45630,45630
Maine,02/22/2021,14040,14040
Mariana Islands,02/22/2021,0,0
Marshall Islands,02/22/2021,0,0
Maryland,02/22/2021,59670,59670
Massachusetts,02/22/2021,70200,70200
Michigan,02/22/2021,99450,99450
Micronesia,02/22/2021,0,0
Minnesota,02/22/2021,54990,54990
Mississippi,02/22/2021,29250,29250
Missouri,02/22/2021,60840,60840
Montana,02/22/2021,10530,10530
Nebraska,02/22/2021,18720,18720
Nevada,02/22/2021,29250,29250
New Hampshire,02/22/2021,14040,14040
New Jersey,02/22/2021,88920,88920
New Mexico,02/22/2021,21060,21060
New York,02/22/2021,112320,112320
New York City,02/22/2021,85410,85410
North Carolina,02/22/2021,100620,100620
North Dakota,02/22/2021,8190,8190
Ohio,02/22/2021,115830,115830
Oklahoma,02/22/2021,38610,38610
Oregon,02/22/2021,42120,42120
Palau,02/22/2021,0,0
Pennsylvania,02/22/2021,113490,113490
Philadelphia,02/22/2021,16380,16380
Puerto Rico,02/22/2021,35100,35100
Rhode Island,02/22/2021,11700,11700
South Carolina,02/22/2021,49140,49140
South Dakota,02/22/2021,9360,9360
Tennessee,02/22/2021,65520,65520
Texas,02/22/2021,262080,262080
U.S. Virgin Islands,02/22/2021,1170,1170
Utah,02/22/2021,28080,28080
Vermont,02/22/2021,7020,7020
Virginia,02/22/2021,84240,84240
Washington,02/22/2021,73710,73710
West Virginia,02/22/2021,18720,18720
Wisconsin,02/22/2021,58500,58500
Wyoming,02/22/2021,5850,5850
Alabama,02/15/2021,30225,30225
Alaska,02/15/2021,0,0
American Samoa,02/15/2021,0,0
Arizona,02/15/2021,42900,42900
Arkansas,02/15/2021,18525,18525
California,02/15/2021,241800,241800
Chicago,02/15/2021,17550,17550
Colorado,02/15/2021,35100,35100
Connecticut,02/15/2021,23400,23400
Delaware,02/15/2021,6825,6825
District of Columbia,02/15/2021,4875,4875
Federal Entities,02/15/2021,105300,105300
Florida,02/15/2021,132600,132600
Georgia,02/15/2021,63375,63375
Guam,02/15/2021,0,0
Hawaii,02/15/2021,9750,9750
Idaho,02/15/2021,10725,10725
Illinois,02/15/2021,63375,63375
Indiana,02/15/2021,40950,40950
Iowa,02/15/2021,19500,19500
Kansas,02/15/2021,18525,18525
Kentucky,02/15/2021,28275,28275
Louisiana,02/15/2021,29250,29250
Maine,02/15/2021,8775,8775
Mariana Islands,02/15/2021,0,0
Marshall Islands,02/15/2021,0,0
Maryland,02/15/2021,38025,38025
Massachusetts,02/15/2021,43875,43875
Michigan,02/15/2021,62400,62400
Micronesia,02/15/2021,0,0
Minnesota,02/15/2021,34125,34125
Mississippi,02/15/2021,18525,18525
Missouri,02/15/2021,38025,38025
Montana,02/15/2021,6825,6825
Nebraska,02/15/2021,11700,11700
Nevada,02/15/2021,18525,18525
New Hampshire,02/15/2021,8775,8775
New Jersey,02/15/2021,55575,55575
New Mexico,02/15/2021,13650,13650
New York,02/15/2021,71175,71175
New York City,02/15/2021,53625,53625
North Carolina,02/15/2021,63375,63375
North Dakota,02/15/2021,4875,4875
Ohio,02/15/2021,73125,73125
Oklahoma,02/15/2021,24375,24375
Oregon,02/15/2021,26325,26325
Palau,02/15/2021,0,0
Pennsylvania,02/15/2021,71175,71175
Philadelphia,02/15/2021,10725,10725
Puerto Rico,02/15/2021,22425,22425
Rhode Island,02/15/2021,6825,6825
South Carolina,02/15/2021,31200,31200
South Dakota,02/15/2021,5850,5850
Tennessee,02/15/2021,41925,41925
Texas,02/15/2021,165750,165750
U.S. Virgin Islands,02/15/2021,975,975
Utah,02/15/2021,17550,17550
Vermont,02/15/2021,4875,4875
Virginia,02/15/2021,52650,52650
Washington,02/15/2021,46800,46800
West Virginia,02/15/2021,11700,11700
Wisconsin,02/15/2021,37050,37050
Wyoming,02/15/2021,3900,3900
Alabama,02/08/2021,30225,30225
Alaska,02/08/2021,0,0
American Samoa,02/08/2021,0,0
Arizona,02/08/2021,42900,42900
Arkansas,02/08/2021,18525,18525
California,02/08/2021,241800,241800
Chicago,02/08/2021,17550,17550
Colorado,02/08/2021,35100,35100
Connecticut,02/08/2021,23400,23400
Delaware,02/08/2021,6825,6825
District of Columbia,02/08/2021,4875,4875
Federal Entities,02/08/2021,105300,105300
Florida,02/08/2021,132600,132600
Georgia,02/08/2021,63375,63375
Guam,02/08/2021,0,0
Hawaii,02/08/2021,9750,9750
Idaho,02/08/2021,10725,10725
Illinois,02/08/2021,63375,63375
Indiana,02/08/2021,40950,40950
Iowa,02/08/2021,19500,19500
Kansas,02/08/2021,18525,18525
Kentucky,02/08/2021,28275,28275
Louisiana,02/08/2021,29250,29250
Maine,02/08/2021,8775,8775
Mariana Islands,02/08/2021,0,0
Marshall Islands,02/08/2021,0,0
Maryland,02/08/2021,38025,38025
Massachusetts,02/08/2021,43875,43875
Michigan,02/08/2021,62400,62400
Micronesia,02/08/2021,0,0
Minnesota,02/08/2021,34125,34125
Mississippi,02/08/2021,18525,18525
Missouri,02/08/2021,38025,38025
Montana,02/08/2021,6825,6825
Nebraska,02/08/2021,11700,11700
Nevada,02/08/2021,18525,18525
New Hampshire,02/08/2021,8775,8775
New Jersey,02/08/2021,55575,55575
New Mexico,02/08/2021,13650,13650
New York,02/08/2021,71175,71175
New York City,02/08/2021,53625,53625
North Carolina,02/08/2021,63375,63375
North Dakota,02/08/2021,4875,4875
Ohio,02/08/2021,73125,73125
Oklahoma,02/08/2021,24375,24375
Oregon,02/08/2021,26325,26325
Palau,02/08/2021,0,0
Pennsylvania,02/08/2021,71175,71175
Philadelphia,02/08/2021,10725,10725
Puerto Rico,02/08/2021,22425,22425
Rhode Island,02/08/2021,6825,6825
South Carolina,02/08/2021,31200,31200
South Dakota,02/08/2021,5850,5850
Tennessee,02/08/2021,41925,41925
Texas,02/08/2021,165750,165750
U.S. Virgin Islands,02/08/2021,975,975
Utah,02/08/2021,17550,17550
Vermont,02/08/2021,4875,4875
Virginia,02/08/2021,52650,52650
Washington,02/08/2021,46800,46800
West Virginia,02/08/2021,11700,11700
Wisconsin,02/08/2021,37050,37050
Wyoming,02/08/2021,3900,3900
Alabama,02/01/2021,30225,30225
Alaska,02/01/2021,27300,27300
American Samoa,02/01/2021,7800,0
Arizona,02/01/2021,42900,42900
Arkansas,02/01/2021,18525,18525
California,02/01/2021,240825,240825
Chicago,02/01/2021,17550,17550
Colorado,02/01/2021,34125,34125
Connecticut,02/01/2021,23400,23400
Delaware,02/01/2021,6825,6825
District of Columbia,02/01/2021,4875,4875
Federal Entities,02/01/2021,119925,104325
Florida,02/01/2021,131625,131625
Georgia,02/01/2021,62400,62400
Guam,02/01/2021,7800,0
Hawaii,02/01/2021,9750,9750
Idaho,02/01/2021,10725,10725
Illinois,02/01/2021,62400,62400
Indiana,02/01/2021,40950,40950
Iowa,02/01/2021,19500,19500
Kansas,02/01/2021,17550,17550
Kentucky,02/01/2021,28275,28275
Louisiana,02/01/2021,29250,29250
Maine,02/01/2021,8775,8775
Mariana Islands,02/01/2021,7800,0
Marshall Islands,02/01/2021,0,0
Maryland,02/01/2021,38025,38025
Massachusetts,02/01/2021,43875,43875
Michigan,02/01/2021,62400,62400
Micronesia,02/01/2021,0,0
Minnesota,02/01/2021,34125,34125
Mississippi,02/01/2021,18525,18525
Missouri,02/01/2021,38025,38025
Montana,02/01/2021,6825,6825
Nebraska,02/01/2021,11700,11700
Nevada,02/01/2021,18525,18525
New Hampshire,02/01/2021,8775,8775
New Jersey,02/01/2021,55575,55575
New Mexico,02/01/2021,13650,13650
New York,02/01/2021,70200,70200
New York City,02/01/2021,53625,53625
North Carolina,02/01/2021,63375,63375
North Dakota,02/01/2021,4875,4875
Ohio,02/01/2021,72150,72150
Oklahoma,02/01/2021,24375,24375
Oregon,02/01/2021,26325,26325
Palau,02/01/2021,0,0
Pennsylvania,02/01/2021,71175,71175
Philadelphia,02/01/2021,10725,10725
Puerto Rico,02/01/2021,22425,22425
Rhode Island,02/01/2021,6825,6825
South Carolina,02/01/2021,31200,31200
South Dakota,02/01/2021,5850,5850
Tennessee,02/01/2021,41925,41925
Texas,02/01/2021,164775,164775
U.S. Virgin Islands,02/01/2021,975,975
Utah,02/01/2021,17550,17550
Vermont,02/01/2021,4875,4875
Virginia,02/01/2021,52650,52650
Washington,02/01/2021,45825,45825
West Virginia,02/01/2021,11700,11700
Wisconsin,02/01/2021,36075,36075
Wyoming,02/01/2021,3900,3900
Alabama,01/25/2021,30225,30225
Alaska,01/25/2021,0,0
American Samoa,01/25/2021,0,0
Arizona,01/25/2021,42900,42900
Arkansas,01/25/2021,18525,18525
California,01/25/2021,241800,241800
Chicago,01/25/2021,17550,17550
Colorado,01/25/2021,35100,35100
Connecticut,01/25/2021,23400,23400
Delaware,01/25/2021,6825,6825
District of Columbia,01/25/2021,4875,4875
Federal Entities,01/25/2021,105300,105300
Florida,01/25/2021,132600,132600
Georgia,01/25/2021,63375,63375
Guam,01/25/2021,0,0
Hawaii,01/25/2021,9750,9750
Idaho,01/25/2021,10725,10725
Illinois,01/25/2021,63375,63375
Indiana,01/25/2021,40950,40950
Iowa,01/25/2021,19500,19500
Kansas,01/25/2021,18525,18525
Kentucky,01/25/2021,28275,28275
Louisiana,01/25/2021,29250,29250
Maine,01/25/2021,8775,8775
Mariana Islands,01/25/2021,0,0
Marshall Islands,01/25/2021,0,0
Maryland,01/25/2021,38025,38025
Massachusetts,01/25/2021,43875,43875
Michigan,01/25/2021,62400,62400
Micronesia,01/25/2021,0,0
Minnesota,01/25/2021,34125,34125
Mississippi,01/25/2021,18525,18525
Missouri,01/25/2021,38025,38025
Montana,01/25/2021,6825,6825
Nebraska,01/25/2021,11700,11700
Nevada,01/25/2021,18525,18525
New Hampshire,01/25/2021,8775,8775
New Jersey,01/25/2021,55575,55575
New Mexico,01/25/2021,13650,13650
New York,01/25/2021,71175,71175
New York City,01/25/2021,53625,53625
North Carolina,01/25/2021,63375,63375
North Dakota,01/25/2021,4875,4875
Ohio,01/25/2021,73125,73125
Oklahoma,01/25/2021,24375,24375
Oregon,01/25/2021,26325,26325
Palau,01/25/2021,0,0
Pennsylvania,01/25/2021,71175,71175
Philadelphia,01/25/2021,10725,10725
Puerto Rico,01/25/2021,22425,22425
Rhode Island,01/25/2021,6825,6825
South Carolina,01/25/2021,31200,31200
South Dakota,01/25/2021,5850,5850
Tennessee,01/25/2021,41925,41925
Texas,01/25/2021,165750,165750
U.S. Virgin Islands,01/25/2021,975,975
Utah,01/25/2021,17550,17550
Vermont,01/25/2021,4875,4875
Virginia,01/25/2021,52650,52650
Washington,01/25/2021,46800,46800
West Virginia,01/25/2021,11700,11700
Wisconsin,01/25/2021,37050,37050
Wyoming,01/25/2021,3900,3900
Alabama,01/18/2021,30225,30225
Alaska,01/18/2021,0,0
American Samoa,01/18/2021,0,0
Arizona,01/18/2021,42900,42900
Arkansas,01/18/2021,18525,18525
California,01/18/2021,241800,241800
Chicago,01/18/2021,17550,17550
Colorado,01/18/2021,35100,35100
Connecticut,01/18/2021,23400,23400
Delaware,01/18/2021,6825,6825
District of Columbia,01/18/2021,4875,4875
Federal Entities,01/18/2021,105300,105300
Florida,01/18/2021,132600,132600
Georgia,01/18/2021,63375,63375
Guam,01/18/2021,0,0
Hawaii,01/18/2021,9750,9750
Idaho,01/18/2021,10725,10725
Illinois,01/18/2021,63375,63375
Indiana,01/18/2021,40950,40950
Iowa,01/18/2021,19500,19500
Kansas,01/18/2021,18525,18525
Kentucky,01/18/2021,28275,28275
Louisiana,01/18/2021,29250,29250
Maine,01/18/2021,8775,8775
Mariana Islands,01/18/2021,0,0
Marshall Islands,01/18/2021,0,0
Maryland,01/18/2021,38025,38025
Massachusetts,01/18/2021,43875,43875
Michigan,01/18/2021,62400,62400
Micronesia,01/18/2021,0,0
Minnesota,01/18/2021,34125,34125
Mississippi,01/18/2021,18525,18525
Missouri,01/18/2021,38025,38025
Montana,01/18/2021,6825,6825
Nebraska,01/18/2021,11700,11700
Nevada,01/18/2021,18525,18525
New Hampshire,01/18/2021,8775,8775
New Jersey,01/18/2021,55575,55575
New Mexico,01/18/2021,13650,13650
New York,01/18/2021,71175,71175
New York City,01/18/2021,53625,53625
North Carolina,01/18/2021,63375,63375
North Dakota,01/18/2021,4875,4875
Ohio,01/18/2021,73125,73125
Oklahoma,01/18/2021,24375,24375
Oregon,01/18/2021,26325,26325
Palau,01/18/2021,0,0
Pennsylvania,01/18/2021,71175,71175
Philadelphia,01/18/2021,10725,10725
Puerto Rico,01/18/2021,22425,22425
Rhode Island,01/18/2021,6825,6825
South Carolina,01/18/2021,31200,31200
South Dakota,01/18/2021,5850,5850
Tennessee,01/18/2021,41925,41925
Texas,01/18/2021,165750,165750
U.S. Virgin Islands,01/18/2021,975,975
Utah,01/18/2021,17550,17550
Vermont,01/18/2021,4875,4875
Virginia,01/18/2021,52650,52650
Washington,01/18/2021,46800,46800
West Virginia,01/18/2021,11700,11700
Wisconsin,01/18/2021,37050,37050
Wyoming,01/18/2021,3900,3900
Alabama,01/11/2021,29250,29250
Alaska,01/11/2021,0,0
American Samoa,01/11/2021,0,0
Arizona,01/11/2021,41925,41925
Arkansas,01/11/2021,18525,18525
California,01/11/2021,233025,233025
Chicago,01/11/2021,16575,16575
Colorado,01/11/2021,33150,33150
Connecticut,01/11/2021,22425,22425
Delaware,01/11/2021,5850,5850
District of Columbia,01/11/2021,4875,4875
Federal Entities,01/11/2021,102375,102375
Florida,01/11/2021,127725,127725
Georgia,01/11/2021,60450,60450
Guam,01/11/2021,0,0
Hawaii,01/11/2021,8775,8775
Idaho,01/11/2021,9750,9750
Illinois,01/11/2021,60450,60450
Indiana,01/11/2021,39975,39975
Iowa,01/11/2021,19500,19500
Kansas,01/11/2021,17550,17550
Kentucky,01/11/2021,27300,27300
Louisiana,01/11/2021,28275,28275
Maine,01/11/2021,8775,8775
Mariana Islands,01/11/2021,0,0
Marshall Islands,01/11/2021,0,0
Maryland,01/11/2021,36075,36075
Massachusetts,01/11/2021,42900,42900
Michigan,01/11/2021,60450,60450
Micronesia,01/11/2021,0,0
Minnesota,01/11/2021,33150,33150
Mississippi,01/11/2021,17550,17550
Missouri,01/11/2021,37050,37050
Montana,01/11/2021,6825,6825
Nebraska,01/11/2021,11700,11700
Nevada,01/11/2021,17550,17550
New Hampshire,01/11/2021,8775,8775
New Jersey,01/11/2021,53625,53625
New Mexico,01/11/2021,12675,12675
New York,01/11/2021,68250,68250
New York City,01/11/2021,51675,51675
North Carolina,01/11/2021,61425,61425
North Dakota,01/11/2021,4875,4875
Ohio,01/11/2021,70200,70200
Oklahoma,01/11/2021,23400,23400
Oregon,01/11/2021,25350,25350
Palau,01/11/2021,0,0
Pennsylvania,01/11/2021,69225,69225
Philadelphia,01/11/2021,9750,9750
Puerto Rico,01/11/2021,21450,21450
Rhode Island,01/11/2021,6825,6825
South Carolina,01/11/2021,30225,30225
South Dakota,01/11/2021,5850,5850
Tennessee,01/11/2021,39975,39975
Texas,01/11/2021,159900,159900
U.S. Virgin Islands,01/11/2021,975,975
Utah,01/11/2021,16575,16575
Vermont,01/11/2021,4875,4875
Virginia,01/11/2021,50700,50700
Washington,01/11/2021,57525,57525
West Virginia,01/11/2021,11700,11700
Wisconsin,01/11/2021,35100,35100
Wyoming,01/11/2021,3900,3900
Alabama,01/04/2021,29250,29250
Alaska,01/04/2021,27300,27300
American Samoa,01/04/2021,7800,0
Arizona,01/04/2021,41925,41925
Arkansas,01/04/2021,18525,18525
California,01/04/2021,232050,232050
Chicago,01/04/2021,16575,16575
Colorado,01/04/2021,33150,33150
Connecticut,01/04/2021,22425,22425
Delaware,01/04/2021,5850,5850
District of Columbia,01/04/2021,4875,4875
Federal Entities,01/04/2021,117000,101400
Florida,01/04/2021,126750,126750
Georgia,01/04/2021,60450,60450
Guam,01/04/2021,7800,0
Hawaii,01/04/2021,8775,8775
Idaho,01/04/2021,9750,9750
Illinois,01/04/2021,60450,60450
Indiana,01/04/2021,39000,39000
Iowa,01/04/2021,18525,18525
Kansas,01/04/2021,17550,17550
Kentucky,01/04/2021,27300,27300
Louisiana,01/04/2021,28275,28275
Maine,01/04/2021,8775,8775
Mariana Islands,01/04/2021,7800,0
Marshall Islands,01/04/2021,0,0
Maryland,01/04/2021,36075,36075
Massachusetts,01/04/2021,42900,42900
Michigan,01/04/2021,60450,60450
Micronesia,01/04/2021,0,0
Minnesota,01/04/2021,33150,33150
Mississippi,01/04/2021,17550,17550
Missouri,01/04/2021,37050,37050
Montana,01/04/2021,6825,6825
Nebraska,01/04/2021,11700,11700
Nevada,01/04/2021,17550,17550
New Hampshire,01/04/2021,8775,8775
New Jersey,01/04/2021,53625,53625
New Mexico,01/04/2021,12675,12675
New York,01/04/2021,68250,68250
New York City,01/04/2021,51675,51675
North Carolina,01/04/2021,61425,61425
North Dakota,01/04/2021,4875,4875
Ohio,01/04/2021,70200,70200
Oklahoma,01/04/2021,23400,23400
Oregon,01/04/2021,25350,25350
Palau,01/04/2021,0,0
Pennsylvania,01/04/2021,69225,69225
Philadelphia,01/04/2021,9750,9750
Puerto Rico,01/04/2021,21450,21450
Rhode Island,01/04/2021,6825,6825
South Carolina,01/04/2021,30225,30225
South Dakota,01/04/2021,5850,5850
Tennessee,01/04/2021,39975,39975
Texas,01/04/2021,158925,158925
U.S. Virgin Islands,01/04/2021,975,975
Utah,01/04/2021,16575,16575
Vermont,01/04/2021,3900,3900
Virginia,01/04/2021,50700,50700
Washington,01/04/2021,44850,44850
West Virginia,01/04/2021,11700,11700
Wisconsin,01/04/2021,35100,35100
Wyoming,01/04/2021,3900,3900
