id,name,serialNumber,ethnicity,gender,area,rank,created,updated,hired,image_url
0ef8fff3-844e-41b0-8e2a-a988e935ee0e,Josephine Williams,38769,Hispanic,Female,Risk Management and Legal Affairs Division,Detective I,2023-03-18,2023-03-18,2007-01-01,https://watchthewatchers.net/headshots/WILLIAMSJOSEPHINE-38769.jpg
2d4992ba-1ee0-4dc4-990b-904c3e3d0bde,Martin Williams,30271,Black,Male,Gang and Narcotics Division ,Detective II,2023-03-18,2023-03-18,1991-01-01,https://watchthewatchers.net/headshots/WILLIAMSMARTINL-30271.jpg
05d842b0-a711-46c1-afc0-477aef1b2a82,Matthew Williams,36359,White,Male,Metro Division,Police Officer III,2023-03-18,2023-03-18,2002-01-01,https://watchthewatchers.net/headshots/WILLIAMSMATTHEWO-36359.jpg
881b8dc7-4c20-496c-8573-d7094deddc03,Michael Williams,25684,Black,Male,Rampart Division,Sergeant I,2023-03-18,2023-03-18,1987-01-01,https://watchthewatchers.net/headshots/WILLIAMSMICHAEL-25684.jpg
670e4069-67b8-4be0-adb7-34b0ea97f87f,Nicholas Williams,36701,White,Male,Valley Bureau,Detective II,2023-03-18,2023-03-18,2002-01-01,https://watchthewatchers.net/headshots/WILLIAMSNICHOLASJ-36701.jpg
a6be9d18-fead-41b3-afb5-2516d9f2e581,Paul Williams,40932,White,Male,Rampart Division,Police Officer II,2023-03-18,2023-03-18,2011-01-01,https://watchthewatchers.net/headshots/WILLIAMSPAUL-40932.jpg
650deb0d-67d0-44db-ae4a-8dd9d333bee7,Rodney Williams,37102,Black,Male,Metro Division,Police Officer III,2023-03-18,2023-03-18,2003-01-01,https://watchthewatchers.net/headshots/WILLIAMSRODNEYJ-37102.jpg
0b9339cd-6a33-400e-a61d-18ef43e540f6,Ryan Williams,33520,Black,Male,77th,Detective II,2023-03-18,2023-03-18,1996-01-01,https://watchthewatchers.net/headshots/WILLIAMSRYANJ-33520.jpg
39ac676b-64ef-4e83-8404-245ffc2a2108,Samantha Williams,44614,White,Female,Devonshire Division,Police Officer II,2023-03-18,2023-03-18,2020-01-01,https://watchthewatchers.net/headshots/WILLIAMSSAMANTHAA-44614.jpg
e3031822-3be7-4f0d-a3df-ea34fcbb819a,Scot Williams,33646,White,Male,Critical Incident Review Division,Captain III,2023-03-18,2023-03-18,1996-01-01,https://watchthewatchers.net/headshots/WILLIAMSSCOTM-33646.jpg
333e7eb8-78bf-4cdd-ac4e-596cc29f2515,Sean Williams,42297,Black,Male,Foothill Division,Police Officer II,2023-03-18,2023-03-18,2015-01-01,https://watchthewatchers.net/headshots/WILLIAMSSEANL-42297.jpg
fc6cc7bb-fd11-4b8d-b6d4-d17510aee7c7,Sheldon Williams,27909,Black,Male,Devonshire Division,Police Officer II,2023-03-18,2023-03-18,1990-01-01,https://watchthewatchers.net/headshots/WILLIAMSSHELDONJ-27909.jpg
f9c9fd8e-380a-495f-bb93-c8b8d0745d22,Sparkle Williams,44694,Black,Female,Wilshire Division,Police Officer I,2023-03-18,2023-03-18,2021-01-01,https://watchthewatchers.net/headshots/WILLIAMSSPARKLEC-44694.jpg
da46070b-3781-4c08-b64b-cdf68f22298d,Mireya Williams,41142,Hispanic,Female,Hollenback Division,Police Officer III,2023-03-18,2023-03-18,2012-01-01,https://watchthewatchers.net/headshots/WILLIAMSMIREYA-41142.jpg
7f65a966-baec-4e0d-80d5-833c372665ed,Kenneth Williams,30458,White,Male,77th,Detective I,2023-03-18,2023-03-18,1993-01-01,https://watchthewatchers.net/headshots/WILLIAMSKENNETHR-30458.jpg
