Member of Congress,District ID,First Elected,cid,firstlastp,
Ralph Norman (R),SC05,2017,N00027783,Ralph Norman (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00027783
David Kustoff (R),TN08,2016,N00025445,David Kustoff (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00025445
Andy Biggs (R),AZ05,2016,N00039293,Andy Biggs (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039293
Matt Gaetz (R),FL01,2016,N00039503,Matt Gaetz (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039503
Neal Dunn (R),FL02,2016,N00037442,Neal Dunn (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00037442
John Rutherford (R),FL04,2016,N00039777,John Rutherford (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039777
Brian Mast (R),FL18,2016,N00037269,Brian Mast (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00037269
Jim Banks (R),IN03,2016,N00037185,Jim Banks (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00037185
Clay Higgins (R),LA03,2016,N00039953,Clay Higgins (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039953
Mike Johnson (R),LA04,2016,N00039106,Mike Johnson (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039106
John Bergman (R),MI01,2016,N00039533,John Bergman (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039533
Ted Budd (R),NC13,2016,N00039551,Ted Budd (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00039551
Warren Davidson (R),OH08,2016,N00038767,Warren Davidson (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00038767
Lloyd Smucker (R),PA11,2016,N00038781,Lloyd Smucker (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00038781
Jodey Arrington (R),TX19,2016,N00038285,Jodey Arrington (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00038285
Roger Marshall (R),KSS1,2016,N00037034,Roger Marshall (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00037034
John Kennedy (R),LAS2,2016,N00026823,John Kennedy (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00026823
Trent Kelly (R),MS01,2015,N00037003,Trent Kelly (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00037003
Jody Hice (R),GA10,2014,N00032243,Jody Hice (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00032243
Richard W Allen (R),GA12,2014,N00033720,Richard W Allen (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033720
David Rouzer (R),NC07,2014,N00033527,David Rouzer (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033527
Gary Palmer (R),AL06,2014,N00035691,Gary Palmer (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00035691
Buddy Carter (R),GA01,2014,N00035346,Buddy Carter (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00035346
Barry Loudermilk (R),GA11,2014,N00035347,Barry Loudermilk (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00035347
Mike Bost (R),IL12,2014,N00035420,Mike Bost (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00035420
Garret Graves (R),LA06,2014,N00036135,Garret Graves (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00036135
Elise Stefanik (R),NY21,2014,N00035523,Elise Stefanik (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00035523
Alex Mooney (R),WV02,2014,N00033814,Alex Mooney (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033814
Brian Babin (R),TX36,2014,N00005736,Brian Babin (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00005736
Lee Zeldin (R),NY01,2014,N00029404,Lee Zeldin (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00029404
Jason Smith (R),MO08,2013,N00035282,Jason Smith (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00035282
Jackie Walorski (R),IN02,2012,N00031226,Jackie Walorski (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00031226
Doug LaMalfa (R),CA01,2012,N00033987,Doug LaMalfa (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033987
Richard Hudson (R),NC08,2012,N00033630,Richard Hudson (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033630
Markwayne Mullin (R),OK02,2012,N00033410,Markwayne Mullin (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033410
Scott Perry (R),PA10,2012,N00034120,Scott Perry (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00034120
Tom Rice (R),SC07,2012,N00033832,Tom Rice (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033832
Randy Weber (R),TX14,2012,N00033539,Randy Weber (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033539
Roger Williams (R),TX25,2012,N00030602,Roger Williams (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030602
Chris Stewart (R),UT02,2012,N00033932,Chris Stewart (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033932
Ted Cruz (R),TXS2,2012,N00033085,Ted Cruz (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00033085
Mo Brooks (R),AL05,2010,N00030910,Mo Brooks (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030910
Rick Crawford (R),AR01,2010,N00030770,Rick Crawford (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030770
Paul Gosar (R),AZ04,2010,N00030771,Paul Gosar (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030771
Daniel Webster (R),FL11,2010,N00026335,Daniel Webster (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00026335
Vicky Hartzler (R),MO04,2010,N00031005,Vicky Hartzler (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00031005
Billy Long (R),MO07,2010,N00030676,Billy Long (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030676
Steven Palazzo (R),MS04,2010,N00031958,Steven Palazzo (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00031958
Bill Johnson (R),OH06,2010,N00032088,Bill Johnson (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00032088
Bob Gibbs (R),OH07,2010,N00031128,Bob Gibbs (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00031128
Mike Kelly (R),PA16,2010,N00031647,Mike Kelly (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00031647
Jeff Duncan (R),SC03,2010,N00030752,Jeff Duncan (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030752
Chuck Fleischmann (R),TN03,2010,N00030815,Chuck Fleischmann (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030815
Scott Desjarlais (R),TN04,2010,N00030957,Scott Desjarlais (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030957
Morgan Griffith (R),VA09,2010,N00032029,Morgan Griffith (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00032029
David Schweikert (R),AZ06,2010,N00006460,David Schweikert (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00006460
Andy Harris (R),MD01,2010,N00029147,Andy Harris (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00029147
Steve Scalise (R),LA01,2008,N00009660,Steve Scalise (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00009660
Bill Posey (R),FL08,2008,N00029662,Bill Posey (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00029662
Blaine Luetkemeyer (R),MO03,2008,N00030026,Blaine Luetkemeyer (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00030026
Glenn Thompson (R),PA15,2008,N00029736,Glenn Thompson (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00029736
Cynthia Lummis (R),WYS2,2008,N00029788,Cynthia Lummis (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00029788
Rob Wittman (R),VA01,2007,N00029459,Rob Wittman (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00029459
Tim Walberg (R),MI07,2006,N00026368,Tim Walberg (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00026368
Kevin McCarthy (R),CA23,2006,N00028152,Kevin McCarthy (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00028152
Douglas L Lamborn (R),CO05,2006,N00028133,Douglas L Lamborn (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00028133
Adrian Smith (R),NE03,2006,N00027623,Adrian Smith (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00027623
Jim Jordan (R),OH04,2006,N00027894,Jim Jordan (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00027894
Virginia Foxx (R),NC05,2004,N00026166,Virginia Foxx (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00026166
Louis B Gohmert Jr. (R),TX01,2004,N00026148,Louis B Gohmert Jr. (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00026148
Mike D Rogers (R),AL03,2002,N00024759,Mike D Rogers (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00024759
Mario Diaz-Balart (R),FL25,2002,N00025337,Mario Diaz-Balart (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00025337
Tom Cole (R),OK04,2002,N00025726,Tom Cole (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00025726
Michael Burgess (R),TX26,2002,N00025219,Michael Burgess (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00025219
John Carter (R),TX31,2002,N00025095,John Carter (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00025095
Devin Nunes (R),CA22,2002,N00007248,Devin Nunes (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00007248
Joe Wilson (R),SC02,2001,N00024809,Joe Wilson (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00024809
Darrell Issa (R),CA50,2000,N00007017,Darrell Issa (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00007017
Sam Graves (R),MO06,2000,N00013323,Sam Graves (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00013323
Pete Sessions (R),TX17,1996,N00005681,Pete Sessions (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00005681
Robert B Aderholt (R),AL04,1996,N00003028,Robert B Aderholt (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00003028
Frank D Lucas (R),OK03,1994,N00005559,Frank D Lucas (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00005559
Steve Chabot (R),OH01,1994,N00003689,Steve Chabot (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00003689
Ken Calvert (R),CA42,1992,N00007099,Ken Calvert (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00007099
Hal Rogers (R),KY05,1980,N00003473,Hal Rogers (R),https://www.opensecrets.org/members-of-congress/summary?cid=N00003473
