locationname,marketname,city,countrycode,address,zip,region,lat,lon,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall,geometry
Montana Avenue at Joe Battle Blvd.,"El Paso, TX (Las Cruces, NM)",El Paso,US,12240 Montana Ave,79938,TX,31.806832,-106.261458,Rene Hernandez,OPEN,America/Denver,https://www.chick-fil-a.com/montanaavenueatjoebattleblvd,12.0,5.0,2016.0,2016-05-12,interior,True,Stand Alone,False,POINT (-106.261458 31.806832)
Cielo Vista Mall,"El Paso, TX (Las Cruces, NM)",El Paso,US,8401 Gateway Blvd W Ste M05,79925,TX,31.7737223,-106.3810264,Anthony Martinez,OPEN,America/Denver,https://www.chick-fil-a.com/cielovistamall,4.0,11.0,1981.0,1981-11-04,none,False,Food Court,True,POINT (-106.3810264 31.7737223)
Airway & Edgemere,"El Paso, TX (Las Cruces, NM)",El Paso,US,1300A Airway Blvd,79925,TX,31.7852446,-106.3948997,Anthony Martinez,OPEN,America/Denver,https://www.chick-fil-a.com/airwayandedgemere,26.0,7.0,2018.0,2018-07-26,interior,True,Stand Alone,False,POINT (-106.3948997 31.7852446)
North Hills Crossing,"El Paso, TX (Las Cruces, NM)",El Paso,US,10721 Gateway South Blvd,79924,TX,,,Sergio Chavez,OPEN,America/Denver,https://www.chick-fil-a.com/northhillscrossing,4.0,8.0,2016.0,2016-08-04,interior,True,Stand Alone,False,POINT EMPTY
Mesa Street & Remcon Circle,"El Paso, TX (Las Cruces, NM)",El Paso,US,7597 N Mesa St,79912,TX,31.83818,-106.56679,Edgar Ortega,OPEN,America/Denver,https://www.chick-fil-a.com/mesastreetandremconcircle,5.0,6.0,2014.0,2014-06-05,interior,True,Stand Alone,False,POINT (-106.56679 31.83818)
Desert Blvd.,"El Paso, TX (Las Cruces, NM)",El Paso,US,6450 N Desert Blvd,79912,TX,31.8850361,-106.5810074,Edgar Ortega,OPEN,America/Denver,https://www.chick-fil-a.com/desertblvd,14.0,3.0,2019.0,2019-03-14,interior,True,Stand Alone,False,POINT (-106.5810074 31.8850361)
USC In-Line,"Los Angeles, CA",Los Angeles,US,3758 S Figueroa St,90007,CA,34.0166329,-118.2825753,Andrew Park,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/usc,12.0,8.0,2010.0,2010-08-12,none,False,In-Line,False,POINT (-118.2825753 34.0166329)
7th & Fig In-Line,"Los Angeles, CA",Los Angeles,US,660 S Figueroa St Ste 100,90017,CA,34.049342,-118.2593799,Ashley McCutcheon,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/7thandfig,26.0,4.0,2018.0,2018-04-26,none,False,In-Line,False,POINT (-118.2593799 34.049342)
Cienega Triangle,"Los Angeles, CA",Los Angeles,US,6801 S La Cienega Blvd,90045,CA,33.9770754,-118.3705688,Stanley Webster,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/cienegatriangle,7.0,1.0,2021.0,2021-01-07,interior,True,Stand Alone,False,POINT (-118.3705688 33.9770754)
I-10 & La Cienega,"Los Angeles, CA",Los Angeles,US,2310 S La Cienega Blvd,90034,CA,34.0375291,-118.37711,Erica Morrow,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/i10andlacienega,22.0,8.0,2019.0,2019-08-22,interior,True,Stand Alone,False,POINT (-118.37711 34.0375291)
Hollywood Drive-Thru Only,"Los Angeles, CA",Los Angeles,US,6750 W Sunset Blvd,90028,CA,34.09761,-118.33829,Jeremiah Cillpam,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/hollywooddto,22.0,9.0,2011.0,2011-09-22,none,True,Stand Alone,False,POINT (-118.33829 34.09761)
405 at Jefferson (Los Angeles),"Los Angeles, CA",Los Angeles,US,11750 Jefferson Blvd,90230,CA,33.9862691,-118.4007591,Julian Hollar,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/405atjefferson,4.0,12.0,2014.0,2014-12-04,interior,True,Stand Alone,False,POINT (-118.4007591 33.9862691)
Downey,"Los Angeles, CA",Downey,US,8613 Firestone Blvd,90241,CA,33.937458,-118.126528,Josiah Borg,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/firestoneblvd,11.0,9.0,2014.0,2014-09-11,interior,True,Stand Alone,False,POINT (-118.126528 33.937458)
Monterey Park Market Place,"Los Angeles, CA",Monterey Park,US,5000 Market Place Dr,91755,CA,34.036319,-118.0984109,Morris Li,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/marketplaceatmontereypark,1.0,11.0,2018.0,2018-11-01,none,True,Stand Alone,False,POINT (-118.0984109 34.036319)
Bella Terra,"Houston, TX",Richmond,US,5644 W Grand Pkwy S,77406,TX,29.6908375,-95.7714175,Cliff Parker,OPEN,America/Chicago,https://www.chick-fil-a.com/bellaterra,19.0,6.0,2014.0,2014-06-19,interior,True,Stand Alone,False,POINT (-95.7714175 29.6908375)
Waterview Town Center,"Houston, TX",Richmond,US,19245 W Bellfort St,77407,TX,29.6609067,-95.7196613,Cliff Parker,OPEN,America/Chicago,https://www.chick-fil-a.com/waterviewtowncenter,26.0,3.0,2020.0,2020-03-26,interior,True,Stand Alone,False,POINT (-95.7196613 29.6609067)
Hwy. 6 & Bellaire,"Houston, TX",Houston,US,6895 Highway 6 S,77083,TX,29.7030298,-95.6433936,Willie Anthony-Garrett,OPEN,America/Chicago,https://www.chick-fil-a.com/hwysixandbellaire,19.0,8.0,1993.0,1993-08-19,interior,True,Stand Alone,False,POINT (-95.6433936 29.7030298)
Beltway 8 & Hammerly Blvd.,"Houston, TX",Houston,US,2267 W Sam Houston Pkwy N,77043,TX,29.8118863,-95.5644683,Austin Rice,OPEN,America/Chicago,https://www.chick-fil-a.com/beltway8andhammerlyblvd,13.0,9.0,2018.0,2018-09-13,interior,True,Stand Alone,False,POINT (-95.5644683 29.8118863)
Hwy. 290 & Jones Road,"Houston, TX",Jersey Village,US,17430 Northwest Fwy,77040,TX,29.8906238,-95.5835216,Glenn Thigpen,OPEN,America/Chicago,https://www.chick-fil-a.com/hwy290andjonesroad,25.0,4.0,2018.0,2018-04-25,interior,True,Stand Alone,False,POINT (-95.5835216 29.8906238)
Flatbush and Atlantic In-Line,"New York, NY",Brooklyn,US,166 Flatbush Ave,11217,NY,40.682755,-73.976882,Brandon Hurst,OPEN,America/New_York,https://www.chick-fil-a.com/166flatbushavenueinline,12.0,9.0,2019.0,2019-09-12,none,False,In-Line,False,POINT (-73.976882 40.682755)
Fulton Street In-Line,"New York, NY",New York,US,144 Fulton St,10038,NY,40.71049,-74.00848,Luke Cook,OPEN,America/New_York,https://www.chick-fil-a.com/fultonstreetinline,29.0,3.0,2018.0,2018-03-29,none,False,In-Line,False,POINT (-74.00848 40.71049)
22nd & 6th In-Line,"New York, NY",New York,US,700 Avenue of the Americas,10010,NY,40.7423583,-73.9928843,Josh Baals,OPEN,America/New_York,https://www.chick-fil-a.com/22ndand6thinline,8.0,8.0,2019.0,2019-08-08,none,False,In-Line,False,POINT (-73.9928843 40.7423583)
Newport Centre,"New York, NY",Jersey City,US,30 Mall Dr W,07310,NJ,40.7268809,-74.0384447,Jon Young,OPEN,America/New_York,https://www.chick-fil-a.com/newportcentre,11.0,11.0,2015.0,2015-11-11,none,False,Food Court,True,POINT (-74.0384447 40.7268809)
219 West 34th Street In-Line,"New York, NY",New York,US,213-217 West 34th Street,10001,NY,40.7514303,-73.99118519999999,Oscar Fittipaldi,FUTURE,America/New_York,https://www.chick-fil-a.com/219west34thstreetinline,,,,2022-11-10,none,False,In-Line,,POINT (-73.99118519999999 40.7514303)
Devonshire & Reseda,"Los Angeles, CA",Northridge,US,18521 Devonshire St,91324,CA,34.2576155,-118.5373322,Mandy Cooper,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/devonshireandreseda,24.0,5.0,2018.0,2018-05-24,none,True,Stand Alone,False,POINT (-118.5373322 34.2576155)
Northridge,"Los Angeles, CA",Northridge,US,8875 Tampa Ave,91324,CA,34.2321571,-118.5541606,Mandy Cooper,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/northridge,10.0,11.0,2011.0,2011-11-10,interior,True,Stand Alone,False,POINT (-118.5541606 34.2321571)
Olive & Alameda In-Line,"Los Angeles, CA",Burbank,US,3113 W Olive Ave,91505,CA,34.156368,-118.3349899,Kenny Schopp,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/oliveandalameda,10.0,1.0,2019.0,2019-01-10,none,False,Stand Alone,False,POINT (-118.3349899 34.156368)
101 & Winnetka,"Los Angeles, CA",Woodland Hills,US,20101 Ventura Blvd,91364,CA,34.17125,-118.57137,Dream Wright,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/101andwinnetka,3.0,12.0,2020.0,2020-12-03,interior,True,Stand Alone,False,POINT (-118.57137 34.17125)
Victory & Fallbrook,"Los Angeles, CA",West Hills,US,6400 Fallbrook Ave,91307,CA,34.1868115,-118.6230108,Rudy Neal,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/victoryandfallbrook,26.0,7.0,2018.0,2018-07-26,none,True,Stand Alone,False,POINT (-118.6230108 34.1868115)
The Americana at Brand In-Line,"Los Angeles, CA",Glendale,US,807 Americana Way,91210,CA,34.1449828,-118.2553751,Robert Peterson,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/theamericanaatbrandinline,25.0,3.0,2021.0,2021-03-25,none,False,In-Line,False,POINT (-118.2553751 34.1449828)
