name,kind,group,coat_color,mane_color,eye_color,first_appearance,first_season,coat_hex,mane_hex,eye_hex
Ms. Harshwhinny,earth,mare,"hsl(028, 69%, 59%)","hsl(048, 93%, 74%)","hsl(195, 57%, 64%)",3110241,False,FAFAFA,F9CDD2,88D35F
Ms. Peachbottom,earth,mare,"hsl(057, 98%, 84%)","hsl(095, 67%, 60%)","hsl(099, 57%, 60%)",3120713,False,F5CF66,DE4F4A,597DC5
Nurse Redheart,earth,mare,"hsl(0, 0%, 98%)","hsl(353, 78%, 89%)","hsl(220, 48%, 56%)",1041459,True,EF8FCE,774899,8F4B42
Orange Slice,earth,mare,"hsl(44, 88%, 68%)","hsl(2, 69%, 58%)","hsl(7, 37%, 41%)",6121213,False,B2E8F5,EBEBEB,22BFBC
Petunia Petals,earth,mare,"hsl(321, 75%, 75%)","hsl(275, 36%, 44%)","hsl(179, 70%, 44%)",RR0847,False,959499,EFA4AD,160F2E
Photo Finish,earth,mare,"hsl(192, 77%, 83%)","hsl(000, 0%, 92%)","hsl(254, 51%, 12%)",1200435,True,C2C2C2,4C8A6B,F29CD7
Phyllis Cloverleaf,earth,mare,,,,,False,E5E8C5,88724E,DE6B45
Posey Bloom,earth,mare,,,,,False,FBF4BC,3388FF,40A5B0
Prim Hemline,earth,mare,"hsl(252, 2%, 59%)","hsl(353, 70%, 79%)","hsl(319, 77%, 78%)",4080749,False,F6E7B6,ED6145,FFCF57
Professor Fossil,earth,mare,"hsl(0, 0%, 76%)","hsl(150, 29%, 42%)","hsl(15, 70%, 57%)",7251155,False,F2A8A6,9A489D,F56956
Roma,earth,mare,"hsl(065, 43%, 84%)","hsl(037, 27%, 42%)","hsl(186, 47%, 47%)",2190400,False,FFD1FA,956DB6,00A396
Sapphire Shores,earth,mare,"hsl(053, 89%, 86%)","hsl(215, 100%, 60%)","hsl(043, 100%, 67%)",1190020,True,FCFF99,EAA434,CA9F77
Shimmy Shake,earth,mare,"hsl(46, 78%, 84%)","hsl(10, 82%, 60%)","hsl(7, 89%, 65%)",9150433,False,F8F8CE,C4368E,60D035
Spoiled Rich,earth,mare,"hsl(2, 75%, 80%)","hsl(298, 37%, 45%)","hsl(175, 100%, 32%)",5180800,False,F9FBA7,D0115A,CD88AF
Suri Polomare,earth,mare,"hsl(307, 100%, 91%)","hsl(273, 33%, 57%)","hsl(029, 44%, 63%)",4080743,False,F7E58D,5D98AC,69D2F2
Daring Do CollectorTeddie Safari,earth,mare,"hsl(062, 100%, 80%)","hsl(037, 81%, 56%)","hsl(103, 62%, 51%)",4220216,False,A5F382,EB667A,A80572
Torch Song,earth,mare,"hsl(060, 74%, 89%)","hsl(323, 57%, 49%)","hsl(326, 41%, 67%)",4140413,False,BCD5F5,66A39A,C6A3D7
Torque Wrench,earth,mare,"hsl(61, 91%, 82%)","hsl(337, 85%, 44%)","hsl(194, 84%, 68%)",RR1446,False,EEB5CB,979499,FFD485
Poné Fantastique AerialistTrapeze Star,earth,mare,"hsl(50, 87%, 76%)","hsl(195, 32%, 52%)","hsl(320, 94%, 34%)",6200357,False,C0CAE7,404040,2978BC
Tree Hugger,earth,mare,"hsl(101, 82%, 73%)","hsl(351, 77%, 66%)","hsl(281, 39%, 74%)",5070418,False,D6B4F9,CFFF99,B3B686
Mrs. Trotsworth,earth,mare,"hsl(214, 75%, 85%)","hsl(171, 25%, 52%)","hsl(39, 100%, 76%)",7180902,False,A3D2C7,23354D,298B13
Wrangler,earth,mare,"hsl(336, 62%, 82%)","hsl(285, 2%, 59%)","hsl(208, 64%, 45%)",7050839,False,CD3253,E5B566,A5DF62
Zesty,earth,mare,"hsl(, %, %)","hsl(, %, %)","hsl(, %, %)",PL101,False,F7E37D,E29D3C,60C350
ConductorAll Aboard,earth,stallion,"hsl(225, 45%, 83%)","hsl(000, 0%, 25%)","hsl(064, 25%, 62%)",2110011,False,F5B451,6D5946,83D84B
Argyle Starshine,earth,stallion,,,,,False,665952,EBEBEB,F9EA43
Big Bucks,earth,stallion,"hsl(270, 85%, 84%)","hsl(88, 100%, 80%)","hsl(109, 76%, 31%)",8051454,False,BF7836,DEDC5E,5F9FE7
Big Daddy McColt,earth,stallion,"hsl(166, 34%, 73%)","hsl(214, 38%, 22%)","hsl(88, 66%, 63%)",5230654,False,45A193,2F3546,7F3681
Big McIntosh,earth,stallion,"hsl(347, 61%, 50%)","hsl(037, 71%, 65%)","hsl(112, 49%, 54%)",1010651,True,FFB53D,572A00,F5AE56
Braeburn,earth,stallion,"hsl(050, 89%, 73%)","hsl(035, 74%, 56%)","hsl(096, 64%, 57%)",1210637,True,E2E4E4,2A2D37,71C332
Buried Lede,earth,stallion,"hsl(36, 89%, 64%)","hsl(30, 22%, 35%)","hsl(55, 94%, 62%)",6090235,False,9DB087,A49679,81B8CA
Burnt Oak,earth,stallion,"hsl(21, 11%, 36%)","hsl(0, 0%, 92%)","hsl(212, 74%, 64%)",7130004,False,FBF7FC,EDF8F7,7CD0BB
Cattail,earth,stallion,"hsl(29, 56%, 48%)","hsl(59, 66%, 62%)","hsl(298, 41%, 36%)",7201048,False,A1927D,303436,A5D7F8
Hefty ResortgoerChargrill Breadwinner,earth,stallion,"hsl(171, 40%, 45%)","hsl(224, 20%, 23%)","hsl(33, 89%, 65%)",6121210,False,B29E66,F58700,8AC350
Cheese Sandwich,earth,stallion,"hsl(037, 100%, 62%)","hsl(029, 100%, 17%)","hsl(094, 59%, 48%)",4120007,False,E6DA89,BA7D40,CDAC4C
Code Red,earth,stallion,,,,Movie1203,False,C2B489,3D3D3D,63C748
Alt-Pony 1Derek,earth,stallion,"hsl(180, 4%, 89%)","hsl(227, 14%, 19%)","hsl(195, 41%, 65%)",PL104,False,FDF9E7,604A2E,9BCAFD
Dishwater Slog,earth,stallion,"hsl(88, 21%, 61%)","hsl(40, 19%, 56%)","hsl(165, 47%, 65%)",PL102,False,8377C0,E3DFEC,2B99D4
Double Diamond,earth,stallion,"hsl(285, 50%, 98%)","hsl(175, 44%, 95%)","hsl(204, 86%, 81%)",5010639,False,8A9AB7,3B9B88,90B266
Dr. Caballeron,earth,stallion,"hsl(036, 16%, 56%)","hsl(200, 6%, 20%)","hsl(090, 49%, 54%)",4040809,False,797FA0,D0D7F1,122A49
Dr. Horse,earth,stallion,"hsl(044, 33%, 55%)","hsl(033, 100%, 48%)","hsl(045, 56%, 55%)",2101026,False,E2E4E4,372E3D,7C9ADA
Feather Bangs,earth,stallion,"hsl(52, 65%, 72%)","hsl(30, 49%, 49%)","hsl(107, 53%, 53%)",7080701,False,E2E4E4,2A2D37,81B8CA
Filthy Rich,earth,stallion,"hsl(045, 32%, 65%)","hsl(000, 0%, 24%)","hsl(211, 96%, 80%)",2120237,False,9990A7,281A1A,81B8CA
Gizmo,earth,stallion,"hsl(050, 85%, 95%)","hsl(033, 35%, 28%)","hsl(201, 66%, 50%)",2190310,False,9FBBDF,303E82,AB956D
Gladmane,earth,stallion,"hsl(250, 37%, 61%)","hsl(258, 25%, 90%)","hsl(87, 33%, 55%)",6200231,False,FFDB3D,FE901B,377D2B
Grub Hooffield,earth,stallion,,,,5231711,False,EFF7EE,71419B,65AD2E
Hard Hat,earth,stallion,"hsl(219, 24%, 63%)","hsl(168, 45%, 42%)","hsl(214, 60%, 18%)",7050836,False,C3C3B6,8C7145,A4049C
Hoity Toity,earth,stallion,"hsl(231, 17%, 55%)","hsl(227, 53%, 88%)","hsl(221, 56%, 67%)",1141311,True,DBAC61,46362B,5CD16C
Alt-Pony 2Matt,earth,stallion,"hsl(180, 4%, 89%)","hsl(276, 14%, 21%)","hsl(195, 41%, 65%)",PL104,False,BAC6CA,708789,62C851
Alt-Pony 3Matt,earth,stallion,"hsl(180, 4%, 89%)","hsl(227, 14%, 19%)","hsl(195, 41%, 65%)",PL104,False,D59F4D,000000,AB76D6
Mayor of BaltimareMayor Baltimare,earth,stallion,"hsl(263, 12%, 61%)","hsl(0, 21%, 13%)","hsl(38, 27%, 55%)",7101222,False,9CD2D3,C77D05,4668BE
Mayor of FillydelphiaMayor Cream Cheese,earth,stallion,"hsl(214, 50%, 75%)","hsl(230, 46%, 35%)","hsl(111, 49%, 33%)",7101222,False,FCFCFC,4F61C4,70718F
Mr. Carrot Cake,earth,stallion,"hsl(049, 100%, 62%)","hsl(031, 99%, 55%)","hsl(094, 58%, 43%)",1041317,True,C07562,D8DDE3,E1C33D
Mr. Stripes,earth,stallion,"hsl(114, 36%, 95%)","hsl(272, 41%, 43%)","hsl(303, 95%, 33%)",6090432,False,9AC1BE,2A3736,9B2D08
Mudbriar,earth,stallion,"hsl(60, 10%, 74%)","hsl(37, 34%, 41%)","hsl(128, 56%, 59%)",8030540,False,BCA671,5E4C26,45DE68
Oak Nut,earth,stallion,"hsl(37, 63%, 62%)","hsl(25, 24%, 22%)","hsl(111, 52%, 55%)",BGE2118,False,EEF7F4,868E9C,A0D1DE
Pinkie Pie's brotherOctavio Pie,earth,stallion,"hsl(195, 13%, 76%)","hsl(185, 10%, 49%)","hsl(273, 54%, 65%)",PL123,False,B69C6D,732B5A,9FCCE5
Piles McColt,earth,stallion,,,,5231713,False,E4B386,ED2C79,E36396
Quibble Pants,earth,stallion,"hsl(36, 62%, 57%)","hsl(270, 100%, 0%)","hsl(223, 48%, 51%)",6130218,False,F7F4C9,88613A,60C653
Rockhoof,earth,stallion,"hsl(181, 38%, 72%)","hsl(37, 95%, 40%)","hsl(238, 12%, 50%)",6020229,False,F0C770,6A95B4,D9A130
Earth pony royal guards,earth,stallion,"hsl(000, 0%, 99%)","hsl(231, 50%, 54%)","hsl(049, 73%, 56%)",2250640,False,F0F2ED,E8AF9B,702E7A
Rusty Bucket,earth,stallion,"hsl(12, 43%, 57%)","hsl(213, 17%, 87%)","hsl(15, 90%, 32%)",9080947,False,79B2E6,37597B,DFCA96
Sans Smirk,earth,stallion,"hsl(175, 24%, 68%)","hsl(175, 13%, 19%)","hsl(134, 70%, 57%)",9140404,False,924C35,352322,C9B469
Sheriff Silverstar,earth,stallion,"hsl(042, 36%, 59%)","hsl(040, 42%, 26%)","hsl(193, 49%, 75%)",1210736,True,E2E4C8,F9E867,8BF066
Silver Shill,earth,stallion,"hsl(162, 36%, 95%)","hsl(220, 10%, 57%)","hsl(201, 57%, 76%)",4200407,False,DFA443,94CAE6,3BC9ED
Snap Shutter,earth,stallion,"hsl(39, 33%, 57%)","hsl(321, 46%, 31%)","hsl(336, 70%, 64%)",9120434,False,F6F1EE,F04C99,EFD406
Deputy Sprout Cloverleaf,earth,stallion,,,,,False,A9A9F9,FE585A,6EDCF2
Starstreak,earth,stallion,"hsl(29, 63%, 71%)","hsl(336, 84%, 55%)","hsl(113, 50%, 55%)",7090712,False,F4A4E3,F8FAC2,D0A93E
Train ConductorSteamer,earth,stallion,"hsl(056, 75%, 88%)","hsl(030, 40%, 38%)","hsl(040, 69%, 52%)",2110010,False,F0BEF3,7255A5,70BEC2
Street MerchantStinky Bottom,earth,stallion,"hsl(41, 81%, 69%)","hsl(205, 33%, 56%)","hsl(292, 45%, 33%)",5160443,False,545454,8CE0ED,544BAA
Svengallop,earth,stallion,"hsl(84, 16%, 94%)","hsl(15, 63%, 76%)","hsl(43, 53%, 73%)",5240518,False,B6A177,E9E9CD,36B2E7
Toe-Tapper,earth,stallion,"hsl(209, 69%, 69%)","hsl(210, 38%, 35%)","hsl(047, 47%, 60%)",4140413,False,DFCD68,7D7D7D,5C8DF0
Trouble Shoes,earth,stallion,"hsl(15, 47%, 39%)","hsl(3, 22%, 17%)","hsl(104, 82%, 67%)",5060115,False,6D5740,E2D6C1,D72885
Trout Pony,earth,stallion,"hsl(64, 34%, 84%)","hsl(53, 92%, 69%)","hsl(192, 83%, 58%)",RR1759,False,B7C8DC,79C2C3,649CD8
Twisty Pop,earth,stallion,"hsl(37, 71%, 57%)","hsl(200, 62%, 74%)","hsl(53, 95%, 48%)",7061251,False,ECC155,A1081C,4C9A97
Blossomforth,pegasus,mare,"hsl(020, 31%, 95%)","hsl(332, 85%, 62%)","hsl(190, 84%, 69%)",2220339,False,F9E7A4,5775D1,5BC2B1
Bow Hothoof,pegasus,stallion,"hsl(240, 87%, 82%)","hsl(359, 99%, 67%)","hsl(44, 61%, 53%)",7070105,False,D0C9FD,BBF1EE,0091E6
Buttershy,pegasus,mare,"hsl(313, 78%, 80%)","hsl(62, 85%, 87%)","hsl(183, 40%, 60%)",PL103,False,518AC8,E8F0F7,E594B3
Clear Skies,pegasus,mare,"hsl(296, 69%, 85%)","hsl(262, 32%, 49%)","hsl(246, 39%, 48%)",5050735,False,FCF5A6,FCB6D8,75DB4D
Cloud Chaser,pegasus,stallion,"hsl(000, 0%, 33%)","hsl(188, 73%, 74%)","hsl(198, 79%, 56%)",4160220,False,3A609C,CE5927,1AC1B9
Crafty Crate,pegasus,stallion,"hsl(040, 30%, 59%)","hsl(059, 39%, 86%)","hsl(220, 83%, 65%)",1151109,True,E4B467,866346,63D147
Daring Do,pegasus,mare,"hsl(051, 65%, 64%)","hsl(000, 0%, 49%)","hsl(328, 69%, 50%)",2160524,False,DDDAF6,705D7E,51EC60
Smug BullyDumb-Bell,pegasus,stallion,"hsl(030, 26%, 34%)","hsl(038, 36%, 82%)","hsl(211, 60%, 62%)",1160630,True,7A8AAE,C7C7C7,4F3ABB
Feather Flatterfly,pegasus,stallion,"hsl(212, 34%, 79%)","hsl(181, 38%, 62%)","hsl(178, 34%, 45%)",9170807,False,D6FFFB,F3A5D8,50BEAC
Flash Magnus,pegasus,stallion,"hsl(43, 80%, 63%)","hsl(352, 91%, 33%)","hsl(170, 46%, 56%)",7161535,False,FDFFCC,14A3B3,804899
Flash Sentry,pegasus,stallion,"hsl(047, 88%, 81%)","hsl(225, 57%, 58%)","hsl(202, 100%, 45%)",M10131,False,F1E3C0,F4A22F,228177
Flitter,pegasus,mare,"hsl(248, 93%, 89%)","hsl(176, 66%, 84%)","hsl(337, 61%, 74%)",2220015,False,F8AE8B,FDF6BA,B33780
Sad DelegateFluffy Clouds,pegasus,stallion,"hsl(211, 52%, 55%)","hsl(208, 48%, 94%)","hsl(103, 66%, 58%)",5050758,False,A8E1BC,FCEEF0,986AAF
Flutterholly,pegasus,mare,"hsl(055, 94%, 82%)","hsl(331, 92%, 85%)","hsl(177, 76%, 43%)",6081414,False,FCECB0,C73D74,69B0A0
Queen Haven,pegasus,mare,,,,,False,3B6997,FEF6FC,A11B72
Prince Hisan,pegasus,stallion,"hsl(217, 46%, 42%)","hsl(18, 68%, 48%)","hsl(108, 60%, 55%)",7181257,False,56B9C2,5954BB,47BDF0
Hoops,pegasus,stallion,"hsl(037, 70%, 65%)","hsl(027, 31%, 40%)","hsl(126, 80%, 62%)",1160630,True,FAFAFA,5D78E5,648EC9
Inky Rose,pegasus,mare,"hsl(247, 60%, 91%)","hsl(274, 15%, 43%)","hsl(250, 53%, 48%)",7090712,False,9EE7FF,FE585A,18E5EC
Commander Ironhead,pegasus,stallion,"hsl(222, 24%, 58%)","hsl(0, 0%, 78%)","hsl(170, 46%, 53%)",7161541,False,F39A82,1A647F,BF1D78
Kerfuffle,pegasus,mare,"hsl(174, 100%, 92%)","hsl(321, 76%, 80%)","hsl(282, 36%, 44%)",RR2431,False,FAFFEB,211E2F,9483C3
Auntie Lofty,pegasus,mare,"hsl(62, 100%, 90%)","hsl(186, 80%, 39%)","hsl(174, 58%, 32%)",PM30101,False,CD8147,808AD6,353F69
Lucy Packard,pegasus,mare,"hsl(042, 64%, 85%)","hsl(035, 90%, 57%)","hsl(325, 53%, 46%)",1161411,True,B68F68,1F1A1E,15D5CC
Mane Allgood,pegasus,mare,"hsl(19, 89%, 76%)","hsl(54, 94%, 86%)","hsl(280, 30%, 55%)",9120446,False,EDE15E,DE5702,91379A
Fluttershy's fatherMr. Shy,pegasus,stallion,"hsl(141, 49%, 77%)","hsl(351, 70%, 96%)","hsl(167, 31%, 55%)",6110004,False,F8FAAD,789DD3,D87B4F
Fluttershy's motherMrs. Shy,pegasus,mare,"hsl(47, 93%, 84%)","hsl(336, 55%, 51%)","hsl(321, 71%, 37%)",6110004,False,ADD9F5,EB7366,56CDEB
Night Glider,pegasus,mare,"hsl(210, 44%, 41%)","hsl(310, 75%, 98%)","hsl(198, 85%, 61%)",5010622,False,92E3C8,FCEEA6,86285D
Open Skies,pegasus,stallion,"hsl(185, 47%, 55%)","hsl(243, 43%, 53%)","hsl(215, 48%, 59%)",5050730,False,8FDBE0,FAFAFA,C2619D
Pegasus royal guards,pegasus,stallion,"hsl(000, 0%, 98%)","hsl(228, 72%, 63%)","hsl(182, 85%, 51%)",1010607,True,E0F3FF,404977,D440B6
Snowdash,pegasus,mare,"hsl(195, 100%, 81%)","hsl(359, 99%, 67%)","hsl(326, 74%, 43%)",6080414,False,FFF157,FF8C1A,4BC355
Somnambula,pegasus,mare,"hsl(13, 82%, 73%)","hsl(196, 66%, 30%)","hsl(256, 35%, 64%)",6021626,False,B7D7E1,1352A0,DE731B
Songbird Serenade,pegasus,mare,"hsl(75, 100%, 96%)","hsl(251, 22%, 15%)","hsl(228, 33%, 31%)",Movie1204,False,AC9777,EAE0C8,5FCBD3
Castle Guard 2Spearhead,pegasus,stallion,"hsl(26, 57%, 54%)","hsl(233, 51%, 67%)","hsl(177, 82%, 46%)",5150619,False,D7D8DA,3A414B,8744C5
Stellar Eclipse,pegasus,stallion,"hsl(030, 35%, 56%)","hsl(312, 9%, 11%)","hsl(295, 47%, 41%)",4220128,False,F6EED0,B57245,56AEA5
Stormy Flare,pegasus,mare,"hsl(55, 80%, 65%)","hsl(23, 98%, 44%)","hsl(19, 64%, 58%)",5150752,False,B1E7DD,536564,4B355A
Sunshower,pegasus,mare,"hsl(062, 89%, 83%)","hsl(216, 51%, 65%)","hsl(192, 79%, 63%)",5050728,False,F7A6C6,F9E1EA,9A478A
Thunder Flap,pegasus,stallion,,,,,False,D6B44C,532336,9BE9CF
Windy Whistles,pegasus,mare,"hsl(203, 78%, 82%)","hsl(6, 77%, 66%)","hsl(326, 54%, 34%)",7070216,False,E7EE96,965CB7,8C2F8E
Zephyr Breeze,pegasus,stallion,"hsl(160, 59%, 73%)","hsl(50, 93%, 82%)","hsl(323, 44%, 57%)",6110100,False,F3D268,956C56,187290
Zoom Zephyrwing,pegasus,mare,,,,,False,FAFAFA,5F97D3,4E97B7
Fleetfoot,pegasus,mare,"hsl(184, 57%, 72%)","hsl(000, 0%, 98%)","hsl(312, 63%, 54%)",1260920,True,2B7897,AFACAD,6EB9F2
Soarin,pegasus,stallion,"hsl(204, 100%, 94%)","hsl(230, 30%, 36%)","hsl(125, 50%, 53%)",1161350,True,FCEABB,E63377,4B91AA
Spitfire,pegasus,mare,"hsl(055, 100%, 67%)","hsl(030, 100%, 55%)","hsl(027, 78%, 49%)",1161350,True,AC75CC,46CE9C,EDB07E
Alphabittle Blossomforth,unicorn,stallion,,,,,False,F7F5E4,7062C0,7C4604
Bluenote,unicorn,stallion,"hsl(194, 41%, 80%)","hsl(213, 79%, 35%)","hsl(184, 57%, 60%)",6190207,False,EDF094,C9201D,E1765B
Bracer Britches,unicorn,stallion,"hsl(37, 24%, 57%)","hsl(42, 45%, 85%)","hsl(271, 53%, 52%)",8040641,False,FFF5FA,FFC2F5,49A919
Chancellor Neighsay,unicorn,stallion,"hsl(220, 4%, 85%)","hsl(215, 13%, 26%)","hsl(174, 35%, 51%)",8010328,False,EDF094,C9201D,7650A5
Cinnamon Chai,unicorn,mare,"hsl(47, 69%, 89%)","hsl(24, 45%, 49%)","hsl(276, 26%, 28%)",5151402,False,9EA8F0,4840BA,49A919
Claude,unicorn,stallion,"hsl(169, 52%, 80%)","hsl(177, 10%, 36%)","hsl(311, 37%, 44%)",4230103,False,FDE39B,834E2F,87501C
Clear Sky,unicorn,mare,"hsl(336, 84%, 81%)","hsl(338, 67%, 93%)","hsl(160, 64%, 76%)",9060430,False,9AA4EF,F9E990,4CC7E6
Coriander Cumin,unicorn,stallion,"hsl(45, 63%, 57%)","hsl(336, 41%, 23%)","hsl(299, 50%, 37%)",6120533,False,C4F2D1,88DDC1,AF55D8
Dandy Grandeur,unicorn,stallion,"hsl(65, 72%, 76%)","hsl(278, 39%, 54%)","hsl(195, 71%, 33%)",7050844,False,6DB2E3,B9E2F3,AD1AC7
Doctor Horse,unicorn,stallion,"hsl(046, 85%, 68%)","hsl(021, 27%, 46%)","hsl(198, 42%, 51%)",2160129,False,C7CCC9,4C4C4C,8147AE
Fancy Pants,unicorn,stallion,"hsl(000, 0%, 98%)","hsl(211, 57%, 60%)","hsl(206, 83%, 69%)",2090350,False,FCE292,C98745,0F4C8A
Fashion Plate,unicorn,stallion,"hsl(197, 56%, 38%)","hsl(345, 2%, 68%)","hsl(196, 39%, 48%)",5140706,False,F4F9B9,F6EFFB,38822B
Fire Flare,unicorn,mare,"hsl(44, 91%, 86%)","hsl(337, 78%, 55%)","hsl(27, 75%, 71%)",9170913,False,F688CE,F48462,7ED2EC
Firelight,unicorn,stallion,"hsl(278, 46%, 63%)","hsl(158, 58%, 54%)","hsl(33, 94%, 25%)",8080605,False,F1F1F3,6950A5,EBA433
First Folio,unicorn,mare,"hsl(54, 54%, 93%)","hsl(249, 43%, 57%)","hsl(12, 69%, 62%)",9050849,False,D2BADE,63848C,558ABE
Flam,unicorn,stallion,"hsl(062, 75%, 76%)","hsl(001, 75%, 45%)","hsl(100, 74%, 38%)",2150500,False,F7F8D3,D2415C,97C2D3
Fleur de Lis,unicorn,mare,"hsl(327, 100%, 98%)","hsl(310, 100%, 88%)","hsl(267, 35%, 48%)",2090350,False,C2E9EB,3871B7,3F165A
