player,nation,clubname,age,position,starts,minutes,matches_played,playing_time_90,goals,assists,penalty_kick_attempts,penalty_kicks,non_penalty_goals,yellow_cards,red_cards
Josh Benson,eng,Burnley,21-116,MF,2,264.0,6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Dunne,ie,Burnley,23-163,DF,2,180.0,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Bailey Peacock-Farrell,nir,Burnley,24-153,GK,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Mumbongo,se,Burnley,22-081,FW,0,39.0,3,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lewis Richardson,eng,Burnley,18-052,FW,0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Driscoll-Glennon,eng,Burnley,21-125,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Gomez Mancini,fr,Burnley,19-359,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mace Goodridge,eng,Burnley,21-199,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Nartey,eng,Burnley,22-206,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Norris,eng,Burnley,27-231,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Thomas,eng,Burnley,0,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Thompson,eng,Burnley,19-050,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Maguire,eng,Manchester United,28-026,DF,29,2610.0,29,29.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0
Bruno Fernandes,pt,Manchester United,26-204,MF,28,2462.0,29,27.4,16.0,10.0,9.0,8.0,8.0,5.0,0.0
Aaron Wan-Bissaka,eng,Manchester United,23-125,DF,27,2430.0,27,27.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0
Marcus Rashford,eng,Manchester United,23-151,FW,27,2376.0,29,26.4,9.0,7.0,0.0,0.0,9.0,4.0,0.0
David de Gea,es,Manchester United,30-144,GK,24,2115.0,24,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Shaw,eng,Manchester United,25-262,DF,23,2024.0,25,22.5,1.0,5.0,0.0,0.0,1.0,6.0,0.0
Victor Lindelöf,se,Manchester United,26-257,DF,22,1955.0,22,21.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Fred,br,Manchester United,28-026,MF,20,1835.0,23,20.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Scott McTominay,sco,Manchester United,24-113,MF,18,1611.0,25,17.9,4.0,1.0,0.0,0.0,4.0,1.0,0.0
Anthony Martial,fr,Manchester United,25-116,FW,17,1480.0,22,16.4,4.0,3.0,0.0,0.0,4.0,0.0,1.0
Paul Pogba,fr,Manchester United,28-016,"MF,FW",15,1349.0,19,15.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0
Mason Greenwood,eng,Manchester United,19-181,FW,15,1294.0,23,14.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Nemanja Matić,rs,Manchester United,32-242,MF,10,915.0,15,10.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Edinson Cavani,uy,Manchester United,34-045,FW,9,927.0,18,10.3,6.0,2.0,0.0,0.0,6.0,1.0,0.0
Daniel James,wal,Manchester United,23-141,FW,9,727.0,12,8.1,3.0,0.0,0.0,0.0,3.0,3.0,0.0
Eric Bailly,ci,Manchester United,26-353,DF,7,638.0,8,7.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Alex Telles,br,Manchester United,28-106,DF,6,510.0,7,5.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Dean Henderson,eng,Manchester United,24-019,GK,5,495.0,6,5.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Juan Mata,es,Manchester United,32-337,FW,4,338.0,7,3.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Donny van de Beek,nl,Manchester United,23-347,"MF,FW",2,322.0,13,3.6,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Axel Tuanzebe,eng,Manchester United,23-137,DF,1,134.0,6,1.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Timothy Fosu-Mensah,nl,Manchester United,23-088,DF,1,80.0,1,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Odion Ighalo,ng,Manchester United,31-288,FW,0,10.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,eng,Manchester United,20-209,DF,0,8.0,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shola Shoretire,eng,Manchester United,17-057,FW,0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Bishop,eng,Manchester United,21-167,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amad Diallo,ci,Manchester United,18-263,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Grant,eng,Manchester United,38-063,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Lingard,eng,Manchester United,28-106,"FW,MF",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ederson,br,Manchester City,27-226,GK,29,2610.0,29,29.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Rúben Dias,pt,Manchester City,23-321,DF,27,2393.0,27,26.6,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Rodri,es,Manchester City,24-282,MF,25,2173.0,27,24.1,1.0,1.0,1.0,1.0,0.0,3.0,0.0
Raheem Sterling,eng,Manchester City,26-113,FW,23,2058.0,25,22.9,9.0,5.0,1.0,0.0,9.0,2.0,0.0
João Cancelo,pt,Manchester City,26-308,DF,22,1947.0,23,21.6,1.0,3.0,0.0,0.0,1.0,4.0,0.0
Kevin De Bruyne,be,Manchester City,29-276,MF,21,1820.0,23,20.2,5.0,11.0,3.0,2.0,3.0,1.0,0.0
İlkay Gündoğan,de,Manchester City,30-158,MF,20,1741.0,23,19.3,12.0,1.0,2.0,1.0,11.0,0.0,0.0
Bernardo Silva,pt,Manchester City,26-233,"MF,FW",20,1719.0,22,19.1,2.0,3.0,0.0,0.0,2.0,3.0,0.0
Riyad Mahrez,dz,Manchester City,30-038,FW,19,1628.0,23,18.1,9.0,4.0,0.0,0.0,9.0,0.0,0.0
John Stones,eng,Manchester City,26-307,DF,18,1620.0,18,18.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Kyle Walker,eng,Manchester City,30-307,DF,18,1586.0,20,17.6,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Gabriel Jesus,br,Manchester City,23-362,FW,15,1481.0,21,16.5,7.0,3.0,0.0,0.0,7.0,1.0,0.0
Phil Foden,eng,Manchester City,20-307,"FW,MF",14,1340.0,22,14.9,6.0,5.0,0.0,0.0,6.0,0.0,0.0
Oleksandr Zinchenko,ua,Manchester City,24-106,DF,11,1083.0,14,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aymeric Laporte,fr,Manchester City,26-308,DF,11,1029.0,12,11.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ferrán Torres,es,Manchester City,21-030,FW,10,923.0,17,10.3,2.0,2.0,0.0,0.0,2.0,1.0,0.0
Fernandinho,br,Manchester City,35-331,MF,8,816.0,15,9.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Benjamin Mendy,fr,Manchester City,26-257,DF,7,604.0,8,6.7,1.0,0.0,0.0,0.0,1.0,2.0,0.0
Nathan Aké,nl,Manchester City,26-041,DF,5,470.0,6,5.2,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Sergio Agüero,ar,Manchester City,32-302,FW,4,312.0,8,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Eric García,es,Manchester City,20-081,DF,2,217.0,4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Steffen,us,Manchester City,25-363,GK,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liam Delap,eng,Manchester City,18-051,FW,0,40.0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Bernabe,es,Manchester City,19-309,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Carson,eng,Manchester City,35-209,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Doyle,eng,Manchester City,19-165,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Gomes,fr,Manchester City,20-251,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Harwood-Bellis,eng,Manchester City,19-060,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felix Kalu Nmecha,eng,Manchester City,20-172,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Mbete-Tatu,eng,Manchester City,20-194,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Otamendi,ar,Manchester City,33-047,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Palmer,eng,Manchester City,18-329,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Trafford,eng,Manchester City,18-172,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Martínez,ar,Aston Villa,28-210,GK,28,2520.0,28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ollie Watkins,eng,Aston Villa,25-091,FW,28,2520.0,28,28.0,10.0,3.0,2.0,1.0,9.0,1.0,0.0
Matt Targett,eng,Aston Villa,25-194,DF,28,2504.0,28,27.8,0.0,1.0,0.0,0.0,0.0,6.0,0.0
John McGinn,sco,Aston Villa,26-164,MF,27,2430.0,27,27.0,1.0,4.0,0.0,0.0,1.0,7.0,0.0
Tyrone Mings,eng,Aston Villa,28-018,DF,27,2384.0,27,26.5,2.0,1.0,0.0,0.0,2.0,6.0,1.0
Ezri Konsa,eng,Aston Villa,23-159,DF,25,2296.0,26,25.5,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Douglas Luiz,br,Aston Villa,22-326,MF,24,2099.0,24,23.3,0.0,2.0,0.0,0.0,0.0,7.0,1.0
Jack Grealish,eng,Aston Villa,25-202,"FW,MF",22,1977.0,22,22.0,6.0,10.0,0.0,0.0,6.0,6.0,0.0
Matty Cash,eng,Aston Villa,23-236,DF,22,1912.0,22,21.2,0.0,2.0,0.0,0.0,0.0,6.0,0.0
Bertrand Traoré,bf,Aston Villa,25-206,FW,19,1525.0,26,16.9,5.0,3.0,0.0,0.0,5.0,0.0,0.0
Ross Barkley,eng,Aston Villa,27-116,MF,14,1167.0,18,13.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0
Trézéguet,eg,Aston Villa,26-181,FW,11,1056.0,19,11.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Anwar El Ghazi,nl,Aston Villa,25-332,FW,9,913.0,18,10.1,6.0,0.0,2.0,2.0,4.0,1.0,0.0
Ahmed Elmohamady,eg,Aston Villa,33-203,DF,6,613.0,11,6.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Marvelous Nakamba,zw,Aston Villa,27-071,MF,5,444.0,9,4.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jacob Ramsey,eng,Aston Villa,19-307,MF,4,391.0,13,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kortney Hause,eng,Aston Villa,25-258,DF,4,360.0,4,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Conor Hourihane,ie,Aston Villa,30-057,MF,3,225.0,4,2.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Morgan Sanson,fr,Aston Villa,26-225,MF,2,228.0,8,2.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Keinan Davis,eng,Aston Villa,23-046,FW,0,88.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neil Taylor,wal,Aston Villa,32-052,DF,0,16.0,1,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Carney Chukwuemeka,eng,Aston Villa,17-083,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Björn Engels,be,Aston Villa,26-197,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederic Guilbert,fr,Aston Villa,26-097,"DF,MF",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaine Hayden,eng,Aston Villa,18-159,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Heaton,eng,Aston Villa,34-350,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaine Kessler,eng,Aston Villa,17-310,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Philogene Bidace,eng,Aston Villa,18-317,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jed Steer,eng,Aston Villa,28-189,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,fr,Fulham,28-032,GK,29,2610.0,29,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tosin Adarabioyo,eng,Fulham,23-188,DF,26,2340.0,26,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ola Aina,ng,Fulham,24-174,DF,26,2250.0,26,25.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0
Ademola Lookman,eng,Fulham,23-162,"FW,MF",25,2274.0,27,25.3,4.0,4.0,1.0,0.0,4.0,4.0,0.0
Joachim Andersen,dk,Fulham,24-304,DF,24,2131.0,24,23.7,1.0,1.0,0.0,0.0,1.0,4.0,1.0
Andre-Frank Zambo Anguissa,cm,Fulham,25-135,MF,23,2092.0,29,23.2,0.0,3.0,0.0,0.0,0.0,5.0,0.0
Harrison Reed,eng,Fulham,26-063,MF,22,1941.0,26,21.6,0.0,2.0,0.0,0.0,0.0,5.0,0.0
Ivan Cavaleiro,pt,Fulham,27-164,"FW,MF",21,1901.0,28,21.1,3.0,0.0,2.0,1.0,2.0,2.0,0.0
Antonee Robinson,us,Fulham,23-235,DF,20,1802.0,24,20.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Bobby Reid,jm,Fulham,28-057,"FW,DF",20,1677.0,25,18.6,5.0,0.0,0.0,0.0,5.0,5.0,0.0
Ruben Loftus-Cheek,eng,Fulham,25-067,"MF,FW",19,1661.0,24,18.5,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Mario Lemina,ga,Fulham,27-211,MF,13,1184.0,22,13.2,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Kenny Tete,nl,Fulham,25-173,DF,13,1066.0,16,11.8,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Aleksandar Mitrović,rs,Fulham,26-196,FW,10,1122.0,23,12.5,2.0,3.0,2.0,1.0,1.0,3.0,0.0
Tom Cairney,sco,Fulham,30-070,MF,9,759.0,10,8.4,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Josh Maja,ng,Fulham,22-094,FW,7,550.0,8,6.1,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Joe Bryan,eng,Fulham,27-195,"DF,FW",5,468.0,12,5.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Tim Ream,us,Fulham,33-177,DF,5,450.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Odoi,be,Fulham,32-308,DF,3,270.0,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Michael Hector,jm,Fulham,28-255,DF,3,263.0,4,2.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Aboubakar Kamara,mr,Fulham,26-024,"FW,DF",2,315.0,11,3.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Josh Onomah,eng,Fulham,23-338,MF,2,163.0,6,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Maxime Le Marchand,fr,Fulham,31-171,DF,1,123.0,2,1.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Neeskens Kebano,cd,Fulham,29-021,"FW,MF",1,119.0,5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marek Rodák,sk,Fulham,24-108,GK,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyrus Christie,ie,Fulham,28-182,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabricio,es,Fulham,33-090,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Johansen,no,Fulham,30-082,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Knockaert,fr,Fulham,29-131,"FW,MF",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terence Kongolo,nl,Fulham,27-045,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernd Leno,de,Arsenal,29-027,GK,28,2501.0,28,27.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bukayo Saka,eng,Arsenal,19-207,"FW,DF",24,2069.0,25,23.0,5.0,2.0,0.0,0.0,5.0,1.0,0.0
Granit Xhaka,ch,Arsenal,28-185,MF,24,2059.0,25,22.9,1.0,2.0,0.0,0.0,1.0,6.0,1.0
Kieran Tierney,sco,Arsenal,23-299,DF,22,1970.0,22,21.9,1.0,2.0,0.0,0.0,1.0,4.0,0.0
Héctor Bellerín,es,Arsenal,26-012,DF,22,1910.0,22,21.2,1.0,2.0,0.0,0.0,1.0,8.0,0.0
Pierre-Emerick Aubameyang,ga,Arsenal,31-286,FW,21,1933.0,24,21.5,9.0,1.0,2.0,2.0,7.0,2.0,0.0
Rob Holding,eng,Arsenal,25-192,DF,20,1838.0,22,20.4,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Alexandre Lacazette,fr,Arsenal,29-307,FW,19,1621.0,25,18.0,11.0,2.0,3.0,3.0,8.0,3.0,0.0
David Luiz,br,Arsenal,33-343,DF,16,1344.0,19,14.9,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Gabriel Dos Santos,br,Arsenal,23-102,DF,15,1366.0,16,15.2,2.0,0.0,0.0,0.0,2.0,3.0,1.0
Willian,br,Arsenal,32-234,"FW,MF",14,1196.0,21,13.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,eg,Arsenal,28-263,MF,12,1076.0,16,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Thomas Partey,gh,Arsenal,27-291,MF,12,963.0,15,10.7,0.0,1.0,0.0,0.0,0.0,3.0,0.0
Emile Smith-Rowe,eng,Arsenal,20-246,"MF,FW",12,945.0,14,10.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Dani Ceballos,es,Arsenal,24-236,MF,11,1123.0,19,12.5,0.0,2.0,0.0,0.0,0.0,3.0,0.0
Nicolas Pépé,ci,Arsenal,25-306,FW,10,1057.0,21,11.7,5.0,1.0,1.0,1.0,4.0,1.0,1.0
Cédric Soares,pt,Arsenal,29-212,DF,8,700.0,9,7.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pablo Marí,es,Arsenal,27-212,DF,7,630.0,7,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ainsley Maitland-Niles,eng,Arsenal,23-214,DF,5,490.0,11,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Ødegaard,no,Arsenal,22-104,MF,5,474.0,8,5.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Eddie Nketiah,eng,Arsenal,21-305,FW,3,327.0,14,3.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Martinelli,br,Arsenal,19-286,FW,3,219.0,6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Willock,eng,Arsenal,21-223,MF,2,238.0,7,2.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Calum Chambers,eng,Arsenal,26-070,DF,2,180.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sead Kolašinac,ba,Arsenal,27-284,DF,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathew Ryan,au,Arsenal,28-357,GK,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reiss Nelson,eng,Arsenal,21-111,FW,0,71.0,2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shkodran Mustafi,de,Arsenal,28-348,DF,0,47.0,3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúnar Alex Rúnarsson,is,Arsenal,26-041,GK,0,16.0,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Macey,eng,Arsenal,26-203,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vicente Guaita,es,Crystal Palace,34-080,GK,29,2610.0,29,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Cheikhou Kouyaté,sn,Crystal Palace,31-100,DF,26,2313.0,27,25.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Eberechi Eze,eng,Crystal Palace,22-275,MF,22,1961.0,27,21.8,3.0,3.0,0.0,0.0,3.0,3.0,0.0
Luka Milivojević,rs,Crystal Palace,29-358,MF,21,1853.0,25,20.6,1.0,1.0,1.0,1.0,0.0,7.0,1.0
Andros Townsend,eng,Crystal Palace,29-258,"MF,FW",20,1805.0,27,20.1,1.0,4.0,0.0,0.0,1.0,0.0,0.0
Wilfried Zaha,ci,Crystal Palace,28-141,FW,20,1802.0,21,20.0,9.0,2.0,2.0,2.0,7.0,4.0,0.0
Jordan Ayew,gh,Crystal Palace,29-201,"FW,MF",18,1663.0,25,18.5,1.0,3.0,0.0,0.0,1.0,2.0,0.0
Patrick van Aanholt,nl,Crystal Palace,30-214,DF,17,1504.0,18,16.7,0.0,1.0,0.0,0.0,0.0,2.0,0.0
James McArthur,sco,Crystal Palace,33-175,MF,17,1466.0,18,16.3,0.0,2.0,0.0,0.0,0.0,3.0,0.0
Joel Ward,eng,Crystal Palace,31-153,DF,16,1446.0,17,16.1,0.0,1.0,0.0,0.0,0.0,3.0,0.0
Gary Cahill,eng,Crystal Palace,35-102,DF,14,1260.0,14,14.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Jaïro Riedewald,nl,Crystal Palace,24-203,MF,13,1344.0,25,14.9,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Tyrick Mitchell,eng,Crystal Palace,21-211,DF,13,1170.0,13,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Christian Benteke,be,Crystal Palace,30-118,FW,13,1159.0,22,12.9,5.0,1.0,0.0,0.0,5.0,2.0,1.0
Nathaniel Clyne,eng,Crystal Palace,29-360,DF,13,1145.0,13,12.7,0.0,1.0,0.0,0.0,0.0,2.0,0.0
Scott Dann,eng,Crystal Palace,34-045,DF,12,1080.0,12,12.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Jeffrey Schlupp,gh,Crystal Palace,28-098,MF,12,1026.0,18,11.4,2.0,1.0,0.0,0.0,2.0,2.0,0.0
Michy Batshuayi,be,Crystal Palace,27-180,FW,7,702.0,16,7.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0
James McCarthy,ie,Crystal Palace,30-139,MF,7,541.0,11,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
James Tomkins,eng,Crystal Palace,32-002,DF,4,388.0,5,4.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mamadou Sakho,fr,Crystal Palace,31-046,DF,3,276.0,4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Mateta,fr,Crystal Palace,23-276,FW,2,170.0,4,1.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Reece Hannam,eng,Crystal Palace,20-193,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Butland,eng,Crystal Palace,28-021,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Henderson,ie,Crystal Palace,32-333,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne Hennessey,wal,Crystal Palace,34-066,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Inniss,eng,Crystal Palace,25-299,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Kelly,eng,Crystal Palace,30-338,"DF,MF",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
