id,title,type,author_name,image_url,date,month,week_start
SkYSh,Confidence in press sinking,d3-lines,Stiles,//img.datawrapper.de/97Ial/ab1f5ed74fe0c7e53d650e2c0c06856a/full.png,2022-02-26,February,2022-02-21
COLp9,Newly enacted voting laws,d3-maps-choropleth,Stiles,//img.datawrapper.de/E4prL/2ccc6c523c01ee50dc81e4292182dfb0/full.png,2022-02-25,February,2022-02-21
M584H,Inflation rate spikes during pandemic ,d3-lines,Deen,//img.datawrapper.de/eQVA7/86eb86ab35564a1d05f42bb567ec51a9/full.png,2022-02-25,February,2022-02-21
j8vHo,Partisan divide on 2020,d3-bars-stacked,Stiles,//img.datawrapper.de/L7nWU/6b6aef0401aab0680aeaaf626fd32d8e/full.png,2022-02-25,February,2022-02-21
NaUiz,Covid-19 death rates by vaccination status,d3-lines,Deen,//img.datawrapper.de/Kx0Hx/3271bfc1f0e2edb2c1b419836987a20f/full.png,2022-02-25,February,2022-02-21
IRUcf,Weather and climate disasters increasing,d3-bars,Levitan,//img.datawrapper.de/hdT28/a619b8c4cc99cbfde2907408ba717649/full.png,2022-02-25,February,2022-02-21
JcQP5,Percent of population employed,d3-lines,Deen,//img.datawrapper.de/vp2U0/10fcbaf769eaeca48f50bfaf8a0d09cd/full.png,2022-02-25,February,2022-02-21
YeNXi,Countries with contracts for covid-19 pills,d3-maps-choropleth,Deen,//img.datawrapper.de/MK7Xa/f7ac628a05ab2eb353b822b1aadc0f61/full.png,2022-02-24,February,2022-02-21
vM2oY,Value of Russian ruble plunges,d3-lines,Deen,//img.datawrapper.de/HFsY4/ad0ba0244c9acb619a61441a6c0351b1/full.png,2022-02-24,February,2022-02-21
9tCES,Russian invasion of Ukraine,locator-map,Stiles,//img.datawrapper.de/fPc1n/4fc514d13dd979b5ec00958f9564b117/full.png,2022-02-24,February,2022-02-21
99kn1,Top exports from Russia to China in 2021,d3-bars,Deen,//img.datawrapper.de/YIvMY/305afe4764e9238edb01a1ea97c5c05e/full.png,2022-02-23,February,2022-02-21
VkecD,Ukraine,locator-map,Stiles,//img.datawrapper.de/Wi8ll/f24cce71c9592f6c0f1a8f0a62efd22f/full.png,2022-02-21,February,2022-02-21
KhmOQ,What portion of students borrow to finance higher education?,d3-bars-grouped,Matthews,//img.datawrapper.de/XcjP2/285ac20b6aa74a6de5494aa6a63f6b2d/full.png,2022-02-17,February,2022-02-14
C2gHh,More clear days,d3-bars-stacked,Stiles,//img.datawrapper.de/1IwUs/3b8bbab176528caa25a17774a35dd318/full.png,2022-02-17,February,2022-02-14
pOcsF,China in comparison,tables,Stiles,//img.datawrapper.de/fO1it/d29822b11d318b2d3fd03aeef7ac40f0/full.png,2022-02-17,February,2022-02-14
LeX6p,Graduate students borrow the most,d3-bars-grouped,Matthews,//img.datawrapper.de/s8LbV/604da734bc2ef833da740e8094013e92/full.png,2022-02-16,February,2022-02-14
x6J4j,GiveSendGo donations,d3-maps-choropleth,Stiles,//img.datawrapper.de/RoJWo/f13d04c4f5358dea624f0e76e906ec99/full.png,2022-02-16,February,2022-02-14
cMWZ6,China clearing the air,d3-lines,Stiles,//img.datawrapper.de/ohr4l/64aabd8ba163c1bf0ff22049c1e4520e/full.png,2022-02-15,February,2022-02-14
p2xxk,Orbital owners,d3-bars,Stiles,//img.datawrapper.de/QkCTj/8eb444890cc17830975fa42a4eca49e3/full.png,2022-02-15,February,2022-02-14
tviCp,Crowding space,d3-area,Stiles,//img.datawrapper.de/R78JZ/84029f6f0230158b4e941e8f9cb26d27/full.png,2022-02-15,February,2022-02-14
48muG,"""Ice-outs"" on New Hampshire's Lake Winnipesaukee since 1887",d3-lines,Deen,//img.datawrapper.de/6cclD/a2f3b02ec020f41eade5b9598f17d4ee/full.png,2022-02-14,February,2022-02-14
TEIo5,Flour prices increase after Afghan government collapses,d3-range-plot,Deen,//img.datawrapper.de/OrQxg/3ce1feaaaac4c180757b32f55517d6db/full.png,2022-02-11,February,2022-02-07
EANbo,Bean prices increase after Afghan government collapses,d3-range-plot,Deen,//img.datawrapper.de/ArfJt/00276d9c3ee36cbe76fd1f5dccd35192/full.png,2022-02-11,February,2022-02-07
CPW4G,Potato prices increase after Afghan government collapses,d3-range-plot,Deen,//img.datawrapper.de/Bhc9M/2046321dda17012fb6a8a52be6c5320d/full.png,2022-02-11,February,2022-02-07
3jbZx,Egg prices increase after Afghan government collapses,d3-range-plot,Deen,//img.datawrapper.de/uMPPm/31e5aa6c98b81288e6052f7afd28495d/full.png,2022-02-11,February,2022-02-07
sev4e,Chicken prices increase after Afghan government collapses,d3-range-plot,Deen,//img.datawrapper.de/dAQa9/d51c165e2b35d1d053e802ef6912c0f3/full.png,2022-02-11,February,2022-02-07
BNP5d,Women saw starker employment losses than men did after the regime change,tables,Matthews,//img.datawrapper.de/O8EtZ/e1e47cb6545d60643e9a925bcc6f1cf8/full.png,2022-02-11,February,2022-02-07
K2H82,Patients receiving transplants by race and ethnicity ,d3-bars-bullet,Deen,//img.datawrapper.de/ZAqhg/c5269958f2c6f398a6c40b163de2e176/full.png,2022-02-10,February,2022-02-07
